version 2, schema effect_bundles_to_effects_junctions_tables, guid 065c4eb8-0deb-4f10-b0c4-9209ab5edc67
unknown1(string)	unknown2(string)	unknown3(float)
"bos_saga"	"bos_clan_trait_saga_western_trade"	0
"bos_satsuma"	"bos_clan_trait_satsuma_admin"	5
"bos_satsuma"	"bos_clan_trait_satsuma_agent_action_cost"	-10
"bos_satsuma"	"bos_clan_trait_satsuma_general_aoe"	15
"bos_satsuma"	"bos_clan_trait_satsuma_regions"	0
"bos_sendai"	"bos_clan_trait_sendai_allegiance_tolerance_mod"	3
"bos_sendai"	"bos_clan_trait_sendai_battle_time_mod"	2
"bos_sendai"	"bos_clan_trait_sendai_diplomacy_mod"	10
"bos_sendai"	"bos_clan_trait_sendai_resistance_to_occupation_mod"	1
"bos_tosa"	"bos_clan_trait_tosa_diplomacy"	10
"bos_tosa"	"bos_clan_trait_tosa_naval_bombardments"	2
"bos_tosa"	"bos_clan_trait_tosa_resistance_to_occupation_mod"	1
"bos_tosa"	"bos_clan_trait_tosa_ship_xp_mod"	2
"bos_tsu"	"bos_clan_trait_tsu_conversion_mod"	2
"bos_tsu"	"bos_clan_trait_tsu_defence_mod"	1
"bos_tsu"	"bos_clan_trait_tsu_kiso_cap_mod"	3
"bos_tsu"	"bos_clan_trait_tsu_shinobi_action_cost_mod"	-10
"gem_fujiwara_hiraizumi"	"gem_clan_trait_fujiwara_haraizumi_inspector_action"	-20
"gem_fujiwara_hiraizumi"	"gem_clan_trait_fujiwara_haraizumi_inspector_succes"	10
"gem_fujiwara_hiraizumi"	"gem_clan_trait_fujiwara_haraizumi_tax"	5
"gem_fujiwara_hiraizumi"	"gem_clan_trait_fujiwara_haraizumi_technology"	0
"gem_fujiwara_kubota"	"gem_clan_trait_fujiwara_kubota_levy_cost_increase"	10
"gem_fujiwara_kubota"	"gem_clan_trait_fujiwara_kubota_research"	30
"gem_fujiwara_kubota"	"gem_clan_trait_fujiwara_kubota_technologies"	0
"gem_fujiwara_kubota"	"gem_clan_trait_fujiwara_kubota_warrior_monk"	1
"gem_minamoto_kamakura"	"gem_clan_trait_minamoto_kamakura_reload"	10
"gem_minamoto_kamakura"	"gem_clan_trait_minamoto_kamakura_research"	20
"gem_minamoto_kamakura"	"gem_clan_trait_minamoto_kamakura_technology"	0
"gem_minamoto_kamakura"	"gem_clan_trait_minamoto_kamakura_upkeep"	-20
"gem_minamoto_kiso"	"gem_clan_trait_minamoto_kiso_campaign_movement"	20
"gem_minamoto_kiso"	"gem_clan_trait_minamoto_kiso_negative_research"	-20
"gem_minamoto_kiso"	"gem_clan_trait_minamoto_kiso_recruitment_mod"	-1
"gem_minamoto_kiso"	"gem_clan_trait_minamoto_kiso_technology"	0
"gem_minor"	"recruitment_cost_mod_land_all_global"	15
"gem_minor"	"upkeep_cost_mod_land_all"	25
"gem_taira_fukuhara"	"gem_clan_trait_taira_fukuhara_armour"	1
"gem_taira_fukuhara"	"gem_clan_trait_taira_fukuhara_regions"	0
"gem_taira_fukuhara"	"gem_clan_trait_taira_fukuhara_technologies"	0
"gem_taira_fukuhara"	"gem_clan_trait_taira_fukuhara_upkeep"	-20
"gem_taira_yashima"	"gem_clan_trait_taira_yashima_ship_movement"	20
"gem_taira_yashima"	"gem_clan_trait_taira_yashima_ship_upkeep"	-20
"gem_taira_yashima"	"gem_clan_trait_taira_yashima_technologies"	0
"gem_taira_yashima"	"gem_clan_trait_taira_yashima_trade"	15
"l_first_legendary_archery"	"tech_unit_archer_acc_mod"	10
"l_first_legendary_buddhist"	"tech_agent_monk_success_mod"	5
"l_first_legendary_cavalry"	"mod_unit_charge_bonus_cavalry"	5
"l_first_legendary_christian"	"tech_agent_missionary_success_mod"	5
"l_first_legendary_craft"	"tech_agent_metsuke_success_mod"	5
"l_first_legendary_siege"	"mod_unit_reload_rate_powder"	10
"l_first_legendary_stealth"	"tech_agent_ninja_success_mod"	5
"l_first_legendary_sword"	"mod_unit_melee_attack_swords"	2
"l_first_legendary_yari"	"mod_unit_melee_defence_yari"	2
"p_able_sailors"	"mod_unit_xp_ships"	2
"p_abundant_catch_global"	"tw_growth_mod_port_trade"	50
"p_abundant_catch_local"	"tw_growth_mod_port_trade"	100
"p_administrative_insight"	"research_points_bonus_civil"	100
"p_aggressive_ardour"	"mod_unit_melee_attack_global"	2
"p_agrarian_toil_global"	"gdp_mod_farms_global"	25
"p_agrarian_toil_local"	"gdp_mod_farms"	50
"p_ample_supplies"	"recruitment_cost_mod_land_all_global"	-25
"p_anti_nanban_riots_global"	"gdp_mod_population_global"	-50
"p_anti_nanban_riots_local"	"gdp_mod_population_local"	-50
"p_bos_ample_supplies"	"bos_tech_unit_land_cost_mod"	-25
"p_bos_anti_western_riots_global"	"bos_event_gdp_mod_population_global"	-25
"p_bos_anti_western_riots_local"	"bos_event_gdp_mod_population_local"	-50
"p_bos_autumn"	"bos_tech_clan_income_farm_mod"	-10
"p_bos_better_geisha"	"bos_tech_agent_geisha_success_mod"	10
"p_bos_better_ishinshishi"	"bos_tech_agent_ishin_shishi_success_mod"	10
"p_bos_better_shinobi"	"bos_tech_agent_shinobi_success_mod"	10
"p_bos_better_shinsengumi"	"bos_tech_agent_shinsengumi_success_mod"	10
"p_bos_better_veteran"	"bos_tech_agent_foreign_veteran_success_mod"	10
"p_bos_breakthrough_civil_eng"	"bos_event_building_cost_mod_civil"	-25
"p_bos_breakthrough_civil_eng"	"bos_event_building_time_mod_civil"	-40
"p_bos_breakthrough_industrial_sci"	"bos_event_gdp_mod_industry"	25
"p_bos_breakthrough_medical_sci"	"bos_event_happiness_global"	2
"p_bos_breakthrough_medical_sci"	"bos_minister_replenishment_global"	10
"p_bos_breakthrough_military_eng"	"bos_event_building_cost_mod_military"	-25
"p_bos_breakthrough_military_eng"	"bos_event_building_time_mod_military"	-40
"p_bos_brigandry_global"	"bos_event_gdp_mod_population_global"	-10
"p_bos_brigandry_global"	"bos_event_happiness_global"	-1
"p_bos_brigandry_local"	"bos_event_gdp_mod_population_local"	-20
"p_bos_brigandry_local"	"bos_event_happiness_local"	-2
"p_bos_call_to_arms"	"bos_land_recruitment_points"	1
"p_bos_civil_insight"	"bos_event_research_mod_civil"	25
"p_bos_criminal_contacts_global"	"bos_geisha_mod_culture_chain"	25
"p_bos_criminal_contacts_local"	"bos_event_gdp_mod_commerce_local"	50
"p_bos_disaffected_populace_global"	"bos_event_happiness_global"	-2
"p_bos_disaffected_populace_local"	"bos_event_happiness_local"	-4
"p_bos_dreaded_force"	"bos_enemy_morale_mod"	-1
"p_bos_earthquake"	"bos_building_construction_time_mod_all"	50
"p_bos_earthquake"	"bos_event_gdp_mod_province_capital"	-50
"p_bos_earthquake"	"bos_event_unhappiness_local"	-2
"p_bos_earthquake"	"bos_gdp_mine"	-50
"p_bos_emperors_mandate"	"bos_ishinshishi_mod_conversion_global"	2
"p_bos_fire"	"bos_building_cost_mod_local"	50
"p_bos_fire"	"bos_event_gdp_mod_province_capital"	-50
"p_bos_fire"	"bos_event_happiness_local"	-2
"p_bos_flourishing_growth_global"	"bos_event_gdp_mod_population_global"	20
"p_bos_flourishing_growth_local"	"bos_event_gdp_mod_population_local"	40
"p_bos_foreign_boost"	"bos_event_growth_mod_trade_ports"	5
"p_bos_foreign_boost"	"bos_trade_income_mod"	25
"p_bos_foreign_setback"	"bos_event_growth_mod_trade_ports"	-5
"p_bos_foreign_setback"	"bos_trade_income_mod"	-25
"p_bos_grateful_populace_global"	"bos_event_growth_all_global"	2
"p_bos_grateful_populace_global"	"bos_event_happiness_global"	2
"p_bos_grateful_populace_local"	"bos_event_growth_all_local"	4
"p_bos_grateful_populace_local"	"bos_event_happiness_local"	1
"p_bos_high_yield"	"bos_event_gdp_mod_farms_mines"	25
"p_bos_imperial_propaganda_local"	"bos_conversion_imperial"	2
"p_bos_inspired_endeavours_global"	"bos_event_gdp_mod_all_global"	50
"p_bos_inspired_endeavours_local"	"bos_event_gdp_mod_all_local"	25
"p_bos_iron_fist_local"	"bos_event_gdp_mod_population_local"	-10
"p_bos_iron_fist_local"	"bos_repression_building_local"	4
"p_bos_lord_of_war"	"bos_event_morale_mod_army"	2
"p_bos_martial_wisdom"	"bos_event_research_mod_military"	25
"p_bos_master_artillery"	"bos_event_mod_xp_artillery"	2
"p_bos_master_rifles"	"bos_event_mod_xp_rifles"	2
"p_bos_master_shipwrights"	"bos_event_recruitment_cost_mod_ships"	-25
"p_bos_military_mission_american"	"bos_military_mission_american_building"	1
"p_bos_military_mission_american"	"bos_military_mission_american_units"	1
"p_bos_military_mission_american"	"bos_tech_unit_cannon_accuracy_mod"	5
"p_bos_military_mission_british"	"bos_military_mission_british_building"	1
"p_bos_military_mission_british"	"bos_military_mission_british_units"	1
"p_bos_military_mission_british"	"bos_tech_naval_accuracy_mod"	5
"p_bos_military_mission_french"	"bos_military_mission_french_building"	1
"p_bos_military_mission_french"	"bos_military_mission_french_units"	1
"p_bos_military_mission_french"	"bos_tech_unit_modern_accuracy_mod"	5
"p_bos_peer_contempt"	"bos_event_diplomacy"	-50
"p_bos_peer_respect"	"bos_event_diplomacy"	50
"p_bos_realm_divide_emperor"	"bos_realm_divide_imperial_1_banner"	1
"p_bos_realm_divide_emperor"	"bos_realm_divide_imperial_2_rally"	1
"p_bos_realm_divide_emperor"	"bos_realm_divide_imperial_3_convert"	1
"p_bos_realm_divide_self"	"bos_realm_divide_self_1_summary"	1
"p_bos_realm_divide_self"	"bos_realm_divide_self_2_units_agents"	1
"p_bos_realm_divide_self"	"bos_realm_divide_self_3_propaganda_rebuild"	1
"p_bos_realm_divide_self"	"bos_realm_divide_self_4_propaganda_influence"	1
"p_bos_realm_divide_shogun"	"bos_realm_divide_shogun_1_banner"	1
"p_bos_realm_divide_shogun"	"bos_realm_divide_shogun_2_rally"	1
"p_bos_realm_divide_shogun"	"bos_realm_divide_shogun_3_convert"	1
"p_bos_ronin_marauders_local"	"bos_event_gdp_mod_population_local"	-15
"p_bos_ronin_marauders_local"	"bos_event_happiness_local"	-3
"p_bos_rule_the_waves"	"bos_event_morale_mod_navy"	2
"p_bos_samurai_discontent"	"bos_event_happiness_samurai_global"	-2
"p_bos_samurai_discontent"	"bos_event_samurai_cost"	50
"p_bos_samurai_satisfaction"	"bos_event_happiness_samurai_global"	2
"p_bos_samurai_satisfaction"	"bos_event_samurai_cost"	-50
"p_bos_security"	"bos_event_building_cost_mod_propaganda_local"	-25
"p_bos_security"	"bos_event_building_time_mod_propaganda_local"	-50
"p_bos_security"	"bos_event_recruitment_cost_shinsengumi_local"	-50
"p_bos_security"	"bos_repression_building_local"	1
"p_bos_shogunate_propaganda_local"	"bos_conversion_shogunate"	2
"p_bos_shoguns_authority"	"bos_shinsengumi_mod_conversion_global"	2
"p_bos_slow_research"	"bos_event_research_mod_both"	-25
"p_bos_spring"	"bos_event_happiness_global"	1
"p_bos_summer"	"bos_minister_replenishment_global"	5
"p_bos_thriving_markets"	"bos_geisha_mod_culture_chain"	25
"p_bos_thriving_markets"	"bos_trade_income_mod"	25
"p_bos_war_fervour"	"bos_event_morale_mod_army"	1
"p_bos_war_fervour"	"bos_event_morale_mod_navy"	1
"p_bos_winter"	"bos_tech_unit_land_movement_mod"	-5
"p_call_to_arms"	"recruitment_points_bonus"	1
"p_compassion_buddha_global"	"conversion_buddhist"	1
"p_compassion_buddha_local"	"conversion_buddhist"	2
"p_dis_disease"	"gdp_mod_province_capital"	-50
"p_dis_disease"	"happy_events_local"	-2
"p_dis_disease"	"mod_unit_recruitment_cost_land_all"	50
"p_dis_drought"	"food_consumption_event_disaster"	1
"p_dis_drought"	"gdp_mod_farms"	-50
"p_dis_drought"	"happy_events_local"	-2
"p_dis_drought"	"mod_unit_recruitment_cost_land_all"	50
"p_dis_earthquake"	"building_construction_time_mod_all"	50
"p_dis_earthquake"	"gdp_mod_mines"	-50
"p_dis_earthquake"	"gdp_mod_province_capital"	-50
"p_dis_earthquake"	"happy_events_local"	-2
"p_dis_earthquake"	"tw_growth_mod_infrastructure"	-50
"p_dis_fire"	"building_cost_mod_all"	50
"p_dis_fire"	"gdp_mod_province_capital"	-50
"p_dis_fire"	"happy_events_local"	-2
"p_dis_flood"	"gdp_mod_farms"	-50
"p_dis_flood"	"gdp_mod_province_capital"	-50
"p_dis_flood"	"happy_events_local"	-2
"p_dis_flood"	"tw_growth_mod_port_trade"	-50
"p_dis_severe_winter"	"building_construction_time_mod_all"	50
"p_dis_severe_winter"	"food_consumption_event_disaster"	1
"p_dis_severe_winter"	"gdp_mod_farms"	-50
"p_dis_severe_winter"	"gdp_mod_province_capital"	-50
"p_dis_tsunami"	"gdp_mod_province_capital"	-50
"p_dis_tsunami"	"happy_events_local"	-2
"p_dis_tsunami"	"mod_unit_recruitment_cost_ships"	50
"p_dis_tsunami"	"tw_growth_mod_port_trade"	-50
"p_dis_typhoon"	"building_cost_mod_all"	50
"p_dis_typhoon"	"gdp_mod_province_capital"	-50
"p_dis_typhoon"	"happy_events_local"	-2
"p_dis_typhoon"	"tw_growth_mod_infrastructure"	-50
"p_dis_typhoon"	"tw_growth_mod_port_trade"	-50
"p_dis_volcano"	"building_construction_time_mod_all"	50
"p_dis_volcano"	"gdp_mod_farms"	-50
"p_dis_volcano"	"gdp_mod_province_capital"	-50
"p_dis_volcano"	"happy_events_local"	-2
"p_dis_volcano"	"tw_growth_mod_infrastructure"	-50
"p_disaffected_populace_global"	"happy_events_global"	-2
"p_disaffected_populace_local"	"happy_events_local"	-4
"p_disaster"	"gdp_mod_all_local"	-50
"p_dreaded_force"	"mod_unit_morale_enemy"	-1
"p_foreign_prosperity"	"trade_node_mod"	25
"p_foreign_prosperity"	"tw_growth_mod_port_trade"	50
"p_gem_administrative_insight"	"gem_research_points_bonus_civil"	100
"p_gem_ardent_support"	"gem_conversion_no_non_state"	1
"p_gem_brigandry_global"	"gdp_mod_population_global"	-10
"p_gem_brigandry_global"	"happy_events_local"	-1
"p_gem_brigandry_local"	"gdp_mod_population_local"	-20
"p_gem_brigandry_local"	"happy_events_local"	-2
"p_gem_fujiwara_influence_other"	"gem_mod_conversion_rate_fujiwara_global"	3
"p_gem_fujiwara_influence_self"	"gem_mod_conversion_rate_fujiwara_global"	3
"p_gem_martial_wisdom"	"gem_research_points_bonus_military"	100
"p_gem_master_dancer"	"gem_tech_agent_dancer_success"	10
"p_gem_master_inspector"	"gem_tech_agent_inspector_success"	10
"p_gem_master_monk"	"gem_tech_agent_monk_success"	10
"p_gem_master_spy"	"gem_tech_agent_spy_success"	10
"p_gem_minamoto_influence_other"	"gem_mod_conversion_rate_minamoto_global"	3
"p_gem_minamoto_influence_self"	"gem_mod_conversion_rate_minamoto_global"	3
"p_gem_propaganda"	"gem_conversion_clan_influence"	2
"p_gem_taira_antoku_enthroned"	"diplomacy_bonus_faction_leader"	-25
"p_gem_taira_antoku_enthroned"	"tax_bonus_minister"	2
"p_gem_taira_influence_other"	"gem_mod_conversion_rate_taira_global"	3
"p_gem_taira_influence_self"	"gem_mod_conversion_rate_taira_global"	3
"p_gem_tax_supplement"	"tax_bonus_building"	10
"p_gem_unwanted_influence_fujiwara"	"gem_mod_conversion_rate_fujiwara_global"	-3
"p_gem_unwanted_influence_minamoto"	"gem_mod_conversion_rate_minamoto_global"	-3
"p_gem_unwanted_influence_taira"	"gem_mod_conversion_rate_taira_global"	-3
"p_grateful_populace_global"	"happy_events_global"	2
"p_grateful_populace_global"	"tw_growth_events_global"	5
"p_grateful_populace_local"	"happy_events_local"	4
"p_grateful_populace_local"	"tw_growth_events_local"	10
"p_inspired_endeavours_global"	"gdp_mod_buildings_global"	25
"p_inspired_endeavours_local"	"gdp_mod_buildings_local"	50
"p_iron_fist"	"repression_events_global"	4
"p_lackluster_efforts_global"	"gdp_mod_buildings_global"	-25
"p_lackluster_efforts_local"	"gdp_mod_buildings_local"	-50
"p_lucrative_shipping"	"tw_growth_mod_port_trade"	100
"p_martial_wisdom"	"research_points_bonus_military"	100
"p_master_archers"	"mod_unit_xp_ranged_infantry"	2
"p_master_ashigaru"	"mod_unit_xp_ashigaru"	2
"p_master_builders"	"building_cost_mod_all_global"	-25
"p_master_cavalry"	"mod_unit_xp_cavalry"	2
"p_master_gunners"	"mod_unit_xp_matchlock"	2
"p_master_horsebreeders"	"mod_unit_recruitment_cost_cavalry"	-25
"p_master_ikko_monks"	"tech_agent_ikko_monk_success_mod"	10
"p_master_metsuke"	"tech_agent_metsuke_success_mod"	10
"p_master_missionaries"	"tech_agent_missionary_success_mod"	10
"p_master_monks"	"tech_agent_monk_success_mod"	10
"p_master_ninja"	"tech_agent_ninja_success_mod"	10
"p_master_samurai"	"mod_unit_xp_samurai"	2
"p_master_shipwrights"	"mod_unit_recruitment_cost_ships"	-25
"p_master_siegecraft"	"mod_unit_xp_artillery"	2
"p_master_smithies"	"mod_unit_recruitment_cost_melee_infantry"	-25
"p_master_spearmen"	"mod_unit_xp_spearmen"	2
"p_master_swordsmen"	"mod_unit_xp_swordsmen"	2
"p_meagre_harvest_local"	"food_consumption_event_disaster"	1
"p_meagre_harvest"	"food_consumption_event_disaster"	1
"p_merchant_discontent"	"trade_income_mod"	-15
"p_nanban_ambassador"	"mod_unit_recruitment_cost_nanban_port"	-25
"p_nanban_ambassador"	"tw_growth_mod_nanban_port"	100
"p_nanban_ire"	"mod_unit_recruitment_cost_nanban_port"	50
"p_nanban_ire"	"tw_growth_mod_nanban_port"	-50
"p_old_ways"	"gdp_mod_population_global"	10
"p_old_ways"	"happy_events_global"	2
"p_peer_contempt"	"diplomacy_bonus_faction_leader"	-50
"p_plenty"	"food_provision"	5
"p_plenty"	"gdp_mod_farms_global"	25
"p_prosperity_global"	"tw_growth_events_global"	10
"p_prosperity_local"	"tw_growth_events_local"	20
"p_provincial_turmoil_global"	"gdp_mod_buildings_global"	-15
"p_provincial_turmoil_global"	"happy_events_global"	-1
"p_provincial_turmoil_local"	"gdp_mod_buildings_local"	-30
"p_provincial_turmoil_local"	"happy_events_local"	-2
"p_rampant_piracy"	"trade_node_mod"	-50
"p_rampant_piracy"	"tw_growth_mod_port_trade"	-50
"p_religious_zeal"	"conversion_state_religion"	1
"p_religious_zeal"	"religion_conversion_no_non_state"	1
"p_research"	"research_points_bonus_all"	50
"p_ronin_marauders"	"gdp_mod_population_local"	-15
"p_ronin_marauders"	"happy_events_local"	-4
"p_rule_the_waves"	"mod_unit_morale_navy"	2
"p_shogunal_deputy"	"admin_cost_mod"	-2
"p_shogunal_deputy"	"diplomacy_bonus_faction_leader"	50
"p_staunch_defence"	"mod_unit_melee_defence_global"	2
"p_taskmaster_global"	"building_construction_time_mod_all_global"	-25
"p_taskmaster_local"	"building_construction_time_mod_all"	-50
"p_thriving_markets"	"trade_income_mod"	25
"p_thriving_markets"	"tw_growth_industry_global"	5
"p_vigilance_global"	"regional_line_of_sight_mod_global"	3
"p_vigilance_local"	"regional_line_of_sight_mod_local"	5
"p_war_fervour"	"mod_unit_morale_army"	2
"p_way_words"	"diplomacy_bonus_faction_leader"	25
"p_wisdom_shinran_global"	"conversion_ikko"	1
"p_wisdom_shinran_local"	"conversion_ikko"	2
"p_word_of_god_global"	"conversion_catholic"	1
"p_word_of_god_local"	"conversion_catholic"	2
"requiem_of_the_dead"	"happy_events_global"	1
"requiem_of_the_dead"	"tech_unit_land_morale_mod"	1
"s_christian"	"mod_unit_recruit_cost_imported_matchlock"	-50
"s_christian"	"mod_unit_recruit_time_imported_matchlock"	-2
"s_christian"	"null_effect_christian_building"	0
"s_family_death_mourn"	"happy_events_global"	-4
"s_shogun_effects"	"mod_unit_morale_global"	1
"s_shogun_effects"	"shogun_null_effect_great_guard"	0
"s_shogun_effects"	"shogun_null_effect_nihon_maru"	0
"s_shogun_effects"	"tax_bonus_minister"	2
"s_shogun_effects"	"tech_clan_daimyo_honour_mod"	1
"summer_son"	"happy_events_global"	1
"summer_son"	"tech_unit_land_morale_mod"	1
"t_chosokabe"	"clan_trait_chosokabe_cheap_foot_archers"	1
"t_chosokabe"	"clan_trait_chosokabe_superio_foot_archers"	1
"t_chosokabe"	"clan_trait_chosokabe_superior_farms"	10
"t_date"	"clan_trait_date_charge_bonus"	2
"t_date"	"clan_trait_date_cheap_nodachi"	1
"t_date"	"clan_trait_date_superior_nodachi"	1
"t_hattori"	"clan_trait_hattori_guerrilla_deployment"	1
"t_hattori"	"clan_trait_hattori_stealthy_units"	1
"t_hattori"	"tech_agent_ninja_success_mod"	2
"t_hojo"	"clan_trait_hojo_cheap_castle"	-10
"t_hojo"	"clan_trait_hojo_cheap_siege_units"	1
"t_hojo"	"clan_trait_hojo_superior_siege_units"	1
"t_ikko"	"clan_trait_ikko_ashigaru"	1
"t_ikko"	"clan_trait_ikko_general_convert"	1
"t_ikko"	"clan_trait_ikko_no_metsuke"	1
"t_ikko"	"clan_trait_ikko_warrior_monks"	1
"t_mori"	"clan_trait_mori_cheap_ship"	1
"t_mori"	"clan_trait_mori_ship_movement"	1
"t_mori"	"clan_trait_mori_superior_ship"	1
"t_oda"	"clan_trait_oda_ashigaru_morale_bonus"	1
"t_oda"	"clan_trait_oda_cheap_ashigaru"	1
"t_otomo"	"clan_trait_otomo_cheap_gunpowder_units"	-10
"t_otomo"	"clan_trait_otomo_cheap_missionary_actions"	-15
"t_otomo"	"clan_trait_otomo_faster_import_matchlock"	-3
"t_otomo"	"clan_trait_otomo_improved_conversion"	2
"t_shimazu"	"clan_trait_shimazu_cheap_samurai"	1
"t_shimazu"	"clan_trait_shimazu_increased_loyalty"	1
"t_shimazu"	"clan_trait_shimazu_superior_katana_hero"	1
"t_shimazu"	"clan_trait_shimazu_superior_katana_samurai"	1
"t_takeda"	"clan_trait_takeda_cavalry_morale_bonus"	1
"t_takeda"	"clan_trait_takeda_cheap_cavalry"	1
"t_takeda"	"clan_trait_takeda_superior_cavalry"	1
"t_tokugawa"	"clan_trait_tokugawa_cheap_battlefield_ninja"	1
"t_tokugawa"	"clan_trait_tokugawa_diplomacy_bonus"	5
"t_tokugawa"	"clan_trait_tokugawa_superior_battlefield_ninja"	1
"t_tokugawa"	"tech_agent_metsuke_success_mod"	2
"t_uesugi"	"clan_trait_uesugi_cheap_warrior_monks"	1
"t_uesugi"	"clan_trait_uesugi_superior_warrior_monks"	1
"t_uesugi"	"clan_trait_uesugi_trade_bonus"	5
"t_uesugi"	"tech_agent_monk_success_mod"	2
