version 1, schema building_faction_variants_tables
Building_IDRef(string)	Faction(string)	Campaign_Map_Model(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"sCulture5_prussia_humboldt"	"prussia"	"sPrest_prussia_humboldt"	"sCulture5_Prussian_Universität"	"sPrest_prussia_humboldt"
"sCulture5_russia_kremlinarmoury"	"russia"	"sPrest_russia_kremlinarmoury"	"sCulture5_Russian_Kremlin_Armoury"	"sPrest_russia_kremlinarmoury"
"sPrest_austria_heldenplatz"	"austria"	"sPrest_austria_heldenplatz"	"sPrest_Austrian_Heldenplatz"	"sPrest_austria_heldenplatz"
"sPrest_britain_nelson"	"britain"	"sPrest_britain_nelson"	"sPrest_British_Nelson's_Column"	"sPrest_britain_nelson"
"sPrest_france_arcdetriomphe"	"france"	"sPrest_france_arcdetriomphe"	"sPrest_French_Arc_de_Triomphe"	"sPrest_france_arcdetriomphe"
"sPrest_prussia_victorycolumn"	"prussia"	"sPrest_prussia_victorycolumn"	"sPrest_Prussian_Siegessäule"	"sPrest_prussia_victorycolumn"
"sPrest_russia_monumentminin"	"russia"	"sPrest_russia_monumentminin"	"sPrest_Russian_Monument"	"sPrest_russia_monumentminin"
"tEducationTutorial1_college"	"tut_france"	"EU_tEducation1_college"	"tEducation1_college_european"	"EU_tEducation1_college"
"tReligionSpain1_chapel"	"spa_spain"	"EU_town_education_lvl1_religious"	"tReligion1_chapel"	"EU_town_education_lvl1_religious"
"tReligionSpain2_church"	"spa_spain"	"EU_town_education_lvl2_religious"	"tReligion2_church"	"EU_town_education_lvl2_religious"
"tReligionSpain3_cathedral"	"spa_spain"	"EU_town_education_lvl3_religious"	"tReligion3_cathedral"	"EU_town_education_lvl3_religious"
"tSecretSpain1_gentlemens_club"	"spa_france"	"EU_tSecret1_gentlemens_club"	"tSecret1_gentlemens_club_spain"	"EU_tSecret1_gentlemens_club"
"tSecretSpain2_secret_society"	"spa_france"	"EU_tSecret2_secret_society"	"tSecret2_secret_society_spain"	"EU_tSecret2_secret_society"
"tSecretSpain3_masonic_lodge"	"spa_france"	"EU_tSecret3_masonic_lodge"	"tSecret3_masonic_lodge_spain"	"EU_tSecret3_masonic_lodge"
"tEducationSpain1_college"	"spa_britain"	"EU_tEducation1_college"	"tEducation1_college_spain"	"EU_tEducation1_college"
"tEducationSpain2_university"	"spa_britain"	"EU_tEducation2_university"	"tEducation2_university_spain"	"EU_tEducation2_university"
"tEducationSpain3_enlightened_university"	"spa_britain"	"EU_tEducation3_enlightened_university"	"tEducation3_enlightened_university_spain"	"EU_tEducation3_enlightened_university"
"tEducationSpain1_college"	"spa_france"	"EU_tEducation1_college"	"tEducation1_college_spain"	"EU_tEducation1_college"
"tEducationSpain2_university"	"spa_france"	"EU_tEducation2_university"	"tEducation2_university_spain"	"EU_tEducation2_university"
"tEducationSpain3_enlightened_university"	"spa_france"	"EU_tEducation3_enlightened_university"	"tEducation3_enlightened_university_spain"	"EU_tEducation3_enlightened_university"
"tReligionSpain1_chapel"	"spa_portugal"	"EU_town_education_lvl1_religious"	"tReligion1_chapel"	"EU_town_education_lvl1_religious"
"tReligionSpain2_church"	"spa_portugal"	"EU_town_education_lvl2_religious"	"tReligion2_church"	"EU_town_education_lvl2_religious"
"tReligionSpain3_cathedral"	"spa_portugal"	"EU_town_education_lvl3_religious"	"tReligion3_cathedral"	"EU_town_education_lvl3_religious"
"tSecretSpain1_gentlemens_club"	"spa_britain"	"EU_tSecret1_gentlemens_club"	"tSecret1_gentlemens_club_spain"	"EU_tSecret1_gentlemens_club"
"tSecretSpain2_secret_society"	"spa_britain"	"EU_tSecret2_secret_society"	"tSecret2_secret_society_spain"	"EU_tSecret2_secret_society"
"tSecretSpain3_masonic_lodge"	"spa_britain"	"EU_tSecret3_masonic_lodge"	"tSecret3_masonic_lodge_spain"	"EU_tSecret3_masonic_lodge"
