version 1, schema trigger_effects_tables, guid ea17eddc-e01a-4a30-a651-0cb1b90e6bff
unknown1(string)	unknown2(string)	Trait_IDRef(string)	unknown4(int)	unknown5(int)
"400"	"S2_boshin_all_blokes_maimed_trigger"	"S2_boshin_all_blokes_maimed"	1	10
"408"	"S2_boshin_all_blokes_noodles_trigger"	"S2_boshin_all_blokes_noodles"	1	1
"416"	"S2_boshin_all_blokes_womaniser_trigger"	"S2_boshin_all_blokes_womaniser"	1	1
"421"	"S2_boshin_shogunate_daimyo_created_trigger"	"S2_boshin_daimyo_foreign_tastes"	1	10
"431"	"S2_boshin_shogunate_daimyo_created_trigger"	"S2_boshin_daimyo_uncouth"	1	10
"438"	"S2_boshin_shogunate_daimyo_created_trigger"	"S2_boshin_daimyo_unjust"	1	10
"440"	"S2_boshin_shogunate_daimyo_created_trigger"	"S2_boshin_daimyo_paranoia"	1	10
"442"	"S2_boshin_imperialist_daimyo_created_trigger"	"S2_boshin_daimyo_uncouth"	1	10
"447"	"S2_boshin_imperialist_daimyo_created_trigger"	"S2_boshin_daimyo_unjust"	1	10
"455"	"S2_boshin_imperialist_daimyo_created_trigger"	"S2_boshin_daimyo_paranoia"	1	10
"458"	"S2_boshin_daimyo_cruel_trigger"	"S2_boshin_daimyo_cruel"	1	3
"466"	"S2_boshin_imperialist_daimyo_created_trigger"	"S2_boshin_daimyo_cruel"	1	10
"471"	"S2_boshin_shogunate_daimyo_created_trigger"	"S2_boshin_daimyo_cruel"	1	10
"480"	"S2_boshin_daimyo_foreign_tastes_trigger"	"S2_boshin_daimyo_foreign_tastes"	1	5
"485"	"S2_boshin_daimyo_paranoia_trigger"	"S2_boshin_daimyo_paranoia"	1	1
"491"	"S2_boshin_daimyo_peace_trigger"	"S2_boshin_daimyo_peace"	1	3
"494"	"S2_boshin_daimyo_protected_trigger"	"S2_boshin_daimyo_protected"	1	20
"501"	"S2_boshin_daimyo_unjust_trigger"	"S2_boshin_daimyo_unjust"	1	1
"506"	"S2_boshin_general_bloodthirsty_trigger"	"S2_boshin_general_bloodthirsty"	1	20
"509"	"S2_boshin_general_brave_trigger"	"S2_boshin_general_brave"	1	20
"514"	"S2_boshin_general_coward_trigger"	"S2_boshin_general_coward"	1	1
"522"	"S2_boshin_general_created_trigger"	"S2_boshin_general_ambition"	1	10
"524"	"S2_boshin_general_created_trigger"	"S2_boshin_general_brave"	1	10
"528"	"S2_boshin_general_created_trigger"	"S2_boshin_general_loyal"	1	10
"538"	"S2_boshin_general_created_trigger"	"S2_boshin_general_paranoia"	1	10
"545"	"S2_boshin_general_drunkard_trigger"	"S2_boshin_general_drunkard"	1	1
"547"	"S2_boshin_general_loyal_trigger"	"S2_boshin_general_loyal"	1	2
"557"	"S2_boshin_general_mad_grief_trigger"	"S2_boshin_general_mad_grief"	1	20
"566"	"S2_boshin_general_mad_trigger"	"S2_boshin_general_mad"	1	1
"572"	"S2_boshin_general_nocturnal_trigger"	"S2_boshin_general_nocturnal"	1	30
"581"	"S2_boshin_general_paranoia_trigger"	"S2_boshin_general_paranoia"	1	1
"588"	"S2_boshin_general_protected_trigger"	"S2_boshin_general_protected"	1	20
"593"	"S2_boshin_general_seasick_trigger"	"S2_boshin_general_seasick"	1	1
"610"	"S2_boshin_geisha_maimed_trigger"	"S2_boshin_geisha_maimed"	1	10
"614"	"S2_boshin_general_conservative_trigger"	"S2_boshin_general_conservative"	1	20
"618"	"S2_boshin_general_new_toys_trigger"	"S2_boshin_general_new_toys"	1	20
"623"	"S2_boshin_general_nostalgic_trigger"	"S2_boshin_general_nostalgic"	1	20
"632"	"S2_boshin_ishin_shishi_created_trigger"	"S2_boshin_ishin_shishi_chip"	1	20
"642"	"S2_boshin_ishin_shishi_created_trigger"	"S2_boshin_ishin_shishi_cruel"	1	20
"647"	"S2_boshin_ishin_shishi_created_trigger"	"S2_boshin_ishin_shishi_superpatriot"	1	20
"654"	"S2_boshin_shinsengumi_cruel_trigger"	"S2_boshin_shinsengumi_cruel"	1	20
"663"	"S2_boshin_shinsengumi_noble_trigger"	"S2_boshin_shinsengumi_noble"	1	20
"666"	"S2_boshin_veteran_japanophile_trigger"	"S2_boshin_veteran_japanophile"	1	20
"668"	"S2_boshin_veteran_japanophobe_trigger"	"S2_boshin_veteran_japanophobe"	1	20
"673"	"S2_boshin_shinsengumi_bandit"	"S2_boshin_shinsengumi_bandit"	1	20
"681"	"S2_boshin_ishin_shishi_persuasive_trigger"	"S2_boshin_ishin_shishi_persuasive"	1	20
"684"	"S2_boshin_geisha_created_trigger"	"S2_boshin_geisha_new_tricks"	1	20
"688"	"S2_boshin_shinobi_created_trigger"	"S2_boshin_shinobi_xenophobe"	1	20
"689"	"S2_boshin_shinobi_created_trigger"	"S2_boshin_shinobi_vicious"	1	20
"697"	"S2_boshin_veteran_created_trigger"	"S2_boshin_veteran_imperialist"	1	20
"699"	"S2_boshin_veteran_created_trigger"	"S2_boshin_veteran_mercenary"	1	20
"702"	"S2_boshin_veteran_created_trigger"	"S2_boshin_veteran_teetotal"	1	5
"710"	"S2_boshin_veteran_drunkard_trigger"	"S2_boshin_veteran_drunkard"	1	1
"714"	"S2_boshin_geisha_new_tricks_trigger"	"S2_boshin_geisha_new_tricks"	1	20
"718"	"S2_boshin_shinobi_vicious_trigger"	"S2_boshin_shinobi_vicious"	1	10
"721"	"S2_boshin_all_blokes_womaniser_agent_trigger"	"S2_boshin_all_blokes_womaniser_agents"	1	1
"93"	"S2_trait_all_blokes_maimed_trigger"	"S2_trait_all_blokes_maimed"	1	10
"99"	"S2_trait_all_blokes_noodles_trigger"	"S2_trait_all_blokes_noodles"	1	1
