version 1, schema campaign_ai_manager_behaviour_junctions_tables
Manager_IDRef(string)	Behavior(string)	Magnitude(float)
"nap_eur_full"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_eur_full"	"EXPANSION_BEHAVIOUR"	3000
"nap_eur_full"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"nap_eur_full"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_eur_full"	"HELP_ALLY_AT_WAR"	500
"nap_eur_full"	"MERGE_UNITS"	5000
"nap_eur_full"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_eur_full"	"MINIMUM_SAVING"	200
"nap_eur_full"	"NAVY_ATTACK_BEHAVIOUR"	2000
"nap_eur_full"	"NAVY_DISTRIBUTION"	1250
"nap_eur_full"	"NAVY_RECRUITMENT"	1250
"nap_eur_full"	"NAVY_REPAIR"	900
"nap_eur_full"	"NAVY_STRENGTH_MANAGER"	1750
"nap_eur_full"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"nap_eur_full"	"RAID_BEHAVIOUR"	1000
"nap_eur_full"	"RECALL_BEHAVIOUR"	500
"nap_eur_full"	"RECAPTURE_BEHAVIOUR"	1000
"nap_eur_full"	"REGION_COAST_DEFENCE"	500
"nap_eur_full"	"REGION_DEFENCE"	2000
"nap_eur_full"	"REGION_GROUP_DEFENCE"	1500
"nap_eur_full"	"REGIONAL_DEVELOPMENT"	500
"nap_eur_full"	"RESEARCH_TECHNOLOGY"	500
"nap_eur_full"	"TAXATION"	500
"nap_eur_full"	"TRADE_AREA_BEHAVIOUR"	1500
"nap_eur_full"	"TRADE_BEHAVIOUR"	500
"nap_eur_full"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"nap_eur_full"	"WAR_AND_PEACE"	1000
"nap_eur_maintainance"	"CULL_EXCESS_FORCES"	250
"nap_eur_maintainance"	"DIPLOMACY_MANAGER"	0
"nap_eur_maintainance"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_eur_maintainance"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"nap_eur_maintainance"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_eur_maintainance"	"HELP_ALLY_AT_WAR"	500
"nap_eur_maintainance"	"MERGE_UNITS"	5000
"nap_eur_maintainance"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_eur_maintainance"	"MINIMUM_SAVING"	200
"nap_eur_maintainance"	"NAVY_ATTACK_BEHAVIOUR"	2000
"nap_eur_maintainance"	"NAVY_DISTRIBUTION"	1250
"nap_eur_maintainance"	"NAVY_RECRUITMENT"	1250
"nap_eur_maintainance"	"NAVY_REPAIR"	900
"nap_eur_maintainance"	"NAVY_STRENGTH_MANAGER"	1750
"nap_eur_maintainance"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"nap_eur_maintainance"	"RECALL_BEHAVIOUR"	500
"nap_eur_maintainance"	"RECAPTURE_BEHAVIOUR"	1000
"nap_eur_maintainance"	"REGION_COAST_DEFENCE"	500
"nap_eur_maintainance"	"REGION_DEFENCE"	2000
"nap_eur_maintainance"	"REGION_GROUP_DEFENCE"	1500
"nap_eur_maintainance"	"REGIONAL_DEVELOPMENT"	500
"nap_eur_maintainance"	"RESEARCH_TECHNOLOGY"	500
"nap_eur_maintainance"	"TAXATION"	500
"nap_eur_maintainance"	"TRADE_AREA_BEHAVIOUR"	1500
"nap_eur_maintainance"	"TRADE_BEHAVIOUR"	500
"nap_eur_maintainance"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"nap_eur_maintainance"	"WAR_AND_PEACE"	1000
"nap_ita_full"	"CULL_EXCESS_FORCES"	250
"nap_ita_full"	"DIPLOMACY_MANAGER"	0
"nap_ita_full"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_ita_full"	"EXPANSION_BEHAVIOUR"	3000
"nap_ita_full"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_ita_full"	"HELP_ALLY_AT_WAR"	500
"nap_ita_full"	"MERGE_UNITS"	5000
"nap_ita_full"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_ita_full"	"MINIMUM_SAVING"	200
"nap_ita_full"	"RAID_BEHAVIOUR"	1000
"nap_ita_full"	"RECALL_BEHAVIOUR"	500
"nap_ita_full"	"RECAPTURE_BEHAVIOUR"	1000
"nap_ita_full"	"REGION_DEFENCE"	2000
"nap_ita_full"	"REGION_GROUP_DEFENCE"	1500
"nap_ita_full"	"REGIONAL_DEVELOPMENT"	500
"nap_ita_full"	"TAXATION"	500
"nap_ita_full"	"TRADE_BEHAVIOUR"	500
"nap_ita_full"	"WAR_AND_PEACE"	1000
"nap_ita_maintainance"	"CULL_EXCESS_FORCES"	250
"nap_ita_maintainance"	"DIPLOMACY_MANAGER"	0
"nap_ita_maintainance"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_ita_maintainance"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_ita_maintainance"	"HELP_ALLY_AT_WAR"	500
"nap_ita_maintainance"	"MERGE_UNITS"	5000
"nap_ita_maintainance"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_ita_maintainance"	"MINIMUM_SAVING"	200
"nap_ita_maintainance"	"RAID_BEHAVIOUR"	1000
"nap_ita_maintainance"	"RECALL_BEHAVIOUR"	500
"nap_ita_maintainance"	"RECAPTURE_BEHAVIOUR"	1000
"nap_ita_maintainance"	"REGION_DEFENCE"	2000
"nap_ita_maintainance"	"REGION_GROUP_DEFENCE"	1500
"nap_ita_maintainance"	"REGIONAL_DEVELOPMENT"	500
"nap_ita_maintainance"	"TAXATION"	500
"nap_ita_maintainance"	"TRADE_BEHAVIOUR"	500
"nap_ita_maintainance"	"WAR_AND_PEACE"	1000
"nap_spa_full"	"CULL_EXCESS_FORCES"	250
"nap_spa_full"	"DIPLOMACY_MANAGER"	0
"nap_spa_full"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_spa_full"	"EXPANSION_BEHAVIOUR"	3000
"nap_spa_full"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"nap_spa_full"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_spa_full"	"HELP_ALLY_AT_WAR"	500
"nap_spa_full"	"MERGE_UNITS"	5000
"nap_spa_full"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_spa_full"	"MINIMUM_SAVING"	200
"nap_spa_full"	"NAVY_ATTACK_BEHAVIOUR"	2000
"nap_spa_full"	"NAVY_DISTRIBUTION"	1250
"nap_spa_full"	"NAVY_RECRUITMENT"	1250
"nap_spa_full"	"NAVY_REPAIR"	900
"nap_spa_full"	"NAVY_STRENGTH_MANAGER"	1750
"nap_spa_full"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"nap_spa_full"	"RAID_BEHAVIOUR"	1000
"nap_spa_full"	"RECALL_BEHAVIOUR"	500
"nap_spa_full"	"RECAPTURE_BEHAVIOUR"	1000
"nap_spa_full"	"REGION_COAST_DEFENCE"	500
"nap_spa_full"	"REGION_DEFENCE"	2000
"nap_spa_full"	"REGION_GROUP_DEFENCE"	1500
"nap_spa_full"	"REGIONAL_DEVELOPMENT"	500
"nap_spa_full"	"RESEARCH_TECHNOLOGY"	500
"nap_spa_full"	"TAXATION"	500
"nap_spa_full"	"TRADE_AREA_BEHAVIOUR"	1500
"nap_spa_full"	"TRADE_BEHAVIOUR"	500
"nap_spa_full"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"nap_spa_full"	"WAR_AND_PEACE"	1000
"nap_spa_maintainance"	"CULL_EXCESS_FORCES"	250
"nap_spa_maintainance"	"DIPLOMACY_MANAGER"	0
"nap_spa_maintainance"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_spa_maintainance"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"nap_spa_maintainance"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_spa_maintainance"	"HELP_ALLY_AT_WAR"	500
"nap_spa_maintainance"	"MERGE_UNITS"	5000
"nap_spa_maintainance"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_spa_maintainance"	"MINIMUM_SAVING"	200
"nap_spa_maintainance"	"NAVY_ATTACK_BEHAVIOUR"	2000
"nap_spa_maintainance"	"NAVY_DISTRIBUTION"	1250
"nap_spa_maintainance"	"NAVY_RECRUITMENT"	1250
"nap_spa_maintainance"	"NAVY_REPAIR"	900
"nap_spa_maintainance"	"NAVY_STRENGTH_MANAGER"	1750
"nap_spa_maintainance"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"nap_spa_maintainance"	"RECALL_BEHAVIOUR"	500
"nap_spa_maintainance"	"RECAPTURE_BEHAVIOUR"	1000
"nap_spa_maintainance"	"REGION_COAST_DEFENCE"	500
"nap_spa_maintainance"	"REGION_DEFENCE"	2000
"nap_spa_maintainance"	"REGION_GROUP_DEFENCE"	1500
"nap_spa_maintainance"	"REGIONAL_DEVELOPMENT"	500
"nap_spa_maintainance"	"RESEARCH_TECHNOLOGY"	500
"nap_spa_maintainance"	"TAXATION"	500
"nap_spa_maintainance"	"TRADE_AREA_BEHAVIOUR"	1500
"nap_spa_maintainance"	"TRADE_BEHAVIOUR"	500
"nap_spa_maintainance"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"nap_spa_maintainance"	"WAR_AND_PEACE"	1000
"nap_spa_full"	"MISSIONARY_BEHAVIOUR"	500
"nap_spa_maintainance"	"MISSIONARY_BEHAVIOUR"	500
