version 1, schema quotes_tables, guid 1b10e05f-5f3e-4917-a2ca-da90bd49a3ef
Text(string)	Author(string)	Quote_ID(string)
"Polish your wisdom: learn public justice, distinguish between good and evil, study the ways of different arts one by one."	"miyamoto_musashi"	"1152"
"When you cannot be deceived by men you will have realised the wisdom of strategy."	"miyamoto_musashi"	"1162"
"In strategy it is important to see distant things as if they were close and to take a distanced view of close things."	"miyamoto_musashi"	"1171"
"It is necessary in strategy to be able to look to both sides without moving the eyeballs. You cannot master this ability quickly."	"miyamoto_musashi"	"1174"
"When you take up a sword, you must feel intent on cutting up the enemy. As you cut an enemy you must not change your grip, and your hands must not cower."	"miyamoto_musashi"	"1182"
"To cut and slash are two different things. Cutting, whatever form of cutting it is, is decisive, with a resolute spirit. Slashing is nothing more than touching the enemy."	"miyamoto_musashi"	"1188"
"With your spirit calm, attack with a feeling of constantly crushing the enemy, from first to last. The spirit is to win in the depths of the enemy."	"miyamoto_musashi"	"1190"
"The important thing in strategy is to suppress the enemy's useful actions, but allow his useless actions."	"miyamoto_musashi"	"1193"
"'Crossing at a ford' occurs often in a man's lifetime. It means setting sail even though your friends stay in harbour, knowing the route, knowing the soundness of your ship and the favour of the day."	"miyamoto_musashi"	"1199"
"When the enemy starts to collapse you must pursue him without the chance of letting go. If you fail to take advantage of your enemies collapse, they may recover."	"miyamoto_musashi"	"1208"
"When you cannot see the enemy's position, indicate that you are about to attack strongly, to discover his resources."	"miyamoto_musashi"	"1215"
"You can frighten the enemy not just by what you present to their eyes, but by shouting, making a small force seem large, or by threatening them from the flank without warning."	"miyamoto_musashi"	"1219"
"What is called the spirit of the void is where there is nothing. It is not included in man's knowledge."	"miyamoto_musashi"	"1224"
"People in this world look at things mistakenly, and think that what they do not understand must be the void. This is not the true void. It is bewilderment."	"miyamoto_musashi"	"1227"
"In the void is virtue, and no evil. Wisdom has existence, principle has existence, the way has existence, spirit is nothingness."	"miyamoto_musashi"	"1237"
"The void is nothingness. By knowing things that exist, you can know that which does not exist. That is the void."	"miyamoto_musashi"	"1243"
"The gaze should be large and broad. This is the twofold gaze 'Perception and Sight'. Perception is strong and sight weak."	"miyamoto_musashi"	"1252"
"If we watch men of other skills discussing theory, and concentrating on techniques with the hands, even though they seem skilful to watch, they have not the slightest true spirit."	"miyamoto_musashi"	"1259"
"In strategy your spiritual bearing must not be any different from normal. Both in fighting and in everyday life you should be determined though calm. Meet the situation without tenseness yet not recklessly, your spirit settled yet unbiased."	"miyamoto_musashi"	"1261"
"When you decide to attack, keep calm and dash in quickly, forestalling the enemy. Or you can advance seemingly strongly but with a reserved spirit, forestalling him in advance."	"miyamoto_musashi"	"1266"
"In contests of strategy it is bad to be led about by the enemy. You must always be able to lead the enemy about."	"miyamoto_musashi"	"1272"
"Perceive that which cannot be seen with the eye."	"miyamoto_musashi"	"1277"
"You win battles by knowing the enemy's timing, and using a timing which the enemy does not expect. "	"miyamoto_musashi"	"1285"
"Generally speaking, the way of the warrior is resolute acceptance of death."	"miyamoto_musashi"	"1288"
"If the enemy thinks of the mountains, attack like the sea; and if he thinks of the sea, attack like the mountains."	"miyamoto_musashi"	"1293"
"To master the virtue of the long sword is to govern the world and oneself, thus the long sword is the basis of strategy. If he attains the virtue of the long sword, one man can beat ten men. In my strategy, one man is the same as ten thousand, so this strategy is the complete warrior's craft."	"miyamoto_musashi"	"1297"
"Intelligence is the flower of discrimination. There are many examples of the flower blooming but not bearing fruit."	"nabeshima_naoshige"	"1306"
"Bushido is in being crazy to die. Fifty or more could not kill one such a man."	"nabeshima_naoshige"	"1314"
"Consider the minds of your underlings well, for it will be difficult to be wide of the mark when judging things in comparison from their standpoint."	"nabeshima_naoshige"	"1316"
"Encourage and listen well to the words of your subordinates. It is well known that gold lies hidden underground."	"nabeshima_naoshige"	"1322"
"No matter whether a person belongs to the upper or lower ranks, if he has not put his life on the line at least once he has cause for shame."	"nabeshima_naoshige"	"1332"
"The way of the samurai is found in death. When it comes to either/or, there is only the quick choice of death. It is not particularly difficult. Be determined and advance."	"nabeshima_naoshige"	"1335"
"Throughout your life advance daily, becoming more skilful than yesterday, more skilful than today. This is never-ending."	"nabeshima_naoshige"	"1336"
"Matters of great concern should be treated lightly."	"nabeshima_naoshige"	"1344"
"No matter if the enemy has thousands of men, there is fulfilment in simply standing them off and being determined to cut them all down, starting from one end."	"nabeshima_naoshige"	"1351"
"A real man does not think of victory or defeat. He plunges recklessly towards an irrational death. By doing this, you will awaken from your dreams."	"nabeshima_naoshige"	"1358"
"A samurai with no group and no horse is not a samurai at all."	"nabeshima_naoshige"	"1368"
"A man whose profession is the use of arms should think and then act upon not only his fame, but also that of his descendants. He should not scandalise his name forever by holding his one and only life too dear."	"shiba_yoshimasa"	"1371"
"Many men feel that they should act according to the time or the moment they are facing, and thus are in confusion when something goes beyond this and some difficulty arises."	"shiba_yoshimasa"	"1374"
"Deliberate tactical errors and minor losses are the means by which to bait the enemy."	"sun_tzu"	"1380"
"On both difficult and easy terrain, you must know the 'tenable' and 'fatal' ground. Occupy tenable ground and attack on fatal ground."	"sun_bin"	"1382"
"One's soldiers should not yell abuse at the enemy. An old saying goes: \"Arouse a bee and it will come at you with the force of a dragon.\""	"takeda_nobushige"	"1386"
"In the Wu Tzu it says: \"He who would save his life shall lose it, and he who would give up his life shall save it.\""	"takeda_nobushige"	"1389"
"One should not utter a word about his own inadequacies. In the Oxo it says: \"When a man lets out a single word, the long and short of him will be known.\""	"takeda_nobushige"	"1390"
"One must not be negligent in learning. In the Lun Yu it says: \"To study and not to think is darkness. To think without study is dangerous.\""	"takeda_nobushige"	"1392"
"One must never be perfidious to his master. In the Lun Yu it says: \"One should act according to the way even in times of haste. One should act according to the way even in times of danger. It says further: 'When one is serving his master, he should exert himself.\""	"takeda_nobushige"	"1396"
"One should not turn his back on reproof. In the words of the ancients: \"Good medicine is bitter to the mouth, but has an effect on the disease. Faithful words hurt one's ears, but have value for one's conduct.\""	"takeda_nobushige"	"1401"
"It is also said that: \"The man who hunts a deer does not gaze at the mountains.\""	"takeda_nobushige"	"1410"
"When one would make a surprise attack on the enemy, he should avoid the major roads and seek out the lesser ones. Then attack."	"takeda_nobushige"	"1416"
"A man with deep far-sightedness will survey both the beginning and the end of a situation and continually consider its every facet as important."	"takeda_shingen"	"1423"
"Learning is to a man as the leaves and branches are to a tree, and it can be said that he should simply not be without it."	"takeda_shingen"	"1428"
"Men with discrimination will be viewed as schemers; second, men with deep far-sightedness will be seen as cowards; and third, men with rough behaviour will be mistaken for real warriors."	"takeda_shingen"	"1432"
"When a flower is composed, it does not bloom all at once although the spring has come. Otherwise, yesterday's friend will become today's enemy, as yesterday's flower will become today's dust."	"chinese_proverb"	"1442"
"Take care of yourself so you can serve your master."	"tale_heike"	"1449"
"This life is inconsequential; I am merely concerned about your facing the evil paths in the next one."	"tale_heike"	"1450"
"How can a man commit acts of martial valour if he values his life?"	"torii_mototada"	"1452"
"If you will take it into your mind to be sincere in throwing away your life for your master, you will not have the slightest fear or trembling even with the advent of innumerable impending calamities."	"torii_mototada"	"1456"
"I will stand off the forces of the entire country here…and die a resplendent death."	"torii_mototada"	"1457"
"The people of the various provinces are strictly forbidden to have in their possession any swords, short swords, bows, spears, firearms, or other types of arms."	"toyotomi_hideyoshi"	"1467"
"The possession of unnecessary implements makes difficult the collection of taxes and dues and tends to foment uprisings."	"toyotomi_hideyoshi"	"1468"
"Give my dream back raven! The moon you woke me to is misted over."	"uejima_onitsura"	"1478"
"A samurai will use a toothpick even though he has not eaten. Inside the skin of a dog, outside the hide of a tiger."	"yamamoto_tsunetomo"	"1482"
"An affected laugh shows lack of self-respect in a man and lewdness in a woman"	"yamamoto_tsunetomo"	"1486"
"It is carelessness to go about with one's hands inside the slits in the sides of his hakama."	"yamamoto_tsunetomo"	"1492"
"Tether even a roasted chicken."	"yamamoto_tsunetomo"	"1500"
"Continue to spur a running horse."	"yamamoto_tsunetomo"	"1501"
"To ask when you already know is politeness. To ask when you don't know is the rule."	"yamamoto_tsunetomo"	"1511"
"Go ahead and gamble a lie. A person who will not tell you seven lies within a hundred yards is useless as a man."	"yamamoto_tsunetomo"	"1518"
"As long as people overlook matters, then inferiors can, without any fear, lead an easy and peaceful life."	"yamamoto_tsunetomo"	"1528"
"When all your judgements are based on your own wisdom, you tend towards selfishness and fail by straying from the right path. "	"yamamoto_tsunetomo"	"1533"
"By bringing shame to a person, how could one expect to make him a better man?"	"yamamoto_tsunetomo"	"1542"
"There is one transcending level, and this is the most excellent of all. This person is aware of the endlessness of entering deeply into a certain Way and never thinks of himself as having finished."	"yamamoto_tsunetomo"	"1545"
"In the eyes of mercy, no one should have hateful thoughts. Feel pity for the man who is even more at fault. The area and size of mercy is limitless."	"yamamoto_tsunetomo"	"1554"
"A person who is discreet in speaking will be useful during the good times and will avoid punishment during the bad."	"yamamoto_tsunetomo"	"1564"
"If you are slain in battle, you should be resolved to have your corpse facing the enemy."	"yamamoto_tsunetomo"	"1572"
"There is not a man who does not get senile by the time he reaches sixty. And when one thinks that he will not be senile, he is already so."	"yamamoto_tsunetomo"	"1580"
"If one thinks only of winning, a sordid victory will be worse than a defeat. For the most part, it becomes a squalid defeat."	"yamamoto_tsunetomo"	"1588"
"A person who knows but a little will put on an air of knowledge. This is a matter of inexperience. When someone knows something well, it will not be seen in this manner."	"yamamoto_tsunetomo"	"1593"
"The basic meaning of etiquette is to be quick at both the beginning and end and tranquil in the middle."	"yamamoto_tsunetomo"	"1594"
"As everything in this world is but a sham. Death is the only sincerity."	"yamamoto_tsunetomo"	"1600"
"One should make his decisions within the space of seven breaths."	"yamamoto_tsunetomo"	"1606"
"The end is important in all things."	"yamamoto_tsunetomo"	"1613"
"It is a wretched thing that the young men today are so contriving and so proud of their material possessions. Men with contriving hearts are lacking in duty. Lacking in duty, they will have no self-respect."	"yamamoto_tsunetomo"	"1614"
"When delivering something like an important letter or other written materials, grasp it firmly in your hand as you go and do not release it once, but hand it over directly to the recipient."	"yamamoto_tsunetomo"	"1620"
"By inconsistency and frivolity we stray from the Way and show ourselves to be beginners. In this we do much harm."	"yamamoto_tsunetomo"	"1624"
"It is better not to become acquainted with men about whom you have formerly had doubts. No matter what you do, they will be people by whom you will be tripped up or taken in."	"yamamoto_tsunetomo"	"1631"
"The saying 'the arts aid the body' is for samurai of other regions. For samurai of the Nabeshima clan the arts bring ruin to the body."	"yamamoto_tsunetomo"	"1636"
"The person who practices an art is an artist, not a samurai, and one should have the intention of being called a samurai."	"yamamoto_tsunetomo"	"1644"
"It is said that one should not hesitate to correct himself when he has made a mistake. If he corrects himself without the least bit of delay, his mistakes will disappear."	"yamamoto_tsunetomo"	"1651"
"You cannot tell whether a person is good or bad by his vicissitudes in life. Good and bad fortune are matters of fate."	"yamamoto_tsunetomo"	"1661"
"When something out of the ordinary happens, it is ridiculous to say that it is a mystery or a portent of something to come….the mystery is created in (their) minds, and by waiting for disaster, it is from their very minds that it occurs."	"yamamoto_tsunetomo"	"1664"
"A warrior should not say something fainthearted, even casually. He should set his mind to this beforehand. Even in trifling matters the depths of one's heart can be seen."	"yamamoto_tsunetomo"	"1672"
"When someone is giving you his opinion, you should receive it with deep gratitude even though it is worthless. If you don't, he will not tell you the things that he has seen and heard about you again."	"yamamoto_tsunetomo"	"1675"
"It is better to have some unhappiness while one is still young, for if a person does not experience some bitterness, his disposition will not settle down."	"yamamoto_tsunetomo"	"1678"
"Be true to the thought of the moment and avoid distraction. Other than continuing to exert yourself, enter into nothing else, but go to the extent of living single thought by single thought."	"yamamoto_tsunetomo"	"1683"
"One should be wary of talking on end about such subjects as learning, morality or folklore in front of elders or people of rank. It is disagreeable to listen to."	"yamamoto_tsunetomo"	"1686"
"Even if one's head were to be suddenly cut off, he should be able to do one more action with certainty."	"yamamoto_tsunetomo"	"1692"
"Covetousness, anger and foolishness are things to sort out well. When bad things happen in the world, if you look at them comparatively, they are not unrelated to these three things."	"yamamoto_tsunetomo"	"1700"
"Looking comparatively at the good things, you will see that they are not excluded from wisdom, humanity and bravery."	"yamamoto_tsunetomo"	"1705"
"I do not strive for my salvation with weapons but with patience and humility, in accordance with the doctrine of Jesus Christ."	"takayama_ukon"	"1711"
"If one will fix his heart in such a way and assist the world and its people, he will have the devotion of the men who see and hear him."	"hojo_shigetoki"	"1712"
"In this world of uncertainty, ours should be a path of discipline."	"shiba_yoshimasa"	"1722"
"One should always be genteel in his speaking. A man shows his inmost self by a single word."	"hojo_nagauji"	"1731"
"A samurai may kill a member of the lower class who has behaved offensively to him. Authorities do not require notification, the samurai being given permission to cut down (the offender) and leave without further ado."	"ieyasu_constitution_2"	"1741"
"The peasant is the foundation of the state and must be governed with care. He must be allowed neither too much, nor too little, but just enough rice to live on and keep for seed in the following year. The remainder must be taken from him in tax."	"honda_masanobu"	"1751"
"Peasants are people without sense or forethought. Therefore, they must not give rice to their wives and children at harvest time, but must save food for the future. They should eat millet, vegetables, and other coarse food instead of rice. Even the fallen leaves of plants should be saved as food against famine."	"keian_no_ofuregaki"	"1755"
"Gold and silver are treasures more precious than life. A man whose wish to serve is so strong that he offers bribes for an appointment shows thereby that his intentions are loyal."	"tanuma_okitsugu"	"1763"
"To die by the sword; no finer honour exists; winter’s grip awaits."	"death_poem"	"1770"
"Autumn blossom falls; death comes to all on swift wings; the warmth of life: gone."	"death_poem"	"1776"
"The warmth of summer; an arrow floats on the breeze; bringing with it death."	"death_poem"	"1784"
"Death now my master; cold as stone upon the field; I fall like blossom."	"death_poem"	"1788"
"Through the autumn fields; his steed, swift as typhoon winds; the arrow, fleeter."	"death_poem"	"1792"
"The depths of winter; the wolf stalks his prey by night; red blood on white snow."	"death_poem"	"1793"
"Dreaded shikome! The winter of life revealed; my soul is now free."	"death_poem"	"1799"
"Wounded and beaten; go without me my brothers; I leave my body here."	"death_poem"	"1803"
"Winter’s first snow; bodies freeze upon the ground; remnants of battle."	"death_poem"	"1808"
"I die triumphant; my soul soars above the snow; released at last."	"death_poem"	"1811"
"Although I greet death; I do not fear its icy grip; my soul is at peace."	"death_poem"	"1817"
"Camellia blossom; falling swiftly to the ground; my head follows after."	"death_poem"	"1826"
"The crane soars higher; its wings brush cherry blossom; my soul flies with it."	"death_poem"	"1828"
"In the ponds cool depths; the happy frog plays in spring; his life, a slow game."	"death_poem"	"1831"
"Summer’s arid heat; the dry parched earth welcomes me; my blood nourishing."	"death_poem"	"1832"
"Mount Fuji’s great peak; shrouded in tender spring rain; the lonely crane cries. "	"death_poem"	"1836"
"Blossom on the breeze; settles on the face of a corpse; beauty masking death."	"death_poem"	"1841"
"Warm summer rain; probes my glassy lifeless eyes; its warmth abandoned."	"death_poem"	"1849"
"Snowflakes in the air; a cold wind carries them on; to my sacred home."	"death_poem"	"1855"
"A doll floats downstream; carrying with it prayers; spring has come at last. "	"death_poem"	"1863"
"Sheltering cherry; my last breath stirs your blossom; my soul ascends. Meh."	"death_poem"	"1869"
"Autumn maple leaves; their colours, like the harvest; remind me of home. "	"death_poem"	"1877"
"A soul ship finds me; crystal waters call my name; I am dragged below."	"death_poem"	"1881"
"Cold steel pierces flesh; a moment of clarity: death is not the end. "	"death_poem"	"1884"
"The sorrow of defeat; Too much to bear; The kind sword touches my cold flesh."	"death_poem"	"1887"
"Noble enemy: I mourn your loss as I mourned; for my first-born son."	"death_poem"	"1895"
"Shapes in the shadow; a glint of steel; the silence steals my happy life. "	"death_poem"	"1902"
"Cunning tanuki; he preys upon my humble soul; I have no defence. "	"death_poem"	"1911"
"The old carp is wise; he whispers his dark secrets; only the wind hears."	"death_poem"	"1912"
"The dark tiger stalks; my soul quivers in the air; just for a moment."	"death_poem"	"1918"
"With my last breath; I honour my great master; now I go to him."	"death_poem"	"1930"
"Now I meet my end; warm blood washes my mouth; the tide coming forth. "	"death_poem"	"1931"
"My untimely death; plays like a noh tragedy; the masks are all wrong."	"death_poem"	"1941"
"Sunset seduces; each step brings me no closer; the horizon flees."	"death_poem"	"1949"
"A flash of lightning; illuminates man’s journey; then darkness returns."	"death_poem"	"1957"
"Raindrops on the lake; a universe of ripples; centre touching all."	"death_poem"	"1961"
"Leaves turn green to gold; not to end but to transform; as flesh rots to dust."	"death_poem"	"1964"
"I grow old and hunch; as gnarled branches turn downwards; returning to roots."	"death_poem"	"1968"
"Fish break the surface; and a reflection shatters; momentarily."	"death_poem"	"1976"
"My acts mark the land; time makes ghosts of every deed; as snow hides footprints."	"death_poem"	"1985"
"Flash of steel stills me; calmness mirrors the ocean; I await the waves."	"death_poem"	"1993"
"My wake leaves little; but as ripples reach the sea; they become great waves."	"death_poem"	"1997"
"I fall on my blade; crimson blossoms seed the earth; the spring buds drink deep."	"death_poem"	"2001"
"Autumn trees shed leaves; skinning the tree one by one; until it is bare."	"death_poem"	"2003"
"My eyes grow heavy; as blackened storm clouds grow near; engulfing the sun."	"death_poem"	"2013"
"Summer heat cracks dirt; weed tendrils escape and grab; dragging my bleached bones."	"death_poem"	"2017"
"Dripping morning dew; mimics the blood from a blade; it does not wake me."	"death_poem"	"2026"
"The death of blossoms; is not something to grieve on; but the way of things."	"asakura_soteki"	"2034"
"Melting icicles; once proud soldiers, lose all form; returning to streams."	"death_poem"	"2042"
"Gold arcs through the sky; as a breeze lifts fallen leaves; and I leave my dream."	"death_poem"	"2043"
"Everything grows cold; stillness like a frozen lake; there will be no thaw."	"death_poem"	"2046"
"Laying in the shade; dappled sunlight warms my face; a welcome farewell."	"death_poem"	"2054"
"Frost coats my body; a final suit of armour; buried in silver."	"death_poem"	"2063"
"Journeying westward; dried leaves crumble underfoot; blown by autumn wind."	"death_poem"	"2066"
"Lines etched in my face; are leafless winter branches; a map of my life. "	"death_poem"	"2068"
"Memories fading; awakening from the dream; gone like morning dew. "	"death_poem"	"2077"
"Covered by blossoms; I curl up to the dreaming; nature’s own blanket"	"death_poem"	"2080"
"Up into the sky; I kiss the falling snowflakes; as they pass me by"	"death_poem"	"2084"
"Twice I awaken; once at the first burst of spring; once in wintertime."	"death_poem"	"2086"
"Crossing the river; takes me from the familiar; to new adventures."	"death_poem"	"2095"
"Summer insects buzz; over new fragrant flowers; and fallen soldiers. "	"death_poem"	"2102"
"Spring blinks and withers; sheds its skin then dons a cloak; of sunset gold."	"death_poem"	"2107"
"Willows slowly stoop; preparing to meet the ground; as autumn arrives."	"death_poem"	"2115"
"In the autumn time; you cannot catch every leaf; nor halt coming age"	"death_poem"	"2124"
"Heat haze of summer; obscures a man’s path ahead; an unclear future."	"death_poem"	"2131"
"A tree’s skeleton; exposed by autumn season; ready for new life"	"death_poem"	"2140"
"Spring stretches and bursts; spilling forth life – but not me; my spring was last year"	"death_poem"	"2144"
"A generous rain; it lands hard on eyes that; neither flinch nor blink."	"death_poem"	"2147"
"A cold, low whistle; accompanies my last breath; wind in sympathy."	"death_poem"	"2148"
"The new year begins; my eyes hunger for the sight; of my last sunrise."	"death_poem"	"2151"
"Turning the snow pink; in the absence of springtime; I create blossoms."	"death_poem"	"2160"
"The mighty are destroyed at the last, they are but as the dust before the wind."	"tale_heike"	"2166"
"I speak of the old Japan, because out of the ashes of the old Japan there has risen a new Japan."	"shigeru_yoshida"	"2172"
"We pray that henceforth not only Japan but all mankind may know the blessings of harmony and progress."	"shigeru_yoshida"	"2180"
"If war should break out between England and Japan, the latter would suffer much more than the former. "	"townsend_harris"	"2185"
"No matter how many people wash the stones with their tears, these names will never vanish from the world."	"matsudaira_katamori"	"2195"
"We swear by the deities that if the Imperial Flag is once raised we will go through fire and water to ease the Emperor's mind."	"loyalist_oath"	"2201"
"If that double-bolted land, Japan, is ever to become hospitable, it is the whale-ship alone to whom the credit will be due; for already she is on the threshold."	"herman_melville"	"2203"
"It was an era where 100 people may hold 100 different arguments and you can't say who's wrong."	"unknown"	"2208"
"If you have one eye on your destination, then you have only one eye with which to find the way."	"unknown"	"2216"
"Nationalism is power hunger tempered by self-deception."	"orwell"	"2217"
"The backbone and real power of any navy are the vessels which, by due proportion of defensive and offensive powers, are capable of giving and taking hard knocks."	"mahan"	"2220"
"These are the only objects for which I have sent Commodore Perry, with a powerful squadron, to pay a visit to Your Imperial Majesty's renowned city of Edo: friendship, commerce, a supply of coal and provisions, and protection for our shipwrecked people."	"millard_fillmore"	"2224"
"In whatever situation a person finds himself, he should not abandon his favourite ways and his special abilities."	"sakamoto_ryoma"	"2234"
"A hero should go his own way!"	"sakamoto_ryoma"	"2241"
"Anything can be accomplished if you take responsibility for doing at least 80 percent to 90 percent of it yourself. Pass the remaining 10-20 percent of responsibility on to others and give them all the credit."	"sakamoto_ryoma"	"2249"
"I never do verbal battle with others, since even if I win an argument I can't change the other person's way of life."	"sakamoto_ryoma"	"2253"
"I am a person who raises himself up to the next level, rather than becoming discouraged."	"sakamoto_ryoma"	"2254"
"If you are a man, even if you die in a ditch during battle, you will die pitching forward."	"sakamoto_ryoma"	"2259"
"The purpose of coming into the world is to accomplish one's duties."	"sakamoto_ryoma"	"2263"
"The orders of the Tycoon, received from Kyoto, are to the effect that the ports are to be closed and the foreigners driven out, because the people of the country do not desire intercourse with foreign countries."	"ogasawara_dzusho"	"2273"
"It is, in fact, a declaration of war by Japan itself against the whole of the Treaty Powers, and the consequences of which, if not at once arrested, it will have to expiate by the severest and most merited chastisement."	"edward_neale"	"2283"
"It would be a good thing if the boat carrying the mission members sank to the bottom of the ocean."	"saigo_mission"	"2287"
"All action takes place, so to speak, in a kind of twilight, which like a fog or moonlight, often tends to make things seem grotesque and larger than they really are. "	"clausewitz"	"2292"
"If the leader is filled with high ambition and if he pursues his aims with audacity and strength of will, he will reach them in spite of all obstacles."	"clausewitz"	"2299"
"It is even better to act quickly and err than to hesitate until the time of action is past."	"clausewitz"	"2306"
"Politics is the womb in which war develops. "	"clausewitz"	"2308"
"The backbone of surprise is fusing speed with secrecy. "	"clausewitz"	"2315"
"The more a general is accustomed to place heavy demands on his soldiers, the more he can depend on their response."	"clausewitz"	"2319"
"To secure peace is to prepare for war."	"clausewitz"	"2320"
"War is not an independent phenomenon, but the continuation of politics by different means."	"clausewitz"	"2330"
"War is the domain of physical exertion and suffering."	"clausewitz"	"2340"
"War is the province of danger."	"clausewitz"	"2342"
"Pursue one great decisive aim with force and determination."	"clausewitz"	"2345"
"Two qualities are indispensable: first, an intellect that, even in the darkest hour, retains some glimmerings of the inner light which leads to truth; and second, the courage to follow this faint light wherever it may lead."	"clausewitz"	"2352"
"A government must not waiver once it has chosen it's course. It must not look to the left or right but go forward."	"bismarck"	"2362"
"Anyone who has ever looked into the glazed eyes of a soldier dying on the battlefield will think hard before starting a war."	"bismarck"	"2369"
"The great questions of the day will not be settled by means of speeches and majority decisions but by iron and blood."	"bismarck"	"2379"
"The main thing is to make history, not to write it."	"bismarck"	"2388"
"He was fearsome even when drinking. People would talk about whom they had killed today, and whom they were going to kill tomorrow. It was all so frightful. According to what I had heard, by that time Kondo had killed fifty or sixty men."	"kondo_mistress"	"2395"
"Though my body may decay on the island of Ezo, my spirit guards my lord in the east."	"hijikata_toshizo"	"2400"
"The Shogunate is run by a band of fools divorced from reality."	"saigo_takamori"	"2406"
"Submitting to the will of another; I have nothing to say this day; I value honour above life; Ah, the long flashing sword to which I readily surrender; and repay my lord's kindness with my life."	"kondo_death_poem"	"2410"
"He was a crafty scoundrel who committed evil for many years and killed a countless number of our men. But now he's been arrested and will die…"	"tani_tateki"	"2413"
"His countenance was the same as always in the face of death, and he died with composure. Those watching shed tears of sorrow for Kondo. He was truly a great man, unequalled throughout the ages."	"shimada_kai"	"2420"
"Swords and spears will no longer be of any use in battle. They are simply no match for guns."	"hijikata_toshizo"	"2423"
"Revere the Emperor, expel the barbarians."	"sonno_joi"	"2431"
"A man must not live under the same sky as one who has injured his lord or father."	"ieyasu_constitution"	"439"
"The way of the warrior is death. This means choosing death whenever there is a choice between life and death. It means nothing else."	"yamamoto_tsunetomo"	"446"
"The Four Oaths: Never be late with respect to the way of the warrior; be useful to the lord; be respectful to your parents; get beyond love and grief: exist for the good of man."	"yamamoto_tsunetomo"	"447"
"Dishonour is like a scar on a tree, which time, instead of effacing, only helps to enlarge."	"bushido_maxim"	"455"
"A little piece of gold may be highly valued, but if it gets in one's eye, the result will be darkness."	"iwamizudera_monogatari"	"458"
