version 1, schema building_upgrades_junction_tables
Building_IDRef(string)	Upgrade(string)
"naval_college"	"prest_unitedprovinces_kweekschool"
"open_gem_pit"	"deep_gem_shaft"
"opera_house"	"grand_opera_house"
"opera_house"	"royal_observatory"
"ordnance_board"	"engineer_school"
"ordnance_factory"	"great_arsenal"
"pottery_workshops"	"kilns"
"rel_catholic_0"	"rel_catholic_1"
"rel_catholic_1"	"rel_catholic_2"
"rel_hindu_0"	"rel_hindu_1"
"rel_hindu_1"	"rel_hindu_2"
"rel_islam_0"	"rel_islam_1"
"rel_islam_1"	"rel_islam_2"
"rel_orthodox_0"	"rel_orthodox_1"
"rel_orthodox_1"	"rel_orthodox_2"
"rel_protestant_0"	"rel_protestant_1"
"rel_protestant_1"	"rel_protestant_2"
"rice_farms"	"rice_farming_commune"
"rice_paddies"	"rice_farms"
"royal_academy"	"prest_prussia_berlin_academy"
"royal_academy"	"prest_spain_academia"
"royal_observatory"	"royal_academy"
"royal_palace"	"imperial_palace"
"school"	"college"
"settlement_fortifications"	"improved_settlement_fortifications"
"sheep_clearances"	"sheep_great_estates"
"sheep_great_estates"	"sheep_great_royal_palace"
"sheep_peasant_farms"	"sheep_tenanted_farms"
"sheep_tenanted_farms"	"sheep_clearances"
"shipyard"	"dockyard"
"silver_mine"	"steam-pumped_silver_mine"
"small_coffee_plantation"	"large_coffee_plantation"
"small_cotton_plantation"	"large_cotton_plantation"
"small_spices_plantation"	"large_spices_plantation"
"small_sugar_plantation"	"large_sugar_plantation"
"small_tea_plantation"	"large_tea_plantation"
"small_tobacco_plantation"	"large_tobacco_plantation"
"steam-pumped_gold_mine"	"industrial_gold_mining_complex"
"steam-pumped_iron_mine"	"industrial_iron_mining_complex"
"steam-pumped_silver_mine"	"industrial_silver_mining_complex"
"sugar_warehouse"	"steam-powered_sugar_mill"
"theatre"	"pleasure_gardens"
"timber_logging_camp"	"timber_lumber_mill"
"trading_port"	"commercial_port"
"tribal_ancestral_ground"	"tribal_holy_ground"
"tribal_burial_ground"	"tribal_ancestral_ground"
"tribal_chiefs_lodge"	"tribal_high_chiefs_lodge"
"tribal_council_of_elders"	"tribal_chiefs_lodge"
"tribal_drill_grounds"	"tribal_horse_breeder"
"tribal_high_chiefs_lodge"	"tribal_confederation_of_tribes"
"tribal_holy_ground"	"tribal_spiritual_circle"
"tribal_horse_breeder"	"tribal_warrior_lodge"
"tribal_hunting_grounds"	"tribal_drill_grounds"
"tribal_practice_fields"	"tribal_gunsmith"
"tribal_spiritual_circle"	"tribal_shamanic_gateway"
"tribal_village_longhouse"	"tribal_meeting_hall"
"tribal_warrior_lodge"	"tribal_practice_fields"
"university"	"enlightened_university"
"vineyards"	"wineries"
"water-powered_cloth_mill"	"steam-powered_cloth_mill"
"weavers_cottages"	"water-powered_cloth_mill"
"western_artillery_fort"	"star_fort"
"wheat_clearances"	"wheat_great_estates"
"wheat_great_estates"	"wheat_great_royal_palace"
"wheat_peasant_farms"	"wheat_tenanted_farms"
"wheat_tenanted_farms"	"wheat_clearances"
"wineries"	"wine_estates"
"wooden_artillery_fort"	"western_artillery_fort"
"NA_pioneer_01"	"NA_pioneer_02"
"NA_pioneer_02"	"NA_pioneer_03"
"tribal_corn_subsistence_farms"	"tribal_corn_communal_farms"
"tribal_playable_ancestral_ground"	"tribal_playable_holy_ground"
"tribal_playable_burial_ground"	"tribal_playable_ancestral_ground"
"tribal_playable_chiefs_lodge"	"tribal_playable_high_chiefs_lodge"
"tribal_playable_corn_subsistence_farms"	"tribal_playable_corn_communal_farms"
"tribal_playable_council_of_elders"	"tribal_playable_chiefs_lodge"
"tribal_playable_craft_workshops_textiles"	"tribal_playable_weavers_cottages"
"tribal_playable_drill_grounds"	"tribal_playable_horse_breeder"
"tribal_playable_fur_merchant"	"tribal_playable_fur_market"
"tribal_playable_high_chiefs_lodge"	"tribal_playable_confederation_of_tribes"
"tribal_playable_holy_ground"	"tribal_playable_spiritual_circle"
"tribal_playable_horse_breeder"	"tribal_playable_warrior_lodge"
"tribal_playable_hunting_grounds"	"tribal_playable_drill_grounds"
"tribal_playable_local_fishery"	"tribal_playable_fishing_fleet"
"tribal_playable_practice_fields"	"tribal_playable_gunsmith"
"tribal_playable_sheep_subsistence_farms"	"tribal_playable_sheep_communal_farms"
"tribal_playable_spiritual_circle"	"tribal_playable_shamanic_gateway"
"tribal_playable_village_longhouse"	"tribal_playable_meeting_hall"
"tribal_playable_warrior_lodge"	"tribal_playable_practice_fields"
"tribal_playable_wheat_subsistence_farms"	"tribal_playable_wheat_communal_farms"
"tribal_playble_craft_workshops_metal"	"tribal_playable_iron_workshops"
"tribal_wheat_subsistence_farms"	"tribal_wheat_communal_farms"
