version 1, schema cdir_unit_balance_template_junctions_tables, guid b3be85b4-0888-4911-8c16-7c2911d2f2d0
faction(string)	template(string)	value(int)
"takeda"	"cannon_ship_only"	-200
"takeda"	"cavalry_heavy"	250
"takeda"	"cavalry_heavy_late"	350
"takeda"	"default"	-500
"takeda"	"default_naval"	-500
"takeda"	"heavy_ship_heavy"	100
"takeda"	"light_and_medium_only"	-150
"takeda"	"light_ship_heavy"	100
"takeda"	"light_ship_only"	-300
"takeda"	"medium_ship_heavy"	100
"takeda"	"melee_and_cavalry_only"	-150
"takeda"	"melee_and_missile_only"	-150
"takeda"	"melee_heavy"	100
"takeda"	"melee_heavy_late"	200
"takeda"	"melee_infantry_only"	-300
"takeda"	"ranged_heavy"	100
"takeda"	"ranged_heavy_late"	200
"takeda"	"ship_standard"	100
"takeda"	"ship_standard_late"	200
"takeda"	"standard"	100
"takeda"	"standard_late"	200
"uesugi"	"cannon_ship_only"	-200
"uesugi"	"cavalry_heavy"	100
"uesugi"	"cavalry_heavy_late"	200
"uesugi"	"default"	-500
"uesugi"	"default_naval"	-500
"uesugi"	"heavy_ship_heavy"	100
"uesugi"	"light_and_medium_only"	-150
"uesugi"	"light_ship_heavy"	100
"uesugi"	"light_ship_only"	-300
"uesugi"	"medium_ship_heavy"	100
"uesugi"	"melee_and_cavalry_only"	-150
"uesugi"	"melee_and_missile_only"	-150
"uesugi"	"melee_heavy"	200
"uesugi"	"melee_heavy_late"	300
"uesugi"	"melee_infantry_only"	-300
"uesugi"	"ranged_heavy"	100
"uesugi"	"ranged_heavy_late"	200
"uesugi"	"ship_standard"	100
"uesugi"	"ship_standard_late"	200
"uesugi"	"standard"	100
"uesugi"	"standard_late"	200
