version 1, schema building_units_allowed_tables
Building_IDRef(string)	Unit(string)	Experience(int)	Unknown4(boolean)
"port_multitask_1"	"bomb_ketch"	0	false
"port_multitask_1"	"bomb_ketch_american"	0	false
"port_multitask_1"	"bomb_ketch_british"	0	false
"port_multitask_1"	"bomb_ketch_french"	0	false
"port_multitask_1"	"bomb_ketch_spanish"	0	false
"port_multitask_1"	"brig"	1	false
"port_multitask_1"	"brig_american"	1	false
"port_multitask_1"	"brig_british"	1	false
"port_multitask_1"	"brig_french"	1	false
"port_multitask_1"	"brig_spanish"	1	false
"port_multitask_1"	"episodic_2_5th_rate"	0	false
"port_multitask_1"	"episodic_2_brig"	0	false
"port_multitask_1"	"episodic_2_sloop"	0	false
"port_multitask_1"	"galleon"	0	false
"port_multitask_1"	"galleon_fluyt"	0	false
"port_multitask_1"	"galleon_race_built"	0	false
"port_multitask_1"	"light_galley/galliot/fusta"	0	false
"port_multitask_1"	"medium_galley"	0	false
"port_multitask_1"	"ottoman_medium_galley"	0	false
"port_multitask_1"	"sloop"	1	false
"port_multitask_1"	"sloop_american"	1	false
"port_multitask_1"	"sloop_british"	1	false
"port_multitask_1"	"sloop_french"	1	false
"port_multitask_1"	"sloop_spanish"	1	false
"port_multitask_2"	"dhow"	0	false
"port_multitask_2"	"indiaman"	0	false
"port_multitask_2"	"2nd_rate"	0	false
"port_multitask_2"	"2nd_rate_american"	0	false
"port_multitask_2"	"2nd_rate_british"	0	false
"port_multitask_2"	"2nd_rate_french"	0	false
"port_multitask_2"	"2nd_rate_spanish"	0	false
"port_multitask_2"	"3rd_rate"	0	false
"port_multitask_2"	"3rd_rate_admiral"	0	false
"port_multitask_2"	"3rd_rate_admiral_american"	0	false
"port_multitask_2"	"3rd_rate_admiral_british"	0	false
"port_multitask_2"	"3rd_rate_admiral_french"	0	false
"port_multitask_2"	"3rd_rate_admiral_russian"	0	false
"port_multitask_2"	"3rd_rate_admiral_spanish"	0	false
"port_multitask_2"	"3rd_rate_american"	0	false
"port_multitask_2"	"3rd_rate_british"	0	false
"port_multitask_2"	"3rd_rate_french"	0	false
"port_multitask_2"	"3rd_rate_russian"	0	false
"port_multitask_2"	"3rd_rate_spanish"	0	false
"port_multitask_2"	"4th_rate"	0	false
"port_multitask_2"	"4th_rate_american"	0	false
"port_multitask_2"	"4th_rate_british"	0	false
"port_multitask_2"	"4th_rate_french"	0	false
"port_multitask_2"	"4th_rate_spanish"	0	false
"port_multitask_2"	"5th_rate"	0	false
"port_multitask_2"	"5th_rate_admiral"	0	false
"port_multitask_2"	"5th_rate_admiral_american"	0	false
"port_multitask_2"	"5th_rate_admiral_british"	0	false
"port_multitask_2"	"5th_rate_admiral_french"	0	false
"port_multitask_2"	"5th_rate_admiral_russian"	0	false
"port_multitask_2"	"5th_rate_admiral_spanish"	0	false
"port_multitask_2"	"5th_rate_american"	0	false
"port_multitask_2"	"5th_rate_british"	0	false
"port_multitask_2"	"5th_rate_french"	0	false
"port_multitask_2"	"5th_rate_russian"	0	false
"port_multitask_2"	"5th_rate_spanish"	0	false
"port_multitask_2"	"6th_rate"	1	false
"port_multitask_2"	"6th_rate_american"	1	false
"port_multitask_2"	"6th_rate_british"	1	false
"port_multitask_2"	"6th_rate_french"	1	false
"port_multitask_2"	"6th_rate_russian"	1	false
"port_multitask_2"	"6th_rate_spanish"	1	false
"port_multitask_2"	"american_heavy_frigate"	0	false
"port_multitask_2"	"barbary_xebec"	0	false
"port_multitask_2"	"bomb_ketch"	0	false
"port_multitask_2"	"bomb_ketch_american"	0	false
"port_multitask_2"	"bomb_ketch_british"	0	false
"port_multitask_2"	"bomb_ketch_french"	0	false
"port_multitask_2"	"bomb_ketch_spanish"	0	false
"port_multitask_2"	"brig"	1	false
"port_multitask_2"	"brig_american"	1	false
"port_multitask_2"	"brig_british"	1	false
"port_multitask_2"	"brig_french"	1	false
"port_multitask_2"	"brig_spanish"	1	false
"port_multitask_2"	"carronade_frigate"	0	false
"port_multitask_2"	"carronade_frigate_american"	0	false
"port_multitask_2"	"carronade_frigate_british"	0	false
"port_multitask_2"	"carronade_frigate_french"	0	false
"port_multitask_2"	"carronade_frigate_spanish"	0	false
"port_multitask_2"	"episodic_2_brig"	0	false
"port_multitask_2"	"episodic_2_sloop"	0	false
"port_multitask_2"	"galleon"	0	false
"port_multitask_2"	"galleon_fluyt"	0	false
"port_multitask_2"	"galleon_race_built"	0	false
"port_multitask_2"	"light_galley/galliot/fusta"	1	false
"port_multitask_2"	"medium_galley"	0	false
"port_multitask_2"	"ottoman_medium_galley"	0	false
"port_multitask_2"	"rocket_ship"	0	false
"port_multitask_2"	"rocket_ship_american"	0	false
"port_multitask_2"	"rocket_ship_british"	0	false
"port_multitask_2"	"rocket_ship_french"	0	false
"port_multitask_2"	"rocket_ship_spanish"	0	false
"port_multitask_2"	"sloop"	1	false
"port_multitask_2"	"sloop_american"	1	false
"port_multitask_2"	"sloop_british"	1	false
"port_multitask_2"	"sloop_french"	1	false
"port_multitask_2"	"sloop_spanish"	1	false
"port_multitask_2"	"sp_ed_constitution"	0	false
"port_multitask_3"	"dhow"	0	false
"port_multitask_3"	"indiaman"	0	false
"port_multitask_3"	"1st_rate"	0	false
"port_multitask_3"	"1st_rate_admiral"	0	false
"port_multitask_3"	"1st_rate_admiral_american"	0	false
"port_multitask_3"	"1st_rate_admiral_british"	0	false
"port_multitask_3"	"1st_rate_admiral_french"	0	false
"port_multitask_3"	"1st_rate_admiral_russian"	0	false
"port_multitask_3"	"1st_rate_admiral_spanish"	0	false
"port_multitask_3"	"1st_rate_american"	0	false
"port_multitask_3"	"1st_rate_british"	0	false
"port_multitask_3"	"1st_rate_french"	0	false
"port_multitask_3"	"1st_rate_russian"	0	false
"port_multitask_3"	"1st_rate_spanish"	0	false
"port_multitask_3"	"2nd_rate"	0	false
"port_multitask_3"	"2nd_rate_american"	0	false
"port_multitask_3"	"2nd_rate_british"	0	false
"port_multitask_3"	"2nd_rate_french"	0	false
"port_multitask_3"	"2nd_rate_spanish"	0	false
"port_multitask_3"	"3rd_rate"	0	false
"port_multitask_3"	"3rd_rate_admiral"	0	false
"port_multitask_3"	"3rd_rate_admiral_american"	0	false
"port_multitask_3"	"3rd_rate_admiral_british"	0	false
"port_multitask_3"	"3rd_rate_admiral_french"	0	false
"port_multitask_3"	"3rd_rate_admiral_russian"	0	false
"port_multitask_3"	"3rd_rate_admiral_spanish"	0	false
"port_multitask_3"	"3rd_rate_american"	0	false
"port_multitask_3"	"3rd_rate_british"	0	false
"port_multitask_3"	"3rd_rate_french"	0	false
"port_multitask_3"	"3rd_rate_russian"	0	false
"port_multitask_3"	"3rd_rate_spanish"	0	false
"port_multitask_3"	"4th_rate"	1	false
"port_multitask_3"	"4th_rate_american"	1	false
"port_multitask_3"	"4th_rate_british"	1	false
"port_multitask_3"	"4th_rate_french"	1	false
"port_multitask_3"	"4th_rate_spanish"	1	false
"port_multitask_3"	"5th_rate"	1	false
"port_multitask_3"	"5th_rate_admiral"	1	false
"port_multitask_3"	"5th_rate_admiral_american"	0	false
"port_multitask_3"	"5th_rate_admiral_british"	0	false
"port_multitask_3"	"5th_rate_admiral_french"	0	false
"port_multitask_3"	"5th_rate_admiral_russian"	0	false
"port_multitask_3"	"5th_rate_admiral_spanish"	0	false
"port_multitask_3"	"5th_rate_american"	1	false
"port_multitask_3"	"5th_rate_british"	1	false
"port_multitask_3"	"5th_rate_french"	1	false
"port_multitask_3"	"5th_rate_russian"	1	false
"port_multitask_3"	"5th_rate_spanish"	1	false
"port_multitask_3"	"6th_rate"	2	false
"port_multitask_3"	"6th_rate_american"	2	false
"port_multitask_3"	"6th_rate_british"	2	false
"port_multitask_3"	"6th_rate_french"	2	false
"port_multitask_3"	"6th_rate_russian"	2	false
"port_multitask_3"	"6th_rate_spanish"	2	false
"port_multitask_3"	"american_heavy_frigate"	0	false
"port_multitask_3"	"barbary_xebec"	0	false
"port_multitask_3"	"bomb_ketch"	1	false
"port_multitask_3"	"bomb_ketch_american"	1	false
"port_multitask_3"	"bomb_ketch_british"	1	false
"port_multitask_3"	"bomb_ketch_french"	1	false
"port_multitask_3"	"bomb_ketch_spanish"	1	false
"port_multitask_3"	"brig"	1	false
"port_multitask_3"	"brig_american"	1	false
"port_multitask_3"	"brig_british"	1	false
"port_multitask_3"	"brig_french"	1	false
"port_multitask_3"	"brig_spanish"	1	false
"port_multitask_3"	"carronade_frigate"	0	false
"port_multitask_3"	"carronade_frigate_american"	0	false
"port_multitask_3"	"carronade_frigate_british"	0	false
"port_multitask_3"	"carronade_frigate_french"	0	false
"port_multitask_3"	"carronade_frigate_spanish"	0	false
"port_multitask_3"	"episodic_2_brig"	0	false
"port_multitask_3"	"episodic_2_sloop"	0	false
"port_multitask_3"	"galleon"	0	false
"port_multitask_3"	"galleon_fluyt"	0	false
"port_multitask_3"	"galleon_race_built"	0	false
"port_multitask_3"	"light_galley/galliot/fusta"	2	false
"port_multitask_3"	"medium_galley"	1	false
"port_multitask_3"	"ottoman_medium_galley"	1	false
"port_multitask_3"	"over_1st_rate"	0	false
"port_multitask_3"	"over_1st_rate_american"	0	false
"port_multitask_3"	"over_1st_rate_british"	0	false
"port_multitask_3"	"over_1st_rate_french"	0	false
"port_multitask_3"	"over_1st_rate_russian"	0	false
"port_multitask_3"	"over_1st_rate_spanish"	0	false
"port_multitask_3"	"razee"	0	false
"port_multitask_3"	"razee_british"	0	false
"port_multitask_3"	"rocket_ship"	0	false
"port_multitask_3"	"rocket_ship_american"	0	false
"port_multitask_3"	"rocket_ship_british"	0	false
"port_multitask_3"	"rocket_ship_french"	0	false
"port_multitask_3"	"rocket_ship_spanish"	0	false
"port_multitask_3"	"sloop"	1	false
"port_multitask_3"	"sloop_american"	1	false
"port_multitask_3"	"sloop_british"	1	false
"port_multitask_3"	"sloop_french"	1	false
"port_multitask_3"	"sloop_spanish"	1	false
"port_multitask_3"	"sp_ed_constitution"	0	false
"port_multitask_3"	"sp_ed_hms_victory"	0	false
"port_multitask_3"	"steam_ship"	0	false
"port_multitask_3"	"steam_ship_american"	0	false
"port_multitask_3"	"steam_ship_british"	0	false
"port_multitask_3"	"steam_ship_french"	0	false
"port_multitask_3"	"steam_ship_spanish"	0	false
