version 1, schema slots_gdp_values_tables, guid 28596f83-c86d-49ff-a28d-9bed1cb3b2be
unknown1(string)	unknown2(int)	unknown3(float)	unknown4(float)
"bos_region_specialty_copper_mining"	5	0	1
"bos_region_specialty_gold_mining"	0	0	1
"bos_region_specialty_gold_mining"	1	0	1
"bos_region_specialty_gold_mining"	2	0	1
"bos_region_specialty_gold_mining"	3	0	1
"bos_region_specialty_gold_mining"	4	0	1
"bos_region_specialty_gold_mining"	5	0	1
"bos_region_specialty_holy_site"	0	0	1
"bos_region_specialty_holy_site"	1	0	1
"bos_region_specialty_holy_site"	2	0	1
"bos_region_specialty_holy_site"	3	0	1
"bos_region_specialty_holy_site"	4	0	1
"bos_region_specialty_holy_site"	5	0	1
"bos_region_specialty_iron_mining"	0	0	1
"bos_region_specialty_iron_mining"	1	0	1
"bos_region_specialty_iron_mining"	2	0	1
"bos_region_specialty_iron_mining"	3	0	1
"bos_region_specialty_iron_mining"	4	0	1
"bos_region_specialty_iron_mining"	5	0	1
"bos_region_specialty_railroad"	0	0	1
"bos_region_specialty_railroad"	1	0	1
"bos_region_specialty_railroad"	2	0	1
"bos_region_specialty_railroad"	3	0	1
"bos_region_specialty_railroad"	4	0	1
"bos_region_specialty_railroad"	5	0	1
"bos_region_specialty_silk"	0	0	1
"bos_region_specialty_silk"	1	0	1
"bos_region_specialty_silk"	2	0	1
"bos_region_specialty_silk"	3	0	1
"bos_region_specialty_silk"	4	0	1
"bos_region_specialty_silk"	5	0	1
"bos_region_specialty_silver_mining"	0	0	1
"bos_region_specialty_silver_mining"	1	0	1
"bos_region_specialty_silver_mining"	2	0	1
"bos_region_specialty_silver_mining"	3	0	1
"bos_region_specialty_silver_mining"	4	0	1
"bos_region_specialty_silver_mining"	5	0	1
"bos_region_specialty_smithing"	0	0	1
"bos_region_specialty_smithing"	1	0	1
"bos_region_specialty_smithing"	2	0	1
"bos_region_specialty_smithing"	3	0	1
"bos_region_specialty_smithing"	4	0	1
"bos_region_specialty_smithing"	5	0	1
"bos_region_specialty_smugglers"	0	0	1
"bos_region_specialty_smugglers"	1	0	1
"bos_region_specialty_smugglers"	2	0	1
"bos_region_specialty_smugglers"	3	0	1
"bos_region_specialty_smugglers"	4	0	1
"bos_region_specialty_smugglers"	5	0	1
"port"	0	0	1
"port"	1	0	1
"port"	2	0	1
"port"	3	0	1
"port"	4	0	1
"port"	5	0	1
"rice"	0	0	1
"rice"	1	0	1
"rice"	2	0	1.3
"rice"	3	0	1.5
"rice"	4	0	2
"rice"	5	0	3
"settlement"	1	0	1
"settlement"	2	0	1
"settlement"	3	0	1
"settlement"	4	0	1
"settlement"	5	0	1
