version 2, schema character_skills_tables, guid 001fb237-b070-4a0a-8e04-b16fa934e2f3
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(optstring)
"bos_ishin-shishi_zeal"	"bos_ishinshishi_2_zeal"	"Loyalty can never be excessive."	"Zeal"	nil
"bos_ishin-shishi_activist"	"bos_ishinshishi_3_activist"	"Spread the word."	"Activist"	nil
"bos_ishin-shishi_killer"	"bos_ishinshishi_3_killer"	"“Murder? No, no, no. Justice!”"	"Extremist"	nil
"bos_ishin-shishi_militant"	"bos_ishinshishi_3_militant"	"Lead by example."	"Militant"	nil
"bos_ishin-shishi_persuader"	"bos_ishinshishi_3_persuader"	"A word can be sharper than the sword."	"Persuader"	nil
"bos_ishin-shishi_cold-bloodedness"	"bos_ishinshishi_4_cold_bloodedness"	"Obedience is all: there is nothing else."	"Cold-bloodedness"	nil
"bos_ishin-shishi_single-mindedness"	"bos_ishinshishi_4_single_mindedness"	"One idea, crystal clear, can change the world."	"Single-mindedness"	nil
"bos_ishin-shishi_solidarity"	"bos_ishinshishi_4_solidarity"	"The right word can stop an army."	"Solidarity"	nil
"bos_ishin-shishi_arch-imperialist"	"bos_ishinshishi_5_arch_imperialist"	"“Japan has a sacred mission, a destiny!”"	"Arch-imperialist"	nil
"bos_ishin-shishi_inexorable_force"	"bos_ishinshishi_5_inexorable_force"	"Some things cannot be stopped."	"Inexorable Force"	nil
"bos_ishin-shishi_revolutionary"	"bos_ishinshishi_5_revolutionary"	"Walk the left-hand path to reach the people."	"Revolutionary"	nil
"bos_ninja_criminal_agent"	"bos_shinobi_1_criminal_agent"	"“…only if you get caught.”"	"Criminal Agent"	nil
"bos_ninja_military_spy"	"bos_shinobi_1_military_spy"	"Soldiers talk too readily about their glories."	"Military Spy"	nil
"bos_ninja_awareness"	"bos_shinobi_2_awareness"	"The smallest thing out of place is wrong."	"Scout"	nil
"bos_ninja_conditioning"	"bos_shinobi_2_conditioning"	"Only the strong will survive."	"Conditioning"	nil
"bos_ninja_discretion"	"bos_shinobi_2_discretion"	"Silence is eloquent testimony to deeds in the shadows."	"Discretion"	nil
"bos_ninja_finesse"	"bos_shinobi_2_finesse"	"Elegance in all things, even death."	"Finesse"	nil
"bos_ninja_assassin"	"bos_shinobi_3_assassin"	"Death does not wait patiently for some men."	"Assassin"	nil
"bos_ninja_covert_agent"	"bos_shinobi_3_covert_agent"	"Hide in plain sight."	"Covert Agent"	nil
"bos_ninja_saboteur"	"bos_shinobi_3_saboteur"	"There is a new fashion for spanners."	"Saboteur"	nil
"bos_ninja_thief"	"bos_shinobi_3_thief"	"Reach out and take something."	"Corruption"	nil
"bos_ninja_altruism"	"bos_shinobi_4_altruism"	"The gift is a blessing to the giver."	"Altruism"	nil
"bos_ninja_evasion"	"bos_shinobi_4_evasion"	"Be somewhere else."	"Evasion"	nil
"bos_ninja_poison_making"	"bos_shinobi_4_poison_making"	"It was the squid."	"Poison-making"	nil
"bos_ninja_powder_making"	"bos_shinobi_4_powder_making"	"There are many ways to deceive the enemy."	"Powder-making"	nil
"bos_ninja_infiltrator"	"bos_shinobi_5_infiltrator"	"Pass within through the shadowed door."	"Infiltrator"	nil
"bos_ninja_master_ninpo"	"bos_shinobi_5_master_ninpo"	"Even the killer may have compassion in his heart."	"Master of Ninpo"	nil
"bos_ninja_notorious_outlaw"	"bos_shinobi_5_notorious_outlaw"	"Reputation is only what others say of your deeds."	"Notorious Villain"	nil
"bos_shinsengumi_enforcer"	"bos_shinsengumi_1_enforcer"	"“Things will be as I say.”"	"Enforcer"	nil
"bos_shinsengumi_investigator"	"bos_shinsengumi_1_investigator"	"The guilty will be found out."	"Investigator"	nil
"bos_shinsengumi_bushido"	"bos_shinsengumi_2_bushido"	"The way of the warrior is the resolute acceptance of death."	"Bushido"	nil
"bos_shinsengumi_counter_espionage"	"bos_shinsengumi_2_counter_espionage"	"Spiders will always eat flies."	"Counter-espionage"	nil
"bos_shinsengumi_intimidator"	"bos_shinsengumi_3_intimidator"	"Fear does much that words cannot."	"Intimidator"	nil
"bos_shinsengumi_provocateur"	"bos_shinsengumi_3_provocateur"	"Fools hear what they want to hear."	"Provocateur"	nil
"bos_shinsengumi_taskmaster"	"bos_shinsengumi_3_taskmaster"	"In every man there is a need for discipline."	"Taskmaster"	nil
"bos_shinsengumi_vindicator"	"bos_shinsengumi_3_vindicator"	"The road to hell is paved with ignorant souls."	"Vindicator"	nil
"bos_shinsengumi_antagonism"	"bos_shinsengumi_4_antagonism"	"“Compromise? A disease of foreigners!”"	"Antagonism"	nil
"bos_shinsengumi_ardour"	"bos_shinsengumi_4_ardour"	"Passion, properly harnessed, is a strength."	"Ardour"	nil
"bos_shinsengumi_discipline"	"bos_shinsengumi_4_discipline"	"The man who rules his own heart rules others."	"Discipline"	nil
"bos_shinsengumi_extortion"	"bos_shinsengumi_4_extortion"	"Pay now, pay again later."	"Extortion"	nil
"bos_shinsengumi_oppressor"	"bos_shinsengumi_5_oppressor"	"Simple people need simple guidance."	"Commander"	nil
"bos_shinsengumi_secret_agent"	"bos_shinsengumi_5_secret_agent"	"“No. I am not.”"	"Secret Agent"	nil
"bos_shinsengumi_shoguns_hand"	"bos_shinsengumi_5_shoguns_hand"	"“From the Shogun's mouth, to your ear.”"	"Shogun's Hand"	nil
"bos_veteran_officer"	"bos_veteran_1_officer"	"“I’ve fired a bullet on every continent. Hit someone too.”"	"Officer"	nil
"bos_veteran_soldier"	"bos_veteran_1_soldier"	"“Home? A barracks and a bottle, lad.”"	"Soldier"	nil
"bos_veteran_logistics"	"bos_veteran_2_logistics"	"An army goes nowhere without bullets, blankets and boots."	"Quartermaster"	nil
"bos_veteran_reconnaisance"	"bos_veteran_2_reconnaissance"	"Know the lie of the land; see the truth. "	"Foresight"	nil
"bos_veteran_training"	"bos_veteran_2_training"	"There is much to learn, and little time."	"Training"	nil
"bos_veteran_drillmaster"	"bos_veteran_3_drillmaster"	"“Your other left, damn your eyes!”"	"Drillmaster"	nil
"bos_veteran_ordnance_expert"	"bos_veteran_3_ordnance_expert"	"“Guns. Big guns. Really, really big guns. And chocolate.”"	"Ordnance Expert"	nil
"bos_veteran_sharpshooter"	"bos_veteran_3_sharpshooter"	"“He’s a dead man.”"	"Sharpshooter"	nil
"bos_veteran_bravado"	"bos_veteran_4_bravado"	"“You do not frighten me, you kimonoed fop!”"	"Bravado"	nil
"bos_veteran_gunnery"	"bos_veteran_4_gunnery"	"“Artillery is the art of putting a shell up a mouse's arsehole. At 1000 yards.”"	"Accuracy"	nil
"bos_veteran_marksmanship"	"bos_veteran_4_marksmanship"	"One bullet can change history."	"Marksmanship"	nil
"bos_veteran_relentlessness"	"bos_veteran_4_relentlessness"	"The grave may slow some men, a little."	"Relentlessness"	nil
"bos_veteran_guerilla"	"bos_veteran_5_guerrilla"	"Fools, children and ignorant heathen savages fight fairly."	"Guerrilla"	nil
"bos_veteran_military_advisor"	"bos_veteran_5_military_advisor"	"“Buy the rifles, before your rivals do.”"	"Military Advisor"	nil
"bos_veteran_seasoned_fighter"	"bos_veteran_5_seasoned_fighter"	"What's one more battle?"	"Seasoned Fighter"	nil
"geisha_agent"	"geisha_agent"	"Intrigue lives in a make-up box."	"Agent"	nil
"geisha_courtesan"	"geisha_courtesan"	"Shame and pain: they both pierce the heart."	"Courtesan"	nil
"geisha_culted_lady"	"geisha_culted_lady"	"Grace in all things is most becoming."	"Cultured Lady"	nil
"geisha_entertainer"	"geisha_entertainer"	"A smile can hide many intentions."	"Entertainer"	nil
"geisha_flattery"	"geisha_flattery"	"A clever tongue has its uses."	"Flattery"	nil
"geisha_fox_lady"	"geisha_fox_lady"	"The fox is cunning: she never reveals that she is a fox."	"Fox Lady"	nil
"geisha_poisoner"	"geisha_poisoner"	"\"More tea, dear?\""	"Poisoner"	nil
"geisha_politics"	"geisha_politics"	"There is an art in knowing who to know."	"Politics"	nil
"geisha_seduction"	"geisha_seduction"	"Men seldom dwell on danger; women are more prudent."	"Seduction"	nil
"gem_dancer_agent"	"gem_dancer_agent"	"Wipe away the makeup and what remains?"	"Agent"	nil
"geisha_flattery"	"gem_dancer_charmer"	"Charm and deceit can ride the same dragon."	"Charmer"	nil
"geisha_culted_lady"	"gem_dancer_connected"	"Knowing who to know always commands a price."	"Well-connected"	nil
"geisha_politics"	"gem_dancer_courtier"	"Flattery is all the better when it is sincere."	"Courtier"	nil
"geisha_courtesan"	"gem_dancer_cultured"	"Education is too good to waste."	"Cultured Lady"	nil
"geisha_entertainer"	"gem_dancer_entertainer"	"Tea is not to everyone's taste. Some prefer sake."	"Entertainer"	nil
"geisha_fox_lady"	"gem_dancer_fox"	"Hide behind a different smile."	"Fox"	nil
"gem_dancer_gigolette"	"gem_dancer_golddigger"	"Much can be learned from pillow talk."	"Gigolette"	nil
"geisha_seduction"	"gem_dancer_seduction"	"Men rarely think when a smile promises everything."	"Seduction"	nil
"gem_dancer_temptress"	"gem_dancer_temptress"	"All the world, offered in an artful blush."	"Temptress"	nil
"general_ambush"	"gem_general_deceiver"	"Show the enemy what he wants to see. "	"Deceiver"	nil
"general_diehard_fighter"	"gem_general_diehard_fighter"	"To run is futile. To resist may be glorious!"	"Die-hard Fighter"	nil
"general_intimidating"	"gem_general_dreaded"	"Fear is a gelding knife."	"Dreaded Force"	nil
"general_living_treasure"	"gem_general_glorious_strategist"	"The art of war requires an artist."	"Glorious Strategist"	"CHARACTER_SKILL_LIVING_TREASURE"
"general_field_attacker"	"gem_general_guardian"	"Make the tiger leave his forest."	"Guardian"	nil
"general_inspirational"	"gem_general_inspiring_leader"	"The right word will send a man willingly to his death."	"Inspiring Leader"	"CHARACTER_SKILL_INSPIRING"
"general_infantry_leader"	"gem_general_leader"	"A general needs two brave words: \"Follow me!\""	"Leader"	nil
"general_legendary_warrior"	"gem_general_legendary_warrior"	"No man relishes fighting legends."	"Legendary Warrior"	"CHARACTER_SKILL_LEGENDARY"
"general_master_bowman"	"gem_general_master_bowman"	"A master's shot cuts the breeze itself in two."	"Master Bowman"	nil
"general_master_horseman"	"gem_general_master_horseman"	"Once mounted, the vulgarity of battle slides away."	"Master Horseman"	nil
"general_master_swordsman"	"gem_general_master_swordsman"	"Some swords are lucky, and carried by heroes."	"Master Swordsman"	nil
"general_honourable"	"gem_general_paragon"	"Honour is the robe of the warrior."	"Paragon"	"CHARACTER_SKILL_HONOURABLE"
"general_inspiring"	"gem_general_partisan"	"Fools fight fairly."	"Partisan"	nil
"general_pirate"	"gem_general_pirate"	"\"Come now: you pay taxes ashore!\""	"Pirate"	nil
"general_poet"	"gem_general_poet"	"Thinking is dangerous."	"Poet"	"CHARACTER_SKILL_POET"
"general_strategist"	"gem_general_strategist"	"Death does a man less credit than victory and honour."	"Strategist"	"CHARACTER_SKILL_STRATEGIST"
"general_cavalry_commander"	"gem_general_vanguard"	"The first always have the greater share of glory."	"Vanguard"	nil
"general_warrior"	"gem_general_warrior"	"In the midst of battle a man makes his own fate."	"Warrior"	"CHARACTER_SKILL_WARRIOR"
"metsuke_bribery"	"gem_inspector_bribery"	"\"A gift, no more, no less.\""	"Bribery"	nil
"metsuke_counter-espionage"	"gem_inspector_counterspy"	"What game awaits the hunter in the shadows?"	"Counter-espionage"	nil
"gem_inspector_diplomat"	"gem_inspector_diplomat"	"Discover what a man wants: use it against him."	"Diplomat"	nil
"Metsuke_Eyes_and_Ears"	"gem_inspector_eyes_ears"	"Two eyes, two ears, one mouth."	"Eyes and Ears"	nil
"metsuke_iaijutsu"	"gem_inspector_iajutsu"	"Three flies: cloven in twain."	"Iajutsu"	nil
"metsuke_magistrate"	"gem_inspector_magistrate"	"Law is both a club and a dagger."	"Magistrate"	nil
"metsuke_mercantile_contacts"	"gem_inspector_mercantile_contacts"	"\"Your merchandise... Delicate, is it?\""	"Mercantile Contacts"	nil
"gem_inspector_proponent"	"gem_inspector_propagandist"	"Lesser men are easily swayed."	"Vindicator"	nil
"metsuke_secret_policeman"	"gem_inspector_secret_police"	"\"So, you really want to disappear?\""	"Secret Policeman"	nil
"metsuke_legendary_thieftaker"	"gem_inspector_strength_of_will"	"A man set on his course can do anything."	"Strength of Will"	nil
"metsuke_strength_of_will"	"gem_inspector_thieftaker"	"\"You have the right to bleed copiously…\""	"Thieftaker"	nil
"monk_agitator"	"gem_monk_agitator"	"Move the people, and shake the world."	"Agitator"	nil
"monk_learned"	"gem_monk_enlightened"	"Wisdom is forged in the hearth of a calm soul."	"Enlightened"	nil
"monk_inspiring"	"gem_monk_inspiring"	"Words have power when spoken with faith."	"Inspiring"	nil
"monk_meditation"	"gem_monk_meditation"	"An idea is a ripple on the pool of a quiet mind."	"Mediation"	nil
"monk_militant"	"gem_monk_militant"	"Warriors and merchants: speak to each in their own tongues."	"Militant"	nil
"monk_pacifist"	"gem_monk_pacifist"	"Walk the path of peace to avoid enemies."	"Pacifist"	nil
"monk_persueder"	"gem_monk_persuader"	"Speak to each man in words that pierce his soul."	"Persuader"	nil
"monk_pilgrim"	"gem_monk_pilgrim"	"Walk the path and find yourself."	"Pilgrim"	nil
"monk_scripture"	"gem_monk_scripture"	"Authorities can be found to back any argument."	"Scripture"	nil
"monk_worldly"	"gem_monk_worldly"	"Retire from the world, but do not forget it."	"Worldly"	nil
"ninja_assassin"	"gem_spy_assassin"	"A point must be made, and a message delivered."	"Assassin"	nil
"ninja_criminal_contacts"	"gem_spy_criminal_contacts"	"Villainy has its uses."	"Criminal Contacts"	nil
"ninja_escape_artist"	"gem_spy_escape_artist"	"Any idiot can run away."	"Escape Artist"	nil
"ninja_exotic_weapons"	"gem_spy_exotic_weapons"	"Death comes in many unusual, sharp and pointy forms."	"Exotic Weapons"	nil
"ninja_gunpowder_chemist"	"gem_spy_explosives"	"Confusion is useful, even when it smells like an oni's fart."	"Black Powder Alchemist"	nil
"ninja_infiltrator"	"gem_spy_infiltrator"	"A plausible man has the keys to every gate."	"Infiltrator"	nil
"ninja_invisible"	"gem_spy_invisible"	"\"Why do you think I am behind you?\""	"Invisible"	nil
"ninja_disguise"	"gem_spy_master_disguise"	"Wise truth wears a liar's kimono from time to time."	"Master of Disguise"	nil
"ninja_military_spy"	"gem_spy_military_spy"	"Soldiers talk soldiers' talk."	"Military Spy"	nil
"ninja_ninjutsu"	"gem_spy_ninjutsu_master"	"Wear the shadows like a cloak."	"Ninjutsu Master"	nil
"ninja_noble_bandit"	"gem_spy_noble_bandit"	"The people do not need to know they have been bought."	"Noble Bandit"	nil
"ninja_notorious_killer"	"gem_spy_notorious_killer"	"\"I am honest in this much: I enjoy it.\""	"Notorious Killer"	nil
"ninja_poisoner"	"gem_spy_poisoner"	"A momentary bitterness solves many problems."	"Poisoner"	nil
"ninja_saboteur"	"gem_spy_saboteur"	"Buildings fall down better with a little help."	"Saboteur"	nil
"general_admiral"	"general_admiral"	"Command at sea requires special generalship."	"Admiral"	nil
"general_ambush"	"general_ambush"	"There is nothing dishonourable in surprise."	"Stealthy"	nil
"general_ashigaru_general"	"general_ashigaru_general"	"There is an art to leading peasants."	"Ashigaru Commander"	nil
"general_cavalry_commander"	"general_cavalry_commander"	"Glory is not enough: there must be steel behind it."	"Cavalry Commander"	nil
"general_diehard_fighter"	"general_diehard_fighter"	"The man who does not flinch has won in his soul."	"Die-hard Fighter"	nil
"general_field_attacker"	"general_field_attacker"	"Battle is a calculation, a reading of the future."	"Field Attacker"	nil
"general_field_defender"	"general_field_defender"	"Any blow can be turned aside, or avoided."	"Field Defender"	nil
"general_honourable"	"general_honourable"	"Honour is the bond of the samurai."	"Honourable"	"CHARACTER_SKILL_HONOURABLE"
"general_infantry_leader"	"general_infantry_leader"	"Infantry win battles, under the right commander."	"Infantry Leader"	nil
"general_inspirational"	"general_inspirational"	"What man will not follow courage?"	"Inspirational"	"CHARACTER_SKILL_INSPIRING"
"general_intimidating"	"general_intimidating"	"Fear can be sharper than steel in an enemy heart."	"Intimidating"	nil
"general_legendary_warrior"	"general_legendary_warrior"	"Some warriors become dragons rather than slay them."	"Legendary Warrior"	"CHARACTER_SKILL_LEGENDARY"
"general_living_treasure"	"general_living_treasure"	"Some men need only \"be\", they are beyond \"do\"."	"Living Treasure"	"CHARACTER_SKILL_LIVING_TREASURE"
"general_master_horseman"	"general_master_horseman"	"The warrior and his mount are one."	"Master Horseman"	nil
"general_master_swordsman"	"general_master_swordsman"	"The sword is the soul of the samurai."	"Master Swordsman"	nil
"general_pirate"	"general_pirate"	"Mastery of the cruel sea requires cruelty in turn."	"Pirate"	nil
"general_poet"	"general_poet"	"The word cuts as surely as the blade."	"Poet"	"CHARACTER_SKILL_POET"
"general_religious"	"general_religious"	"Faith armours the heart, and clears the head."	"Religious"	nil
"general_siege_attacker"	"general_siege_attacker"	"No wall can withstand the fury of men."	"Siege Expert"	nil
"general_siege_defender"	"general_siege_defender"	"A wall is as strong as the hearts behind it."	"Castle Defender"	nil
"general_strategist"	"general_strategist"	"Contemplation and Go bring military wisdom."	"Strategist"	"CHARACTER_SKILL_STRATEGIST"
"general_warrior"	"general_warrior"	"To command others, a man must master himself."	"Warrior"	"CHARACTER_SKILL_WARRIOR"
"monk_persueder"	"ikko_monk_persuader"	"When a man listens to his heart, all else follows."	"Persuader"	nil
"monk_worldly"	"ikko_monk_worldly"	"He who stands apart from the world will never change the world."	"Worldly"	nil
"metsuke_bribery"	"metsuke_bribery"	"Gold always eases the slight stings of pride."	"Bribery"	nil
"metsuke_censor"	"metsuke_censor"	"“No one needs to see that!”"	"Censor"	nil
"metsuke_counter-espionage"	"metsuke_counter-espionage"	"A hunter's eye and a jilted lover's suspicions bring only sadness."	"Counter-espionage"	nil
"metsuke_eyes_and_ears"	"metsuke_eyes_and_ears"	"“Many eyes, many tongues: one understanding.”"	"Eyes and ears"	nil
"metsuke_iaijutsu"	"metsuke_iaijutsu"	"The quickness of the hand deceives the eye."	"Iaijutsu"	nil
"metsuke_investigator"	"metsuke_investigator"	"Lies and truth are leaves floating on the water."	"Investigator"	nil
"metsuke_legendary_thieftaker"	"metsuke_legendary_thieftaker"	"\"Get your kimono on, you're nicked!\""	"Legendary Thieftaker"	nil
"metsuke_magistrate"	"metsuke_magistrate"	"\"I am the law!\""	"Magistrate"	nil
"metsuke_mercantile_contacts"	"metsuke_mercantile_contacts"	"For all their prattle, merchants have ears and hear much."	"Mercantile Contacts"	nil
"metsuke_secret_policeman"	"metsuke_secret_policeman"	"\"How much porcelain gets broken at the end of the day?\""	"Secret Policeman"	nil
"metsuke_strength_of_will"	"metsuke_strength_of_will"	"The man who will do anything for his lord has iron in his soul."	"Strength of Will"	nil
"metsuke_traveller"	"metsuke_traveller"	"Duty is fleet footed."	"Traveller"	nil
"metsuke_yakuza_contacts"	"metsuke_yakuza_contacts"	"There is secret honour in dishonour for a lord's cause."	"Yakuza Contacts"	nil
"missionary_agitator"	"missionary_agitator"	"“There is no spirit of injustice!”"	"Agitator"	nil
"missionary_confessor"	"missionary_confessor"	"All sins can be washed away by the blood of the Lamb."	"Confessor"	nil
"missionary_doctor_of_the_church"	"missionary_doctor_of_the_church"	"Study of scripture leads to the correct path in every life."	"Doctor of the Church"	nil
"missionary_father_of_the_church"	"missionary_father_of_the_church"	"The Church is the Faith, and must be defended and strengthened."	"Father of the Church"	nil
"missionary_hellfire_and_brimstone"	"missionary_hellfire_and_brimstone"	"\"The fires and torments of Hell await thee, heathen beasts!\""	"Hellfire & Brimstone"	nil
"missionary_heterodoxy"	"missionary_heterodoxy"	"There are more roads to God than there are to Rome."	"Heterodoxy"	nil
"Missionary_Inspiring"	"missionary_inspiring"	"A man needs two waraji: faith and reason."	"Inspiring"	nil
"missionary_pilgrim"	"missionary_pilgrim"	"Walk the earth to find the light."	"Pilgrim"	nil
"missionary_preacher"	"missionary_preacher"	"Grievous sin lies in not educating sinners."	"Preacher"	nil
"missionary_proselytizer"	"missionary_proselytizer"	"Persuasion in the service of the Lord has no limits."	"Proselytizer"	nil
"missionary_purist"	"missionary_purist"	"There is only the Word, and his Holiness. All else is falsehood."	"Scripturalist"	nil
"missionary_spiritual_advisor"	"missionary_spiritual_advisor"	"Doing God's work, and the work of the Church, cleanses all sins."	"Spiritual Advisor"	nil
"missionary_wordly"	"missionary_worldly"	"He who stands apart from the world will never change the world."	"Worldly"	nil
"monk_agitator"	"monk_agitator"	"“There is no spirit of injustice!”"	"Agitator"	nil
"monk_learned"	"monk_enlightened"	"\"I understand the questions, and dimly see what might be answers.\""	"Enlightened"	nil
"monk_inspiring"	"monk_inspiring"	"A man needs two waraji: faith and reason."	"Inspiring"	nil
"monk_meditation"	"monk_meditation"	"\"I seek not to know the answers, but to understand the questions.\""	"Meditation"	nil
"monk_militant"	"monk_militant"	"The faithless must be taught harsh lessons, so that they learn."	"Militant"	nil
"monk_pacifist"	"monk_pacifist"	"War is cruelty: why must spirits weep?"	"Pacifist"	nil
"monk_persueder"	"monk_persuader"	"When a man listens to his heart, all else follows."	"Persuader"	nil
"monk_pilgrim"	"monk_pilgrim"	"Walk the earth to find the light."	"Pilgrim"	nil
"monk_religious_advisor"	"monk_religious_advisor"	"Faith and reason are the daisho of wisdom."	"Religious Advisor"	nil
"monk_scripture"	"monk_scripture"	"Learn from the wisdom of others to understand your own lack of wisdom."	"Scripture"	nil
"monk_spiritual"	"monk_spiritual"	"A single grain of rice holds all the truths of the world."	"Spiritual"	nil
"monk_worldly"	"monk_worldly"	"He who stands apart from the world will never change the world."	"Worldly"	nil
"ninja_assassin"	"ninja_assassin"	"A knife is truly dangerous only in the right hands."	"Assassin"	nil
"ninja_criminal_contacts"	"ninja_criminal_contacts"	"In the service of the great, a man must choose strange friends."	"Criminal Contacts"	nil
"ninja_defender_of_the_people"	"ninja_defender_of_the_people"	"The oppressed are always grateful to their saviour."	"Defender of the People"	nil
"ninja_disguise"	"ninja_disguise"	"Lies made flesh are not falsehood."	"Master of Disguise"	nil
"ninja_escape_artist"	"ninja_escape_artist"	"There is always a way out. Always."	"Escape Artist"	nil
"ninja_exotic_weapons"	"ninja_exotic_weapons"	"Anything is a weapon, a weapon anything."	"Exotic Weapons"	nil
"ninja_gunpowder_chemist"	"ninja_gunpowder_chemist"	"Fire, sulphur and demon's breath are tools for the cunning."	"Gunpowder Alchemist"	nil
"ninja_infiltrator"	"ninja_infiltrator"	"Leave no footprints, even in darkness."	"Infiltrator"	nil
"ninja_invisible"	"ninja_invisible"	"To hide is one thing. To walk abroad another."	"Invisible"	nil
"ninja_military_spy"	"ninja_military_spy"	"An army, for all its strength, can be a delicate thing."	"Military Spy"	nil
"ninja_misdirection"	"ninja_misdirection"	"Confusion is a powerful ally and friend."	"Misdirection"	nil
"ninja_ninjutsu"	"ninja_ninjutsu"	"A lifetime to master the art of stealth is time well spent."	"Ninjutsu"	nil
"ninja_noble_bandit"	"ninja_noble_bandit"	"Giving away another's riches is wisdom"	"Noble Bandit"	nil
"ninja_notorious_killer"	"ninja_notorious_killer"	"Reputation is a weapon forged from your enemy's fears."	"Notorious Killer"	nil
"ninja_poisoner"	"ninja_poisoner"	"Death comes in many forms, not all of them edged."	"Poisoner"	nil
"ninja_saboteur"	"ninja_saboteur"	"There is beauty in destruction, and in flames."	"Saboteur"	nil
"ninja_spy"	"ninja_spy"	"In silence much may be learned."	"Spy"	nil
