version 1, schema cdir_events_dilemma_incidents_tables, guid f555fb0c-6b5e-4bdf-bdf0-51254c011ef3
unknown1(string)	unknown2(string)	unknown3(string)
"FIRST"	"d_gem_young_thief"	"c_gem_young_thief_FIRST_brigandry_global"
"FIRST"	"d_gem_young_thief"	"c_gem_young_thief_FIRST_spawn_spy"
"SECOND"	"d_gem_young_thief"	"c_gem_young_thief_SECOND_iron_fist"
"FIRST"	"d_heralding_spring"	"c_heralding_spring_FIRST_grateful_populace"
"SECOND"	"d_heralding_spring"	"c_heralding_spring_SECOND_disaffected_populace"
"SECOND"	"d_imperial_new_year"	"c_imperial_new_year_SECOND_peer_contempt"
"FIRST"	"d_intoxication"	"c_intoxication_FIRST_provincial_discord"
"SECOND"	"d_intoxication"	"c_intoxication_SECOND_lackluster_efforts"
"FIRST"	"d_jizamurai"	"c_jizamurai_FIRST_vigilance"
"SECOND"	"d_jizamurai"	"c_jizamurai_SECOND_war_fervour"
"FIRST"	"d_land_dispute"	"c_land_dispute_FIRST_rebellion"
"SECOND"	"d_land_dispute"	"c_land_dispute_SECOND_rebellion"
"FIRST"	"d_martial_priorities"	"c_martial_priorities_FIRST_call_to_arms"
"SECOND"	"d_martial_priorities"	"c_martial_priorities_SECOND_vigilance"
"FIRST"	"d_merchant_accession"	"c_merchant_accession_FIRST_disaffected_populace"
"SECOND"	"d_merchant_accession"	"c_merchant_accession_SECOND_merchant_discontent"
"FIRST"	"d_monopoly"	"c_monopoly_FIRST_disaffected_populace"
"SECOND"	"d_monopoly"	"c_monopoly_SECOND_merchant_discontent"
"SECOND"	"d_omen_fire"	"c_omen_fire_fire"
"SECOND"	"d_omen_fire"	"c_omen_fire_volcano"
"SECOND"	"d_omen_mountains"	"c_omen_mountain_earthquake"
"SECOND"	"d_omen_mountains"	"c_omen_mountain_volcano"
"SECOND"	"d_omen_ocean"	"c_omen_ocean_stormy_seas"
"SECOND"	"d_omen_ocean"	"c_omen_ocean_tsunami"
"SECOND"	"d_omen_wind"	"c_omen_wind_stormy_seas"
"SECOND"	"d_omen_wind"	"c_omen_wind_typhoon"
"FIRST"	"d_otomo_baptism"	"c_otomo_baptism_FIRST_anti_nanban_riots"
"FIRST"	"d_otomo_baptism"	"c_otomo_baptism_FIRST_money"
"FIRST"	"d_otomo_baptism"	"c_otomo_baptism_FIRST_nanban_ambassador"
"SECOND"	"d_otomo_baptism"	"c_otomo_baptism_SECOND_grateful_populace"
"SECOND"	"d_otomo_baptism"	"c_otomo_baptism_SECOND_nanban_ire"
"FIRST"	"d_otomo_embassy"	"c_otomo_embassy_FIRST_nanban_ambassador"
"FIRST"	"d_otomo_embassy"	"c_otomo_embassy_FIRST_nanban_ire"
"FIRST"	"d_otomo_embassy"	"c_otomo_embassy_FIRST_word_of_god"
"SECOND"	"d_ronin_spears"	"c_ronin_SECOND_ronin_marauders"
"SECOND"	"d_ronin_swords"	"c_ronin_SECOND_ronin_marauders"
"SECOND"	"d_tribute_emperor"	"c_tribute_emperor_SECOND_peer_contempt"
"FIRST"	"d_tribute_shogun"	"c_tribute_shogun_FIRST_shogunal_deputy"
"SECOND"	"d_tribute_shogun"	"c_tribute_shogun_SECOND_peer_contempt"
"FIRST"	"d_urban_migration"	"c_urban_migration_FIRST_meagre_harvest"
"SECOND"	"d_urban_migration"	"c_urban_migration_SECOND_merchant_discontent"
"FIRST"	"d_wako_threat_china"	"c_wako_threat_FIRST_able_sailors"
"FIRST"	"d_wako_threat_china"	"c_wako_threat_FIRST_lucrative_shipping"
"SECOND"	"d_wako_threat_china"	"c_wako_threat_SECOND_rampant_piracy"
"FIRST"	"d_wako_threat_korea"	"c_wako_threat_FIRST_able_sailors"
"FIRST"	"d_wako_threat_korea"	"c_wako_threat_FIRST_lucrative_shipping"
"SECOND"	"d_wako_threat_korea"	"c_wako_threat_SECOND_rampant_piracy"
"FIRST"	"s_disloyalty_major"	"c_disloyalty_FIRST_dread_lord"
"FIRST"	"s_disloyalty_major"	"c_disloyalty_FIRST_rebellion"
"SECOND"	"s_disloyalty_major"	"c_disloyalty_SECOND_peer_contempt"
"SECOND"	"s_meritorious_action"	"c_meritorious_action_SECOND_loyalty"
"SECOND"	"s_meritorious_action"	"c_meritorious_action_SECOND_peer_contempt"
