version 3, schema battle_script_strings_tables, guid 574c10f8-ff72-4814-b0e8-58609ca54efd
Battle_Script_String_ID(string)	string(string)	unknown3(string)	unknown4(string)
"Bos.Aide.HB.MB_Extra_06"	"Admiral, coastal artillery crews stand ready to fire, and await your orders!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_07"	"Admiral, the Kotetsu is lost! We have failed!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_08"	"A terrible day! Defeat is our burden to bear. "	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_09"	"The Kotetsu is saved! The Ezo navy has scattered! A great triumph!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_10"	"Artillery emplacements ring the bay, and would greatly add to our firepower. Capture them!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_11"	"More enemy ships sighted, sir!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.OS_Extra_01"	"Lord Takamori, the road to Osaka Castle is lightly defended! Claim it for the Emperor!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.OS_Extra_02"	"A ruse! The defenders have blown the drawbridge, our path is blocked! Where are they keeping the gunpowder?"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.OS_Extra_03"	"Another bridge destroyed! What fools we are!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.OS_Extra_04"	"My Lord, we hit a gunpowder store! The defenders must flee from the castle!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.OS_Extra_05"	"My Lord! Cavalry!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.OS_Extra_06"	"The defenders flee! Osaka castle is ours! For the Emperor!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_01"	"Shogunate units approach! Our orders are to prevent them reaching Kyoto to the north-west! Block their exit from the battlefield!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_02"	"We've been given the slip, commander! Chase these men down before they can march on Kyoto!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_03"	"An enemy unit has evaded our blockade sir! Our mission is failed!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_04"	"The shogun’s advance has been broken! His men flee in disarray!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_05"	"Daylight is failing and the enemy are setting up camp nearby. Let us do likewise."	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_06"	"Now we fly the Imperial banner. Our enemy lose the will to fight! Crush them!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_07"	"The Shogunate army has been scattered! We are victorious!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.TF_Extra_08"	"Arrows on the radar map show possible escape routes to Kyoto."	"battle_advisor"	"placeholder"
"Bos.Aide.HB.UE_Extra_01"	"The enemy defend locations in the temple complex my lord! Drive them out!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.UE_Extra_02"	"Our reinforcements are delayed! No matter: we must push through the enemy defences!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.UE_Extra_03"	"Finally! Our reinforcements are on the battlefield! "	"battle_advisor"	"placeholder"
"Bos.Aide.HB.UE_Extra_04"	"Kan’ei-ji temple is ours my lord! We are victorious!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Intro_01"	"Aizu, a domain in the north of Japan, has been home to stalwart supporters of the Shogunate since the beginning of the war."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Intro_02"	"They are the cornerstone of northern resistance."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Intro_03"	"Saigo Takamori’s dream of restoring the Emperor depends upon this resistance being eliminated."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Intro_04"	"The Imperial army is approaching from the east, and Takamori must bring this force through the mountains."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Intro_05"	"He knows the pass will be heavily defended."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Intro_06"	"The Aizu defenders are divided into four groupings. The exact locations of these forces are unknown."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Intro_07"	"Takamori must overcome whatever traps the Aizu defenders have set to win the north for his Emperor!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Outro_01"	"Saigo Takamori has dedicated his life to restoring the power of the Emperor."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.AI_Outro_02"	"With victory at Aizu, the entire Japanese mainland has been conquered in this cause."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_AIMB_01"	"Despite the abdication of the Tokugawa Shogun and the capitulation of the northern lords, there are still a few loyal to the Shogunate’s cause. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_AIMB_02"	"These loyalist die-hards are retreating north. There is now a so-called Republic on the island of Ezo."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_AIMB_03"	"These men know that control of the sea is vital to repel the Imperial government. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_AIMB_04"	"However the Imperial navy has just taken delivery of a new ironclad warship, the Kotetsu."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_AIMB_05"	"The rebels of Ezo know that it is stationed in Miyako Bay on Japan’s north-east coast, and they mean to steal it!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_MBHA_01"	"The Ezo Republic has failed in their attempt to capture the Kotetsu, and the coast of Ezo Island is defenceless."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_MBHA_02"	"Takamori gathers the Imperial army for one final attack, one last battle, to defeat the Tokugawa loyalists."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_MBHA_03"	"The Ezo defenders dig in at Hakodate to make a final stand."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_OSUE_01"	"Following the destruction of Osaka castle Shogun Tokugawa Yoshinobu returns to Edo by sea. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_OSUE_02"	"His army is smashed. Japan is in turmoil."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_OSUE_03"	"Support for the Shogunate in central and southern Japan has collapsed. Clans flock to the Emperor’s banner."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_OSUE_04"	"Imperial forces march across central Japan facing only token resistance."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_OSUE_05"	"Tokugawa Yoshinobu, with insufficient manpower to defend Edo, surrenders the city and his position."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_OSUE_06"	"Some loyalist Shogunate troops, however, refuse to surrender."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_OSUE_07"	"At Ueno, near Edo, a loyalist army digs in. They must be removed."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_TFOS_01"	"Any pretence of diplomacy is now no more than clouds on the wind. Civil war engulfs the land."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_TFOS_02"	"The forces loyal to the Tokugawa Shogunate have been pushed back to Osaka Castle."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_TFOS_03"	"The Satsuma and Choshu clans, led by Saigo Takamori, march on Osaka, ready for battle."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_UEAI_01"	"With the loyalist defeat at Ueno, central and southern Japan are now united under the Imperial banner."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_UEAI_02"	"Shogun Tokugawa Yoshinobu has retired and his capital, now renamed Tokyo, is firmly under the Emperor’s control."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_UEAI_03"	"In the north of the country however, an alliance of domains still oppose the revolution and the Imperial army."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_UEAI_04"	"Forces from Aizu oppose the Imperial advance at every turn."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.Frontend_UEAI_05"	"Saigo Takamori resolves to snuff out any remaining resistance!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_01"	"The last of the Tokugawa loyalists are entrenched on Ezo Island."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_02"	"They are preparing to make their final stand around a modern star fort built just a few years previously."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_03"	"Saigo Takamori’s long journey to restore Imperial power and prestige will end here."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_04"	"However, his fleet became spread out during the crossing from the mainland."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_05"	"Takamori’s forces are now split, scattered along the Ezo coast."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_06"	"The loyalist army see an opportunity to strike, and advance."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_07"	"Saigo Takamori now finds himself on the defensive."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.HA_Intro_08"	"He must weather the assault and then unite his army before Hakodate Castle can be taken!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_01"	"The mainland is now firmly under Imperial control."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_02"	"However to the North Shogunate loyalists have established a breakaway “Ezo Republic”."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_03"	"The Republic controls a good proportion of the former Shogunate navy."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_04"	"At sea, then, the sides are evenly matched. The Imperial navy, though, has a new weapon."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_05"	"The Kotetsu, a state-of-the-art ironclad warship, is more advanced by far than any ship in the Ezo navy."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_06"	"The Ezo have launched a daring raid to capture or sink the ironclad."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_07"	"The Kotetsu is trapped in Miyako Bay, protected by a small Imperial flotilla."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_08"	"Her engines are undergoing maintenance, and will take time to reassemble. Until then she cannot move or fire!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Intro_09"	"Repel the Ezo navy, and protect the Kotetsu!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Outro_01"	"The Ezo raid on Miyako Bay has failed. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Outro_02"	"Imperial losses have been heavy, but the Kotetsu survives. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.MB_Outro_03"	"Now, at the Emperor’s command, she will cut a path to Ezo!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_01"	"Only a few days have passed since war broke out at Toba-Fushimi."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_02"	"The fearsome samurai Saigo Takamori and his Imperial army are marching against the Tokugawa shogun himself."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_03"	"Tokugawa Yoshinobu’s seat is Osaka Castle, a formidable fortress surrounded by water."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_04"	"The scattered Tokugawa loyalists have regrouped here. They defend the town and castle in great numbers."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_05"	"Takamori’s scouts report that Shogunate troops have been spotted moving large amounts of gunpowder."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_06"	"The activity seems to be centred on the wall towers of the castle. Perhaps they are storing it there?"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_07"	"The scouts also report that Tokugawa Yoshinobu himself has fled by ship. The Shogun will have to watch his castle burn!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Intro_08"	"Defeat the Shogunate army. Capture Osaka castle, and burn it as a demonstration of the Emperor’s wrath!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Outro_01"	"From a ship in Osaka bay, Tokugawa Yoshinobu watches his castle burn."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Outro_02"	"He has now been driven from the southern half of a country he supposedly rules."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Outro_03"	"Through courageous leadership in battle, Saigo Takamori has tipped the balance of power in Japan."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.OS_Outro_04"	"His samurai followers see him as a hero, and his achievements are celebrated throughout the land."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_01"	"It is a time of great political tension in Japan."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_02"	"The Tokugawa shogunate is in turmoil."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_03"	"The Satsuma and Choshu clans have rallied to the Emperor in a bid to restore his power."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_04"	"Their troops mass in the Imperial capital, Kyoto, in an effort to intimidate the political classes."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_05"	"They are led by Saigo Takamori, a samurai from Satsuma province."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_06"	"Respected throughout Japan for his honour and integrity, Takamori believes passionately in the Emperor’s cause."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_07"	"He is prepared to fight to see the Emperor restored to political prominence, as in former days."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_08"	"He stretches the patience of the Shogun, and now it has snapped."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_09"	"From his base in Osaka castle Shogun Tokugawa Yoshinobu has sent a letter to the Emperor’s court detailing Takamori's treachery."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_10"	"To ensure that the letter reaches the Emperor, Yoshinobu has sent his army to deliver it."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_11"	"Saigo Takamori has no intention of letting the Shogun's army reach Kyoto."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_12"	"He has blocked the road at Toba and Fushimi."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Intro_13"	"And so war has come! Your task is to prevent the Shogunate army from reaching Kyoto!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Mid_01"	"The Shogun’s army has been thrown back after a day of heavy fighting."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Mid_02"	"He still maintains a significant force and now his sword is fully drawn."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Mid_03"	"There is no pretence of anything but open battle."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Mid_04"	"However, the victory of the Choshu and Satsuma forces has brought political gains overnight."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Mid_05"	"They now have support from nearby Kyoto, including from the Emperor’s relatives."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Mid_06"	"Saigo Takamori and his allies are united under the Imperial banner!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Mid_07"	"The Shogunate army now see that they defy the will of the Emperor! Drive them from the battlefield!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Outro_01"	"Political manoeuvring and military tension have become full-scale war."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Outro_02"	"Saigo Takamori has won a great victory in the Emperor’s name. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Outro_03"	"The Shogunate army are in full retreat to Osaka castle, the seat of the Shogun himself. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.TF_Outro_04"	"The Imperial forces give chase, and the war goes on!"	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_01"	"Confronted by the might of the Imperial army, Shogun Tokugawa Yoshinobu has surrendered Edo and his authority."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_02"	"Saigo Takamori is succeeding in his quest to restore the powers of the Emperor. "	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_03"	"He is now the most celebrated samurai in all Japan."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_04"	"Despite the resignation of the Shogun, some troops around Edo are still loyal to his cause."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_05"	"They hold out in Kan’ei-ji temple on Ueno hill, to the north-east of the city."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_06"	"They are dug in around the temple complex, and must be removed by force."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_07"	"Saigo Takamori’s plan is for a frontal attack, supported by reinforcements from the west."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_08"	"He knows that the attack will face heavy resistance and insists on leading the main assault."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Intro_09"	"Takamori’s imposing presence on the battlefield could be crucial in achieving victory today."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Outro_01"	"Victory at Ueno is the end of Shogunate resistance in central Japan."	"battle_advisor"	"placeholder"
"Bos.Narr.HB.UE_Outro_02"	"Saigo Takamori has now all but assured the restoration of the Emperor to his rightful role as ruler of Japan."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.AI_Date"	"September, 1868"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.AI_Obj_01"	"Objective: Defeat the Aizu defenders."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.AI_Place"	"Bonari Pass, Aizu domain"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.Generic_Obj_01"	"Objective: Keep Saigo Takamori alive."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.HA_Date"	"May, 1869"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.HA_Obj_01"	"Objective: Defeat the Ezo defenders and capture Hakodate castle."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.HA_Place"	"Hakodate, Ezo Island"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.MB_Date"	"May 6th, 1869"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.MB_Obj_01"	"Objective: Defend the Kotetsu."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.MB_Place"	"Miyako Bay, north-east Japan"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.OS_Date"	"February 2nd, 1868"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.OS_Obj_01"	"Objective: Capture Osaka Castle."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.OS_Place"	"Osaka"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.TF_Date_01"	"January 27th, 1868"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.TF_Date_02"	"January 28th, 1868"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.TF_Obj_01"	"Objective: Prevent any shogunate units from breaking through to Kyoto."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.TF_Obj_02"	"Objective: Defeat the shogunate army."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.TF_Place"	"Fushimi, near Kyoto"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.UE_Date"	"July 4th, 1868"	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.UE_Obj_01"	"Objective: defeat the loyalist army."	"battle_advisor"	"placeholder"
"Bos.NoVO.HB.UE_Place"	"Kan’ei-ji Temple, near Edo"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Battle_Lost"	"My Lord, the Oda clan retreat! We must do likewise! This battle is lost!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Battle_Won"	"The Asai and Asakura are crushed! All of Japan will surely tremble as the Oda and Tokugawa march onwards!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_01"	"Commander! Lord Nobunaga is engaging the enemy, and requests us to cross the river to support his attack!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_02"	"My Lord! Dreadful news! Lord Nobunaga has fallen! His men break their spears in grief!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_03"	"My Lord! Word has come that the Asai commander is in retreat towards the castle. Defeat his army, and they will be surrounded!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_04"	"The Oda have committed their reserves to battle! We should assist where we can!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_05"	"Our opponents fall before us, yet the Oda face more resistance. Perhaps we should send men to their aid!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_06"	"The Asai flee in disarray! Nagamasa is trapped in his fortress!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_07"	"He is not without honour: Asai Nagamasa has released Lady Oichi from the castle. She is safe!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_08"	"The Oda will assault the castle from the south."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_09"	"The Tokugawa must strike from the west."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_10"	"Continue with the attack!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Extra_11"	"Daimyo! Lord Nobunaga requests that you focus your attacks on the left, while he takes the right. Engage the enemy rockets!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_01"	"This is the province of Omi. The year is 1570."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_02"	"Oda Nobunaga and Tokugawa Ieyasu are marching north, along the eastern shore of Lake Biwa."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_03"	"Nobunaga means to fight Asai Nagamasa, his brother-in-law, and Nagamasa’s allies, the Asakura clan, who have plotted against him."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_04"	"The Asai and Asakura armies are in a defensive position along the Anegawa river."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_05"	"Their position blocks the plain beneath the Asai's most formidable fortress, Odani castle."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_06"	"Watching the battle from the castle above will be Nagamasa's father, Asai Hisamasa. Oda Nobunaga's sister, Oichi, is also in the castle. Nobunaga wants her back."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_07"	"Oda Nobunaga knows that he has the Asai cornered. If he defeats them there will be no escape for anyone in Odani castle."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_08"	"He has split the allied army: the Oda will meet the Asai on the right; on the left the Tokugawa will face the Asakura."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_09"	"If his battle plan works, then the two wings should attack Odani castle from either side."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Intro_10"	"Tokugawa Ieyasu is confident and knows that his army will play a crucial role in today’s victory."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Obj1"	"Objective: Attack the enemy across the river on the left while the Oda attack on the right"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Anegawa_Obj2"	"Objective: Capture Odani castle"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Battle_Lost"	"Kawagoe, our home, is lost. This is deeply shameful!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Battle_Won"	"Victory is yours, my lord! The enemy is broken! A fitting doom has befallen the Uesugi!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Extra_1"	"My lord! Our ninja are dead! We can no long attack at the same time as the relieving force."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Extra_2"	"Success, my lord, success! Our ninja have met the relieving force. A co-ordinated attack can happen soon."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Extra_3"	"I suggest we send archers to the palisades. They will be deadly to any approaching foes."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Extra_4"	"I would suggest blocking open gateways with yari. Line the walls with Archers. Our enemies will flee!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Intro_1"	"This is Kawagoe Castle. The year is 1545."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Intro_2"	"Our Hojo fortress is completely surrounded by the army of Ogigayatsu Tomosada, a scion of the Uesugi clan."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Intro_3"	"Our forces are outnumbered, but there may yet be hope. Word has come that a Hojo army is marching to relieve the siege."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Intro_4"	"Even better, the besieging forces seem so confident of victory that they are not keeping a proper watch."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Intro_5"	"We must hold out until reinforcements arrive. Then our clan brothers can deal a deadly blow to the besieging army."	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Intro_6"	"Stand strong my brother. Victory awaits us on the horizon!"	"battle_advisor"	"placeholder"
"CreativeAssembly.HB_Kawagoe_Obj1"	"Objective: Successfully defend Kawagoe castle against the Uesugi"	"battle_advisor"	"placeholder"
