version 1, schema campaign_ai_personality_junctions_tables
Campaign_Personality_IDRef(string)	Personality(string)	Magnitude(float)
"continental_progressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	15
"continental_progressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	15
"continental_progressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	10
"continental_repressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	15
"continental_repressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	25
"continental_repressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	10
"continental_repressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	15
"continental_repressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	20
"continental_repressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	10
"continental_repressive"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	5
"default"	"BASE_CONSTRUCTION_BIAS_ECONOMIC"	0.2
"default"	"BASE_CONSTRUCTION_BIAS_EDUCATION"	0.2
"default"	"BASE_CONSTRUCTION_BIAS_HAPPINESS"	0.1
"default"	"BASE_CONSTRUCTION_BIAS_MILITARY"	0.5
"default"	"BASE_CONSTRUCTION_BIAS_PRESTIGE"	0
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_BASE_PRIORITY_PROPORTION"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_OCCUPIED_FORT_REPAIR"	100
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_OCCUPIED_FORT_UPGRADE"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_UNOCCUPIED_FORT_REPAIR"	25
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_UNOCCUPIED_FORT_UPGRADE"	10
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_PRIORITY_COST_CONTRIBUTION"	100
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_PRIORITY_FORCE_STRENGTH_CONTRIBUTION"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_PRIORITY_REGION_VALUE_CONTRIBUTION"	100
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_UNOWNED_REGION_OCCUPIED_FORT_REPAIR"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_UNOWNED_REGION_OCCUPIED_FORT_UPGRADE"	5
"default"	"BASIC_DESIRE_PROTECT_PROTECTORATES_VALUE_INDEPENDANT_BASE_PRIORITY"	20
"default"	"BASIC_DESIRE_WAR_OF_SUCCESSION_RECIND_AFTER_NUMBER_OF_ROUNDS"	0
"default"	"BASIC_DESIRES_BUFFER_ZONE_BEHAVIOUR_BASE_COMPONENT_PROPORTION"	30
"default"	"BASIC_DESIRES_DEFEND_REGION_GOAL_BASE_COMPONENT_PROPORTION"	20
"default"	"BASIC_DESIRES_DEFEND_REGION_GROUPS_GOAL_BASE_COMPONENT_PROPORTION"	25
"default"	"BASIC_DESIRES_REGION_DEVELOPMENT_GOAL_BASE_COMPONENT_PROPORTION"	25
"default"	"BASIC_INCOME_PROPORTIONAL_SAVINGS_PER_TURN"	20
"default"	"BASIC_SPENDING_BIAS_CONSTRUCTION"	0.25
"default"	"BASIC_SPENDING_BIAS_CONSTRUCTION_SAVE_MONEY_ON_FAIL"	20
"default"	"BASIC_SPENDING_BIAS_DIPLOMATIC"	0.25
"default"	"BASIC_SPENDING_BIAS_DIPLOMATIC_SAVE_MONEY_ON_FAIL"	20
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY"	0.25
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY_SAVE_MONEY_ON_FAIL"	20
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY"	0.25
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY_SAVE_MONEY_ON_FAIL"	20
"default"	"BAWP_WEIGHTING_ADJACENCY"	20
"default"	"BAWP_WEIGHTING_ARE_ALLIES_ALREADY"	25
"default"	"BAWP_WEIGHTING_DIPLOMATIC_RELATIONS"	10
"default"	"BAWP_WEIGHTING_INTERFACTION_RELATIONS"	10
"default"	"BAWP_WEIGHTING_MILITARY_STRENGTH"	35
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_CAN_WIN_MULTIPLIER"	1.6
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_GROUP_INCREASED_MULTIPLIER"	1.3
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_GROUP_LOST_MULTIPLIER"	1
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_GROUP_MERGED_MULTIPLIER"	1.4
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_GROUP_NEW_MULTIPLIER"	1
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_GROUP_REDUCED_MULTIPLIER"	1.3
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_GROUP_SPLIT_MULTIPLIER"	1.4
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_INVADED_MULTIPLIER"	1.1
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_LOSS_CERTAIN_MULTIPLIER"	0.9
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_LOSS_LIKELY_MULTIPLIER"	1.2
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_LOSS_VERY_LIKELY_MULTIPLIER"	1
"default"	"COMPOSITE_VALUE_ANALYSER_REGION_OUTNUMBERS_MULTIPLIER"	1.1
"default"	"DEFENCE_AND_INVASION_FORCE_STRENGTH_ANALYSIS_INVASION_FORCE_DISCOUNT_PROPORTION_FOR_ADJUSTED"	75
"default"	"DEFENCE_AND_INVASION_FORCE_STRENGTH_ANALYSIS_MINIMUM_DEFENCE_FORCE_PROPORTION_FOR_ADJUSTED"	25
"default"	"DEFENCE_AND_INVASION_FORCE_STRENGTH_ANALYSIS_SUPPORT_FORCE_DISCOUNT_PROPORTION_FOR_ADJUSTED"	50
"default"	"DESIRE_BUFFER_ZONE_CLEAR_BUFFER_ZONE_BEHAVIOUR_ABOVE"	100
"default"	"DESIRE_BUFFER_ZONE_INVOKE_BUFFER_ZONE_BEHAVIOUR_BELOW"	50
"default"	"FACTIONAL_NONCACHING_ANALYSER_BADLY_LOSE_MINIMUM_WINNING_FORCE_MULTIPLIER_ARMIES"	0.6
"default"	"FACTIONAL_NONCACHING_ANALYSER_EASY_WIN_MINIMUM_WINNING_FORCE_MULTIPLIER_ARMIES"	1.5
"default"	"FINANCIAL_ANALYSIS_BEST_CASE_TURN_ON_TURN_OUT_GOINGS_AS_A_PROPORTION_OF_INCOME"	50
"default"	"FINANCIAL_ANALYSIS_TURNS_TO_ALLOW_OVERSPEND"	5
"default"	"FINANCIAL_ANALYSIS_WORST_CASE_TURN_ON_TURN_OUT_GOINGS_AS_A_PROPORTION_OF_INCOME"	120
"default"	"GRANULOID_CONSTRUCTION_BIAS_FACTION"	0.25
"default"	"GRANULOID_CONSTRUCTION_BIAS_PERSONALITY"	0.25
"default"	"GRANULOID_CONSTRUCTION_BIAS_REGION"	0.25
"default"	"GRANULOID_CONSTRUCTION_BIAS_REGION_GROUP"	0.25
"default"	"HLP_DISTANCE_MULTIPLIER_FOR_ENEMY"	3
"default"	"HLP_DISTANCE_MULTIPLIER_FOR_FRIEND"	2
"default"	"HLP_DISTANCE_MULTIPLIER_FOR_NEUTRAL"	1
"default"	"HLP_DISTANCE_MULTIPLIER_LAND_PATH"	2
"default"	"HLP_DISTANCE_MULTIPLIER_SEA_LAND_TRANSITION_PATH"	1
"default"	"HLP_DISTANCE_MULTIPLIER_SEA_PATH"	2
"default"	"HLP_MINIMUM_ACCEPTABLE_FIRST_ORDER_FRIENDLINESS_LEVEL_TO_CONSIDER_SPECULATIVE_PATH_ACROSS_TERRITORY"	0.35
"default"	"INTENTION_SIEGE_OFFER_SURRENDER_PROBABILITY_ON_OFFERING_SURRENDER_IF_LIKELY_BAD_DEFEAT"	30
"default"	"INTENTION_SIEGE_OFFER_SURRENDER_PROBABILITY_ON_OFFERING_SURRENDER_IF_LIKELY_DEFEAT"	40
"default"	"INTENTION_SIEGE_OFFER_SURRENDER_PROBABILITY_ON_OFFERING_SURRENDER_IF_LIKELY_DRAW"	50
"default"	"INTENTION_SIEGE_OFFER_SURRENDER_PROBABILITY_ON_OFFERING_SURRENDER_IF_LIKELY_EASY_VICTORY"	70
"default"	"INTENTION_SIEGE_OFFER_SURRENDER_PROBABILITY_ON_OFFERING_SURRENDER_IF_LIKELY_VICTORY"	60
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_ARMY_BIAS_FOR_REMOVING_GARRISONS"	0.9
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_ARMY_DISTANCE_DIVIDING_STRENGTH_WEIGHT"	1
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_BALANCED"	1.4
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_DEFAULT"	1
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_INVASION"	1.7
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_RAPID"	1.3
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_TRADE"	0.1
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_CHARACTER_ONLY_DISTANCE_DIVIDING_SKILL_WEIGHT"	0.5
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_PROPORTION_OF_RELEVANT_LOCAL_AGENTS_TO_AQUIRE_CEILINGED"	75
"default"	"INVASION_OBTAINING_LOCAL_MOBILES_PROPORTIONAL_TOTAL_VALUE_OF_OBTAINING_RELEVANT_AGENTS"	50
"default"	"LOWER_CLASS_MINIMUM_ACCEPTABLE_HAPPINESS"	2
"default"	"MAXIMUM_PERCENTAGE_OF_NAVIES_TO_USE_FOR_TRADE"	50
"default"	"MILITARY_RANK_ADMIRALS_IN_NAVY_MAXIMUM"	1
"default"	"MILITARY_RANK_ADMIRALS_IN_NAVY_MINIMUM_UNITS"	10
"default"	"MILITARY_RANK_ADMIRALS_IN_THEATRE_MAXIMUM_PERCENTAGE"	20
"default"	"MILITARY_RANK_ADMIRALS_IN_THEATRE_MINIMUM_PERCENTAGE"	0
"default"	"MILITARY_RANK_GENERALS_IN_ARMY_MAXIMUM"	1
"default"	"MILITARY_RANK_GENERALS_IN_ARMY_MINIMUM_UNITS"	10
"default"	"MILITARY_RANK_GENERALS_IN_REGION_GROUP_MAXIMUM_PERCENTAGE"	20
"default"	"MILITARY_RANK_GENERALS_IN_REGION_GROUP_MINIMUM_PERCENTAGE"	0
"default"	"MINIMUM_ABSOLUTE_RELATIVE_STRENGTH_ADVANTAGE_ARMIES"	15
"default"	"MINIMUM_ABSOLUTE_RELATIVE_STRENGTH_ADVANTAGE_NAVIES"	15
"default"	"MINIMUM_ABSOLUTE_STRENGTH_MULTIPLE_ARMIES"	40
"default"	"MINIMUM_ABSOLUTE_STRENGTH_MULTIPLE_NAVIES"	40
"default"	"MINIMUM_BATTLE_RESULT"	40
"default"	"MINIMUM_CHANCE_OF_SUCCESS"	30
"default"	"MINIMUM_RELATIVE_STRENGTH"	7
"default"	"NAVAL_UNIT_LIMIT"	8
"default"	"NAVAL_UNIT_LIMIT_DYNAMIC_BIAS"	110
"default"	"NAVAL_UNIT_LIMIT_OVERWRITE_ALLOWED"	1
"default"	"NAVY_DISTRIBUTION_PRIORITY_GLOBAL"	1
"default"	"NAVY_DISTRIBUTION_PRIORITY_LOCAL"	2
"default"	"NAVY_GLOBAL_DISTRIBUTION_THEATRE_VALUE_LOWER_MODIFIER"	100
"default"	"NAVY_GLOBAL_DISTRIBUTION_THEATRE_VALUE_UPPER_MODIFIER"	150
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE"	0.3
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_ENEMY"	0.7
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_FRIEND"	0.2
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_NEUTRAL"	0.05
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_SELF"	0.05
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT"	0.3
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_ENEMY"	0.3
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_FRIEND"	0.2
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_NEUTRAL"	0.05
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_SELF"	0.45
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION"	0.1
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_ENEMY"	0.3
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_FRIEND"	0.25
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_NEUTRAL"	0.2
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_SELF"	0.25
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE"	0.3
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_ENEMY"	0.25
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_FRIEND"	0.25
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_NEUTRAL"	0.25
"default"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_SELF"	0.25
"default"	"NAVY_RECRUITMENT_MINIMUM_RELATIVE_STRENGTH"	125
"default"	"NAVY_RECRUITMENT_MINIMUM_STRENGTH"	500
"default"	"NAVY_REGION_COAST_DEFENCE_PRIORITY_GENERAL"	3
"default"	"NAVY_REGION_COAST_DEFENCE_PRIORITY_NEIGHBOURS"	2
"default"	"NAVY_REGION_COAST_DEFENCE_PRIORITY_PORT"	1
"default"	"NAVY_REPAIR_FULL_CREW_MINIMUM_PERCENTAGE"	50
"default"	"NAVY_REPAIR_FULL_HULL_MINIMUM_PERCENTAGE"	50
"default"	"NAVY_REPAIR_TOTAL_CREW_MINIMUM_PERCENTAGE"	50
"default"	"NAVY_REPAIR_TOTAL_HULL_MINIMUM_PERCENTAGE"	50
"default"	"NAVY_TRANSPORT_MAX_PERCENTAGE"	65
"default"	"PERSONALITY_BASIC_DESIRE_RAID_REGIONS_GOAL_PRIORITY_BASE"	20
"default"	"PERSONALITY_PROPORTION_OF_DESIRED_STRENGTH_NECESSARY_TO_CONSIDER_RAIDING"	100
"default"	"PERSONALITY_SHOULD_ATTEMPT_TO_CAPTURE_REGION_DURING_RAID"	1
"default"	"PERSONALITY_VALUE_BASIC_DESIRE_RECAPTURE_REGIONS_BASE_PRIORITY"	50
"default"	"PERSONALITY_VALUE_BASIC_GOAL_RECAPTURE_REGIONS_TIMEOUT"	10
"default"	"POP_GROWTH_MINIMUM_ACCEPTABLE_AS_PROPORTION_OF_POP"	5
"default"	"PRIORITY_RANDOMIZATION_DESIRE"	10
"default"	"PRIORITY_RANDOMIZATION_INTENTION"	1
"default"	"RECRUITMENT_ARMY_CATEGORY_BALANCE_DISTANCE"	0.05
"default"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_ARTILLERY"	0.15
"default"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_CAVALRY"	0.1
"default"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_DRAGOONS"	0.1
"default"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_ELEPHANTS"	0
"default"	"RECRUITMENT_ARMY_CATEGORY_BASE_PROPORTIONS_INFANTRY"	0.65
"default"	"RECRUITMENT_ARMY_COST_OVER_STRENGTH_ADDITIONAL_UNIT_EXEPERIENCE_BONUS"	0.05
"default"	"RECRUITMENT_ARMY_NUMBER_OF_TURNS_TO_FINANCE_EMERGENCY"	5
"default"	"RECRUITMENT_ARMY_OVERSTRENGTH_UNITS_TO_OFFSET_DEFICIT"	3
"default"	"RECRUITMENT_ARMY_POSSIBLE_ADDITIONAL_UNITS_PER_REGION_HIGH"	5
"default"	"RECRUITMENT_ARMY_POSSIBLE_ADDITIONAL_UNITS_PER_REGION_VERY_HIGH"	10
"default"	"RECRUITMENT_ARMY_STRENGTH_OF_PERSONALITY_BIAS"	25
"default"	"RECRUITMENT_FINANCIAL_BIAS_EMERGENCY_SITUATION_ONLY"	0.1
"default"	"RECRUITMENT_FINANCIAL_BIAS_MAINTAINABLE_ONLY"	0.8
"default"	"RECRUITMENT_FINANCIAL_BIAS_RECRUITMENT_ONLY"	0.1
"default"	"RECRUITMENT_MINIMUM_NEW_ARMY_SIZE"	6
"default"	"RECRUITMENT_MINIMUM_NEW_NAVY_SIZE"	3
"default"	"RECRUITMENT_NAVY_CATEGORY_BALANCE_DISTANCE"	0.1
"default"	"RECRUITMENT_NAVY_CATEGORY_BASE_PROPORTIONS_AUXILIARY"	0.2
"default"	"RECRUITMENT_NAVY_CATEGORY_BASE_PROPORTIONS_FRIGATE"	0.2
"default"	"RECRUITMENT_NAVY_CATEGORY_BASE_PROPORTIONS_GALLEY"	0
"default"	"RECRUITMENT_NAVY_CATEGORY_BASE_PROPORTIONS_INVASION_FLEET"	0
"default"	"RECRUITMENT_NAVY_CATEGORY_BASE_PROPORTIONS_LINE_OF_BATTLE"	0.6
"default"	"RECRUITMENT_NAVY_CATEGORY_BASE_PROPORTIONS_MERCHANT"	0
"default"	"RECRUITMENT_NAVY_CATEGORY_BASE_PROPORTIONS_SPECIALIST"	0
"default"	"RECRUITMENT_NAVY_COST_OVER_STRENGTH_ADDITIONAL_UNIT_EXEPERIENCE_BONUS"	0.05
"default"	"RECRUITMENT_NAVY_MIN_AMOUNT_OF_MOBILES_TRADE_ORIENTED"	1
"default"	"RECRUITMENT_NAVY_MIN_AMOUNT_OF_UNITS_TRADE_ORIENTED"	1
"default"	"RECRUITMENT_NAVY_NUMBER_OF_TURNS_TO_FINANCE_EMERGENCY"	7
"default"	"RECRUITMENT_NAVY_OVERSTRENGTH_UNITS_TO_OFFSET_DEFICIT"	2
"default"	"RECRUITMENT_NAVY_POSSIBLE_ADDITIONAL_UNITS_PER_REGION_HIGH"	2
"default"	"RECRUITMENT_NAVY_POSSIBLE_ADDITIONAL_UNITS_PER_REGION_VERY_HIGH"	5
"default"	"RECRUITMENT_NAVY_STRENGTH_OF_PERSONALITY_BIAS"	25
"default"	"RECRUITMENT_USE_BATTLE_AI_RECOMMENDATION_OVER"	30
"default"	"REGION_DEFENCE_ATTACK_NEUTRAL_CHARACTERS_BELOW"	50
"default"	"REGION_DEFENCE_BASE_PRIORITIES_BORDERS"	0.2
"default"	"REGION_DEFENCE_BASE_PRIORITIES_GROUPING"	0.2
"default"	"REGION_DEFENCE_BASE_PRIORITIES_RESERVES"	0.1
"default"	"REGION_DEFENCE_BASE_PRIORITIES_SETTLEMENT"	0.2
"default"	"REGION_DEFENCE_BASE_PRIORITIES_SLOTS"	0.2
"default"	"REGION_DEFENCE_BASE_PRIORITIES_UNHAPPINESS_MITIGATION"	0.1
"default"	"REGION_DEFENCE_SLOT_DEFENCE_VALUE_BIAS"	50
"default"	"REGION_DEFENCE_STRENGTH_ANALYSER_ARMED_CITIZENRY_SCALING"	20
"default"	"REGION_DEFENCE_STRENGTH_ANALYSER_EXTERNAL_REGIONS_FORCE_SCALING"	40
"default"	"REGION_DEFENCE_STRENGTH_ANALYSER_INTERNAL_FORCE_SCALING"	80
"default"	"RELATIONSHIP_MANAGEMENT_ENEMIES_UNDER"	0.27
"default"	"RELATIONSHIP_MANAGEMENT_FRIENDS_OVER"	0.42
"default"	"RESEARCH_TECHNOLOGY_DYNAMIC_BIAS"	0.1
"default"	"RESEARCH_TECHNOLOGY_MINIMUM_CHARACTERS_USED_FOR_RESEARCH"	75
"default"	"RESEARCH_TECHNOLOGY_STATIC_BIAS"	0.9
"default"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	10
"default"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	20
"default"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	10
"default"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	10
"default"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	20
"default"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	20
"default"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	10
"default"	"SUPPORT_OBTAINING_LOCAL_MOBILES_ARMY_BIAS_FOR_REMOVING_GARRISONS"	0.9
"default"	"SUPPORT_OBTAINING_LOCAL_MOBILES_ARMY_DISTANCE_DIVIDING_STRENGTH_WEIGHT"	1
"default"	"SUPPORT_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_BALANCED"	1.5
"default"	"SUPPORT_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_DEFAULT"	1
"default"	"SUPPORT_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_INVASION"	2
"default"	"SUPPORT_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_RAPID"	1.2
"default"	"SUPPORT_OBTAINING_LOCAL_MOBILES_ARMY_STRENGTH_MULTIPLIER_FOR_BALANCE_TYPE_TRADE"	1
