version 1, schema gun_type_to_projectiles_tables
Gun_IDRef(string)	Projectile_IDRef(string)	Muzzle_Flash(string)
"naval_12_pounder"	"naval_12_pounder_shot_rifled"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_chain_lr"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_grape"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_improved_grape"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_shot_lr"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_shot_lr_rifled"	"naval_12_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_chain"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_grape"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_improved_grape"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_shot"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_shot_rifled"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_chain_lr"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_grape"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_improved_grape"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_shot_lr"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_shot_lr_rifled"	"naval_18_pounder_muzzle_flash"
"naval_24_pounder"	"naval_18_pounder_shot_rifled"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_chain"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_grape"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_improved_grape"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_shot"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_shot_rifled"	"naval_24_pounder_muzzle_flash"
"naval_32_pounder"	"naval_24_pounder_shot_rifled"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_chain"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_grape"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_improved_grape"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_shot"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_shot_rifled"	"naval_32_pounder_muzzle_flash"
"naval_42_pounder"	"naval_32_pounder_shot_rifled"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_chain"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_grape"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_improved_grape"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_shot"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_shot_rifled"	"naval_42_pounder_muzzle_flash"
"naval_6_pounder"	"naval_42_pounder_shot_rifled"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_chain"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_grape"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_improved_grape"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_shot"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_shot_rifled"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_chain_lr"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_grape"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_improved_grape"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_shot_lr"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_shot_lr_rifled"	"naval_6_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_chain"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_grape"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_improved_grape"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_shot"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_shot_rifled"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_chain_lr"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_grape"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_improved_grape"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_shot_lr"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_shot_lr_rifled"	"naval_9_pounder_muzzle_flash"
"naval_carronade_32_pounder"	"naval_9_pounder_shot_rifled"	"naval_carronade_32_pounder_muzzle_flash"
"naval_carronade_32_pounder"	"naval_carronade_32_chain"	"naval_carronade_32_pounder_muzzle_flash"
"naval_carronade_32_pounder"	"naval_carronade_32_grape"	"naval_carronade_32_pounder_muzzle_flash"
"naval_carronade_32_pounder"	"naval_carronade_32_shot"	"naval_carronade_32_pounder_muzzle_flash"
"naval_carronade_64_pounder"	"naval_carronade_64_chain"	"naval_carronade_64_pounder_muzzle_flash"
"naval_carronade_64_pounder"	"naval_carronade_64_grape"	"naval_carronade_64_pounder_muzzle_flash"
"naval_carronade_64_pounder"	"naval_carronade_64_shot"	"naval_carronade_64_pounder_muzzle_flash"
"naval_mortar"	"naval_mortar_shell"	"naval_mortar_muzzle_flash"
"naval_rocket_launcher"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"naval_rocket_launcher"	"rockets_naval"	"naval_rocket_launcher_muzzle_flash"
"ott_cannon_12_pounder"	"cannon_12_pounder_cannister"	"cannon_12_pounder_muzzle_flash"
"ott_cannon_12_pounder"	"cannon_12_pounder_shot"	"cannon_12_pounder_muzzle_flash"
"ott_cannon_12_pounder"	"cannon_12_pounder_shrapnel"	"cannon_12_pounder_muzzle_flash"
"ott_cannon_18_pounder"	"cannon_18_pounder_cannister"	"cannon_18_pounder_muzzle_flash"
"ott_cannon_18_pounder"	"cannon_18_pounder_shot"	"cannon_18_pounder_muzzle_flash"
"ott_cannon_18_pounder"	"cannon_18_pounder_shrapnel"	"cannon_18_pounder_muzzle_flash"
"ott_cannon_24_pounder"	"cannon_24_pounder_cannister"	"cannon_24_pounder_muzzle_flash"
"ott_cannon_24_pounder"	"cannon_24_pounder_shot"	"cannon_24_pounder_muzzle_flash"
"ott_cannon_24_pounder"	"cannon_24_pounder_shrapnel"	"cannon_24_pounder_muzzle_flash"
"ott_cannon_3_pounder"	"cannon_3_pounder_cannister"	"cannon_3_pounder_muzzle_flash"
"ott_cannon_3_pounder"	"cannon_3_pounder_shot"	"cannon_3_pounder_muzzle_flash"
"ott_cannon_3_pounder"	"cannon_3_pounder_shrapnel"	"cannon_3_pounder_muzzle_flash"
"ott_cannon_32_pounder"	"fort_32_pounder_shot"	"fort_32_pounder_muzzle_flash"
"ott_cannon_9_pounder"	"cannon_9_pounder_cannister"	"cannon_9_pounder_muzzle_flash"
"ott_cannon_9_pounder"	"cannon_9_pounder_shot"	"cannon_9_pounder_muzzle_flash"
"ott_howitzer_12_pounder"	"howitzer_12_pounder_canister"	"howitzer_12_pounder_muzzle_flash"
"ott_howitzer_12_pounder"	"howitzer_12_pounder_carcass"	"howitzer_12_pounder_muzzle_flash"
"ott_howitzer_12_pounder"	"howitzer_12_pounder_quicklime"	"howitzer_12_pounder_muzzle_flash"
"ott_howitzer_12_pounder"	"howitzer_12_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"ott_howitzer_12_pounder"	"howitzer_12_pounder_shell_percussive"	"howitzer_12_pounder_muzzle_flash"
"ott_howitzer_12_pounder"	"howitzer_12_pounder_shot"	"howitzer_12_pounder_muzzle_flash"
"ott_howitzer_24_pounder"	"howitzer_24_pounder_canister"	"howitzer_24_pounder_muzzle_flash"
"ott_howitzer_24_pounder"	"howitzer_24_pounder_carcass"	"howitzer_24_pounder_muzzle_flash"
"ott_howitzer_24_pounder"	"howitzer_24_pounder_quicklime"	"howitzer_24_pounder_muzzle_flash"
"ott_howitzer_24_pounder"	"howitzer_24_pounder_shell"	"howitzer_24_pounder_muzzle_flash"
"ott_howitzer_24_pounder"	"howitzer_24_pounder_shell_percussive"	"howitzer_24_pounder_muzzle_flash"
"ott_howitzer_24_pounder"	"howitzer_24_pounder_shot"	"howitzer_24_pounder_muzzle_flash"
"ott_mortar_4"	"mortar_4_carcass"	"mortar_4_muzzle_flash"
"ott_mortar_4"	"mortar_4_quicklime"	"mortar_4_muzzle_flash"
"ott_mortar_4"	"mortar_4_shell"	"mortar_4_muzzle_flash"
"ott_mortar_4"	"mortar_4_shell_percussive"	"mortar_4_muzzle_flash"
"ott_mortar_4"	"mortar_4_shot"	"mortar_4_muzzle_flash"
"ott_mortar_8"	"mortar_8_carcass"	"mortar_8_muzzle_flash"
"ott_mortar_8"	"mortar_8_quicklime"	"mortar_8_muzzle_flash"
"ott_mortar_8"	"mortar_8_shell"	"mortar_8_muzzle_flash"
"ott_mortar_8"	"mortar_8_shell_percussive"	"mortar_8_muzzle_flash"
"ott_mortar_8"	"mortar_8_shot"	"mortar_8_muzzle_flash"
"ottoman_great_cannon"	"ottoman_great_cannon_12_shot"	"ottoman_great_cannon_muzzle_flash"
"puckle"	"puckle"	"puckle_muzzle_flash"
"rockets_camel"	"quicklime_fragment"	"naval_rocket_launcher_muzzle_flash"
"rockets_camel"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"rockets_carriage"	"quicklime_fragment"	"naval_rocket_launcher_muzzle_flash"
"rockets_carriage"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"rockets_fixed"	"quicklime_fragment"	"naval_rocket_launcher_muzzle_flash"
"rockets_fixed"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"siege_cannon_64_pounder"	"fort_carronade_64_pounder_shrapnel"	"fort_carronade_64_pounder_muzzle_flash"
"siege_cannon_64_pounder"	"siege_cannon_64_pounder_shot"	"fort_carronade_64_pounder_muzzle_flash"
