version 1, schema battle_groundcover_distribution_maps_tables
key(string)	unknown2(string)	unknown3(int)
"lc_sand_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_sand_desert_lod_0_map_0.tga"	0
"lc_sand_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_sand_desert_lod_0_map_1.tga"	0
"lc_sand_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_sand_desert_lod_0_map_2.tga"	0
"lc_sand_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_sand_desert_lod_1_map_0.tga"	1
"lc_sand_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_sand_desert_lod_1_map_1.tga"	1
"lc_sand_desert"	"BattleTerrain\\groundcover_distribution_maps\\lc_sand_desert_lod_1_map_2.tga"	1
"lc_steppe"	"BattleTerrain\\groundcover_distribution_maps\\lc_steppe_lod_0_map_0.tga"	0
"lc_steppe"	"BattleTerrain\\groundcover_distribution_maps\\lc_steppe_lod_0_map_1.tga"	0
"lc_steppe"	"BattleTerrain\\groundcover_distribution_maps\\lc_steppe_lod_0_map_2.tga"	0
"lc_steppe"	"BattleTerrain\\groundcover_distribution_maps\\lc_steppe_lod_1_map_0.tga"	1
"lc_steppe"	"BattleTerrain\\groundcover_distribution_maps\\lc_steppe_lod_1_map_1.tga"	1
"lc_steppe"	"BattleTerrain\\groundcover_distribution_maps\\lc_steppe_lod_1_map_2.tga"	1
"lc_tundra"	"BattleTerrain\\groundcover_distribution_maps\\lc_tundra_lod_0_map_0.tga"	0
"lc_tundra"	"BattleTerrain\\groundcover_distribution_maps\\lc_tundra_lod_0_map_1.tga"	0
"lc_tundra"	"BattleTerrain\\groundcover_distribution_maps\\lc_tundra_lod_0_map_2.tga"	0
"lc_tundra"	"BattleTerrain\\groundcover_distribution_maps\\lc_tundra_lod_1_map_0.tga"	1
"lc_tundra"	"BattleTerrain\\groundcover_distribution_maps\\lc_tundra_lod_1_map_1.tga"	1
"lc_tundra"	"BattleTerrain\\groundcover_distribution_maps\\lc_tundra_lod_1_map_2.tga"	1
