version 1, schema quotes_people_tables
Quote_Person_ID(string)	Description(string)
"shelley_mab"	"Extract from \"Queen Mab\" by Percy Bysshe Shelley"
"burke_reflections"	"Extract from \"Reflections on the Revolution in France\" by Edmund Burke"
"lewis_strength"	"Extract from \"That Hideous Strength\" by C.S. Lewis"
"francis_jeffrey"	"Francis Jeffrey, Scottish literary critic and jurist"
"french_proverb"	"French proverb"
"hegel_gwf"	"G.W.F. Hegel, German idealist philosopher"
"heinrich_heine"	"Heinrich Heine, German journalist, essayist, and romantic poet"
"lord_nelson_4"	"Lord Horatio Nelson, British admiral, after the Battle of the Nile"
"italian_proverb"	"Italian proverb"
"jean_paul_richter"	"Jean-Paul Richter, German author"
"ja_brillat_savarin"	"Jean-Anthelme Brillat-Savarin, French politician and gastronome"
"john_jervis"	"John Jervis, Lord St. Vincent, British admiral"
"john_keats_2"	"John Keats, British poet, inscribed on his gravestone"
"joseph_joubert"	"Joseph Joubert, French essayist"
"ludwig_van"	"Ludwig van Beethoven, German composer"
"michel_ney"	"Marshall Michel Ney, French general"
"max_robespierre"	"Maximilien Robespierre, French revolutionary"
"nicolas_chamfort"	"Nicolas Chamfort, French writer"
"philip_james_bailey"	"Philip James Bailey, English poet"
"pierre_cambronne"	"Pierre Cambronne, French general, when asked to surrender at the Battle of Waterloo."
"richard_brinsley_sheridan_2"	"Richard Brinsley Sheridan, Irish playwright and MP, his last words."
"russian_proverb"	"Russian proverb"
"charles_maurice_talleyrand_2"	"Talleyrand, French diplomat, his advice to other French diplomats."
"william_blake"	"William Blake, English engraver, illustrator, and poet"
"william_cobbett"	"William Cobbett, English pamphleteer"
"william_hazlitt"	"William Hazlitt, English essayist and critic"
"voltaire_3"	"Voltaire, French author, wit, and philosopher, his view of history"
"thomas_carlyle"	"Thomas Carlyle, Scottish essayist and historian"
