version 1, schema advice_levels_tables
Key(string)	Thread_Name(string)	advice_thread_level(int)	points_needed(int)	game_area(string)	category(string)	sub_category(string)	max_repeat_count(int)	repeat_interval(int)	pause_battle(boolean)	priority_level(int)	high_verbosity_only(boolean)	locatable(boolean)	parameter(string)	on_display_script(optstring)	suppressible(boolean)	unknown15(boolean)	unknown16(boolean)	audio_clip(string)
"-1744509802"	"0038_Battle_Advice_Defence_Against_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-1730173744"	"0707_ep_1_construct_plantation_2"	1	1	"Campaign"	"Episodic"	"1"	5	3	false	0	false	false	"none"	""	false	false	false	"n"
"-1728902803"	"1176_Campaign_Advice_Change_Commander_Thread"	1	10	"Campaign"	"Characters"	"Replace"	0	1	false	3	true	true	"character"	""	false	false	false	"n"
"-1711247268"	"0111_Battle_Advice_Defences_Fougasse_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1705930648"	"5202_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1701749777"	"0102_Battle_Advice_Cavalry_Charges_Thread"	1	2	"Battle"	"Units"	"Tactics"	1	0	false	2	true	false	"none"	""	false	false	false	"n"
"-1698295042"	"5076_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1684522267"	"3084_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1682055146"	"4038_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1671835166"	"1100_Campaign_Advice_Government_Type_Thread"	1	1	"Campaign"	"Government"	"Type"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1666667854"	"0016_Battle_Advice_Draw_Their_Fire_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-1650129001"	"4046_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1645019136"	"1073_Campaign_Advice_Character_Selected_Thread"	1	1	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1641913562"	"0161_Battle_Advice_Ship_Routing_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	1	true	true	"battle_ship"	""	false	false	false	"n"
"-1641034490"	"3097_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1638244308"	"1007_Campaign_Advice_Sweden_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1637797131"	"3068_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1635957969"	"1096c_Campaign_Advice_Ungarrisoned_Brigands_Thread"	1	2	"Campaign"	"Slots"	"Garrisons"	0	5	false	1	true	true	"region"	""	false	false	false	"n"
"-1623094700"	"5054_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1618878816"	"3025_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1618706389"	"5159_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1616038451"	"4001_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1607364566"	"1134_Campaign_Advice_Warning_High_Tax_Thread"	1	2	"Campaign"	"Warnings"	"Taxes"	0	3	false	1	false	true	"region"	""	false	false	false	"n"
"-1604004259"	"1139_Campaign_Advice_Warning_Population_Thread"	1	1	"Campaign"	"Warnings"	"Population"	0	5	false	1	false	true	"region"	""	false	false	false	"n"
"-1596604962"	"4061_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1596539408"	"3009_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1594313916"	"1065_Campaign_Advice_Character_Selected_Thread"	5	20	"Campaign"	"Characters"	"Commanders"	1	0	false	2	true	false	"none"	""	false	false	false	"n"
"-1594060145"	"1022b_Campaign_Advice_UI_Set_Taxes_Slider_Thread"	1	1	"Campaign"	"UI"	"Sliders"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1592013556"	"5093_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1583965018"	"3065_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1583009093"	"4073_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1581561178"	"1167_Campaign_Advice_Warning_Ally_Betrayal_Thread"	3	6	"Campaign"	"Warnings"	"Diplomacy"	0	1	false	1	true	false	"none"	""	false	false	false	"n"
"-1580369663"	"3157_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1578992648"	"3217_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1577040738"	"3105_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1575987463"	"5097_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1568362346"	"0748_ep_2_shipyard_building"	1	1	"Campaign"	"Episodic"	"2"	5	1	false	0	false	false	"none"	""	false	false	false	"n"
"-1567524386"	"0020_Battle_Advice_Expendable_Troops_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-1557648100"	"1032_Campaign_Advice_UI_Government_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1555939110"	"4091_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1538744232"	"4051_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1528505088"	"1048_Campaign_Advice_UI_Review_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1522516535"	"1009_Campaign_Advice_Austria_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1519985399"	"0116_Battle_Advice_Dragoons_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	true	"battle_unit"	""	false	false	false	"n"
"-1518752410"	"3129_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1516645363"	"0064_Battle_Advice_Encircle_The_Enemy_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-1516240186"	"0053_Battle_Advice_Artillery_Vs_Elephants_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1507457514"	"0122_Battle_Advice_Mortars_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1507140649"	"0186_Battle_Advice_Naval_Grape_Shot_Thread"	1	1	"Naval Battle"	"Units"	"Ammo"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1499154520"	"0120_Battle_Advice_Limbering_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1497053694"	"0752_ep_2_recruit_frigate_3"	1	1	"Campaign"	"Episodic"	"2"	5	1	false	0	false	false	"none"	""	false	false	false	"n"
"-1489300850"	"0153_Battle_Advice_Sails_Destroyed_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	1	true	true	"battle_ship"	""	false	false	false	"n"
"-1488236394"	"3051_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1486552648"	"5153_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
