ID,event,x pos,x pos (2),y pos,z pos,min_dist,max_dist
56,unnamed_event_42,-522.32,-522.32,1.5,18.48,-1,5
57,unnamed_event_42,318.65,318.65,1.5,-120.38,0.99,4.43
58,unnamed_event_42,78.67,78.67,1.5,38.98,-1,5
59,unnamed_event_42,859.21,859.21,1.5,-24.94,-1,5
60,unnamed_event_42,826.88,826.88,1.5,-61.83,-1,5
61,unnamed_event_42,-299.6,-299.6,1.5,-145.46,-1,5
62,unnamed_event_42,46.96,46.96,1.5,48.22,-1,5
63,unnamed_event_42,45.07,45.07,1.5,31.92,-1,5
64,unnamed_event_42,318.43,318.43,1.5,-137.9,1.03,3.71
65,unnamed_event_42,-742.53,-742.53,1.5,139.67,-1,5
66,unnamed_event_42,-470.27,-470.27,1.5,56.03,-1,5
67,unnamed_event_42,-546.39,-546.39,1.5,45.02,-1,5
68,unnamed_event_42,-521.03,-521.03,1.5,51.03,-1,5
69,unnamed_event_42,889.23,889.23,1.5,-63.7,-1,5
70,unnamed_event_42,-486.17,-486.17,1.5,36.15,-1,5
71,unnamed_event_42,-507.69,-507.69,1.5,26.95,-1,5
72,unnamed_event_42,83.7,83.7,1.5,-3.04,-1,5
73,unnamed_event_42,-339.3,-339.3,1.5,-152.29,-1,5
74,unnamed_event_42,-556.81,-556.81,1.5,59.92,-1,5
75,unnamed_event_42,-542.94,-542.94,1.5,26.82,-1,5
76,unnamed_event_43,272.72,272.72,1.5,286.08,-1,5
77,unnamed_event_43,-134.93,-134.93,1.5,456.23,-1,5
78,unnamed_event_43,172.59,172.59,1.5,341.22,-1,5
79,unnamed_event_43,158.14,158.14,1.5,346.61,-1,5
81,unnamed_event_43,348.13,348.13,1.5,263.08,-1,5
82,unnamed_event_43,598.59,598.59,1.5,202.76,-1,5
83,unnamed_event_43,328.55,328.55,1.5,298.4,-1,5
84,unnamed_event_43,-36.67,-36.67,1.5,231.95,-1,5
85,unnamed_event_43,301.54,301.54,1.5,306.16,-1,5
86,unnamed_event_43,238.43,238.43,1.5,289.86,-1,5
87,unnamed_event_43,-730.33,-730.33,1.5,143.43,-1,5
88,unnamed_event_43,-598.69,-598.69,1.5,236.49,-1,5
89,unnamed_event_43,-592.06,-592.06,1.5,246.39,-1,5
90,unnamed_event_43,-454.94,-454.94,1.5,367.38,-1,5
91,unnamed_event_43,-609.6,-609.6,1.5,253.98,-1,5
92,unnamed_event_43,-540.42,-540.42,1.5,432.99,-1,5
93,unnamed_event_43,-466.42,-466.42,1.5,342.7,-1,5
94,unnamed_event_43,14,14,1,302.25,-1,5
95,unnamed_event_43,133.6,133.6,1.5,305.01,-1,5
96,unnamed_event_43,327.01,327.01,1.5,278.71,-1,5
97,unnamed_event_43,278,278,1.5,285.77,-1,5
98,unnamed_event_43,152.76,152.76,1.5,277.78,-1,5
99,unnamed_event_43,-409.26,-409.26,1.5,373.98,-1,5
100,unnamed_event_43,-610.36,-610.36,1.5,236.14,-1,5
101,unnamed_event_43,173.29,173.29,1.5,322.28,-1,5
102,unnamed_event_43,-573.38,-573.38,1.5,270.79,-1,5
103,unnamed_event_43,-730.28,-730.28,1.5,183.75,-1,5
104,unnamed_event_43,-16.71,-16.71,1,266.86,-1,5
105,unnamed_event_43,-10.94,-10.94,1.5,301.72,-1,5
106,unnamed_event_43,-738.19,-738.19,1.5,164.83,-1,5
107,unnamed_event_43,193.48,193.48,1.5,333.12,-1,5
108,unnamed_event_43,145.93,145.93,1.5,293.9,-1,5
109,unnamed_event_43,43.82,43.82,1.5,253.45,-1,5
110,unnamed_event_43,-47.3,-47.3,1.5,222.8,-1,5
111,unnamed_event_43,-713.2,-713.2,1.5,129.5,-1,5
112,unnamed_event_43,334.95,334.95,1.5,241.5,-1,5
113,unnamed_event_43,-524.22,-524.22,1.5,432.6,-1,5
114,unnamed_event_43,-568.84,-568.84,1.5,282.56,-1,5
115,unnamed_event_43,247.78,247.78,1.5,291.21,-1,5
116,unnamed_event_43,99.99,99.99,1.5,452.68,-1,5
117,unnamed_event_43,-26.9,-26.9,2,402.48,-1,5
118,unnamed_event_43,-29.21,-29.21,1.5,242,-1,5
119,unnamed_event_43,500.54,500.54,1.5,256.11,-1,5
120,unnamed_event_43,4.55,4.55,1.5,232.92,-1,5
121,unnamed_event_43,-749.47,-749.47,1.5,184.18,-1,5
122,unnamed_event_43,291.85,291.85,1.5,288,-1,5
123,unnamed_event_43,60.19,60.19,1.5,327.73,-1,5
124,unnamed_event_43,129.36,129.36,1.5,473.97,-1,5
125,unnamed_event_43,-35.38,-35.38,1.5,302.15,-1,5
126,unnamed_event_43,71.61,71.61,1.5,441.15,-1,5
127,unnamed_event_43,-435.53,-435.53,1.5,364.97,-1,5
128,unnamed_event_43,596.21,596.21,1.5,139.52,-1,5
129,unnamed_event_43,539.7,539.7,1.5,237.75,-1,5
130,unnamed_event_43,-10.11,-10.11,1.5,229.97,-1,5
131,unnamed_event_43,-478.16,-478.16,1.5,364.6,-1,5
132,unnamed_event_43,20.73,20.73,1.5,240.34,-1,5
133,unnamed_event_43,314.32,314.32,1.5,302.06,-1,5
134,unnamed_event_43,143.1,143.1,1.5,347.33,-1,5
135,unnamed_event_43,256.18,256.18,1.5,232.39,-1,5
136,unnamed_event_43,-625.94,-625.94,1.5,236.44,-1,5
137,unnamed_event_43,229.23,229.23,1.5,288.77,-1,5
138,unnamed_event_43,284.18,284.18,1.5,286.12,-1,5
139,unnamed_event_43,289.99,289.99,1.5,310.89,-1,5
140,unnamed_event_43,51.51,51.51,1.5,428.65,-1,5
142,unnamed_event_43,324.39,324.39,1.5,263.82,-1,5
143,unnamed_event_43,-713.39,-713.39,1.5,150.14,-1,5
144,unnamed_event_43,559.77,559.77,1.5,222.13,-1,5
145,unnamed_event_43,579.82,579.82,1.5,209.87,-1,5
146,unnamed_event_43,631.69,631.69,1.5,197.36,-1,5
147,unnamed_event_43,518.56,518.56,1.5,251.36,-1,5
148,unnamed_event_43,-572.55,-572.55,1.5,256.99,-1,5
149,unnamed_event_43,184.31,184.31,1.5,330.7,-1,5
150,unnamed_event_43,-500.69,-500.69,1.5,353.79,-1,5
151,unnamed_event_43,417.1,417.1,1.5,386.4,-1,5
152,unnamed_event_43,228.19,228.19,1.5,263.59,-1,5
153,unnamed_event_43,261.31,261.31,1,243.62,-1,5
154,unnamed_event_43,260.85,260.85,1.5,266.69,-1,5
155,unnamed_event_43,383.09,383.09,1.5,239.45,-1,5
156,unnamed_event_43,366.6,366.6,1.5,216.64,-1,5
157,unnamed_event_43,-33.09,-33.09,1.5,411.33,-1,5
158,unnamed_event_43,-554.48,-554.48,1.5,288.85,-1,5
159,unnamed_event_43,352.35,352.35,1.5,240.25,-1,5
160,unnamed_event_43,95.07,95.07,1.5,302.62,-1,5
161,unnamed_event_43,613.3,613.3,1.5,165.36,-1,5
162,unnamed_event_43,340.18,340.18,1.5,293.91,-1,5
163,unnamed_event_43,-477.72,-477.72,1.5,340.98,-1,5
164,unnamed_event_43,356.41,356.41,1.5,257.4,-1,5
165,unnamed_event_43,-113,-113,1.5,459.73,-1,5
166,unnamed_event_43,45,45,1.5,318.21,-1,5
167,unnamed_event_43,-11,-11,0.6,286.3,-1,5
168,unnamed_event_43,-47.81,-47.81,1.5,302.06,-1,5
169,unnamed_event_43,410.72,410.72,1.5,335.79,-1,5
170,unnamed_event_43,53.32,53.32,1.5,253.9,-1,5
172,unnamed_event_43,-699.92,-699.92,1.5,121.58,-1,5
173,unnamed_event_43,-59.48,-59.48,1.5,218.73,-1,5
174,unnamed_event_43,85.3,85.3,1.5,308.82,-1,5
175,unnamed_event_43,159.28,159.28,1.5,300.8,-1,5
176,unnamed_event_43,75.55,75.55,1.5,329.89,-1,5
177,unnamed_event_43,415.7,415.7,1.5,364.5,-1,5
178,unnamed_event_43,-686.04,-686.04,1.5,116.2,-1,5
179,unnamed_event_43,90.09,90.09,1.5,333.56,-1,5
180,unnamed_event_43,418.52,418.52,1.5,242.31,-1,5
181,unnamed_event_43,-489.4,-489.4,1.5,333.49,-1,5
182,unnamed_event_43,1.14,1.14,1.5,332.49,-1,5
183,unnamed_event_43,-23.18,-23.18,1.5,294.29,-1,5
184,unnamed_event_43,193.48,193.48,1.5,333.12,-1,5
185,unnamed_event_43,249.13,249.13,1.5,270.52,-1,5
186,unnamed_event_43,222.53,222.53,1.5,283.84,-1,5
187,unnamed_event_43,103.74,103.74,1.5,333.75,-1,5
188,unnamed_event_43,238.68,238.68,1.5,261.32,-1,5
189,unnamed_event_43,616.59,616.59,1.5,199.29,-1,5
190,unnamed_event_43,255.95,255.95,1.5,287.54,-1,5
191,unnamed_event_1,-530.92,-530.92,1.5,152.1,5,8
192,unnamed_event_1,-69.33,-69.33,1.5,246.68,5,8
193,unnamed_event_1,251.85,251.85,1.5,183.54,5,8
194,unnamed_event_1,-53.39,-53.39,1.5,470.53,5,8
195,unnamed_event_1,-399.74,-399.74,1.5,223.37,5,8
196,unnamed_event_1,421.73,421.73,1.5,313.03,5,8
197,unnamed_event_1,153.7,153.7,1.5,510.22,5,8
198,unnamed_event_1,87.02,87.02,1.5,497.95,5,8
199,unnamed_event_1,-578.78,-578.78,1.5,72.35,5,8
200,unnamed_event_1,-84.94,-84.94,1.5,489,5,8
201,unnamed_event_1,367.82,367.82,1.5,268.98,5,8
202,unnamed_event_1,-93.42,-93.42,1.5,232.1,5,8
203,unnamed_event_1,81.19,81.19,1.5,404.25,5,8
204,unnamed_event_1,-403.09,-403.09,1.5,398.47,5,8
205,unnamed_event_1,44.95,44.95,1.5,280.36,5,8
206,unnamed_event_1,-484.71,-484.71,1.5,186.6,5,8
207,unnamed_event_1,-742.19,-742.19,1.5,85.5,5,8
208,unnamed_event_1,-361.74,-361.74,1.5,110.03,5,8
209,unnamed_event_1,-123.8,-123.8,1.5,398.5,5,8
210,unnamed_event_1,280.54,280.54,1.5,500.83,5,8
211,unnamed_event_1,-496.12,-496.12,1.5,104.63,5,8
212,unnamed_event_1,-149.76,-149.76,1.5,170.38,5,8
213,unnamed_event_1,833.35,833.35,1.5,-77.82,5,8
214,unnamed_event_1,-617.92,-617.92,1.5,298.76,5,8
215,unnamed_event_1,232.28,232.28,1.5,507.35,5,8
216,unnamed_event_1,-571.75,-571.75,1.5,13.35,5,8
217,unnamed_event_1,-155.37,-155.37,1.5,226.06,5,8
218,unnamed_event_1,191.77,191.77,1.5,511.36,5,8
219,unnamed_event_1,-274.53,-274.53,1.5,-176.38,5,8
220,unnamed_event_1,-160.67,-160.67,1.5,269.78,5,8
221,unnamed_event_1,-671.84,-671.84,1.5,188.4,5,8
222,unnamed_event_1,-122.4,-122.4,1.5,213.16,5,8
223,unnamed_event_1,-660.43,-660.43,1.5,165.25,5,8
224,unnamed_event_1,-266.75,-266.75,1.5,-209.38,5,8
225,unnamed_event_1,-496.75,-496.75,1.5,252.09,5,8
226,unnamed_event_1,884.54,884.54,1.5,-25.58,5,8
227,unnamed_event_1,-645.99,-645.99,1.5,427.72,5,8
228,unnamed_event_1,-397.1,-397.1,1.5,52.9,5,8
229,unnamed_event_1,-403.84,-403.84,1.5,75.87,5,8
230,unnamed_event_1,-603.94,-603.94,1.5,193.11,5,8
231,unnamed_event_1,-447.28,-447.28,1.5,225.31,5,8
232,unnamed_event_1,41.06,41.06,1.5,-14.72,5,8
233,unnamed_event_1,-564.52,-564.52,1.5,92.82,5,8
234,unnamed_event_1,42.48,42.48,1.5,396.85,5,8
235,unnamed_event_1,-71.6,-71.6,1.5,338.18,5,8
236,unnamed_event_1,-149.69,-149.69,1.5,422.99,5,8
237,unnamed_event_1,-590.92,-590.92,1.5,91.43,5,8
238,unnamed_event_1,-126.91,-126.91,1.5,299.11,5,8
239,unnamed_event_1,-568.56,-568.56,1.5,35.54,5,8
240,unnamed_event_1,-391.69,-391.69,1.5,103.88,5,8
241,unnamed_event_1,-441.47,-441.47,1.5,183.43,5,8
242,unnamed_event_1,-616.79,-616.79,1.5,44.11,5,8
243,unnamed_event_1,-687.22,-687.22,1.5,37.28,5,8
244,unnamed_event_1,-252.64,-252.64,1.5,-228.46,5,8
245,unnamed_event_1,276.22,276.22,1.5,-133.41,5,8
246,unnamed_event_1,-506.6,-506.6,1.5,214.31,5,8
247,unnamed_event_1,-157.83,-157.83,1.5,483.27,5,8
248,unnamed_event_1,-577.94,-577.94,1.5,432.55,5,8
249,unnamed_event_1,352.63,352.63,1.5,204.01,5,8
250,unnamed_event_1,-463.37,-463.37,1.5,97.33,5,8
251,unnamed_event_1,605.18,605.18,1.5,53.76,5,8
252,unnamed_event_1,455.91,455.91,1.5,67.02,5,8
253,unnamed_event_1,-440.59,-440.59,1.5,86.1,5,8
254,unnamed_event_1,-541,-541,1.5,84.16,5,8
255,unnamed_event_1,-455.45,-455.45,1.5,257.55,5,8
256,unnamed_event_1,-369.4,-369.4,1.5,288.8,5,8
257,unnamed_event_1,836.48,836.48,1.5,-22.54,5,8
258,unnamed_event_1,813.31,813.31,1.5,-40.32,5,8
259,unnamed_event_1,-535.56,-535.56,1.5,180.57,5,8
260,unnamed_event_1,334.18,334.18,1.5,-69.48,5,8
261,unnamed_event_1,72.72,72.72,1.5,467.35,5,8
262,unnamed_event_1,909.87,909.87,1.5,-39.35,5,8
263,unnamed_event_1,894.35,894.35,1.5,-42.01,5,8
264,unnamed_event_1,902.91,902.91,1.5,-19.08,5,8
265,unnamed_event_1,-297.39,-297.39,1.5,-225.46,5,8
266,unnamed_event_1,-302.25,-302.25,1.5,-185.92,5,8
267,unnamed_event_1,-3.36,-3.36,1.5,-27.96,5,8
268,unnamed_event_1,-23.15,-23.15,1.5,467.93,5,8
269,unnamed_event_1,-37.66,-37.66,1.5,321.92,5,8
270,unnamed_event_1,298.01,298.01,1.5,-69.4,5,8
271,unnamed_event_1,324.34,324.34,1.5,-105.33,5,8
272,unnamed_event_1,18.54,18.54,1.5,-27.83,5,8
273,unnamed_event_1,38.59,38.59,1.5,-30.78,5,8
274,unnamed_event_1,469.92,469.92,1.5,40.92,5,8
275,unnamed_event_1,-411.87,-411.87,1.5,257.61,5,8
276,unnamed_event_1,175.2,175.2,1.5,235.74,5,8
277,unnamed_event_1,241.85,241.85,1.5,240.89,5,8
278,unnamed_event_1,-701.84,-701.84,1.5,66.89,5,8
279,unnamed_event_1,-90.84,-90.84,1.5,299.49,5,8
280,unnamed_event_1,-325.97,-325.97,1.5,-193.4,5,8
281,unnamed_event_1,-166.43,-166.43,1.5,170.67,5,8
282,unnamed_event_1,-618.3,-618.3,1.5,122.43,5,8
283,unnamed_event_1,118.67,118.67,1.5,228.75,5,8
284,unnamed_event_1,-572.27,-572.27,1.5,394.8,5,8
285,unnamed_event_1,-602.89,-602.89,1.5,421.47,5,8
286,unnamed_event_1,-359.79,-359.79,1.5,226.25,5,8
287,unnamed_event_1,560.94,560.94,1.5,30.35,5,8
288,unnamed_event_1,167.71,167.71,1.5,409.27,5,8
289,unnamed_event_1,874.8,874.8,1.5,-48.83,5,8
290,unnamed_event_1,131.29,131.29,1.5,245.39,5,8
291,unnamed_event_1,15.54,15.54,1.5,468.57,5,8
292,unnamed_event_1,-45.2,-45.2,1.5,442.98,5,8
293,unnamed_event_1,-364.86,-364.86,1.5,81.6,5,8
294,unnamed_event_1,343.3,343.3,1.5,315.53,5,8
295,unnamed_event_1,473.65,473.65,1.5,125.47,5,8
296,unnamed_event_1,491.84,491.84,1.5,68.48,5,8
297,unnamed_event_1,886.15,886.15,1.5,-79.41,5,8
298,unnamed_event_1,5.18,5.18,1.5,505.49,5,8
299,unnamed_event_1,616.44,616.44,1.5,116.52,5,8
300,unnamed_event_1,-0.58,-0.58,1.5,2.35,5,8
301,unnamed_event_1,-360.49,-360.49,1.5,411.19,5,8
302,unnamed_event_1,34.82,34.82,1.5,6.09,5,8
303,unnamed_event_1,458.48,458.48,1.5,152.86,5,8
304,unnamed_event_1,-141.76,-141.76,1.5,194.82,5,8
305,unnamed_event_1,-113.66,-113.66,1.5,261.92,5,8
306,unnamed_event_1,-151.68,-151.68,1.5,154.13,5,8
307,unnamed_event_1,-131.96,-131.96,1.5,154.16,5,8
308,unnamed_event_1,-648.81,-648.81,1.5,49.31,5,8
309,unnamed_event_1,-97.02,-97.02,1.5,371.39,5,8
310,unnamed_event_1,614.87,614.87,1.5,87.25,5,8
311,unnamed_event_1,-378.27,-378.27,1.5,51.55,5,8
312,unnamed_event_1,-169.87,-169.87,1.5,437.09,5,8
313,unnamed_event_1,629.22,629.22,1.5,35.68,5,8
314,unnamed_event_1,-710.87,-710.87,1.5,10.94,5,8
315,unnamed_event_1,-618.08,-618.08,1.5,313.77,5,8
316,unnamed_event_1,650.48,650.48,1.5,128.04,5,8
317,unnamed_event_1,-680.53,-680.53,1.5,17.16,5,8
318,unnamed_event_1,208.45,208.45,1.5,239.73,5,8
319,unnamed_event_1,477.01,477.01,1.5,103.24,5,8
320,unnamed_event_1,-740.95,-740.95,1.5,10.06,5,8
321,unnamed_event_1,45.76,45.76,1.5,486.64,5,8
322,unnamed_event_1,-555.68,-555.68,1.5,119.66,5,8
323,unnamed_event_1,-126.25,-126.25,1.5,494.48,5,8
324,unnamed_event_1,18.92,18.92,1.5,21.52,5,8
325,unnamed_event_1,-588.74,-588.74,1.5,131.24,5,8
326,unnamed_event_1,171.95,171.95,1.5,510.55,5,8
327,unnamed_event_1,355.19,355.19,1.5,299.35,5,8
328,unnamed_event_1,-638.72,-638.72,1.5,335.79,5,8
329,unnamed_event_1,101.15,101.15,1.5,278.38,5,8
330,unnamed_event_1,255.79,255.79,1.5,464.1,5,8
331,unnamed_event_1,-743.22,-743.22,1.5,115.88,5,8
332,unnamed_event_1,53.39,53.39,1.5,12.88,5,8
333,unnamed_event_1,848.38,848.38,1.5,-79.46,5,8
334,unnamed_event_1,-35.61,-35.61,1.5,506.49,5,8
335,unnamed_event_1,-355.36,-355.36,1.5,331.51,5,8
336,unnamed_event_1,-439.86,-439.86,1.5,148.77,5,8
337,unnamed_event_1,-30.06,-30.06,1.5,254.15,5,8
338,unnamed_event_1,363.99,363.99,1.5,189.32,5,8
339,unnamed_event_1,-595.02,-595.02,1.5,22.45,5,8
340,unnamed_event_1,-618.42,-618.42,1.5,336.21,5,8
341,unnamed_event_1,654.53,654.53,1.5,59.38,5,8
342,unnamed_event_1,857.56,857.56,1.5,-52.2,5,8
343,unnamed_event_1,-286.57,-286.57,1.5,-202.43,5,8
344,unnamed_event_1,-80.12,-80.12,1.5,453.96,5,8
345,unnamed_event_1,-166.95,-166.95,1.5,327.16,5,8
346,unnamed_event_1,-673.9,-673.9,1.5,141.32,5,8
347,unnamed_event_1,-734.11,-734.11,1.5,33.68,5,8
348,unnamed_event_1,-545.31,-545.31,1.5,213.03,5,8
349,unnamed_event_1,587.84,587.84,1.5,30.87,5,8
350,unnamed_event_1,-439.43,-439.43,1.5,290.5,5,8
351,unnamed_event_1,85.29,85.29,1.5,243.86,5,8
352,unnamed_event_1,135.52,135.52,1.5,507.04,5,8
353,unnamed_event_1,-628.85,-628.85,1.5,7.54,5,8
354,unnamed_event_1,-333.7,-333.7,1.5,-224.13,5,8
355,unnamed_event_1,-405.7,-405.7,1.5,429.22,5,8
356,unnamed_event_1,301.67,301.67,1.5,481.51,5,8
357,unnamed_event_1,-111.26,-111.26,1.5,184.54,5,8
358,unnamed_event_1,203.97,203.97,1.5,226.89,5,8
359,unnamed_event_1,-391.77,-391.77,1.5,144.43,5,8
360,unnamed_event_1,63.42,63.42,1.5,-30.54,5,8
361,unnamed_event_1,832.94,832.94,1.5,-45.09,5,8
362,unnamed_event_1,181.51,181.51,1.5,265.99,5,8
363,unnamed_event_1,140.85,140.85,1.5,432.62,5,8
364,unnamed_event_1,912.21,912.21,1.5,-54.13,5,8
365,unnamed_event_1,232.47,232.47,1.5,232.59,5,8
366,unnamed_event_1,20.27,20.27,1.5,389.59,5,8
367,unnamed_event_1,266.99,266.99,1.5,301.67,5,8
368,unnamed_event_1,-361.43,-361.43,1.5,367.19,5,8
369,unnamed_event_1,212.21,212.21,1.5,511.37,5,8
370,unnamed_event_1,82.75,82.75,1.5,282.23,5,8
371,unnamed_event_1,15.85,15.85,1.5,271.33,5,8
372,unnamed_event_1,304.72,304.72,1.5,497.16,5,8
373,unnamed_event_1,-66.81,-66.81,1.5,429.09,5,8
374,unnamed_event_1,-523.94,-523.94,1.5,107.16,5,8
375,unnamed_event_1,-14.45,-14.45,1.5,254.58,5,8
376,unnamed_event_1,253.57,253.57,1.5,505.02,5,8
377,unnamed_event_1,906.23,906.23,1.5,-75.5,5,8
378,unnamed_event_1,115.55,115.55,1.5,505.64,5,8
379,unnamed_event_1,-439.24,-439.24,1.5,431.36,5,8
380,unnamed_event_1,221.88,221.88,1.5,251.07,5,8
381,unnamed_event_1,-352.41,-352.41,1.5,43.82,5,8
382,unnamed_event_1,108.85,108.85,1.5,390.98,5,8
383,unnamed_event_1,-352.95,-352.95,1.5,270.89,5,8
384,unnamed_event_1,519.21,519.21,1.5,9.9,5,8
385,unnamed_event_1,867.38,867.38,1.5,-72.72,5,8
386,unnamed_event_1,11.68,11.68,1.5,418.9,5,8
387,unnamed_event_1,522.94,522.94,1.5,83.13,5,8
388,unnamed_event_1,-585.4,-585.4,1.5,315.05,5,8
389,unnamed_event_1,23.08,23.08,1.5,-13.14,5,8
390,unnamed_event_1,662.61,662.61,1.5,30.84,5,8
391,unnamed_event_1,-618.55,-618.55,1.5,171.33,5,8
392,unnamed_event_1,368.41,368.41,1.5,181.21,5,8
393,unnamed_event_1,-257.28,-257.28,1.5,-153.97,5,8
394,unnamed_event_1,-163.75,-163.75,1.5,361.62,5,8
395,unnamed_event_1,-516.46,-516.46,1.5,163.18,5,8
396,unnamed_event_1,-91.76,-91.76,1.5,411.45,5,8
397,unnamed_event_1,-479.81,-479.81,1.5,425.29,5,8
398,unnamed_event_1,-160.32,-160.32,1.5,394.63,5,8
399,unnamed_event_1,134.28,134.28,1.5,221.83,5,8
400,unnamed_event_1,223.35,223.35,1.5,430.27,5,8
401,unnamed_event_1,-109.28,-109.28,1.5,339.52,5,8
402,unnamed_event_1,133.26,133.26,1.5,274.35,5,8
403,unnamed_event_1,-441.6,-441.6,1.5,341.65,5,8
404,unnamed_event_1,67.33,67.33,1.5,412.85,5,8
405,unnamed_event_1,-115.73,-115.73,1.5,440.29,5,8
406,unnamed_event_1,-591.53,-591.53,1.5,173.61,5,8
407,unnamed_event_1,-171.54,-171.54,1.5,155.06,5,8
408,unnamed_event_1,-400.58,-400.58,1.5,303.74,5,8
409,unnamed_event_1,371.39,371.39,1.5,325.87,5,8
410,unnamed_event_1,134.68,134.68,1.5,400.94,5,8
411,unnamed_event_1,-402.26,-402.26,1.5,192.31,5,8
412,unnamed_event_1,-674.53,-674.53,1.5,93.78,5,8
413,unnamed_event_1,511.66,511.66,1.5,114.68,5,8
414,unnamed_event_1,-478.03,-478.03,1.5,291.38,5,8
415,unnamed_event_1,425.43,425.43,1.5,170.13,5,8
416,unnamed_event_1,501.17,501.17,1.5,25.63,5,8
417,unnamed_event_1,584.14,584.14,1.5,100.84,5,8
418,unnamed_event_1,317.91,317.91,1.5,-85.79,5,8
419,unnamed_event_1,303.24,303.24,1.5,-109.66,5,8
420,unnamed_event_1,-384.83,-384.83,1.5,371.5,5,8
421,unnamed_event_1,815.02,815.02,1.5,-77.35,5,8
422,unnamed_event_1,292.44,292.44,1.5,-133.99,5,8
423,unnamed_event_1,-354.6,-354.6,1.5,163.21,5,8
424,unnamed_event_1,-426.89,-426.89,1.5,112.61,5,8
425,unnamed_event_1,221.76,221.76,1.5,306.32,5,8
426,unnamed_event_1,164.28,164.28,1.5,459.35,5,8
427,unnamed_event_1,522.48,522.48,1.5,51.81,5,8
428,unnamed_event_1,32.04,32.04,1.5,293.6,5,8
429,unnamed_event_44,568.39,568.39,1.5,85.88,-1,5
430,unnamed_event_44,-639.81,-639.81,1.5,208.53,-1,5
