version 1, schema gun_type_to_projectiles_tables
Gun_IDRef(string)	Projectile_IDRef(string)	Muzzle_Flash(string)
"naval_12_pounder"	"naval_12_pounder_shot"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_shot_rifled"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_shot_uniform"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_chain_lr"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_grape"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_shot_lr"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_shot_lr_rifled"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder_lr"	"naval_12_pounder_shot_lr_uniform"	"naval_12_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_chain"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_grape"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_shot"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_shot_rifled"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder"	"naval_18_pounder_shot_uniform"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_chain_lr"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_grape"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_shot_lr"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_shot_lr_rifled"	"naval_18_pounder_muzzle_flash"
"naval_18_pounder_lr"	"naval_18_pounder_shot_lr_uniform"	"naval_18_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_chain"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_grape"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_shot"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_shot_rifled"	"naval_24_pounder_muzzle_flash"
"naval_24_pounder"	"naval_24_pounder_shot_uniform"	"naval_24_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_chain"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_grape"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_shot"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_shot_rifled"	"naval_32_pounder_muzzle_flash"
"naval_32_pounder"	"naval_32_pounder_shot_uniform"	"naval_32_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_chain"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_grape"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_shot"	"naval_42_pounder_muzzle_flash"
"naval_42_pounder"	"naval_42_pounder_shot_rifled"	"naval_42_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_chain"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_grape"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_shot"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_shot_rifled"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder"	"naval_6_pounder_shot_uniform"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_chain_lr"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_grape"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_shot_lr"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_6_pounder_shot_lr_rifled"	"naval_6_pounder_muzzle_flash"
"naval_6_pounder_lr"	"naval_9_pounder_shot_lr_uniform"	"naval_6_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_chain"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_grape"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_shot"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_shot_rifled"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder"	"naval_9_pounder_shot_uniform"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_chain_lr"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_grape"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_shot_lr"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_shot_lr_rifled"	"naval_9_pounder_muzzle_flash"
"naval_9_pounder_lr"	"naval_9_pounder_shot_lr_uniform"	"naval_9_pounder_muzzle_flash"
"naval_carronade_32_pounder"	"naval_carronade_32_chain"	"naval_carronade_32_pounder_muzzle_flash"
"naval_carronade_32_pounder"	"naval_carronade_32_grape"	"naval_carronade_32_pounder_muzzle_flash"
"naval_carronade_32_pounder"	"naval_carronade_32_shot"	"naval_carronade_32_pounder_muzzle_flash"
"naval_carronade_64_pounder"	"naval_carronade_64_chain"	"naval_carronade_64_pounder_muzzle_flash"
"naval_carronade_64_pounder"	"naval_carronade_64_grape"	"naval_carronade_64_pounder_muzzle_flash"
"naval_carronade_64_pounder"	"naval_carronade_64_shot"	"naval_carronade_64_pounder_muzzle_flash"
"naval_mortar"	"naval_mortar_shell"	"naval_mortar_muzzle_flash"
"naval_rocket_launcher"	"rockets_naval"	"naval_rocket_launcher_muzzle_flash"
"ott_cannon_18_pounder"	"cannon_18_pounder_cannister"	"cannon_18_pounder_muzzle_flash"
"ott_cannon_18_pounder"	"cannon_18_pounder_shot"	"cannon_18_pounder_muzzle_flash"
"ott_cannon_9_pounder"	"cannon_9_pounder_cannister"	"cannon_9_pounder_muzzle_flash"
"ott_cannon_9_pounder"	"cannon_9_pounder_shot"	"cannon_9_pounder_muzzle_flash"
"ott_howitzer"	"howitzer_7_pounder_canister"	"howitzer_12_pounder_muzzle_flash"
"ott_howitzer"	"howitzer_7_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"ott_mortar"	"mortar_8_quicklime"	"mortar_8_muzzle_flash"
"ott_mortar"	"mortar_8_shell"	"mortar_8_muzzle_flash"
"ott_mortar"	"mortar_8_shot"	"mortar_8_muzzle_flash"
"rockets_fixed"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"rockets_fixed_Austria"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"rockets_fixed_Britain"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"rockets_fixed_France"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"rockets_fixed_Prussia"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"rockets_fixed_Russia"	"rockets"	"naval_rocket_launcher_muzzle_flash"
"unicorn_10_pounder"	"unicorn_10_pounder_canister"	"howitzer_12_pounder_muzzle_flash"
"unicorn_10_pounder"	"unicorn_10_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"unicorn_10_pounder_Russia"	"unicorn_10_pounder_canister"	"howitzer_12_pounder_muzzle_flash"
"unicorn_10_pounder_Russia"	"unicorn_10_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"unicorn_20_pounder"	"unicorn_20_pounder_canister"	"howitzer_24_pounder_muzzle_flash"
"unicorn_20_pounder"	"unicorn_20_pounder_shell"	"howitzer_24_pounder_muzzle_flash"
"unicorn_20_pounder_Russia"	"unicorn_20_pounder_canister"	"howitzer_24_pounder_muzzle_flash"
"unicorn_20_pounder_Russia"	"unicorn_20_pounder_shell"	"howitzer_24_pounder_muzzle_flash"
