version 2, schema cdir_events_dilemma_option_junctions_tables, guid 00f66b40-f5e5-49f2-a0ef-4003f35a7b79
unknown1(string)	unknown2(int)	unknown3(float)	unknown4(string)	unknown5(optstring)
"d_bountiful_harvest"	1927	0	"GEN_TARGET_NONE"	nil
"d_conflict_beliefs_buddhist"	1936	0	"VAR_CHANCE"	"5"
"d_conflict_beliefs_buddhist"	1939	0	"CND_FIRST_ROUND"	"12"
"d_conflict_beliefs_buddhist"	1940	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_conflict_beliefs_buddhist"	1944	0	"GEN_CND_REGION_MAX_FACTION_RELIGION_RATIO"	"75"
"d_conflict_beliefs_buddhist"	1946	0	"CND_RELIGION"	"rel_buddhist"
"d_conflict_beliefs_buddhist"	1953	0	"CND_CAMPAIGN"	"jap_shogun"
"d_conflict_beliefs_buddhist"	1961	0	"GEN_TARGET_REGION"	nil
"d_conflict_beliefs_buddhist"	1966	0	"GEN_CND_OWNS"	nil
"d_conflict_beliefs_christian"	1969	0	"VAR_CHANCE"	"5"
"d_conflict_beliefs_christian"	1977	0	"CND_FIRST_ROUND"	"12"
"d_conflict_beliefs_christian"	1984	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_conflict_beliefs_christian"	1990	0	"GEN_CND_REGION_MAX_FACTION_RELIGION_RATIO"	"75"
"d_conflict_beliefs_christian"	1999	0	"CND_RELIGION"	"rel_catholic"
"d_conflict_beliefs_christian"	2009	0	"CND_CAMPAIGN"	"jap_shogun"
"d_conflict_beliefs_christian"	2010	0	"GEN_TARGET_REGION"	nil
"d_conflict_beliefs_christian"	2016	0	"GEN_CND_OWNS"	nil
"d_desecration"	2022	0	"VAR_CHANCE"	"5"
"d_desecration"	2028	0	"CND_FIRST_ROUND"	"12"
"d_desecration"	2029	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_desecration"	2030	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_desecration"	2037	0	"GEN_CND_REGION_MAX_FACTION_RELIGION_RATIO"	"75"
"d_desecration"	2041	0	"CND_RELIGION"	"rel_catholic"
"d_desecration"	2043	0	"GEN_CND_REGION_RELIGION"	"rel_catholic"
"d_desecration"	2053	0	"CND_CAMPAIGN"	"jap_shogun"
"d_desecration"	2060	0	"GEN_TARGET_REGION"	nil
"d_desecration"	2062	0	"GEN_CND_OWNS"	nil
"d_developmental_focus"	2063	0	"CND_MIN_REGIONS_OWNED"	"3"
"d_developmental_focus"	2071	0	"VAR_CHANCE"	"5"
"d_developmental_focus"	2076	0	"CND_FIRST_ROUND"	"8"
"d_developmental_focus"	2086	0	"CND_ROUNDS_UNTIL_NEXT"	"48"
"d_developmental_focus"	2091	0	"CND_CAMPAIGN"	"jap_shogun"
"d_developmental_focus"	2092	0	"GEN_TARGET_NONE"	nil
"d_disgruntled_vassal"	2095	0	"CND_MIN_REGIONS_OWNED"	"5"
"d_disgruntled_vassal"	2096	0	"VAR_CHANCE"	"5"
"d_disgruntled_vassal"	2103	0	"CND_FIRST_ROUND"	"24"
"d_disgruntled_vassal"	2109	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_disgruntled_vassal"	2117	0	"CND_CAMPAIGN"	"jap_shogun"
"d_disgruntled_vassal"	2127	0	"CND_UNIQUE"	nil
"d_disgruntled_vassal"	2131	0	"GEN_CND_OWNS"	nil
"d_disgruntled_vassal"	2133	0	"GEN_TARGET_REGION"	nil
"d_francis_xavier"	2138	0	"VAR_CHANCE"	"5"
"d_francis_xavier"	2147	0	"CND_FIRST_ROUND"	"12"
"d_francis_xavier"	2151	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_francis_xavier"	2155	0	"CND_RELIGION"	"rel_buddhist"
"d_francis_xavier"	2162	0	"CND_CAMPAIGN"	"jap_shogun"
"d_francis_xavier"	2169	0	"CND_BUILDING_LEVEL"	"SHO_Port_3_Nanban_Trade_Port"
"d_francis_xavier"	2172	0	"CND_UNIQUE"	nil
"d_francis_xavier"	2176	0	"GEN_TARGET_NONE"	nil
"d_gaijin_trouble"	2180	0	"CND_MIN_COASTAL_REGIONS_OWNED"	"2"
"d_gaijin_trouble"	2187	0	"VAR_CHANCE"	"5"
"d_gaijin_trouble"	2190	0	"CND_FIRST_ROUND"	"8"
"d_gaijin_trouble"	2192	0	"CND_UNIQUE"	nil
"d_gaijin_trouble"	2195	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_gaijin_trouble"	2204	0	"CND_CAMPAIGN"	"jap_shogun"
"d_gaijin_trouble"	2212	0	"CND_BUILDING_LEVEL"	"SHO_Port_3_Nanban_Trade_Port"
"d_gaijin_trouble"	2219	0	"GEN_CND_OWNS"	nil
"d_gaijin_trouble"	2221	0	"GEN_TARGET_REGION"	nil
"d_hachiman_flock"	2231	0	"CND_MIN_WAR"	"3"
"d_hachiman_flock"	2236	0	"CND_MIN_COASTAL_REGIONS_OWNED"	"1"
"d_hachiman_flock"	2244	0	"VAR_CHANCE"	"2"
"d_hachiman_flock"	2252	0	"CND_FIRST_ROUND"	"12"
"d_hachiman_flock"	2256	0	"CND_RELIGION"	"rel_buddhist"
"d_hachiman_flock"	2265	0	"CND_CAMPAIGN"	"jap_shogun"
"d_hachiman_flock"	2266	0	"CND_UNIQUE"	nil
"d_hachiman_flock"	2276	0	"GEN_TARGET_NONE"	nil
"d_heralding_spring"	2281	0	"VAR_CHANCE"	"4"
"d_heralding_spring"	2290	0	"CND_FIRST_ROUND"	"8"
"d_heralding_spring"	2293	0	"CND_ROUNDS_UNTIL_NEXT"	"36"
"d_heralding_spring"	2300	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_heralding_spring"	2307	0	"CND_MIN_TREASURY"	"3000"
"d_heralding_spring"	2315	0	"CND_CAMPAIGN"	"jap_shogun"
"d_heralding_spring"	2320	0	"CND_SEASON"	"spring"
"d_heralding_spring"	2330	0	"GEN_TARGET_NONE"	nil
"d_intoxication"	2336	0	"CND_MIN_WAR"	"6"
"d_intoxication"	2343	0	"VAR_CHANCE"	"4"
"d_intoxication"	2351	0	"CND_FIRST_ROUND"	"24"
"d_intoxication"	2356	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_intoxication"	2361	0	"CND_CAMPAIGN"	"jap_shogun"
"d_intoxication"	2371	0	"CND_UNIQUE"	nil
"d_intoxication"	2376	0	"GEN_TARGET_NONE"	nil
"d_jizamurai"	2384	0	"VAR_CHANCE"	"5"
"d_jizamurai"	2393	0	"CND_MIN_REGIONS_OWNED"	"8"
"d_jizamurai"	2403	0	"CND_FIRST_ROUND"	"12"
"d_jizamurai"	2404	0	"CND_ROUNDS_UNTIL_NEXT"	"28"
"d_jizamurai"	2411	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_jizamurai"	2418	0	"CND_CAMPAIGN"	"jap_shogun"
"d_jizamurai"	2422	0	"GEN_TARGET_NONE"	nil
"d_land_dispute"	2429	0	"VAR_CHANCE"	"5"
"d_land_dispute"	2435	0	"CND_MIN_REGIONS_OWNED"	"6"
"d_land_dispute"	2438	0	"CND_FIRST_ROUND"	"12"
"d_land_dispute"	2442	0	"CND_ROUNDS_UNTIL_NEXT"	"48"
"d_land_dispute"	2452	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_land_dispute"	2456	0	"CND_CAMPAIGN"	"jap_shogun"
"d_land_dispute"	2458	0	"GEN_CND_REGION_BUILDING_CHAIN"	"SHO_Farming"
"d_land_dispute"	2460	0	"GEN_CND_OWNS"	nil
"d_land_dispute"	2469	0	"GEN_TARGET_REGION"	nil
"d_martial_priorities"	2477	0	"CND_MIN_WAR"	"4"
"d_martial_priorities"	2487	0	"CND_MIN_REGIONS_OWNED"	"4"
"d_martial_priorities"	2492	0	"VAR_CHANCE"	"5"
"d_martial_priorities"	2499	0	"CND_FIRST_ROUND"	"12"
"d_martial_priorities"	2506	0	"CND_ROUNDS_UNTIL_NEXT"	"36"
"d_martial_priorities"	2510	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_martial_priorities"	2512	0	"CND_CAMPAIGN"	"jap_shogun"
"d_martial_priorities"	2517	0	"GEN_TARGET_NONE"	nil
"d_master_archer"	2521	0	"VAR_CHANCE"	"5"
"d_master_archer"	2523	0	"CND_FIRST_ROUND"	"12"
"d_master_archer"	2532	0	"CND_MIN_INFANTRY_RANGED_CATEGORY_RATIO"	"20"
"d_master_archer"	2539	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_master_archer"	2546	0	"CND_CAMPAIGN"	"jap_shogun"
"d_master_archer"	2555	0	"CND_BUILDING_CHAIN"	"SHO_Archery"
"d_master_archer"	2564	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Archery_1_Archery_Range"
"d_master_archer"	2571	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Archery_4_Legendary_Dojo"
"d_master_archer"	2576	0	"GEN_TARGET_NONE"	nil
"d_master_cavalry"	2580	0	"VAR_CHANCE"	"5"
"d_master_cavalry"	2586	0	"CND_FIRST_ROUND"	"12"
"d_master_cavalry"	2594	0	"CND_MIN_CAVALRY_CATEGORY_RATIO"	"20"
"d_master_cavalry"	2601	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_master_cavalry"	2605	0	"CND_CAMPAIGN"	"jap_shogun"
"d_master_cavalry"	2610	0	"CND_BUILDING_CHAIN"	"SHO_Cavalry"
"d_master_cavalry"	2619	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Cavalry_1_Stables"
"d_master_cavalry"	2627	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Cavalry_4_Legendary_Yabusame"
"d_master_cavalry"	2631	0	"GEN_TARGET_NONE"	nil
"d_master_gunner"	2639	0	"VAR_CHANCE"	"5"
"d_master_gunner"	2642	0	"CND_FIRST_ROUND"	"12"
"d_master_gunner"	2652	0	"CND_MIN_INFANTRY_RANGED_CATEGORY_RATIO"	"20"
"d_master_gunner"	2655	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_master_gunner"	2661	0	"CND_CAMPAIGN"	"jap_shogun"
"d_master_gunner"	2666	0	"CND_BUILDING_LEVEL"	"SHO_Port_3_Nanban_Trade_Port"
"d_master_gunner"	2676	0	"CND_BUILDING_CHAIN"	"SHO_Siege"
"d_master_gunner"	2682	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Siege_1_Workshop"
"d_master_gunner"	2690	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Siege_4_Arsenal"
"d_master_gunner"	2691	0	"GEN_TARGET_NONE"	nil
"d_master_swordsman"	2699	0	"VAR_CHANCE"	"5"
"d_master_swordsman"	2705	0	"CND_FIRST_ROUND"	"12"
"d_master_swordsman"	2709	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_master_swordsman"	2714	0	"CND_MIN_INFANTRY_MELEE_CATEGORY_RATIO"	"25"
"d_master_swordsman"	2724	0	"CND_CAMPAIGN"	"jap_shogun"
"d_master_swordsman"	2728	0	"CND_BUILDING_CHAIN"	"SHO_Sword"
"d_master_swordsman"	2732	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Sword_1_Sword_School"
"d_master_swordsman"	2741	0	"CND_NOT_BUILDING_LEVEL"	"SHO_Sword_4_Legendary_Dojo"
"d_master_swordsman"	2746	0	"GEN_TARGET_NONE"	nil
"d_merchant_accession"	2750	0	"CND_MIN_TRADE"	"3"
"d_merchant_accession"	2760	0	"VAR_CHANCE"	"5"
"d_merchant_accession"	2761	0	"CND_FIRST_ROUND"	"8"
"d_merchant_accession"	2767	0	"CND_ROUNDS_UNTIL_NEXT"	"48"
"d_merchant_accession"	2776	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_merchant_accession"	2779	0	"CND_MIN_REGULAR_INCOME_TRADE"	"1500"
"d_merchant_accession"	2784	0	"CND_CAMPAIGN"	"jap_shogun"
"d_merchant_accession"	2788	0	"GEN_TARGET_NONE"	nil
"d_monopoly"	2792	0	"CND_MIN_FACTION_NEIGHBOUR_TRADE"	"2"
"d_monopoly"	2801	0	"CND_FIRST_ROUND"	"12"
"d_monopoly"	2802	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_monopoly"	2805	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_monopoly"	2807	0	"CND_MIN_REGULAR_INCOME_TRADE"	"1500"
"d_monopoly"	2808	0	"CND_CAMPAIGN"	"jap_shogun"
"d_monopoly"	2810	0	"GEN_CND_REGION_BUILDING_CHAIN"	"SHO_Crafts"
"d_monopoly"	2813	0	"GEN_CND_REGION_NOT_BUILDING_LEVEL"	"SHO_Crafts_1_Market"
"d_monopoly"	2819	0	"GEN_TARGET_REGION"	nil
"d_monopoly"	2829	0	"GEN_CND_OWNS"	nil
"d_nine_tailed_fox"	2838	0	"CND_MIN_WAR"	"3"
"d_nine_tailed_fox"	2846	0	"VAR_CHANCE"	"2"
"d_nine_tailed_fox"	2853	0	"CND_FIRST_ROUND"	"20"
"d_nine_tailed_fox"	2863	0	"CND_RELIGION"	"rel_buddhist"
"d_nine_tailed_fox"	2865	0	"CND_CAMPAIGN"	"jap_shogun"
"d_nine_tailed_fox"	2872	0	"CND_BUILDING_CHAIN"	"SHO_Farming"
"d_nine_tailed_fox"	2880	0	"CND_UNIQUE"	nil
"d_nine_tailed_fox"	2882	0	"GEN_TARGET_NONE"	nil
"d_ronin_spears"	2883	0	"CND_MIN_WAR"	"5"
"d_ronin_spears"	2887	0	"VAR_CHANCE"	"5"
"d_ronin_spears"	2890	0	"CND_FIRST_ROUND"	"12"
"d_ronin_spears"	2891	0	"CND_ROUNDS_UNTIL_NEXT"	"16"
"d_ronin_spears"	2898	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_ronin_spears"	2901	0	"CND_CAMPAIGN"	"jap_shogun"
"d_ronin_spears"	2902	0	"GEN_TARGET_REGION"	nil
"d_ronin_spears"	2910	0	"GEN_CND_OWNS"	nil
"d_ronin_spears"	2918	0	"GEN_CND_NOT_HOME_REGION"	nil
"d_ronin_spears"	2926	0	"GEN_CND_ARMY_IN_REGION"	nil
"d_ronin_swords"	2930	0	"CND_MIN_WAR"	"4"
"d_ronin_swords"	2934	0	"VAR_CHANCE"	"5"
"d_ronin_swords"	2939	0	"CND_FIRST_ROUND"	"12"
"d_ronin_swords"	2946	0	"CND_ROUNDS_UNTIL_NEXT"	"16"
"d_ronin_swords"	2948	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_ronin_swords"	2954	0	"CND_CAMPAIGN"	"jap_shogun"
"d_ronin_swords"	2959	0	"GEN_TARGET_REGION"	nil
"d_ronin_swords"	2960	0	"GEN_CND_OWNS"	nil
"d_ronin_swords"	2970	0	"GEN_CND_NOT_HOME_REGION"	nil
"d_ronin_swords"	2978	0	"GEN_CND_ARMY_IN_REGION"	nil
"d_three_legged_crow"	2986	0	"CND_MIN_WAR"	"4"
"d_three_legged_crow"	2989	0	"VAR_CHANCE"	"2"
"d_three_legged_crow"	2997	0	"CND_FIRST_ROUND"	"20"
"d_three_legged_crow"	3000	0	"CND_RELIGION"	"rel_buddhist"
"d_three_legged_crow"	3004	0	"CND_CAMPAIGN"	"jap_shogun"
"d_three_legged_crow"	3010	0	"CND_UNIQUE"	nil
"d_three_legged_crow"	3019	0	"GEN_TARGET_NONE"	nil
"d_tribute_emperor"	3029	0	"VAR_CHANCE"	"3"
"d_tribute_emperor"	3033	0	"CND_FIRST_ROUND"	"20"
"d_tribute_emperor"	3040	0	"CND_MIN_TREASURY"	"2500"
"d_tribute_emperor"	3043	0	"CND_CAMPAIGN"	"jap_shogun"
"d_tribute_emperor"	3051	0	"CND_UNIQUE"	nil
"d_tribute_emperor"	3061	0	"GEN_TARGET_NONE"	nil
"d_tribute_shogun"	3071	0	"VAR_CHANCE"	"5"
"d_tribute_shogun"	3075	0	"CND_FIRST_ROUND"	"12"
"d_tribute_shogun"	3083	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_tribute_shogun"	3093	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_tribute_shogun"	3096	0	"CND_MIN_TREASURY"	"2500"
"d_tribute_shogun"	3100	0	"CND_CAMPAIGN"	"jap_shogun"
"d_tribute_shogun"	3109	0	"CND_NOT_IS_SHOGUN"	nil
"d_tribute_shogun"	3111	0	"CND_NOT_WAR_SHOGUN"	nil
"d_tribute_shogun"	3116	0	"GEN_TARGET_NONE"	nil
"d_urban_migration"	3120	0	"VAR_CHANCE"	"5"
"d_urban_migration"	3124	0	"CND_FIRST_ROUND"	"24"
"d_urban_migration"	3128	0	"CND_ROUNDS_UNTIL_NEXT"	"48"
"d_urban_migration"	3132	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_urban_migration"	3133	0	"CND_CAMPAIGN"	"jap_shogun"
"d_urban_migration"	3143	0	"GEN_TARGET_NONE"	nil
"d_wako_threat_china"	3146	0	"VAR_CHANCE"	"5"
"d_wako_threat_china"	3153	0	"CND_FIRST_ROUND"	"12"
"d_wako_threat_china"	3159	0	"CND_ROUNDS_UNTIL_NEXT"	"36"
"d_wako_threat_china"	3169	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_wako_threat_china"	3178	0	"CND_MIN_TREASURY"	"2500"
"d_wako_threat_china"	3185	0	"CND_TRADE_NODE_OCCUPIED"	"jap_china"
"d_wako_threat_china"	3191	0	"CND_CAMPAIGN"	"jap_shogun"
"d_wako_threat_china"	3200	0	"GEN_TARGET_NONE"	nil
"d_wako_threat_korea"	3205	0	"VAR_CHANCE"	"5"
"d_wako_threat_korea"	3208	0	"CND_FIRST_ROUND"	"12"
"d_wako_threat_korea"	3214	0	"CND_ROUNDS_UNTIL_NEXT"	"36"
"d_wako_threat_korea"	3219	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_wako_threat_korea"	3227	0	"CND_MIN_TREASURY"	"2500"
"d_wako_threat_korea"	3232	0	"CND_TRADE_NODE_OCCUPIED"	"jap_korea"
"d_wako_threat_korea"	3235	0	"CND_CAMPAIGN"	"jap_shogun"
"d_wako_threat_korea"	3242	0	"GEN_TARGET_NONE"	nil
"s_disloyalty_major"	3254	0	"CND_RANDOM"	"50"
"s_disloyalty_major"	3260	0	"CND_CAMPAIGN"	"jap_shogun"
"s_disloyalty_major"	3269	0	"GEN_TARGET_CHARACTER"	nil
"s_disloyalty_major"	3274	0	"GEN_CND_GENERAL"	nil
"s_disloyalty_minor"	3275	0	"GEN_CND_MIN_CHARACTER_LOYALTY"	"2"
"s_disloyalty_minor"	3278	0	"GEN_CND_MAX_CHARACTER_LOYALTY"	"3"
"s_disloyalty_minor"	3280	0	"CND_RANDOM"	"100"
"s_disloyalty_minor"	3287	0	"CND_CAMPAIGN"	"jap_shogun"
"s_disloyalty_minor"	3291	0	"GEN_TARGET_CHARACTER"	nil
"s_disloyalty_minor"	3300	0	"GEN_CND_GENERAL"	nil
"s_matter_of_honour_major"	3307	0	"GEN_CND_MIN_BATTLES"	"6"
"s_matter_of_honour_major"	3316	0	"GEN_CND_MAX_BATTLES"	"8"
"s_matter_of_honour_major"	3317	0	"GEN_CND_MIN_BATTLES_LOST"	"4"
"s_matter_of_honour_major"	3318	0	"CND_RANDOM"	"80"
"s_matter_of_honour_major"	3321	0	"CND_CAMPAIGN"	"jap_shogun"
"s_matter_of_honour_major"	3328	0	"GEN_TARGET_CHARACTER"	nil
"s_matter_of_honour_major"	3336	0	"GEN_CND_GENERAL"	nil
"s_matter_of_honour_major"	3340	0	"GEN_CND_OWNS"	nil
"s_matter_of_honour_minor"	3351	0	"GEN_CND_MAX_BATTLES"	"4"
"s_matter_of_honour_minor"	3354	0	"GEN_CND_MIN_BATTLES_LOST"	"2"
"s_matter_of_honour_minor"	3357	0	"CND_RANDOM"	"80"
"s_matter_of_honour_minor"	3360	0	"CND_CAMPAIGN"	"jap_shogun"
"s_matter_of_honour_minor"	3366	0	"GEN_TARGET_CHARACTER"	nil
"s_matter_of_honour_minor"	3372	0	"GEN_CND_GENERAL"	nil
"s_matter_of_honour_minor"	3380	0	"GEN_CND_OWNS"	nil
"s_meritorious_action"	3388	0	"GEN_CND_MIN_BATTLES"	"6"
"s_meritorious_action"	3394	0	"GEN_CND_MIN_BATTLES_WON"	"6"
"s_meritorious_action"	3397	0	"CND_RANDOM"	"80"
"s_meritorious_action"	3398	0	"CND_CAMPAIGN"	"jap_shogun"
"s_meritorious_action"	3400	0	"GEN_TARGET_CHARACTER"	nil
"s_meritorious_action"	3407	0	"GEN_CND_GENERAL"	nil
"s_meritorious_action"	3409	0	"GEN_CND_OWNS"	nil
"s_disloyalty_minor"	3417	0	"GEN_CND_OWNS"	nil
"s_disloyalty_major"	3423	0	"GEN_CND_OWNS"	nil
"s_matter_of_honour_major"	3428	0	"VAR_CHANCE"	"6"
"s_matter_of_honour_minor"	3434	0	"VAR_CHANCE"	"6"
"s_disloyalty_minor"	3440	0	"VAR_CHANCE"	"6"
"s_disloyalty_major"	3449	0	"VAR_CHANCE"	"6"
"s_meritorious_action"	3459	0	"VAR_CHANCE"	"6"
"d_monopoly"	3462	0	"VAR_CHANCE"	"6"
"d_imperial_new_year"	3463	0	"VAR_CHANCE"	"3"
"d_imperial_new_year"	3473	0	"CND_FIRST_ROUND"	"20"
"d_imperial_new_year"	3474	0	"CND_MIN_TREASURY"	"2500"
"d_imperial_new_year"	3480	0	"CND_CAMPAIGN"	"jap_shogun"
"d_imperial_new_year"	3483	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_imperial_new_year"	3493	0	"GEN_TARGET_NONE"	nil
"d_imperial_new_year"	3501	0	"CND_SEASON"	"winter"
"d_misfortune_others"	3504	0	"VAR_CHANCE"	"3"
"d_misfortune_others"	3508	0	"CND_FIRST_ROUND"	"20"
"d_misfortune_others"	3513	0	"CND_MIN_TREASURY"	"3000"
"d_misfortune_others"	3516	0	"CND_CAMPAIGN"	"jap_shogun"
"d_misfortune_others"	3520	0	"CND_UNIQUE"	nil
"d_misfortune_others"	3525	0	"GEN_TARGET_FACTION"	nil
"d_misfortune_others"	3533	0	"GEN_CND_WAR"	nil
"s_meritorious_action"	3536	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_omen_wind"	3540	0	"CND_MIN_TREASURY"	"2000"
"d_omen_wind"	3546	0	"VAR_CHANCE"	"2"
"d_omen_wind"	3555	0	"CND_FIRST_ROUND"	"20"
"d_omen_wind"	3557	0	"CND_RELIGION"	"rel_buddhist"
"d_omen_wind"	3558	0	"CND_CAMPAIGN"	"jap_shogun"
"d_omen_wind"	3563	0	"CND_UNIQUE"	nil
"d_omen_wind"	3564	0	"GEN_TARGET_NONE"	nil
"d_omen_wind"	3574	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_omen_fire"	3581	0	"CND_MIN_TREASURY"	"2000"
"d_omen_fire"	3582	0	"VAR_CHANCE"	"2"
"d_omen_fire"	3589	0	"CND_FIRST_ROUND"	"20"
"d_omen_fire"	3592	0	"CND_RELIGION"	"rel_buddhist"
"d_omen_fire"	3595	0	"CND_CAMPAIGN"	"jap_shogun"
"d_omen_fire"	3600	0	"CND_UNIQUE"	nil
"d_omen_fire"	3610	0	"GEN_TARGET_NONE"	nil
"d_omen_fire"	3620	0	"VAR_FOLLOWUP_CHANCE"	"25"
