version 4, schema historical_characters_tables, guid 19dfa33b-50a8-4e20-a4e4-cf654971c5ac
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)	unknown1(string)	unknown2(string)	unknown3(boolean)
"jap_asai_masahiro"	false	"m"	"General"	"asai"	1540	1600	"n"	"2147273433"	"2147275161"	false
"jap_asai_masamoto"	false	"m"	"General"	"asai"	1540	1600	"n"	"2147273444"	"2147275161"	false
"jap_asai_nagamasa"	false	"m"	"General"	"asai"	1540	1560	"n"	"2147273738"	"2147275161"	false
"jap_asai_naotane"	false	"m"	"General"	"asai"	1540	1600	"n"	"2147314455"	"2147275161"	false
"jap_asai_sukemasa"	false	"m"	"General"	"asai"	1540	1560	"n"	"2147274046"	"2147275161"	false
"jap_ashikaga_yoshihide"	false	"m"	"General"	"ashikaga"	1560	1580	"n"	"2147274485"	"2147275159"	false
"jap_ashikaga_yoshitane"	false	"m"	"General"	"ashikaga"	1540	1560	"n"	"2147274525"	"2147275159"	false
"jap_ashikaga_yoshizumi"	false	"m"	"General"	"ashikaga"	1540	1560	"n"	"2147274543"	"2147275159"	false
"jap_ashina_morishige"	false	"m"	"General"	"ashina"	1560	1580	"n"	"2147314433"	"2147275157"	false
"jap_ashina_moritaka"	false	"m"	"General"	"ashina"	1560	1580	"n"	"2147273604"	"2147275157"	false
"jap_bessho_harusada"	false	"m"	"General"	"bessho"	1540	1560	"n"	"2147314447"	"2147275153"	false
"jap_bessho_nagaharu"	false	"m"	"General"	"bessho"	1540	1600	"n"	"2147275241"	"2147275153"	false
"jap_bessho_toyoharu"	false	"m"	"General"	"bessho"	1560	1580	"n"	"2147314438"	"2147275153"	false
"jap_chosokabe_chikakazu"	false	"m"	"General"	"chosokabe"	1560	1600	"n"	"2147278478"	"2147275260"	false
"jap_chosokabe_chikatada"	false	"m"	"General"	"chosokabe"	1560	1600	"n"	"2147278470"	"2147275260"	false
"jap_chosokabe_chikatake"	false	"m"	"General"	"chosokabe"	1540	1580	"n"	"2147307053"	"2147275260"	false
"jap_chosokabe_kanetsugu"	false	"m"	"General"	"chosokabe"	1540	1580	"n"	"2147278897"	"2147275260"	false
"jap_chosokabe_kuniyasu"	false	"m"	"General"	"chosokabe"	1540	1580	"n"	"2147278322"	"2147275260"	false
"jap_chosokabe_morichika"	false	"m"	"General"	"chosokabe"	1560	1600	"n"	"2147279997"	"2147275260"	false
"jap_chosokabe_morinobu"	false	"m"	"General"	"chosokabe"	1540	1580	"n"	"2147279991"	"2147275260"	false
"jap_chosokabe_moritaka"	false	"m"	"General"	"chosokabe"	1540	1580	"n"	"2147278435"	"2147275260"	false
"jap_chosokabe_moriyasu"	false	"m"	"General"	"chosokabe"	1540	1580	"n"	"2147306941"	"2147275260"	false
"jap_date_hidemune"	false	"m"	"General"	"date"	1540	1580	"n"	"2147306703"	"2147275270"	false
"jap_date_masamune"	false	"m"	"General"	"date"	1560	1600	"n"	"2147281010"	"2147275270"	false
"jap_date_munekatsu"	false	"m"	"General"	"date"	1540	1580	"n"	"2147306617"	"2147275270"	false
"jap_date_munekiyo"	false	"m"	"General"	"date"	1540	1580	"n"	"2147282264"	"2147275270"	false
"jap_date_munetaka"	false	"m"	"General"	"date"	1540	1580	"n"	"2147283399"	"2147275270"	false
"jap_date_munetsuna"	false	"m"	"General"	"date"	1540	1580	"n"	"2147282252"	"2147275270"	false
"jap_date_sanemoto"	false	"m"	"General"	"date"	1540	1580	"n"	"2147282172"	"2147275270"	false
"jap_date_shigezane"	false	"m"	"General"	"date"	1560	1600	"n"	"2147282154"	"2147275270"	false
"jap_date_tadamune"	false	"m"	"General"	"date"	1540	1580	"n"	"2147282779"	"2147275270"	false
"jap_hatakeyama_akitaka"	false	"m"	"General"	"hatakeyama"	1540	1600	"n"	"2147272913"	"2147275123"	false
"jap_hatakeyama_masakuni"	false	"m"	"General"	"hatakeyama"	1540	1600	"n"	"2147273440"	"2147275123"	false
"jap_hatakeyama_masayori"	false	"m"	"General"	"hatakeyama"	1540	1600	"n"	"2147273471"	"2147275123"	false
"jap_hatakeyama_sadamasa"	false	"m"	"General"	"hatakeyama"	1540	1600	"n"	"2147273919"	"2147275123"	false
"jap_hatakeyama_takamasa"	false	"m"	"General"	"hatakeyama"	1540	1560	"n"	"2147274128"	"2147275123"	false
"jap_hatakeyama_yoshifusa"	false	"m"	"General"	"hatakeyama"	1540	1560	"n"	"2147274482"	"2147275123"	false
"jap_hatakeyama_yoshihide"	false	"m"	"General"	"hatakeyama"	1540	1560	"n"	"2147274485"	"2147275123"	false
"jap_hatakeyama_yoshitaka"	false	"m"	"General"	"hatakeyama"	1540	1560	"n"	"2147274523"	"2147275123"	false
"jap_hatakeyama_yoshitoyo"	false	"m"	"General"	"hatakeyama"	1540	1600	"n"	"2147274532"	"2147275123"	false
"jap_hatakeyama_yoshitsugu"	false	"m"	"General"	"hatakeyama"	1540	1600	"n"	"2147274533"	"2147275123"	false
"jap_hatakeyama_yoshitsuna"	false	"m"	"General"	"hatakeyama"	1540	1600	"n"	"2147274535"	"2147275123"	false
"jap_hatano_harumichi"	false	"m"	"General"	"hatano"	1540	1600	"n"	"2147314634"	"2147275121"	false
"jap_hatano_hideharu"	false	"m"	"General"	"hatano"	1540	1560	"n"	"2147314626"	"2147275121"	false
"jap_hatano_tanemichi"	false	"m"	"General"	"hatano"	1540	1600	"n"	"2147274196"	"2147275121"	false
"jap_hattori_masanari"	false	"m"	"ninja"	"iga_ninja"	1580	1600	"n"	"2147314427"	"2147314122"	false
"jap_hayashizaki_shigenobu"	false	"m"	"General"	"hojo"	1560	1600	"n"	"2147286541"	"2147314644"	false
"jap_hojo_nagatoshi"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147285744"	"2147275280"	false
"jap_hojo_nagatsuna"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147306289"	"2147275280"	false
"jap_hojo_naoshige"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147286905"	"2147275280"	false
"jap_hojo_tsunahige"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147306157"	"2147275280"	false
"jap_hojo_ujifusa"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147306151"	"2147275280"	false
"jap_hojo_ujihide"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147285584"	"2147275280"	false
"jap_hojo_ujimori"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147285576"	"2147275280"	false
"jap_hojo_ujinao"	false	"m"	"General"	"hojo"	1560	1600	"n"	"2147285574"	"2147275280"	false
"jap_hojo_ujinori"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147285570"	"2147275280"	false
"jap_hojo_ujisada"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147306147"	"2147275280"	false
"jap_hojo_ujitsugu"	false	"m"	"General"	"hojo"	1580	1600	"n"	"2147306141"	"2147275280"	false
"jap_hojo_ujitsuna"	false	"m"	"General"	"hojo"	1540	1580	"n"	"2147285568"	"2147275280"	false
"jap_imagawa_hikogoro"	false	"m"	"General"	"imagawa"	1540	1560	"n"	"2147314621"	"2147275099"	false
"jap_imagawa_ujichika"	false	"m"	"General"	"imagawa"	1540	1560	"n"	"2147275235"	"2147275099"	false
"jap_imagawa_ujiteru"	false	"m"	"General"	"imagawa"	1540	1560	"n"	"2147274383"	"2147275099"	false
"jap_imagawa_yoshizane"	false	"m"	"General"	"imagawa"	1540	1600	"n"	"2147274542"	"2147275099"	false
"jap_ishin_suden"	false	"m"	"monk"	"tokugawa"	1580	1600	"n"	"2147314311"	"2147314328"	false
"jap_ito_sukemitsu"	false	"m"	"General"	"ito"	1540	1600	"n"	"2147274047"	"2147275093"	false
"jap_ito_suketaka"	false	"m"	"General"	"ito"	1540	1600	"n"	"2147274062"	"2147275093"	false
"jap_ito_sukeyoshi"	false	"m"	"General"	"ito"	1580	1600	"n"	"2147274071"	"2147275093"	false
"jap_ito_yoshimasu"	false	"m"	"General"	"ito"	1540	1560	"n"	"2147274499"	"2147275093"	false
"jap_jinbo_nagamoto"	false	"m"	"General"	"jinbo"	1540	1600	"n"	"2147273743"	"2147275091"	false
"jap_jinbo_ujiharu"	false	"m"	"General"	"jinbo"	1540	1600	"n"	"2147274367"	"2147275091"	false
"jap_jinbo_yoshimune"	false	"m"	"General"	"jinbo"	1540	1560	"n"	"2147274506"	"2147275091"	false
"jap_kaisen_joki"	false	"m"	"monk"	"takeda"	1540	1580	"n"	"2147314337"	"2147314332"	false
"jap_kennyo_kosa"	false	"m"	"monk"	"shimazu"	1560	1600	"n"	"2147314349"	"2147314345"	false
"jap_kikkawa_hiroie"	false	"m"	"General"	"kikkawa"	1560	1580	"n"	"2147273097"	"2147275081"	false
"jap_kikkawa_hiromasa"	false	"m"	"General"	"kikkawa"	1580	1600	"n"	"2147273103"	"2147275081"	false
"jap_kikkawa_motonaga"	false	"m"	"General"	"kikkawa"	1540	1600	"n"	"2147273669"	"2147275081"	false
"jap_kikkawa_nariyori"	false	"m"	"General"	"kikkawa"	1580	1600	"n"	"2147273810"	"2147275081"	false
"jap_kikkawa_tsuneie"	false	"m"	"General"	"kikkawa"	1540	1600	"n"	"2147274329"	"2147275081"	false
"jap_kiso_yoshimasa"	false	"m"	"General"	"kiso"	1540	1600	"n"	"2147274499"	"2147275075"	false
"jap_kitabatake_chikanari"	false	"m"	"General"	"kitabatake"	1540	1560	"n"	"2147314610"	"2147275073"	false
"jap_kitabatake_kanematu"	false	"m"	"General"	"kitabatake"	1540	1560	"n"	"2147314601"	"2147275073"	false
"jap_kitabatake_tokomatsu"	false	"m"	"General"	"kitabatake"	1540	1560	"n"	"2147314599"	"2147275073"	false
"jap_kitabatake_tomofuji"	false	"m"	"General"	"kitabatake"	1540	1560	"n"	"2147314593"	"2147275073"	false
"jap_kitabatake_tomofusa"	false	"m"	"General"	"kitabatake"	1540	1560	"n"	"2147274256"	"2147275073"	false
"jap_kitabatake_tomonori"	false	"m"	"General"	"kitabatake"	1540	1560	"n"	"2147274272"	"2147275073"	false
"jap_kono_michinobu"	false	"m"	"General"	"kono"	1540	1600	"n"	"2147273498"	"2147275061"	false
"jap_kono_michiyoshi"	false	"m"	"General"	"kono"	1540	1560	"n"	"2147273516"	"2147275061"	false
"jap_maeda_gen'i"	false	"m"	"monk"	"uesugi"	1540	1600	"n"	"2147314365"	"2147314356"	false
"jap_matsuda_norihide"	false	"m"	"General"	"matsuda"	1540	1600	"n"	"2147314589"	"2147275049"	false
"jap_matsuda_yasudasa"	false	"m"	"General"	"matsuda"	1540	1600	"n"	"2147314579"	"2147275049"	false
"jap_matsuda_yorihide"	false	"m"	"General"	"matsuda"	1540	1600	"n"	"2147274436"	"2147275049"	false
"jap_miyoshi_fuyuyasu"	false	"m"	"General"	"miyoshi"	1540	1560	"n"	"2147273012"	"2147275041"	false
"jap_miyoshi_kazunari"	false	"m"	"General"	"miyoshi"	1540	1560	"n"	"2147314517"	"2147275041"	false
"jap_miyoshi_motonaga"	false	"m"	"General"	"miyoshi"	1540	1600	"n"	"2147273669"	"2147275041"	false
"jap_miyoshi_nagaharu"	false	"m"	"General"	"miyoshi"	1540	1600	"n"	"2147275241"	"2147275041"	false
"jap_miyoshi_nagamoto"	false	"m"	"General"	"miyoshi"	1540	1560	"n"	"2147273743"	"2147275041"	false
"jap_miyoshi_yasunaga"	false	"m"	"General"	"miyoshi"	1540	1600	"n"	"2147274410"	"2147275041"	false
"jap_miyoshi_yoshikata"	false	"m"	"General"	"miyoshi"	1540	1560	"n"	"2147274494"	"2147275041"	false
"jap_miyoshi_yoshitsugu"	false	"m"	"General"	"miyoshi"	1540	1560	"n"	"2147274533"	"2147275041"	false
"jap_miyoshi_yukinaga"	false	"m"	"General"	"miyoshi"	1540	1560	"n"	"2147274561"	"2147275041"	false
"jap_mogami_iechika"	false	"m"	"General"	"mogami"	1580	1600	"n"	"2147314571"	"2147275039"	false
"jap_mogami_yoshiaki"	false	"m"	"General"	"mogami"	1540	1600	"n"	"2147274476"	"2147275039"	false
"jap_mogami_yoshihisa"	false	"m"	"General"	"mogami"	1540	1600	"n"	"2147274488"	"2147275039"	false
"jap_mogami_yoshitoki"	false	"m"	"General"	"mogami"	1540	1600	"n"	"2147274528"	"2147275039"	false
"jap_mogami_yoshitoshi"	false	"m"	"General"	"mogami"	1540	1600	"n"	"2147274531"	"2147275039"	false
"jap_mogami_yoshiyasu"	false	"m"	"General"	"mogami"	1540	1600	"n"	"2147274539"	"2147275039"	false
"jap_mori_hidemoto"	false	"m"	"General"	"mori"	1560	1600	"n"	"2147288939"	"2147275292"	false
"jap_mori_hidenari"	false	"m"	"General"	"mori"	1580	1600	"n"	"2147287921"	"2147275292"	false
"jap_mori_motoaki"	false	"m"	"General"	"mori"	1540	1580	"n"	"2147305991"	"2147275292"	false
"jap_mori_motokiyo"	false	"m"	"General"	"mori"	1540	1580	"n"	"2147288785"	"2147275292"	false
"jap_mori_motomasa"	false	"m"	"General"	"mori"	1540	1580	"n"	"2147290156"	"2147275292"	false
"jap_mori_naritaka"	false	"m"	"General"	"mori"	1540	1580	"n"	"2147305955"	"2147275292"	false
"jap_mori_terumoto"	false	"m"	"General"	"mori"	1540	1580	"n"	"2147288613"	"2147275292"	false
"jap_murakami_akikuni"	false	"m"	"General"	"murakami"	1540	1600	"n"	"2147272889"	"2147275035"	false
"jap_murakami_kunikiyo"	false	"m"	"General"	"murakami"	1540	1600	"n"	"2147273416"	"2147275035"	false
"jap_murakami_yoshiakira"	false	"m"	"General"	"murakami"	1540	1600	"n"	"2147274477"	"2147275035"	false
"jap_oda_hidenari"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278233"	"2147275308"	false
"jap_oda_hidetoshi"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278209"	"2147275308"	false
"jap_oda_hiroyoshi"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278225"	"2147275308"	false
"jap_oda_kanshichiro"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278229"	"2147275308"	false
"jap_oda_katsunaga"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147275760"	"2147275308"	false
"jap_oda_kotoji"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278197"	"2147275308"	false
"jap_oda_magashuro"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278221"	"2147275308"	false
"jap_oda_nagamasu"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278205"	"2147275308"	false
"jap_oda_nobmoto"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147305631"	"2147275308"	false
"jap_oda_nobufusa"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277333"	"2147275308"	false
"jap_oda_nobuharu"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277331"	"2147275308"	false
"jap_oda_nobuhiro"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277327"	"2147275308"	false
"jap_oda_nobukane"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277321"	"2147275308"	false
"jap_oda_nobukiyo"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277315"	"2147275308"	false
"jap_oda_nobumasu"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277311"	"2147275308"	false
"jap_oda_nobumoto"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277307"	"2147275308"	false
"jap_oda_nobunari"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277303"	"2147275308"	false
"jap_oda_nobuo"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278213"	"2147275308"	false
"jap_oda_nobuoki"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278217"	"2147275308"	false
"jap_oda_nobutada"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277289"	"2147275308"	false
"jap_oda_nobutaka"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277287"	"2147275308"	false
"jap_oda_nobuzumi"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147278201"	"2147275308"	false
"jap_oda_tadamasa"	false	"m"	"General"	"oda"	1540	1580	"n"	"2147277686"	"2147275308"	false
"jap_ogigayatsu_norikatsu"	false	"m"	"General"	"ogigayatsu_uesugi"	1540	1600	"n"	"2147275205"	"2147275013"	false
"jap_ogigayatsu_norimori"	false	"m"	"General"	"ogigayatsu_uesugi"	1540	1560	"n"	"2147273873"	"2147275013"	false
"jap_ogigayatsu_noriyoshi"	false	"m"	"General"	"ogigayatsu_uesugi"	1540	1600	"n"	"2147314566"	"2147275013"	false
"jap_ogigayatsu_tomooki"	false	"m"	"General"	"ogigayatsu_uesugi"	1540	1560	"n"	"2147274273"	"2147275013"	false
"jap_ogigayatsu_tomosada"	false	"m"	"General"	"ogigayatsu_uesugi"	1540	1560	"n"	"2147274274"	"2147275013"	false
"jap_otomo_chikaie"	false	"m"	"General"	"otomo"	1560	1580	"n"	"2147272972"	"2147275003"	false
"jap_otomo_chikamori"	false	"m"	"General"	"otomo"	1560	1580	"n"	"2147314561"	"2147275003"	false
"jap_otomo_chikasada"	false	"m"	"General"	"otomo"	1540	1560	"n"	"2147314560"	"2147275003"	false
"jap_otomo_shioichimaru"	false	"m"	"General"	"otomo"	1540	1560	"n"	"2147314550"	"2147275003"	false
"jap_otomo_yoshimune"	false	"m"	"General"	"otomo"	1540	1600	"n"	"2147274506"	"2147275003"	false
"jap_otomo_yoshinaga"	false	"m"	"General"	"otomo"	1540	1600	"n"	"2147274508"	"2147275003"	false
"jap_otomo_yoshinobu"	false	"m"	"General"	"otomo"	1540	1600	"n"	"2147274513"	"2147275003"	false
"jap_ouchi_teruhiro"	false	"m"	"General"	"ouchi"	1540	1560	"n"	"2147314546"	"2147275001"	false
"jap_ouchi_yoshihiro"	false	"m"	"General"	"ouchi"	1540	1560	"n"	"2147274487"	"2147275001"	false
"jap_ouchi_yoshitaka"	false	"m"	"General"	"ouchi"	1540	1560	"n"	"2147274523"	"2147275001"	false
"jap_sagara_yorifusa"	false	"m"	"General"	"sagara"	1540	1600	"n"	"2147274434"	"2147274995"	false
"jap_sagara_yoshiaki"	false	"m"	"General"	"sagara"	1540	1600	"n"	"2147274476"	"2147274995"	false
"jap_saito_nagatatsu"	false	"m"	"General"	"saito"	1540	1600	"n"	"2147314542"	"2147274993"	false
"jap_saito_yoshitatsu"	false	"m"	"General"	"saito"	1540	1560	"n"	"2147274521"	"2147274993"	false
"jap_sakai_ietsugu"	false	"m"	"General"	"sakai"	1560	1580	"n"	"2147273191"	"2147274991"	false
"jap_sakai_kyuzo"	false	"m"	"General"	"sakai"	1540	1560	"n"	"2147314538"	"2147274991"	false
"jap_sakai_masachika"	false	"m"	"General"	"sakai"	1540	1560	"n"	"2147273429"	"2147274991"	false
"jap_sakai_masahisa"	false	"m"	"General"	"sakai"	1540	1560	"n"	"2147314481"	"2147274991"	false
"jap_sakai_shigetada"	false	"m"	"General"	"sakai"	1540	1600	"n"	"2147274004"	"2147274991"	false
"jap_sakai_yashutoshi"	false	"m"	"General"	"sakai"	1560	1580	"n"	"2147314534"	"2147274991"	false
"jap_satake_chikanao"	false	"m"	"General"	"satake"	1540	1600	"n"	"2147272990"	"2147274981"	false
"jap_satake_nakajiro"	false	"m"	"General"	"satake"	1540	1600	"n"	"2147314524"	"2147274981"	false
"jap_satake_yoshihide"	false	"m"	"General"	"satake"	1540	1600	"n"	"2147274485"	"2147274981"	false
"jap_satomi_sanetaka"	false	"m"	"General"	"satomi"	1540	1560	"n"	"2147273974"	"2147275178"	false
"jap_satomi_shigeyoshi"	false	"m"	"General"	"satomi"	1540	1560	"n"	"2147274016"	"2147275178"	false
"jap_satomi_tadahiro"	false	"m"	"General"	"satomi"	1540	1600	"n"	"2147314520"	"2147275178"	false
"jap_satomi_tadayoshi"	false	"m"	"General"	"satomi"	1580	1600	"n"	"2147274110"	"2147275178"	false
"jap_satomi_takamasa"	false	"m"	"General"	"satomi"	1540	1600	"n"	"2147274128"	"2147275178"	false
"jap_satomi_takamoto"	false	"m"	"General"	"satomi"	1540	1600	"n"	"2147274133"	"2147275178"	false
"jap_satomi_yoshihiro"	false	"m"	"General"	"satomi"	1540	1560	"n"	"2147274487"	"2147275178"	false
"jap_satomi_yoshimichi"	false	"m"	"General"	"satomi"	1540	1560	"n"	"2147274501"	"2147275178"	false
"jap_satomi_yoshitoyo"	false	"m"	"General"	"satomi"	1540	1560	"n"	"2147274532"	"2147275178"	false
"jap_satomi_yoshiyasu"	false	"m"	"General"	"satomi"	1560	1580	"n"	"2147274539"	"2147275178"	false
"jap_satomi_yoshiyori"	false	"m"	"General"	"satomi"	1540	1600	"n"	"2147274540"	"2147275178"	false
"jap_satomura_joha"	false	"m"	"monk"	"date"	1540	1580	"n"	"2147314409"	"2147314402"	false
"jap_shimazu_hisayasu"	false	"m"	"General"	"shimazu"	1560	1600	"n"	"2147305425"	"2147275310"	false
"jap_shimazu_iehisa"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147305419"	"2147275310"	false
"jap_shimazu_katsuhisa"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147292925"	"2147275310"	false
"jap_shimazu_sanehisa"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147291899"	"2147275310"	false
"jap_shimazu_tadachika"	false	"m"	"General"	"shimazu"	1560	1600	"n"	"2147291715"	"2147275310"	false
"jap_shimazu_tadamasa"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147291697"	"2147275310"	false
"jap_shimazu_tadatoshi"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147293883"	"2147275310"	false
"jap_shimazu_tadatsune"	false	"m"	"General"	"shimazu"	1560	1600	"n"	"2147293881"	"2147275310"	false
"jap_shimazu_tadayuki"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147293879"	"2147275310"	false
"jap_shimazu_teruhisa"	false	"m"	"General"	"shimazu"	1560	1600	"n"	"2147305239"	"2147275310"	false
"jap_shimazu_toyohisa"	false	"m"	"General"	"shimazu"	1560	1600	"n"	"2147305217"	"2147275310"	false
"jap_shimazu_tsunehisa"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147291273"	"2147275310"	false
"jap_shimazu_yoshitora"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147305169"	"2147275310"	false
"jap_shimazu_yukihisa"	false	"m"	"General"	"shimazu"	1540	1580	"n"	"2147293751"	"2147275310"	false
"jap_shoni_masasuke"	false	"m"	"General"	"shoni"	1540	1600	"n"	"2147273454"	"2147275071"	false
"jap_shonyo_kokyo"	false	"m"	"monk"	"chosokabe"	1540	1560	"n"	"2147314400"	"2147314390"	false
"jap_sogo_kazunari"	false	"m"	"General"	"sogo"	1540	1560	"n"	"2147314517"	"2147275043"	false
"jap_sogo_mototsuna"	false	"m"	"General"	"sogo"	1540	1560	"n"	"2147273680"	"2147275043"	false
"jap_taigen_sessai"	false	"m"	"monk"	"imagawa"	1540	1560	"n"	"2147314382"	"2147314373"	false
"jap_takeda_katsutora"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147296960"	"2147275322"	false
"jap_takeda_katsuyori"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147297472"	"2147275322"	false
"jap_takeda_munetomo"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147305033"	"2147275322"	false
"jap_takeda_nobuchika"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147295484"	"2147275322"	false
"jap_takeda_nobuhiro"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147295480"	"2147275322"	false
"jap_takeda_nobumitsu"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147297320"	"2147275322"	false
"jap_takeda_nobutomo"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147297306"	"2147275322"	false
"jap_takeda_nobutora"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147304989"	"2147275322"	false
"jap_takeda_nobutoyo"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147304987"	"2147275322"	false
"jap_takeda_nobutsuna"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147295440"	"2147275322"	false
"jap_takeda_nobuyuki"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147295432"	"2147275322"	false
"jap_takeda_nobuzane"	false	"m"	"General"	"takeda"	1540	1580	"n"	"2147297302"	"2147275322"	false
"jap_tokugawa_hidetada"	false	"m"	"General"	"tokugawa"	1560	1600	"n"	"2147300901"	"2147275334"	false
"jap_tokugawa_nobuyasu"	false	"m"	"General"	"tokugawa"	1540	1580	"n"	"2147298795"	"2147275334"	false
"jap_tsutsui_junkei"	false	"m"	"General"	"tsutsui"	1540	1600	"n"	"2147275257"	"2147275116"	false
"jap_tsutsui_junko"	false	"m"	"General"	"tsutsui"	1540	1600	"n"	"2147314513"	"2147275116"	false
"jap_tsutsui_sadagatsu"	false	"m"	"General"	"tsutsui"	1560	1580	"n"	"2147314489"	"2147275116"	false
"jap_uesugi_akisada"	false	"m"	"General"	"uesugi"	1540	1580	"n"	"2147304306"	"2147275342"	false
"jap_uesugi_funayoshi"	false	"m"	"General"	"uesugi"	1540	1580	"n"	"2147304519"	"2147275342"	false
"jap_uesugi_kagekatsu"	false	"m"	"General"	"uesugi"	1540	1580	"n"	"2147304218"	"2147275342"	false
"jap_uesugi_kagenobu"	false	"m"	"General"	"uesugi"	1540	1580	"n"	"2147304212"	"2147275342"	false
"jap_uesugi_kagetora"	false	"m"	"General"	"uesugi"	1540	1580	"n"	"2147304210"	"2147275342"	false
