version 1, schema effects_tables
Effect_ID(string)	Pip_Path(optstring)	Unknown1(int)
"enable_explosive_rockets"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_explosive_shells"	"data/ui/campaign ui/pips/effect_tech.tga"	716
"enable_fire_and_advance"	"data/ui/campaign ui/pips/effect_tech.tga"	715
"enable_fire_by_rank"	"data/ui/campaign ui/pips/effect_tech.tga"	714
"enable_improved_coppering"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_improved_fougasse"	nil	0
"enable_improved_grape_shot"	"data/ui/campaign ui/pips/effect_tech.tga"	713
"enable_improved_grenades"	"data/ui/campaign ui/pips/effect_tech.tga"	712
"enable_improved_platoon_firing"	"data/ui/campaign ui/pips/effect_tech.tga"	711
"enable_light_infantry_doctrine"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_light_infantry_drill"	"data/ui/campaign ui/pips/effect_tech.tga"	710
"enable_machined_rifling"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_percussion_shells"	"data/ui/campaign ui/pips/effect_tech.tga"	709
"enable_platoon_firing"	"data/ui/campaign ui/pips/effect_tech.tga"	708
"enable_plug_bayonet"	"data/ui/campaign ui/pips/effect_tech.tga"	707
"enable_quicklime_shells"	"data/ui/campaign ui/pips/effect_tech.tga"	706
"enable_rifled_cannons"	"data/ui/campaign ui/pips/effect_tech.tga"	705
"enable_ring_bayonet"	"data/ui/campaign ui/pips/effect_tech.tga"	704
"enable_screw_breech"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_shortened_carbines"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_shrapnel_shot"	"data/ui/campaign ui/pips/effect_tech.tga"	703
"enable_socket_bayonet"	"data/ui/campaign ui/pips/effect_tech.tga"	702
"enable_square_formation"	"data/ui/campaign ui/pips/effect_tech.tga"	701
"enable_top_gallants"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_volley_fire"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_wedge_formation"	"data/ui/campaign ui/pips/effect_tech.tga"	700
"export_capacity_port"	"data/ui/campaign ui/pips/effect_economy.tga"	6003
"export_capacity_road"	"data/ui/campaign ui/pips/effect_economy.tga"	6004
"fortification"	"data/ui/campaign ui/pips/effect_army.tga"	1
"gdp_farm"	"data/ui/campaign ui/pips/effect_economy.tga"	921
"gdp_industry"	"data/ui/campaign ui/pips/effect_economy.tga"	922
"gdp_mine"	"data/ui/campaign ui/pips/effect_economy.tga"	919
"gdp_mod_all"	"data/ui/campaign ui/pips/effect_economy.tga"	923
"gdp_mod_farms"	"data/ui/campaign ui/pips/effect_economy.tga"	912
"gdp_mod_farms_livestock"	"data/ui/campaign ui/pips/effect_economy.tga"	911
"gdp_mod_farms_wheat"	"data/ui/campaign ui/pips/effect_economy.tga"	910
"gdp_mod_industry_all"	"data/ui/campaign ui/pips/effect_economy.tga"	915
"gdp_mod_industry_metals"	"data/ui/campaign ui/pips/effect_economy.tga"	914
"gdp_mod_industry_textiles"	"data/ui/campaign ui/pips/effect_economy.tga"	913
"gdp_mod_mines"	"data/ui/campaign ui/pips/effect_economy.tga"	916
"gdp_mod_plantations"	"data/ui/campaign ui/pips/effect_economy.tga"	917
"gdp_mod_ports"	"data/ui/campaign ui/pips/effect_economy.tga"	918
"gdp_port"	"data/ui/campaign ui/pips/effect_economy.tga"	920
"happy_active_lower_gov_type"	"data/ui/campaign ui/pips/effect_public_order.tga"	9023
"happy_active_lower_tax"	"data/ui/campaign ui/pips/effect_public_order.tga"	9025
"happy_active_upper_gov_type"	"data/ui/campaign ui/pips/effect_public_order.tga"	9022
"happy_active_upper_tax"	"data/ui/campaign ui/pips/effect_public_order.tga"	9024
"happy_character_lower"	"data/ui/campaign ui/pips/effect_public_order.tga"	9019
"happy_character_middle"	"data/ui/campaign ui/pips/effect_public_order.tga"	9018
"happy_character_upper"	"data/ui/campaign ui/pips/effect_public_order.tga"	9017
"happy_clamour_for_reform_all_classes"	"data/ui/campaign ui/pips/effect_public_order.tga"	9017
"happy_clamour_for_reform_lower"	"data/ui/campaign ui/pips/effect_public_order.tga"	9016
"happy_clamour_for_reform_middle"	"data/ui/campaign ui/pips/effect_public_order.tga"	9015
"happy_clamour_for_reform_upper"	"data/ui/campaign ui/pips/effect_public_order.tga"	9014
"happy_culture_lower"	"data/ui/campaign ui/pips/effect_public_order.tga"	9013
"happy_culture_middle"	"data/ui/campaign ui/pips/effect_public_order.tga"	9012
"happy_culture_upper"	"data/ui/campaign ui/pips/effect_public_order.tga"	9011
"happy_events_factional"	"data/ui/campaign ui/pips/effect_public_order.tga"	9010
"happy_events_regional"	"data/ui/campaign ui/pips/effect_public_order.tga"	9009
"happy_government_lower"	"data/ui/campaign ui/pips/effect_lower_classes.tga"	9008
"happy_government_middle"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9007
"happy_government_upper"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9006
"happy_industrialisation_lower"	"data/ui/campaign ui/pips/effect_lower_classes.tga"	9005
"happy_industrialisation_middle"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9004
"happy_industrialisation_upper"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9003
"happy_ministerial_position"	"data/ui/campaign ui/pips/effect_public_order.tga"	9020
"happy_mod_religious_unrest"	"data/ui/campaign ui/pips/effect_public_order.tga"	9021
"happy_religion_animist"	"data/ui/campaign ui/pips/effect_public_order.tga"	9028
"happy_religion_buddhist"	"data/ui/campaign ui/pips/effect_public_order.tga"	9029
"happy_religion_catholic"	"data/ui/campaign ui/pips/effect_public_order.tga"	9030
"happy_religion_hindu"	"data/ui/campaign ui/pips/effect_public_order.tga"	9031
"happy_religion_islam"	"data/ui/campaign ui/pips/effect_public_order.tga"	9032
"happy_religion_lower"	"data/ui/campaign ui/pips/effect_lower_classes.tga"	9033
"happy_religion_middle"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9034
"happy_religion_orthodox"	"data/ui/campaign ui/pips/effect_public_order.tga"	9035
"happy_religion_protestant"	"data/ui/campaign ui/pips/effect_public_order.tga"	9036
"happy_religion_sikh"	"data/ui/campaign ui/pips/effect_public_order.tga"	9037
"happy_religion_upper"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9038
"happy_tax_active_lower"	"data/ui/campaign ui/pips/effect_lower_classes.tga"	9027
"happy_tax_active_upper"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9026
"happy_tax_lower"	"data/ui/campaign ui/pips/effect_lower_classes.tga"	9002
"happy_tax_middle"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9001
"happy_tax_upper"	"data/ui/campaign ui/pips/effect_upper_classes.tga"	9000
"happy_war_results_home_region"	"data/ui/campaign ui/pips/effect_army.tga"	1
"hates_europeans"	"data/ui/campaign ui/pips/skill_command.tga"	1
"hates_ottomans"	"data/ui/campaign ui/pips/skill_command.tga"	1
"hide_enable_long_grass"	"data/ui/campaign ui/pips/effect_army.tga"	1
"hide_enable_scrub"	"data/ui/campaign ui/pips/effect_army.tga"	1
"hide_enable_snipe"	"data/ui/campaign ui/pips/effect_army.tga"	1
"hide_enable_stalk"	"data/ui/campaign ui/pips/effect_army.tga"	1
"large_city_fortifications"	"data/ui/campaign ui/pips/effect_army.tga"	1
"management_army"	"data/ui/campaign ui/pips/effect_army.tga"	2
"management_finance"	"data/ui/campaign ui/pips/effect_economy.tga"	4
"management_justice"	"data/ui/campaign ui/pips/government-repression.tga"	5
"management_navy"	"data/ui/campaign ui/pips/effect_navy.tga"	3
"mod_battle_death_rate"	"data/ui/campaign ui/pips/effect_army.tga"	1
"mod_boarders_melee_attack"	nil	0
"mod_faction_claim"	nil	0
"mod_factory_build_time"	"data/ui/campaign ui/pips/effect_building.tga"	1
"mod_infantry_movement_campaign"	"data/ui/campaign ui/pips/effect_army.tga"	0
"mod_infantry_training_battle"	"data/ui/campaign ui/pips/effect_army.tga"	1
"mod_max_pop"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	1003
"mod_pop_growth"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	1004
"mod_pop_growth_wheat"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	1005
"mod_religion_conversion_rate"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	1
"mod_reload_rate_carbine"	"data/ui/campaign ui/pips/effect_army.tga"	1
"mod_repair_cost_artillery"	"data/ui/campaign ui/pips/effect_army.tga"	1
"mod_repair_cost_bldg"	"data/ui/campaign ui/pips/effect_building.tga"	1
"mod_rifle_reload_rate"	"data/ui/campaign ui/pips/effect_army.tga"	1
"mod_ship_attrition"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_cannon_fire_rate"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_cannon_reliability"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_disease_chance"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_movement_battle"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_movement_battle_top_gallants"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_movement_campaign"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_movement_campaign_top_gallants"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_ship_theatre_travel_time"	"data/ui/campaign ui/pips/effect_navy.tga"	0
"mod_storm_damage"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"mod_tech_cost_agriculture"	"data/ui/campaign ui/pips/effect_economy.tga"	1
"mod_tech_cost_all"	"data/ui/campaign ui/pips/effect_economy.tga"	1
"mod_unit_armour"	nil	0
"mod_unit_marksmanship"	nil	0
"mod_unit_melee_attack"	nil	0
"mod_unit_melee_defence"	nil	0
"mod_unit_reload_rate"	nil	0
"mod_weapon_misfire"	"data/ui/campaign ui/pips/effect_army.tga"	1
"mod_weapon_misfire_rain"	"data/ui/campaign ui/pips/effect_army.tga"	1
"morale_bonus"	"data/ui/campaign ui/pips/effect_army.tga"	1
"morale_bonus_land"	"data/ui/campaign ui/pips/effect_army.tga"	0
"morale_bonus_naval"	"data/ui/campaign ui/pips/effect_naval.tga"	0
"Movement_Points_All"	"data/ui/campaign ui/pips/effect_army.tga"	1
"Movement_Points_All_Land"	"data/ui/campaign ui/pips/effect_army.tga"	1
"Movement_Points_Land_Artillery"	"data/ui/campaign ui/pips/effect_army.tga"	1
"Movement_Points_Land_Cavalry"	"data/ui/campaign ui/pips/effect_army.tga"	1
"Movement_Points_Land_Infantry"	"data/ui/campaign ui/pips/effect_army.tga"	1
"naval_attrition"	nil	0
"naval_recruitment_points"	"data/ui/campaign ui/pips/effect_navy.tga"	0
"personal_security"	nil	4
"policing_cost_mod"	"data/ui/campaign ui/pips/effect_economy.tga"	1
"pop_growth_farm"	"data/ui/campaign ui/pips/eco_agriculture.tga"	1008
"pop_growth_government"	"data/ui/campaign ui/pips/government-happy.tga"	1006
"pop_growth_port_fishing"	"data/ui/campaign ui/pips/eco-fishing.tga"	1007
"pop_growth_tax_modifier"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	0
"pop_growth_tax_modifier_multiplier"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	0
"pop_growth_technology_modifier"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	1001
"pop_growth_visible_tax_effect_extortionate"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	8014
"pop_growth_visible_tax_effect_high"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	8013
"pop_growth_visible_tax_effect_low"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	8012
"pop_growth_visible_tax_effect_minimal"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	0
"pop_growth_visible_tax_effect_normal"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	8011
"pop_maxpop_modifier"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	1002
"pop_maxpop_modifier_tech_mod"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	1000
"prestige_enlightenment"	"data/ui/campaign ui/pips/effect_prestige.tga"	0
"prestige_enlightenment_generic"	"data/ui/campaign ui/pips/effect_prestige.tga"	0
"prestige_faction_leader"	"data/ui/campaign ui/pips/effect_prestige.tga"	1
"prestige_message"	"data/ui/campaign ui/pips/effect_prestige.tga"	1
"prestige_military"	"data/ui/campaign ui/pips/effect_prestige.tga"	0
"prestige_military_generic"	"data/ui/campaign ui/pips/effect_prestige.tga"	0
"prestige_wealth"	"data/ui/campaign ui/pips/effect_prestige.tga"	0
"prestige_wealth_generic"	"data/ui/campaign ui/pips/effect_prestige.tga"	0
"recruitment_cost_mod_category_artillery"	"data/ui/campaign ui/pips/effect_army.tga"	2009
"recruitment_cost_mod_category_cavalry"	"data/ui/campaign ui/pips/effect_army.tga"	2010
"recruitment_cost_mod_category_dragoons"	"data/ui/campaign ui/pips/effect_army.tga"	2008
"recruitment_cost_mod_category_elephants"	"data/ui/campaign ui/pips/effect_army.tga"	2005
"recruitment_cost_mod_category_infantry"	"data/ui/campaign ui/pips/effect_army.tga"	2011
"recruitment_cost_mod_category_naval_auxiliary"	"data/ui/campaign ui/pips/effect_navy.tga"	2004
"recruitment_cost_mod_category_naval_frigate"	"data/ui/campaign ui/pips/effect_navy.tga"	2007
"recruitment_cost_mod_category_naval_galley"	"data/ui/campaign ui/pips/effect_navy.tga"	2003
"recruitment_cost_mod_category_naval_line_of_battle"	"data/ui/campaign ui/pips/effect_navy.tga"	2002
"recruitment_cost_mod_category_naval_merchant"	"data/ui/campaign ui/pips/effect_navy.tga"	2001
"recruitment_cost_mod_category_naval_specialist"	"data/ui/campaign ui/pips/effect_navy.tga"	2006
"recruitment_cost_mod_land_all"	"data/ui/campaign ui/pips/effect_army.tga"	2013
"recruitment_cost_mod_naval_all"	"data/ui/campaign ui/pips/effect_navy.tga"	2012
"recruitment_points"	"data/ui/campaign ui/pips/effect_army.tga"	1
"recruitment_points_home_region"	nil	0
"region_turns_to_surrender"	"data/ui/campaign ui/pips/effect_army.tga"	0
"repair_cost_modifier"	"data/ui/campaign ui/pips/effect_building.tga"	1
"repression_building"	"data/ui/campaign ui/pips/buildings-repression.tga"	8010
"repression_character"	"character_traits-repression.tga"	8009
"repression_garrison"	"data/ui/campaign ui/pips/garrison-repression.tga"	8008
"repression_gov_type"	"data/ui/campaign ui/pips/government-repression.tga"	8007
"repression_policing_cap"	"data/ui/campaign ui/pips/policing-repression.tga"	8006
"repression_tech_faction"	"data/ui/campaign ui/pips/effect_tech.tga"	8005
"repression_tech_homeregion"	"data/ui/campaign ui/pips/effect_tech.tga"	8004
"research_points"	"data/ui/campaign ui/pips/effect_tech.tga"	7004
"research_points_enlightenment"	"data/ui/campaign ui/pips/effect_tech.tga"	7003
"research_points_industry"	"data/ui/campaign ui/pips/effect_tech.tga"	7002
"research_points_military"	"data/ui/campaign ui/pips/effect_tech.tga"	7001
"research_rate_mod"	"data/ui/campaign ui/pips/effect_tech.tga"	7000
"research_rate_mod_army_tech"	"data/ui/campaign ui/pips/effect_tech.tga"	7000
"research_rate_mod_navy_tech"	"data/ui/campaign ui/pips/effect_tech.tga"	7000
"resource_prod_cattle"	"data/ui/campaign ui/pips/cattle.tga"	0
"resource_prod_corn"	"data/ui/campaign ui/pips/corn.tga"	0
"resource_prod_fish"	"data/ui/campaign ui/pips/fish.tga"	0
"resource_prod_gems"	"data/ui/campaign ui/pips/gems.tga"	0
"resource_prod_gold"	"data/ui/campaign ui/pips/gold.tga"	0
"resource_prod_iron"	"data/ui/campaign ui/pips/iron.tga"	0
"resource_prod_rice"	"data/ui/campaign ui/pips/rice.tga"	0
"resource_prod_sheep"	"data/ui/campaign ui/pips/sheep.tga"	0
"resource_prod_silver"	"data/ui/campaign ui/pips/silver.tga"	0
"resource_prod_timber"	"data/ui/campaign ui/pips/timber.tga"	0
"resource_prod_wheat"	"data/ui/campaign ui/pips/wheat.tga"	0
"resource_prod_wine"	"data/ui/campaign ui/pips/wine.tga"	0
"small_city_fortifications"	"data/ui/campaign ui/pips/effect_army.tga"	1
"subterfuge_assassination"	nil	1
"subterfuge_counterspying"	nil	3
"subterfuge_sabotage"	nil	4
"subterfuge_spying"	nil	2
"tax_bonus_building"	"data/ui/campaign ui/pips/effect_economy.tga"	8003
"tax_bonus_governor"	"data/ui/campaign ui/pips/effect_economy.tga"	8002
"tax_bonus_minister"	"data/ui/campaign ui/pips/effect_economy.tga"	8002
"trade_route_all_mod_growth_rate"	"data/ui/campaign ui/pips/effect_economy.tga"	6002
"trade_routes_mod_max_land"	"data/ui/campaign ui/pips/effect_economy.tga"	6001
"trade_routes_mod_max_sea"	"data/ui/campaign ui/pips/effect_economy.tga"	6000
"tw_growth_education"	"data/ui/campaign ui/pips/effect_economy.tga"	903
"tw_growth_government"	"data/ui/campaign ui/pips/effect_economy.tga"	901
"tw_growth_industry"	"data/ui/campaign ui/pips/effect_economy.tga"	905
"tw_growth_ministers_home_theatre"	"data/ui/campaign ui/pips/effect_economy.tga"	900
"tw_growth_mod_all"	"data/ui/campaign ui/pips/effect_economy.tga"	925
"tw_growth_mod_metals"	"data/ui/campaign ui/pips/effect_economy.tga"	907
"tw_growth_mod_port_trade"	"data/ui/campaign ui/pips/effect_economy.tga"	906
"tw_growth_mod_textiles"	"data/ui/campaign ui/pips/effect_economy.tga"	908
"tw_growth_port"	"data/ui/campaign ui/pips/effect_economy.tga"	904
"tw_growth_roads"	"data/ui/campaign ui/pips/effect_economy.tga"	902
"tw_growth_taxes_fixed"	"data/ui/campaign ui/pips/effect_economy.tga"	8001
"tw_growth_taxes_modifier"	"data/ui/campaign ui/pips/effect_economy.tga"	8000
"tw_growth_technologies_fixed"	"data/ui/campaign ui/pips/effect_economy.tga"	924
"upkeep_cost_mod_category_artillery"	"data/ui/campaign ui/pips/effect_army.tga"	3009
"upkeep_cost_mod_category_cavalry"	"data/ui/campaign ui/pips/effect_army.tga"	3010
"upkeep_cost_mod_category_dragoons"	"data/ui/campaign ui/pips/effect_army.tga"	3008
"upkeep_cost_mod_category_elephants"	"data/ui/campaign ui/pips/effect_army.tga"	3005
"upkeep_cost_mod_category_infantry"	"data/ui/campaign ui/pips/effect_army.tga"	3011
"upkeep_cost_mod_category_naval_auxiliary"	"data/ui/campaign ui/pips/effect_navy.tga"	3004
"upkeep_cost_mod_category_naval_frigate"	"data/ui/campaign ui/pips/effect_navy.tga"	3007
"upkeep_cost_mod_category_naval_galley"	"data/ui/campaign ui/pips/effect_navy.tga"	3003
"upkeep_cost_mod_category_naval_line_of_battle"	"data/ui/campaign ui/pips/effect_navy.tga"	3002
"upkeep_cost_mod_category_naval_merchant"	"data/ui/campaign ui/pips/effect_navy.tga"	3001
"upkeep_cost_mod_category_naval_specialist"	"data/ui/campaign ui/pips/effect_navy.tga"	3006
"upkeep_cost_mod_land_all"	"data/ui/campaign ui/pips/effect_army.tga"	3013
"upkeep_cost_mod_naval_all"	"data/ui/campaign ui/pips/effect_navy.tga"	3012
"Xcommodity_price_mod"	"data/ui/campaign ui/pips/effect_economy.tga"	0
"Xgdp_building"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	0
"Xpop_growth_buildings"	"data/ui/campaign ui/pips/effect_pop_growth.tga"	0
"Xtax_cap"	"data/ui/campaign ui/pips/effect_economy.tga"	0
"Xtw_growth"	"data/ui/campaign ui/pips/effect_economy.tga"	0
"zeal_america"	nil	111
"zeal_europe"	nil	112
"zeal_india"	nil	113
"agent_cap_scout"	"data/ui/campaign ui/pips/effect_characters.tga"	115
"agent_cap_shaman"	"data/ui/campaign ui/pips/effect_characters.tga"	116
"agent_spawn_rate_scout"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"agent_spawn_rate_shaman"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"conversion_resistance_against_non_state_religion"	"data/ui/campaign ui/pips/effect_zeal.tga"	610
"enable_cold_resistance"	"data/ui/campaign ui/pips/effect_army.tga"	2
"enable_sniping_for_all"	"data/ui/campaign ui/pips/effect_army.tga"	2
"gdp_mod_fisheries"	"data/ui/campaign ui/pips/effect_economy.tga"	921
"mod_commodity_fur_production"	"data/ui/campaign ui/pips/effect_economy.tga"	408
"mod_generals_line_of_sight"	"data/ui/campaign ui/pips/effect_tech.tga"	1
"mod_marksmanship_all"	"data/ui/campaign ui/pips/effect_army.tga"	2
"native_gunpowder_cost_mod"	"data/ui/campaign ui/pips/effect_tech.tga"	2013
"reveal_los_army_and_settlement_contents"	"data/ui/campaign ui/pips/effect_tech.tga"	1
