version 1, schema building_culture_variants_tables
Building_IDRef(string)	Culture(string)	Battle_Model(optstring)	Campaign_Map_Model(optstring)	Campaign_Map_Model_2(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"corn_great_royal_palace"	"european"	nil	"EU_resource_farm_lvl5_corn"	nil	"sheep_great_royal_palace_european"	"EU_resource_farm_lvl5"
"corn_great_royal_palace"	"indian"	nil	"IND_resource_farm_lvl5_corn"	nil	"sheep_great_royal_palace_european"	"IND_resource_farm_lvl5"
"corn_great_royal_palace"	"middle_east"	nil	"Ott_resource_farm_lvl5_corn"	nil	"sheep_great_royal_palace_european"	"OTT_resource_farm_lvl5"
"corn_peasant_farms"	"european"	nil	nil	"EU_resource_farm_lvl1_corn"	"sheep_peasant_farms_european"	"EU_resource_farm_lvl1_corn"
"corn_peasant_farms"	"indian"	nil	nil	"IND_resource_farm_lvl1_corn"	"sheep_peasant_farms_european"	"IND_resource_farm_lvl1_corn"
"corn_peasant_farms"	"middle_east"	nil	nil	"Ott_resource_farm_lvl1_corn"	"sheep_peasant_farms_european"	"OTT_resource_farm_lvl1_wheat"
"corn_tenanted_farms"	"european"	nil	nil	"EU_resource_farm_lvl2_corn"	"sheep_tenanted_farms_european"	"EU_resource_farm_lvl2_corn"
"corn_tenanted_farms"	"indian"	nil	nil	"IND_resource_farm_lvl2_corn"	"sheep_tenanted_farms_european"	"IND_resource_farm_lvl2_corn"
"corn_tenanted_farms"	"middle_east"	nil	nil	"Ott_resource_farm_lvl2_corn"	"sheep_tenanted_farms_european"	"OTT_resource_farm_lvl2_wheat"
"cotton_warehouse"	"european"	nil	"EU_resource_plantation_cotton_lvl3"	nil	"coffee_warehouse_european"	"EU_resource_plantation_cotton_lvl3"
"cotton_warehouse"	"indian"	nil	"IND_resource_plantation_cotton_lvl3"	nil	"coffee_warehouse_european"	"IND_resource_plantation_cotton_lvl3"
"cotton_warehouse"	"middle_east"	nil	"OTT_resource_plantation_cotton_lvl3"	nil	"coffee_warehouse_european"	"OTT_resource_plantation_cotton_lvl3"
"craft_workshops_metal"	"european"	nil	"eu_town_ind_lvl1_metalworks"	nil	"craft_workshops_european"	"EU_town_ind_lvl1_metalworks"
"craft_workshops_metal"	"indian"	nil	"IND_town_ind_lvl1_metalworks"	nil	"craft_workshops_european"	"IND_town_ind_lvl1_metalworks"
"craft_workshops_metal"	"middle_east"	nil	"OTT_town_ind_lvl1_metalworks"	nil	"craft_workshops_european"	"OTT_town_ind_lvl1_metalworks"
"craft_workshops_metal"	"tribal"	nil	"NA_town_craft_lvl01"	nil	"craft_workshops_european"	"NA_town_craft_lvl01"
"craft_workshops_pottery"	"european"	nil	"eu_town_ind_lvl1_pottery"	nil	"craft_workshops_european"	"EU_town_ind_lvl1_pottery"
"craft_workshops_pottery"	"indian"	nil	"IND_town_ind_lvl1_pottery"	nil	"craft_workshops_european"	"IND_town_ind_lvl1_pottery"
"craft_workshops_pottery"	"middle_east"	nil	"OTT_town_ind_lvl1_pottery"	nil	"craft_workshops_european"	"OTT_town_ind_lvl1_pottery"
"craft_workshops_pottery"	"tribal"	nil	"NA_town_craft_lvl01"	nil	"craft_workshops_european"	"NA_town_craft_lvl01"
"craft_workshops_textiles"	"european"	nil	"eu_town_ind_lvl1_weavers"	nil	"craft_workshops_european"	"EU_town_ind_lvl1_weavers"
"craft_workshops_textiles"	"indian"	nil	"IND_town_ind_lvl1_weavers"	nil	"craft_workshops_european"	"IND_town_ind_lvl1_weavers"
"craft_workshops_textiles"	"middle_east"	nil	"OTT_town_ind_lvl1_weavers"	nil	"craft_workshops_european"	"OTT_town_ind_lvl1_weavers"
"craft_workshops_textiles"	"tribal"	nil	"NA_town_craft_lvl01"	nil	"craft_workshops_european"	"NA_town_craft_lvl01"
"deep_gem_shaft"	"european"	nil	nil	"EU_resource_mining_gems_lvl2_blend"	"deep_gem_shaft_european"	"EU_resource_mining_gems_lvl2"
"deep_gem_shaft"	"indian"	nil	nil	"IND_resource_mining_gems_lvl2"	"deep_gem_shaft_european"	"IND_resource_mining_gems_lvl2"
"deep_gem_shaft"	"middle_east"	nil	nil	"ott_resource_mining_gems_lvl2_blend"	"deep_gem_shaft_european"	"OTT_resource_mining_gems_lvl2"
"dockyard"	"european"	nil	"EU_port_military_lvl2"	nil	"dockyard_european"	"EU_port_military_lvl2"
"dockyard"	"indian"	nil	"IND_port_military_lvl2"	nil	"dockyard_european"	"IND_port_military_lvl2"
"dockyard"	"middle_east"	nil	"OTT_port_military_lvl2"	nil	"dockyard_european"	"OTT_port_military_lvl2"
"drill_school"	"european"	nil	"EU_town_military_lvl4"	nil	"drill_school_european"	"EU_town_military_lvl4"
"drill_school"	"indian"	nil	"IND_town_military_lvl4"	nil	"drill_school_european"	"IND_town_military_lvl4"
"drill_school"	"middle_east"	nil	"OTT_town_military_lvl4"	nil	"drill_school_european"	"OTT_town_military_lvl4"
"drydock"	"european"	nil	"EU_port_military_lvl3"	nil	"drydock_european"	"EU_port_military_lvl3"
"drydock"	"indian"	nil	"IND_port_military_lvl3"	nil	"drydock_european"	"IND_port_military_lvl3"
"drydock"	"middle_east"	nil	"OTT_port_military_lvl3"	nil	"drydock_european"	"OTT_port_military_lvl3"
"engineer_school"	"european"	nil	"EU_city_artillery_lvl6"	nil	"engineer_school_european"	"EU_city_artillery_lvl6"
"engineer_school"	"indian"	nil	"IND_city_artillery_lvl6"	nil	"engineer_school_european"	"IND_city_artillery_lvl6"
"engineer_school"	"middle_east"	nil	"OTT_city_artillery_lvl6"	nil	"engineer_school_european"	"OTT_city_artillery_lvl6"
"enlightened_university"	"european"	nil	"EU_town_education_lvl4_secular"	nil	"modern_university_european"	"EU_town_education_lvl4_secular"
"enlightened_university"	"indian"	nil	"IND_town_education_lvl4_secular"	nil	"modern_university_european"	"IND_town_education_lvl4_secular"
"enlightened_university"	"middle_east"	nil	"OTT_town_education_lvl4_secular"	nil	"modern_university_european"	"OTT_town_education_lvl4_secular"
"fishing_fleet"	"european"	nil	"EU_port_fishing_lvl2"	nil	"fishing_fleet_european"	"EU_port_fishing_lvl2"
"fishing_fleet"	"indian"	nil	"IND_port_fishing_lvl2"	nil	"fishing_fleet_european"	"IND_port_fishing_lvl2"
"fishing_fleet"	"middle_east"	nil	"OTT_port_fishing_lvl2"	nil	"fishing_fleet_european"	"OTT_port_fishing_lvl2"
"fishing_fleet"	"tribal"	nil	"NA_resource_fishery_lvl02"	nil	"fishing_fleet_tribal"	"NA_resource_fishery_lvl02"
"fur_exchange"	"european"	nil	"EU_resource_furtrader_lvl3"	nil	"fur_exchange_european"	"EU_resource_furtrader_lvl3"
"fur_exchange"	"indian"	nil	"IND_resource_furtrader_lvl3"	nil	"fur_exchange_european"	"IND_resource_furtrader_lvl3"
"fur_exchange"	"middle_east"	nil	"OTT_resource_furtrader_lvl3"	nil	"fur_exchange_european"	"OTT_resource_furtrader_lvl3"
"fur_market"	"european"	nil	"EU_resource_furtrader_lvl2"	nil	"fur_market_european"	"EU_resource_furtrader_lvl2"
"fur_market"	"indian"	nil	"IND_resource_furtrader_lvl2"	nil	"fur_market_european"	"IND_resource_furtrader_lvl2"
"fur_market"	"middle_east"	nil	"OTT_resource_furtrader_lvl2"	nil	"fur_market_european"	"OTT_resource_furtrader_lvl2"
"fur_market"	"tribal"	nil	"NA_resource_tpost_lvl02"	nil	"fur_market_tribal"	"NA_resource_tpost_lvl02"
"fur_merchant"	"european"	nil	"EU_resource_furtrader_lvl1"	nil	"fur_merchant_european"	"EU_resource_furtrader_lvl1"
"fur_merchant"	"indian"	nil	"IND_resource_furtrader_lvl1"	nil	"fur_merchant_european"	"IND_resource_furtrader_lvl1"
"fur_merchant"	"middle_east"	nil	"OTT_resource_furtrader_lvl1"	nil	"fur_merchant_european"	"OTT_resource_furtrader_lvl1"
"fur_merchant"	"tribal"	nil	"NA_resource_tpost_lvl01"	nil	"fur_merchant_tribal"	"NA_resource_tpost_lvl01"
"gold_mine"	"european"	nil	nil	"all_resource_mining_gold_lvl1_blend"	"gold_mine_european"	"ALL_resource_mining_gold_lvl1"
"gold_mine"	"indian"	nil	nil	"all_resource_mining_gold_lvl1_blend"	"gold_mine_european"	"ALL_resource_mining_gold_lvl1"
"gold_mine"	"middle_east"	nil	nil	"all_resource_mining_gold_lvl1_blend"	"gold_mine_european"	"ALL_resource_mining_gold_lvl1"
"gold_mine"	"tribal"	nil	"NA_city_pitmine_lvl1_gold_blend"	nil	"gold_mine_tribal"	"NA_city_pitmine_lvl1_gold"
"governors_residence"	"european"	nil	"EU_city_government_lvl2"	nil	"governors_residence_european"	"EU_city_government_lvl2"
"governors_residence"	"indian"	nil	"IND_city_government_lvl2"	nil	"governors_residence_european"	"IND_city_government_lvl2"
"governors_residence"	"middle_east"	nil	"OTT_city_government_lvl2"	nil	"governors_residence_european"	"OTT_city_government_lvl2"
"grand_opera_house"	"european"	nil	"EU_city_culture_lvl3_operahouse"	nil	"grand_opera_house_european"	"EU_city_culture_lvl3_operahouse"
"grand_opera_house"	"indian"	nil	"IND_city_culture_lvl3_garden"	nil	"grand_opera_house_indian"	"IND_city_culture_lvl3_garden"
"grand_opera_house"	"middle_east"	nil	"OTT_city_culture_lvl3_garden"	nil	"grand_opera_house_middle_east"	"OTT_city_culture_lvl3_garden"
"great_arsenal"	"european"	nil	"EU_city_artillery_lvl3"	nil	"great_arsenal_european"	"EU_city_artillery_lvl3"
"great_arsenal"	"indian"	nil	"IND_city_artillery_lvl3"	nil	"great_arsenal_european"	"IND_city_artillery_lvl3"
"great_arsenal"	"middle_east"	nil	"OTT_city_artillery_lvl3"	nil	"great_arsenal_european"	"OTT_city_artillery_lvl3"
"great_museum"	"european"	nil	"EU_city_culture_lvl4_museum"	nil	"great_museum_european"	"EU_city_culture_lvl4_museum"
"great_museum"	"indian"	nil	"IND_city_culture_lvl4_museum"	nil	"great_museum_european"	"IND_city_culture_lvl4_museum"
"great_museum"	"middle_east"	nil	"OTT_city_culture_lvl4_museum"	nil	"great_museum_european"	"OTT_city_culture_lvl4_museum"
"gunnery_school"	"european"	nil	"EU_city_artillery_lvl4"	nil	"gunnery_school_european"	"EU_city_artillery_lvl4"
"gunnery_school"	"indian"	nil	"IND_city_artillery_lvl4"	nil	"gunnery_school_european"	"IND_city_artillery_lvl4"
"gunnery_school"	"middle_east"	nil	"OTT_city_artillery_lvl4"	nil	"gunnery_school_european"	"OTT_city_artillery_lvl4"
"improved_roads"	"european"	nil	"EU_building_placeholder"	nil	"roads_cobbled"	"roads_cobbled_roads"
"improved_roads"	"indian"	nil	"EU_building_placeholder"	nil	"roads_cobbled"	"roads_cobbled_roads"
"improved_roads"	"middle_east"	nil	"EU_building_placeholder"	nil	"roads_cobbled"	"roads_cobbled_roads"
"improved_settlement_fortifications"	"european"	"fort_star"	"EU_building_placeholder"	nil	"settlement_fortifications_improved"	"EU_walls_2"
"improved_settlement_fortifications"	"indian"	"fort_indian"	"EU_building_placeholder"	nil	"settlement_fortifications_improved"	"IND_walls_2"
"improved_settlement_fortifications"	"middle_east"	"fort_ottoman"	"EU_building_placeholder"	nil	"settlement_fortifications_improved"	"OTT_walls_2"
"industrial_gold_mining_complex"	"european"	nil	nil	"eu_resource_mining_gold_lvl3_blend"	"industrial_gold_mining_complex_european"	"EU_resource_mining_gold_lvl3"
"industrial_gold_mining_complex"	"indian"	nil	nil	"IND_resource_mining_gold_lvl3"	"industrial_gold_mining_complex_european"	"IND_resource_mining_gold_lvl3"
"industrial_gold_mining_complex"	"middle_east"	nil	nil	"ott_resource_mining_gold_lvl3_blend"	"industrial_gold_mining_complex_european"	"OTT_resource_mining_gold_lvl3"
"industrial_iron_mining_complex"	"european"	nil	nil	"eu_resource_mining_iron_lvl3_blend"	"industrial_gold_mining_complex_european"	"EU_resource_mining_iron_lvl3"
"industrial_iron_mining_complex"	"indian"	nil	nil	"IND_resource_mining_iron_lvl3"	"industrial_gold_mining_complex_european"	"IND_resource_mining_iron_lvl3"
"industrial_iron_mining_complex"	"middle_east"	nil	nil	"ott_resource_mining_iron_lvl3_blend"	"industrial_gold_mining_complex_european"	"OTT_resource_mining_iron_lvl3"
"industrial_silver_mining_complex"	"european"	nil	nil	"eu_resource_mining_silver_lvl3_blend"	"industrial_gold_mining_complex_european"	"EU_resource_mining_silver_lvl3"
"industrial_silver_mining_complex"	"indian"	nil	nil	"IND_resource_mining_silver_lvl3"	"industrial_gold_mining_complex_european"	"IND_resource_mining_silver_lvl3"
"industrial_silver_mining_complex"	"middle_east"	nil	nil	"ott_resource_mining_silver_lvl3_blend"	"industrial_gold_mining_complex_european"	"OTT_resource_mining_silver_lvl3"
"iron_mine"	"european"	nil	nil	"all_resource_mining_iron_lvl1_blend"	"gold_mine_european"	"ALL_resource_mining_iron_lvl1"
"iron_mine"	"indian"	nil	nil	"all_resource_mining_iron_lvl1_blend"	"gold_mine_european"	"ALL_resource_mining_iron_lvl1"
"iron_mine"	"middle_east"	nil	nil	"all_resource_mining_iron_lvl1_blend"	"gold_mine_european"	"ALL_resource_mining_iron_lvl1"
"iron_mine"	"tribal"	nil	"NA_city_pitmine_lvl1_iron_blend"	nil	"iron_mine_tribal"	"NA_city_pitmine_lvl1_iron"
"iron_workshops"	"european"	nil	"EU_town_ind_lvl2_metalworks"	nil	"iron_workshops_european"	"EU_town_ind_lvl2_metalworks"
"iron_workshops"	"indian"	nil	"IND_town_ind_lvl2_metalworks"	nil	"iron_workshops_european"	"IND_town_ind_lvl2_metalworks"
"iron_workshops"	"middle_east"	nil	"OTT_town_ind_lvl2_metalworks"	nil	"iron_workshops_european"	"OTT_town_ind_lvl2_metalworks"
"iron_workshops"	"tribal"	nil	"NA_town_craft_lvl02smithy"	nil	"iron_workshops_tribal"	"NA_town_craft_lvl02smithy"
"ironmasters_works"	"european"	nil	"EU_town_ind_lvl3_metalworks"	nil	"ironmasters_works_european"	"EU_town_ind_lvl3_metalworks"
"ironmasters_works"	"indian"	nil	"IND_town_ind_lvl3_metalworks"	nil	"ironmasters_works_european"	"IND_town_ind_lvl3_metalworks"
"ironmasters_works"	"middle_east"	nil	"OTT_town_ind_lvl3_metalworks"	nil	"ironmasters_works_european"	"OTT_town_ind_lvl3_metalworks"
"kilns"	"european"	nil	"EU_town_ind_lvl3_pottery"	nil	"kilns_european"	"EU_town_ind_lvl3_pottery"
"kilns"	"indian"	nil	"IND_town_ind_lvl3_pottery"	nil	"kilns_european"	"IND_town_ind_lvl3_pottery"
"kilns"	"middle_east"	nil	"OTT_town_ind_lvl3_pottery"	nil	"kilns_european"	"OTT_town_ind_lvl3_pottery"
"large_coffee_plantation"	"european"	nil	"EU_resource_plantation_coffee_lvl2"	nil	"large_coffee_plantation_european"	"EU_resource_plantation_coffee_lvl2"
"large_coffee_plantation"	"indian"	nil	"IND_resource_plantation_coffee_lvl2"	nil	"large_coffee_plantation_european"	"IND_resource_plantation_coffee_lvl2"
"large_coffee_plantation"	"middle_east"	nil	"OTT_resource_plantation_coffee_lvl2"	nil	"large_coffee_plantation_european"	"OTT_resource_plantation_coffee_lvl2"
"large_cotton_plantation"	"european"	nil	"EU_resource_plantation_cotton_lvl2"	nil	"large_coffee_plantation_european"	"EU_resource_plantation_cotton_lvl2"
"large_cotton_plantation"	"indian"	nil	"IND_resource_plantation_cotton_lvl2"	nil	"large_coffee_plantation_european"	"IND_resource_plantation_cotton_lvl2"
"large_cotton_plantation"	"middle_east"	nil	"OTT_resource_plantation_cotton_lvl2"	nil	"large_coffee_plantation_european"	"OTT_resource_plantation_cotton_lvl2"
"large_spices_plantation"	"european"	nil	"EU_resource_plantation_spices_lvl2"	nil	"large_coffee_plantation_european"	"EU_resource_plantation_spices_lvl2"
"large_spices_plantation"	"indian"	nil	"IND_resource_plantation_spices_lvl2"	nil	"large_coffee_plantation_european"	"IND_resource_plantation_spices_lvl2"
"large_spices_plantation"	"middle_east"	nil	"OTT_resource_plantation_spices_lvl2"	nil	"large_coffee_plantation_european"	"OTT_resource_plantation_spices_lvl2"
"large_sugar_plantation"	"european"	nil	"EU_resource_plantation_sugar_lvl2"	nil	"large_coffee_plantation_european"	"EU_resource_plantation_sugar_lvl2"
"large_sugar_plantation"	"indian"	nil	"IND_resource_plantation_sugar_lvl2"	nil	"large_coffee_plantation_european"	"IND_resource_plantation_sugar_lvl2"
"large_sugar_plantation"	"middle_east"	nil	"OTT_resource_plantation_sugar_lvl2"	nil	"large_coffee_plantation_european"	"OTT_resource_plantation_sugar_lvl2"
"large_tea_plantation"	"european"	nil	"EU_resource_plantation_tea_lvl2"	nil	"large_coffee_plantation_european"	"EU_resource_plantation_tea_lvl2"
"large_tea_plantation"	"indian"	nil	"IND_resource_plantation_tea_lvl2"	nil	"large_coffee_plantation_european"	"IND_resource_plantation_tea_lvl2"
"large_tea_plantation"	"middle_east"	nil	"OTT_resource_plantation_tea_lvl2"	nil	"large_coffee_plantation_european"	"OTT_resource_plantation_tea_lvl2"
"large_tobacco_plantation"	"european"	nil	"EU_resource_plantation_tobacco_lvl2"	nil	"large_coffee_plantation_european"	"EU_resource_plantation_tobacco_lvl2"
"large_tobacco_plantation"	"indian"	nil	"IND_resource_plantation_tobacco_lvl2"	nil	"large_coffee_plantation_european"	"IND_resource_plantation_tobacco_lvl2"
"large_tobacco_plantation"	"middle_east"	nil	"OTT_resource_plantation_tobacco_lvl2"	nil	"large_coffee_plantation_european"	"OTT_resource_plantation_tobacco_lvl2"
"local_fishery"	"european"	nil	"EU_port_fishing_lvl1"	nil	"local_fishery_european"	"EU_port_fishing_lvl1"
"local_fishery"	"indian"	nil	"IND_port_fishing_lvl1"	nil	"local_fishery_european"	"IND_port_fishing_lvl1"
"local_fishery"	"middle_east"	nil	"OTT_port_fishing_lvl1"	nil	"local_fishery_european"	"OTT_port_fishing_lvl1"
"local_fishery"	"tribal"	nil	"NA_resource_fishery_lvl01"	nil	"local_fishery_tribal"	"NA_resource_fishery_lvl01"
"magistrate"	"european"	nil	"EU_city_government_lvl1"	nil	"magistrate_european"	"EU_city_government_lvl1"
"magistrate"	"indian"	nil	"IND_city_government_lvl1"	nil	"magistrate_indian"	"IND_city_government_lvl1"
"magistrate"	"middle_east"	nil	"OTT_city_government_lvl1"	nil	"magistrate_european"	"OTT_city_government_lvl1"
"major_fishery"	"european"	nil	"EU_port_fishing_lvl3"	nil	"major_fishery_european"	"EU_port_fishing_lvl3"
"major_fishery"	"indian"	nil	"IND_port_fishing_lvl3"	nil	"major_fishery_european"	"IND_port_fishing_lvl3"
"major_fishery"	"middle_east"	nil	"OTT_port_fishing_lvl3"	nil	"major_fishery_european"	"OTT_port_fishing_lvl3"
"military_academy"	"european"	nil	"EU_town_military_lvl5_barracks"	nil	"military_academy_european"	"EU_town_military_lvl5_barracks"
"military_academy"	"indian"	nil	"IND_town_military_lvl5_barracks"	nil	"military_academy_european"	"IND_town_military_lvl5_barracks"
"military_academy"	"middle_east"	nil	"OTT_town_military_lvl5_barracks"	nil	"military_academy_european"	"OTT_town_military_lvl5_barracks"
"minor_governors_barracks"	"european"	nil	"EU_city_military_lvl4"	nil	"barracks_european"	"EU_city_military_lvl4"
"minor_governors_barracks"	"indian"	nil	"IND_city_military_lvl4"	nil	"barracks_indian"	"IND_city_military_lvl4"
"minor_governors_barracks"	"middle_east"	nil	"OTT_city_military_lvl4"	nil	"barracks_middle_east"	"OTT_city_military_lvl4"
"minor_governors_encampment"	"european"	nil	"EU_city_military_lvl3"	nil	"army_encampment_european"	"EU_city_military_lvl3"
"minor_governors_encampment"	"indian"	nil	"IND_city_military_lvl3"	nil	"army_encampment_indian"	"IND_city_military_lvl3"
"minor_governors_encampment"	"middle_east"	nil	"OTT_city_military_lvl3"	nil	"army_encampment_indian"	"OTT_city_military_lvl3"
"minor_governors_residence"	"european"	nil	"EU_city_government_lvl2"	nil	"governors_residence_european"	"EU_city_government_lvl2"
"minor_governors_residence"	"indian"	nil	"IND_city_government_lvl2"	nil	"governors_residence_european"	"IND_city_government_lvl2"
"minor_governors_residence"	"middle_east"	nil	"OTT_city_government_lvl2"	nil	"governors_residence_european"	"OTT_city_government_lvl2"
"minor_magistrate"	"european"	nil	"EU_city_government_lvl1"	nil	"magistrate_european"	"EU_city_government_lvl1"
"minor_magistrate"	"indian"	nil	"IND_city_government_lvl1"	nil	"magistrate_indian"	"IND_city_government_lvl1"
"minor_magistrate"	"middle_east"	nil	"OTT_city_government_lvl1"	nil	"magistrate_european"	"OTT_city_government_lvl1"
"naval_board"	"european"	nil	"EU_city_naval_lvl2"	nil	"naval_board_european"	"EU_city_naval_lvl2"
"naval_board"	"indian"	nil	"IND_city_naval_lvl2"	nil	"naval_board_european"	"IND_city_naval_lvl2"
"naval_board"	"middle_east"	nil	"OTT_city_naval_lvl2"	nil	"naval_board_european"	"OTT_city_naval_lvl2"
"naval_college"	"european"	nil	"EU_city_naval_lvl3"	nil	"naval_college_european"	"EU_city_naval_lvl3"
"naval_college"	"indian"	nil	"IND_city_naval_lvl3"	nil	"naval_college_european"	"IND_city_naval_lvl3"
