version 2, schema battle_type_setup_limits_tables, guid 190633c8-c62f-4676-b04a-c778625db778
Battle_Type_IDRef(string)	Unit_Type(string)	Unit_Size(string)	Unit_Availability(string)	unknown1(int)	unknown2(int)	unknown3(int)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)
"classic"	"balanced"	"large"	"middle"	13	4	3	0	0	0	87	0
"classic"	"balanced"	"medium"	"early"	20	20	20	0	0	0	26	0
"classic"	"balanced"	"medium"	"late"	20	20	20	0	0	0	89	0
"classic"	"balanced"	"medium"	"middle"	9	3	2	0	0	0	85	0
"classic"	"balanced"	"small"	"early"	3	2	2	0	0	0	25	0
"classic"	"balanced"	"small"	"late"	3	2	2	0	0	0	88	0
"classic"	"balanced"	"small"	"middle"	3	2	2	0	0	0	84	0
"classic"	"cavalry_heavy"	"large"	"early"	8	10	2	0	0	0	24	0
"classic"	"cavalry_heavy"	"large"	"late"	8	10	2	0	0	0	83	0
"classic"	"cavalry_heavy"	"large"	"middle"	5	12	3	0	0	0	80	0
"classic"	"cavalry_heavy"	"medium"	"early"	5	7	2	0	0	0	23	0
"classic"	"cavalry_heavy"	"medium"	"late"	4	8	2	0	0	0	82	0
"classic"	"cavalry_heavy"	"medium"	"middle"	4	8	2	0	0	0	79	0
"classic"	"cavalry_heavy"	"small"	"early"	2	4	1	0	0	0	22	0
"classic"	"cavalry_heavy"	"small"	"late"	2	4	1	0	0	0	81	0
"classic"	"cavalry_heavy"	"small"	"middle"	2	4	1	0	0	0	78	0
"classic"	"infantry_heavy"	"large"	"early"	15	3	2	0	0	0	5	0
"classic"	"infantry_heavy"	"large"	"late"	15	3	2	0	0	0	70	0
"classic"	"infantry_heavy"	"large"	"middle"	12	5	3	0	0	0	67	0
"classic"	"infantry_heavy"	"medium"	"early"	10	2	2	0	0	0	1	0
"classic"	"infantry_heavy"	"medium"	"late"	10	2	2	0	0	0	69	0
"classic"	"infantry_heavy"	"medium"	"middle"	8	4	2	0	0	0	66	0
"classic"	"infantry_heavy"	"small"	"early"	4	2	1	0	0	0	3	0
"classic"	"infantry_heavy"	"small"	"late"	4	2	1	0	0	0	68	0
"classic"	"infantry_heavy"	"small"	"middle"	4	2	1	0	0	0	65	0
"naval"	"artillery_heavy"	"large"	"early"	9	6	5	0	0	0	126	0
"naval"	"artillery_heavy"	"large"	"late"	9	6	5	0	0	0	132	0
"naval"	"artillery_heavy"	"large"	"middle"	9	6	5	0	0	0	129	0
"naval"	"artillery_heavy"	"medium"	"early"	8	3	3	0	0	0	125	0
"naval"	"artillery_heavy"	"medium"	"late"	8	3	3	0	0	0	131	0
"naval"	"artillery_heavy"	"medium"	"middle"	8	3	3	0	0	0	128	0
"naval"	"artillery_heavy"	"small"	"early"	1	3	3	0	0	0	124	0
"naval"	"artillery_heavy"	"small"	"late"	1	2	4	0	0	0	130	0
"naval"	"artillery_heavy"	"small"	"middle"	1	2	4	0	0	0	127	0
"naval"	"balanced"	"large"	"early"	20	20	20	0	0	0	144	0
"naval"	"balanced"	"large"	"late"	20	20	20	0	0	0	150	0
"naval"	"balanced"	"large"	"middle"	7	7	6	0	0	0	147	0
"naval"	"balanced"	"medium"	"early"	20	20	20	0	0	0	143	0
"naval"	"balanced"	"medium"	"late"	20	20	20	0	0	0	149	0
"naval"	"balanced"	"medium"	"middle"	5	5	4	0	0	0	146	0
"naval"	"balanced"	"small"	"early"	1	0	9	0	0	0	142	0
"naval"	"balanced"	"small"	"late"	2	0	8	0	0	0	148	0
"naval"	"balanced"	"small"	"middle"	3	2	2	0	0	0	145	0
"naval"	"cavalry_heavy"	"large"	"early"	8	10	2	0	0	0	135	0
"naval"	"cavalry_heavy"	"large"	"late"	8	10	2	0	0	0	141	0
"naval"	"cavalry_heavy"	"large"	"middle"	5	12	3	0	0	0	138	0
"naval"	"cavalry_heavy"	"medium"	"early"	5	7	2	0	0	0	134	0
"naval"	"cavalry_heavy"	"medium"	"late"	5	7	2	0	0	0	140	0
"naval"	"cavalry_heavy"	"medium"	"middle"	4	8	2	0	0	0	137	0
"naval"	"cavalry_heavy"	"small"	"early"	2	4	1	0	0	0	133	0
"naval"	"cavalry_heavy"	"small"	"late"	2	4	1	0	0	0	139	0
"naval"	"cavalry_heavy"	"small"	"middle"	2	4	1	0	0	0	136	0
"naval"	"infantry_heavy"	"large"	"early"	15	3	2	0	0	0	117	0
"naval"	"infantry_heavy"	"large"	"late"	15	3	2	0	0	0	123	0
"naval"	"infantry_heavy"	"large"	"middle"	12	5	3	0	0	0	120	0
"naval"	"infantry_heavy"	"medium"	"early"	10	2	2	0	0	0	116	0
"naval"	"infantry_heavy"	"medium"	"late"	10	2	2	0	0	0	122	0
"naval"	"infantry_heavy"	"medium"	"middle"	8	4	2	0	0	0	119	0
"naval"	"infantry_heavy"	"small"	"early"	4	2	1	0	0	0	115	0
"naval"	"infantry_heavy"	"small"	"late"	4	2	1	0	0	0	121	0
"naval"	"infantry_heavy"	"small"	"middle"	4	2	1	0	0	0	118	0
"siege"	"artillery_heavy"	"large"	"early"	3	5	12	0	0	0	34	0
"siege"	"artillery_heavy"	"large"	"late"	3	5	12	0	0	0	102	0
"siege"	"artillery_heavy"	"large"	"middle"	3	5	12	0	0	0	99	0
"siege"	"artillery_heavy"	"medium"	"early"	2	4	8	0	0	0	33	0
"siege"	"artillery_heavy"	"medium"	"late"	2	4	8	0	0	0	101	0
"siege"	"artillery_heavy"	"medium"	"middle"	2	4	8	0	0	0	98	0
"siege"	"artillery_heavy"	"small"	"early"	1	2	4	0	0	0	32	0
"siege"	"artillery_heavy"	"small"	"late"	1	2	4	0	0	0	100	0
"siege"	"artillery_heavy"	"small"	"middle"	1	2	4	0	0	0	97	0
"siege"	"balanced"	"large"	"early"	20	20	20	0	0	0	40	0
"siege"	"balanced"	"large"	"late"	20	20	20	0	0	0	114	0
"siege"	"balanced"	"large"	"middle"	7	7	6	0	0	0	111	0
"siege"	"balanced"	"medium"	"early"	20	20	20	0	0	0	39	0
"siege"	"balanced"	"medium"	"late"	20	20	20	0	0	0	113	0
"siege"	"balanced"	"medium"	"middle"	20	20	20	0	0	0	110	0
"siege"	"balanced"	"small"	"early"	3	2	2	0	0	0	38	0
"siege"	"balanced"	"small"	"late"	3	2	2	0	0	0	112	0
"siege"	"balanced"	"small"	"middle"	3	2	2	0	0	0	109	0
"siege"	"cavalry_heavy"	"large"	"early"	5	12	3	0	0	0	37	0
"siege"	"cavalry_heavy"	"large"	"late"	5	12	3	0	0	0	108	0
"siege"	"cavalry_heavy"	"large"	"middle"	5	12	3	0	0	0	105	0
"siege"	"cavalry_heavy"	"medium"	"early"	4	8	2	0	0	0	36	0
"siege"	"cavalry_heavy"	"medium"	"late"	4	8	2	0	0	0	107	0
"siege"	"cavalry_heavy"	"medium"	"middle"	4	8	2	0	0	0	104	0
"siege"	"cavalry_heavy"	"small"	"early"	2	4	1	0	0	0	35	0
"siege"	"cavalry_heavy"	"small"	"late"	2	4	1	0	0	0	106	0
"siege"	"cavalry_heavy"	"small"	"middle"	2	4	1	0	0	0	103	0
"siege"	"infantry_heavy"	"large"	"early"	12	5	3	0	0	0	31	0
"siege"	"infantry_heavy"	"large"	"late"	12	5	3	0	0	0	96	0
"siege"	"infantry_heavy"	"large"	"middle"	12	5	3	0	0	0	93	0
"siege"	"infantry_heavy"	"medium"	"early"	8	4	2	0	0	0	30	0
"siege"	"infantry_heavy"	"medium"	"late"	8	4	2	0	0	0	95	0
"siege"	"infantry_heavy"	"medium"	"middle"	8	4	2	0	0	0	92	0
"siege"	"infantry_heavy"	"small"	"early"	4	2	1	0	0	0	29	0
"siege"	"infantry_heavy"	"small"	"late"	4	2	1	0	0	0	94	0
"siege"	"infantry_heavy"	"small"	"middle"	4	2	1	0	0	0	91	0
