version 1, schema campaign_ai_manager_behaviour_junctions_tables, guid 6fdb0b60-535c-4194-81ea-304807f1dcec
Manager_IDRef(string)	Behavior(string)	Magnitude(float)
"sho_minor_full"	"CULL_EXCESS_FORCES"	250
"sho_minor_full"	"DIPLOMACY_MANAGER"	0
"sho_minor_full"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"sho_minor_full"	"EXPANSION_BEHAVIOUR"	3000
"sho_minor_full"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"sho_minor_full"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"sho_minor_full"	"HELP_ALLY_AT_WAR"	500
"sho_minor_full"	"MANAGE_AGENTS_BEHAVIOUR"	5000
"sho_minor_full"	"MARRIAGE_BEHAVIOUR"	1000
"sho_minor_full"	"MERGE_UNITS"	5000
"sho_minor_full"	"MINIMUM_SAVING"	200
"sho_minor_full"	"NAVY_ATTACK_BEHAVIOUR"	2000
"sho_minor_full"	"NAVY_AVOID_COASTAL_DEFENCES_BEHAVIOUR"	900
"sho_minor_full"	"NAVY_BOMBARD_BEHAVIOUR"	1500
"sho_minor_full"	"NAVY_DISTRIBUTION"	1250
"sho_minor_full"	"NAVY_RECRUITMENT"	1250
"sho_minor_full"	"NAVY_REPAIR"	900
"sho_minor_full"	"NAVY_STRENGTH_MANAGER"	1750
"sho_minor_full"	"NAVY_TASK_MANAGER"	5000
"sho_minor_full"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"sho_minor_full"	"RAID_BEHAVIOUR"	1000
"sho_minor_full"	"RECALL_BEHAVIOUR"	500
"sho_minor_full"	"RECAPTURE_BEHAVIOUR"	1000
"sho_minor_full"	"RECRUIT_AGENTS_BEHAVIOUR"	5000
"sho_minor_full"	"REGIONAL_DEVELOPMENT"	500
"sho_minor_full"	"REGION_COAST_DEFENCE"	500
"sho_minor_full"	"REGION_DEFENCE"	2000
"sho_minor_full"	"REGION_GROUP_DEFENCE"	1500
"sho_minor_full"	"RESEARCH_TECHNOLOGY"	500
"sho_minor_full"	"TAXATION"	50
"sho_minor_full"	"TRADE_AREA_BEHAVIOUR"	1500
"sho_minor_full"	"TRADE_BEHAVIOUR"	500
"sho_minor_full"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"sho_minor_full"	"UBER_GENERAL_BEHAVIOUR"	4000
"sho_minor_full"	"WAR_AND_PEACE"	1000
"sho_tutorial"	"CHARACTER_POST_ASSIGNMENT_BEHAVIOUR"	750
"sho_tutorial"	"CULL_EXCESS_FORCES"	250
"sho_tutorial"	"DIPLOMACY_MANAGER"	0
"sho_tutorial"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"sho_tutorial"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"sho_tutorial"	"HELP_ALLY_AT_WAR"	500
"sho_tutorial"	"MANAGE_AGENTS_BEHAVIOUR"	5000
"sho_tutorial"	"MERGE_UNITS"	5000
"sho_tutorial"	"MINIMUM_SAVING"	200
"sho_tutorial"	"NAVY_ATTACK_BEHAVIOUR"	2000
"sho_tutorial"	"NAVY_AVOID_COASTAL_DEFENCES_BEHAVIOUR"	900
"sho_tutorial"	"NAVY_BOMBARD_BEHAVIOUR"	1500
"sho_tutorial"	"NAVY_DISTRIBUTION"	1250
"sho_tutorial"	"NAVY_RECRUITMENT"	1250
"sho_tutorial"	"NAVY_REPAIR"	900
"sho_tutorial"	"NAVY_STRENGTH_MANAGER"	1750
"sho_tutorial"	"NAVY_TASK_MANAGER"	5000
"sho_tutorial"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"sho_tutorial"	"RECALL_BEHAVIOUR"	500
"sho_tutorial"	"RECAPTURE_BEHAVIOUR"	1000
"sho_tutorial"	"RECRUIT_AGENTS_BEHAVIOUR"	5000
"sho_tutorial"	"REGIONAL_DEVELOPMENT"	500
"sho_tutorial"	"REGION_COAST_DEFENCE"	500
"sho_tutorial"	"REGION_DEFENCE"	2000
"sho_tutorial"	"REGION_GROUP_DEFENCE"	1500
"sho_tutorial"	"RESEARCH_TECHNOLOGY"	500
"sho_tutorial"	"TAXATION"	50
"sho_tutorial"	"TRADE_AREA_BEHAVIOUR"	1500
"sho_tutorial"	"TRADE_BEHAVIOUR"	500
"sho_tutorial"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"sho_tutorial"	"WAR_AND_PEACE"	1000
"sho_wako"	"CHARACTER_POST_ASSIGNMENT_BEHAVIOUR"	750
"sho_wako"	"DIPLOMACY_MANAGER"	0
"sho_wako"	"NAVY_ATTACK_BEHAVIOUR"	2000
"sho_wako"	"NAVY_AVOID_COASTAL_DEFENCES_BEHAVIOUR"	900
"sho_wako"	"NAVY_BOMBARD_BEHAVIOUR"	1500
"sho_wako"	"NAVY_DISTRIBUTION"	250
"sho_wako"	"NAVY_REPAIR"	125
"sho_wako"	"NAVY_STRENGTH_MANAGER"	500
"sho_wako"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"sho_wako"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	1500
"sho_wako"	"WAR_AND_PEACE"	75
