version 1, schema effect_bonus_value_agent_junction_tables, guid 8f6db977-c332-4a0b-9ffb-931509c1a814
Effect(string)	Type(string)	Agent_IDRef(string)
"bos_agent_cap_shinobi"	"cap"	"boshin_shinobi"
"bos_agent_cap_shinsengumi"	"cap"	"boshin_shinsengumi"
"bos_agent_cap_veteran"	"cap"	"boshin_veteran"
"bos_agent_critical_success_mod"	"critical_success_mod"	"boshin_geisha"
"bos_agent_critical_success_mod"	"critical_success_mod"	"boshin_ishinshishi"
"bos_agent_critical_success_mod"	"critical_success_mod"	"boshin_shinobi"
"bos_agent_critical_success_mod"	"critical_success_mod"	"boshin_shinsengumi"
"bos_agent_critical_success_mod"	"critical_success_mod"	"boshin_veteran"
"bos_agent_maximum_cap_all"	"maximum_cap_mod"	"boshin_geisha"
"bos_agent_maximum_cap_all"	"maximum_cap_mod"	"boshin_ishinshishi"
"bos_agent_maximum_cap_all"	"maximum_cap_mod"	"boshin_shinobi"
"bos_agent_maximum_cap_all"	"maximum_cap_mod"	"boshin_shinsengumi"
"bos_agent_maximum_cap_all"	"maximum_cap_mod"	"boshin_veteran"
"bos_agent_maximum_cap_geisha"	"maximum_cap_mod"	"boshin_geisha"
"bos_agent_maximum_cap_ishinshishi"	"maximum_cap_mod"	"boshin_ishinshishi"
"bos_agent_maximum_cap_shinobi"	"maximum_cap_mod"	"boshin_shinobi"
"bos_agent_maximum_cap_shinsengumi"	"maximum_cap_mod"	"boshin_shinsengumi"
"bos_agent_maximum_cap_veteran"	"maximum_cap_mod"	"boshin_veteran"
"bos_clan_trait_aizu_shinsengumi_action_cost_mod"	"action_cost_mod"	"boshin_shinsengumi"
"bos_clan_trait_choshu_ishin_shishi_action_mod"	"action_cost_mod"	"boshin_ishinshishi"
"bos_clan_trait_nagaoka_geisha_success"	"success_mod"	"boshin_geisha"
"bos_clan_trait_satsuma_agent_action_cost"	"action_cost_mod"	"boshin_veteran"
"bos_clan_trait_tsu_shinobi_action_cost_mod"	"action_cost_mod"	"boshin_shinobi"
"bos_event_recruitment_cost_shinsengumi_local"	"recruit_cost_mod"	"boshin_shinsengumi"
"bos_geisha_mod_action_cost_global"	"action_cost_mod"	"boshin_geisha"
"bos_geisha_mod_success"	"success_mod"	"boshin_geisha"
"bos_ishinshishi_mod_action_cost_global"	"action_cost_mod"	"boshin_ishinshishi"
"bos_minister_agent_recruitment_cost_local"	"recruit_cost_mod"	"boshin_geisha"
"bos_minister_agent_recruitment_cost_local"	"recruit_cost_mod"	"boshin_ishinshishi"
"bos_minister_agent_recruitment_cost_local"	"recruit_cost_mod"	"boshin_shinobi"
"bos_minister_agent_recruitment_cost_local"	"recruit_cost_mod"	"boshin_shinsengumi"
"bos_minister_agent_recruitment_cost_local"	"recruit_cost_mod"	"boshin_veteran"
"bos_minister_agent_success_global"	"success_mod"	"boshin_geisha"
"bos_minister_agent_success_global"	"success_mod"	"boshin_ishinshishi"
"bos_minister_agent_success_global"	"success_mod"	"boshin_shinobi"
"bos_minister_agent_success_global"	"success_mod"	"boshin_shinsengumi"
"bos_minister_agent_success_global"	"success_mod"	"boshin_veteran"
"bos_minister_max_agent_cap_global"	"maximum_cap_mod"	"boshin_geisha"
"bos_minister_max_agent_cap_global"	"maximum_cap_mod"	"boshin_ishinshishi"
"bos_minister_max_agent_cap_global"	"maximum_cap_mod"	"boshin_shinobi"
"bos_minister_max_agent_cap_global"	"maximum_cap_mod"	"boshin_shinsengumi"
"bos_minister_max_agent_cap_global"	"maximum_cap_mod"	"boshin_veteran"
"bos_shinobi_mod_action_cost_global"	"action_cost_mod"	"boshin_shinobi"
"bos_shinsengumi_mod_action_cost_global"	"action_cost_mod"	"boshin_shinsengumi"
"bos_tech_agent_action_cost_mod_foreign_veteran"	"action_cost_mod"	"boshin_veteran"
"bos_tech_agent_action_cost_mod_geisha"	"action_cost_mod"	"boshin_geisha"
"bos_tech_agent_action_cost_mod_ishin_shishi"	"action_cost_mod"	"boshin_ishinshishi"
"bos_tech_agent_action_cost_mod_shinobi"	"action_cost_mod"	"boshin_shinobi"
"bos_tech_agent_action_cost_mod_shinsengumi"	"action_cost_mod"	"boshin_shinsengumi"
"bos_tech_agent_foreign_veteran_success_mod"	"success_mod"	"boshin_veteran"
"bos_tech_agent_geisha_success_mod"	"success_mod"	"boshin_geisha"
"bos_tech_agent_ishin_shishi_success_mod"	"success_mod"	"boshin_ishinshishi"
"bos_tech_agent_shinobi_success_mod"	"success_mod"	"boshin_shinobi"
"bos_tech_agent_shinsengumi_success_mod"	"success_mod"	"boshin_shinsengumi"
"bos_veteran_mod_action_cost_global"	"action_cost_mod"	"boshin_veteran"
"clan_trait_otomo_cheap_missionary_actions"	"action_cost_mod"	"missionary"
"clan_trait_otomo_superior_missionaries"	"character_xp_mod"	"missionary"
"gem_agent_availability_quality_dancer"	"availability_and_quality"	"gempei_dancer"
"gem_agent_availability_quality_inspector"	"availability_and_quality"	"gempei_inspector"
"gem_agent_availability_quality_monk"	"availability_and_quality"	"gempei_monk"
"gem_agent_availability_quality_spy"	"availability_and_quality"	"gempei_spy"
"gem_agent_cap_dancer"	"cap"	"gempei_dancer"
"gem_agent_cap_inspector"	"cap"	"gempei_inspector"
"gem_agent_cap_monk"	"cap"	"gempei_monk"
"gem_agent_cap_scout"	"cap"	"gempei_spy"
"gem_agent_xp_mod_dancer"	"character_xp_mod"	"gempei_dancer"
"gem_agent_xp_mod_dancer"	"character_xp_mod"	"gempei_spy"
"gem_agent_xp_mod_inspector"	"character_xp_mod"	"gempei_inspector"
"gem_agent_xp_mod_monk"	"character_xp_mod"	"gempei_monk"
"gem_clan_trait_fujiwara_haraizumi_inspector_action"	"action_cost_mod"	"gempei_inspector"
"gem_clan_trait_fujiwara_haraizumi_inspector_succes"	"success_mod"	"gempei_inspector"
"gem_tech_agent_dancer_action_cost_mod"	"action_cost_mod"	"gempei_dancer"
"gem_tech_agent_dancer_success"	"success_mod"	"gempei_dancer"
"gem_tech_agent_inspector_action_cost_mod"	"action_cost_mod"	"gempei_inspector"
"gem_tech_agent_inspector_success"	"success_mod"	"gempei_inspector"
"gem_tech_agent_monk_action_cost_mod"	"action_cost_mod"	"gempei_monk"
"gem_tech_agent_monk_success"	"success_mod"	"gempei_monk"
"gem_tech_agent_spy_success"	"success_mod"	"gempei_spy"
"tech_agent_action_cost_mod_geisha"	"action_cost_mod"	"geisha"
"tech_agent_action_cost_mod_ikko_monk"	"action_cost_mod"	"ikko_monk"
"tech_agent_action_cost_mod_metsuke"	"action_cost_mod"	"metsuke"
"tech_agent_action_cost_mod_missionary"	"action_cost_mod"	"missionary"
"tech_agent_action_cost_mod_monk"	"action_cost_mod"	"monk"
"tech_agent_action_cost_mod_ninja"	"action_cost_mod"	"ninja"
"tech_agent_all_cost_mod"	"action_cost_mod"	"geisha"
"tech_agent_all_cost_mod"	"action_cost_mod"	"ikko_monk"
"tech_agent_all_cost_mod"	"action_cost_mod"	"metsuke"
"tech_agent_all_cost_mod"	"action_cost_mod"	"missionary"
"tech_agent_all_cost_mod"	"action_cost_mod"	"monk"
"tech_agent_all_cost_mod"	"action_cost_mod"	"ninja"
"tech_agent_cost_mod_geisha"	"recruit_cost_mod"	"geisha"
"tech_agent_cost_mod_general"	"recruit_cost_mod"	"General"
"tech_agent_cost_mod_ikko_monk"	"recruit_cost_mod"	"ikko_monk"
"tech_agent_cost_mod_metsuke"	"recruit_cost_mod"	"metsuke"
"tech_agent_cost_mod_missionary"	"recruit_cost_mod"	"missionary"
"tech_agent_cost_mod_monk"	"recruit_cost_mod"	"monk"
"tech_agent_cost_mod_ninja"	"recruit_cost_mod"	"ninja"
"tech_agent_ikko_monk_cap_bonus"	"cap"	"ikko_monk"
"tech_agent_ikko_monk_success_mod"	"success_mod"	"ikko_monk"
"tech_agent_metsuke_cap_bonus"	"cap"	"metsuke"
"tech_agent_metsuke_success_mod"	"success_mod"	"metsuke"
"tech_agent_missionary_success_mod"	"success_mod"	"missionary"
"tech_agent_monk_cap_bonus"	"cap"	"monk"
"tech_agent_monk_success_mod"	"success_mod"	"monk"
"tech_agent_ninja_cap_bonus"	"cap"	"ninja"
"tech_agent_ninja_success_mod"	"success_mod"	"ninja"
