version 1, schema ancillaries_tables
Ancillary_ID(string)	Ancillary_Type_IDRef(string)	applies_to(string)	transferrable(boolean)	unique_to_world(boolean)	unique_to_faction(boolean)	precedence(int)	Start_Date(int)	End_Date(int)
"Anc_Fiddler"	"sergeant"	"character"	true	false	false	5	1796	1900
"Anc_Financier"	"wealthy_merchant"	"character"	true	false	true	5	1796	1900
"Anc_Gen_Supply_Agent"	"wealthy_merchant"	"character"	false	false	false	8	1796	1900
"Anc_Gov_Cryptographer"	"clerk_type_servant"	"character"	true	false	true	8	1796	1900
"Anc_Gov_Customs_Officer"	"thuggish_servant"	"character"	true	false	true	7	1796	1900
"Anc_Gov_Gardener_Royal"	"ratfaced_servant"	"character"	false	true	true	5	1796	1900
"Anc_Gov_Metropolitan"	"orthodox_priest"	"character"	true	false	true	9	1796	1900
"Anc_Gov_Scandal_Writer"	"clerk_type_servant"	"character"	true	false	true	5	1796	1900
"Anc_Gov_Taxman_Crook"	"thuggish_servant"	"character"	false	false	true	6	1796	1900
"Anc_Gov_Taxman_Honest"	"clerk_type_servant"	"character"	false	false	true	6	1700	1900
"Anc_Gov_Thieftaker_Honest"	"thuggish_servant"	"character"	false	false	true	8	1796	1900
"Anc_Gov_Trader_Merchant"	"wealthy_merchant"	"character"	true	false	true	7	1700	1900
"Anc_Gov_Trader_Monopolist"	"wealthy_merchant"	"character"	true	false	true	7	1796	1900
"Anc_Gov_Trader_Ottoman"	"wealthy_merchant"	"character"	true	false	true	7	1796	1900
"Anc_Gov_Trader_Stock"	"wealthy_merchant"	"character"	true	false	true	7	1796	1900
"Anc_Governess"	"gorgeous_floozy"	"character"	false	false	true	1	1796	1900
"Anc_Grand_Tourist"	"inventor"	"character"	true	false	true	3	1796	1900
"Anc_Grizzled_Old_Sergeant"	"sergeant"	"character"	false	false	true	8	1796	1900
"Anc_Gunsmith"	"craftsman"	"character"	true	true	true	7	1796	1900
"Anc_Hack"	"thuggish_servant"	"character"	false	false	true	3	1796	1900
"Anc_Heroic_Saviour"	"florid_nobleman"	"character"	false	false	true	8	1796	1900
"Anc_Highland_Servant"	"scottish_thug"	"character"	false	false	true	8	1796	1900
"Anc_Highlander"	"florid_nobleman"	"character"	false	true	false	8	1796	1900
"Anc_Impoverished_Nephew"	"youth"	"character"	false	false	true	5	1796	1900
"Anc_Instrument_Maker"	"craftsman"	"character"	false	false	false	6	1796	1900
"Anc_Islam_Alchemist"	"turk_with_turban"	"character"	false	false	false	6	1796	1900
"Anc_Islam_Alim"	"turk_with_turban_2"	"character"	false	false	false	6	1796	1900
"Anc_Islam_Astronomer"	"turk_with_turban"	"character"	false	false	false	4	1796	1900
"Anc_Islam_Brahmin"	"turk_with_turban_2"	"character"	false	false	false	6	1796	1900
"Anc_Islam_Convert"	"bedouin"	"character"	false	false	false	3	1796	1900
"Anc_Islam_Corsair"	"turk_with_turban_nobeard_2"	"character"	false	false	false	7	1796	1900
"Anc_Islam_Darwis"	"turk_with_turban"	"character"	false	false	false	6	1796	1900
"Anc_Islam_Fighter"	"turk_with_turban_2"	"character"	false	false	false	7	1796	1900
"Anc_Islam_Heretic"	"turk_with_turban_nobeard_2"	"character"	false	false	false	6	1796	1900
"Anc_Islam_Judge"	"turk_with_turban"	"character"	false	false	true	7	1796	1900
"Anc_Islam_Legal_Scholar_1"	"turk_with_turban_2"	"character"	false	false	false	6	1796	1900
"Anc_Islam_Legal_Scholar_2"	"turk_with_turban"	"character"	false	false	false	7	1796	1900
"Anc_Islam_Physician"	"turk_with_turban_nobeard"	"character"	false	false	false	4	1796	1900
"Anc_Islam_Pious_Man"	"turk_with_turban_2"	"character"	false	false	false	5	1796	1900
"Anc_Islam_Preacher"	"turk_with_turban"	"character"	false	false	false	4	1796	1900
"Anc_Islam_Protector"	"turk_with_turban_2"	"character"	false	false	false	5	1796	1900
"Anc_Islam_Scholar"	"turk_with_turban_2"	"character"	false	false	true	7	1796	1900
"Anc_Islam_Sufi"	"turk_with_turban"	"character"	false	false	true	7	1796	1900
"Anc_Islam_Sufi_Teacher"	"turk_with_turban_2"	"character"	false	true	false	7	1796	1900
"Anc_Islamic_Turncoat"	"turk_with_turban_nobeard_2"	"character"	false	false	false	3	1796	1900
"Anc_Journalist_Honest"	"professional_servant"	"character"	false	false	false	5	1796	1900
"Anc_Judge_Bent"	"judge"	"character"	false	false	true	4	1700	1900
"Anc_Judge_Honest"	"judge"	"character"	false	false	false	5	1796	1900
"Anc_Justice_of_the_Peace"	"wealthy_merchant"	"character"	false	false	false	4	1796	1900
"Anc_Lapdog"	"comedy_transvestite"	"character"	false	false	false	2	1796	1900
"Anc_Lawyer"	"clerk_type_servant"	"character"	false	false	false	6	1796	1900
"Anc_Lawyer_Bent"	"clerk_type_servant"	"character"	false	false	false	9	1796	1900
"Anc_Lawyer_Honest"	"professional_servant"	"character"	false	false	false	9	1796	1900
"Anc_Macaroni"	"florid_nobleman"	"character"	false	false	false	1	1796	1900
"Anc_Magic_Cucumber"	"cow"	"character"	false	true	false	3	1796	1900
"Anc_Manufacturing_Genius"	"craftsman"	"character"	true	false	false	9	1796	1900
"Anc_Master_Gunner"	"sailor"	"character"	false	false	false	9	1796	1900
"Anc_Master_of_the_Dockyards"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Anc_Master_of_the_Hunt"	"florid_nobleman"	"character"	false	false	true	5	1796	1900
"Anc_Master_of_the_Stables"	"ratfaced_servant"	"character"	false	false	true	5	1796	1900
"Anc_Military_Engineer"	"army_officer"	"character"	false	false	false	9	1796	1900
"Anc_Military_Expert_NOT"	"hussar_officer"	"character"	false	false	true	5	1796	1900
"Anc_Military_Secretary"	"clerk_type_servant"	"character"	false	false	true	9	1796	1900
"Anc_Mistress_Corrupt"	"gorgeous_floozy"	"character"	false	true	false	1	1796	1900
"Anc_Mistress_Court_1"	"gorgeous_floozy"	"character"	false	true	false	1	1796	1900
"Anc_Mistress_Indiscreet"	"gorgeous_floozy"	"character"	false	true	false	1	1796	1900
"Anc_Mistress_Minion"	"drummer_boy"	"character"	false	false	false	1	1796	1900
"Anc_Mistress_Officers_Wife"	"gorgeous_floozy"	"character"	false	false	false	1	1796	1900
"Anc_Mistress_Strumpet"	"gorgeous_floozy"	"character"	false	false	false	1	1796	1900
"Anc_Mistress_Waif"	"gorgeous_floozy"	"character"	false	false	false	1	1796	1900
"Anc_Mohock"	"florid_nobleman"	"character"	false	false	false	6	1796	1900
"Anc_Moonstone"	"cow"	"character"	false	true	false	6	1796	1900
"Anc_Mother_Abbess"	"matronly_woman"	"character"	false	false	false	1	1796	1900
"Anc_Natural_Philosopher"	"inventor"	"character"	false	false	false	6	1796	1900
"Anc_Naval_Secretary"	"clerk_type_servant"	"character"	false	false	false	8	1796	1900
"Anc_Naval_Surveyor"	"clerk_type_servant"	"character"	false	false	false	7	1700	1900
"Anc_Navigator"	"sailor"	"character"	true	false	true	8	1796	1900
"Anc_Navy_Seaman_Able"	"sailor"	"character"	false	false	false	6	1796	1900
"Anc_Nobleman_Debauched"	"florid_nobleman"	"character"	false	false	false	2	1796	1900
"Anc_Nobleman_Exile"	"florid_nobleman"	"character"	false	false	false	2	1796	1900
"Anc_Nobleman_Louche"	"florid_nobleman"	"character"	false	false	false	2	1796	1900
"Anc_Order_Austria"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Denmark"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_England"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_France_1"	"sword"	"character"	false	false	false	8	1700	1796
"Anc_Order_France_2"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Holland"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Ottoman"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Poland"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Prussia_1"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Prussia_2"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Russia"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Scotland"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Spain"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Sweden_1"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Sweden_2"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_Sweden_3"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Order_US"	"sword"	"character"	false	false	false	8	1796	1900
"Anc_Ottoman_Interpreter"	"turk_with_turban_nobeard"	"character"	false	false	false	9	1796	1900
"Anc_Overseer_of_Works"	"craftsman"	"character"	false	false	false	6	1796	1900
"Anc_Pet_Dog"	"dog"	"character"	false	false	false	2	1796	1900
"Anc_Physician_Euro"	"clerk_type_servant"	"character"	false	false	false	9	1796	1900
"Anc_Pilot"	"sailor"	"character"	true	false	true	8	1796	1900
"Anc_Piper"	"sergeant"	"character"	false	false	false	7	1796	1900
"Anc_Press_Gang_Captain"	"thuggish_servant"	"character"	false	false	false	5	1796	1900
"Anc_Priest_Defrocked"	"bishop"	"character"	false	false	false	2	1796	1900
"Anc_Priest_Disgraced"	"bishop"	"character"	false	false	false	2	1796	1900
"Anc_Rakehell"	"masked_figure"	"character"	false	false	false	3	1796	1900
"Anc_Research_Cabinet"	"pocketwatch"	"character"	false	false	true	4	1796	1900
"Anc_Research_Library"	"pocketwatch"	"character"	false	false	true	5	1796	1900
"Anc_Royal_Favourite_Popular"	"florid_nobleman"	"character"	false	false	false	2	1796	1900
"Anc_Royal_Favourite_Unpopular"	"florid_nobleman"	"character"	false	false	false	2	1796	1900
"Anc_Seaman_Powder_Monkey"	"youth"	"character"	false	false	false	5	1796	1900
"Anc_Servant_Mameluke"	"bedouin"	"character"	false	false	false	5	1796	1900
"Anc_Sharpshooter"	"sergeant"	"character"	false	false	false	5	1796	1900
"Anc_Shipwright"	"craftsman"	"character"	false	false	false	5	1796	1900
"Anc_Siege_Engineer"	"sergeant"	"character"	false	false	false	8	1796	1900
"Anc_Signals_Lieutenant"	"army_officer"	"character"	false	false	false	8	1796	1900
"Anc_Tailor_Euro"	"clerk_type_servant"	"character"	false	false	false	3	1796	1900
"Anc_Turkish_Bey"	"turk_with_turban_nobeard"	"character"	false	false	false	7	1796	1900
"Anc_Turkish_Jani_Admin"	"turk_with_turban_nobeard_2"	"character"	false	false	false	7	1796	1900
"Anc_Turkish_Jani_Com"	"turk_with_turban_nobeard"	"character"	false	false	false	7	1700	1900
"Anc_Turkish_Jani_Sec"	"turk_with_turban_nobeard_2"	"character"	false	false	false	7	1796	1900
"Anc_Turkish_Masseur"	"turk_with_turban_nobeard"	"character"	false	false	false	6	1796	1900
"Anc_Turkish_Pasha"	"turk_with_turban"	"character"	false	false	true	7	1796	1900
"Anc_Turnip"	"cow"	"character"	false	true	false	4	1796	1900
"Anc_Voivode_1"	"hussar_officer"	"character"	false	false	false	5	1796	1900
"Anc_Voivode_2"	"hussar_officer"	"character"	false	false	false	4	1796	1900
"Anc_Voter"	"florid_nobleman"	"character"	false	false	false	4	1796	1900
"Anc_Wife_Faithful"	"matronly_woman"	"character"	false	false	false	2	1796	1900
"Anc_Wife_Intelligent"	"matronly_woman"	"character"	false	false	false	2	1796	1900
"Anc_Wife_Malaprop"	"matronly_woman"	"character"	false	false	false	2	1796	1900
"Anc_Wife_Matchmaker_Euro"	"matronly_woman"	"character"	false	false	false	2	1796	1900
"Anc_Wife_Unfaithful"	"matronly_woman"	"character"	false	false	false	2	1796	1900
"Ancillary_African_Servant"	"black_servant"	"character"	true	false	true	5	1700	1900
"Ancillary_Air_Loom_Operator"	"inventor"	"character"	true	false	true	1	1700	1900
"Ancillary_Amazing_Wine_Cellar"	"professional_servant"	"character"	false	false	false	3	1700	1900
"Ancillary_Amusing_Cad"	"florid_nobleman"	"character"	false	false	true	3	1700	1900
"Ancillary_Army_ADC"	"army_officer"	"character"	true	false	false	8	1700	1900
"Ancillary_Army_Aide_Nephew"	"inbred_relative"	"character"	false	false	true	4	1700	1900
"Ancillary_Army_Cleric"	"caplain"	"character"	true	false	false	5	1700	1900
"Ancillary_Army_Drillmaster"	"army_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_European_Turncoat"	"army_officer"	"character"	true	false	false	2	1700	1900
"Ancillary_Army_Exploring_Officer"	"army_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Galloper"	"hussar_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Hagiographer"	"clerk_type_servant"	"character"	true	false	true	3	1700	1900
"Ancillary_Army_Merc_Artilleryman"	"army_officer"	"character"	true	false	true	4	1700	1900
"Ancillary_Army_Merc_Cavalryman"	"sergeant"	"character"	true	false	true	4	1700	1900
"Ancillary_Army_Merc_Infantryman"	"hussar_officer"	"character"	true	false	true	4	1700	1900
"Ancillary_Army_Military_Artist"	"army_officer"	"character"	true	false	true	4	1700	1900
"Ancillary_Army_Military_Surveyor"	"army_officer"	"character"	true	false	false	5	1700	1900
"Ancillary_Army_Ottoman_Turncoat"	"turk_with_turban"	"character"	true	false	false	2	1700	1900
"Ancillary_Army_Pox_Doctor"	"professional_servant"	"character"	true	false	true	1	1700	1900
"Ancillary_Army_Quartermaster"	"clerk_type_servant"	"character"	true	false	false	7	1700	1900
"Ancillary_Army_Surgeon"	"professional_servant"	"character"	true	false	false	7	1700	1900
"Ancillary_Army_Waggonmaster"	"thuggish_servant"	"character"	true	false	false	7	1700	1900
"Ancillary_Artillery_Expert"	"army_officer"	"character"	true	false	false	7	1700	1900
"Ancillary_Barber"	"professional_servant"	"character"	false	false	true	2	1700	1900
"Ancillary_Bodysnatcher"	"thuggish_servant"	"character"	false	false	true	2	1700	1900
"Ancillary_Boxer"	"thuggish_servant"	"character"	true	false	true	5	1700	1900
"Ancillary_Duelling_Hidalgo_Fop"	"florid_nobleman"	"character"	true	false	false	5	1700	1900
"Ancillary_Duelling_Minx"	"gorgeous_floozy"	"character"	true	false	true	5	1700	1900
"Ancillary_Duelling_Pistols"	"duelling_pistols"	"character"	false	false	false	6	1700	1900
"Ancillary_Duelling_Pistols_Manton"	"duelling_pistols"	"character"	false	false	true	7	1700	1900
"Ancillary_Foodtaster"	"turk_with_turban_nobeard"	"character"	false	false	false	4	1700	1900
"Ancillary_Garden_Hermit"	"loony"	"character"	false	false	true	2	1700	1900
"Ancillary_Government_Architect"	"professional_servant"	"character"	false	false	true	5	1700	1900
"Ancillary_Government_Comptroller"	"clerk_type_servant"	"character"	true	false	true	5	1700	1900
"Ancillary_Government_Controller"	"clerk_type_servant"	"character"	false	false	true	5	1700	1900
"Ancillary_Government_Crimper"	"gorgeous_floozy"	"character"	true	false	true	4	1700	1900
"Ancillary_Government_Cypher"	"clerk_type_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Executioner_Nasty"	"bedouin"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Guardian"	"bedouin"	"character"	true	false	false	6	1700	1900
"Ancillary_Government_Secret_Policeman"	"ratfaced_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Secretary_Efficient"	"professional_servant"	"character"	false	false	false	5	1700	1900
"Ancillary_Government_Secretary_Gobby"	"clerk_type_servant"	"character"	false	false	false	4	1700	1900
"Ancillary_Government_Spymaster"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Government_Thieftaker"	"thuggish_servant"	"character"	true	false	true	5	1700	1900
"Ancillary_Government_Vampire_Hunter"	"caplain"	"character"	false	false	true	5	1700	1900
"Ancillary_Government_Wrestler"	"turk_with_turban_nobeard"	"character"	true	false	true	5	1700	1900
"Ancillary_Great_Composer"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Grizzly_Adams"	"grizzly_adams"	"character"	true	false	false	5	1700	1900
"Ancillary_Historian"	"clerk_type_servant"	"character"	false	false	false	6	1700	1900
"Ancillary_Inventive_Genius_Astronomer"	"inventor"	"character"	true	false	true	6	1700	1900
"Ancillary_Inventive_Genius_Loony"	"inventor"	"character"	true	false	true	1	1700	1900
"Ancillary_Inventive_Genius_Mill_Worker"	"inventor"	"character"	true	false	true	6	1700	1900
"Ancillary_Justice_Witness"	"ratfaced_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Landscape_Gardener"	"inventor"	"character"	false	false	true	4	1700	1900
"Ancillary_Madman"	"loony"	"character"	true	false	true	1	1700	1900
"Ancillary_Master_of_Lunacy"	"ratfaced_servant"	"character"	true	false	true	1	1700	1900
"Ancillary_Merchant_Corn_Factor"	"wealthy_merchant"	"character"	true	false	true	5	1700	1900
"Ancillary_Military_Riding_Master"	"hussar_officer"	"character"	false	false	true	6	1700	1900
"Ancillary_Mistress_Actress"	"gorgeous_floozy"	"character"	true	true	false	1	1700	1900
"Ancillary_Mistress_Circassian"	"gorgeous_floozy"	"character"	false	false	true	2	1700	1900
"Ancillary_Mistress_Common_Floozy"	"gorgeous_floozy"	"character"	false	true	false	1	1700	1900
"Ancillary_Mistress_Gorgeous"	"gorgeous_floozy"	"character"	true	true	false	1	1700	1900
"Ancillary_Mistress_Molly"	"comedy_transvestite"	"character"	false	true	false	1	1700	1900
"Ancillary_Mistress_Noble"	"gorgeous_floozy"	"character"	false	true	false	1	1700	1900
"Ancillary_Mistress_Spycatcher_Lady"	"gorgeous_floozy"	"character"	true	true	false	1	1700	1900
"Ancillary_Mistress_Spymistress"	"gorgeous_floozy"	"character"	false	true	false	1	1700	1900
"Ancillary_Mystic_Mysterious"	"bedouin"	"character"	true	false	true	2	1700	1900
"Ancillary_Mystic_Useful"	"bedouin"	"character"	true	false	true	2	1700	1900
"Ancillary_Navy_Cleric"	"caplain"	"character"	true	false	false	5	1700	1900
"Ancillary_Navy_Flag_Lieutenant"	"naval_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Navy_Merc_Sea_Captain"	"naval_officer"	"character"	true	false	true	4	1700	1900
"Ancillary_Navy_Naval_Architect"	"wealthy_merchant"	"character"	true	false	true	5	1700	1900
"Ancillary_Navy_Naval_Surveryor"	"professional_servant"	"character"	true	false	true	5	1700	1900
"Ancillary_Navy_Prize_Agent_Good"	"wealthy_merchant"	"character"	true	false	true	5	1700	1900
"Ancillary_Navy_Purser"	"sailor"	"character"	false	false	false	5	1700	1900
"Ancillary_Navy_Sailing_Master"	"sailor"	"character"	true	false	false	5	1700	1900
"Ancillary_Navy_Surgeon"	"inventor"	"character"	true	false	false	5	1700	1900
"Ancillary_Navy_Watch"	"pocketwatch"	"character"	false	false	false	6	1700	1900
"Ancillary_Numismatist"	"craftsman"	"character"	true	false	true	5	1700	1900
"Ancillary_Outstanding_Choirmaster"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Pamphleteer_Government"	"clerk_type_servant"	"character"	false	false	true	4	1700	1900
"Ancillary_Pamphleteer_Radical"	"masked_figure"	"character"	false	false	false	3	1700	1900
"Ancillary_Personal_Physician"	"professional_servant"	"character"	true	false	false	3	1700	1900
"Ancillary_Pet_Monkey"	"monkey"	"character"	true	false	true	3	1700	1900
"Ancillary_Poet"	"florid_nobleman"	"character"	false	false	true	5	1700	1900
"Ancillary_Police_Torturer"	"thuggish_servant"	"character"	false	false	true	5	1700	1900
"Ancillary_Presentation_Sword_1"	"sword"	"character"	false	false	false	6	1700	1900
"Ancillary_Presentation_Sword_2"	"sword"	"character"	false	false	false	6	1700	1900
"Ancillary_Rake_Bawd"	"matronly_woman"	"character"	true	false	false	1	1700	1900
"Ancillary_Rake_Professional_Second"	"florid_nobleman"	"character"	false	false	false	6	1700	1900
"Ancillary_Religion_Bishop"	"bishop"	"character"	true	false	true	4	1700	1900
"Ancillary_Religion_Imam_Learned"	"turk_with_turban"	"character"	true	false	true	6	1700	1900
"Ancillary_Religion_Imam_Rabblerouser"	"turk_with_turban"	"character"	false	false	true	4	1700	1900
"Ancillary_Religion_Methodist"	"ratfaced_servant"	"character"	true	false	true	4	1700	1900
"Ancillary_Research_Librarian"	"clerk_type_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Research_Lunatic_Jack"	"loony"	"character"	false	false	true	1	1700	1900
"Ancillary_Research_Taxonomist"	"clerk_type_servant"	"character"	true	false	true	1	1700	1900
"Ancillary_Tax_Farmer"	"turk_with_turban_nobeard_2"	"character"	true	false	true	4	1700	1900
"Ancillary_Wife_Ambitious"	"matronly_woman"	"character"	false	false	false	1	1700	1900
"Ancillary_Wife_Unpleasant"	"matronly_woman"	"character"	false	false	false	1	1700	1900
"Ancilllary_Dead_Parrot_Pirate"	"naval_officer"	"character"	false	false	true	1	1700	1900
"Ancilllary_Pet_Parrot_Nasty"	"parrot"	"character"	true	false	true	1	1700	1900
"Ancilllary_Pet_Parrot_Ordinary"	"parrot"	"character"	true	false	true	1	1700	1900
"Government_Spying_Locksmith"	"craftsman"	"character"	true	false	true	6	1700	1900
"Spain_Anc_Guitarist"	"spanish_ancillary"	"character"	false	true	false	9	1809	1814
"Spain_Anc_Guitarist_Son"	"spanish_ancillary"	"character"	false	true	false	9	1809	1814
"Spain_Catalonian_Servant"	"ratfaced_servant"	"character"	false	false	true	9	1809	1814
