key	on_screen_name	category	class	multiplayer_cost	multiplayer_late_cost	create_time	create_cost	unkeep	campaign_action_points	voice	icon_name	info_pic	unit_description_text	region_unit_resource	total_cap	multiplayer_category	mp_available_early	mp_available_middle	mp_available_late	prestige	armed_citizenry	total_cap_mp	unit_type_icon	use_onscreen_name	unit_caste	additional_building_level_requirement	religion_requirement	resource_requirement	in_encyclopedia	unit_recruited_movie	unique_index	is_male	num_audio_vo_variations	audio_language	vo_actor_numbers	supports_first_person
Boshin_Cav_Missile_Carbine_Cavalry	Carbine Cavalry	cavalry	cavalry_missile	900	900	2	1070	140	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Carbine_Cavalry		0	mp_cavalry	true	true	true	0	false	0	modern_light_cavalry	false	modern				true		701	true	3	UK	2,30,31	false
Boshin_Cav_Missile_Carbine_Cavalry_MP	Carbine Cavalry	cavalry	cavalry_missile	900	900	2	1070	140	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Carbine_Cavalry		0	mp_cavalry	true	true	true	0	false	0	modern_light_cavalry	false	modern				true		946	true	3	UK	2,30,31	false
Boshin_Cav_Missile_Imperial_Guard_Cavalry	Imperial Guard Cavalry	cavalry	cavalry_missile	1000	1000	2	1320	170	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Imperial_Guard_Cavalry		6	mp_cavalry	true	true	true	0	false	0	modern_light_cavalry	false	modern		inf_bos_imperial		true		807	true	3	UK	2,30,31	false
Boshin_Cav_Missile_Imperial_Guard_Cavalry_MP	Imperial Guard Cavalry	cavalry	cavalry_missile	1050	1050	2	1320	170	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Imperial_Guard_Cavalry		0	mp_cavalry	true	true	true	0	false	0	modern_light_cavalry	false	modern				true		952	true	3	UK	2,30,31	false
Boshin_Cav_Missile_Revolver_Cavalry	Revolver Cavalry	cavalry	cavalry_missile	1100	1100	2	740	90	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Revolver_Cavalry		0	mp_cavalry	true	true	true	0	false	0	modern_light_cavalry	false	modern				true		698	true	3	UK	2,30,31	false
Boshin_Cav_Missile_Revolver_Cavalry_MP	Revolver Cavalry	cavalry	cavalry_missile	1000	1000	2	740	90	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Revolver_Cavalry		0	mp_cavalry	true	true	true	0	false	4	modern_light_cavalry	false	modern				true		962	true	3	UK	2,30,31	false
Boshin_Cav_Missile_Samurai_Hero	Samurai Hero	cavalry	cavalry_missile	1200	1200	2	1080	160	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Samurai_Hero		1	mp_cavalry	true	true	true	0	false	1	bow_cavalry	false	traditional				true		1258	true	4	UK	0	false
Boshin_Cav_Missile_Samurai_Hero_MP	Samurai Hero	cavalry	cavalry_missile	1000	1000	2	1080	160	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Samurai_Hero		1	mp_cavalry	true	true	true	0	false	1	bow_cavalry	false	traditional				true		1287	true	4	UK	0	false
Boshin_Cav_Spear_Shogunate_Guard_Cavalry	Shogunate Guard Cavalry	cavalry	cavalry_lancers	1200	1200	2	1230	160	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Spear_Shogunate_Guard_Cavalry		6	mp_cavalry	true	true	true	0	false	0	spear_cavalry	false	modern		inf_bos_shogunate		true		773	true	3	UK	2,30,31	false
Boshin_Cav_Spear_Shogunate_Guard_Cavalry_MP	Shogunate Guard Cavalry	cavalry	cavalry_lancers	1200	1200	2	1230	160	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Spear_Shogunate_Guard_Cavalry		0	mp_cavalry	true	true	true	0	false	0	spear_cavalry	false	modern				true		964	true	3	UK	2,30,31	false
Boshin_Cav_Spear_Yari_Ki	Yari Ki	cavalry	cavalry_lancers	690	690	2	990	130	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Spear_Yari_Ki		0	mp_cavalry	true	true	true	0	false	4	spear_cavalry	false	traditional				true		847	true	3	UK	2,30,31	false
Boshin_Cav_Spear_Yari_Ki_MP	Yari Ki	cavalry	cavalry_lancers	790	790	2	990	130	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Spear_Yari_Ki		0	mp_cavalry	true	true	true	0	false	4	spear_cavalry	false	traditional				true		969	true	3	UK	2,30,31	false
Boshin_Cav_Sword_Republican_Guard_Cavalry	Republican Guard Cavalry	cavalry	cavalry_sword	760	760	2	1200	150	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Sword_Republican_Guard_Cav		6	mp_cavalry	false	false	false	0	false	0	sword_cavalry	false	modern		inf_bos_self		true		1267	true	3	UK	2,30,31	false
Boshin_Cav_Sword_Sabre_Cavalry	Sabre Cavalry	cavalry	cavalry_sword	650	650	2	1200	150	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Sword_Sabre_Cavalry		0	mp_cavalry	true	true	true	0	false	0	sword_cavalry	false	modern				true		694	true	3	UK	2,30,31	false
Boshin_Cav_Sword_Sabre_Cavalry_MP	Sabre Cavalry	cavalry	cavalry_sword	650	650	2	1200	150	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Sword_Sabre_Cavalry		0	mp_cavalry	true	true	true	0	false	0	sword_cavalry	false	modern				true		970	true	3	UK	2,30,31	false
Boshin_Corvette_Kaiten	Wooden Corvette - Kaiten class	naval_medium	naval_corvette	2200	2200	2	1590	200	50	ship	Boshin_Corvette_Kaiten	Boshin_Corvette_Kaiten	Boshin_Ship_Kaiten		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		518	true	3	UK	3,12,15	true
Boshin_Corvette_Kaiten_Copper_Plated	Copper plated Corvette - Kaiten class	naval_medium	naval_corvette	2300	2300	2	1660	210	50	ship	Boshin_Corvette_Kaiten	Boshin_Corvette_Kaiten	Boshin_Ship_Kaiten		0	mp_naval_medium	false	false	false	0	false	0	hull_copper	false	naval				true		554	true	3	UK	3,12,15	true
Boshin_Corvette_Kaiten_Iron_Plated	Armoured Corvette - Kaiten class	naval_medium	naval_corvette	2500	2500	2	1800	230	50	ship	Boshin_Corvette_Kaiten	Boshin_Corvette_Kaiten	Boshin_Ship_Kaiten		0	mp_naval_medium	true	true	true	0	false	0	hull_composite	false	naval				true		563	true	3	UK	3,12,15	true
Boshin_Corvette_Kaiten_MP	Wooden Corvette - Kaiten class	naval_medium	naval_corvette	2200	2200	1	1590	200	50	ship	Boshin_Corvette_Kaiten	Boshin_Corvette_Kaiten	Boshin_Ship_Kaiten		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		1217	true	3	UK	3,12,15	true
Boshin_Corvette_Kanko_Maru	Wooden Corvette - Kanko Maru class	naval_medium	naval_corvette	1000	1000	2	720	90	50	ship	Boshin_Corvette_Kanko_Maru	Boshin_Corvette_Kanko_Maru	Boshin_Ship_Kanko_Maru		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		515	true	3	UK	3,12,15	true
Boshin_Corvette_Kanko_Maru_Copper_Plated	Copper plated Corvette - Kanko Maru class	naval_medium	naval_corvette	1100	1100	2	800	100	50	ship	Boshin_Corvette_Kanko_Maru	Boshin_Corvette_Kanko_Maru	Boshin_Ship_Kanko_Maru		0	mp_naval_medium	false	false	false	0	false	0	hull_copper	false	naval				true		570	true	3	UK	3,12,15	true
Boshin_Corvette_Kanko_Maru_Iron_Plated	Armoured Corvette - Kanko Maru class	naval_medium	naval_corvette	1300	1300	2	940	120	50	ship	Boshin_Corvette_Kanko_Maru	Boshin_Corvette_Kanko_Maru	Boshin_Ship_Kanko_Maru		0	mp_naval_medium	true	true	true	0	false	0	hull_composite	false	naval				true		572	true	3	UK	3,12,15	true
Boshin_Corvette_Kanko_Maru_MP	Wooden Corvette - Kanko Maru class	naval_medium	naval_corvette	1000	1000	1	720	90	50	ship	Boshin_Corvette_Kanko_Maru	Boshin_Corvette_Kanko_Maru	Boshin_Ship_Kanko_Maru		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		1211	true	3	UK	3,12,15	true
Boshin_Corvette_Kanrin_Maru	Wooden Corvette - Kanrin Maru class	naval_medium	naval_corvette	2000	2000	2	1440	180	50	ship	Boshin_Corvette_Kanrin_Maru	Boshin_Corvette_Kanrin_Maru	Boshin_Ship_Kanrin_Maru		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		522	true	3	UK	3,12,15	true
Boshin_Corvette_Kanrin_Maru_Copper_Plated	Copper plated Corvette - Kanrin Maru class	naval_medium	naval_corvette	2100	2100	2	1520	190	50	ship	Boshin_Corvette_Kanrin_Maru	Boshin_Corvette_Kanrin_Maru	Boshin_Ship_Kanrin_Maru		0	mp_naval_medium	false	false	false	0	false	0	hull_copper	false	naval				true		582	true	3	UK	3,12,15	true
Boshin_Corvette_Kanrin_Maru_Iron_Plated	Armoured Corvette - Kanrin Maru class	naval_medium	naval_corvette	2300	2300	3	1660	210	50	ship	Boshin_Corvette_Kanrin_Maru	Boshin_Corvette_Kanrin_Maru	Boshin_Ship_Kanrin_Maru		0	mp_naval_medium	true	true	true	0	false	0	hull_composite	false	naval				true		589	true	3	UK	3,12,15	true
Boshin_Corvette_Kanrin_Maru_MP	Wooden Corvette - Kanrin Maru class	naval_medium	naval_corvette	2000	2000	1	1440	180	50	ship	Boshin_Corvette_Kanrin_Maru	Boshin_Corvette_Kanrin_Maru	Boshin_Ship_Kanrin_Maru		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		1207	true	3	UK	3,12,15	true
Boshin_Corvette_Kasuga	Wooden Corvette - Kasuga class	naval_medium	naval_corvette	2400	2400	3	1730	220	50	ship	Boshin_Corvette_Kasuga	Boshin_Corvette_Kasuga	Boshin_Ship_Kasuga		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		528	true	3	UK	3,12,15	true
Boshin_Corvette_Kasuga_Copper_Plated	Copper-plated Corvette - Kasuga class	naval_medium	naval_corvette	2500	2500	3	1800	230	50	ship	Boshin_Corvette_Kasuga	Boshin_Corvette_Kasuga	Boshin_Ship_Kasuga		0	mp_naval_medium	false	false	false	0	false	0	hull_copper	false	naval				true		597	true	3	UK	3,12,15	true
Boshin_Corvette_Kasuga_Iron_Plated	Armoured Corvette - Kasuga class	naval_medium	naval_corvette	3100	3100	4	1950	250	50	ship	Boshin_Corvette_Kasuga	Boshin_Corvette_Kasuga	Boshin_Ship_Kasuga		0	mp_naval_medium	true	true	true	0	false	0	hull_composite	false	naval				true		608	true	3	UK	3,12,15	true
Boshin_Corvette_Kasuga_Iron_Plated_MP	Armoured Corvette - Kasuga class	naval_medium	naval_corvette	3500	3500	4	1950	250	50	ship	Boshin_Corvette_Kasuga	Boshin_Corvette_Kasuga	Boshin_Ship_Kasuga		0	mp_naval_medium	true	true	true	0	false	0	hull_composite	false	naval				true		1315	true	3	UK	3,12,15	true
Boshin_Corvette_Kasuga_MP	Wooden Corvette - Kasuga class	naval_medium	naval_corvette	2800	2800	1	1730	220	50	ship	Boshin_Corvette_Kasuga	Boshin_Corvette_Kasuga	Boshin_Ship_Kasuga		0	mp_naval_medium	true	true	true	0	false	0	hull_wooden	false	naval				true		1204	true	3	UK	3,12,15	true
Boshin_Frigate_Kaiyo_Maru	Wooden Frigate - Kaiyo Maru class	naval_heavy	naval_frigate	4800	4800	4	3460	440	50	ship	Boshin_Frigate_Kaiyo_Maru	Boshin_Frigate_Kaiyo_Maru	Boshin_Ship_Kaiyo_Maru		8	mp_naval_heavy	true	true	true	0	false	0	hull_wooden	false	naval				true		508	true	3	UK	3,12,15	true
Boshin_Frigate_Kaiyo_Maru_Copper_Plated	Copper plated Frigate - Kaiyo Maru class	naval_heavy	naval_frigate	4900	4900	4	3530	450	50	ship	Boshin_Frigate_Kaiyo_Maru	Boshin_Frigate_Kaiyo_Maru	Boshin_Ship_Kaiyo_Maru		8	mp_naval_heavy	false	false	false	0	false	0	hull_copper	false	naval				true		613	true	3	UK	3,12,15	true
Boshin_Frigate_Kaiyo_Maru_Iron_Plated	Armoured Frigate - Kaiyo Maru class	naval_heavy	naval_frigate	5100	5100	5	4950	500	50	ship	Boshin_Frigate_Kaiyo_Maru	Boshin_Frigate_Kaiyo_Maru	Boshin_Ship_Kaiyo_Maru		8	mp_naval_heavy	true	true	true	0	false	0	hull_composite	false	naval				true		617	true	3	UK	3,12,15	true
Boshin_Frigate_Kaiyo_Maru_Iron_Plated_MP	Armoured Frigate - Kaiyo Maru class	naval_heavy	naval_frigate	5500	5500	5	4950	500	50	ship	Boshin_Frigate_Kaiyo_Maru	Boshin_Frigate_Kaiyo_Maru	Boshin_Ship_Kaiyo_Maru		8	mp_naval_heavy	true	true	true	0	false	0	hull_composite	false	naval				true		1321	true	3	UK	3,12,15	true
Boshin_Frigate_Kaiyo_Maru_MP	Wooden Frigate - Kaiyo Maru class	naval_heavy	naval_frigate	4800	4800	6	3460	440	50	ship	Boshin_Frigate_Kaiyo_Maru	Boshin_Frigate_Kaiyo_Maru	Boshin_Ship_Kaiyo_Maru		8	mp_naval_heavy	true	true	true	0	false	0	hull_wooden	false	naval				true		1196	true	3	UK	3,12,15	true
Boshin_Gen_Generals_Bodyguard	General's Bodyguard	cavalry	general	300	300	1	270	90	20	general	placeholder_cavalry	placeholder_cavalry	Boshin_Gen_Bodyguard		0	mp_cavalry	true	true	true	0	false	0	modern_light_cavalry	false	modern				true		724	true	3	UK	3,12,15	false
Boshin_Gen_Generals_Bodyguard_MP	General's Bodyguard	cavalry	general	300	300	1	270	90	20	general	placeholder_cavalry	placeholder_cavalry	Boshin_Gen_Bodyguard		0	mp_cavalry	true	true	true	0	false	0	modern_light_cavalry	false	modern				true		977	true	3	UK	3,12,15	false
Boshin_Gen_Generals_Hatamoto	General's Hatamoto	cavalry	general	300	300	1	270	90	20	general	placeholder_cavalry	placeholder_cavalry	Boshin_Gen_Hatamoto		0	mp_cavalry	true	true	true	0	false	0	sword_cavalry	false	traditional				true		669	true	3	UK	3,12,15	false
Boshin_Gen_Generals_Hatamoto_MP	General's Hatamoto	cavalry	general	300	300	1	270	50	20	general	placeholder_cavalry	placeholder_cavalry	Boshin_Gen_Hatamoto		0	mp_cavalry	true	true	true	0	false	0	sword_cavalry	false	traditional				true		983	true	3	UK	3,12,15	false
Boshin_Gen_Ironclad_Kotetsu_MP	Ironclad - Kotetsu class	naval_heavy	naval_ironclad	0	0	1	270	500	50	ship	Boshin_Ironclad_Kotetsu	2deck50	Boshin_Ship_Kotetsu		8	mp_general	true	true	true	0	false	0	hull_iron	false	naval				true		1245	true	3	UK	3,12,15	true
Boshin_Gen_Saigo_Takamori	Saigo Takamori	cavalry	general	300	300	1	270	90	20	general	placeholder_cavalry	placeholder_cavalry	Boshin_Gen_Bodyguard		0	mp_cavalry	true	true	true	0	false	0	sword_cavalry	false	modern				true		1244	true	3	UK	3,12,15	false
Boshin_Gun_Boat_Chiyodagata	Gun boat - Chiyodagata class	naval_light	naval_gunboat	500	500	1	360	50	50	ship	Boshin_Torpedo_Boat_Chiyodagata	2deck50	Boshin_Gun_Boat_Chiyodagata		0	mp_naval_light	true	true	true	0	false	0	hull_wooden	false	naval				true		534	true	3	UK	3,12,15	true
Boshin_Gun_Boat_Chiyodagata_MP	Gun boat - Chiyodagata class	naval_light	naval_gunboat	500	500	1	360	50	50	ship	Boshin_Torpedo_Boat_Chiyodagata	2deck50	Boshin_Gun_Boat_Chiyodagata		0	mp_naval_light	true	true	true	0	false	0	hull_wooden	false	naval				true		1191	true	3	UK	3,12,15	true
Boshin_Inf_Elite_Imperial_Guard_Infantry	Imperial Guard Infantry	infantry_ranged	infantry_elite	1280	1280	1	1300	170	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Imperial_Guard		6	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern		inf_bos_imperial		true		819	true	3	UK	3,12,15	false
Boshin_Inf_Elite_Imperial_Guard_Infantry_MP	Imperial Guard Infantry	infantry_ranged	infantry_elite	1280	1280	1	1300	170	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Imperial_Guard		0	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		991	true	3	UK	3,12,15	false
Boshin_Inf_Elite_Infanterie_de_marine	Infanterie de marine	infantry_ranged	infantry_elite	1440	1440	1	1430	180	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Infanterie_de_marine		3	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		843	true	2	UK	28,29	false
Boshin_Inf_Elite_Infanterie_de_marine_MP	Infanterie de marine	infantry_ranged	infantry_elite	1440	1440	1	1430	180	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Infanterie_de_marine		0	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		997	true	2	UK	28,29	false
Boshin_Inf_Elite_Kihetai	Kihetai	infantry_ranged	infantry_elite	1170	1170	1	1030	130	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Kihetai		0	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		748	true	3	UK	3,12,15	false
Boshin_Inf_Elite_Kihetai_MP	Kihetai	infantry_ranged	infantry_elite	1070	1070	1	1030	130	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Kihetai		0	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		1005	true	3	UK	3,12,15	false
Boshin_Inf_Elite_Republican_Guard_Infantry	Republican Guard Infantry	infantry_ranged	infantry_elite	1600	1600	1	1300	170	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Republican_Guard_Infantry		6	mp_bosh_elite_inf	false	false	false	0	false	0	elite_infantry	false	modern		inf_bos_self		true		1270	true	3	UK	3,12,15	false
Boshin_Inf_Elite_Royal_Marines	Royal Marines	infantry_ranged	infantry_elite	1380	1380	1	1370	180	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Royal_Marines		3	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		828	true	2	UK	24,25	false
Boshin_Inf_Elite_Royal_Marines_MP	Royal Marines	infantry_ranged	infantry_elite	1380	1380	1	1370	180	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Royal_Marines		0	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		1015	true	2	UK	24,25	false
Boshin_Inf_Elite_Shogunate_Guard_Infantry	Shogunate Guard Infantry	infantry_ranged	infantry_elite	1280	1280	1	1300	170	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Shogunate_Guard_Infantry		6	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern		inf_bos_shogunate		true		782	true	3	UK	3,12,15	false
Boshin_Inf_Elite_Shogunate_Guard_Infantry_MP	Shogunate Guard Infantry	infantry_ranged	infantry_elite	1220	1220	1	1300	170	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_Shogunate_Guard_Infantry		0	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		1016	true	3	UK	3,12,15	false
Boshin_Inf_Elite_United_States_Marines	United States Marines	infantry_ranged	infantry_elite	1310	1310	1	1340	170	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_United_States_Marines		3	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		836	true	2	UK	26,27	false
Boshin_Inf_Elite_United_States_Marines_MP	United States Marines	infantry_ranged	infantry_elite	1310	1310	1	1340	170	15	infantry_generic	placeholder	placeholder	Boshin_Inf_Elite_United_States_Marines		0	mp_bosh_elite_inf	true	true	true	0	false	0	elite_infantry	false	modern				true		1019	true	2	UK	26,27	false
