version 1, schema cai_agent_type_recruitment_profile_junctions_tables, guid 1ab27d74-e664-418c-9fb7-8d350d152023
unknown1(string)	unknown2(string)	unknown3(string)
"cai_at_bos_shinsengumi"	"bos_foreign"	"cai_art_unbiased"
"cai_at_geisha"	"bos_foreign"	"cai_art_blocked"
"cai_at_gw_dancer"	"bos_foreign"	"cai_art_blocked"
"cai_at_gw_inspector"	"bos_foreign"	"cai_art_blocked"
"cai_at_gw_monk"	"bos_foreign"	"cai_art_blocked"
"cai_at_gw_ninja"	"bos_foreign"	"cai_art_blocked"
"cai_at_metsuke"	"bos_foreign"	"cai_art_blocked"
"cai_at_missionary"	"bos_foreign"	"cai_art_blocked"
"cai_at_monk"	"bos_foreign"	"cai_art_blocked"
"cai_at_ninja"	"bos_foreign"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"bos_geisha"	"cai_art_unbiased"
"cai_at_bos_geisha"	"bos_geisha"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"bos_geisha"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"bos_geisha"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"bos_geisha"	"cai_art_unbiased"
"cai_at_geisha"	"bos_geisha"	"cai_art_blocked"
"cai_at_gw_dancer"	"bos_geisha"	"cai_art_blocked"
"cai_at_gw_inspector"	"bos_geisha"	"cai_art_blocked"
"cai_at_gw_monk"	"bos_geisha"	"cai_art_blocked"
"cai_at_gw_ninja"	"bos_geisha"	"cai_art_blocked"
"cai_at_metsuke"	"bos_geisha"	"cai_art_blocked"
"cai_at_missionary"	"bos_geisha"	"cai_art_blocked"
"cai_at_monk"	"bos_geisha"	"cai_art_blocked"
"cai_at_ninja"	"bos_geisha"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"bos_shinobi"	"cai_art_unbiased"
"cai_at_bos_geisha"	"bos_shinobi"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"bos_shinobi"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"bos_shinobi"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"bos_shinobi"	"cai_art_unbiased"
"cai_at_geisha"	"bos_shinobi"	"cai_art_blocked"
"cai_at_gw_dancer"	"bos_shinobi"	"cai_art_blocked"
"cai_at_gw_inspector"	"bos_shinobi"	"cai_art_blocked"
"cai_at_gw_monk"	"bos_shinobi"	"cai_art_blocked"
"cai_at_gw_ninja"	"bos_shinobi"	"cai_art_blocked"
"cai_at_metsuke"	"bos_shinobi"	"cai_art_blocked"
"cai_at_missionary"	"bos_shinobi"	"cai_art_blocked"
"cai_at_monk"	"bos_shinobi"	"cai_art_blocked"
"cai_at_ninja"	"bos_shinobi"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"bos_standard"	"cai_art_unbiased"
"cai_at_bos_geisha"	"bos_standard"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"bos_standard"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"bos_standard"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"bos_standard"	"cai_art_unbiased"
"cai_at_geisha"	"bos_standard"	"cai_art_blocked"
"cai_at_gw_dancer"	"bos_standard"	"cai_art_blocked"
"cai_at_gw_inspector"	"bos_standard"	"cai_art_blocked"
"cai_at_gw_monk"	"bos_standard"	"cai_art_blocked"
"cai_at_gw_ninja"	"bos_standard"	"cai_art_blocked"
"cai_at_metsuke"	"bos_standard"	"cai_art_blocked"
"cai_at_missionary"	"bos_standard"	"cai_art_blocked"
"cai_at_monk"	"bos_standard"	"cai_art_blocked"
"cai_at_ninja"	"bos_standard"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_bos_geisha"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_geisha"	"cai_arp_standard"	"cai_art_prefered"
"cai_at_gw_dancer"	"cai_arp_standard"	"cai_art_blocked"
"cai_at_gw_inspector"	"cai_arp_standard"	"cai_art_blocked"
"cai_at_gw_monk"	"cai_arp_standard"	"cai_art_blocked"
"cai_at_gw_ninja"	"cai_arp_standard"	"cai_art_blocked"
"cai_at_metsuke"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_missionary"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_monk"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_ninja"	"cai_arp_standard"	"cai_art_unbiased"
"cai_at_bos_foreign_veteran"	"gem_dancer"	"cai_art_unbiased"
"cai_at_bos_geisha"	"gem_dancer"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"gem_dancer"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"gem_dancer"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"gem_dancer"	"cai_art_unbiased"
"cai_at_geisha"	"gem_dancer"	"cai_art_blocked"
"cai_at_gw_dancer"	"gem_dancer"	"cai_art_prefered"
"cai_at_gw_inspector"	"gem_dancer"	"cai_art_unbiased"
"cai_at_gw_monk"	"gem_dancer"	"cai_art_unbiased"
"cai_at_gw_ninja"	"gem_dancer"	"cai_art_unbiased"
"cai_at_metsuke"	"gem_dancer"	"cai_art_blocked"
"cai_at_missionary"	"gem_dancer"	"cai_art_blocked"
"cai_at_monk"	"gem_dancer"	"cai_art_blocked"
"cai_at_ninja"	"gem_dancer"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"gem_inspector"	"cai_art_unbiased"
"cai_at_bos_geisha"	"gem_inspector"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"gem_inspector"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"gem_inspector"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"gem_inspector"	"cai_art_unbiased"
"cai_at_geisha"	"gem_inspector"	"cai_art_blocked"
"cai_at_gw_dancer"	"gem_inspector"	"cai_art_unbiased"
"cai_at_gw_inspector"	"gem_inspector"	"cai_art_prefered"
"cai_at_gw_monk"	"gem_inspector"	"cai_art_unbiased"
"cai_at_gw_ninja"	"gem_inspector"	"cai_art_unbiased"
"cai_at_metsuke"	"gem_inspector"	"cai_art_blocked"
"cai_at_missionary"	"gem_inspector"	"cai_art_blocked"
"cai_at_monk"	"gem_inspector"	"cai_art_blocked"
"cai_at_ninja"	"gem_inspector"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"gem_minor_clan"	"cai_art_unbiased"
"cai_at_bos_geisha"	"gem_minor_clan"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"gem_minor_clan"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"gem_minor_clan"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"gem_minor_clan"	"cai_art_unbiased"
"cai_at_geisha"	"gem_minor_clan"	"cai_art_blocked"
"cai_at_gw_dancer"	"gem_minor_clan"	"cai_art_blocked"
"cai_at_gw_inspector"	"gem_minor_clan"	"cai_art_blocked"
"cai_at_gw_monk"	"gem_minor_clan"	"cai_art_unbiased"
"cai_at_gw_ninja"	"gem_minor_clan"	"cai_art_unbiased"
"cai_at_metsuke"	"gem_minor_clan"	"cai_art_blocked"
"cai_at_missionary"	"gem_minor_clan"	"cai_art_blocked"
"cai_at_monk"	"gem_minor_clan"	"cai_art_blocked"
"cai_at_ninja"	"gem_minor_clan"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"gem_monk"	"cai_art_unbiased"
"cai_at_bos_geisha"	"gem_monk"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"gem_monk"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"gem_monk"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"gem_monk"	"cai_art_unbiased"
"cai_at_geisha"	"gem_monk"	"cai_art_blocked"
"cai_at_gw_dancer"	"gem_monk"	"cai_art_blocked"
"cai_at_gw_inspector"	"gem_monk"	"cai_art_blocked"
"cai_at_gw_monk"	"gem_monk"	"cai_art_prefered"
"cai_at_gw_ninja"	"gem_monk"	"cai_art_unbiased"
"cai_at_metsuke"	"gem_monk"	"cai_art_blocked"
"cai_at_missionary"	"gem_monk"	"cai_art_blocked"
"cai_at_monk"	"gem_monk"	"cai_art_blocked"
"cai_at_ninja"	"gem_monk"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"gem_scout"	"cai_art_unbiased"
"cai_at_bos_geisha"	"gem_scout"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"gem_scout"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"gem_scout"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"gem_scout"	"cai_art_unbiased"
"cai_at_geisha"	"gem_scout"	"cai_art_blocked"
"cai_at_gw_dancer"	"gem_scout"	"cai_art_blocked"
"cai_at_gw_inspector"	"gem_scout"	"cai_art_blocked"
"cai_at_gw_monk"	"gem_scout"	"cai_art_unbiased"
"cai_at_gw_ninja"	"gem_scout"	"cai_art_prefered"
"cai_at_metsuke"	"gem_scout"	"cai_art_blocked"
"cai_at_missionary"	"gem_scout"	"cai_art_blocked"
"cai_at_monk"	"gem_scout"	"cai_art_blocked"
"cai_at_ninja"	"gem_scout"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"gem_standard"	"cai_art_unbiased"
"cai_at_bos_geisha"	"gem_standard"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"gem_standard"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"gem_standard"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"gem_standard"	"cai_art_unbiased"
"cai_at_geisha"	"gem_standard"	"cai_art_blocked"
"cai_at_gw_dancer"	"gem_standard"	"cai_art_unbiased"
"cai_at_gw_inspector"	"gem_standard"	"cai_art_unbiased"
"cai_at_gw_monk"	"gem_standard"	"cai_art_unbiased"
"cai_at_gw_ninja"	"gem_standard"	"cai_art_unbiased"
"cai_at_metsuke"	"gem_standard"	"cai_art_blocked"
"cai_at_missionary"	"gem_standard"	"cai_art_blocked"
"cai_at_monk"	"gem_standard"	"cai_art_blocked"
"cai_at_ninja"	"gem_standard"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_bos_geisha"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_geisha"	"metsuke_heavy"	"cai_art_prefered"
"cai_at_gw_dancer"	"metsuke_heavy"	"cai_art_blocked"
"cai_at_gw_inspector"	"metsuke_heavy"	"cai_art_blocked"
"cai_at_gw_monk"	"metsuke_heavy"	"cai_art_blocked"
"cai_at_gw_ninja"	"metsuke_heavy"	"cai_art_blocked"
"cai_at_metsuke"	"metsuke_heavy"	"cai_art_prefered"
"cai_at_missionary"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_monk"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_ninja"	"metsuke_heavy"	"cai_art_unbiased"
"cai_at_bos_foreign_veteran"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_bos_geisha"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_geisha"	"ninja_heavy"	"cai_art_prefered"
"cai_at_gw_dancer"	"ninja_heavy"	"cai_art_blocked"
"cai_at_gw_inspector"	"ninja_heavy"	"cai_art_blocked"
"cai_at_gw_monk"	"ninja_heavy"	"cai_art_blocked"
"cai_at_gw_ninja"	"ninja_heavy"	"cai_art_blocked"
"cai_at_metsuke"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_missionary"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_monk"	"ninja_heavy"	"cai_art_unbiased"
"cai_at_ninja"	"ninja_heavy"	"cai_art_prefered"
"cai_at_geisha"	"no_religious"	"cai_art_prefered"
"cai_at_gw_dancer"	"no_religious"	"cai_art_blocked"
"cai_at_gw_inspector"	"no_religious"	"cai_art_blocked"
"cai_at_gw_monk"	"no_religious"	"cai_art_blocked"
"cai_at_gw_ninja"	"no_religious"	"cai_art_blocked"
"cai_at_metsuke"	"no_religious"	"cai_art_unbiased"
"cai_at_missionary"	"no_religious"	"cai_art_blocked"
"cai_at_monk"	"no_religious"	"cai_art_blocked"
"cai_at_ninja"	"no_religious"	"cai_art_unbiased"
"cai_at_bos_foreign_veteran"	"religious_heavy"	"cai_art_blocked"
"cai_at_bos_geisha"	"religious_heavy"	"cai_art_blocked"
"cai_at_bos_ishin_shishi"	"religious_heavy"	"cai_art_blocked"
"cai_at_bos_shinobi"	"religious_heavy"	"cai_art_blocked"
"cai_at_bos_shinsengumi"	"religious_heavy"	"cai_art_blocked"
"cai_at_geisha"	"religious_heavy"	"cai_art_unbiased"
"cai_at_gw_dancer"	"religious_heavy"	"cai_art_blocked"
"cai_at_gw_inspector"	"religious_heavy"	"cai_art_blocked"
"cai_at_gw_monk"	"religious_heavy"	"cai_art_blocked"
"cai_at_gw_ninja"	"religious_heavy"	"cai_art_blocked"
"cai_at_metsuke"	"religious_heavy"	"cai_art_unbiased"
"cai_at_missionary"	"religious_heavy"	"cai_art_prefered"
"cai_at_monk"	"religious_heavy"	"cai_art_prefered"
"cai_at_ninja"	"religious_heavy"	"cai_art_unbiased"
