version 1, schema historical_character_traits_tables
Name_IDRef(string)	Trait_Level_IDRef(string)
"eur_john_bellingham"	"C_Rake_Assassin_Good_1"
"eur_john_blenkinsop"	"C_Gent_Research_Industry_2"
"eur_john_gaspard_le_marchant"	"C_General_Good_Field_Commander_2"
"eur_john_gaspard_le_marchant"	"C_General_Martinet_1"
"eur_john_gaspard_le_marchant"	"C_General_of_Cavalry_2"
"eur_john_hope"	"C_General_of_Infantry_2"
"eur_john_jervis"	"C_Admiral_Blockader_Good_1"
"eur_john_jervis"	"C_Admiral_British_Drakes_Drum_1"
"eur_john_jervis"	"C_Admiral_Good_1"
"eur_john_jones"	"C_General_Defend_Good_1"
"eur_john_jones"	"C_General_Siege_Defend_Good_1"
"eur_john_macadam"	"C_Gent_Research_Industry_2"
"eur_john_oswald"	"C_General_Good_Field_Commander_2"
"eur_john_pitt"	"C_General_Good_Field_Commander_1"
"eur_john_saunders"	"C_General_Scout_1"
"eur_john_sherbrooke"	"C_General_of_Infantry_2"
"eur_john_stuart"	"C_General_Attacker_Good_2"
"eur_john_stuart"	"C_General_Siege_Attack_Good_1"
"eur_john_thomas_duckworth"	"C_Admiral_Attack_Good_2"
"eur_john_thomas_duckworth"	"C_Admiral_British_Drakes_Drum_1"
"eur_jonas_carlsson_dryander"	"C_Gent_Research_Philosophy_1"
"eur_jonas_lindstromer"	"C_Gent_Research_Navy_3"
"eur_jose_celestino"	"C_Gent_Academic_Honours_1"
"eur_jose_celestino"	"C_Gent_Research_Philosophy_1"
"eur_jose_clavijo"	"C_Gent_Academic_Honours_2"
"eur_jose_clavijo"	"C_Gent_Research_Philosophy_1"
"eur_jose_clavijo"	"C_Personal_Piety_1"
"eur_jose_conde"	"C_Gent_Research_Philosophy_1"
"eur_jose_de_arredondo"	"C_General_Bloody_2"
"eur_jose_de_arredondo"	"C_General_of_Infantry_1"
"eur_jose_de_iturrigaray"	"C_General_Attacker_Good_1"
"eur_jose_de_iturrigaray"	"C_General_Good_Field_Commander_1"
"eur_joseph_fouce"	"C_Minister_Radical_1"
"eur_joseph_fouce"	"C_Minister_Unjust_2"
"eur_joseph_guillotin"	"C_Gent_Academic_Honours_2"
"eur_joseph_guillotin"	"C_Gent_Research_Philosophy_1"
"eur_joseph_jacquard"	"C_Gent_Research_Industry_2"
"eur_joseph_lagrange"	"C_Gent_Academic_Honours_2"
"eur_joseph_lagrange"	"C_Gent_Research_Philosophy_1"
"eur_joseph_niepce"	"C_Gent_Research_Industry_1"
"eur_joseph_niepce"	"C_Gent_Science_Club_1"
"eur_joseph_vukassovich"	"C_General_Defend_Good_2"
"eur_joseph_vukassovich"	"C_General_Good_Field_Commander_2"
"eur_josepth_manton"	"C_Gent_Duelling_Pistol_2"
"eur_josepth_manton"	"C_Gent_Research_Military_3"
"eur_jozef_antoni_poniatowski"	"C_General_Defend_Good_2"
"eur_jozef_antoni_poniatowski"	"C_General_Good_Field_Commander_2"
"eur_jozef_antoni_poniatowski"	"C_General_Grand_Armee"
"eur_jozef_kajetan_ossolinski"	"C_Minister_Entertainer_1"
"eur_jozef_sowinski"	"C_General_Brave_2"
"eur_jozef_sowinski"	"C_General_Defend_Good_2"
"eur_jozef_sowinski"	"C_General_Polish_Stubborn_1"
"eur_juan_masdeu"	"C_Gent_Academic_Honours_2"
"eur_juan_masdeu"	"C_Gent_Research_Philosophy_1"
"eur_juan_masdeu"	"C_Personal_Piety_1"
"eur_julian_ursyn_niemcewicz"	"C_Gent_Research_Philosophy_1"
"eur_karl_bistrom"	"C_General_Brave_3"
"eur_karl_grolman"	"C_General_Born_Soldier_2"
"eur_karl_grolman"	"C_General_Brave_2"
"eur_karl_lowenstern"	"C_General_of_Artillery_1"
"eur_karl_philipp"	"C_General_Good_Field_Commander_2"
"eur_karl_philipp"	"C_General_of_Cavalry_3"
"eur_karl_sivers"	"C_General_of_Artillery_1"
"eur_karl_sivers"	"C_General_of_Cavalry_1"
"eur_karol_kniaziewicz"	"C_General_Good_Field_Commander_2"
"eur_karol_kniaziewicz"	"C_General_Polish_Stubborn_1"
"eur_karoly_hadaly"	"C_Gent_Academic_Honours_2"
"eur_karoly_hadaly"	"C_Gent_Research_Philosophy_1"
"eur_koca_mehmed_pasha"	"C_Admiral_Good_2"
"eur_laurent_cyr"	"C_General_Defend_Good_1"
"eur_laurent_cyr"	"C_General_Grand_Armee"
"eur_leonard_macnally"	"C_Rake_Counter_Spy_1"
"eur_lorenzo_hervas_y_panduro"	"C_Gent_Research_Philosophy_2"
"eur_lorenzo_hervas_y_panduro"	"C_Personal_Piety_1"
"eur_louis_almeras"	"C_General_Attacker_Good_2"
"eur_louis_almeras"	"C_General_Brave_2"
"eur_louis_almeras"	"C_General_Good_Field_Commander_1"
"eur_louis_hilliers"	"C_General_Attacker_Good_2"
"eur_louis_hilliers"	"C_General_French_Elan_1"
"eur_louis_hilliers"	"C_General_of_Cavalry_1"
"eur_ludwig_wallmoden"	"C_General_of_Cavalry_1"
"eur_ludwig_wallmoden"	"C_General_of_Infantry_1"
"eur_luois_suchet"	"C_General_Attacker_Good_2"
"eur_luois_suchet"	"C_General_French_Elan_1"
"eur_luois_suchet"	"C_General_Good_Field_Commander_1"
"eur_luois_suchet"	"C_General_Grand_Armee"
"eur_manuel_de_godoy"	"C_Minister_Upright_1"
"eur_matthew_boulton"	"C_Gent_Research_Industry_2"
"eur_matthew_boulton"	"C_Gent_Science_Club_2"
"eur_matthew_darby"	"C_General_of_Infantry_1"
"eur_mauel_german"	"C_Gent_Research_Philosophy_2"
"eur_mauel_german"	"C_Personal_Piety_2"
"eur_mikhail_tolly"	"C_General_Attacker_Good_1"
"eur_mikhail_tolly"	"C_General_Brave_1"
"eur_mikhail_tolly"	"C_General_Good_Field_Commander_2"
"eur_mikhail_vorontsov"	"C_General_Born_Soldier_1"
"eur_mikhail_vorontsov"	"C_General_Russian_Vodka_1"
"eur_nicholas_appert"	"C_Gent_Research_Industry_2"
"eur_nicholas_vansittart"	"C_Minister_Fiscal_Genius_2"
"eur_nicolas_leblanc"	"C_Gent_Academic_Honours_1"
"eur_nicolas_leblanc"	"C_Gent_Science_Club_2"
"eur_nicolas_oudinot"	"C_General_Good_Field_Commander_1"
"eur_nicolas_oudinot"	"C_General_Grand_Armee"
"eur_nicolas_oudinot"	"C_General_of_Infantry_1"
"eur_nikolay_novikov"	"C_Gent_Research_Philosophy_2"
"eur_paul_davidovich"	"C_General_Good_Field_Commander_2"
"eur_paul_davidovich"	"C_General_of_Infantry_3"
"eur_paul_davidovich"	"C_General_Siege_Attack_Good_2"
"eur_paul_pahlen"	"C_General_Born_Soldier_1"
"eur_paul_pahlen"	"C_General_Brave_1"
"eur_pavel_chichagov"	"C_Admiral_Good_2"
"eur_pedro_caro"	"C_General_Attacker_Good_2"
