version 2, schema encyclopedia_blocks_tables, guid 54f4ea3f-7f78-438c-be87-573dfe3a56e5
unknown1(string)	unknown2(string)	unknown3(optstring)	unknown4(string)	unknown5(int)	unknown6(string)
"enc_glossary_mon"	"textblock"	nil	"right"	58	"002b_enc_glossary"
"enc_glossary_monshu"	"textblock"	nil	"right"	59	"002b_enc_glossary"
"enc_glossary_moon_people"	"textblock"	nil	"right"	60	"002b_enc_glossary"
"enc_glossary_naginata"	"textblock"	nil	"right"	61	"002b_enc_glossary"
"enc_glossary_naginatajutsu"	"textblock"	nil	"right"	62	"002b_enc_glossary"
"enc_glossary_nanban"	"textblock"	nil	"right"	63	"002b_enc_glossary"
"enc_glossary_netsuke"	"textblock"	nil	"right"	64	"002b_enc_glossary"
"enc_glossary_nihon_maru"	"textblock"	nil	"right"	65	"002b_enc_glossary"
"enc_glossary_ninja"	"textblock"	nil	"right"	66	"002b_enc_glossary"
"enc_glossary_ninjato"	"textblock"	nil	"right"	67	"002b_enc_glossary"
"enc_glossary_ninjutsu"	"textblock"	nil	"right"	68	"002b_enc_glossary"
"enc_glossary_niten_ichi-ryu"	"textblock"	nil	"right"	69	"002b_enc_glossary"
"enc_glossary_no-dachi"	"textblock"	nil	"right"	70	"002b_enc_glossary"
"enc_glossary_o-shuko"	"textblock"	nil	"right"	73	"002b_enc_glossary"
"enc_glossary_o-yoroi"	"textblock"	nil	"right"	77	"002b_enc_glossary"
"enc_glossary_onna_bugeisha"	"textblock"	nil	"right"	71	"002b_enc_glossary"
"enc_glossary_onsen"	"textblock"	nil	"right"	72	"002b_enc_glossary"
"enc_glossary_owatatsumi"	"textblock"	nil	"right"	74	"002b_enc_glossary"
"enc_glossary_oyabun"	"textblock"	nil	"right"	75	"002b_enc_glossary"
"enc_glossary_oyamatsumi"	"textblock"	nil	"right"	76	"002b_enc_glossary"
"enc_glossary_province"	"textblock"	nil	"right"	78	"002b_enc_glossary"
"enc_glossary_rikishi"	"textblock"	nil	"right"	79	"002b_enc_glossary"
"enc_glossary_ronin"	"textblock"	nil	"right"	80	"002b_enc_glossary"
"enc_glossary_sakoku"	"textblock"	nil	"right"	81	"002b_enc_glossary"
"enc_glossary_samurai"	"textblock"	nil	"right"	82	"002b_enc_glossary"
"enc_glossary_sekitori"	"textblock"	nil	"right"	83	"002b_enc_glossary"
"enc_glossary_sengoku_jidai"	"textblock"	nil	"right"	84	"002b_enc_glossary"
"enc_glossary_seppuku"	"textblock"	nil	"right"	85	"002b_enc_glossary"
"enc_glossary_shinobigatana"	"textblock"	nil	"right"	86	"002b_enc_glossary"
"enc_glossary_shinto"	"textblock"	nil	"right"	87	"002b_enc_glossary"
"enc_glossary_shiomatsuri"	"textblock"	nil	"right"	88	"002b_enc_glossary"
"enc_glossary_shogi"	"textblock"	nil	"right"	89	"002b_enc_glossary"
"enc_glossary_shogun"	"textblock"	nil	"right"	90	"002b_enc_glossary"
"enc_glossary_shogunate"	"textblock"	nil	"right"	91	"002b_enc_glossary"
"enc_glossary_shuriken"	"textblock"	nil	"right"	92	"002b_enc_glossary"
"enc_glossary_sohei"	"textblock"	nil	"right"	93	"002b_enc_glossary"
"enc_glossary_sojutsu"	"textblock"	nil	"right"	94	"002b_enc_glossary"
"enc_glossary_suburi"	"textblock"	nil	"right"	95	"002b_enc_glossary"
"enc_glossary_sumo"	"textblock"	nil	"right"	96	"002b_enc_glossary"
"enc_glossary_suneate"	"textblock"	nil	"right"	97	"002b_enc_glossary"
"enc_glossary_sushi"	"textblock"	nil	"right"	98	"002b_enc_glossary"
"enc_glossary_taiko"	"textblock"	nil	"right"	99	"002b_enc_glossary"
"enc_glossary_taisho"	"textblock"	nil	"right"	100	"002b_enc_glossary"
"enc_glossary_tanto"	"textblock"	nil	"right"	101	"002b_enc_glossary"
"enc_glossary_tenshu"	"textblock"	nil	"right"	102	"002b_enc_glossary"
"enc_glossary_teppo"	"textblock"	nil	"right"	103	"002b_enc_glossary"
"enc_glossary_torii"	"textblock"	nil	"right"	104	"002b_enc_glossary"
"enc_glossary_wakizashi"	"textblock"	nil	"right"	105	"002b_enc_glossary"
"enc_glossary_wako"	"textblock"	nil	"right"	106	"002b_enc_glossary"
"enc_glossary_yabusame"	"textblock"	nil	"right"	107	"002b_enc_glossary"
"enc_glossary_yari"	"textblock"	nil	"right"	108	"002b_enc_glossary"
"enc_glossary_yatagarasu"	"textblock"	nil	"right"	109	"002b_enc_glossary"
"enc_glossary_yokozuna"	"textblock"	nil	"right"	110	"002b_enc_glossary"
"enc_manual_skills"	"textblock"	nil	"right"	1	"042_enc_manual_skills"
"enc_text_advisor_help_advisor"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/advisor_panel.png"	"normal"	1	"002_enc_advisor_help"
"enc_text_advisor_help_advisor_back"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/cycle_arrow_active.png"	"left"	2	"002_enc_advisor_help"
"enc_text_enc_help_hyperlinks"	"textblock"	nil	"right"	3	"001_enc_enc_help"
"enc_text_enc_help_navigate"	"textblock"	nil	"left"	2	"001_enc_enc_help"
"enc_text_enc_help_open"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/button_encyclopaedia_active.png"	"left"	1	"001_enc_enc_help"
"enc_text_hist_battles_aizu"	"textblock"	nil	"right"	13	"062_enc_hist_battles"
"enc_text_hist_battles_anegawa"	"textblock"	nil	"right"	8	"062_enc_hist_battles"
"enc_text_hist_battles_hakodate"	"textblock"	nil	"right"	15	"062_enc_hist_battles"
"enc_text_hist_battles_intro"	"textblock"	nil	"right"	1	"062_enc_hist_battles"
"enc_text_hist_battles_kawagoe"	"textblock"	nil	"left"	2	"062_enc_hist_battles"
"enc_text_hist_battles_kawanakajima"	"textblock"	nil	"right"	3	"062_enc_hist_battles"
"enc_text_hist_battles_kizugawaguchi"	"textblock"	nil	"left"	4	"062_enc_hist_battles"
"enc_text_hist_battles_miyako_bay"	"textblock"	nil	"right"	14	"062_enc_hist_battles"
"enc_text_hist_battles_nagashima"	"textblock"	nil	"right"	5	"062_enc_hist_battles"
"enc_text_hist_battles_nagashino"	"textblock"	nil	"left"	6	"062_enc_hist_battles"
"enc_text_hist_battles_okehazama"	"textblock"	nil	"right"	7	"062_enc_hist_battles"
"enc_text_hist_battles_osaka_castle"	"textblock"	nil	"right"	11	"062_enc_hist_battles"
"enc_text_hist_battles_sekigahara"	"textblock"	nil	"left"	9	"062_enc_hist_battles"
"enc_text_hist_battles_toba_fushimi"	"textblock"	nil	"right"	10	"062_enc_hist_battles"
"enc_text_hist_battles_ueno"	"textblock"	nil	"right"	12	"062_enc_hist_battles"
"enc_text_manual_actions_campaign"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/campaign_screen.png"	"normal"	1	"018_enc_manual_actions_campaign"
"enc_text_manual_actions_campaign_construction"	"textblock"	nil	"right"	1	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_boshin_coastal_defences"	"textblock"	nil	"right"	1	"bosh_enc_coastal_defences"
"enc_text_manual_actions_campaign_construction_boshin_towers"	"textblock"	nil	"right"	10	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_castle"	"textblock"	nil	"left"	6	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_demolish"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/button_demolish_active.png"	"left"	3	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_infrastructure"	"textblock"	nil	"right"	7	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_infrastructure_farms"	"textblock"	nil	"right"	8	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_infrastructure_ports"	"textblock"	nil	"left"	9	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_legendary"	"textblock"	nil	"right"	5	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_repair"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/button_repair_building_active.png"	"left"	2	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_construction_speciality"	"textblock"	nil	"right"	4	"018e_enc_manual_actions_campaign_construction"
"enc_text_manual_actions_campaign_quick_save_load"	"textblock"	nil	"left"	3	"018_enc_manual_actions_campaign"
"enc_text_manual_actions_campaign_recruitment"	"textblock"	nil	"right"	1	"018a_enc_manual_actions_campaign_recruitment"
"enc_text_manual_actions_campaign_recruitment_field"	"textblock"	nil	"right"	2	"018a_enc_manual_actions_campaign_recruitment"
"enc_text_manual_actions_campaign_recruitment_ronin"	"textblock"	nil	"right"	4	"018a_enc_manual_actions_campaign_recruitment"
"enc_text_manual_actions_campaign_recruitment_upkeep"	"textblock"	nil	"right"	3	"018a_enc_manual_actions_campaign_recruitment"
"enc_text_manual_agent_actions_friendly_administration"	"textblock"	nil	"right"	10	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_friendly_instil_discipline"	"textblock"	nil	"right"	8	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_friendly_instil_fervour"	"textblock"	nil	"right"	6	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_friendly_perform"	"textblock"	nil	"right"	9	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_friendly_rally_populace"	"textblock"	nil	"right"	7	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_friendly_supervise_train"	"textblock"	nil	"right"	5	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_religious_calm"	"textblock"	nil	"right"	2	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_religious_conversion_character"	"textblock"	nil	"left"	2	"045a_enc_manual_agent_actions_religious"
"enc_text_manual_agent_actions_religious_conversion_population"	"textblock"	nil	"right"	1	"045a_enc_manual_agent_actions_religious"
"enc_text_manual_agent_actions_religious_demoralisation"	"textblock"	nil	"left"	4	"045a_enc_manual_agent_actions_religious"
"enc_text_manual_agent_actions_religious_incitement"	"textblock"	nil	"right"	3	"045a_enc_manual_agent_actions_religious"
"enc_text_manual_agent_actions_religious_inspire"	"textblock"	nil	"right"	5	"045a_enc_manual_agent_actions_religious"
"enc_text_manual_agent_actions_religious_inspire_geisha"	"textblock"	nil	"right"	4	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_sabotage_coerce_troops"	"textblock"	nil	"right"	20	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_sabotage_gates"	"textblock"	nil	"right"	21	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_sabotage_subdue_dissidents"	"textblock"	nil	"right"	19	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_assassination"	"textblock"	nil	"left"	2	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_boshin_allegiance"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\campaign\\bos_button_convert_shogunate_active.png"	"left"	1	"bosh_enc_allegiance"
"enc_text_manual_agent_actions_subterfuge_bribery"	"textblock"	nil	"left"	6	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_detection"	"textblock"	nil	"left"	8	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_distraction"	"textblock"	nil	"right"	11	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_enchant"	"textblock"	nil	"right"	17	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_entertainment"	"textblock"	nil	"right"	1	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_subterfuge_harass"	"textblock"	nil	"right"	15	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_incite_revolt"	"textblock"	nil	"right"	22	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_indoctrination"	"textblock"	nil	"right"	6	"045a_enc_manual_agent_actions_religious"
"enc_text_manual_agent_actions_subterfuge_overseeing"	"textblock"	nil	"right"	7	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_passive_spying"	"textblock"	nil	"right"	14	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_payoff"	"textblock"	nil	"right"	13	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_persuade"	"textblock"	nil	"right"	18	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_request_allegiance"	"textblock"	nil	"right"	12	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_sabotage"	"textblock"	nil	"right"	4	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_sabotage_army"	"textblock"	nil	"left"	5	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_scouting"	"textblock"	nil	"right"	3	"bosh_enc_agents_friendly_actions"
"enc_text_manual_agent_actions_subterfuge_seduction"	"textblock"	nil	"right"	10	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_single_combat"	"textblock"	nil	"right"	16	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_spy_network_ninja"	"textblock"	nil	"right"	3	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_spying"	"textblock"	nil	"right"	1	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agent_actions_subterfuge_trial"	"textblock"	nil	"right"	9	"044a_enc_manual_agent_actions_subterfuge"
"enc_text_manual_agents_religious"	"textblock"	nil	"right"	1	"045_enc_manual_agents_religious"
"enc_text_manual_agents_religious_gempei_monk"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\campaign\\agent_gempei_monk.png"	"left"	5	"045_enc_manual_agents_religious"
"enc_text_manual_agents_religious_ikko_monks"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/agent_monk.png"	"left"	4	"045_enc_manual_agents_religious"
"enc_text_manual_agents_religious_missionaries"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/agent_missionary.png"	"left"	3	"045_enc_manual_agents_religious"
"enc_text_manual_agents_religious_monks"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/agent_monk.png"	"left"	2	"045_enc_manual_agents_religious"
"enc_text_manual_agents_subterfuge"	"textblock"	nil	"right"	1	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_boshin_foreign_veteran"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\campaign\\bos_agent_french_veteran.png"	"left"	12	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_boshin_geisha"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_agent_geisha.png"	"left"	9	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_boshin_ishin_shishi"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_agent_ishinshishi.png"	"left"	11	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_boshin_shinobi"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_agent_shinobi.png"	"left"	8	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_boshin_shinsengumi"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_agent_shinsengumi.png"	"left"	10	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_geisha"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/agent_geisha.png"	"left"	3	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_gempei_dancer"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\campaign\\agent_gempei_dancer.png"	"left"	6	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_gempei_inspector"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\campaign\\agent_gempei_inspector.png"	"left"	7	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_gempei_spy"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\campaign\\agent_gempei_spy.png"	"left"	5	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_metsuke"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/agent_metsuke.png"	"left"	4	"044_enc_manual_agents_subterfuge"
"enc_text_manual_agents_subterfuge_ninja"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/agent_ninja.png"	"left"	2	"044_enc_manual_agents_subterfuge"
"enc_text_manual_army_attack"	"textblock"	nil	"right"	1	"028_enc_manual_army_attack"
"enc_text_manual_army_attack_ambush"	"textblock"	nil	"right"	4	"028_enc_manual_army_attack"
"enc_text_manual_army_attack_port_battle"	"textblock"	nil	"right"	6	"028_enc_manual_army_attack"
"enc_text_manual_army_attack_reinforcements"	"textblock"	nil	"right"	5	"028_enc_manual_army_attack"
"enc_text_manual_army_attack_resistance"	"textblock"	nil	"right"	3	"028_enc_manual_army_attack"
"enc_text_manual_army_attack_siege"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/prebattle/button_continue_siege_active.png"	"left"	2	"028_enc_manual_army_attack"
"enc_text_manual_army_attrition"	"textblock"	nil	"right"	1	"030_enc_manual_army_attrition"
"enc_text_manual_army_command_stars"	"textblock"	nil	"right"	2	"027_enc_manual_army_moves"
"enc_text_manual_army_experience"	"textblock"	nil	"right"	1	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea"	"textblock"	nil	"right"	11	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_1"	"textblock"	"UI\\Common UI\\Skins\\experience_1.tga"	"left"	12	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_2"	"textblock"	"UI\\Common UI\\Skins\\experience_2.tga"	"left"	13	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_3"	"textblock"	"UI\\Common UI\\Skins\\experience_3.tga"	"left"	14	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_4"	"textblock"	"UI\\Common UI\\Skins\\experience_4.tga"	"left"	15	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_5"	"textblock"	"UI\\Common UI\\Skins\\experience_5.tga"	"left"	16	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_6"	"textblock"	"UI\\Common UI\\Skins\\experience_6.tga"	"left"	17	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_7"	"textblock"	"UI\\Common UI\\Skins\\experience_7.tga"	"left"	18	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_8"	"textblock"	"UI\\Common UI\\Skins\\experience_8.tga"	"left"	19	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_sea_stats_9"	"textblock"	"UI\\Common UI\\Skins\\experience_9.tga"	"left"	20	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_1"	"textblock"	"UI\\Common UI\\Skins\\experience_1.tga"	"left"	2	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_2"	"textblock"	"UI\\Common UI\\Skins\\experience_2.tga"	"left"	3	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_3"	"textblock"	"UI\\Common UI\\Skins\\experience_3.tga"	"left"	4	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_4"	"textblock"	"UI\\Common UI\\Skins\\experience_4.tga"	"left"	5	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_5"	"textblock"	"UI\\Common UI\\Skins\\experience_5.tga"	"left"	6	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_6"	"textblock"	"UI\\Common UI\\Skins\\experience_6.tga"	"left"	7	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_7"	"textblock"	"UI\\Common UI\\Skins\\experience_7.tga"	"left"	8	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_8"	"textblock"	"UI\\Common UI\\Skins\\experience_8.tga"	"left"	9	"031_enc_manual_army_experience"
"enc_text_manual_army_experience_stats_9"	"textblock"	"UI\\Common UI\\Skins\\experience_9.tga"	"left"	10	"031_enc_manual_army_experience"
"enc_text_manual_army_fragments_merge"	"textblock"	nil	"right"	1	"029_enc_manual_army_fragments"
"enc_text_manual_army_fragments_replenish"	"textblock"	nil	"left"	2	"029_enc_manual_army_fragments"
"enc_text_manual_army_generals"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/general.png"	"left"	1	"027_enc_manual_army_moves"
"enc_text_manual_army_moves"	"textblock"	nil	"right"	3	"027_enc_manual_army_moves"
"enc_text_manual_army_moves_blocked"	"textblock"	nil	"left"	4	"027_enc_manual_army_moves"
"enc_text_manual_battle_boshin_multiple_armies"	"textblock"	nil	"right"	7	"046_enc_manual_battle_deployment"
"enc_text_manual_battle_conflict"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/battle_HUD.png"	"normal"	1	"047_enc_manual_battle_conflict"
"enc_text_manual_battle_conflict_abilities"	"textblock"	nil	"left"	1	"060_enc_manual_battle_conflict_abilities"
"enc_text_manual_battle_conflict_abilities_arrow_land"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_flaming_arrows.png"	"normal"	1	"060i_enc_manual_battle_conflict_abilities_arrow_land"
"enc_text_manual_battle_conflict_abilities_arrows_sea"	"textblock"	nil	"left"	2	"060i_enc_manual_battle_conflict_abilities_arrow_land"
"enc_text_manual_battle_conflict_abilities_arrows_whistling"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_whistling_arrows.png"	"normal"	1	"060z5_enc_manual_battle_conflict_abilities_arrows_whistling"
"enc_text_manual_battle_conflict_abilities_arrows_whistling_sea"	"textblock"	nil	"right"	2	"060z5_enc_manual_battle_conflict_abilities_arrows_whistling"
"enc_text_manual_battle_conflict_abilities_assassination"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_active_hiding.png"	"left"	1	"060a_enc_manual_battle_conflict_abilities_assassination"
"enc_text_manual_battle_conflict_abilities_bamboo"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_bamboo_wall.png"	"left"	1	"060b_enc_manual_battle_conflict_abilities_bamboo"
"enc_text_manual_battle_conflict_abilities_banzai"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_banzai.png"	"normal"	1	"060c_enc_manual_battle_conflict_abilities_banzai"
"enc_text_manual_battle_conflict_abilities_banzai_sea"	"textblock"	nil	"right"	2	"060c_enc_manual_battle_conflict_abilities_banzai"
