version 6, schema avatar_ancillaries_to_effects_junctions_tables, guid be6855e0-6717-469c-8afe-52e5a1168bb6
unknown1(string)	unknown2(string)	unknown3(float)	unknown4(boolean)	unknown5(boolean)	unknown6(optstring)	unknown7(int)
"cancel_enemy_ancillary_effect_sage_advisor"	"mp_anc_shinobi_informer"	1	false	true	nil	0
"reveal_enemy_deployment"	"mp_anc_shinobi_informer"	1	false	true	nil	0
"enable_unit_selection_great_guard"	"mp_anc_shoguns_emissary"	1	false	false	"great_guard"	0
"mod_enemy_reload_speed"	"mp_anc_short_sighted_inspector"	-10	false	true	"siege"	0
"mod_melee_attack"	"mp_anc_skilled_weaponsmith"	1	false	false	"spear_inf"	1
"mod_enemy_stamina"	"mp_anc_spoiled_rations"	0.1	false	true	"melee_inf"	0
"mod_melee_attack"	"mp_anc_steppe_horse_stud"	1	false	false	"cavalry_light"	1
"mod_enemy_ammo_quantity"	"mp_anc_sticky_fingered_storemaster"	0.9	true	true	"archery_all"	1
"mod_melee_attack"	"mp_anc_straw_practice_dummy"	1	false	false	"ashigaru_loan_sword"	1
"mod_enemy_armour"	"mp_anc_stricken_unholy_forge"	-1	false	true	"melee_inf"	1
"mod_ammo_quantity"	"mp_anc_supply_wagon"	8	false	false	"missile_all"	1
"mod_battle_casualties"	"mp_anc_surgeon"	0.8	true	false	"all_units"	0
"mod_marksmanship"	"mp_anc_target_range"	5	false	false	"archery_all"	1
"mod_bonus_vs_cavalry"	"mp_anc_tetsu_bishi_caltrops"	4	false	false	"spear_and_missile_all"	1
"mod_unit_cost"	"mp_anc_trading_post"	0.96	true	false	"all_units"	1
"mod_unit_speed"	"mp_anc_uma_i_horse_doctor"	1.1	true	false	"avatar"	1
"mod_unit_morale"	"mp_anc_uma_jirushi_nobori_standard_bearer"	3	false	false	"avatar"	1
"mod_enemy_melee_defence"	"mp_anc_unbalanced_spears"	-2	false	true	"spear_inf"	1
"mod_enemy_melee_attack"	"mp_anc_untrained_fugu_cook"	-2	false	true	"sword_inf"	1
"mod_stamina"	"mp_anc_water_carrier"	-0.1	false	false	"missile_all"	0
"mod_enemy_unit_morale"	"mp_anc_wavering_faith"	-2	false	true	"monk_all"	1
"mod_melee_defence"	"mp_anc_way_of_the_ikko_ikki"	2	false	false	"ikko_ikki_all_ash_monks"	1
"mod_unit_cost"	"mp_anc_way_of_the_ikko_ikki"	1.05	true	false	"ikko_ikki_all_ash_monks"	2
"mod_unit_morale"	"mp_anc_way_of_the_ikko_ikki"	1	false	false	"ikko_ikki_all_ash_monks"	3
"cancel_enemy_ancillary_effect_geisha_poisoner"	"mp_anc_wizened_monk"	1	false	true	nil	0
"mod_enemy_unit_morale"	"mp_anc_wizened_monk"	-1	false	true	"avatar"	2
"mod_unit_morale"	"mp_anc_wizened_monk"	1	false	false	"avatar"	1
"mod_melee_defence"	"mp_anc_wooden_practice_spears"	1	false	false	"ashigaru_yari"	1
"mod_enemy_marksmanship"	"mp_anc_world_weary"	-3	false	true	"veteran"	2
"mod_enemy_melee_attack"	"mp_anc_world_weary"	-1	false	true	"veteran"	1
"mod_enemy_unit_morale"	"mp_anc_world_weary"	-1	false	true	"veteran"	3
"mod_marksmanship"	"mp_anc_yabusami_master"	7	false	false	"avatar"	1
"mod_reload_speed"	"mp_anc_yabusami_master"	7	false	false	"avatar"	2
"mod_melee_attack"	"mp_anc_yagyu_sword_instructor"	1	false	false	"sword_inf"	1
"mod_stamina"	"mp_anc_yamabushi_guide"	-0.1	false	false	"all_units"	1
"mod_unit_ignores_terrain"	"mp_anc_yamabushi_guide"	0.8	true	false	"all_units"	2
"mod_melee_defence"	"mp_anc_yari_master"	2	false	false	"spear_inf"	1
"mod_reload_speed"	"mp_anc_yumi_officer"	5	false	false	"archery_inf"	1
"mod_enemy_hiding_reveal_distance"	"mp_anc_zen_like_silence"	0.85	true	true	"all_units"	1
"mod_stamina"	"mp_anc_zori_tori_sandal_bearer"	-0.1	false	false	"avatar"	0
"enable_unit_selection_artillery"	"mp_bosh_anc_artillery_officers_handbook"	1	false	false	"bosh_arty"	1
"mod_enemy_charge_bonus"	"mp_bosh_anc_bandit_horse_thieves"	-5	false	true	"cavalry_all"	1
"mod_melee_attack"	"mp_bosh_anc_blade_master"	2	false	false	"sword_inf"	1
"mod_marksmanship"	"mp_bosh_anc_blind_bow_sensei"	5	false	false	"archery_all"	1
"mod_naval_hull_strength"	"mp_bosh_anc_british_naval_engineer"	1.1	true	false	"bosh_naval_ironclad"	1
"mod_enemy_reload_speed"	"mp_bosh_anc_cold_snap"	-10	false	true	"archery_all"	0
"mod_naval_overheat_ability_cooldown"	"mp_bosh_anc_crack_frigate_crew"	0.9	true	false	"bosh_naval_frigate"	1
"mod_naval_reload_ability_cooldown"	"mp_bosh_anc_crack_frigate_crew"	0.9	true	false	"bosh_naval_frigate"	2
"mod_reload_speed"	"mp_bosh_anc_dreyse_needle_gun"	5	false	false	"bosh_elite"	1
"mod_naval_reload_speed"	"mp_bosh_anc_eager_lieutenant"	5	false	false	"bosh_naval_corvette"	1
"mod_naval_overheat_ability_cooldown"	"mp_bosh_anc_elite_ironclad_crew"	0.9	true	false	"bosh_naval_ironclad"	1
"mod_naval_reload_ability_cooldown"	"mp_bosh_anc_elite_ironclad_crew"	0.9	true	false	"bosh_naval_ironclad"	2
"mod_reload_speed"	"mp_bosh_anc_enfield_musketoon"	5	false	false	"bosh_gun_cav"	1
"mod_unit_speed"	"mp_bosh_anc_european_horse_trader"	1.05	true	false	"cavalry_all"	1
"mod_naval_overheat_ability_cooldown"	"mp_bosh_anc_experienced_gunboat_crew"	0.9	true	false	"bosh_naval_gunboat"	1
"mod_naval_reload_ability_cooldown"	"mp_bosh_anc_experienced_gunboat_crew"	0.9	true	false	"bosh_naval_gunboat"	2
"mod_armour"	"mp_bosh_anc_famous_armoury"	1	false	false	"melee_inf"	1
"mod_naval_marksmanship"	"mp_bosh_anc_fighting_captain"	5	false	false	"bosh_naval_frigate"	1
"mod_enemy_unit_morale"	"mp_bosh_anc_flogging_officer"	-1	false	true	"bosh_line_inf"	1
"mod_stamina"	"mp_bosh_anc_forage_parties"	-0.1	false	false	"cavalry_all"	0
"mod_enemy_ship_speed"	"mp_bosh_anc_foul_bottom"	0.75	true	true	"bosh_naval_frigate"	1
"mod_naval_unit_speed"	"mp_bosh_anc_french_naval_engineer"	1.2	true	false	"bosh_naval_frigate"	1
"mod_replenishment_rate"	"mp_bosh_anc_garden_of_convalescence"	2	false	false	"all_units"	0
"mod_enemy_naval_overheat_ability_cooldown"	"mp_bosh_anc_green_corvette_crew"	1.15	true	true	"bosh_naval_corvette"	1
"mod_enemy_naval_reload_ability_cooldown"	"mp_bosh_anc_green_corvette_crew"	1.15	true	true	"bosh_naval_corvette"	2
"mod_stamina"	"mp_bosh_anc_groom"	-0.2	false	false	"bosh_gun_cav"	1
"mod_naval_reload_speed"	"mp_bosh_anc_gun_crew_drill"	5	false	false	"bosh_naval_gunboat"	1
"mod_avatar_hp"	"mp_bosh_anc_hero_worshipping_boy"	2	false	false	"avatar"	1
"mod_naval_reload_speed"	"mp_bosh_anc_improved_breech_mechanism"	5	false	false	"bosh_naval_ironclad"	1
"mod_naval_marksmanship"	"mp_bosh_anc_improved_gun_sights"	5	false	false	"bosh_naval_corvette"	1
"mod_enemy_naval_marksmanship"	"mp_bosh_anc_incorrect_calibration"	-6	false	true	"bosh_naval_corvette"	1
"mod_enemy_naval_overheat_ability_cooldown"	"mp_bosh_anc_inexperienced_gunboat_crew"	1.15	true	true	"bosh_naval_gunboat"	1
"mod_enemy_naval_reload_ability_cooldown"	"mp_bosh_anc_inexperienced_gunboat_crew"	1.15	true	true	"bosh_naval_gunboat"	2
"mod_armour"	"mp_bosh_anc_kacchu_mochi_armour_bearer"	4	false	false	"avatar"	1
"mod_unit_speed"	"mp_bosh_anc_light_infantry_officer"	1.2	true	false	"bosh_light_inf"	1
"mod_enemy_unit_speed"	"mp_bosh_anc_livestock_pestilence"	-0.1	false	true	"cavalry_all"	0
"mod_stamina"	"mp_bosh_anc_military_storehouse"	-0.1	false	false	"melee_inf"	0
"mod_marksmanship"	"mp_bosh_anc_minie_muzzle_loading_rifle"	5	false	false	"bosh_light_inf"	1
"mod_charge_bonus"	"mp_bosh_anc_mochiyari_gumi_spear_bearer"	5	false	false	"avatar"	1
"mod_ammo_quantity"	"mp_bosh_anc_modern_supply_corps"	5	false	false	"bosh_line_inf"	1
"gate_opening_chance"	"mp_bosh_anc_monomi_spy"	1	false	true	nil	1
"mod_melee_attack"	"mp_bosh_anc_monomi_spy"	3	false	false	"ninja"	2
"mod_melee_defence"	"mp_bosh_anc_monomi_spy"	3	false	false	"ninja"	3
"mod_unit_speed"	"mp_bosh_anc_monomi_spy"	1.25	true	false	"ninja"	4
"mod_enemy_stamina"	"mp_bosh_anc_mouldy_feedstocks"	0.1	false	true	"cavalry_all"	0
"mod_distance_to_spot_enemies"	"mp_bosh_anc_mounted_scout"	30	false	false	"all_units"	0
"mod_enemy_reload_speed"	"mp_bosh_anc_muzzle_loading_carbine"	-6	false	true	"bosh_gun_cav"	1
"mod_enemy_reload_speed"	"mp_bosh_anc_muzzle_loading_muskets"	-6	false	true	"bosh_elite"	1
"mod_enemy_marksmanship"	"mp_bosh_anc_myopic_captain"	-6	false	true	"bosh_light_inf"	1
"mod_ammo_quantity"	"mp_bosh_anc_open_basketwork_quivers"	5	false	false	"archery_all"	1
"mod_enemy_unit_speed"	"mp_bosh_anc_overweight_infantry_officer"	0.75	true	true	"bosh_light_inf"	1
"mod_enemy_naval_reload_speed"	"mp_bosh_anc_pedantic_gun_captain"	-6	false	true	"bosh_naval_gunboat"	1
"mod_enemy_stamina"	"mp_bosh_anc_poor_bloodstock"	0.25	false	true	"bosh_gun_cav"	1
"mod_melee_attack"	"mp_bosh_anc_practice_grounds"	2	false	false	"cavalry_melee"	1
"mod_enemy_naval_overheat_ability_cooldown"	"mp_bosh_anc_raw_frigate_crew"	1.15	true	true	"bosh_naval_frigate"	1
"mod_enemy_naval_reload_ability_cooldown"	"mp_bosh_anc_raw_frigate_crew"	1.15	true	true	"bosh_naval_frigate"	2
"mod_enemy_reload_speed"	"mp_bosh_anc_rifled_barrels"	-6	false	true	"bosh_light_inf"	1
"mod_enemy_naval_overheat_ability_cooldown"	"mp_bosh_anc_scratch_ironclad_crew"	1.15	true	true	"bosh_naval_ironclad"	1
"mod_enemy_naval_reload_ability_cooldown"	"mp_bosh_anc_scratch_ironclad_crew"	1.15	true	true	"bosh_naval_ironclad"	2
"mod_melee_attack"	"mp_bosh_anc_scroll_of_inspirational_verse"	4	false	false	"avatar"	1
"reveal_enemy_deployment"	"mp_bosh_anc_shinobi_informer"	1	false	true	nil	0
"mod_naval_marksmanship"	"mp_bosh_anc_skilled_gun_captain"	5	false	false	"bosh_naval_gunboat"	1
"mod_melee_attack"	"mp_bosh_anc_skilled_weaponsmith"	1	false	false	"spear_inf"	1
"mod_enemy_marksmanship"	"mp_bosh_anc_skittish_mounts"	-6	false	true	"bosh_gun_cav"	1
"mod_reload_speed"	"mp_bosh_anc_snider_breech_loading_rifle"	5	false	false	"bosh_light_inf"	1
"mod_enemy_stamina"	"mp_bosh_anc_spoiled_rations"	0.1	false	true	"melee_inf"	0
"mod_enemy_ammo_quantity"	"mp_bosh_anc_sticky_fingered_storemaster"	0.9	true	true	"archery_all"	1
"mod_unit_speed"	"mp_bosh_anc_uma_i_horse_doctor"	1.1	true	false	"avatar"	1
"mod_unit_morale"	"mp_bosh_anc_uma_jirushi_nobori_standard_bearer"	3	false	false	"avatar"	1
"mod_enemy_melee_defence"	"mp_bosh_anc_unbalanced_spears"	-2	false	true	"spear_inf"	1
"mod_enemy_naval_reload_speed"	"mp_bosh_anc_unpracticed_gun_crews"	-6	false	true	"bosh_naval_ironclad"	1
"mod_enemy_ammo_quantity"	"mp_bosh_anc_unwaxed_cartridges"	0.85	true	true	"bosh_line_inf"	1
"mod_naval_overheat_ability_cooldown"	"mp_bosh_anc_veteran_corvette_crew"	0.9	true	false	"bosh_naval_corvette"	1
"mod_naval_reload_ability_cooldown"	"mp_bosh_anc_veteran_corvette_crew"	0.9	true	false	"bosh_naval_corvette"	2
"mod_unit_morale"	"mp_bosh_anc_von_clausewitzs_on_war"	1	false	false	"bosh_line_inf"	1
"mod_marksmanship"	"mp_bosh_anc_well_schooled_mounts"	5	false	false	"bosh_gun_cav"	1
"mod_stamina"	"mp_bosh_anc_yamabushi_guide"	-0.1	false	false	"all_units"	1
"mod_unit_ignores_terrain"	"mp_bosh_anc_yamabushi_guide"	0.8	true	false	"all_units"	2
"mod_melee_defence"	"mp_bosh_anc_yari_master"	2	false	false	"spear_inf"	1
"mod_reload_speed"	"mp_bosh_anc_yumi_officer"	5	false	false	"archery_inf"	1
"mod_enemy_hiding_reveal_distance"	"mp_bosh_anc_zen_like_silence"	0.85	true	true	"all_units"	1
"mod_stamina"	"mp_bosh_anc_zori_tori_sandal_bearer"	-0.1	false	false	"avatar"	0
"mod_battle_casualties"	"mp_bosh_clan_imperial"	0.8	true	false	"bosh_imperial"	0
"mod_battle_casualties"	"mp_bosh_clan_shogunate"	0.8	true	false	"bosh_shogunate"	0
"mod_battle_casualties"	"mp_clan_anc_bow"	0.8	true	false	"archery_all"	0
"mod_battle_casualties"	"mp_clan_anc_horse"	0.8	true	false	"cavalry_all"	0
"mod_battle_casualties"	"mp_clan_anc_spear"	0.8	true	false	"spear_inf"	0
"mod_battle_casualties"	"mp_clan_anc_sword"	0.8	true	false	"sword_inf"	0
"mod_bonus_vs_cavalry"	"mp_legendary_dragonfly_cutting_spear"	5	false	false	"avatar"	2
"mod_charge_bonus"	"mp_legendary_dragonfly_cutting_spear"	5	false	false	"avatar"	1
"mod_unit_speed"	"mp_legendary_flawless_mount_okage"	1.15	true	false	"avatar"	1
"mod_avatar_aura_radius"	"mp_legendary_hachiman_crest"	25	false	false	"avatar"	0
"mod_cooldown_rally"	"mp_legendary_hachiman_crest"	0.94	true	false	"avatar"	0
"mod_avatar_global_morale_effect"	"mp_legendary_heavenly_banner"	1	false	false	"all_units"	1
"enable_ability_scare_enemies"	"mp_legendary_hideous_menpo_mask"	3	false	false	"avatar"	0
"mod_unit_morale"	"mp_legendary_hideous_menpo_mask"	3	false	false	"avatar"	2
"mod_melee_defence"	"mp_legendary_kawari_kabuto_helm"	10	false	false	"avatar"	1
"mod_armour"	"mp_legendary_legendary_kabuto_of_ykok"	2	false	false	"avatar"	1
"mod_avatar_hp"	"mp_legendary_legendary_kabuto_of_ykok"	2	false	false	"avatar"	1
"mod_armour"	"mp_legendary_masterwork_do_maru_armour"	6	false	false	"avatar"	1
"mod_avatar_hp"	"mp_legendary_masterwork_kote_armguards"	2	false	false	"avatar"	1
"mod_melee_attack"	"mp_legendary_tenkagoken_sword"	10	false	false	"avatar"	1
