version 1, schema trait_level_effects_tables, guid 8b5854e3-7ffd-4df4-b137-d4916465e66e
Trait_Level_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"S2_boshin_veteran_imperialist_02"	"bos_agent_attribute_veteran_train_troops"	2
"S2_boshin_veteran_imperialist_03"	"bos_agent_attribute_veteran_train_troops"	3
"S2_boshin_veteran_japanophile_01"	"bos_gentlemen_happiness_bonus"	1
"S2_boshin_veteran_japanophile_02"	"bos_gentlemen_happiness_bonus"	2
"S2_boshin_veteran_japanophile_02"	"bos_movement_points_character"	7
"S2_boshin_veteran_japanophile_03"	"bos_gentlemen_happiness_bonus"	3
"S2_boshin_veteran_japanophile_03"	"bos_movement_points_character"	10
"S2_boshin_veteran_japanophobe_01"	"bos_agent_action_success_mod"	-1
"S2_boshin_veteran_japanophobe_02"	"bos_agent_action_success_mod"	-2
"S2_boshin_veteran_japanophobe_02"	"bos_movement_points_character"	-7
"S2_boshin_veteran_japanophobe_03"	"bos_agent_action_success_mod"	-3
"S2_boshin_veteran_japanophobe_03"	"bos_movement_points_character"	-10
"S2_boshin_veteran_mercenary_01"	"bos_agent_attribute_veteran_single_combat"	-1
"S2_boshin_veteran_mercenary_02"	"bos_agent_attribute_veteran_single_combat"	-2
"S2_boshin_veteran_mercenary_02"	"bos_escape_chance_action_mod"	1
"S2_boshin_veteran_mercenary_03"	"bos_agent_attribute_veteran_single_combat"	-2
"S2_boshin_veteran_mercenary_03"	"bos_escape_chance_action_mod"	2
"S2_boshin_veteran_teetotal_01"	"bos_agent_attribute_veteran_administration"	1
"S2_boshin_veteran_teetotal_02"	"bos_agent_attribute_veteran_supervise_recruitment"	2
"S2_boshin_veteran_teetotal_03"	"bos_agent_attribute_veteran_train_troops"	3
"S2_boshin_wife_ambition_1"	"bos_general_honourable"	-1
"S2_boshin_wife_beauty_1"	"bos_general_attribute_command_defend_all"	1
"S2_boshin_wife_cunning_1"	"bos_personal_security"	-5
"S2_boshin_wife_diplomatic_1"	"bos_general_honourable"	1
"S2_boshin_wife_fiscal_prudence_1"	"bos_general_mod_all_upkeep"	-10
"S2_boshin_wife_fiscal_prudence_1"	"bos_minister_morale_local"	-1
"S2_boshin_wife_loyal_1"	"bos_general_honourable"	1
"S2_boshin_wife_moneylover_1"	"bos_general_mod_all_upkeep"	10
"S2_boshin_wife_moneylover_1"	"bos_minister_morale_local"	1
"S2_boshin_wife_shrewish_1"	"bos_general_honourable"	-1
"S2_boshin_wife_shrewish_1"	"bos_movement_points_all_local"	7
"S2_trait_all_blokes_maimed_1"	"mod_unit_morale_local"	1
"S2_trait_all_blokes_maimed_2"	"mod_unit_morale_local"	1
"S2_trait_all_blokes_noodles_1"	"movement_points_all_local"	-7
"S2_trait_all_blokes_noodles_2"	"movement_points_all_local"	-10
"S2_trait_all_blokes_noodles_3"	"movement_points_all_local"	-15
"S2_trait_all_blokes_womaniser_1"	"movement_points_all_local"	-7
"S2_trait_all_blokes_womaniser_2"	"movement_points_all_local"	-10
"S2_trait_all_blokes_womaniser_3"	"movement_points_all_local"	-15
"S2_trait_daimyo_cruel_1"	"repression_character"	1
"S2_trait_daimyo_cruel_2"	"repression_character"	2
"S2_trait_daimyo_cruel_3"	"repression_character"	3
"S2_trait_daimyo_foreign_tastes_1"	"diplomacy_bonus_faction_leader"	10
"S2_trait_daimyo_foreign_tastes_2"	"diplomacy_bonus_faction_leader"	-10
"S2_trait_daimyo_foreign_tastes_2"	"happy_character_upper_negative"	-1
"S2_trait_daimyo_foreign_tastes_3"	"diplomacy_bonus_faction_leader"	-20
"S2_trait_daimyo_foreign_tastes_3"	"happy_character_upper_negative"	-1
"S2_trait_daimyo_foreign_tastes_3"	"happy_religion_catholic"	1
"S2_trait_daimyo_paranoia_1"	"personal_security"	-5
"S2_trait_daimyo_paranoia_2"	"personal_security"	-5
"S2_trait_daimyo_paranoia_2"	"repression_character"	1
"S2_trait_daimyo_paranoia_3"	"diplomacy_bonus_faction_leader"	-10
"S2_trait_daimyo_paranoia_3"	"personal_security"	-5
"S2_trait_daimyo_paranoia_3"	"repression_character"	2
"S2_trait_daimyo_peace_1"	"diplomacy_bonus_faction_leader"	10
"S2_trait_daimyo_peace_2"	"diplomacy_bonus_faction_leader"	10
"S2_trait_daimyo_peace_2"	"mod_character_loyalty"	-1
"S2_trait_daimyo_peace_3"	"diplomacy_bonus_faction_leader"	10
"S2_trait_daimyo_peace_3"	"mod_character_loyalty"	-2
"S2_trait_daimyo_protected_1"	"personal_security"	-2
"S2_trait_daimyo_protected_2"	"personal_security"	-5
"S2_trait_daimyo_protected_3"	"personal_security"	-10
"S2_trait_daimyo_summer_son_1"	"mod_unit_morale_local"	1
"S2_trait_daimyo_uncouth_1"	"diplomacy_bonus_faction_leader"	-20
"S2_trait_daimyo_uncouth_2"	"diplomacy_bonus_faction_leader"	-20
"S2_trait_daimyo_uncouth_2"	"happy_character_upper_negative"	-1
"S2_trait_daimyo_uncouth_3"	"diplomacy_bonus_faction_leader"	-30
"S2_trait_daimyo_uncouth_3"	"personal_security"	5
"S2_trait_daimyo_unjust_1"	"repression_character"	1
"S2_trait_daimyo_unjust_2"	"happy_character_upper_negative"	-1
"S2_trait_daimyo_unjust_2"	"repression_character"	1
"S2_trait_daimyo_unjust_3"	"happy_character_upper_negative"	-2
"S2_trait_daimyo_unjust_3"	"repression_character"	2
"S2_trait_geisha_maimed_1"	"agent_attribute_subterfuge_assassination"	-1
"S2_trait_geisha_maimed_2"	"agent_attribute_subterfuge_assassination"	-2
"S2_trait_geisha_maimed_2"	"personal_security"	-2
"S2_trait_general_ambition_1"	"general_bodyguard_attack_bonus"	1
"S2_trait_general_ambition_2"	"general_bodyguard_attack_bonus"	1
"S2_trait_general_ambition_2"	"general_loyalty_bonus"	-1
"S2_trait_general_ambition_3"	"general_bodyguard_morale_bonus"	-1
"S2_trait_general_ambition_3"	"general_loyalty_bonus"	-2
"S2_trait_general_bloodthirsty_1"	"mod_unit_morale_enemy"	-1
"S2_trait_general_bloodthirsty_2"	"mod_unit_morale_enemy"	-1
"S2_trait_general_bloodthirsty_3"	"mod_unit_morale_enemy"	-1
"S2_trait_general_brave_1"	"mod_unit_morale_local"	1
"S2_trait_general_brave_2"	"mod_unit_morale_local"	1
"S2_trait_general_brave_3"	"mod_unit_morale_local"	1
"S2_trait_general_coward_1"	"mod_unit_morale_local"	-1
"S2_trait_general_coward_2"	"mod_unit_morale_local"	-1
"S2_trait_general_coward_3"	"mod_unit_morale_local"	-1
"S2_trait_general_coward_3"	"personal_security"	-2
"S2_trait_general_drunkard_1"	"mod_unit_morale_local"	1
"S2_trait_general_drunkard_2"	"mod_unit_morale_local"	1
"S2_trait_general_drunkard_3"	"general_attribute_command_land_attack"	1
"S2_trait_general_drunkard_3"	"general_attribute_command_sea_attack"	1
"S2_trait_general_drunkard_3"	"mod_unit_morale_local"	1
"S2_trait_general_drunkard_4"	"general_attribute_command_land_defence"	-1
"S2_trait_general_drunkard_4"	"general_attribute_command_sea_defence"	-1
"S2_trait_general_drunkard_4"	"mod_unit_morale_local"	-1
"S2_trait_general_drunkard_5"	"general_attribute_command_land_defence"	-2
"S2_trait_general_drunkard_5"	"general_attribute_command_sea_defence"	-2
"S2_trait_general_drunkard_5"	"mod_unit_morale_local"	-1
"S2_trait_general_ikko_fanatic_1"	"conversion_state_religion_local"	1
"S2_trait_general_ikko_fanatic_2"	"conversion_state_religion_local"	2
"S2_trait_general_ikko_fanatic_3"	"conversion_state_religion_local"	3
"S2_trait_general_ikko_looter_1"	"looting_mod"	10
"S2_trait_general_ikko_looter_2"	"looting_mod"	15
"S2_trait_general_ikko_looter_3"	"looting_mod"	20
"S2_trait_general_loyal_1"	"general_loyalty_bonus"	1
"S2_trait_general_loyal_2"	"general_loyalty_bonus"	2
"S2_trait_general_loyal_3"	"general_loyalty_bonus"	3
"S2_trait_general_mad_1"	"mod_unit_morale_local"	1
"S2_trait_general_mad_2"	"mod_unit_morale_local"	-1
"S2_trait_general_mad_3"	"general_attribute_command_land_attack"	-1
"S2_trait_general_mad_3"	"general_attribute_command_sea_attack"	-1
"S2_trait_general_mad_3"	"mod_unit_morale_local"	-1
"S2_trait_general_mad_grief_1"	"general_bodyguard_morale_bonus"	-1
"S2_trait_general_mad_grief_2"	"general_bodyguard_morale_bonus"	-1
"S2_trait_general_mad_grief_2"	"mod_unit_melee_local"	1
"S2_trait_general_mad_grief_3"	"general_bodyguard_morale_bonus"	-1
"S2_trait_general_mad_grief_3"	"mod_unit_melee_local"	2
"S2_trait_general_nocturnal_1"	"enable_night_battles"	1
"S2_trait_general_paranoia_1"	"personal_security"	-2
"S2_trait_general_paranoia_2"	"personal_security"	-5
"S2_trait_general_paranoia_3"	"personal_security"	-10
"S2_trait_general_plunder_1"	"mod_unit_morale_local"	1
"S2_trait_general_plunder_2"	"mod_unit_morale_local"	1
"S2_trait_general_plunder_3"	"mod_unit_morale_local"	1
"S2_trait_general_protected_1"	"personal_security"	-2
"S2_trait_general_protected_2"	"personal_security"	-5
"S2_trait_general_protected_3"	"personal_security"	-10
"S2_trait_general_seasick_1"	"movement_points_sea"	-7
"S2_trait_general_seasick_2"	"general_attribute_command_sea_attack"	-1
"S2_trait_general_seasick_2"	"general_attribute_command_sea_defence"	-1
"S2_trait_general_seasick_2"	"movement_points_sea"	-10
"S2_trait_general_seasick_3"	"general_attribute_command_sea_attack"	-2
"S2_trait_general_seasick_3"	"general_attribute_command_sea_defence"	-2
"S2_trait_general_seasick_3"	"movement_points_sea"	-15
"S2_trait_metsuke_corrupt_1"	"gdp_industry"	-1
"S2_trait_metsuke_corrupt_2"	"gdp_industry"	-2
"S2_trait_metsuke_corrupt_3"	"gdp_industry"	-3
"S2_trait_metsuke_cruel_1"	"agent_attribute_cunning_apprehension"	1
"S2_trait_metsuke_cruel_2"	"agent_attribute_cunning_apprehension"	2
"S2_trait_metsuke_cruel_3"	"agent_attribute_cunning_apprehension"	2
"S2_trait_metsuke_cruel_3"	"happy_character_upper_negative"	-1
"S2_trait_metsuke_drunkard_1"	"agent_attribute_cunning_oversee_town"	1
"S2_trait_metsuke_drunkard_2"	"agent_attribute_cunning_apprehension"	-1
"S2_trait_metsuke_drunkard_3"	"agent_attribute_cunning_apprehension"	-1
"S2_trait_metsuke_drunkard_3"	"agent_attribute_cunning_oversee_town"	-1
"S2_trait_metsuke_paranoia_1"	"personal_security"	-2
"S2_trait_metsuke_paranoia_2"	"personal_security"	-5
"S2_trait_metsuke_paranoia_3"	"personal_security"	-10
"S2_trait_missionary_corrupt_1"	"gdp_farm"	-1
"S2_trait_missionary_corrupt_2"	"gdp_farm"	-2
"S2_trait_missionary_corrupt_3"	"gdp_farm"	-2
"S2_trait_missionary_corrupt_3"	"happy_religion_catholic_negative"	-1
"S2_trait_missionary_drunkard_1"	"agent_attribute_zeal_convert_character"	-1
"S2_trait_missionary_drunkard_2"	"agent_attribute_zeal_convert_character"	-2
"S2_trait_missionary_drunkard_3"	"agent_attribute_zeal_conversion"	-2
"S2_trait_missionary_jaded_1"	"agent_attribute_zeal_conversion"	-1
"S2_trait_missionary_jaded_2"	"agent_attribute_zeal_conversion"	-2
"S2_trait_missionary_jaded_3"	"agent_attribute_zeal_conversion"	-3
"S2_trait_monk_drunkard_1"	"agent_attribute_zeal_convert_character"	-1
"S2_trait_monk_drunkard_2"	"agent_attribute_zeal_convert_character"	-2
"S2_trait_monk_drunkard_3"	"agent_attribute_zeal_conversion"	-2
"S2_trait_monk_fighter_1"	"personal_security"	-2
"S2_trait_monk_fighter_2"	"personal_security"	-5
"S2_trait_monk_fighter_3"	"personal_security"	-10
"S2_trait_monk_unworldly_1"	"agent_attribute_zeal_convert_character"	1
"S2_trait_monk_unworldly_2"	"agent_attribute_zeal_convert_character"	2
"S2_trait_monk_unworldly_3"	"agent_attribute_zeal_convert_character"	3
"S2_trait_ninja_drunkard_1"	"agent_action_success_mod"	-1
"S2_trait_ninja_drunkard_2"	"agent_action_success_mod"	-2
"S2_trait_ninja_drunkard_3"	"agent_ninja_stealth_mod"	-5
"S2_trait_ninja_enjoys_it_1"	"agent_ninja_killing_chance_mod"	1
"S2_trait_ninja_enjoys_it_2"	"agent_ninja_killing_chance_mod"	2
"S2_trait_ninja_enjoys_it_3"	"agent_ninja_killing_chance_mod"	3
"S2_trait_wife_ambition_1"	"general_honourable"	-1
"S2_trait_wife_beauty_1"	"general_attribute_command_land_defence"	1
"S2_trait_wife_cunning_1"	"personal_security"	-5
"S2_trait_wife_diplomatic_1"	"general_honourable"	1
"S2_trait_wife_fiscal_prudence_1"	"mod_unit_morale_local"	-1
"S2_trait_wife_fiscal_prudence_1"	"mod_unit_upkeep_all_local"	-10
"S2_trait_wife_loyal_1"	"general_honourable"	1
"S2_trait_wife_moneylover_1"	"mod_unit_morale_local"	1
"S2_trait_wife_moneylover_1"	"mod_unit_upkeep_all_local"	5
"S2_trait_wife_shrewish_1"	"general_honourable"	-1
"S2_trait_wife_shrewish_1"	"movement_points_all_local"	10
