version 1, schema ancillary_types_tables, guid 58253966-82fe-4ce4-90a1-23ca64a5504f
Ancillary_Type_ID(string)	Picture_Path(string)
"mp_anc_infantry_officer_icon"	"mp_anc_infantry_officer_icon.tga"
"mp_anc_inspiring_orator_icon"	"mp_anc_inspiring_orator_icon.tga"
"mp_anc_iron_abumi_stirrups_icon"	"mp_anc_iron_abumi_stirrups_icon.tga"
"mp_anc_junsatsushi_inspector_icon"	"mp_anc_junsatsushi_inspector_icon.tga"
"mp_anc_kacchu_mochi_armour_bearer_icon"	"mp_anc_kacchu_mochi_armour_bearer_icon.tga"
"mp_anc_katana_of_the_pure_land_icon"	"mp_anc_katana_of_the_pure_land_icon.tga"
"mp_anc_lightweight_gunjingura_war_saddle_icon"	"mp_anc_lightweight_gunjingura_war_saddle_icon.tga"
"mp_anc_livestock_pestilence_icon"	"mp_anc_livestock_pestilence_icon.tga"
"mp_anc_lotus_sect_adherent_icon"	"mp_anc_lotus_sect_adherent_icon.tga"
"mp_anc_lowland_farmer_icon"	"mp_anc_lowland_farmer_icon.tga"
"mp_anc_loyal_fudai_shu_retainers_icon"	"mp_anc_loyal_fudai_shu_retainers_icon.tga"
"mp_anc_mark_of_fantacism_icon"	"mp_anc_mark_of_fantacism_icon.tga"
"mp_anc_metsuke_inspector_icon"	"mp_anc_metsuke_inspector_icon.tga"
"mp_anc_military_storehouse_icon"	"mp_anc_military_storehouse_icon.tga"
"mp_anc_mochiyari_gumi_spear_bearer_icon"	"mp_anc_mochiyari_gumi_spear_bearer_icon.tga"
"mp_anc_monomi_spy_icon"	"mp_anc_monomi_spy_icon.tga"
"mp_anc_mouldy_feed_stocks_icon"	"mp_anc_mouldy_feed_stocks_icon.tga"
"mp_anc_mountain_herder_icon"	"mp_anc_mountain_herder_icon.tga"
"mp_anc_mounted_scout_icon"	"mp_anc_mounted_scout_icon.tga"
"mp_anc_nasu_no_yoichi_icon"	"mp_anc_nasu_no_yoichi_icon.tga"
"mp_anc_ninja_jonin_icon"	"mp_anc_ninja_jonin_icon.tga"
"mp_anc_okinawan_pirate_crew_icon"	"mp_anc_okinawan_pirate_crew_icon.tga"
"mp_anc_open_basketwork_quivers_icon"	"mp_anc_open_basketwork_quivers_icon.tga"
"mp_anc_ox_carts_icon"	"mp_anc_ox_carts_icon.tga"
"mp_anc_portable_shrine_icon"	"mp_anc_portable_shrine_icon.tga"
"mp_anc_practice_grounds_icon"	"mp_anc_practice_grounds_icon.tga"
"mp_anc_productive_rice_paddy_icon"	"mp_anc_productive_rice_paddy_icon.tga"
"mp_anc_rennyos_teachings_icon"	"mp_anc_rennyos_teachings_icon.tga"
"mp_anc_sage_advisor_icon"	"mp_anc_sage_advisor_icon.tga"
"mp_anc_sake_peddler_icon"	"mp_anc_sake_peddler_icon.tga"
"mp_anc_scroll_of_inspirational_verse_icon"	"mp_anc_scroll_of_inspirational_verse_icon.tga"
"mp_anc_seasoned_mariner_icon"	"mp_anc_seasoned_mariner_icon.tga"
"mp_anc_shinobi_informer_icon"	"mp_anc_shinobi_informer_icon.tga"
"mp_anc_shirabyoshi_dancer_icon"	"mp_anc_shirabyoshi_dancer_icon.tga"
"mp_anc_shoguns_emissary_icon"	"mp_anc_shoguns_emissary_icon.tga"
"mp_anc_short_sighted_inspector_icon"	"mp_anc_short_sighted_inspector_icon.tga"
"mp_anc_siege_engine_instructor_icon"	"mp_anc_siege_engine_instructor_icon.tga"
"mp_anc_skilled_weaponsmith_icon"	"mp_anc_skilled_weaponsmith_icon.tga"
"mp_anc_sou_monk_icon"	"mp_anc_sou_monk_icon.tga"
"mp_anc_spoiled_rations_icon"	"mp_anc_spoiled_rations_icon.tga"
"mp_anc_steppe_horse_stud_icon"	"mp_anc_steppe_horse_stud_icon.tga"
"mp_anc_sticky_fingered_storemaster_icon"	"mp_anc_sticky_fingered_storemaster_icon.tga"
"mp_anc_straw_practice_dummy_icon"	"mp_anc_straw_practice_dummy_icon.tga"
"mp_anc_stricken_unholy_forge_icon"	"mp_anc_stricken_unholy_forge_icon.tga"
"mp_anc_supply_wagon_icon"	"mp_anc_supply_wagon_icon.tga"
"mp_anc_surgeon_icon"	"mp_anc_surgeon_icon.tga"
"mp_anc_tajima_arrow_cutter_icon"	"mp_anc_tajima_arrow_cutter_icon.tga"
"mp_anc_target_range_icon"	"mp_anc_target_range_icon.tga"
"mp_anc_tetsu_bishi_caltrops_icon"	"mp_anc_tetsu_bishi_caltrops_icon.tga"
"mp_anc_trading_post_icon"	"mp_anc_trading_post_icon.tga"
"mp_anc_uma_i_horse_doctor_icon"	"mp_anc_uma_i_horse_doctor_icon.tga"
"mp_anc_uma_jirushi_standard_bearer_icon"	"mp_anc_uma_jirushi_standard_bearer_icon.tga"
"mp_anc_unbalanced_spears_icon"	"mp_anc_unbalanced_spears_icon.tga"
"mp_anc_untrained_fugu_cook_icon"	"mp_anc_untrained_fugu_cook_icon.tga"
"mp_anc_water_carrier_icon"	"mp_anc_water_carrier_icon.tga"
"mp_anc_wavering_faith_icon"	"mp_anc_wavering_faith_icon.tga"
"mp_anc_way_of_the_ikko_ikki_icon"	"mp_anc_way_of_the_ikko_ikki_icon.tga"
"mp_anc_wizened_monk_icon"	"mp_anc_wizened_monk_icon.tga"
"mp_anc_wooden_practice_spears_icon"	"mp_anc_wooden_practice_spears_icon.tga"
"mp_anc_world_weary_icon"	"mp_anc_world_weary_icon.tga"
"mp_anc_yabusami_master_icon"	"mp_anc_yabusami_master_icon.tga"
"mp_anc_yagyu_sword_instructor_icon"	"mp_anc_yagyu_sword_instructor_icon.tga"
"mp_anc_yamabushi_guide_icon"	"mp_anc_yamabushi_guide_icon.tga"
"mp_anc_yari_master_icon"	"mp_anc_yari_master_icon.tga"
"mp_anc_yari_sojutsu_spear_trainer_icon"	"mp_anc_yari_sojutsu_spear_trainer_icon.tga"
"mp_anc_yumi_master_icon"	"mp_anc_yumi_master_icon.tga"
"mp_anc_yumi_officer_icon"	"mp_anc_yumi_officer_icon.tga"
"mp_anc_zen_like_silence_icon"	"mp_anc_zen_like_silence_icon.tga"
"mp_anc_zori_tori_sandal_bearer_icon"	"mp_anc_zori_tori_sandal_bearer_icon.tga"
"mp_bos_artillery_officers_handbook"	"bos_artillery_officers_handbook.tga"
"mp_bos_british_naval_engineer"	"bos_british_naval_engineer.tga"
"mp_bos_crack_frigate_crew"	"bos_crack_frigate_crew.tga"
"mp_bos_dreyse_needle_gun"	"bos_dreyse_needle_gun.tga"
"mp_bos_eager_lieutenant"	"bos_eager_lieutenant.tga"
"mp_bos_elite_ironclad_crew"	"bos_elite_ironclad_crew.tga"
"mp_bos_enfield_musketoon"	"bos_enfield_musketoon.tga"
"mp_bos_experienced_gunboat_crew"	"bos_experienced_gunboat_crew.tga"
"mp_bos_fighting_captain"	"bos_fighting_captain.tga"
"mp_bos_flogging_officer"	"bos_flogging_officer.tga"
"mp_bos_foul_bottom"	"bos_foul_bottom.tga"
"mp_bos_french_naval_engineer"	"bos_french_naval_engineer.tga"
"mp_bos_green_corvette_crew"	"bos_green_corvette_crew.tga"
"mp_bos_groom"	"bos_groom.tga"
"mp_bos_gun_crew_drill"	"bos_gun_crew_drill.tga"
"mp_bos_improved_breach_mechanism"	"bos_improved_breach_mechanism.tga"
"mp_bos_improved_gun_sights"	"bos_improved_gun_sights.tga"
"mp_bos_incorrect_calibration"	"bos_incorrect_calibration.tga"
"mp_bos_inexperienced_gunboat_crew"	"bos_inexperienced_gunboat_crew.tga"
"mp_bos_light_infantry_officer"	"bos_light_infantry_officer.tga"
"mp_bos_minie_muzzle_loading_rifle"	"bos_minie_muzzle_loading_rifle.tga"
"mp_bos_modern_supply_corps"	"bos_modern_supply_corps.tga"
"mp_bos_muzzle_loading_carbine"	"bos_muzzle_loading_carbine.tga"
"mp_bos_muzzle_loading_muskets"	"bos_muzzle_loading_muskets.tga"
"mp_bos_myopic_captain"	"bos_myopic_captain.tga"
"mp_bos_overweight_infantry_officer"	"bos_overweight_infantry_officer.tga"
"mp_bos_pedantic_gun_captain"	"bos_pedantic_gun_captain.tga"
"mp_bos_poor_bloodstock"	"bos_poor_bloodstock.tga"
"mp_bos_raw_frigate_crew"	"bos_raw_frigate_crew.tga"
"mp_bos_rifled_barrels"	"bos_rifled_barrels.tga"
"mp_bos_scratch_ironclad_crew"	"bos_scratch_ironclad_crew.tga"
"mp_bos_skilled_gun_captain"	"bos_skilled_gun_captain.tga"
"mp_bos_skittish_mounts"	"bos_skittish_mounts.tga"
"mp_bos_snider_breech_loading_rifle"	"bos_snider_breech_loading_rifle.tga"
"mp_bos_unpracticed_gun_crews"	"bos_unpracticed_gun_crews.tga"
"mp_bos_unwaxed_cartridges"	"bos_unwaxed_cartridges.tga"
"mp_bos_veteran_corvette_crew"	"bos_veteran_corvette_crew.tga"
"mp_bos_von_clausewitzs_on_war"	"bos_von_clausewitzs_on_war.tga"
"mp_bos_well_schooled_mounts"	"bos_well_schooled_mounts.tga"
"mp_clan_anc_bow_icon"	"mp_clan_anc_bow_icon.tga"
"mp_clan_anc_horse_icon"	"mp_clan_anc_horse_icon.tga"
"mp_clan_anc_spear_icon"	"mp_clan_anc_spear_icon.tga"
"mp_clan_anc_sword_icon"	"mp_clan_anc_sword_icon.tga"
"mp_legendary_dragonfly_cutting_spear_icon"	"mp_legendary_dragonfly_cutting_spear_icon.tga"
"mp_legendary_flawless_mount_okage_icon"	"mp_legendary_flawless_mount_okage_icon.tga"
"mp_legendary_hachiman_crest_icon"	"mp_legendary_hachiman_crest_icon.tga"
"mp_legendary_heavenly_banner_icon"	"mp_legendary_heavenly_banner_icon.tga"
"mp_legendary_hideous_menpo_mask_icon"	"mp_legendary_hideous_menpo_mask_icon.tga"
"mp_legendary_kawari_kabuto_helm_icon"	"mp_legendary_kawari_kabuto_helm_icon.tga"
"mp_legendary_legendary_kabuto_of_ykok_icon"	"mp_legendary_legendary_kabuto_of_ykok_icon.tga"
"mp_legendary_masterwork_do_maru_armour_icon"	"mp_legendary_masterwork_do_maru_armour_icon.tga"
"mp_legendary_masterwork_kote_armguards_icon"	"mp_legendary_masterwork_kote_armguards_icon.tga"
"mp_legendary_tenkagoken_sword_icon"	"mp_legendary_tenkagoken_sword_icon.tga"
"ninja"	"ninja.tga"
"object_flag"	"object_flag.tga"
"old_blind_woman"	"old_blind_woman.tga"
"oriental_cat"	"oriental_cat.tga"
"origami_piece"	"origami_piece.tga"
"parrot"	"parrot.tga"
"peasant_farmer"	"peasant_farmer.tga"
"peasant_townsman"	"peasant_townsman.tga"
"pile_of_rocks"	"pile_of_rocks.tga"
"rubber_practice_bow"	"rubber_practice_bow.tga"
"sack_of_rice"	"sack_of_rice.tga"
"sacred_scroll"	"sacred_scroll.tga"
"samurai_armoured"	"samurai_armoured.tga"
"samurai_civilian_dress"	"samurai_civilian_dress.tga"
"servant_household"	"servant_household.tga"
"shakuhachi"	"shakuhachi.tga"
"sumo_lardy"	"sumo_lardy.tga"
"tea_cup"	"tea_cup.tga"
"tiger"	"tiger.tga"
"weapon_japanese_naginata"	"weapon_japanese_naginata.tga"
"weapon_matchlock"	"weapon_matchlock.tga"
"weapon_small_bomb"	"weapon_small_bomb.tga"
"weapon_sword_european"	"weapon_sword_european.tga"
"weapon_sword_japanese"	"weapon_sword_japanese.tga"
"weapon_sword_wooden"	"weapon_sword_wooden.tga"
"weapon_throwing_star"	"weapon_throwing_star.tga"
"weapon_tiger_claws"	"weapon_tiger_claws.tga"
"wooden_beads"	"wooden_beads.tga"
"wooden_staff"	"wooden_staff.tga"
