version 1, schema diplomacy_negotiation_faction_override_strings_tables
Diplomatic_string_ID(string)	culture(string)	Government_system(string)	faction(string)	government_system_of_faction(string)
"acknowledge_counter_accept"	"egy_european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_republic"	"france"	"france_republic_acknowledge_counter_accept"
"acknowledge_counter_accept"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_counter_accept"
"acknowledge_counter_reject"	"egy_european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"egy_european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"egy_european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_counter_reject"
"acknowledge_counter_reject"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_counter_reject"
"acknowledge_war"	"egy_european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_absolute_monarchy"	"france"	"france_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_republic"	"austria"	"austria_republic_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_republic"	"britain"	"britain_republic_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_republic"	"france"	"france_republic_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_republic"	"prussia"	"prussia_republic_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_republic"	"spain"	"spain_republic_acknowledge_war"
"acknowledge_war"	"egy_european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"austria"	"austria_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"britain"	"britain_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"france"	"france_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"prussia"	"prussia_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"spain"	"spain_republic_acknowledge_war"
"acknowledge_war"	"european"	"gov_republic"	"sweden"	"sweden_republic_acknowledge_war"
"approach_hostile"	"egy_european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_approach_hostile"
"approach_hostile"	"egy_european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_approach_hostile"
"approach_hostile"	"egy_european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_approach_hostile"
"approach_hostile"	"egy_european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_approach_hostile"
"approach_hostile"	"egy_middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_approach_hostile"
"approach_hostile"	"egy_middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_approach_hostile"
"approach_hostile"	"egy_middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_approach_hostile"
"approach_hostile"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_approach_hostile"
"approach_hostile"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_approach_hostile"
"approach_hostile"	"middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_approach_hostile"
"approach_hostile"	"middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_approach_hostile"
"approach_hostile"	"middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_approach_hostile"
"approach_unfriendly"	"egy_european"	"gov_republic"	"britain"	"britain_republic_approach_unfriendly"
"approach_unfriendly"	"european"	"gov_republic"	"britain"	"britain_republic_approach_unfriendly"
"approach_very_friendly"	"egy_european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_approach_very_friendly"
"approach_very_friendly"	"egy_european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_approach_very_friendly"
"approach_very_friendly"	"egy_european"	"gov_republic"	"spain"	"spain_republic_approach_very_friendly"
"approach_very_friendly"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_approach_very_friendly"
"approach_very_friendly"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_approach_very_friendly"
"approach_very_friendly"	"european"	"gov_republic"	"spain"	"spain_republic_approach_very_friendly"
"cancel_alliance"	"egy_european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_cancel_alliance"
"cancel_alliance"	"egy_european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_cancel_alliance"
"cancel_alliance"	"egy_european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_cancel_alliance"
"cancel_alliance"	"egy_european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_cancel_alliance"
"cancel_alliance"	"egy_european"	"gov_republic"	"sweden"	"sweden_republic_cancel_alliance"
"cancel_alliance"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_cancel_alliance"
"cancel_alliance"	"european"	"gov_republic"	"sweden"	"sweden_republic_cancel_alliance"
"cancel_military_access"	"egy_european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_cancel_military_access"
"cancel_military_access"	"egy_european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_cancel_military_access"
"cancel_military_access"	"egy_european"	"gov_republic"	"britain"	"britain_republic_cancel_military_access"
"cancel_military_access"	"egy_european"	"gov_republic"	"russia"	"russia_republic_cancel_military_access"
"cancel_military_access"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_cancel_military_access"
"cancel_military_access"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_cancel_military_access"
"cancel_military_access"	"european"	"gov_republic"	"britain"	"britain_republic_cancel_military_access"
"cancel_military_access"	"european"	"gov_republic"	"russia"	"russia_republic_cancel_military_access"
"demand_military_access"	"egy_european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_demand_military_access"
"demand_military_access"	"egy_european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_demand_military_access"
"demand_military_access"	"egy_european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_demand_military_access"
"demand_military_access"	"egy_european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_demand_military_access"
"demand_military_access"	"egy_european"	"gov_republic"	"prussia"	"prussia_republic_demand_military_access"
"demand_military_access"	"egy_european"	"gov_republic"	"russia"	"russia_republic_demand_military_access"
"demand_military_access"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_demand_military_access"
"demand_military_access"	"european"	"gov_republic"	"prussia"	"prussia_republic_demand_military_access"
"demand_military_access"	"european"	"gov_republic"	"russia"	"russia_republic_demand_military_access"
"demand_regions"	"egy_european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_demand_regions"
"demand_regions"	"egy_european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_demand_regions"
"demand_regions"	"egy_european"	"gov_republic"	"austria"	"austria_republic_demand_regions"
"demand_regions"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_demand_regions"
"demand_regions"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_demand_regions"
"demand_regions"	"european"	"gov_republic"	"austria"	"austria_republic_demand_regions"
"demand_regular_payment"	"egy_european"	"gov_absolute_monarchy"	"france"	"france_monarchy_demand_regular_payment"
"demand_regular_payment"	"egy_european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_demand_regular_payment"
"demand_regular_payment"	"egy_european"	"gov_republic"	"france"	"france_republic_demand_regular_payment"
"demand_regular_payment"	"egy_middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_demand_regular_payment"
"demand_regular_payment"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_demand_regular_payment"
"demand_regular_payment"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_demand_regular_payment"
"demand_regular_payment"	"european"	"gov_republic"	"france"	"france_republic_demand_regular_payment"
"demand_regular_payment"	"middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_demand_regular_payment"
"demand_single_payment"	"egy_middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_demand_single_payment"
"demand_single_payment"	"middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_demand_single_payment"
"generic_offer_demand"	"egy_middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_generic_offer_demand"
"generic_offer_demand"	"middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_generic_offer_demand"
"generic_reject_1"	"egy_european"	"gov_absolute_monarchy"	"france"	"france_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_republic"	"france"	"france_republic_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_republic"	"spain"	"spain_republic_generic_reject_1"
"generic_reject_1"	"egy_european"	"gov_republic"	"sweden"	"sweden_republic_generic_reject_1"
"generic_reject_1"	"egy_middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_1"
"generic_reject_1"	"egy_middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_generic_reject_1"
"generic_reject_1"	"european"	"gov_republic"	"france"	"france_republic_generic_reject_1"
"generic_reject_1"	"european"	"gov_republic"	"spain"	"spain_republic_generic_reject_1"
"generic_reject_1"	"european"	"gov_republic"	"sweden"	"sweden_republic_generic_reject_1"
"generic_reject_1"	"middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_1"
"generic_reject_1"	"middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_1"
"generic_reject_2"	"egy_european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_2"	"egy_european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_2"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_2"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_generic_reject_1"
"generic_reject_angry_1"	"egy_european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_republic"	"austria"	"austria_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_republic"	"britain"	"britain_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_republic"	"france"	"france_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_republic"	"prussia"	"prussia_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_european"	"gov_republic"	"russia"	"russia_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"egy_middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"austria"	"austria_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"britain"	"britain_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"france"	"france_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"prussia"	"prussia_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"european"	"gov_republic"	"russia"	"russia_republic_generic_reject_angry_1"
"generic_reject_angry_1"	"middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_1"
"generic_reject_angry_1"	"middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_1"
"generic_reject_angry_2"	"egy_european"	"gov_absolute_monarchy"	"france"	"france_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"egy_european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"egy_european"	"gov_republic"	"prussia"	"prussia_republic_generic_reject_angry_2"
"generic_reject_angry_2"	"egy_middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"egy_middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"european"	"gov_absolute_monarchy"	"france"	"france_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"european"	"gov_constitutional_monarchy"	"france"	"france_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"european"	"gov_republic"	"prussia"	"prussia_republic_generic_reject_angry_2"
"generic_reject_angry_2"	"middle_east"	"gov_absolute_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_2"
"generic_reject_angry_2"	"middle_east"	"gov_constitutional_monarchy"	"egy_ottomans"	"ottomans_monarchy_generic_reject_angry_2"
"offer_demand_alliance"	"egy_european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"egy_european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"egy_european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"egy_european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"egy_european"	"gov_republic"	"prussia"	"prussia_republic_offer_demand_alliance"
"offer_demand_alliance"	"egy_european"	"gov_republic"	"sweden"	"sweden_republic_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_absolute_monarchy"	"prussia"	"prussia_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_absolute_monarchy"	"sweden"	"sweden_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_constitutional_monarchy"	"prussia"	"prussia_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_constitutional_monarchy"	"sweden"	"sweden_monarchy_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_republic"	"prussia"	"prussia_republic_offer_demand_alliance"
"offer_demand_alliance"	"european"	"gov_republic"	"sweden"	"sweden_republic_offer_demand_alliance"
"offer_demand_peace"	"egy_european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_offer_demand_peace"
"offer_demand_peace"	"egy_european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_offer_demand_peace"
"offer_demand_peace"	"egy_european"	"gov_republic"	"spain"	"spain_republic_offer_demand_peace"
"offer_demand_peace"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_offer_demand_peace"
"offer_demand_peace"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_offer_demand_peace"
"offer_demand_peace"	"european"	"gov_republic"	"spain"	"spain_republic_offer_demand_peace"
"offer_demand_trade"	"egy_middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_offer_demand_trade"
"offer_demand_trade"	"middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_offer_demand_trade"
"offer_regular_payment"	"egy_middle_east"	"gov_republic"	"egy_ottomans"	"ottomans_republic_offer_regular_payment"
