version 1, schema campaign_ai_character_skill_tree_junctions_tables, guid 799ac7f1-14a6-4768-b9b8-02c537edf7bb
unknown1(string)	unknown2(int)	unknown3(string)
"general_strategist"	50	"general_infantry_leader"
"general_strategist"	10	"general_inspirational"
"general_strategist"	10	"general_intimidating"
"general_strategist"	10	"general_legendary_warrior"
"general_strategist"	10	"general_living_treasure"
"general_strategist"	10	"general_master_horseman"
"general_strategist"	10	"general_master_swordsman"
"general_strategist"	10	"general_pirate"
"general_strategist"	10	"general_poet"
"general_strategist"	10	"general_religious"
"general_strategist"	50	"general_siege_attacker"
"general_strategist"	50	"general_siege_defender"
"general_strategist"	50	"general_strategist"
"general_strategist"	0	"general_warrior"
"general_warrior"	10	"general_admiral"
"general_warrior"	10	"general_ambush"
"general_warrior"	10	"general_ashigaru_general"
"general_warrior"	10	"general_cavalry_commander"
"general_warrior"	50	"general_diehard_fighter"
"general_warrior"	10	"general_field_attacker"
"general_warrior"	10	"general_field_defender"
"general_warrior"	10	"general_honourable"
"general_warrior"	10	"general_infantry_leader"
"general_warrior"	10	"general_inspirational"
"general_warrior"	10	"general_intimidating"
"general_warrior"	50	"general_legendary_warrior"
"general_warrior"	10	"general_living_treasure"
"general_warrior"	50	"general_master_horseman"
"general_warrior"	50	"general_master_swordsman"
"general_warrior"	10	"general_pirate"
"general_warrior"	10	"general_poet"
"general_warrior"	10	"general_religious"
"general_warrior"	10	"general_siege_attacker"
"general_warrior"	10	"general_siege_defender"
"general_warrior"	10	"general_strategist"
"general_warrior"	50	"general_warrior"
