version 1, schema character_traits_tables
Trait_ID(string)	Unknown1(int)	Unknown2(boolean)	Unknown3(int)	Trait_Category(string)
"C_General_Bloody"	1	false	2	"Character Quirk"
"C_General_Born_Soldier"	1	false	1	"Character Quirk"
"C_General_Brave"	3	false	3	"Character Quirk"
"C_General_Coward"	3	false	2	"Character Quirk"
"C_General_Defender_Bad"	3	false	2	"Military"
"C_General_Defender_Good"	3	false	3	"Military"
"C_General_Drunkard"	4	false	2	"Character Quirk"
"C_General_French_Elan"	1	false	1	"Military"
"C_General_Good_Field_Commander"	3	false	3	"Military"
"C_General_Lampooned"	3	false	2	"Personal"
"C_General_Mad"	1	false	2	"Character Quirk"
"C_General_Martinet"	1	false	3	"Military"
"C_General_of_Artillery"	3	false	3	"Military"
"C_General_of_Cavalry"	3	false	3	"Military"
"C_General_of_Infantry"	3	false	3	"Military"
"C_General_Polish_Stubborn"	1	false	1	"Military"
"C_General_Press_Hero"	3	false	3	"Military"
"C_General_Prussian_Blue"	1	false	1	"Character Quirk"
"C_General_Russian_Vodka"	1	false	1	"Military"
"C_General_Scout"	1	false	3	"Military"
"C_General_Siege_Attack_Bad"	3	false	2	"Military"
"C_General_Siege_Attack_Good"	3	false	3	"Military"
"C_General_Siege_Defend_Bad"	3	false	2	"Military"
"C_General_Siege_Defend_Good"	3	false	3	"Military"
"C_General_Slacker"	1	false	2	"Personal"
"C_General_Swedish_Aggression"	1	false	1	"Personal"
"C_General_Turkish_Master_Gunner"	1	false	1	"Personal"
"C_Gent_Academic_Honours"	1	false	3	"Personal"
"C_Gent_Duelling_Pistol"	1	false	3	"Personal"
"C_Gent_Duelling_Sword"	1	false	3	"Personal"
"C_Gent_Research_Agriculture"	1	false	3	"Technology"
"C_Gent_Research_Civil"	1	false	3	"Technology"
"C_Gent_Research_Economics"	1	false	3	"Technology"
"C_Gent_Research_Industry"	1	false	3	"Technology"
"C_Gent_Research_Military"	1	false	3	"Technology"
"C_Gent_Research_Navy"	1	false	3	"Technology"
"C_Gent_Research_Philosophy"	1	false	3	"Technology"
"C_Gent_Science_Club"	1	false	3	"Technology"
"C_Honourable_Service"	1	false	3	"Personal"
"C_Infected_Cholera"	2	false	9	"Personal"
"C_Infected_Dengue_Fever"	1	false	9	"Personal"
"C_Infected_Dysentry"	1	false	9	"Personal"
"C_Infected_Influenza"	1	false	9	"Personal"
"C_Infected_Leprosy"	1	false	9	"Personal"
"C_Infected_Malaria"	1	false	9	"Personal"
"C_Infected_Measles"	1	false	9	"Personal"
"C_Infected_Plague"	1	false	9	"Personal"
"C_Infected_Scurvy"	1	false	9	"Personal"
"C_Infected_Smallpox"	2	false	9	"Personal"
"C_Infected_TB"	1	false	9	"Personal"
"C_Infected_Typhus"	2	false	9	"Personal"
"C_Infected_Yellow_Fever"	2	false	9	"Personal"
"C_Leader_Agent_99"	1	false	3	"Espionage"
"C_Leader_Army_Buff"	1	false	3	"Military"
"C_Leader_Clever_Stick"	1	false	3	"Character Quirk"
"C_Leader_Debauched"	1	false	3	"Character Quirk"
"C_Leader_Dullard"	1	false	3	"Character Quirk"
"C_Leader_Enlightened_Despot"	1	false	3	"Law & Order"
"C_Leader_Favourites"	1	false	3	"Character Quirk"
"C_Leader_Fertile"	1	false	3	"Personal"
"C_Leader_Foreign_Tastes"	1	false	3	"Character Quirk"
"C_Leader_Harsh_Ruler"	1	false	3	"Law & Order"
"C_Leader_Humanist"	1	false	3	"Character Quirk"
"C_Leader_Huntin_Shootin_Fishin"	1	false	3	"Character Quirk"
"C_Leader_Inbred"	1	false	3	"Personal"
"C_Leader_Infertile"	2	false	3	"Personal"
"C_Leader_Intellectual_Pretensions"	1	false	3	"Character Quirk"
"C_Leader_M"	1	false	3	"Espionage"
"C_Leader_Mad"	1	false	3	"Character Quirk"
"C_Leader_Merit"	1	false	3	"Character Quirk"
"C_Leader_Mr_Waverley"	1	false	3	"Espionage"
"C_Leader_Natural_King"	1	false	3	"Character Quirk"
"C_Leader_Natural_President"	1	false	3	"Character Quirk"
"C_Leader_Navy_Buff"	1	false	3	"Naval"
"C_Leader_Philistine"	1	false	3	"Character Quirk"
"C_Leader_Uncouth"	1	false	3	"Character Quirk"
"C_Leader_Witty"	1	false	3	"Character Quirk"
"C_Minister_Army_Good"	1	false	3	"Military"
"C_Minister_Corrupt"	1	false	3	"Character Quirk"
"C_Minister_Entertainer"	1	false	3	"Construction"
"C_Minister_Fiscal_Genius"	1	false	3	"Finance"
"C_Minister_Industrialist"	1	false	3	"Construction"
"C_Minister_Miser"	1	false	3	"Finance"
"C_Minister_Navy_Good"	1	false	3	"Naval"
"C_Minister_Physiocrat"	1	false	3	"Construction"
"C_Minister_Radical"	1	false	3	"Character Quirk"
"C_Minister_Reactionary"	1	false	3	"Character Quirk"
"C_Minister_Trader"	1	false	3	"Construction"
"C_Minister_Unjust"	1	false	3	"Law & Order"
"C_Minister_Upright"	1	false	3	"Character Quirk"
"C_Napoleon_Career_Artillery_Cadet"	1	false	3	"Character Quirk"
"C_Napoleon_Career_Corsican"	1	false	9	"Character Quirk"
"C_Napoleon_Career_Empereur"	1	false	3	"Character Quirk"
"C_Napoleon_Career_Harsh_Ruler"	1	false	3	"Character Quirk"
"C_Napoleon_Career_Leader"	1	false	3	"Character Quirk"
"C_Napoleon_Career_Legend"	1	false	3	"Character Quirk"
"C_Napoleon_Career_Navigator"	1	false	9	"Character Quirk"
"C_Napoleon_Career_Tactician"	1	false	3	"Character Quirk"
"C_Napoleon_Career_Traveller"	1	false	9	"Character Quirk"
"C_Napoleon_Emperor_Of_The_French"	1	false	3	"Personal"
"C_Napoleon_King_Of_Italy"	1	false	3	"Personal"
"C_Napoleon_Protector_Of_The_Rhine"	1	false	3	"Personal"
"C_NTW_General_Anti_Looter"	1	false	3	"Military"
"C_NTW_General_Grand_Armee"	1	false	3	"Military"
"C_NTW_General_Looter_Good"	1	false	3	"Military"
"C_NTW_Gent_Agitator"	1	false	3	"Espionage"
"C_Personal_Hale"	3	false	1	"Personal"
"C_Personal_High_Personal_Security"	3	false	2	"Character Quirk"
"C_Personal_Piety"	3	false	1	"Personal"
"C_Personal_Sickly"	3	false	1	"Character Quirk"
"C_Rake_Assassin_Good"	1	false	3	"Espionage"
"C_Rake_Born_Bounder"	1	false	3	"Espionage"
"C_Rake_Counter_Spy"	1	false	3	"Espionage"
"C_Rake_Im_A_Laydee"	2	false	1	"Espionage"
"C_Rake_Naughty_Club"	3	false	1	"Personal"
"C_Rake_Sabot_Good"	1	false	3	"Espionage"
"C_Rake_Spy_Good"	1	false	3	"Espionage"
"C_Sausage_Vice"	3	false	1	"Personal"
"Spain_C_Agent_Provocateur_Pure_Blood"	1	false	3	"Personal"
"Spain_C_Agent_Provocateur_Radical"	1	false	3	"Character Quirk"
"Spain_C_Agent_Guerrillero_Bandit"	1	false	3	"Espionage"
"Spain_C_Agent_Priest_Patriot"	1	false	3	"Personal"
"Spain_C_Agent_Guerrillero_Former_Soldier"	1	false	3	"Espionage"
"Spain_C_Agent_Priest_Politics"	1	false	3	"Personal"
"Spain_C_Agent_Provocateur_Dirty_Fighter"	1	false	3	"Personal"
"Spain_C_Agent_Guerrillero_Torturer"	1	false	3	"Espionage"
"Spain_C_Agent_Guerrillero_Dead_Family"	1	false	3	"Personal"
"Spain_C_General_Guerrilla_Leader"	1	false	3	"Military"
