version 1, schema campaign_map_settlements_tables
Settlement_ID(string)	Region(string)	Capital(string)	Unknown2(int)	Slot(string)
"settlement:dutch_guyana:paramaribo"	"dutch_guyana"	"Paramaribo"	1	"settlement"
"settlement:egypt:cairo"	"egypt"	"Cairo"	4	"settlement"
"settlement:england:london"	"england"	"London"	5	"settlement"
"settlement:estonia_and_livonia:riga"	"estonia_and_livonia"	"Riga"	1	"settlement"
"settlement:finland:aabo"	"finland"	"Åbo"	1	"settlement"
"settlement:flanders:brussels"	"flanders"	"Brussels"	1	"settlement"
"settlement:florida:st_augustine"	"florida"	"St. Augustine"	1	"settlement"
"settlement:france:paris"	"france"	"Paris"	5	"settlement"
"settlement:french_guyana:cayenne"	"french_guyana"	"Cayenne"	1	"settlement"
"settlement:galicia:lwow"	"galicia"	"Lwów"	1	"settlement"
"settlement:genoa:genoa"	"genoa"	"Genoa"	1	"settlement"
"settlement:georgia:tbilisi"	"georgia"	"Tbilisi"	1	"settlement"
"settlement:georgia_usa:savannah"	"georgia_usa"	"Savannah"	1	"settlement"
"settlement:gibraltar:gibraltar"	"gibraltar"	"Gibraltar"	1	"settlement"
"settlement:great_plains:knife_river_village"	"great_plains"	"Knife River Village"	1	"settlement"
"settlement:greece:athens"	"greece"	"Athens"	4	"settlement"
"settlement:guatemala:antigua_guatemala"	"guatemala"	"Antigua Guatemala"	1	"settlement"
"settlement:gujarat:ahmedabad"	"gujarat"	"Ahmedabad"	4	"settlement"
"settlement:hannover:hannover"	"hannover"	"Hannover"	1	"settlement"
"settlement:hindustan:agra"	"hindustan"	"Agra"	4	"settlement"
"settlement:hispaniola:santo_domingo"	"hispaniola"	"Santo Domingo"	1	"settlement"
"settlement:hungary:pressburg"	"hungary"	"Preßburg"	1	"settlement"
"settlement:huron_territory:fort_sault_ste-marie"	"huron_territory"	"Fort Sault Ste. Marie"	1	"settlement"
"settlement:hyderabad:hyderabad"	"hyderabad"	"Hyderabad"	4	"settlement"
"settlement:iceland:reykjavik"	"iceland"	"Reykjavík"	1	"settlement"
"settlement:ingria:st_petersburg"	"ingria"	"St. Petersburg"	5	"settlement"
"settlement:ireland:dublin"	"ireland"	"Dublin"	1	"settlement"
"settlement:iroquois_territory:cayuga"	"iroquois_territory"	"Cayuga"	1	"settlement"
"settlement:iroquois_territory:cayuga_natives"	"iroquois_territory"	"Cayuga"	3	"settlement"
"settlement:jamaica:port_royal"	"jamaica"	"Port Royal"	1	"settlement"
"settlement:kaintuck_territory:tanase"	"kaintuck_territory"	"Tanase"	1	"settlement"
"settlement:karelia:petrovskaya_sloboda"	"karelia"	"Petrovskaya Sloboda"	1	"settlement"
"settlement:kashmir:srinagar"	"kashmir"	"Srinagar"	1	"settlement"
"settlement:komi:ust_sysolsk"	"komi"	"Ust-Sysolsk"	1	"settlement"
"settlement:labrador:agvituk"	"labrador"	"Agvituk"	1	"settlement"
"settlement:leeward_islands:antigua"	"leeward_islands"	"Antigua"	1	"settlement"
"settlement:lithuania:vilnius"	"lithuania"	"Vilnius"	4	"settlement"
"settlement:lower_louisiana:new_orleans"	"lower_louisiana"	"New Orleans"	1	"settlement"
"settlement:maine:falmouth"	"maine"	"Falmouth"	1	"settlement"
"settlement:malabar:goa"	"malabar"	"Goa"	1	"settlement"
"settlement:malta:valletta"	"malta"	"Valletta"	1	"settlement"
"settlement:malwa:ujjain"	"malwa"	"Ujjain"	1	"settlement"
"settlement:maryland:annapolis"	"maryland"	"Annapolis"	1	"settlement"
"settlement:mesopotamia:baghdad"	"mesopotamia"	"Baghdad"	4	"settlement"
"settlement:michigan_territory:detroit"	"michigan_territory"	"Fort Pontchartrain du Detroit"	1	"settlement"
"settlement:milan:milano"	"milan"	"Milan"	1	"settlement"
"settlement:moldavia:iasi"	"moldavia"	"Iaşi"	1	"settlement"
"settlement:morea:patras"	"morea"	"Patras"	1	"settlement"
"settlement:morocco:tangier"	"morocco"	"Tangier"	4	"settlement"
"settlement:muscovy:moscow"	"muscovy"	"Moscow"	5	"settlement"
"settlement:mysore:mysore"	"mysore"	"Mysore"	4	"settlement"
"settlement:naples:naples"	"naples"	"Naples"	1	"settlement"
"settlement:natives_algonquin_territory:niagara"	"natives_algonquin_territory"	"Niagara"	1	"settlement"
"settlement:natives_apache_territory:quivira"	"natives_apache_territory"	"Quivira"	3	"settlement"
"settlement:natives_black_hills:knife_river_village"	"natives_black_hills"	"Knife River Village"	1	"settlement"
"settlement:natives_cheyenne_territory:cheyenne"	"natives_cheyenne_territory"	"Cheyenne"	1	"settlement"
"settlement:natives_chickasaw_territory:autiamique"	"natives_chickasaw_territory"	"Autiamique"	3	"settlement"
"settlement:natives_chihuahua:chihuahua"	"natives_chihuahua"	"Chihuahua"	1	"settlement"
"settlement:natives_huron_territory:ft_st_marie"	"natives_huron_territory"	"Fort Sault Ste. Marie"	3	"settlement"
"settlement:natives_indiana_territory:shikaawa"	"natives_indiana_territory"	"Shikaakwa"	1	"settlement"
"settlement:natives_labrador:agvituk"	"natives_labrador"	"Agvituk"	1	"settlement"
"settlement:natives_michigan_territory:detroit"	"natives_michigan_territory"	"Fort Pontchartrain du Detroit"	1	"settlement"
"settlement:natives_nw_territory:york_factory"	"natives_nw_territory"	"York Factory"	1	"settlement"
"settlement:natives_ohio_territory:fallen_timbers"	"natives_ohio_territory"	"Fallen Timbers"	1	"settlement"
"settlement:natives_ruperts_land:moose_factory"	"natives_ruperts_land"	"Moose Factory"	1	"settlement"
"settlement:natives_sioux_territory:sioux_falls"	"natives_sioux_territory"	"Sioux Falls"	3	"settlement"
"settlement:natives_u_louisiana:fort_chartres"	"natives_u_louisiana"	"Fort de Chartres"	1	"settlement"
"settlement:natives_wichita_territory:wichita_falls"	"natives_wichita_territory"	"Wichita Falls"	1	"settlement"
"settlement:netherlands:amsterdam"	"netherlands"	"Amsterdam"	5	"settlement"
"settlement:new_andalusia:caracas"	"new_andalusia"	"Caracas"	4	"settlement"
"settlement:new_andalusia:caracas_natives"	"new_andalusia"	"Caracas"	3	"settlement"
"settlement:new_england:boston"	"new_england"	"Boston"	4	"settlement"
"settlement:new_england:boston_ep2"	"new_england"	"Boston"	1	"settlement"
"settlement:new_england:boston_natives"	"new_england"	"Boston"	3	"settlement"
"settlement:new_france:quebec"	"new_france"	"Québec"	4	"settlement"
"settlement:new_france:quebec_ep2"	"new_france"	"Québec"	1	"settlement"
"settlement:new_france:quebec_natives"	"new_france"	"Québec"	3	"settlement"
"settlement:new_grenada:bogota"	"new_grenada"	"Bogotá"	1	"settlement"
"settlement:new_mexico:santa_fe"	"new_mexico"	"Santa Fe"	1	"settlement"
"settlement:new_spain:mexico"	"new_spain"	"México"	4	"settlement"
"settlement:new_spain:mexico_natives"	"new_spain"	"Mexico"	3	"settlement"
"settlement:new_york:albany"	"new_york"	"Albany"	1	"settlement"
"settlement:newfoundland:plaissance"	"newfoundland"	"Plaissance"	1	"settlement"
"settlement:northwest_territories:york_factory"	"northwest_territories"	"York Factory"	1	"settlement"
"settlement:norway:christiania"	"norway"	"Christiania"	1	"settlement"
"settlement:ontario:montreal"	"ontario"	"Montréal"	1	"settlement"
"settlement:orissa:cuttack"	"orissa"	"Cuttack"	1	"settlement"
"settlement:palestine:jerusalem"	"palestine"	"Jerusalem"	4	"settlement"
"settlement:panama:panama"	"panama"	"Panama"	1	"settlement"
"settlement:pennsylvania:ep_1_philadelphia"	"pennsylvania"	"Philadelphia"	1	"settlement"
"settlement:pennsylvania:philadelphia"	"pennsylvania"	"Philadelphia"	5	"settlement"
"settlement:pennsylvania:philadelphia_natives"	"pennsylvania"	"Philadelphia"	3	"settlement"
"settlement:persia:isfahan"	"persia"	"Isfahan"	4	"settlement"
"settlement:poland:warsaw"	"poland"	"Warsaw"	5	"settlement"
"settlement:portugal:lisbon"	"portugal"	"Lisbon"	5	"settlement"
"settlement:prussia:konigsberg"	"prussia"	"Königsberg"	5	"settlement"
"settlement:punjab:lahore"	"punjab"	"Lahore"	4	"settlement"
"settlement:rajpootana:udaipur"	"rajpootana"	"Udaipur"	1	"settlement"
"settlement:rhineland:koln"	"rhineland"	"Cologne"	1	"settlement"
"settlement:rumelia:constantinople"	"rumelia"	"Istanbul"	5	"settlement"
"settlement:ruperts_land:moose_factory"	"ruperts_land"	"Moose Factory"	1	"settlement"
"settlement:sardinia:caligari"	"sardinia"	"Cagliari"	1	"settlement"
"settlement:savoy:turin"	"savoy"	"Turin"	1	"settlement"
"settlement:saxony:dresden"	"saxony"	"Dresden"	4	"settlement"
"settlement:scotland:edinburgh"	"scotland"	"Edinburgh"	4	"settlement"
"settlement:serbia:belgrade"	"serbia"	"Belgrade"	1	"settlement"
"settlement:silesia:breslau"	"silesia"	"Breslau"	1	"settlement"
"settlement:sindh:neroon_kot"	"sindh"	"Neroon Kot"	1	"settlement"
"settlement:spain:madrid"	"spain"	"Madrid"	5	"settlement"
"settlement:sweden:stockholm"	"sweden"	"Stockholm"	5	"settlement"
"settlement:syria:damascus"	"syria"	"Damascus"	4	"settlement"
"settlement:tatariya:kazan"	"tatariya"	"Kazan"	1	"settlement"
"settlement:tejas:villa_de_bexar"	"tejas"	"Villa de Bexar"	1	"settlement"
"settlement:the_papal_states:rome"	"the_papal_states"	"Rome"	4	"settlement"
"settlement:transylvania:kolozsvar"	"transylvania"	"Klausenburg"	1	"settlement"
"settlement:trinidad_tobago:san_jose_de_oruna"	"trinidad_tobago"	"San José de Oruña"	1	"settlement"
"settlement:tripoli:tripoli"	"tripoli"	"Tripoli"	1	"settlement"
"settlement:tunis:tunis"	"tunis"	"Tunis"	4	"settlement"
"settlement:ukraine:kiev"	"ukraine"	"Kiev"	4	"settlement"
"settlement:upper_louisiana:fort_chartres"	"upper_louisiana"	"Fort de Chartres"	1	"settlement"
"settlement:venice:venice"	"venice"	"Venice"	5	"settlement"
"settlement:virginia:williamsburg"	"virginia"	"Williamsburg"	1	"settlement"
"settlement:west_pommerania:berlin"	"west_pommerania"	"Berlin"	4	"settlement"
"settlement:west_prussia:gdansk"	"west_prussia"	"Gdańsk"	1	"settlement"
"settlement:windward_islands:martinique"	"windward_islands"	"Martinique"	1	"settlement"
"settlement:wurttemberg:stuttgart"	"wurttemberg"	"Stuttgart"	1	"settlement"
