version 1, schema slots_art_tables
unknown1(string)	unknown2(string)	unknown3(optstring)	unknown4(boolean)	unknown5(optstring)	unknown6(boolean)	unknown7(optstring)	unknown8(boolean)	unknown9(boolean)	unknown10(boolean)	unknown11(boolean)	unknown12(boolean)	unknown13(boolean)	unknown14(optstring)	unknown15(optstring)	unknown16(boolean)	unknown17(boolean)	unknown18(boolean)	unknown19(boolean)
"iron"	"tribal"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"port"	"european"	nil	false	"nap_eur_port"	true	"EU_Port_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"port"	"indian"	nil	false	"IND_Port"	true	"IND_Port_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"port"	"middle_east"	nil	false	"nap_ott_port"	true	"OTT_Port_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"port"	"tribal"	nil	false	"NA_Port"	true	"EU_Port_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"european"	"eu_city_diffuse"	true	"EU_Settlement"	false	nil	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"indian"	nil	false	"IND_Settlement"	false	nil	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"middle_east"	nil	false	"OTT_Settlement"	false	nil	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"tribal"	nil	false	"NA_Settlement"	false	nil	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"timber"	"european"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"timber"	"indian"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"timber"	"middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"timber"	"tribal"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"town-commercial"	"european"	"eu_town_diffuse"	true	"nap_eur_town_com"	true	"EU_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-commercial"	"indian"	nil	false	"IND_Town"	true	"IND_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-commercial"	"middle_east"	nil	false	"nap_ott_town_com"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-commercial"	"tribal"	nil	false	"NA_Town"	true	"NA_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-industrial"	"european"	"eu_town_diffuse"	true	"nap_eur_town_ind"	true	"EU_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-industrial"	"indian"	nil	false	"IND_Town"	true	"IND_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-industrial"	"middle_east"	nil	false	"nap_ott_town_ind"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-industrial"	"tribal"	nil	false	"NA_Town"	true	"NA_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-intellectual"	"european"	"eu_town_diffuse"	true	"nap_eur_town_edu"	true	"EU_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-intellectual"	"indian"	nil	false	"IND_Town"	true	"IND_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-intellectual"	"middle_east"	nil	false	"nap_ott_town_edu"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-intellectual"	"tribal"	nil	false	"NA_Town"	true	"NA_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"wheat"	"european"	"eu_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wheat"	"indian"	"ott_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wheat"	"middle_east"	"ott_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wheat"	"tribal"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wine"	"european"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"wine"	"indian"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"wine"	"middle_east"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"wine"	"tribal"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"fort"	"egy_middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"gold"	"egy_middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"horses"	"egy_middle_east"	"ott_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"slot_resource_pasture"	false	false	false	false
"iron"	"egy_middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"port"	"egy_middle_east"	nil	false	"nap_ott_port"	true	"OTT_Port_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"egy_middle_east"	nil	false	"OTT_Settlement"	false	nil	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"timber"	"egy_middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"town-commercial"	"egy_middle_east"	nil	false	"nap_ott_town_com"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-industrial"	"egy_middle_east"	nil	false	"nap_ott_town_ind"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-intellectual"	"egy_middle_east"	nil	false	"nap_ott_town_edu"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"wheat"	"egy_middle_east"	"ott_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wine"	"egy_middle_east"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
"fort"	"egy_european"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"gold"	"egy_european"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"horses"	"egy_european"	"ott_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"slot_resource_pasture"	false	false	false	false
"iron"	"egy_european"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"port"	"egy_european"	nil	false	"nap_ott_port"	true	"OTT_Port_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"settlement"	"egy_european"	nil	false	"OTT_Settlement"	false	nil	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"timber"	"egy_european"	nil	false	nil	false	nil	false	false	false	false	false	false	"slot_resource_timber"	nil	false	false	false	false
"town-commercial"	"egy_european"	nil	false	"nap_ott_town_com"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-industrial"	"egy_european"	nil	false	"nap_ott_town_ind"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"town-intellectual"	"egy_european"	nil	false	"nap_ott_town_edu"	true	"OTT_Village"	false	false	true	false	false	false	"EU_building_placeholder"	nil	true	false	false	false
"wheat"	"egy_european"	"ott_wheat_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_wheat"	nil	false	false	false	false
"wine"	"egy_european"	"eu_vinyard_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_vineyards"	nil	false	false	false	false
