version 1, schema building_culture_variants_tables, guid 2644c639-8543-43fc-ada3-5a514e8250b0
Building_IDRef(string)	Culture(string)	Battle_Model(optstring)	Campaign_Map_Model(optstring)	Campaign_Map_Model_2(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"GEM_Koryu_4_Legendary_Koryu_Dojo"	"japanese"	"archery_range"	"campaign_sho_yari_4_legendary_school"	nil	"GEM_Koryu_4_Description"	"GEM_Legendary_Koryu_Dojo"
"GEM_Port_1_Coastal_Village"	"japanese"	"archery_range"	"campaign_sho_port_0_coastal_village"	nil	"GEM_Port_1_Description"	"SHO_Port_Coastal_Village"
"GEM_Port_2_Harbour"	"japanese"	"archery_range"	"campaign_sho_port_1_harbour"	nil	"GEM_Port_2a_Description"	"SHO_Port_1_Harbour"
"GEM_Port_2_Military_Port"	"japanese"	"archery_range"	"campaign_sho_port_3_military_port"	nil	"GEM_Port_2b_Description"	"SHO_Port_3_Military_Port"
"GEM_Port_3_Drydock"	"japanese"	"archery_range"	"campaign_sho_port_4_drydock"	nil	"GEM_Port_3b_Description"	"SHO_Port_4_Drydock"
"GEM_Port_3_Trading_Port"	"japanese"	"archery_range"	"campaign_sho_port_2_trading_port"	nil	"GEM_Port_3a_Description"	"SHO_Port_2_Trading_Port"
"GEM_Region_Specialty_Craftwork_1_Artisans"	"japanese"	"archery_range"	"campaign_sho_region_specialty_craftwork_1_artisans"	nil	"GEM_Region_Specialty_Craftwork_1_Description"	"SHO_Region_Specialty_Craftwork_1_Artisans"
"GEM_Region_Specialty_Craftwork_2_Fletcher"	"japanese"	"archery_range"	"campaign_sho_region_specialty_craftwork_2_fletchers"	nil	"GEM_Region_Specialty_Craftwork_2a_Description"	"SHO_Region_Specialty_Craftwork_2_Fletchers"
"GEM_Region_Specialty_Craftwork_2_Washi_Mills"	"japanese"	"archery_range"	"campaign_sho_region_specialty_craftwork_2_paper_mills"	nil	"GEM_Region_Specialty_Craftwork_2b_Description"	"SHO_Region_Specialty_Craftwork_2_Paper_Mills"
"GEM_Region_Specialty_Craftwork_3_Lacquerware_Works"	"japanese"	"archery_range"	"campaign_sho_region_specialty_craftwork_3_laquerware"	nil	"GEM_Region_Specialty_Craftwork_3a_Description"	"SHO_Region_Specialty_Craftwork_3_Laquerware"
"GEM_Region_Specialty_Craftwork_3_Master_Bowmaker"	"japanese"	"archery_range"	"campaign_sho_region_specialty_craftwork_3_master_bowmaker"	nil	"GEM_Region_Specialty_Craftwork_3b_Description"	"SHO_Region_Specialty_Craftwork_3_Master_Bowmaker"
"GEM_Region_Specialty_Gold_Mining_1_Placer_Gold_Min"	"japanese"	"archery_range"	"campaign_sho_region_specialty_gold_mining_1_surface_mining"	nil	"GEM_Region_Specialty_Gold_Mining_1_Description"	"SHO_Region_Specialty_Gold_Mining_1_Surface_Mining"
"GEM_Region_Specialty_Gold_Mining_2_Gold_Lodes"	"japanese"	"archery_range"	"campaign_sho_region_specialty_gold_mining_2_open_pit"	nil	"GEM_Region_Specialty_Gold_Mining_2_Description"	"SHO_Region_Specialty_Gold_Mining_2_Open_Pit"
"GEM_Region_Specialty_Gold_Mining_3_Gold_Mine"	"japanese"	"archery_range"	nil	"campaign_sho_region_specialty_gold_mining_3_mining_complex_anim"	"GEM_Region_Specialty_Gold_Mining_3_Description"	"SHO_Region_Specialty_Gold_Mining_3_Mining_Complex"
"GEM_Region_Specialty_Holy_Site_1_Holy_Site"	"japanese"	"archery_range"	"campaign_sho_region_specialty_holy_site_1_holy_site"	nil	"GEM_Region_Specialty_Holy_Site_1_Description"	"SHO_Region_Specialty_Holy_Site_1_Holy_Site"
"GEM_Region_Specialty_Holy_Site_2_Buddhist_Hermitag"	"japanese"	"archery_range"	"campaign_sho_region_specialty_holy_site_2_mountain_hermitag"	nil	"GEM_Region_Specialty_Holy_Site_2a_Description"	"SHO_Region_Specialty_Holy_Site_2_Mountain_Hermitag"
"GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuary"	"japanese"	"archery_range"	"campaign_sho_region_specialty_holy_site_2_pilgrim_hostel"	nil	"GEM_Region_Specialty_Holy_Site_2b_Description"	"SHO_Region_Specialty_Holy_Site_2_Pilgrim_Hostel"
"GEM_Region_Specialty_Holy_Site_3_Fortified_Monaste"	"japanese"	"archery_range"	"campaign_sho_region_specialty_holy_site_3_fortified_monaste"	nil	"GEM_Region_Specialty_Holy_Site_3a_Description"	"SHO_Region_Specialty_Holy_Site_3_Fortified_Monaste"
"GEM_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	"japanese"	"archery_range"	"campaign_sho_region_specialty_holy_site_3_great_soja_shrine"	nil	"GEM_Region_Specialty_Holy_Site_3b_Description"	"SHO_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"
"GEM_Region_Specialty_Intellectual_1_State_Academy"	"japanese"	"archery_range"	"campaign_sho_region_specialty_intellectual_centre_3_law_cou"	nil	"GEM_Region_Specialty_Intellectual_1_Description"	"SHO_Region_Specialty_Intellectual_Centre_3_Academy"
"GEM_Region_Specialty_Iron_Mining_1_Iron_Sands"	"japanese"	"archery_range"	"campaign_sho_region_specialty_iron_mining_1_iron_mine"	nil	"GEM_Region_Specialty_Iron_Mining_1_Description"	"SHO_Region_Specialty_Iron_Mining_1_Iron_Mine"
"GEM_Region_Specialty_Iron_Mining_2_Small_Iron_Mine"	"japanese"	"archery_range"	"campaign_sho_region_specialty_iron_mining_2_deep_mine"	nil	"GEM_Region_Specialty_Iron_Mining_2_Description"	"SHO_Region_Specialty_Iron_Mining_2_Deep_Mine"
"GEM_Region_Specialty_Iron_Mining_3_Iron_Mine"	"japanese"	"archery_range"	nil	"campaign_sho_region_specialty_iron_mining_3_mining_complex_anim"	"GEM_Region_Specialty_Iron_Mining_3_Description"	"SHO_Region_Specialty_Iron_Mining_3_Mining_Complex"
"GEM_Region_Specialty_Naval_1_Trade_Hamlet"	"japanese"	"archery_range"	"campaign_sho_region_specialty_naval_1_fishing_port"	nil	"GEM_Region_Specialty_Naval_1_Description"	"SHO_Region_Specialty_Naval_1_Merchant_Colony"
"GEM_Region_Specialty_Naval_2_Pirate_Cove"	"japanese"	"archery_range"	"campaign_sho_region_specialty_naval_2_pirate_cove"	nil	"GEM_Region_Specialty_Naval_2_Description"	"SHO_Region_Specialty_Naval_2_Pirate_Cove"
"GEM_Region_Specialty_Naval_3_Pirate_Den"	"japanese"	"archery_range"	"campaign_sho_region_specialty_naval_3_pirate_fortress"	nil	"GEM_Region_Specialty_Naval_3_Description"	"SHO_Region_Specialty_Naval_3_Pirate_Fortress"
"GEM_Region_Specialty_Ninja_1_Isolated_Hamlet"	"japanese"	"archery_range"	"campaign_sho_region_specialty_ninja_1_hideout"	nil	"GEM_Region_Specialty_Ninja_1_Description"	"SHO_Region_Specialty_Ninja_1_Hideout"
"GEM_Region_Specialty_Ninja_2_Senmin_Village"	"japanese"	"archery_range"	"campaign_sho_region_specialty_ninja_2_ninjutsu_school"	nil	"GEM_Region_Specialty_Ninja_2_Description"	"SHO_Region_Specialty_Ninja_2_Ninjutsu_School"
"GEM_Region_Specialty_Ninja_3_Smuggling_Network"	"japanese"	"archery_range"	"campaign_sho_region_specialty_ninja_3_smuggling_network"	nil	"GEM_Region_Specialty_Ninja_3_Description"	"SHO_Region_Specialty_Ninja_3_Smuggling_Network"
"GEM_Region_Specialty_Silk_1_Silk_Workshop"	"japanese"	"basket_fish_a"	"campaign_gem_silk_1"	nil	"GEM_Region_Specialty_Silk_1_Description"	"GEM_Silk_Workshop"
"GEM_Region_Specialty_Silk_2_Silk_Spinner"	"japanese"	"archery_range"	"campaign_gem_silk_2"	nil	"GEM_Region_Specialty_Silk_2_Description"	"GEM_Silk_Spinner"
"GEM_Region_Specialty_Silk_3_Master_Silk_Spinner"	"japanese"	"archery_range"	"campaign_gem_silk_3"	nil	"GEM_Region_Specialty_Silk_3_Description"	"GEM_Master_Silk_Spinner"
"GEM_Region_Specialty_Smithing_1_Blacksmith"	"japanese"	"archery_range"	"campaign_sho_region_specialty_smithing_1_blacksmith"	nil	"GEM_Region_Specialty_Smithing_1_Description"	"SHO_Region_Specialty_Smithing_1_Blacksmith"
"GEM_Region_Specialty_Smithing_2_Armourer"	"japanese"	"archery_range"	"campaign_sho_region_specialty_smithing_2_armourer"	nil	"GEM_Region_Specialty_Smithing_2b_Description"	"SHO_Region_Specialty_Smithing_2_Armourer"
"GEM_Region_Specialty_Smithing_2_Weaponsmith"	"japanese"	"archery_range"	"campaign_sho_region_specialty_smithing_2_weaponsmith"	nil	"GEM_Region_Specialty_Smithing_2a_Description"	"SHO_Region_Specialty_Smithing_2_Smithy"
"GEM_Region_Specialty_Smithing_3_Master_Armourer"	"japanese"	"archery_range"	"campaign_sho_region_specialty_smithing_3_master_armourer"	nil	"GEM_Region_Specialty_Smithing_3b_Description"	"SHO_Region_Specialty_Smithing_3_Master_Armoursmith"
"GEM_Region_Specialty_Smithing_3_Master_Weaponsmith"	"japanese"	"archery_range"	"campaign_sho_region_specialty_smithing_3_master_weaponsmith"	nil	"GEM_Region_Specialty_Smithing_3a_Description"	"SHO_Region_Specialty_Smithing_3_Master_Weaponsmith"
"GEM_Region_Specialty_Timber_1_Lumber_Camp"	"japanese"	"archery_range"	"campaign_sho_region_specialty_timber_1_lumbercamp"	nil	"GEM_Region_Specialty_Timber_1_Description"	"SHO_Region_Specialty_Timber_1_Lumbercamp"
"GEM_Region_Specialty_Timber_2_Lumberyard"	"japanese"	"archery_range"	"campaign_sho_region_specialty_timber_2_lumberyards"	nil	"GEM_Region_Specialty_Timber_2_Description"	"SHO_Region_Specialty_Timber_2_Lumberyards"
"GEM_Region_Specialty_Timber_3_Sawmills"	"japanese"	"archery_range"	"campaign_sho_region_specialty_timber_3_sawmills"	nil	"GEM_Region_Specialty_Timber_3_Description"	"SHO_Region_Specialty_Timber_3_Sawmills"
"SHO_Archery_1_Archery_Dojo"	"japanese"	"archery_range"	"campaign_sho_archery_1_archery_dojo"	nil	"SHO_Archery_1_Archery_Dojo_Description"	"SHO_Archery_1_Archery_Range"
"SHO_Archery_2_Foot_Archery"	"japanese"	"archery_range"	"campaign_sho_archery_2_foot_archery"	nil	"SHO_Archery_2_Foot_Archery_Description"	"SHO_Archery_2_Hosya_Drill"
"SHO_Archery_3_Bow_Master_Dojo"	"japanese"	"archery_range"	"campaign_sho_archery_3_bow_master_dojo"	nil	"SHO_Archery_3_Bow_Master_Dojo_Description"	"SHO_Archery_3_Bow_Master_Dojo"
"SHO_Archery_4_Legendary_Dojo"	"japanese"	"archery_range"	"campaign_sho_archery_4_legendary_dojo"	nil	"SHO_Archery_4_Legendary_Dojo_Description"	"SHO_Archery_4_Legendary_Dojo"
"SHO_Buddhist_1_Temple"	"japanese"	"archery_range"	"campaign_sho_buddhist_1_temple"	nil	"SHO_Buddhist_1_Temple_Description"	"SHO_Buddhist_1_Temple"
"SHO_Buddhist_2_Monastery"	"japanese"	"archery_range"	"campaign_sho_buddhist_2_monastery"	nil	"SHO_Buddhist_2_Monastery_Description"	"SHO_Buddhist_2_Monastery"
"SHO_Buddhist_3_Temple_Complex"	"japanese"	"archery_range"	"campaign_sho_buddhist_3_temple_complex"	nil	"SHO_Buddhist_3_Temple_Complex_Description"	"SHO_Buddhist_3_Temple_Complex"
"SHO_Buddhist_4_Legendary_Temple"	"japanese"	"archery_range"	"campaign_sho_buddhist_4_legendary_temple"	nil	"SHO_Buddhist_4_Legendary_Temple_Description"	"SHO_Buddhist_4_Legendary_Temple"
"SHO_Buff_1_Encampment"	"japanese"	"archery_range"	"campaign_sho_buff_1_encampment"	nil	"SHO_Buff_1_Encampment_Description"	"SHO_Buff_1_Encampment"
"SHO_Buff_2_Armoury"	"japanese"	"archery_range"	"campaign_sho_buff_2_armoury"	nil	"SHO_Buff_2_Armoury_Description"	"SHO_Buff_2_Armoury"
"SHO_Buff_2_Barracks"	"japanese"	"archery_range"	"campaign_sho_buff_2_barracks"	nil	"SHO_Buff_2_Barracks_Description"	"SHO_Buff_2_Barracks"
"SHO_Buff_2_Hunting_Lodge"	"japanese"	"archery_range"	"campaign_sho_buff_2_hunting_lodge"	nil	"SHO_Buff_2_Hunting_Lodge_Description"	"SHO_Buff_2_Hunting_Lodge"
"SHO_Buff_2_Jiujutsu_Dojo"	"japanese"	"archery_range"	"campaign_sho_buff_2_jiujutsu_dojo"	nil	"SHO_Buff_2_Jiujutsu_Dojo_Description"	"SHO_Buff_2_Jiujutsu_Dojo"
"SHO_Buff_2_Proving_Grounds"	"japanese"	"archery_range"	"campaign_sho_buff_2_proving_grounds"	nil	"SHO_Buff_2_Proving_Grounds_Description"	"SHO_Buff_2_Proving_Grounds"
"SHO_Castle_1_Fort"	"japanese"	"archery_range"	"campaign_sho_castle_1_fort"	nil	"SHO_Castle_1_Fort_Description"	"SHO_Castle_1_Fort"
"SHO_Castle_2_Stronghold"	"japanese"	"archery_range"	"campaign_sho_castle_2_stronghold"	nil	"SHO_Castle_2_Stronghold_Description"	"SHO_Castle_2_Stronghold"
"SHO_Castle_3_Fortress"	"japanese"	"archery_range"	"campaign_sho_castle_3_fortress"	nil	"SHO_Castle_3_Fortress_Description"	"SHO_Castle_3_Castle"
"SHO_Castle_4_Castle"	"japanese"	"archery_range"	"campaign_sho_castle_4_castle"	nil	"SHO_Castle_4_Castle_Description"	"SHO_Castle_4_Fortress"
"SHO_Castle_5_Citadel"	"japanese"	"archery_range"	"campaign_sho_castle_5_citadel"	nil	"SHO_Castle_5_Citadel_Description"	"SHO_Castle_5_Citadel"
"SHO_Cavalry_1_Stables"	"japanese"	"archery_range"	"campaign_sho_cavalry_1_stables"	nil	"SHO_Cavalry_1_Stables_Description"	"SHO_Cavalry_1_Stables"
"SHO_Cavalry_2_Warhorse_Stables"	"japanese"	"archery_range"	"campaign_sho_cavalry_2_warhorse_stables"	nil	"SHO_Cavalry_2_Warhorse_Stables_Description"	"SHO_Cavalry_2_Warhorse_Stables"
"SHO_Cavalry_3_Bajutsu_Master"	"japanese"	"archery_range"	"campaign_sho_cavalry_3_bajutsu_master"	nil	"SHO_Cavalry_3_Bajutsu_Master_Description"	"SHO_Cavalry_3_Bajutsu_Master"
"SHO_Cavalry_4_Legendary_Bajutsu_Dojo"	"japanese"	"archery_range"	"campaign_sho_cavalry_4_legendary_bajutsu_dojo"	nil	"SHO_Cavalry_4_Legendary_Bajutsu_Dojo_Description"	"SHO_Cavalry_4_Legendary_Yabusame"
"SHO_Christian_1_Chapel"	"japanese"	"archery_range"	"campaign_sho_christian_1_chapel"	nil	"SHO_Christian_1_Chapel_Description"	"SHO_Christian_1_Chapel"
"SHO_Christian_2_Mission"	"japanese"	"archery_range"	"campaign_sho_christian_2_mission"	nil	"SHO_Christian_2_Mission_Description"	"SHO_Christian_2_Mission"
"SHO_Christian_3_Church"	"japanese"	"archery_range"	"campaign_sho_christian_3_church"	nil	"SHO_Christian_3_Church_Description"	"SHO_Christian_3_Church"
"SHO_Christian_4_Cathedral"	"japanese"	"archery_range"	"campaign_sho_christian_4_cathedral"	nil	"SHO_Christian_4_Cathedral_Description"	"SHO_Christian_4_Cathedral"
"SHO_Crafts_1_Market"	"japanese"	"archery_range"	"campaign_sho_crafts_1_market"	nil	"SHO_Crafts_1_Market_Description"	"SHO_Crafts_1_Market"
"SHO_Crafts_2_Rice_Exchange"	"japanese"	"archery_range"	"campaign_sho_crafts_2_rice_exchange"	nil	"SHO_Crafts_2_Rice_Exchange_Description"	"SHO_Crafts_2_Rice_Exchange"
"SHO_Crafts_3_Merchant_Guild"	"japanese"	"archery_range"	"campaign_sho_crafts_3_merchant_guild"	nil	"SHO_Crafts_3_Merchant_Guild_Description"	"SHO_Crafts_3_Merchant_Guild"
"SHO_Crafts_4_Kanabukama"	"japanese"	"archery_range"	"campaign_sho_crafts_4_kanabukama"	nil	"SHO_Crafts_4_Kanabukama_Description"	"SHO_Crafts_4_Kanabukama"
"SHO_Farming_1_Rice_Paddies"	"japanese"	"archery_range"	"campaign_sho_farming_1_rice_paddies"	nil	"SHO_Farming_1_Rice_Paddies_Description"	"SHO_Farming_1_Rice_Paddies"
"SHO_Farming_2_Irrigation"	"japanese"	"archery_range"	"campaign_sho_farming_2_irrigation"	nil	"SHO_Farming_2_Irrigation_Description"	"SHO_Farming_2_Irrigation"
"SHO_Farming_3_Terraces"	"japanese"	"archery_range"	"campaign_sho_farming_3_terraces"	nil	"SHO_Farming_3_Terraces_Description"	"SHO_Farming_3_Terraces"
"SHO_Farming_4_Consolidation"	"japanese"	"archery_range"	"campaign_sho_farming_4_consolidation"	nil	"SHO_Farming_4_Consolidation_Description"	"SHO_Farming_4_Consolidation"
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"japanese"	"shinto_shrine"	"campaign_sho_buddhist_1_temple"	nil	"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	"japanese"	"shinto_shrine"	"campaign_sho_buddhist_2_monastery"	nil	"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	"japanese"	"shinto_shrine"	"campaign_sho_buddhist_3_temple_complex"	nil	"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	"japanese"	"shinto_shrine"	"campaign_sho_buddhist_4_legendary_temple"	nil	"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"
