version 2, schema unit_stats_land_tables
Unit(string)	Size(int)	_x0023__x0020_Horses(int)	_x0023__x0020_Artillery(int)	Officer(string)	Drummer(optstring)	Standard_x0020_Bearer(optstring)	Soldier_x0020_Model(string)	Man_entity_x0020_-_x0020_links_x0020_to_x0020_battle_entities_x0020_table(string)	Man_x0020_Animations_x0020_Table(string)	Warscape_Equipment_Theme_IDRef(string)	Armor_Value(int)	Armor_Audio(string)	Unused1(int)	Mount_x0020_Model(optstring)	Cavalry_x0020_Battle_x0020_Entity(optstring)	Mount_x0020_Animations_x0020_Table(optstring)	Unused2(string)	Unused3(string)	Carriage_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Train_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Caisson_x0020_Model(optstring)	Artillery_1(optstring)	Has_Artillery_2(boolean)	Gun(optstring)	Primary_x0020_Missile_x0020_Weapon(optstring)	Accuracy(int)	Reloading_x0020_Skill(int)	Unused4(string)	Firing_x0020_Mechanism(string)	Projectile(optstring)	Ammo(int)	Unused5(optstring)	Melee_x0020_Weapon_x0020_Type(string)	Melee_x0020_Attack_x0020_Skill(int)	Charge_x0020_Bonus(int)	Defense_x0020_Skill(int)	Shield_x0020_Bonus(int)	Unused6(string)	Unknown_x0020__x0023_Most_x0020_Likely_x0020_Unused_x0023_(string)	Unused7(string)	Training(string)	Morale(int)	Deployed_x0020_Ranks(int)	File_x0020_Spacing(float)	Rank_x0020_Spacing(float)	Unused8(float)	Unused9(float)	File_x0020_Spacing_x0020_Dismounted(float)	Rank_x0020_Spacing_x0020_Dismounted(float)	Unused10(float)	Anti_Cavalry_Bonus(int)	Can_x0020_Throw_x0020_Grenades(boolean)	Can_x0020_Skirmish(boolean)	Can_x0020_Guard(boolean)	Can_x0020_Dismount(boolean)	Can_x0020_Place_x0020_Stakes(boolean)	Is_x0020_Slow_x0020_Moving(boolean)	Can_x0020_Rally_x0020_Comrades_x0020__x0023_Has_x0020_No_x0020_In-Game_x0020_Effect_x0023_(boolean)	Can_x0020_Hide_x0020_In_x0020_Woodland(boolean)	Can_Hide_in_Light_Scrub(boolean)	Can_Hide_in_Long_Grass(boolean)	Can_Hide_in_Buildings(boolean)	Can_Hide_When_Walking(boolean)	Can_Hide_While_Firing(boolean)	Can_Fire_from_Horseback(boolean)	Tree_x0020_Spotting_x0020_Distance(float)	Scrub_x0020_Spotting_x0020_Distance(float)	Long_x0020_Grass_x0020_Spotting_x0020_Distance(float)	Paths_x0020_Seldom_x0020_Trod(boolean)	Garrison_x0020_Police_x0020_Bonus(boolean)	Discipined(boolean)	Impetuous(boolean)	Scares_x0020_Horses(boolean)	Scares_x0020_Enemies(boolean)	Inspires_x0020_Allies(boolean)	Good_x0020_Stamina(boolean)	Can_x0020_Use_x0020_Rope_x0020_Ladders(boolean)	Heat_x0020_Resistant(boolean)	Cold_x0020_Resistant(boolean)	Can_x0020_Do_x0020_Formed_x0020_Attack(boolean)	Can_x0020_Use_x0020_Pike_x0020_Wall(boolean)	Can_x0020_Use_x0020_Pike_x0020_Square(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving(boolean)
"azzars"	120	0	0	"eastern_officer_common"	nil	nil	"East_Azzars"	"infantry_euro_medium"	"man_musket_sabre"	"x_east_musket_sword"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	35	10	"0"	"matchlock"	"musket_light_infantry_flintlock"	20	"foot_musket"	"sword"	7	8	0	0	"foot_sword"	"0"	"drill_set_infantry_light"	"mob"	4	3	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	false	false	false	false	false	false	false	false	true	true	false	false	false	false	false
"bashibazouks"	160	0	0	"eastern_officer_common"	nil	nil	"Bashi_Bazouks"	"infantry_euro_medium"	"man_sword_stab"	"x_east_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	nil	0	0	"0"	"none"	nil	0	nil	"sword"	9	8	0	0	"foot_sword"	"0"	"drill_set_infantry_mob"	"rabble"	6	3	2.6	2	2.6	4	0	0	20	0	false	false	true	false	false	false	false	true	true	true	true	true	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"cazadores"	80	0	0	"euro_officer1"	nil	nil	"euro_guerillas"	"infantry_euro_light"	"man_musket"	"x_euro_musket_axe"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_musket"	"axe"	7	12	4	0	"foot_knife"	"0"	"drill_set_infantry_light"	"mob"	8	3	2.1	2.5	2.2	4	0	0	20	0	false	true	true	false	true	false	false	true	true	true	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"east_ethnic_hillmen_musketeers"	120	0	0	"east_hillmen_officer"	nil	nil	"east_ethnic_hillmen_musketeers"	"infantry_euro_light"	"man_musket"	"x_east_musket"	2	"chain"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	45	20	"0"	"matchlock"	"musket_light_infantry_flintlock"	20	"foot_musket"	"rifle_butt"	4	2	4	0	"foot_rifle_butt"	"0"	"drill_set_infantry_light"	"mob"	4	3	2.1	2.5	2.6	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"east_ethnic_hillmen_musketeers_afghan"	120	0	0	"east_hillmen_officer_afghan"	nil	nil	"east_ethnic_hillmen_musketeers_afghan"	"infantry_euro_light"	"man_musket"	"x_east_musket"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	55	25	"0"	"matchlock"	"musket_light_infantry_flintlock"	20	"foot_musket"	"rifle_butt"	2	3	6	0	"foot_rifle_butt"	"0"	"drill_set_infantry_light"	"mob"	6	3	2.1	2.5	2.6	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"east_ethnic_hillmen_musketeers_kurdish"	120	0	0	"east_hillmen_officer"	nil	nil	"east_ethnic_hillmen_musketeers"	"infantry_euro_light"	"man_musket"	"x_east_musket"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	50	25	"0"	"matchlock"	"musket_light_infantry_flintlock"	20	"foot_musket"	"rifle_butt"	6	3	8	0	"foot_rifle_butt"	"0"	"drill_set_infantry_light"	"mob"	6	3	2.1	2.5	2.6	4	0	0	20	0	false	true	true	false	false	false	false	true	true	true	false	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"east_grenade_launchers"	80	0	0	"eastern_officer"	"eastern_drummer1"	"ottoman_standard_bearer"	"ottoman_beylick_grenadiers"	"infantry_euro_heavy"	"man_rifle"	"x_east_grenadelauncher"	2	"chain"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	45	35	"0"	"flintlock"	"grenade_launched"	6	"foot_musket"	"rifle_butt"	8	8	11	0	"foot_rifle_butt"	"0"	"drill_set_infantry_grenadiers"	"elite"	8	3	1.1	2	2.2	4	0	0	20	0	false	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	true	false	true	false	false	false
"eua_hessian_grenadiers"	120	0	0	"eua_officer_hessian"	"eua_drummer_hessian"	"eua_standard_bearer_hessian"	"eua_hessian_grenadiers"	"infantry_euro_heavy"	"man_musket"	"x_euro_musket"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	45	35	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"plug_bayonet"	7	11	11	0	"foot_bayonet"	"0"	"drill_set_infantry_grenadiers"	"elite"	8	3	1.1	2	2.2	4	0	0	20	0	true	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	true	false	false	false
"eua_morgans_rifles"	80	0	0	"eua_officer_morgans_rifles"	"eua_bugler_morgans_rifles"	nil	"eua_morgans_rifles"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	80	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	10	10	6	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	9	3	1.1	2	5	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"sp_ed_rogers_rangers"	120	0	0	"euro_officer_mid"	"euro_bugler"	nil	"rogers_rangers"	"infantry_euro_light"	"man_musket"	"x_euro_musket_axe"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	65	35	"0"	"flintlock"	"musket_light_infantry_flintlock"	20	"foot_musket"	"axe"	9	11	6	0	"foot_knife"	"0"	"drill_set_infantry_light"	"mob"	10	3	2.1	2.5	2.2	4	0	0	15	0	false	true	true	false	false	false	false	true	true	true	false	false	false	false	50	100	150	true	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"spanish_grenadiers"	120	0	0	"euro_officer2"	"euro_drummer1"	"euro_standard_bearer"	"spain_grenadiers"	"infantry_euro_heavy"	"man_musket"	"x_euro_musket"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	45	35	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"plug_bayonet"	10	14	13	0	"foot_bayonet"	"0"	"drill_set_infantry_grenadiers"	"elite"	8	3	1.1	2	2.2	4	0	0	20	0	true	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	true	false	false	false
"elite_guard_grenadiers"	120	0	0	"euro_officer2"	"euro_drummer1"	"euro_standard_bearer"	"poland_lithuania_guard_grenadiers"	"infantry_euro_heavy"	"man_musket"	"x_euro_musket"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	50	50	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"plug_bayonet"	11	15	15	0	"foot_bayonet"	"0"	"drill_set_infantry_grenadiers"	"elite"	11	3	1.1	2	2.2	4	0	0	20	0	true	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	true	false	true	false	false	true	false	false	false
"elite_hungarian_grenadiers"	120	0	0	"euro_officer2"	"euro_drummer1"	"euro_standard_bearer"	"austrian_hungarian_grenadiers"	"infantry_euro_heavy"	"man_musket"	"x_euro_musket"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	50	40	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"plug_bayonet"	9	13	14	0	"foot_bayonet"	"0"	"drill_set_infantry_grenadiers"	"elite"	9	3	1.1	2	2.2	4	0	0	20	0	true	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	true	false	false	false
"episodic_2_armed_citizenry_matchlocks_natam"	160	0	0	"native_american_auxiliary_officer"	nil	nil	"native_american_braves"	"infantry_euro_light"	"man_musket"	"x_natam_musket"	0	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	25	5	"0"	"matchlock"	"musket_matchlock"	3	nil	"rifle_butt"	4	3	4	0	"foot_rifle_butt"	"0"	"drill_set_infantry_mob"	"rabble"	3	4	1.5	2	3	4	0	0	20	0	false	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
"episodic_2_rangers"	120	0	0	"euro_officer1"	"euro_bugler"	nil	"euro_american_rangers"	"infantry_euro_light"	"man_musket"	"x_euro_musket_axe"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	60	25	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"axe"	8	4	3	0	"foot_axe"	"0"	"drill_set_infantry_light"	"well_trained"	8	3	1.1	2	2.2	4	0	0	15	0	false	true	true	false	false	false	false	true	true	true	false	false	false	false	50	75	100	true	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"episodics_armed_citizenry_matchlocks_europe"	160	0	0	"euro_officer1"	nil	nil	"euro_minutemen"	"infantry_euro_light"	"man_musket"	"x_euro_musket"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	30	15	"0"	"matchlock"	"musket_matchlock"	3	nil	"rifle_butt"	4	4	4	0	"foot_rifle_butt"	"0"	"drill_set_infantry_mob"	"rabble"	6	4	1.5	2	3	4	0	0	20	0	false	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
"eua_royal_welch"	120	0	0	"euro_officer_mid"	"euro_drummer1"	"euro_standard_bearer"	"eua_royal_welch"	"infantry_euro_heavy"	"man_musket"	"x_euro_musket"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	45	40	"0"	"flintlock"	"musket_flintlock"	15	"foot_musket"	"plug_bayonet"	9	13	14	0	"foot_bayonet"	"0"	"drill_set_infantry_grenadiers"	"elite"	9	3	1.1	2	2.2	4	0	0	20	0	true	false	true	false	false	false	false	true	true	false	false	false	false	false	50	75	100	false	false	true	false	false	false	false	false	true	false	false	true	false	false	false
"eua_select_marksmen"	120	0	0	"euro_officer_mid"	"euro_bugler"	nil	"eua_select_marksmen"	"infantry_euro_light"	"man_musket"	"x_euro_musket_axe"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	60	25	"0"	"flintlock"	"musket_light_infantry_flintlock"	20	"foot_musket"	"axe"	7	9	3	0	"foot_knife"	"0"	"drill_set_infantry_light"	"mob"	8	3	2.1	2.5	2.2	4	0	0	15	0	false	true	true	false	false	false	false	true	true	true	false	false	false	false	50	100	150	true	false	false	false	false	false	false	true	true	true	false	false	false	false	false
"euro_elite_light_infantry"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_elite_light_infantry"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	5	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_croatian_grenzers"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"croatian_grenzers"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_musket_double_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket_double"	55	40	"0"	"flintlock"	"musket_double"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_green_jackets"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_late_riflemen"	"infantry_euro_light"	"man_musket"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"plug_bayonet"	4	8	9	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_prussian_jaegers"	80	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_prussia_jaeger"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_elite_light_infantry_tirailleurs"	80	0	0	"euro_officer1"	"euro_bugler"	nil	"euro_late_riflemen"	"infantry_euro_light"	"man_musket_sabre"	"x_euro_rifle_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"rifle"	70	35	"0"	"flintlock"	"musket_rifle"	20	"foot_rifle"	"sword"	7	8	4	0	"foot_sword"	"0"	"drill_set_infantry_light"	"elite"	7	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
"euro_expat_infantry_chasseurs_britannique"	120	0	0	"euro_officer2"	"euro_bugler"	nil	"euro_expat_infantry"	"infantry_euro_light"	"man_musket"	"x_euro_musket_sword"	3	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	nil	false	nil	"musket"	50	35	"0"	"flintlock"	"musket_light_infantry_flintlock"	20	"foot_musket"	"rifle_butt"	5	4	4	0	"foot_sword"	"0"	"drill_set_infantry_line"	"trained"	5	3	1.1	2	2.2	4	0	0	10	0	false	true	true	false	true	false	false	true	true	true	true	false	false	false	50	100	150	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false
