version 1, schema technology_effects_junction_tables, guid 8fcc2eb7-98b4-4974-ac81-a0cf93d224d2
Tech_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"gempei_civil_development_sumo_retainers"	"tech_regional_repression_mod"	2
"gempei_civil_loyalty_keppan"	"tech_clan_daimyo_honour_mod"	1
"gempei_civil_loyalty_kishomon"	"tech_general_loyalty_bonus"	1
"gempei_civil_province_animal_husbandry"	"food_provision"	2
"gempei_civil_province_animal_husbandry"	"tech_clan_income_farm_mod"	2
"gempei_civil_province_animal_husbandry"	"tech_regional_town_wealth_mod"	7
"gempei_civil_religion_calligraphy"	"tech_clan_daimyo_honour_mod"	1
"gempei_civil_religion_calligraphy"	"tech_regional_happiness_mod"	1
"gempei_civil_religion_ceremony_and_ritual"	"gem_tech_agent_monk_success"	10
"gempei_civil_religion_confucianism"	"tech_regional_happiness_mod"	1
"gempei_military_attack_mastery_of_attack"	"tech_unit_land_charge_bonus_mod"	4
"gempei_military_attack_strategy_of_attack"	"tech_unit_land_charge_bonus_mod"	4
"gempei_military_bow_bow_expertise"	"tech_unit_archer_acc_mod"	10
"gempei_military_bow_kyujutsu_mastery"	"tech_unit_archer_reload_mod"	10
"gempei_military_bow_way_of_the_bow"	"tech_enable_fire_arrows"	1
"gempei_military_bow_way_of_the_bow"	"tech_unit_land_ammo_mod"	50
"gempei_military_core_budo"	"tech_unit_land_charge_bonus_mod"	2
"gempei_military_core_budo"	"tech_unit_land_def_mod"	1
"gempei_military_core_bushido"	"tech_unit_land_charge_bonus_mod"	6
"gempei_military_core_bushido"	"tech_unit_land_def_mod"	1
"gempei_military_core_bushido"	"tech_unit_land_movement_mod"	5
"gempei_military_core_bushido"	"tech_unit_replenish_mod"	5
"gempei_military_core_bushi"	"tech_unit_land_charge_bonus_mod"	2
"gempei_military_core_koryu"	"tech_unit_land_def_mod"	1
"gempei_military_core_old_way_mastery"	"gem_tech_non_samurai_unit_xp_mod"	1
"gempei_military_core_samurai_code"	"gem_tech_samurai_unit_xp_mod"	1
"gempei_military_core_samurai_way"	"tech_unit_land_movement_mod"	5
"gempei_military_core_the_old_way"	"tech_unit_replenish_mod"	2
"gempei_military_defence_mastery_of_defence"	"tech_unit_land_def_mod"	1
"gempei_military_defence_strategy_of_defence"	"tech_unit_land_def_mod"	1
"gempei_military_general_forms_of_the_earth"	"tech_unit_replenish_mod"	4
"gempei_military_general_the_nine_transformations"	"tech_general_aoe_mod"	20
"gempei_military_general_the_nine_transformations"	"tech_unit_land_morale_mod"	1
"gempei_military_horse_form"	"tech_enable_banzai"	1
"gempei_military_horse_form"	"tech_unit_land_run_speed_mod"	2
"gempei_military_horse_horse_mastery"	"tech_unit_land_movement_mod"	5
"shogun_civil_core_calligraphy"	"diplomacy_bonus_enlightenment"	20
"shogun_civil_core_calligraphy"	"tech_clan_income_trade_mod"	30
"shogun_civil_core_epic_architecture"	"tech_regional_happiness_mod"	1
"shogun_civil_core_epic_architecture"	"tech_regional_town_wealth_mod"	10
"shogun_civil_core_tax_reform"	"tech_clan_income_tax_mod"	5
"shogun_civil_core_tea_ceremony"	"diplomacy_bonus_enlightenment"	10
"shogun_civil_core_tea_ceremony"	"tech_clan_daimyo_honour_mod"	1
"shogun_civil_core_todofuken"	"tech_unit_upkeep_mod"	-5
"shogun_civil_core_traditional_building"	"tech_building_castle_constr_mod"	-10
"shogun_civil_core_traditional_building"	"tech_building_castle_cost_mod"	-15
"shogun_civil_core_way_of_chi"	"tech_clan_income_tax_mod"	1
"shogun_civil_core_zen"	"tech_regional_happiness_mod"	1
"shogun_civil_loyalty_noh"	"tech_general_loyalty_bonus"	1
"shogun_civil_loyalty_sumo_tournament"	"food_consumption"	1
"shogun_civil_loyalty_sumo_tournament"	"tech_clan_income_tax_mod"	2
"shogun_civil_loyalty_sumo_tournament"	"tech_regional_happiness_mod"	1
"shogun_civil_metsuke_secret_police"	"tech_agent_action_cost_mod_metsuke"	-20
"shogun_civil_metsuke_sword_hunt"	"tech_agent_metsuke_success_mod"	10
"shogun_civil_metsuke_sword_hunt"	"tech_regional_repression_mod"	2
"shogun_civil_ninja_ninjutsu_mastery"	"tech_agent_ninja_success_mod"	10
"shogun_civil_ninja_ninjutsu_mastery"	"tech_enable_blinding_grenades"	1
"shogun_civil_ninja_school_of_shinobi"	"tech_agent_action_cost_mod_ninja"	-20
"shogun_civil_province_chonindo"	"food_provision"	2
"shogun_civil_province_chonindo"	"tech_clan_income_trade_mod"	20
"shogun_civil_province_equal_fields"	"tech_clan_income_farm_mod"	2
"shogun_civil_province_kinza_mint"	"tech_regional_town_wealth_mod"	5
"shogun_civil_religion_essence_of_the_spirit"	"tech_agent_action_cost_mod_ikko_monk"	-10
"shogun_civil_religion_essence_of_the_spirit"	"tech_agent_action_cost_mod_missionary"	-20
"shogun_civil_religion_essence_of_the_spirit"	"tech_agent_action_cost_mod_monk"	-20
"shogun_civil_religion_neo_confucianism"	"conversion_state_religion"	2
"shogun_civil_religion_neo_confucianism"	"tech_regional_happiness_mod"	1
"shogun_civil_religion_otomo_essence_of_the_spirit"	"tech_agent_ikko_monk_success_mod"	5
"shogun_civil_religion_otomo_essence_of_the_spirit"	"tech_agent_missionary_success_mod"	10
"shogun_civil_religion_otomo_essence_of_the_spirit"	"tech_agent_monk_success_mod"	10
"shogun_civil_religion_religious_propagation"	"conversion_state_religion"	2
"shogun_civil_religion_religious_propagation"	"tech_regional_happiness_mod"	1
"shogun_civil_religion_religious_self_sufficiency"	"tech_agent_action_cost_mod_ikko_monk"	-10
"shogun_civil_religion_religious_self_sufficiency"	"tech_agent_action_cost_mod_missionary"	-25
"shogun_civil_religion_religious_self_sufficiency"	"tech_agent_action_cost_mod_monk"	-15
"shogun_civil_religion_scholarship"	"tech_agent_ikko_monk_success_mod"	5
"shogun_civil_religion_scholarship"	"tech_agent_missionary_success_mod"	10
"shogun_civil_religion_scholarship"	"tech_agent_monk_success_mod"	10
"shogun_custom_battle_tech"	"bos_tech_ability_banzai"	1
"shogun_custom_battle_tech"	"bos_tech_ability_blinding_grenades"	1
"shogun_custom_battle_tech"	"bos_tech_ability_enable_common_shell"	1
"shogun_custom_battle_tech"	"bos_tech_ability_enable_kneel_fire"	1
"shogun_custom_battle_tech"	"bos_tech_ability_enable_ramming"	1
"shogun_custom_battle_tech"	"bos_tech_ability_enable_segment_shell"	1
"shogun_custom_battle_tech"	"bos_tech_ability_enable_suppression_fire"	1
"shogun_custom_battle_tech"	"bos_tech_ability_fire_arrows"	1
"shogun_custom_battle_tech"	"tech_enable_banzai"	1
"shogun_custom_battle_tech"	"tech_enable_blinding_grenades"	1
"shogun_custom_battle_tech"	"tech_enable_fire_arrows"	1
"shogun_custom_battle_tech"	"tech_enable_pike_square"	1
"shogun_custom_battle_tech"	"tech_enable_stand_and_fight"	1
"shogun_custom_battle_tech"	"tech_enable_swooping_crane"	1
"shogun_custom_battle_tech"	"tech_enable_wedge_formation"	1
"shogun_military_bow_bow_expertise"	"tech_unit_archer_acc_mod"	10
"shogun_military_bow_kyujutsu_mastery"	"tech_unit_archer_reload_mod"	10
"shogun_military_bow_way_of_the_bow"	"tech_enable_fire_arrows"	1
"shogun_military_core_bushido"	"tech_unit_land_morale_mod"	1
"shogun_military_core_form"	"tech_enable_swooping_crane"	1
"shogun_military_core_form"	"tech_unit_land_run_speed_mod"	2
"shogun_military_core_heaven_and_earth"	"tech_unit_land_ammo_mod"	50
"shogun_military_core_heaven_and_earth"	"tech_unit_replenish_mod"	5
"shogun_military_core_horse_mastery"	"tech_unit_land_movement_mod"	5
"shogun_military_core_shih"	"tech_unit_land_charge_bonus_mod"	2
"shogun_military_core_shih"	"tech_unit_land_cost_mod"	-5
"shogun_military_core_shih"	"tech_unit_land_def_mod"	1
"shogun_military_core_shih"	"tech_unit_land_morale_mod"	1
"shogun_military_core_strategy_of_attack"	"tech_unit_land_charge_bonus_mod"	2
"shogun_military_core_strategy_of_defence"	"tech_unit_land_def_mod"	1
"shogun_military_core_the_five_elements"	"tech_general_aoe_mod"	20
"shogun_military_musket_attack_by_fire"	"tech_unit_horoku_accuacy_mod"	50
"shogun_military_naval_mastery_of_the_waves"	"tech_unit_naval_battle_movement_mod"	10
"shogun_military_naval_mastery_of_the_waves"	"tech_unit_naval_cost_mod"	-10
"shogun_military_naval_naval_expertise"	"tech_unit_naval_turn_mod"	7
"shogun_military_naval_way_of_the_sea"	"enable_night_battles_naval"	1
"shogun_military_naval_way_of_the_sea"	"tech_unit_naval_movement_mod"	10
"shogun_military_spear_sojutsu_mastery"	"tech_unit_spear_xp_bonus"	1
"shogun_military_spear_spear_expertise"	"tech_enable_pike_square"	1
"shogun_military_spear_spear_expertise"	"tech_unit_spear_xp_bonus"	1
"shogun_military_spear_way_of_the_spear"	"tech_unit_spear_xp_bonus"	1
"shogun_military_sword_kenjutsu_mastery"	"tech_unit_sword_xp_bonus"	1
"shogun_military_sword_sword_expertise"	"tech_enable_banzai"	1
"shogun_military_sword_sword_expertise"	"tech_unit_sword_xp_bonus"	1
"shogun_military_sword_way_of_the_sword"	"tech_unit_sword_xp_bonus"	1
