version 1, schema battles_to_battle_sky_types_junctions_tables
unknown1(string)	unknown2(string)
"indian_great_fortress"	"morning_clear_1_dry_summer"
"indian_great_fortress"	"morning_overcast_3_dry_summer"
"indian_great_fortress"	"morning_overcast_3_heavy_rain_summer"
"indian_great_fortress"	"morning_overcast_3_light_rain_summer"
"indian_great_fortress"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Amazon"	"day_clear_1_dry_summer"
"NAP_MP_Amazon"	"day_overcast_1_dry_summer"
"NAP_MP_Amazon"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Amazon"	"day_overcast_1_light_rain_summer"
"NAP_MP_Amazon"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Amazon"	"evening_clear_1_dry_summer"
"NAP_MP_Amazon"	"evening_overcast_3_dry_summer"
"NAP_MP_Amazon"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Amazon"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Amazon"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Amazon"	"morning_clear_1_dry_summer"
"NAP_MP_Amazon"	"morning_overcast_3_dry_summer"
"NAP_MP_Amazon"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Amazon"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Amazon"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Canyon"	"day_clear_1_dry_summer"
"NAP_MP_Coastal_[SA]"	"day_clear_1_dry_summer"
"NAP_MP_Dry_Heat"	"day_clear_1_dry_summer"
"NAP_MP_Dry_Heat"	"day_dust_storm_heavy_dust_summer"
"NAP_MP_Dry_Heat"	"day_dust_storm_light_dust_summer"
"NAP_MP_Dry_Heat"	"day_dust_storm_torrential_dust_summer"
"NAP_MP_Dry_Heat"	"evening_clear_1_dry_summer"
"NAP_MP_Dry_Heat"	"evening_dust_storm_heavy_dust_summer"
"NAP_MP_Dry_Heat"	"evening_dust_storm_light_dust_summer"
"NAP_MP_Dry_Heat"	"evening_dust_storm_torrential_dust_summer"
"NAP_MP_Dry_Heat"	"morning_clear_1_dry_summer"
"NAP_MP_Dry_Heat"	"morning_dust_storm_heavy_dust_summer"
"NAP_MP_Dry_Heat"	"morning_dust_storm_light_dust_summer"
"NAP_MP_Dry_Heat"	"morning_dust_storm_torrential_dust_summer"
"NAP_MP_Farmstead"	"day_clear_1_dry_summer"
"NAP_MP_Five_Hills_[SA]"	"day_clear_1_dry_summer"
"NAP_MP_Gorge"	"day_clear_1_dry_summer"
"NAP_MP_Grassy_Flatlands"	"day_clear_1_dry_summer"
"NAP_MP_Grassy_Flatlands"	"day_overcast_1_dry_summer"
"NAP_MP_Grassy_Flatlands"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Grassy_Flatlands"	"day_overcast_1_light_rain_summer"
"NAP_MP_Grassy_Flatlands"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Grassy_Flatlands"	"evening_clear_1_dry_summer"
"NAP_MP_Grassy_Flatlands"	"evening_overcast_3_dry_summer"
"NAP_MP_Grassy_Flatlands"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Grassy_Flatlands"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Grassy_Flatlands"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Grassy_Flatlands"	"morning_clear_1_dry_summer"
"NAP_MP_Grassy_Flatlands"	"morning_overcast_3_dry_summer"
"NAP_MP_Grassy_Flatlands"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Grassy_Flatlands"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Grassy_Flatlands"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Great_Plains"	"day_clear_1_dry_summer"
"NAP_MP_Homestead"	"day_overcast_1_dry_summer"
"NAP_MP_Homestead"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Homestead"	"day_overcast_1_light_rain_summer"
"NAP_MP_Homestead"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Homestead"	"evening_clear_1_dry_summer"
"NAP_MP_Homestead"	"evening_overcast_3_dry_summer"
"NAP_MP_Homestead"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Homestead"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Homestead"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Homestead"	"morning_clear_1_dry_summer"
"NAP_MP_Homestead"	"morning_overcast_3_dry_summer"
"NAP_MP_Homestead"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Homestead"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Homestead"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Icelandic_Pinnacles"	"day_clear_1_dry_summer"
"NAP_MP_Icelandic_Pinnacles"	"day_overcast_1_dry_summer"
"NAP_MP_Icelandic_Pinnacles"	"day_overcast_1_heavy_snow_summer"
"NAP_MP_Icelandic_Pinnacles"	"day_overcast_1_light_snow_summer"
"NAP_MP_Icelandic_Pinnacles"	"day_storm_1_torrental_snow_summer"
"NAP_MP_Icelandic_Pinnacles"	"evening_clear_1_dry_summer"
"NAP_MP_Icelandic_Pinnacles"	"evening_cloudy_1_light_snow_summer"
"NAP_MP_Icelandic_Pinnacles"	"evening_overcast_3_dry_summer"
"NAP_MP_Icelandic_Pinnacles"	"evening_overcast_3_heavy_snow_summer"
"NAP_MP_Icelandic_Pinnacles"	"evening_storm_1_torrential_snow_summer"
"NAP_MP_Icelandic_Pinnacles"	"morning_clear_1_dry_summer"
"NAP_MP_Icelandic_Pinnacles"	"morning_overcast_3_dry_summer"
"NAP_MP_Icelandic_Pinnacles"	"morning_overcast_3_heavy_snow_summer"
"NAP_MP_Icelandic_Pinnacles"	"morning_storm_1_torrential_snow_summer"
"NAP_MP_Italian_Grassland"	"day_clear_1_dry_summer"
"NAP_MP_Italian_Grassland"	"day_overcast_1_dry_summer"
"NAP_MP_Italian_Grassland"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Italian_Grassland"	"day_overcast_1_light_rain_summer"
"NAP_MP_Italian_Grassland"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Italian_Grassland"	"evening_clear_1_dry_summer"
"NAP_MP_Italian_Grassland"	"evening_overcast_3_dry_summer"
"NAP_MP_Italian_Grassland"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Italian_Grassland"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Italian_Grassland"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Italian_Grassland"	"morning_clear_1_dry_summer"
"NAP_MP_Italian_Grassland"	"morning_overcast_3_dry_summer"
"NAP_MP_Italian_Grassland"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Italian_Grassland"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Italian_Grassland"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Lakeside_[SA]"	"day_clear_1_dry_summer"
"NAP_MP_Lakeside_[SA]"	"day_dust_storm_heavy_dust_summer"
"NAP_MP_Lakeside_[SA]"	"day_dust_storm_light_dust_summer"
"NAP_MP_Lakeside_[SA]"	"day_dust_storm_torrential_dust_summer"
"NAP_MP_Lakeside_[SA]"	"evening_clear_1_dry_summer"
"NAP_MP_Lakeside_[SA]"	"evening_dust_storm_heavy_dust_summer"
"NAP_MP_Lakeside_[SA]"	"evening_dust_storm_light_dust_summer"
"NAP_MP_Lakeside_[SA]"	"evening_dust_storm_torrential_dust_summer"
"NAP_MP_Lakeside_[SA]"	"morning_clear_1_dry_summer"
"NAP_MP_Lakeside_[SA]"	"morning_dust_storm_heavy_dust_summer"
"NAP_MP_Lakeside_[SA]"	"morning_dust_storm_light_dust_summer"
"NAP_MP_Lakeside_[SA]"	"morning_dust_storm_torrential_dust_summer"
"NAP_MP_Mountain"	"day_clear_1_dry_summer"
"NAP_MP_Mountain"	"day_overcast_1_dry_summer"
"NAP_MP_Mountain"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Mountain"	"day_overcast_1_light_rain_summer"
"NAP_MP_Mountain"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Mountain"	"evening_clear_1_dry_summer"
"NAP_MP_Mountain"	"evening_overcast_3_dry_summer"
"NAP_MP_Mountain"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Mountain"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Mountain"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Mountain"	"morning_clear_1_dry_summer"
"NAP_MP_Mountain"	"morning_overcast_3_dry_summer"
"NAP_MP_Mountain"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Mountain"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Mountain"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Prussian_Hills"	"day_clear_1_dry_summer"
"NAP_MP_Prussian_Hills"	"day_overcast_1_dry_summer"
"NAP_MP_Prussian_Hills"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Prussian_Hills"	"day_overcast_1_light_rain_summer"
"NAP_MP_Prussian_Hills"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Prussian_Hills"	"evening_clear_1_dry_summer"
"NAP_MP_Prussian_Hills"	"evening_overcast_3_dry_summer"
"NAP_MP_Prussian_Hills"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Prussian_Hills"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Prussian_Hills"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Prussian_Hills"	"morning_clear_1_dry_summer"
"NAP_MP_Prussian_Hills"	"morning_overcast_3_dry_summer"
"NAP_MP_Prussian_Hills"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Prussian_Hills"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Prussian_Hills"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Siberian_Plateau"	"day_clear_1_dry_summer"
"NAP_MP_Siberian_Plateau"	"day_overcast_1_dry_summer"
"NAP_MP_Siberian_Plateau"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Siberian_Plateau"	"day_overcast_1_light_rain_summer"
"NAP_MP_Siberian_Plateau"	"day_overcast_1_light_snow_summer"
"NAP_MP_Siberian_Plateau"	"evening_clear_1_dry_summer"
"NAP_MP_Siberian_Plateau"	"evening_cloudy_1_light_snow_summer"
"NAP_MP_Siberian_Plateau"	"evening_overcast_3_dry_summer"
"NAP_MP_Siberian_Plateau"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Siberian_Plateau"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Siberian_Plateau"	"morning_clear_1_dry_summer"
"NAP_MP_Siberian_Plateau"	"morning_overcast_3_dry_summer"
"NAP_MP_Siberian_Plateau"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Siberian_Plateau"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Sunken_Crater"	"day_clear_1_dry_summer"
"NAP_MP_Sunken_Crater"	"day_overcast_1_dry_summer"
"NAP_MP_Sunken_Crater"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Sunken_Crater"	"day_overcast_1_light_rain_summer"
"NAP_MP_Sunken_Crater"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Sunken_Crater"	"evening_clear_1_dry_summer"
"NAP_MP_Sunken_Crater"	"evening_overcast_3_dry_summer"
"NAP_MP_Sunken_Crater"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Sunken_Crater"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Sunken_Crater"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Sunken_Crater"	"morning_clear_1_dry_summer"
"NAP_MP_Sunken_Crater"	"morning_overcast_3_dry_summer"
"NAP_MP_Sunken_Crater"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Sunken_Crater"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Sunken_Crater"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Syrian_Ridge"	"day_clear_1_dry_summer"
"NAP_MP_Syrian_Ridge"	"day_dust_storm_light_dust_summer"
"NAP_MP_Syrian_Ridge"	"evening_clear_1_dry_summer"
"NAP_MP_Syrian_Ridge"	"evening_dust_storm_light_dust_summer"
"NAP_MP_Syrian_Ridge"	"morning_clear_1_dry_summer"
"NAP_MP_Syrian_Ridge"	"morning_dust_storm_light_dust_summer"
"NAP_MP_Valley_[SA]"	"day_clear_1_dry_summer"
"NAP_MP_Valley_[SA]"	"day_overcast_1_dry_summer"
"NAP_MP_Valley_[SA]"	"day_overcast_1_heavy_rain_summer"
"NAP_MP_Valley_[SA]"	"day_overcast_1_light_rain_summer"
"NAP_MP_Valley_[SA]"	"day_storm_1_torrential_rain_summer"
"NAP_MP_Valley_[SA]"	"evening_clear_1_dry_summer"
"NAP_MP_Valley_[SA]"	"evening_overcast_3_dry_summer"
"NAP_MP_Valley_[SA]"	"evening_overcast_3_heavy_rain_summer"
"NAP_MP_Valley_[SA]"	"evening_overcast_3_light_rain_summer"
"NAP_MP_Valley_[SA]"	"evening_storm_1_torrential_rain_summer"
"NAP_MP_Valley_[SA]"	"morning_clear_1_dry_summer"
"NAP_MP_Valley_[SA]"	"morning_overcast_3_dry_summer"
"NAP_MP_Valley_[SA]"	"morning_overcast_3_heavy_rain_summer"
"NAP_MP_Valley_[SA]"	"morning_overcast_3_light_rain_summer"
"NAP_MP_Valley_[SA]"	"morning_storm_1_torrential_rain_summer"
"NAP_MP_Yin_Yang"	"day_clear_1_dry_summer"
"NAP_MP_Yin_Yang"	"day_dust_storm_light_dust_summer"
"NAP_MP_Yin_Yang"	"evening_clear_1_dry_summer"
"NAP_MP_Yin_Yang"	"evening_dust_storm_light_dust_summer"
"NAP_MP_Yin_Yang"	"morning_clear_1_dry_summer"
"NAP_MP_Yin_Yang"	"morning_dust_storm_light_dust_summer"
"NCAMP_Waterloo"	"day_clear_1_dry_summer"
"NCAMP_Waterloo"	"day_overcast_1_dry_summer"
"NCAMP_Waterloo"	"day_overcast_1_heavy_rain_summer"
"NCAMP_Waterloo"	"day_overcast_1_light_rain_summer"
"NCAMP_Waterloo"	"day_storm_1_torrential_rain_summer"
"NCAMP_Waterloo"	"evening_clear_1_dry_summer"
"NCAMP_Waterloo"	"evening_overcast_3_dry_summer"
"NCAMP_Waterloo"	"evening_overcast_3_heavy_rain_summer"
"NCAMP_Waterloo"	"evening_overcast_3_light_rain_summer"
"NCAMP_Waterloo"	"evening_storm_1_torrential_rain_summer"
"NCAMP_Waterloo"	"morning_clear_1_dry_summer"
"NCAMP_Waterloo"	"morning_overcast_3_dry_summer"
"NCAMP_Waterloo"	"morning_overcast_3_heavy_rain_summer"
"NCAMP_Waterloo"	"morning_overcast_3_light_rain_summer"
"NCAMP_Waterloo"	"morning_storm_1_torrential_rain_summer"
"NHB_Arcole"	"day_clear_1_dry_summer"
"NHB_Arcole"	"day_overcast_1_dry_summer"
"NHB_Arcole"	"day_overcast_1_heavy_rain_summer"
"NHB_Arcole"	"day_overcast_1_light_rain_summer"
"NHB_Arcole"	"day_storm_1_torrential_rain_summer"
"NHB_Arcole"	"evening_clear_1_dry_summer"
"NHB_Arcole"	"evening_overcast_3_dry_summer"
"NHB_Arcole"	"evening_overcast_3_heavy_rain_summer"
"NHB_Arcole"	"evening_overcast_3_light_rain_summer"
"NHB_Arcole"	"evening_storm_1_torrential_rain_summer"
"NHB_Arcole"	"morning_clear_1_dry_summer"
"NHB_Arcole"	"morning_overcast_3_dry_summer"
"NHB_Arcole"	"morning_overcast_3_heavy_rain_summer"
"NHB_Arcole"	"morning_overcast_3_light_rain_summer"
"NHB_Arcole"	"morning_storm_1_torrential_rain_summer"
"NHB_Austerlitz"	"day_clear_1_dry_summer"
"NHB_Austerlitz"	"day_overcast_1_dry_summer"
"NHB_Austerlitz"	"day_overcast_1_heavy_snow_summer"
"NHB_Austerlitz"	"day_overcast_1_light_snow_summer"
"NHB_Austerlitz"	"day_storm_1_torrental_snow_summer"
"NHB_Austerlitz"	"evening_clear_1_dry_summer"
"NHB_Austerlitz"	"evening_cloudy_1_light_snow_summer"
"NHB_Austerlitz"	"evening_overcast_3_dry_summer"
"NHB_Austerlitz"	"evening_overcast_3_heavy_snow_summer"
"NHB_Austerlitz"	"evening_storm_1_torrential_snow_summer"
"NHB_Austerlitz"	"morning_clear_1_dry_summer"
"NHB_Austerlitz"	"morning_overcast_3_dry_summer"
"NHB_Austerlitz"	"morning_overcast_3_heavy_snow_summer"
"NHB_Austerlitz"	"morning_storm_1_torrential_snow_summer"
"NHB_Borodino"	"day_clear_1_dry_summer"
"NHB_Borodino"	"day_overcast_1_dry_summer"
"NHB_Borodino"	"day_overcast_1_heavy_rain_summer"
"NHB_Borodino"	"day_overcast_1_light_rain_summer"
"NHB_Borodino"	"day_storm_1_torrential_rain_summer"
"NHB_Borodino"	"evening_clear_1_dry_summer"
"NHB_Borodino"	"evening_overcast_3_dry_summer"
"NHB_Borodino"	"evening_overcast_3_heavy_rain_summer"
"NHB_Borodino"	"evening_overcast_3_light_rain_summer"
"NHB_Borodino"	"evening_storm_1_torrential_rain_summer"
"NHB_Borodino"	"morning_clear_1_dry_summer"
"NHB_Borodino"	"morning_overcast_3_dry_summer"
"NHB_Borodino"	"morning_overcast_3_heavy_rain_summer"
"NHB_Borodino"	"morning_overcast_3_light_rain_summer"
"NHB_Borodino"	"morning_storm_1_torrential_rain_summer"
"NHB_Dresden"	"day_clear_1_dry_summer"
"NHB_Dresden"	"day_overcast_1_dry_summer"
"NHB_Dresden"	"day_overcast_1_heavy_rain_summer"
"NHB_Dresden"	"day_overcast_1_light_rain_summer"
"NHB_Dresden"	"day_storm_1_torrential_rain_summer"
"NHB_Dresden"	"evening_clear_1_dry_summer"
"NHB_Dresden"	"evening_overcast_3_dry_summer"
"NHB_Dresden"	"evening_overcast_3_heavy_rain_summer"
"NHB_Dresden"	"evening_overcast_3_light_rain_summer"
"NHB_Dresden"	"evening_storm_1_torrential_rain_summer"
"NHB_Dresden"	"morning_clear_1_dry_summer"
"NHB_Dresden"	"morning_overcast_3_dry_summer"
"NHB_Dresden"	"morning_overcast_3_heavy_rain_summer"
"NHB_Dresden"	"morning_overcast_3_light_rain_summer"
"NHB_Dresden"	"morning_storm_1_torrential_rain_summer"
"NHB_Friedland"	"day_clear_1_dry_summer"
"NHB_Friedland"	"day_overcast_1_dry_summer"
"NHB_Friedland"	"day_overcast_1_heavy_rain_summer"
"NHB_Friedland"	"day_overcast_1_light_rain_summer"
"NHB_Friedland"	"day_storm_1_torrential_rain_summer"
"NHB_Friedland"	"evening_clear_1_dry_summer"
"NHB_Friedland"	"evening_overcast_3_dry_summer"
"NHB_Friedland"	"evening_overcast_3_heavy_rain_summer"
"NHB_Friedland"	"evening_overcast_3_light_rain_summer"
"NHB_Friedland"	"evening_storm_1_torrential_rain_summer"
"NHB_Friedland"	"morning_clear_1_dry_summer"
"NHB_Friedland"	"morning_overcast_3_dry_summer"
"NHB_Friedland"	"morning_overcast_3_heavy_rain_summer"
"NHB_Friedland"	"morning_overcast_3_light_rain_summer"
"NHB_Friedland"	"morning_storm_1_torrential_rain_summer"
"NHB_Ligny"	"day_clear_1_dry_summer"
"NHB_Ligny"	"day_overcast_1_dry_summer"
"NHB_Ligny"	"day_overcast_1_heavy_rain_summer"
"NHB_Ligny"	"day_overcast_1_light_rain_summer"
"NHB_Ligny"	"day_storm_1_torrential_rain_summer"
"NHB_Ligny"	"evening_clear_1_dry_summer"
"NHB_Ligny"	"evening_overcast_3_dry_summer"
"NHB_Ligny"	"evening_overcast_3_heavy_rain_summer"
"NHB_Ligny"	"evening_overcast_3_light_rain_summer"
"NHB_Ligny"	"evening_storm_1_torrential_rain_summer"
"NHB_Ligny"	"morning_clear_1_dry_summer"
"NHB_Ligny"	"morning_overcast_3_dry_summer"
"NHB_Ligny"	"morning_overcast_3_heavy_rain_summer"
"NHB_Ligny"	"morning_overcast_3_light_rain_summer"
"NHB_Ligny"	"morning_storm_1_torrential_rain_summer"
"NHB_Lodi"	"day_clear_1_dry_summer"
"NHB_Lodi"	"day_overcast_1_dry_summer"
"NHB_Lodi"	"day_overcast_1_heavy_rain_summer"
"NHB_Lodi"	"day_overcast_1_light_rain_summer"
"NHB_Lodi"	"day_storm_1_torrential_rain_summer"
"NHB_Lodi"	"evening_clear_1_dry_summer"
"NHB_Lodi"	"evening_overcast_3_dry_summer"
"NHB_Lodi"	"evening_overcast_3_heavy_rain_summer"
"NHB_Lodi"	"evening_overcast_3_light_rain_summer"
"NHB_Lodi"	"evening_storm_1_torrential_rain_summer"
"NHB_Lodi"	"morning_clear_1_dry_summer"
"NHB_Lodi"	"morning_overcast_3_dry_summer"
"NHB_Lodi"	"morning_overcast_3_heavy_rain_summer"
"NHB_Lodi"	"morning_overcast_3_light_rain_summer"
"NHB_Lodi"	"morning_storm_1_torrential_rain_summer"
"NHB_Nile"	"sc_mediterranean_day_clear_3_dry_summer"
"NHB_Nile"	"sc_mediterranean_day_overcast_1_dry_summer"
"NHB_Nile"	"sc_mediterranean_day_overcast_1_light_rain_summer"
"NHB_Nile"	"sc_mediterranean_day_overcast_2_dry_summer"
"NHB_Nile"	"sc_mediterranean_day_overcast_3_heavy_rain_summer"
"NHB_Nile"	"sc_mediterranean_day_storm_1_torrential_rain_summer"
"NHB_Nile"	"sc_mediterranean_evening_clear_3_dry_summer"
"NHB_Nile"	"sc_mediterranean_evening_overcast_3_light_rain_summer"
"NHB_Pyramids"	"day_clear_1_dry_summer"
"NHB_Pyramids"	"day_dust_storm_heavy_dust_summer"
"NHB_Pyramids"	"day_dust_storm_light_dust_summer"
"NHB_Pyramids"	"day_dust_storm_torrential_dust_summer"
"NHB_Pyramids"	"evening_clear_1_dry_summer"
"NHB_Pyramids"	"evening_dust_storm_heavy_dust_summer"
"NHB_Pyramids"	"evening_dust_storm_light_dust_summer"
"NHB_Pyramids"	"evening_dust_storm_torrential_dust_summer"
"NHB_Pyramids"	"morning_clear_1_dry_summer"
"NHB_Pyramids"	"morning_dust_storm_heavy_dust_summer"
"NHB_Pyramids"	"morning_dust_storm_light_dust_summer"
"NHB_Pyramids"	"morning_dust_storm_torrential_dust_summer"
"NHB_Trafalgar"	"sc_mediterranean_day_clear_3_dry_summer"
"NHB_Trafalgar"	"sc_mediterranean_day_overcast_1_dry_summer"
"NHB_Trafalgar"	"sc_mediterranean_day_overcast_1_light_rain_summer"
"NHB_Trafalgar"	"sc_mediterranean_day_overcast_2_dry_summer"
"NHB_Trafalgar"	"sc_mediterranean_day_overcast_3_heavy_rain_summer"
"NHB_Trafalgar"	"sc_mediterranean_day_storm_1_torrential_rain_summer"
"NHB_Trafalgar"	"sc_mediterranean_evening_clear_3_dry_summer"
"NHB_Trafalgar"	"sc_mediterranean_evening_overcast_3_light_rain_summer"
"NHB_Waterloo"	"day_clear_1_dry_summer"
"NHB_Waterloo"	"day_overcast_1_dry_summer"
"NHB_Waterloo"	"day_overcast_1_heavy_rain_summer"
"NHB_Waterloo"	"day_overcast_1_light_rain_summer"
"NHB_Waterloo"	"day_storm_1_torrential_rain_summer"
"NHB_Waterloo"	"evening_clear_1_dry_summer"
"NHB_Waterloo"	"evening_overcast_3_dry_summer"
"NHB_Waterloo"	"evening_overcast_3_heavy_rain_summer"
"NHB_Waterloo"	"evening_overcast_3_light_rain_summer"
"NHB_Waterloo"	"evening_storm_1_torrential_rain_summer"
"NHB_Waterloo"	"morning_clear_1_dry_summer"
"NHB_Waterloo"	"morning_overcast_3_dry_summer"
"NHB_Waterloo"	"morning_overcast_3_heavy_rain_summer"
"NHB_Waterloo"	"morning_overcast_3_light_rain_summer"
"NHB_Waterloo"	"morning_storm_1_torrential_rain_summer"
"NHMPB_Arcole_1v2"	"day_clear_1_dry_summer"
"NHMPB_Arcole_1v2"	"day_overcast_1_dry_summer"
"NHMPB_Arcole_1v2"	"day_overcast_1_heavy_rain_summer"
"NHMPB_Arcole_1v2"	"day_overcast_1_light_rain_summer"
"NHMPB_Arcole_1v2"	"day_storm_1_torrential_rain_summer"
"NHMPB_Arcole_1v2"	"evening_clear_1_dry_summer"
"NHMPB_Arcole_1v2"	"evening_overcast_3_dry_summer"
"NHMPB_Arcole_1v2"	"evening_overcast_3_heavy_rain_summer"
"NHMPB_Arcole_1v2"	"evening_overcast_3_light_rain_summer"
"NHMPB_Arcole_1v2"	"evening_storm_1_torrential_rain_summer"
"NHMPB_Arcole_1v2"	"morning_clear_1_dry_summer"
"NHMPB_Arcole_1v2"	"morning_overcast_3_dry_summer"
"NHMPB_Arcole_1v2"	"morning_overcast_3_heavy_rain_summer"
"NHMPB_Arcole_1v2"	"morning_overcast_3_light_rain_summer"
"NHMPB_Arcole_1v2"	"morning_storm_1_torrential_rain_summer"
"NHMPB_Austerlitz_3v3"	"day_clear_1_dry_summer"
"NHMPB_Austerlitz_4v4"	"day_clear_1_dry_summer"
"NHMPB_Borodino_3v3"	"day_clear_1_dry_summer"
"NHMPB_Borodino_3v3"	"day_overcast_1_dry_summer"
"NHMPB_Borodino_3v3"	"day_overcast_1_heavy_rain_summer"
"NHMPB_Borodino_3v3"	"day_overcast_1_light_rain_summer"
"NHMPB_Borodino_3v3"	"day_storm_1_torrential_rain_summer"
"NHMPB_Borodino_3v3"	"evening_clear_1_dry_summer"
"NHMPB_Borodino_3v3"	"evening_overcast_3_dry_summer"
"NHMPB_Borodino_3v3"	"evening_overcast_3_heavy_rain_summer"
"NHMPB_Borodino_3v3"	"evening_overcast_3_light_rain_summer"
"NHMPB_Borodino_3v3"	"evening_storm_1_torrential_rain_summer"
"NHMPB_Borodino_3v3"	"morning_clear_1_dry_summer"
