version 1, schema building_effects_junction_tables
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"sArmy1_cantonment"	"recruitment_points"	1
"sArmy2_barracks"	"recruitment_points"	2
"sArmy3_drill_school"	"recruitment_points"	2
"sArmy4_military_academy"	"recruitment_points"	3
"sArmy5_staff_college"	"recruitment_points"	3
"sArmyTutorial1_cantonment"	"recruitment_points"	1
"sCannon1_cannon_foundry"	"recruitment_points"	1
"sCannon2_ordnance_factory"	"recruitment_points"	1
"sCannon3_great_arsenal"	"recruitment_points"	1
"sCannon4_ordnance_board"	"recruitment_points"	1
"sCannon5_engineer_school"	"recruitment_points"	1
"sCannonTutorial1_cannon_foundry"	"recruitment_points"	1
"sCulture1_Theatre"	"happy_culture_all"	1
"sCulture1_Theatre"	"prestige_message"	1
"sCulture1_Theatre"	"recruitment_points"	1
"sCulture1_Theatre"	"tw_growth_education"	4
"sCulture1Tutorial_Theatre"	"happy_culture_all"	1
"sCulture1Tutorial_Theatre"	"prestige_message"	1
"sCulture1Tutorial_Theatre"	"tw_growth_education"	4
"sCulture2_opera_house"	"happy_culture_all"	2
"sCulture2_opera_house"	"prestige_message"	1
"sCulture2_opera_house"	"recruitment_points"	1
"sCulture2_opera_house"	"tw_growth_education"	8
"sCulture2Tutorial_opera_house"	"happy_culture_all"	2
"sCulture2Tutorial_opera_house"	"prestige_message"	1
"sCulture2Tutorial_opera_house"	"tw_growth_education"	8
"sCulture3_grand_opera_house"	"happy_culture_all"	3
"sCulture3_grand_opera_house"	"prestige_message"	1
"sCulture3_grand_opera_house"	"recruitment_points"	1
"sCulture3_grand_opera_house"	"tw_growth_education"	12
"sCulture4_great_museum"	"happy_culture_all"	4
"sCulture4_great_museum"	"prestige_message"	1
"sCulture4_great_museum"	"recruitment_points"	1
"sCulture4_great_museum"	"tw_growth_education"	16
"sCulture5_austria_theatrewien"	"happy_culture_all"	5
"sCulture5_austria_theatrewien"	"prestige_message"	1
"sCulture5_austria_theatrewien"	"tw_growth_education"	20
"sCulture5_britain_nationalgallery"	"happy_culture_all"	5
"sCulture5_britain_nationalgallery"	"prestige_message"	1
"sCulture5_britain_nationalgallery"	"tw_growth_education"	20
"sCulture5_france_museenapoleon"	"happy_culture_all"	5
"sCulture5_france_museenapoleon"	"prestige_message"	1
"sCulture5_france_museenapoleon"	"tw_growth_education"	20
"sCulture5_prussia_humboldt"	"happy_culture_all"	5
"sCulture5_prussia_humboldt"	"prestige_message"	1
"sCulture5_prussia_humboldt"	"tw_growth_education"	20
"sCulture5_russia_kremlinarmoury"	"happy_culture_all"	5
"sCulture5_russia_kremlinarmoury"	"prestige_message"	1
"sCulture5_russia_kremlinarmoury"	"tw_growth_education"	20
"sFortifications1_settlement_fortifications"	"region_turns_to_surrender"	2
"sFortifications1_settlement_fortifications"	"small_city_fortifications"	1
"sFortifications2_improved_settlement_fort"	"large_city_fortifications"	1
"sFortifications2_improved_settlement_fort"	"region_turns_to_surrender"	4
"sPrest_austria_heldenplatz"	"prestige_message"	1
"sPrest_britain_nelson"	"prestige_message"	1
"sPrest_france_arcdetriomphe"	"prestige_message"	1
"sPrest_prussia_victorycolumn"	"prestige_message"	1
"sPrest_russia_monumentminin"	"prestige_message"	1
"sRoads1_basic_roads"	"enable_cadenced_marching"	1
"sRoads1_basic_roads"	"tw_growth_roads"	4
"sRoads2_improved_roads"	"enable_cadenced_marching"	1
"sRoads2_improved_roads"	"replenishment_percentage_bonus"	3
"sRoads2_improved_roads"	"tw_growth_roads"	8
"sRoads3_tarmac_roads"	"enable_cadenced_marching"	1
"sRoads3_tarmac_roads"	"prestige_message"	1
"sRoads3_tarmac_roads"	"replenishment_percentage_bonus"	5
"sRoads3_tarmac_roads"	"tw_growth_roads"	16
"tCommerce1_market"	"gdp_industry"	50
"tCommerce1_market"	"tw_growth_industry"	6
"tCommerce2_merchant_house"	"gdp_industry"	100
"tCommerce2_merchant_house"	"tw_growth_industry"	12
"tCommerce3_banking_house"	"gdp_industry"	200
"tCommerce3_banking_house"	"tw_growth_industry"	24
"tEducation1_college"	"agent_spawn_rate_gentleman"	4
"tEducation1_college"	"happy_clamour_for_reform_all_classes"	-1
"tEducation1_college"	"research_points"	10
"tEducation2_university"	"agent_spawn_rate_gentleman"	8
"tEducation2_university"	"happy_clamour_for_reform_all_classes"	-2
"tEducation2_university"	"research_points"	20
"tEducation3_enlightened_university"	"agent_spawn_rate_gentleman"	16
"tEducation3_enlightened_university"	"happy_clamour_for_reform_all_classes"	-4
"tEducation3_enlightened_university"	"research_points"	40
"tEducationTutorial1_college"	"agent_spawn_rate_gentleman"	4
"tEducationTutorial1_college"	"happy_clamour_for_reform_all_classes"	-1
"tEducationTutorial1_college"	"research_points"	20
"tFactory1_manufactory"	"gdp_industry"	250
"tFactory1_manufactory"	"happy_industrialisation_lower"	-1
"tFactory1_manufactory"	"recruitment_cost_mod_category_artillery"	-3
"tFactory2_factory"	"gdp_industry"	500
"tFactory2_factory"	"happy_industrialisation_lower"	-2
"tFactory2_factory"	"recruitment_cost_mod_category_artillery"	-6
"tFactory3_steam_powered_factory"	"gdp_industry"	1000
"tFactory3_steam_powered_factory"	"happy_industrialisation_lower"	-3
"tFactory3_steam_powered_factory"	"recruitment_cost_mod_category_artillery"	-9
"tGuns1_gunsmith"	"happy_industrialisation_lower"	-1
"tGuns1_gunsmith"	"recruitment_cost_mod_category_infantry"	-3
"tGuns2_musket_manufactury"	"happy_industrialisation_lower"	-2
"tGuns2_musket_manufactury"	"recruitment_cost_mod_category_infantry"	-6
"tGuns2_musket_manufactury"	"recruitment_points"	1
"tGuns3_small_arms_factory"	"happy_industrialisation_lower"	-3
"tGuns3_small_arms_factory"	"recruitment_cost_mod_category_infantry"	-9
"tGuns3_small_arms_factory"	"recruitment_points"	2
"tGunsTutorial1_gunsmith"	"happy_industrialisation_lower"	-1
"tGunsTutorial1_gunsmith"	"recruitment_cost_mod_category_infantry"	-3
"tGunsTutorial2_musket_manufactury"	"happy_industrialisation_lower"	-2
"tGunsTutorial2_musket_manufactury"	"recruitment_cost_mod_category_infantry"	-6
"tGunsTutorial2_musket_manufactury"	"recruitment_points"	1
"tSecret1_gentlemens_club"	"agent_spawn_rate_rake"	4
"tSecret1_gentlemens_club"	"happy_culture_all"	1
"tSecret2_secret_society"	"agent_spawn_rate_rake"	8
"tSecret2_secret_society"	"happy_culture_all"	2
"tSecret3_masonic_lodge"	"agent_spawn_rate_rake"	16
"tSecret3_masonic_lodge"	"happy_culture_all"	3
"tSupply1_supply_post"	"replenishment_percentage_bonus"	8
"tSupply2_supply_warehouse"	"replenishment_percentage_bonus"	14
"tSupply3_supply_depot"	"replenishment_percentage_bonus"	22
"sCulture5_britain_nationalgallery"	"recruitment_points"	1
"sCulture5_france_museenapoleon"	"recruitment_points"	1
"sCulture5_prussia_humboldt"	"recruitment_points"	1
"sCulture5_russia_kremlinarmoury"	"recruitment_points"	1
"rFarm1_farms"	"replenishment_percentage_bonus"	1
"sRoads1_basic_roads"	"replenishment_percentage_bonus"	1
"pSupplySpain1_supply_port"	"naval_recruitment_points"	1
"pSupplySpain2_military_supply_port"	"naval_recruitment_points"	1
"pSupplySpain3_military_port_complex"	"naval_recruitment_points"	1
"sArmySpain1_cantonment"	"recruitment_points"	1
"sArmySpain2_barracks"	"recruitment_points"	2
"sArmySpain3_drill_school"	"recruitment_points"	2
"sArmySpain4_military_academy"	"recruitment_points"	3
"sArmySpain5_staff_college"	"recruitment_points"	3
"tReligionSpain2_church"	"research_points"	20
"tReligionSpain3_cathedral"	"research_points"	40
"pSupplySpain1_supply_port"	"recruitment_points"	1
"sAdminSpain1_tax_office"	"agent_spawn_rate_basic_hidden"	1
"sAdminSpain1_tax_office"	"recruitment_points"	1
"sAdminSpain1_tax_office"	"repression_building"	1
"tEducationSpain1_college"	"research_points"	15
"tEducationSpain2_university"	"agent_spawn_rate_propagandist"	6
"tEducationSpain2_university"	"research_points"	30
"tEducationSpain3_enlightened_university"	"agent_spawn_rate_propagandist"	12
"tEducationSpain3_enlightened_university"	"research_points"	60
"tEducationSpain2_university"	"conversion_pro_french"	1
"tEducationSpain3_enlightened_university"	"conversion_pro_french"	2
"tReligionSpain1_chapel"	"research_points"	10
"pSupplySpain3_military_port_complex"	"recruitment_points"	3
"pSupplySpain2_military_supply_port"	"recruitment_points"	2
"pSupplySpain1_supply_port"	"trade_routes_mod_max_sea"	3
"pSupplySpain2_military_supply_port"	"trade_routes_mod_max_sea"	3
"pSupplySpain3_military_port_complex"	"trade_routes_mod_max_sea"	3
"pSupplySpain1_supply_port"	"export_capacity_port"	30
"pSupplySpain2_military_supply_port"	"export_capacity_port"	60
"pSupplySpain3_military_port_complex"	"export_capacity_port"	90
"pSupplySpain2_military_supply_port"	"recruitment_cost_mod_land_all"	-2
"pSupplySpain3_military_port_complex"	"recruitment_cost_mod_land_all"	-4
"sAdminSpain1_tax_office"	"tax_bonus_building"	5
"sAdminSpain2_magistrate"	"agent_spawn_rate_basic_hidden"	2
"sAdminSpain2_magistrate"	"recruitment_points"	1
"sAdminSpain2_magistrate"	"repression_building"	2
"sAdminSpain2_magistrate"	"tax_bonus_building"	10
"tSecretSpain1_gentlemens_club"	"agent_spawn_rate_rake"	3
"tSecretSpain1_gentlemens_club"	"happy_culture_all"	1
"tSecretSpain2_secret_society"	"agent_spawn_rate_rake"	6
"tSecretSpain2_secret_society"	"happy_culture_all"	2
"tSecretSpain3_masonic_lodge"	"agent_spawn_rate_rake"	16
"tSecretSpain3_masonic_lodge"	"happy_culture_all"	3
"tReligionSpain1_chapel"	"agent_spawn_rate_priest"	3
"tReligionSpain2_church"	"agent_spawn_rate_priest"	6
"tReligionSpain3_cathedral"	"agent_spawn_rate_priest"	12
"tReligionSpain1_chapel"	"agent_spawn_rate_guerrillero"	3
"tReligionSpain2_church"	"agent_spawn_rate_guerrillero"	6
"tReligionSpain3_cathedral"	"agent_spawn_rate_guerrillero"	12
"tReligionSpain1_chapel"	"happy_culture_all"	1
"tReligionSpain2_church"	"happy_culture_all"	2
"tReligionSpain3_cathedral"	"happy_culture_all"	3
"tReligionSpain1_chapel"	"conversion_anti_french"	2
"tReligionSpain2_church"	"conversion_anti_french"	4
"tReligionSpain3_cathedral"	"conversion_anti_french"	8
"tEducationSpain1_college"	"agent_spawn_rate_propagandist"	3
"sAdminSpain3_court_justice"	"agent_spawn_rate_basic_hidden"	3
"sAdminSpain3_court_justice"	"recruitment_points"	1
"sAdminSpain3_court_justice"	"repression_building"	3
"sAdminSpain3_court_justice"	"tax_bonus_building"	15
"sAdminSpain4_court_appeals"	"agent_spawn_rate_basic_hidden"	4
"rGoldSpain2_steam-pumped_gold_mine"	"happy_industrialisation_lower"	-1
"rGoldSpain2_steam-pumped_gold_mine"	"tw_growth_industry"	20
"rGoldSpain3_industrial_gold_mining_complex"	"gdp_mine"	1200
"rGoldSpain3_industrial_gold_mining_complex"	"happy_industrialisation_lower"	-2
"rGoldSpain3_industrial_gold_mining_complex"	"tw_growth_industry"	40
"rIronSpain1_iron_mine"	"gdp_mine"	100
"rIronSpain1_iron_mine"	"recruitment_cost_mod_land_all"	-3
"rIronSpain2_steam-pumped_iron_mine"	"gdp_mine"	200
"rIronSpain2_steam-pumped_iron_mine"	"happy_industrialisation_lower"	-1
"rIronSpain2_steam-pumped_iron_mine"	"recruitment_cost_mod_land_all"	-6
"rIronSpain3_industrial_iron_mining_complex"	"gdp_mine"	400
"rIronSpain3_industrial_iron_mining_complex"	"happy_industrialisation_lower"	-2
"rIronSpain3_industrial_iron_mining_complex"	"recruitment_cost_mod_land_all"	-9
"rTimberSpain1_timber_logging_camp"	"building_cost_mod_all"	-10
"rTimberSpain1_timber_logging_camp"	"gdp_industry"	75
"rTimberSpain1_timber_logging_camp"	"recruitment_cost_mod_naval_all"	-3
"rTimberSpain2_timber_lumber_mill"	"building_cost_mod_all"	-12
"rTimberSpain2_timber_lumber_mill"	"gdp_industry"	150
"rTimberSpain2_timber_lumber_mill"	"recruitment_cost_mod_naval_all"	-6
"rTimberSpain3_steam_powered_sawmill"	"building_cost_mod_all"	-24
"rTimberSpain3_steam_powered_sawmill"	"gdp_industry"	300
"rTimberSpain3_steam_powered_sawmill"	"happy_industrialisation_lower"	-1
"rTimberSpain3_steam_powered_sawmill"	"recruitment_cost_mod_naval_all"	-9
"tCommerceSpain1_market"	"gdp_industry"	50
"tCommerceSpain1_market"	"tw_growth_industry"	6
"tCommerceSpain2_merchant_house"	"gdp_industry"	100
"tCommerceSpain2_merchant_house"	"tw_growth_industry"	12
"tCommerceSpain3_banking_house"	"gdp_industry"	200
"tCommerceSpain3_banking_house"	"tw_growth_industry"	24
"tGunsSpain1_gunsmith"	"happy_industrialisation_lower"	-1
"tGunsSpain1_gunsmith"	"recruitment_cost_mod_category_infantry"	-3
"tGunsSpain2_musket_manufactury"	"happy_industrialisation_lower"	-2
"tGunsSpain2_musket_manufactury"	"recruitment_cost_mod_category_infantry"	-6
"tGunsSpain2_musket_manufactury"	"recruitment_points"	1
"tGunsSpain3_small_arms_factory"	"happy_industrialisation_lower"	-3
"tGunsSpain3_small_arms_factory"	"recruitment_cost_mod_category_infantry"	-9
"tGunsSpain3_small_arms_factory"	"recruitment_points"	2
"tSupplySpain1_supply_post"	"replenishment_percentage_bonus"	8
"tSupplySpain2_supply_warehouse"	"replenishment_percentage_bonus"	14
"tSupplySpain3_supply_depot"	"replenishment_percentage_bonus"	22
"sAdminSpain4_court_appeals"	"recruitment_points"	1
"sAdminSpain4_court_appeals"	"repression_building"	3
"sAdminSpain4_court_appeals"	"tax_bonus_building"	20
"sAdminSpain5_court_supreme"	"agent_spawn_rate_basic_hidden"	5
"sAdminSpain5_court_supreme"	"recruitment_points"	1
"sAdminSpain5_court_supreme"	"repression_building"	4
"sAdminSpain5_court_supreme"	"tax_bonus_building"	25
"tFactorySpain1_manufactory"	"gdp_industry"	250
"tFactorySpain1_manufactory"	"happy_industrialisation_lower"	-1
"tFactorySpain1_manufactory"	"recruitment_cost_mod_category_artillery"	-3
"tFactorySpain2_factory"	"gdp_industry"	500
"tFactorySpain2_factory"	"happy_industrialisation_lower"	-2
"tFactorySpain2_factory"	"recruitment_cost_mod_category_artillery"	-6
"tFactorySpain3_steam_powered_factory"	"gdp_industry"	1000
"tFactorySpain3_steam_powered_factory"	"happy_industrialisation_lower"	-3
"tFactorySpain3_steam_powered_factory"	"recruitment_cost_mod_category_artillery"	-9
"pNavySpain1_shipyard"	"naval_recruitment_points"	1
"pNavySpain2_dockyard"	"happy_industrialisation_lower"	-1
"pNavySpain2_dockyard"	"naval_recruitment_points"	2
"pNavySpain3_steam_drydock"	"happy_industrialisation_lower"	-2
"pNavySpain3_steam_drydock"	"naval_recruitment_points"	3
"rGoldSpain1_gold_mine"	"gdp_mine"	300
"rGoldSpain1_gold_mine"	"tw_growth_industry"	10
"rGoldSpain2_steam-pumped_gold_mine"	"gdp_mine"	600
