version 1, schema units_to_exclusive_faction_permissions_tables
Unit_IDRef(string)	Faction_IDRef(string)	Availability(boolean)
"euro_dragoons"	"crimean_khanate"	false
"euro_dragoons_colonial"	"crimean_khanate"	false
"euro_elite_light_infantry"	"britain"	false
"euro_elite_light_infantry"	"crimean_khanate"	false
"euro_elite_light_infantry_green_jackets"	"britain"	true
"euro_expat_infantry"	"crimean_khanate"	false
"euro_generals_bodyguard"	"crimean_khanate"	false
"euro_grenade_launchers"	"russia"	true
"euro_grenadiers"	"crimean_khanate"	false
"euro_grenadiers"	"prussia"	false
"euro_grenadiers"	"russia"	false
"euro_grenadiers"	"spain"	false
"euro_highlanders_royal_ecossois"	"france"	true
"euro_highlanders_scots"	"netherlands"	true
"euro_hussars"	"crimean_khanate"	false
"euro_hussars"	"netherlands"	true
"euro_lancers_uhlans"	"austria"	false
"euro_lancers_uhlans"	"poland_lithuania"	true
"euro_lancers_uhlans"	"prussia"	true
"euro_lancers_uhlans_austria"	"austria"	true
"euro_light_cavalry"	"austria"	false
"euro_light_dragoons"	"crimean_khanate"	false
"euro_light_dragoons"	"sweden"	false
"euro_light_infantry"	"crimean_khanate"	false
"euro_light_infantry_colonial"	"crimean_khanate"	false
"euro_light_infantry_miquelets"	"portugal"	true
"euro_light_infantry_miquelets"	"spain"	false
"euro_line_infantry"	"austria"	false
"euro_line_infantry"	"bavaria"	true
"euro_line_infantry"	"britain"	false
"euro_line_infantry"	"crimean_khanate"	false
"euro_line_infantry"	"denmark"	false
"euro_line_infantry"	"france"	false
"euro_line_infantry"	"hannover"	true
"euro_line_infantry"	"hessen"	true
"euro_line_infantry"	"netherlands"	false
"euro_line_infantry"	"poland_lithuania"	false
"euro_line_infantry"	"prussia"	false
"euro_line_infantry"	"russia"	false
"euro_line_infantry"	"saxony"	true
"euro_line_infantry"	"spain"	false
"euro_line_infantry"	"sweden"	false
"euro_line_infantry"	"swiss_confederation"	true
"euro_line_infantry"	"venice"	false
"euro_line_infantry_austria"	"austria"	true
"euro_line_infantry_britain"	"britain"	true
"euro_line_infantry_colonial"	"crimean_khanate"	false
"euro_line_infantry_denmark"	"denmark"	true
"euro_line_infantry_france"	"france"	true
"euro_line_infantry_holland"	"netherlands"	true
"euro_line_infantry_poland"	"poland_lithuania"	true
"euro_line_infantry_prussia"	"prussia"	true
"euro_line_infantry_russia"	"russia"	true
"euro_line_infantry_spain"	"spain"	true
"euro_line_infantry_sweden"	"sweden"	true
"euro_line_infantry_venice"	"venice"	true
"euro_militia_infantry"	"crimean_khanate"	false
"euro_militia_infantry"	"russia"	false
"euro_militia_infantry_colonial_militia"	"crimean_khanate"	false
"euro_militia_infantry_colonial_tutorial_rubbish"	"france"	true
"euro_pikemen"	"bavaria"	true
"euro_pikemen"	"crimean_khanate"	false
"euro_pikemen"	"hannover"	true
"euro_pikemen"	"hessen"	true
"euro_pikemen"	"russia"	false
"euro_pikemen"	"saxony"	true
"euro_pikemen"	"swiss_confederation"	true
"euro_pikemen_prussian"	"prussia"	true
"euro_polish_winged_hussars"	"crimean_khanate"	false
"euro_polish_winged_hussars"	"russia"	false
"euro_provincial_cavalry"	"crimean_khanate"	false
"euro_provincial_cavalry"	"russia"	false
"euro_provincial_line_infantry"	"crimean_khanate"	false
"euro_rangers_siberian_hunters"	"russia"	true
"euro_regiment_of_horse"	"crimean_khanate"	false
"euro_republican_conscript_infantry"	"crimean_khanate"	false
"euro_republican_guard"	"crimean_khanate"	false
"euro_republican_guard"	"netherlands"	false
"euro_sepoys"	"crimean_khanate"	false
"euro_superior_line_infantry"	"prussia"	true
"euro_superior_line_infantry"	"sweden"	true
"euro_superior_line_infantry_blackwatch"	"britain"	true
"euro_superior_line_infantry_coldstream"	"britain"	true
"galleon"	"pirates"	true
"galleon_fluyt"	"netherlands"	true
"galleon_fluyt"	"pirates"	true
"galleon_race_built"	"pirates"	true
"gorodskiye_streltsy"	"russia"	true
"guard_infantry"	"crimean_khanate"	false
"guard_infantry"	"netherlands"	false
"guard_infantry"	"prussia"	false
"guard_infantry"	"spain"	false
"guard_infantry"	"sweden"	false
"highland_clansmen"	"scotland"	true
"household_cavalry"	"crimean_khanate"	false
"household_cavalry"	"netherlands"	false
"household_cavalry"	"prussia"	false
"household_cavalry"	"spain"	false
"household_cavalry"	"sweden"	false
"janissaries_beylik_grenadiers"	"ottoman_rebels"	true
"janissaries_beylik_grenadiers"	"ottomans"	true
"janissaries_beylik_musketeers"	"ottoman_rebels"	true
"janissaries_beylik_musketeers"	"ottomans"	true
"janissaries_cemaat"	"ottoman_rebels"	true
"janissaries_cemaat"	"ottomans"	true
"janissaries_cemaat_grenadiers"	"ottoman_rebels"	true
"janissaries_cemaat_grenadiers"	"ottomans"	true
"janissaries_sekban"	"ottoman_rebels"	true
"janissaries_sekban"	"ottomans"	true
"light_galley/galliot/fusta"	"pirates"	true
"mameluks"	"mamelukes"	true
"mameluks"	"ottomans"	true
"medium_galley"	"pirates"	true
"nan_american_pioneer_militia"	"united_states"	true
"nan_american_pioneer_raiders"	"united_states"	true
"nan_cherokee_archers"	"cherokee_playable"	true
"nan_cherokee_armed_citizenry"	"cherokee_playable"	true
"nan_cherokee_artillery"	"cherokee_playable"	true
"nan_cherokee_atakapa_elite_warriors"	"cherokee_playable"	true
"nan_cherokee_creek_horse_riders"	"cherokee_playable"	true
"nan_cherokee_elite"	"cherokee_playable"	true
"nan_cherokee_medicine_men"	"cherokee_playable"	true
"nan_cherokee_mounted_lancers"	"cherokee_playable"	true
"nan_cherokee_mounted_musketeers"	"cherokee_playable"	true
"nan_cherokee_muscogee_tribesmen"	"cherokee_playable"	true
"nan_cherokee_musketeers"	"cherokee_playable"	true
"nan_cherokee_tribesmen"	"cherokee_playable"	true
"nan_cherokee_warriors"	"cherokee_playable"	true
"nan_huron_archers"	"huron_playable"	true
"nan_huron_armed_citizenry"	"huron_playable"	true
"nan_huron_artillery"	"huron_playable"	true
"nan_huron_elite"	"huron_playable"	true
"nan_huron_medicine_men"	"huron_playable"	true
"nan_huron_mounted_lancers"	"huron_playable"	true
"nan_huron_mounted_musketeers"	"huron_playable"	true
"nan_huron_musketeers"	"huron_playable"	true
"nan_huron_ojibwa_horse_warriors"	"huron_playable"	true
"nan_huron_ojibwa_warriors"	"huron_playable"	true
"nan_huron_petun_wolf_warriors"	"huron_playable"	true
"nan_huron_tribesmen"	"huron_playable"	true
"nan_huron_warriors"	"huron_playable"	true
"nan_iroquois_archers"	"iroquoi_playable"	true
"nan_iroquois_armed_citizenry"	"iroquoi_playable"	true
"nan_iroquois_artillery"	"iroquoi_playable"	true
"nan_iroquois_elite"	"iroquoi_playable"	true
"nan_iroquois_medicine_men"	"iroquoi_playable"	true
"nan_iroquois_mohawk_elite_warriors"	"iroquoi_playable"	true
"nan_iroquois_mounted_lancers"	"iroquoi_playable"	true
"nan_iroquois_mounted_musketeers"	"iroquoi_playable"	true
"nan_iroquois_musketeers"	"iroquoi_playable"	true
"nan_iroquois_onondaga_fire_keepers"	"iroquoi_playable"	true
"nan_iroquois_tribesmen"	"iroquoi_playable"	true
"nan_iroquois_warriors"	"iroquoi_playable"	true
"nan_iroquois_winnebago_warriors"	"iroquoi_playable"	true
"nan_plains_archers"	"plains_playable"	true
"nan_plains_armed_citizenry"	"plains_playable"	true
"nan_plains_artillery"	"plains_playable"	true
"nan_plains_blackfoot_blood_warriors"	"plains_playable"	true
"nan_plains_cheyenne_dog_soldiers"	"plains_playable"	true
"nan_plains_comanche_mounted_warriors"	"plains_playable"	true
"nan_plains_elite"	"plains_playable"	true
"nan_plains_generals_bodyguard"	"cherokee_playable"	true
"nan_plains_generals_bodyguard"	"huron_playable"	true
"nan_plains_generals_bodyguard"	"iroquoi_playable"	true
"nan_plains_generals_bodyguard"	"plains_playable"	true
"nan_plains_generals_bodyguard"	"pueblo_playable"	true
"nan_plains_medicine_men"	"plains_playable"	true
"nan_plains_mounted_lancers"	"plains_playable"	true
"nan_plains_mounted_musketeers"	"plains_playable"	true
"nan_plains_musketeers"	"plains_playable"	true
"nan_plains_tribesmen"	"plains_playable"	true
"nan_plains_warriors"	"plains_playable"	true
"nan_pueblo_apache_mescalero_warriors"	"pueblo_playable"	true
"nan_pueblo_archers"	"pueblo_playable"	true
"nan_pueblo_armed_citizenry"	"pueblo_playable"	true
"nan_pueblo_artillery"	"pueblo_playable"	true
"nan_pueblo_crow_horse_warriors"	"pueblo_playable"	true
"nan_pueblo_elite"	"pueblo_playable"	true
"nan_pueblo_medicine_men"	"pueblo_playable"	true
"nan_pueblo_mounted_lancers"	"pueblo_playable"	true
"nan_pueblo_mounted_musketeers"	"pueblo_playable"	true
"nan_pueblo_musketeers"	"pueblo_playable"	true
"nan_pueblo_navajo_scout_warriors"	"pueblo_playable"	true
"nan_pueblo_tribesmen"	"pueblo_playable"	true
"nan_pueblo_warriors"	"pueblo_playable"	true
"native_american_archers_auxiliary"	"crimean_khanate"	false
"native_american_mounted_musketeers_auxiliary"	"crimean_khanate"	false
"native_american_musketeers_auxiliary"	"crimean_khanate"	false
"native_american_tribesmen_auxiliary"	"crimean_khanate"	false
"native_american_warriors_auxiliary"	"crimean_khanate"	false
"netherlands_holland_guard"	"netherlands"	true
"netherlands_horse_guards"	"netherlands"	true
"netherlands_swiss_infantry"	"netherlands"	true
"norwegian_ski_troops"	"norway"	true
"ottoman_great_cannon"	"ottomans"	true
"over_1st_rate"	"knights_stjohn"	false
"over_1st_rate"	"portugal"	true
"over_1st_rate_american"	"united_states"	true
"over_1st_rate_british"	"britain"	true
"over_1st_rate_french"	"france"	true
"over_1st_rate_russian"	"crimean_khanate"	false
"over_1st_rate_spanish"	"spain"	true
"pandours"	"crimean_khanate"	false
"pirates"	"pirates"	true
"prussian_garde_du_corp"	"prussia"	true
"prussian_grenadiers"	"prussia"	true
"prussian_life_guard"	"prussia"	true
"puckle_gun"	"crimean_khanate"	false
"razee"	"crimean_khanate"	false
"razee"	"portugal"	true
"razee_british"	"britain"	true
"revolutionary_guard"	"france"	true
"revolutionary_infantry"	"france"	true
"rocket_ship"	"crimean_khanate"	false
"rocket_ship"	"knights_stjohn"	false
"rocket_ship"	"portugal"	true
"rocket_ship_american"	"united_states"	true
"rocket_ship_british"	"britain"	true
"rocket_ship_french"	"france"	true
"rocket_ship_spanish"	"spain"	true
"rockets_fixed"	"crimean_khanate"	false
"russian_grenadiers"	"russia"	true
"sloop"	"britain"	false
"sloop"	"crimean_khanate"	false
"sloop"	"france"	false
"sloop"	"knights_stjohn"	false
"sloop"	"pirates"	true
"sloop"	"spain"	false
"sloop"	"united_states"	false
"sloop"	"virginia"	true
"sloop_american"	"united_states"	true
"sloop_british"	"britain"	true
"sloop_french"	"france"	true
"sloop_spanish"	"spain"	true
"sp_ed_constitution"	"united_states"	true
"sp_ed_constitution_admiral"	"united_states"	true
"sp_ed_dahomey_amazon"	"crimean_khanate"	false
"sp_ed_deaths_head_hussar"	"prussia"	true
"sp_ed_ghoorkas"	"crimean_khanate"	false
"sp_ed_guerillas"	"spain"	true
"sp_ed_hms_victory"	"britain"	true
"sp_ed_hms_victory_admiral"	"britain"	true
"sp_ed_organ_gun"	"ottomans"	true
"sp_ed_rogers_rangers"	"britain"	true
"sp_ed_wild_geese"	"france"	true
"spanish_grenadiers"	"spain"	true
"spanish_guardias_de_corp"	"spain"	true
"spanish_guardias_de_infanteria"	"spain"	true
"steam_ship"	"crimean_khanate"	false
"steam_ship"	"portugal"	true
"steam_ship_american"	"united_states"	true
"steam_ship_british"	"britain"	true
"steam_ship_french"	"france"	true
"steam_ship_spanish"	"spain"	true
"steppe_cavalry_tatars_crimean"	"crimean_khanate"	true
"steppe_cavalry_tatars_ottoman"	"crimean_khanate"	false
"swedish_life_guards_of_foot"	"sweden"	true
"swedish_life_guards_of_horse"	"sweden"	true
"viborniye_streltsy"	"russia"	true
"eue_armenian_archers"	"ottomans"	true
"eue_bosnian_panduks"	"ottomans"	true
"eue_cairo_janissaries"	"ottomans"	true
"eue_circassian_armoured_cavalry"	"ottomans"	true
"eue_haydut_irregulars"	"ottomans"	true
"eue_libyan_kuloglu"	"ottomans"	true
"eue_mounted_nizam_i_cedit"	"ottomans"	true
"eue_palestinian_auxiliaries"	"ottomans"	true
"eue_wallachian_boyars"	"ottomans"	true
"eue_barawardi"	"maratha"	true
"eue_poligar"	"maratha"	true
"eue_rajput_zamindar"	"maratha"	true
