version 1, schema units_to_gov_type_permissions_tables
Unit_IDRef(string)	Government_IDRef(string)	unknown1(string)	Status(string)
"spanish_guardias_de_corp"	"gov_constitutional_monarchy"	"77"	"enabled"
"spanish_guardias_de_corp"	"gov_republic"	"66"	"destroyed"
"spanish_guardias_de_infanteria"	"gov_absolute_monarchy"	"78"	"enabled"
"spanish_guardias_de_infanteria"	"gov_constitutional_monarchy"	"79"	"enabled"
"spanish_guardias_de_infanteria"	"gov_republic"	"67"	"converted_to"
"steppe_cavalry_tatars_ottoman"	"gov_absolute_monarchy"	"27"	"enabled"
"steppe_cavalry_tatars_ottoman"	"gov_constitutional_monarchy"	"55"	"non_reinforceable"
"steppe_cavalry_tatars_ottoman"	"gov_republic"	"56"	"destroyed"
"swedish_life_guards_of_foot"	"gov_absolute_monarchy"	"72"	"enabled"
"swedish_life_guards_of_foot"	"gov_constitutional_monarchy"	"73"	"enabled"
"swedish_life_guards_of_foot"	"gov_republic"	"68"	"converted_to"
"swedish_life_guards_of_horse"	"gov_absolute_monarchy"	"74"	"enabled"
"swedish_life_guards_of_horse"	"gov_constitutional_monarchy"	"75"	"enabled"
"swedish_life_guards_of_horse"	"gov_republic"	"69"	"destroyed"
"viborniye_streltsy"	"gov_absolute_monarchy"	"28"	"enabled"
"viborniye_streltsy"	"gov_constitutional_monarchy"	"29"	"enabled"
"viborniye_streltsy"	"gov_republic"	"57"	"non_reinforceable"
"voltigeur"	"gov_absolute_monarchy"	"58"	"destroyed"
"voltigeur"	"gov_constitutional_monarchy"	"59"	"destroyed"
"voltigeur"	"gov_republic"	"30"	"enabled"
