version 1, schema character_trait_levels_tables, guid 787842b0-0585-4a7a-8efb-e67e88122112
Trait_Level_ID(string)	Level(int)	Trait_IDRef(string)	Threshold(int)
"S2_boshin_general_nostalgic_01"	1	"S2_boshin_general_nostalgic"	1
"S2_boshin_general_nostalgic_02"	2	"S2_boshin_general_nostalgic"	3
"S2_boshin_general_nostalgic_03"	3	"S2_boshin_general_nostalgic"	6
"S2_boshin_general_paranoia_1"	1	"S2_boshin_general_paranoia"	1
"S2_boshin_general_paranoia_2"	2	"S2_boshin_general_paranoia"	3
"S2_boshin_general_paranoia_3"	3	"S2_boshin_general_paranoia"	6
"S2_boshin_general_protected_1"	1	"S2_boshin_general_protected"	1
"S2_boshin_general_protected_2"	2	"S2_boshin_general_protected"	3
"S2_boshin_general_protected_3"	3	"S2_boshin_general_protected"	6
"S2_boshin_general_seasick_1"	1	"S2_boshin_general_seasick"	1
"S2_boshin_general_seasick_2"	2	"S2_boshin_general_seasick"	3
"S2_boshin_general_seasick_3"	3	"S2_boshin_general_seasick"	6
"S2_boshin_ishin_shishi_chip_01"	1	"S2_boshin_ishin_shishi_chip"	1
"S2_boshin_ishin_shishi_chip_02"	2	"S2_boshin_ishin_shishi_chip"	3
"S2_boshin_ishin_shishi_chip_03"	3	"S2_boshin_ishin_shishi_chip"	8
"S2_boshin_ishin_shishi_cruel_01"	1	"S2_boshin_ishin_shishi_cruel"	1
"S2_boshin_ishin_shishi_cruel_02"	2	"S2_boshin_ishin_shishi_cruel"	3
"S2_boshin_ishin_shishi_cruel_03"	3	"S2_boshin_ishin_shishi_cruel"	6
"S2_boshin_ishin_shishi_persuasive_01"	1	"S2_boshin_ishin_shishi_persuasive"	1
"S2_boshin_ishin_shishi_persuasive_02"	2	"S2_boshin_ishin_shishi_persuasive"	3
"S2_boshin_ishin_shishi_persuasive_03"	3	"S2_boshin_ishin_shishi_persuasive"	6
"S2_boshin_ishin_shishi_superpatriot_01"	1	"S2_boshin_ishin_shishi_superpatriot"	1
"S2_boshin_ishin_shishi_superpatriot_02"	2	"S2_boshin_ishin_shishi_superpatriot"	3
"S2_boshin_ishin_shishi_superpatriot_03"	3	"S2_boshin_ishin_shishi_superpatriot"	6
"S2_boshin_shinobi_vicious_01"	1	"S2_boshin_shinobi_vicious"	1
"S2_boshin_shinobi_vicious_02"	2	"S2_boshin_shinobi_vicious"	5
"S2_boshin_shinobi_vicious_03"	3	"S2_boshin_shinobi_vicious"	10
"S2_boshin_shinobi_xenophobe_01"	1	"S2_boshin_shinobi_xenophobe"	1
"S2_boshin_shinobi_xenophobe_02"	2	"S2_boshin_shinobi_xenophobe"	3
"S2_boshin_shinobi_xenophobe_03"	3	"S2_boshin_shinobi_xenophobe"	6
"S2_boshin_shinsengumi_bandit_01"	1	"S2_boshin_shinsengumi_bandit"	1
"S2_boshin_shinsengumi_bandit_02"	2	"S2_boshin_shinsengumi_bandit"	3
"S2_boshin_shinsengumi_bandit_03"	3	"S2_boshin_shinsengumi_bandit"	8
"S2_boshin_shinsengumi_chip_01"	1	"S2_boshin_shinsengumi_chip"	1
"S2_boshin_shinsengumi_chip_02"	2	"S2_boshin_shinsengumi_chip"	3
"S2_boshin_shinsengumi_chip_03"	3	"S2_boshin_shinsengumi_chip"	8
"S2_boshin_shinsengumi_cruel_01"	1	"S2_boshin_shinsengumi_cruel"	1
"S2_boshin_shinsengumi_cruel_02"	2	"S2_boshin_shinsengumi_cruel"	3
"S2_boshin_shinsengumi_cruel_03"	3	"S2_boshin_shinsengumi_cruel"	6
"S2_boshin_shinsengumi_noble_01"	1	"S2_boshin_shinsengumi_noble"	1
"S2_boshin_shinsengumi_noble_02"	2	"S2_boshin_shinsengumi_noble"	2
"S2_boshin_shinsengumi_noble_03"	3	"S2_boshin_shinsengumi_noble"	3
"S2_boshin_shinsengumi_superpatriot_01"	1	"S2_boshin_shinsengumi_superpatriot"	1
"S2_boshin_shinsengumi_superpatriot_02"	2	"S2_boshin_shinsengumi_superpatriot"	3
"S2_boshin_shinsengumi_superpatriot_03"	3	"S2_boshin_shinsengumi_superpatriot"	8
"S2_boshin_veteran_drunkard_01"	1	"S2_boshin_veteran_drunkard"	30
"S2_boshin_veteran_drunkard_02"	2	"S2_boshin_veteran_drunkard"	50
"S2_boshin_veteran_drunkard_03"	3	"S2_boshin_veteran_drunkard"	70
"S2_boshin_veteran_imperialist_01"	1	"S2_boshin_veteran_imperialist"	1
"S2_boshin_veteran_imperialist_02"	2	"S2_boshin_veteran_imperialist"	3
"S2_boshin_veteran_imperialist_03"	3	"S2_boshin_veteran_imperialist"	6
"S2_boshin_veteran_japanophile_01"	1	"S2_boshin_veteran_japanophile"	2
"S2_boshin_veteran_japanophile_02"	2	"S2_boshin_veteran_japanophile"	4
"S2_boshin_veteran_japanophile_03"	3	"S2_boshin_veteran_japanophile"	6
"S2_boshin_veteran_japanophobe_01"	1	"S2_boshin_veteran_japanophobe"	1
"S2_boshin_veteran_japanophobe_02"	2	"S2_boshin_veteran_japanophobe"	4
"S2_boshin_veteran_japanophobe_03"	3	"S2_boshin_veteran_japanophobe"	6
"S2_boshin_veteran_mercenary_01"	1	"S2_boshin_veteran_mercenary"	2
"S2_boshin_veteran_mercenary_02"	2	"S2_boshin_veteran_mercenary"	4
"S2_boshin_veteran_mercenary_03"	3	"S2_boshin_veteran_mercenary"	6
"S2_boshin_veteran_teetotal_01"	1	"S2_boshin_veteran_teetotal"	2
"S2_boshin_veteran_teetotal_02"	2	"S2_boshin_veteran_teetotal"	3
"S2_boshin_veteran_teetotal_03"	3	"S2_boshin_veteran_teetotal"	6
"S2_boshin_wife_ambition_1"	1	"S2_boshin_wife_ambition"	1
"S2_boshin_wife_beauty_1"	1	"S2_boshin_wife_beauty"	1
"S2_boshin_wife_cunning_1"	1	"S2_boshin_wife_cunning"	1
"S2_boshin_wife_diplomatic_1"	1	"S2_boshin_wife_diplomatic"	1
"S2_boshin_wife_fertile_1"	1	"S2_boshin_wife_fertile"	1
"S2_boshin_wife_fertile_2"	2	"S2_boshin_wife_fertile"	3
"S2_boshin_wife_fiscal_prudence_1"	1	"S2_boshin_wife_fiscal_prudence"	1
"S2_boshin_wife_loyal_1"	1	"S2_boshin_wife_loyal"	1
"S2_boshin_wife_moneylover_1"	1	"S2_boshin_wife_moneylover"	1
"S2_boshin_wife_shrewish_1"	1	"S2_boshin_wife_shrewish"	1
"S2_boshin_wife_shrewish_2"	2	"S2_boshin_wife_shrewish"	3
"S2_trait_all_blokes_maimed_1"	1	"S2_trait_all_blokes_maimed"	1
"S2_trait_all_blokes_maimed_2"	2	"S2_trait_all_blokes_maimed"	3
"S2_trait_all_blokes_noodles_1"	1	"S2_trait_all_blokes_noodles"	1
"S2_trait_all_blokes_noodles_2"	2	"S2_trait_all_blokes_noodles"	3
"S2_trait_all_blokes_noodles_3"	3	"S2_trait_all_blokes_noodles"	5
"S2_trait_all_blokes_womaniser_1"	1	"S2_trait_all_blokes_womaniser"	1
"S2_trait_all_blokes_womaniser_2"	2	"S2_trait_all_blokes_womaniser"	3
"S2_trait_all_blokes_womaniser_3"	3	"S2_trait_all_blokes_womaniser"	6
"S2_trait_daimyo_cruel_1"	1	"S2_trait_daimyo_cruel"	1
"S2_trait_daimyo_cruel_2"	2	"S2_trait_daimyo_cruel"	3
"S2_trait_daimyo_cruel_3"	3	"S2_trait_daimyo_cruel"	6
"S2_trait_daimyo_foreign_tastes_1"	1	"S2_trait_daimyo_foreign_tastes"	1
"S2_trait_daimyo_foreign_tastes_2"	2	"S2_trait_daimyo_foreign_tastes"	3
"S2_trait_daimyo_foreign_tastes_3"	3	"S2_trait_daimyo_foreign_tastes"	6
"S2_trait_daimyo_paranoia_1"	1	"S2_trait_daimyo_paranoia"	1
"S2_trait_daimyo_paranoia_2"	2	"S2_trait_daimyo_paranoia"	3
"S2_trait_daimyo_paranoia_3"	3	"S2_trait_daimyo_paranoia"	6
"S2_trait_daimyo_peace_1"	1	"S2_trait_daimyo_peace"	1
"S2_trait_daimyo_peace_2"	2	"S2_trait_daimyo_peace"	3
"S2_trait_daimyo_peace_3"	3	"S2_trait_daimyo_peace"	6
"S2_trait_daimyo_protected_1"	1	"S2_trait_daimyo_protected"	1
"S2_trait_daimyo_protected_2"	2	"S2_trait_daimyo_protected"	3
"S2_trait_daimyo_protected_3"	3	"S2_trait_daimyo_protected"	6
"S2_trait_daimyo_summer_son_1"	1	"S2_trait_daimyo_summer_son"	1
"S2_trait_daimyo_uncouth_1"	1	"S2_trait_daimyo_uncouth"	1
"S2_trait_daimyo_uncouth_2"	2	"S2_trait_daimyo_uncouth"	3
"S2_trait_daimyo_uncouth_3"	3	"S2_trait_daimyo_uncouth"	6
"S2_trait_daimyo_unjust_1"	1	"S2_trait_daimyo_unjust"	1
"S2_trait_daimyo_unjust_2"	2	"S2_trait_daimyo_unjust"	3
"S2_trait_daimyo_unjust_3"	3	"S2_trait_daimyo_unjust"	6
"S2_trait_geisha_maimed_1"	1	"S2_trait_geisha_maimed"	1
"S2_trait_geisha_maimed_2"	2	"S2_trait_geisha_maimed"	3
"S2_trait_gempei_daimyo_summer_son_1"	1	"S2_trait_daimyo_summer_son"	1
"S2_trait_general_ambition_1"	1	"S2_trait_general_ambition"	1
"S2_trait_general_ambition_2"	2	"S2_trait_general_ambition"	3
"S2_trait_general_ambition_3"	3	"S2_trait_general_ambition"	6
"S2_trait_general_bloodthirsty_1"	1	"S2_trait_general_bloodthirsty"	1
"S2_trait_general_bloodthirsty_2"	2	"S2_trait_general_bloodthirsty"	3
"S2_trait_general_bloodthirsty_3"	3	"S2_trait_general_bloodthirsty"	5
"S2_trait_general_brave_1"	1	"S2_trait_general_brave"	2
"S2_trait_general_brave_2"	2	"S2_trait_general_brave"	4
"S2_trait_general_brave_3"	3	"S2_trait_general_brave"	7
"S2_trait_general_coward_1"	1	"S2_trait_general_coward"	2
"S2_trait_general_coward_2"	2	"S2_trait_general_coward"	4
"S2_trait_general_coward_3"	3	"S2_trait_general_coward"	7
"S2_trait_general_drunkard_1"	1	"S2_trait_general_drunkard"	20
"S2_trait_general_drunkard_2"	2	"S2_trait_general_drunkard"	25
"S2_trait_general_drunkard_3"	3	"S2_trait_general_drunkard"	30
"S2_trait_general_drunkard_4"	4	"S2_trait_general_drunkard"	35
"S2_trait_general_drunkard_5"	5	"S2_trait_general_drunkard"	40
"S2_trait_general_ikko_fanatic_1"	1	"S2_trait_general_ikko_fanatic"	2
"S2_trait_general_ikko_fanatic_2"	2	"S2_trait_general_ikko_fanatic"	4
"S2_trait_general_ikko_fanatic_3"	3	"S2_trait_general_ikko_fanatic"	7
"S2_trait_general_ikko_looter_1"	1	"S2_trait_general_ikko_looter"	2
"S2_trait_general_ikko_looter_2"	2	"S2_trait_general_ikko_looter"	4
"S2_trait_general_ikko_looter_3"	3	"S2_trait_general_ikko_looter"	7
"S2_trait_general_loyal_1"	1	"S2_trait_general_loyal"	3
"S2_trait_general_loyal_2"	2	"S2_trait_general_loyal"	6
"S2_trait_general_loyal_3"	3	"S2_trait_general_loyal"	9
"S2_trait_general_mad_1"	1	"S2_trait_general_mad"	2
"S2_trait_general_mad_2"	2	"S2_trait_general_mad"	4
"S2_trait_general_mad_3"	3	"S2_trait_general_mad"	6
"S2_trait_general_mad_grief_1"	1	"S2_trait_general_mad_grief"	2
"S2_trait_general_mad_grief_2"	2	"S2_trait_general_mad_grief"	4
"S2_trait_general_mad_grief_3"	3	"S2_trait_general_mad_grief"	6
"S2_trait_general_nocturnal_1"	1	"S2_trait_general_nocturnal"	1
"S2_trait_general_paranoia_1"	1	"S2_trait_general_paranoia"	1
"S2_trait_general_paranoia_2"	2	"S2_trait_general_paranoia"	3
"S2_trait_general_paranoia_3"	3	"S2_trait_general_paranoia"	6
"S2_trait_general_plunder_1"	1	"S2_trait_general_plunder"	2
"S2_trait_general_plunder_2"	2	"S2_trait_general_plunder"	4
"S2_trait_general_plunder_3"	3	"S2_trait_general_plunder"	6
"S2_trait_general_protected_1"	1	"S2_trait_general_protected"	1
"S2_trait_general_protected_2"	2	"S2_trait_general_protected"	3
"S2_trait_general_protected_3"	3	"S2_trait_general_protected"	6
"S2_trait_general_seasick_1"	1	"S2_trait_general_seasick"	1
"S2_trait_general_seasick_2"	2	"S2_trait_general_seasick"	3
"S2_trait_general_seasick_3"	3	"S2_trait_general_seasick"	6
"S2_trait_metsuke_corrupt_1"	1	"S2_trait_metsuke_corrupt"	1
"S2_trait_metsuke_corrupt_2"	2	"S2_trait_metsuke_corrupt"	3
"S2_trait_metsuke_corrupt_3"	3	"S2_trait_metsuke_corrupt"	6
"S2_trait_metsuke_cruel_1"	1	"S2_trait_metsuke_cruel"	1
"S2_trait_metsuke_cruel_2"	2	"S2_trait_metsuke_cruel"	3
"S2_trait_metsuke_cruel_3"	3	"S2_trait_metsuke_cruel"	6
"S2_trait_metsuke_drunkard_1"	1	"S2_trait_metsuke_drunkard"	30
"S2_trait_metsuke_drunkard_2"	2	"S2_trait_metsuke_drunkard"	35
"S2_trait_metsuke_drunkard_3"	3	"S2_trait_metsuke_drunkard"	40
"S2_trait_metsuke_paranoia_1"	1	"S2_trait_metsuke_paranoia"	1
"S2_trait_metsuke_paranoia_2"	2	"S2_trait_metsuke_paranoia"	2
"S2_trait_metsuke_paranoia_3"	3	"S2_trait_metsuke_paranoia"	4
"S2_trait_missionary_corrupt_1"	1	"S2_trait_missionary_corrupt"	1
"S2_trait_missionary_corrupt_2"	2	"S2_trait_missionary_corrupt"	3
"S2_trait_missionary_corrupt_3"	3	"S2_trait_missionary_corrupt"	7
"S2_trait_missionary_drunkard_1"	1	"S2_trait_missionary_drunkard"	30
"S2_trait_missionary_drunkard_2"	2	"S2_trait_missionary_drunkard"	35
"S2_trait_missionary_drunkard_3"	3	"S2_trait_missionary_drunkard"	40
"S2_trait_missionary_jaded_1"	1	"S2_trait_missionary_jaded"	1
"S2_trait_missionary_jaded_2"	2	"S2_trait_missionary_jaded"	3
"S2_trait_missionary_jaded_3"	3	"S2_trait_missionary_jaded"	6
"S2_trait_monk_drunkard_1"	1	"S2_trait_monk_drunkard"	30
"S2_trait_monk_drunkard_2"	2	"S2_trait_monk_drunkard"	35
"S2_trait_monk_drunkard_3"	3	"S2_trait_monk_drunkard"	40
"S2_trait_monk_fighter_1"	1	"S2_trait_monk_fighter"	1
"S2_trait_monk_fighter_2"	2	"S2_trait_monk_fighter"	3
"S2_trait_monk_fighter_3"	3	"S2_trait_monk_fighter"	6
"S2_trait_monk_unworldly_1"	1	"S2_trait_monk_unworldly"	1
"S2_trait_monk_unworldly_2"	2	"S2_trait_monk_unworldly"	3
"S2_trait_monk_unworldly_3"	3	"S2_trait_monk_unworldly"	6
"S2_trait_ninja_drunkard_1"	1	"S2_trait_ninja_drunkard"	30
"S2_trait_ninja_drunkard_2"	2	"S2_trait_ninja_drunkard"	35
"S2_trait_ninja_drunkard_3"	3	"S2_trait_ninja_drunkard"	40
"S2_trait_ninja_enjoys_it_1"	1	"S2_trait_ninja_enjoys_it"	1
"S2_trait_ninja_enjoys_it_2"	2	"S2_trait_ninja_enjoys_it"	5
"S2_trait_ninja_enjoys_it_3"	3	"S2_trait_ninja_enjoys_it"	8
"S2_trait_wife_ambition_1"	1	"S2_trait_wife_ambition"	1
"S2_trait_wife_beauty_1"	1	"S2_trait_wife_beauty"	1
"S2_trait_wife_cunning_1"	1	"S2_trait_wife_cunning"	1
"S2_trait_wife_diplomatic_1"	1	"S2_trait_wife_diplomatic"	1
"S2_trait_wife_fertile_1"	1	"S2_trait_wife_fertile"	1
"S2_trait_wife_fertile_2"	2	"S2_trait_wife_fertile"	3
"S2_trait_wife_fiscal_prudence_1"	1	"S2_trait_wife_fiscal_prudence"	1
"S2_trait_wife_loyal_1"	1	"S2_trait_wife_loyal"	1
"S2_trait_wife_moneylover_1"	1	"S2_trait_wife_moneylover"	1
"S2_trait_wife_shrewish_1"	1	"S2_trait_wife_shrewish"	1
"S2_trait_wife_shrewish_2"	2	"S2_trait_wife_shrewish"	3
