version 1

// STAND --------------------------------------------------------------------------------------------------------------------------------
STAND								filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Stand.anim",							blend_in_time = 0.25
STAND_TRAINED_IDLE_1				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt2.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_1				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt3.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_1				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle1_Alt4.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_2				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2.anim",							blend_in_time = 0.25
STAND_TRAINED_IDLE_2				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt1.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_2				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt2.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_2				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt3.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_2				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle2_Alt4.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_3				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3.anim",							blend_in_time = 0.25
STAND_TRAINED_IDLE_3				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt1.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_3				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt2.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_3				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt3.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_3				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle3_Alt4.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_4				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4.anim",							blend_in_time = 0.25
STAND_TRAINED_IDLE_4				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt1.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_4				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt2.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_4				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt3.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_4				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle4_Alt4.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_5				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5.anim",							blend_in_time = 0.25
STAND_TRAINED_IDLE_5				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt1.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_5				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt2.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_5				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt3.anim",					blend_in_time = 0.25
STAND_TRAINED_IDLE_5				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Idle5_Alt4.anim",					blend_in_time = 0.25

COMBAT_READY						filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard.anim",							blend_in_time = 0.5

// COMBAT READY IDLES ---------------------------------------------------------------------------------------------------------------------------------

COMBAT_IDLE_1						filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_feint1.anim",						blend_in_time = 0.25
COMBAT_IDLE_2						filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_feint2.anim",						blend_in_time = 0.25
COMBAT_IDLE_3						filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_feint3.anim",						blend_in_time = 0.25
COMBAT_IDLE_4						filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_feint4.anim",						blend_in_time = 0.25
COMBAT_IDLE_5						filename = "Animations/MEN/AXE/AXE_Outside_Guard/AXE_Oguard_Idle1.anim",						blend_in_time = 0.25
COMBAT_IDLE_6						filename = "Animations/MEN/AXE/AXE_Outside_Guard/AXE_Oguard_Idle2.anim",						blend_in_time = 0.25
COMBAT_IDLE_7						filename = "Animations/MEN/AXE/AXE_Outside_Guard/AXE_Oguard_Idle3.anim",						blend_in_time = 0.25
COMBAT_IDLE_8						filename = "Animations/MEN/AXE/AXE_Outside_Guard/AXE_Oguard_Idle4.anim",						blend_in_time = 0.25
COMBAT_IDLE_9						filename = "Animations/MEN/AXE/AXE_Outside_Guard/AXE_Oguard_Idle5.anim",						blend_in_time = 0.25
COMBAT_IDLE_10						filename = "Animations/MEN/AXE/AXE_Outside_Guard/AXE_Oguard_Idle6.anim",						blend_in_time = 0.25

// STAND ALT IDLES ---------------------------------------------------------------------------------------------------------
STAND_ALT_1							filename = "Animations/MEN/AXE/AXE_altstand1/AXE_altstand1.anim",
STAND_ALT_1_IDLE_1					filename = "Animations/MEN/AXE/AXE_altstand1/AXE_altstand1_idle_1.anim",					blend_in_time = 0.25
STAND_ALT_1_IDLE_2					filename = "Animations/MEN/AXE/AXE_altstand1/AXE_altstand1_idle_2.anim",					blend_in_time = 0.25
STAND_ALT_1_IDLE_3					filename = "Animations/MEN/AXE/AXE_altstand1/AXE_altstand1_idle_3.anim",					blend_in_time = 0.25
STAND_ALT_1_IDLE_4					filename = "Animations/MEN/AXE/AXE_altstand1/AXE_altstand1_idle_4.anim",					blend_in_time = 0.25
STAND_ALT_1_IDLE_5					filename = "Animations/MEN/AXE/AXE_altstand1/AXE_altstand1_idle_5.anim",					blend_in_time = 0.25

STAND_ALT_2							filename = "Animations/MEN/AXE/AXE_altstand2/AXE_altstand2.anim",
STAND_ALT_2_IDLE_1					filename = "Animations/MEN/AXE/AXE_altstand2/AXE_altstand2_idle_1.anim",					blend_in_time = 0.25
STAND_ALT_2_IDLE_2					filename = "Animations/MEN/AXE/AXE_altstand2/AXE_altstand2_idle_2.anim",					blend_in_time = 0.25
STAND_ALT_2_IDLE_3					filename = "Animations/MEN/AXE/AXE_altstand2/AXE_altstand2_idle_3.anim",					blend_in_time = 0.25
STAND_ALT_2_IDLE_4					filename = "Animations/MEN/AXE/AXE_altstand2/AXE_altstand2_idle_4.anim",					blend_in_time = 0.25
STAND_ALT_2_IDLE_5					filename = "Animations/MEN/AXE/AXE_altstand2/AXE_altstand2_idle_5.anim",					blend_in_time = 0.25

STAND_ALT_3							filename = "Animations/MEN/AXE/AXE_altstand3/AXE_altstand3.anim",
STAND_ALT_3_IDLE_1					filename = "Animations/MEN/AXE/AXE_altstand3/AXE_altstand3_idle_1.anim",					blend_in_time = 0.25
STAND_ALT_3_IDLE_2					filename = "Animations/MEN/AXE/AXE_altstand3/AXE_altstand3_idle_2.anim",					blend_in_time = 0.25
STAND_ALT_3_IDLE_3					filename = "Animations/MEN/AXE/AXE_altstand3/AXE_altstand3_idle_3.anim",					blend_in_time = 0.25
STAND_ALT_3_IDLE_4					filename = "Animations/MEN/AXE/AXE_altstand3/AXE_altstand3_idle_4.anim",					blend_in_time = 0.25
STAND_ALT_3_IDLE_5					filename = "Animations/MEN/AXE/AXE_altstand3/AXE_altstand3_idle_5.anim",					blend_in_time = 0.25

// MOVEMENT -----------------------------------------------------------------------------------------------------------------------------
WALK_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100.anim",						blend_in_time = 0.5
WALK_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt1.anim",					blend_in_time = 0.5
WALK_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt2.anim",					blend_in_time = 0.5
WALK_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt3.anim",					blend_in_time = 0.5
WALK_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt4.anim",					blend_in_time = 0.5
WALK_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm.anim",						blend_in_time = 0.5
WALK_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt1.anim",					blend_in_time = 0.5
WALK_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt2.anim",					blend_in_time = 0.5
WALK_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt3.anim",					blend_in_time = 0.5
WALK_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt4.anim",					blend_in_time = 0.5
WALK_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm.anim",						blend_in_time = 0.5
WALK_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt1.anim",					blend_in_time = 0.5
WALK_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt2.anim",					blend_in_time = 0.5
WALK_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt3.anim",					blend_in_time = 0.5
WALK_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt4.anim",					blend_in_time = 0.5
WALK_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm.anim",						blend_in_time = 0.5
WALK_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt1.anim",					blend_in_time = 0.5
WALK_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt2.anim",					blend_in_time = 0.5
WALK_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt3.anim",					blend_in_time = 0.5
WALK_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt4.anim",					blend_in_time = 0.5
WALK_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm.anim",						blend_in_time = 0.5
WALK_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt1.anim",					blend_in_time = 0.5
WALK_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt2.anim",					blend_in_time = 0.5
WALK_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt3.anim",					blend_in_time = 0.5
WALK_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt4.anim",					blend_in_time = 0.5

WALK_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100.anim",						blend_in_time = 0.5
WALK_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt1.anim",					blend_in_time = 0.5
WALK_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt2.anim",					blend_in_time = 0.5
WALK_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt3.anim",					blend_in_time = 0.5
WALK_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_100_Alt4.anim",					blend_in_time = 0.5
WALK_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm.anim",						blend_in_time = 0.5
WALK_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt1.anim",					blend_in_time = 0.5
WALK_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt2.anim",					blend_in_time = 0.5
WALK_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt3.anim",					blend_in_time = 0.5
WALK_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_127cm_Alt4.anim",					blend_in_time = 0.5
WALK_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm.anim",						blend_in_time = 0.5
WALK_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt1.anim",					blend_in_time = 0.5
WALK_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt2.anim",					blend_in_time = 0.5
WALK_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt3.anim",					blend_in_time = 0.5
WALK_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Walk_173cm_Alt4.anim",					blend_in_time = 0.5
WALK_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm.anim",						blend_in_time = 0.5
WALK_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt1.anim",					blend_in_time = 0.5
WALK_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt2.anim",					blend_in_time = 0.5
WALK_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt3.anim",					blend_in_time = 0.5
WALK_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_219cm_Alt4.anim",					blend_in_time = 0.5
WALK_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm.anim",						blend_in_time = 0.5
WALK_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt1.anim",					blend_in_time = 0.5
WALK_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt2.anim",					blend_in_time = 0.5
WALK_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt3.anim",					blend_in_time = 0.5
WALK_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt4.anim",					blend_in_time = 0.5

RUN_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm.anim",						blend_in_time = 0.5
RUN_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt1.anim",					blend_in_time = 0.5
RUN_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt2.anim",					blend_in_time = 0.5
RUN_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt3.anim",					blend_in_time = 0.5
RUN_1								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt4.anim",					blend_in_time = 0.5
RUN_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm.anim",						blend_in_time = 0.5
RUN_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt1.anim",					blend_in_time = 0.5
RUN_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt2.anim",					blend_in_time = 0.5
RUN_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt3.anim",					blend_in_time = 0.5
RUN_2								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt4.anim",					blend_in_time = 0.5
RUN_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm.anim",						blend_in_time = 0.5
RUN_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt1.anim",					blend_in_time = 0.5
RUN_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt2.anim",					blend_in_time = 0.5
RUN_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt3.anim",					blend_in_time = 0.5
RUN_3								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt4.anim",					blend_in_time = 0.5
RUN_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm.anim",						blend_in_time = 0.5
RUN_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt1.anim",					blend_in_time = 0.5
RUN_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt2.anim",					blend_in_time = 0.5
RUN_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt3.anim",					blend_in_time = 0.5
RUN_4								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt4.anim",					blend_in_time = 0.5
RUN_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm.anim",					blend_in_time = 0.5
RUN_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt1.anim",				blend_in_time = 0.5
RUN_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt2.anim",				blend_in_time = 0.5
RUN_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt3.anim",				blend_in_time = 0.5
RUN_5								filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt4.anim",				blend_in_time = 0.5

RUN_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm.anim",						blend_in_time = 0.5
RUN_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt1.anim",					blend_in_time = 0.5
RUN_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt2.anim",					blend_in_time = 0.5
RUN_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt3.anim",					blend_in_time = 0.5
RUN_TRAINED_1						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Jog_313cm_Alt4.anim",					blend_in_time = 0.5
RUN_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm.anim",						blend_in_time = 0.5
RUN_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt1.anim",					blend_in_time = 0.5
RUN_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt2.anim",					blend_in_time = 0.5
RUN_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt3.anim",					blend_in_time = 0.5
RUN_TRAINED_2						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_407cm_Alt4.anim",					blend_in_time = 0.5
RUN_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm.anim",						blend_in_time = 0.5
RUN_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt1.anim",					blend_in_time = 0.5
RUN_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt2.anim",					blend_in_time = 0.5
RUN_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt3.anim",					blend_in_time = 0.5
RUN_TRAINED_3						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_456cm_Alt4.anim",					blend_in_time = 0.5
RUN_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm.anim",						blend_in_time = 0.5
RUN_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt1.anim",					blend_in_time = 0.5
RUN_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt2.anim",					blend_in_time = 0.5
RUN_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt3.anim",					blend_in_time = 0.5
RUN_TRAINED_4						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Run_543cm_Alt4.anim",					blend_in_time = 0.5
RUN_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm.anim",					blend_in_time = 0.5
RUN_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt1.anim",				blend_in_time = 0.5
RUN_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt2.anim",				blend_in_time = 0.5
RUN_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt3.anim",				blend_in_time = 0.5
RUN_TRAINED_5						filename = "Animations/MEN/AXE/Axe_IR_Locomotion/AXE_Sprint_609cm_Alt4.anim",				blend_in_time = 0.5

COMBAT_READY_ADVANCE				filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_Advance.anim",					blend_in_time = 0.25
COMBAT_READY_RETREAT				filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_Retire.anim",					blend_in_time = 0.25
COMBAT_READY_STEP_LEFT				filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_Step_left.anim",				blend_in_time = 0.25
COMBAT_READY_STEP_RIGHT				filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_Step_right.anim",				blend_in_time = 0.25

STEP_FORWARD						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_forward.anim",					blend_in_time = 0.25
STEP_BACKWARD						filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_back.anim",						blend_in_time = 0.25
STEP_LEFT							filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_left.anim",						blend_in_time = 0.25
