version 1, schema battle_script_strings_tables
Battle_Script_String_ID(string)	string(string)
"CreativeAssembly.Indian_battle_21"	"Our cannons are under attack! Defend them at all costs!"
"CreativeAssembly.Indian_battle_22"	"Shell the buildings to clear the British out!"
"CreativeAssembly.Indian_battle_23"	"The day could be ours! Take the fight to the British now and rout them from the field!"
"CreativeAssembly.Indian_battle_24"	"The British cavalry is on the move! Keep an eye on them!"
"CreativeAssembly.Indian_battle_25"	"The farm building should provide better cover for our troops!"
"CreativeAssembly.Indian_battle_3"	"Wait"
"CreativeAssembly.Indian_battle_4"	"Hold the line!"
"CreativeAssembly.Indian_battle_5"	"Watch the trees men"
"CreativeAssembly.Indian_battle_6"	"Ready…aim…fire!"
"CreativeAssembly.Indian_battle_7"	"Steady!"
"CreativeAssembly.Indian_battle_8"	"Fire!"
"CreativeAssembly.Indian_battle_9"	"Look to the right!"
"CreativeAssembly.Naval_Basic_Controls.Anchor_Advice_1"	"You can halt your ship at any time or cancel its current orders by clicking the highlighted anchor button. Try clicking it now."
"CreativeAssembly.Naval_Basic_Controls.Board_Order"	"Well done. Your ship will now automatically move into position and begin boarding the enemy."
"CreativeAssembly.Naval_Basic_Controls.Boarding_1"	"Now is an excellent time to board the enemy."
"CreativeAssembly.Naval_Basic_Controls.Boarding_2"	"You can give your ship an order to board the enemy Sloop by clicking on the highlighted Board Button, and then right clicking on the enemy Sloop. Do this now."
"CreativeAssembly.Naval_Basic_Controls.Boarding_3"	"Boarding is a useful way of trying to capture enemy ships by making them surrender. This then adds that ship to your faction once the battle is over."
"CreativeAssembly.Naval_Basic_Controls.Broadside_Clicked"	"Notice the orange ring running round the outside of the broadside buttons. This represents the number of guns on that side that are loaded and ready to fire. Hover your mouse over the Broadside Button to see exactly how many cannons are ready. This ring will build up as more cannons reload."
"CreativeAssembly.Naval_Basic_Controls.Broadsides_1"	"You can also control how your ship fires by use of the Broadside Buttons highlighted now. These buttons control the main battery of guns on the left and right side of the ship. They can be used to deliver a devastating punch to the enemy."
"CreativeAssembly.Naval_Basic_Controls.Broadsides_2"	"Try clicking either of the Broadside Buttons now."
"CreativeAssembly.Naval_Basic_Controls.Broadsides_3"	"You can click on the Broadside Button again to fire off all the ready guns on that side. This allows you more control over how your ship fires, and allows you to deal more damage to the enemy."
"CreativeAssembly.Naval_Basic_Controls.Camera_1"	"Now you must learn how to control the camera."
"CreativeAssembly.Naval_Basic_Controls.Camera_2"	"First try moving the camera forward and back by using the W key to move forward, and the S key to move back."
"CreativeAssembly.Naval_Basic_Controls.Camera_3"	"Now try moving the camera left and right by using the A key to move left and the D key to move right."
"CreativeAssembly.Naval_Basic_Controls.Camera_4"	"Try rotating the camera left and right by using the Q key to rotate the camera left, and the E key to rotate it right."
"CreativeAssembly.Naval_Basic_Controls.Camera_5"	"You can use the V key to pan the camera up, and the C key  to pan the camera down."
"CreativeAssembly.Naval_Basic_Controls.Camera_6"	"Finally try moving the camera up and down by using the X key to move it up, and the Z key to move it down."
"CreativeAssembly.Naval_Basic_Controls.Camera_7"	"Well done. You can also use the mouse to move the camera around by either moving it to the edges of the screen, or by holding down the middle mouse button whilst moving the mouse to drag the camera around."
"CreativeAssembly.Naval_Basic_Controls.Combat_1"	"As the enemy approaches you will learn how to give an attack order to your ship."
"CreativeAssembly.Naval_Basic_Controls.Combat_2"	"With your ship selected, right click on the enemy ship to give your ship an attack order."
"CreativeAssembly.Naval_Basic_Controls.Double_Click"	"You can double click on the ship card to centre the camera on that ship. Try this now."
"CreativeAssembly.Naval_Basic_Controls.Fire_At_Will_1"	"The highlighted button is the Fire at Will button, with Fire at Will turned on your ship will automatically fire on any enemy ships within range without needing an attack order."
"CreativeAssembly.Naval_Basic_Controls.Fire_At_Will_2"	"Turn it on now and your ship will fire on the enemy if they are within range and within your ships firing arc. Firing arcs are the faint triangles that project out of the sides of your ship."
"CreativeAssembly.Naval_Basic_Controls.Fire_At_Will_3"	"Your ship will now automatically fire on the enemy once they are within range."
"CreativeAssembly.Naval_Basic_Controls.First_Combat"	"Your ship will now sail into range and open fire of the enemy. Your experienced crew will soon make short work of them."
"CreativeAssembly.Naval_Basic_Controls.First_Enemy_Approaching"	"Look sir, one of the enemy sloops is approaching us."
"CreativeAssembly.Naval_Basic_Controls.First_Enemy_Sunk"	"Well done sir, this enemy Sloop has been sunk."
"CreativeAssembly.Naval_Basic_Controls.Health_Bars_1"	"The circular flag above your ship is its icon. The green bars at the bottom represent the strength of the hull on each side of your ship, and the white bar at the top represents the amount of damage your sails and masts have taken."
"CreativeAssembly.Naval_Basic_Controls.Health_Bars_2"	"As your ship takes hits throughout a battle these bars will go down and change colour to represent the fact your ship is taking damage."
"CreativeAssembly.Naval_Basic_Controls.HUD_1"	"The HUD, or heads up display, has now been revealed. You will be taught about the HUD and buttons over the course of this tutorial."
"CreativeAssembly.Naval_Basic_Controls.Movement_1"	"Now you will learn how to move your ship."
"CreativeAssembly.Naval_Basic_Controls.Movement_1_Info"	"With your ship selected, right click at the base of the marker shown to have your ship move there."
"CreativeAssembly.Naval_Basic_Controls.Movement_1_Move"	"Your ship will now move to the first marker."
"CreativeAssembly.Naval_Basic_Controls.Movement_1_Resume"	"Now have your ship resume its movement to the first marker."
"CreativeAssembly.Naval_Basic_Controls.Movement_2_Info"	"Now try double clicking at the base of the next marker to have your ship move there at its fastest speed."
"CreativeAssembly.Naval_Basic_Controls.Movement_2_Move"	"Double clicking to have your ship move will always make it move at its fastest speed."
"CreativeAssembly.Naval_Basic_Controls.Player_Ship"	"Your ship is nearby, and ready for you to learn how to control it."
"CreativeAssembly.Naval_Basic_Controls.Player_Ship_Card"	"The new flashing icon is the ship card for your ship. Left click the ship card now to select it."
"CreativeAssembly.Naval_Basic_Controls.Review_Panel"	"The flashing part of the HUD is the review panel. This is where the ship cards for the ships in your navy will be displayed."
"CreativeAssembly.Naval_Basic_Controls.Rotate"	"You can use the highlighted buttons to rotate your ship and help keep the enemy within your broadsides when moving your ship around manually."
"CreativeAssembly.Naval_Basic_Controls.Second_Enemy_Approaching"	"The second enemy sloop is now approaching us, and you must be ready to receive it."
"CreativeAssembly.Naval_Basic_Controls.Second_Enemy_Combat"	"Use all the ways to control your ship in combat to fight the last enemy ship. Remember, you can give your ship an attack order and control how its broadsides fire at the same time if you want to."
"CreativeAssembly.Naval_Basic_Controls.Second_Enemy_Demasted"	"A lucky shot has demasted the enemy Sloop, and its crew are bringing it to a halt."
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_1"	"Now whilst your ship moves into range and engages the enemy you will learn about the different shot types your ship can use."
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_2"	"The currently selected shot type for your ship and the default is Round Shot. This shot type is effective against the enemy’s hull and taking out their guns."
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_3"	"The highlighted type is Chain Shot. This shot type will hit the enemy’s masts and can be used to cripple an enemy’s movement."
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_4"	"The final shot type now highlighted is Grape Shot. This is a close range shot type that is devastating against the enemy’s crew."
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_5"	"You have now learnt about the various shot types, experiment with them now if you want but your aim is to sink this enemy ship."
"CreativeAssembly.Naval_Basic_Controls.Tutorial_Complete_1"	"The enemy sloop has surrendered, well done sir!"
"CreativeAssembly.Naval_Basic_Controls.Tutorial_Complete_2"	"This brings the Naval tutorial to an end."
"CreativeAssembly.Naval_Basic_Controls.Tutorial_Complete_3"	"In this tutorial you learnt how to control the camera, how to move your ship, how to attack, how to board and how to control your ship in combat. You also learned the basics of the HUD."
"CreativeAssembly.Naval_Basic_Controls.Welcome_1"	"Welcome to the Naval Battle Basic Controls tutorial. My name is Admiral Green, and I am your naval battle advisor."
"CreativeAssembly.Naval_Basic_Controls.Welcome_2"	"We have had reports of French ships raiding in the Caribbean and your ship has been dispatched to deal with them."
"CreativeAssembly.Naval_Basic_Controls.Welcome_3"	"In this tutorial you will learn about the HUD, camera controls, ship movement and combat."
"CreativeAssembly.Naval_Basic_Controls.Welcome_4"	"For now please click the End Deployment button to begin the tutorial."
"CreativeAssembly.Naval_General_Tutorial_Messages.Good"	"Good."
