version 4, schema incidents_tables, guid ca4c01f4-94c1-4966-9bdc-7e4d58e19a60
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(boolean)
false	"c_bos_koyosha_modern_SECOND_criminal_contacts"	"bos_message_character_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_koyosha_modern_SECOND_peer_respect"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_koyosha_modern_SECOND_samurai_satisfaction"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_koyosha_western_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_koyosha_western_FIRST_peer_respect"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_koyosha_western_FIRST_rebellion"	"bos_message_rebellion_negative_active.tga"	"bos_army_battle.TGA"	false
false	"c_bos_koyosha_western_FIRST_samurai_discontent"	"bos_message_rebellion_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_koyosha_western_SECOND_criminal_contacts"	"bos_message_character_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_koyosha_western_SECOND_peer_respect"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_koyosha_western_SECOND_samurai_satisfaction"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_nanban_slavers_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_nanban_slavers_FIRST_peer_contempt"	"bos_message_diplomacy_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_nanban_slavers_SECOND_chinese_gratitude"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_nanban_slavers_SECOND_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_nanban_slavers_SECOND_inspired_endeavours"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_nanban_slavers_SECOND_peer_respect"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_rangaku_FIRST_breakthrough_civil_eng"	"bos_message_construction_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_rangaku_FIRST_breakthrough_industrial_sci"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_rangaku_FIRST_breakthrough_medical_sci"	"bos_message_resources_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_rangaku_FIRST_breakthrough_military_eng"	"bos_message_bombard_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_rangaku_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_rangaku_FIRST_peer_contempt"	"bos_message_diplomacy_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_rangaku_FIRST_samurai_discontent"	"bos_message_rebellion_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_rangaku_SECOND_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_rangaku_SECOND_peer_respect"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_rangaku_SECOND_samurai_satisfaction"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_ronin_SECOND_ronin_marauders"	"bos_message_rebellion_negative_active.tga"	"bos_army_victory.tga"	false
false	"c_bos_sakai_incident_FIRST_anti_western_riots"	"bos_message_rebellion_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_sakai_incident_FIRST_disaffected_populace"	"bos_message_modernisation_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_sakai_incident_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_sakai_incident_FIRST_french_reconcilliation"	"bos_message_diplomacy_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_sakai_incident_FIRST_grant_french_marines"	"bos_message_army_positive_active.tga"	"bos_army.tga"	false
false	"c_bos_sakai_incident_SECOND_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_sakai_incident_SECOND_inspired_endeavours"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_sensosai_FIRST_inspired_endeavours"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_shogun_province_security_FIRST_grant_shinsengumi"	"bos_message_shinsengumi_positive_active.tga"	"bos_shogun.TGA"	false
false	"c_bos_shogun_province_security_FIRST_grateful_populace"	"bos_message_modernisation_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_shogun_province_security_FIRST_iron_fist"	"bos_message_conflict_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_shogun_province_security_SECOND_imperial_propaganda"	"bos_message_allegiance_imperial_negative_active.tga"	"bos_emperor.tga"	false
false	"c_bos_shogun_province_security_SECOND_rebellion"	"bos_message_rebellion_negative_active.tga"	"bos_army_battle.TGA"	false
false	"c_bos_shogun_shinsengumi_FIRST_grant_shinsengumi"	"bos_message_shinsengumi_positive_active.tga"	"bos_shogun.TGA"	false
false	"c_bos_student_exchange_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_student_exchange_FIRST_grant_french_marines"	"bos_message_army_positive_active.tga"	"bos_army.tga"	false
false	"c_bos_student_exchange_FIRST_grant_royal_marines"	"bos_message_army_positive_active.tga"	"bos_army.tga"	false
false	"c_bos_student_exchange_FIRST_grant_us_marines"	"bos_message_army_positive_active.tga"	"bos_army.tga"	false
false	"c_bos_sword_abolishment_FIRST_brigandry"	"bos_message_rebellion_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_sword_abolishment_FIRST_call_to_arms"	"bos_message_army_positive_active.tga"	"bos_army.tga"	false
false	"c_bos_sword_abolishment_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_sword_abolishment_FIRST_grateful_populace"	"bos_message_modernisation_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_sword_abolishment_FIRST_samurai_discontent"	"bos_message_rebellion_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_sword_abolishment_SECOND_disaffected_populace"	"bos_message_modernisation_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_sword_abolishment_SECOND_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_sword_abolishment_SECOND_samurai_satisfaction"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_western_exploitation_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_western_exploitation_FIRST_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_westerners_attacked_FIRST_anti_western_riots"	"bos_message_rebellion_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_westerners_attacked_FIRST_disaffected_populace"	"bos_message_modernisation_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_westerners_attacked_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_westerners_attacked_SECOND_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_westerners_attacked_SECOND_grateful_populace"	"bos_message_modernisation_positive_active.tga"	"bos_generic.TGA"	false
false	"c_conflict_beliefs_buddhist_FIRST_old_ways"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_conflict_beliefs_buddhist_FIRST_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_conflict_beliefs_buddhist_SECOND_nanban_ambassador"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_conflict_beliefs_christian_FIRST_nanban_ambassador"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_conflict_beliefs_christian_FIRST_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_conflict_beliefs_christian_SECOND_old_ways"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_desecration_FIRST_nanban_ire"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_desecration_FIRST_old_ways"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_desecration_SECOND_anti_nanban_riots"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_desecration_SECOND_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_disgruntled_vassal_SECOND_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_disloyalty_FIRST_dread_lord"	"message_dilemmas_active.tga"	"Dilemma_Military_Crackdown.tga"	false
false	"c_disloyalty_FIRST_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_disloyalty_SECOND_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_francis_xavier_FIRST_nanban_ire"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_francis_xavier_SECOND_anti_nanban_riots"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_francis_xavier_SECOND_nanban_ambassador"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_gaijin_trouble_FIRST_anti_nanban_riots"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_gaijin_trouble_FIRST_nanban_ambassador"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_gaijin_trouble_SECOND_inspired_endeavours"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_gem_eiga_monogatari_FIRST_fujiwara_influence"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_eiga_monogatari_FIRST_spawn_shirabyoshi"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_gem_eiga_monogatari_fujiwara_FIRST_fujiwara_influence"	"message_dilemmas_active.tga"	"GEM_Convert_Province.tga"	false
false	"c_gem_eiga_monogatari_fujiwara_FIRST_spawn_shirabyoshi"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_gem_enryakuji_FIRST_money"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_enryakuji_FIRST_monks"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_enryakuji_FIRST_refuse"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_enryakuji_SECOND_rebellion"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_enryakuji_SECOND_rival_monks"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_family_dues_FIRST_spawn_dancer"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_gem_heiji_monogatari_minamoto_FIRST_minamoto_influence"	"message_dilemmas_active.tga"	"GEM_Convert_Province.tga"	false
false	"c_gem_heiji_monogatari_minamoto_FIRST_nothing"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_heiji_monogatari_minamoto_FIRST_taira_influence"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_heiji_monogatari_taira_FIRST_minamoto_influence"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_heiji_monogatari_taira_FIRST_nothing"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_heiji_monogatari_taira_FIRST_taira_influence"	"message_dilemmas_active.tga"	"GEM_Convert_Province.tga"	false
false	"c_gem_justice_FIRST_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_gem_kofukuji_FIRST_money"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_kofukuji_FIRST_monks"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_kofukuji_FIRST_refuse"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_kofukuji_SECOND_rebellion"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_migrant_workers_FIRST_agrarian_toil"	"message_dilemmas_active.tga"	"Dilemma_Agriculture.tga"	false
false	"c_gem_migrant_workers_FIRST_lackluster_efforts"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_migrant_workers_FIRST_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_gem_migrant_workers_FIRST_unwanted_fujiwara"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_migrant_workers_FIRST_unwanted_minamoto"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_migrant_workers_FIRST_unwanted_taira"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_gem_migrant_workers_SECOND_brigandry"	"message_dilemmas_active.tga"	"Dilemma_Ronin.tga"	false
false	"c_gem_migrant_workers_SECOND_inspired_endeavours"	"message_dilemmas_active.tga"	"Dilemma_Construction.tga"	false
false	"c_gem_miidera_FIRST_money"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_miidera_FIRST_monks"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_miidera_FIRST_refuse"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_miidera_SECOND_rebellion"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_miidera_SECOND_rival_monks"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_todaiji_FIRST_money"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_todaiji_FIRST_monks"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_todaiji_FIRST_refuse"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_todaiji_SECOND_rebellion"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	false
false	"c_gem_warrior_tax_FIRST_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_gem_warrior_tax_FIRST_spawn_unit"	"message_dilemmas_active.tga"	"Dilemma_Samurai.tga"	false
false	"c_gem_warrior_tax_SECOND_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_gem_warrior_tax_SECOND_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_gem_young_thief_FIRST_brigandry_global"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_gem_young_thief_FIRST_spawn_spy"	"message_dilemmas_active.tga"	"Dilemma_Commoner_Daimyo.tga"	false
false	"c_gem_young_thief_SECOND_iron_fist"	"message_dilemmas_active.tga"	"Dilemma_Military_Crackdown.tga"	false
false	"c_heralding_spring_FIRST_grateful_populace"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_heralding_spring_SECOND_disaffected_populace"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_imperial_new_year_SECOND_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_intoxication_FIRST_provincial_discord"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_intoxication_SECOND_lackluster_efforts"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_jizamurai_FIRST_vigilance"	"message_dilemmas_active.tga"	"Dilemma_Lookout.tga"	false
false	"c_jizamurai_SECOND_war_fervour"	"message_dilemmas_active.tga"	"Dilemma_Samurai.tga"	false
false	"c_land_dispute_FIRST_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_land_dispute_SECOND_rebellion"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_martial_priorities_FIRST_call_to_arms"	"message_dilemmas_active.tga"	"Dilemma_Ashigaru.tga"	false
false	"c_martial_priorities_SECOND_vigilance"	"message_dilemmas_active.tga"	"Dilemma_Lookout.tga"	false
false	"c_merchant_accession_FIRST_disaffected_populace"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_merchant_accession_SECOND_merchant_discontent"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_meritorious_action_SECOND_loyalty"	"message_dilemmas_active.tga"	"Dilemma_Samurai_Daimyo.tga"	false
false	"c_meritorious_action_SECOND_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_monopoly_FIRST_disaffected_populace"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_monopoly_SECOND_merchant_discontent"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_omen_fire_fire"	"message_dilemmas_active.tga"	"Disaster_Fire.tga"	false
false	"c_omen_fire_volcano"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
false	"c_omen_mountain_earthquake"	"message_disaster_active.tga"	"Disaster_Earthquake.tga"	false
false	"c_omen_mountain_volcano"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
false	"c_omen_ocean_stormy_seas"	"message_disaster_active.tga"	"Naval_Fleet_Destroyed.tga"	false
false	"c_omen_ocean_tsunami"	"message_disaster_active.tga"	"Disasters_Tsunami.tga"	false
false	"c_omen_wind_stormy_seas"	"message_disaster_active.tga"	"Naval_Fleet_Destroyed.tga"	false
false	"c_omen_wind_typhoon"	"message_disaster_active.tga"	"Disasters_Taifun.tga"	false
false	"c_otomo_baptism_FIRST_anti_nanban_riots"	"message_dilemmas_active.tga"	"dilemma_revolt.tga"	false
false	"c_otomo_baptism_FIRST_money"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_otomo_baptism_FIRST_nanban_ambassador"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_otomo_baptism_SECOND_grateful_populace"	"message_dilemmas_active.tga"	"Dilemma_Culture.tga"	false
false	"c_otomo_baptism_SECOND_nanban_ire"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_otomo_embassy_FIRST_nanban_ambassador"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_otomo_embassy_FIRST_nanban_ire"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_otomo_embassy_FIRST_word_of_god"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_ronin_SECOND_ronin_marauders"	"message_dilemmas_active.tga"	"Dilemma_Ronin.tga"	false
false	"c_tribute_emperor_SECOND_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_tribute_shogun_FIRST_shogunal_deputy"	"message_dilemmas_active.tga"	"Dilemma_Shogun.tga"	false
false	"c_tribute_shogun_SECOND_peer_contempt"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	false
false	"c_urban_migration_FIRST_meagre_harvest"	"message_dilemmas_active.tga"	"Dilemma_Harvest_Poor.tga"	false
false	"c_urban_migration_SECOND_merchant_discontent"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_wako_threat_FIRST_able_sailors"	"message_dilemmas_active.tga"	"Dilemma_Ship.tga"	false
false	"c_wako_threat_FIRST_lucrative_shipping"	"message_dilemmas_active.tga"	"Dilemma_Ship.tga"	false
false	"c_wako_threat_SECOND_rampant_piracy"	"message_dilemmas_active.tga"	"Dilemma_Naval_Battle.tga"	false
true	"i_agricultural_practices"	"message_food_active.tga"	"Dilemma_Agriculture.tga"	true
true	"i_ashigaru_master"	"message_army_active.tga"	"Dilemma_Ashigaru.tga"	true
true	"i_bos_earthquake"	"bos_message_bombard_negative_active.tga"	"bos_blocked.tga"	false
true	"i_bos_eejanaika"	"bos_message_generic_positive_active.tga"	"bos_generic.TGA"	false
true	"i_bos_equipment_cache"	"bos_message_conflict_positive_active.tga"	"bos_army_victory.tga"	false
true	"i_bos_great_fire"	"bos_message_bombard_negative_active.tga"	"bos_blocked.tga"	false
true	"i_bos_koyosha"	"bos_message_character_negative_active.tga"	"bos_generic.TGA"	false
false	"i_bos_mp_emperor_realm_divide"	"bos_message_allegiance_imperial_positive_active.tga"	"bos_emperor.tga"	false
false	"i_bos_mp_shogun_realm_divide"	"bos_message_allegiance_shogun_positive_active.tga"	"bos_shogun.TGA"	false
true	"i_bos_safeguard"	"bos_message_modernisation_positive_active.tga"	"bos_army.tga"	false
true	"i_bos_season_autumn"	"bos_message_seasons_active.tga"	"bos_season_autumn.TGA"	true
true	"i_bos_season_spring"	"bos_message_seasons_active.tga"	"bos_season_spring.tga"	true
false	"i_bos_season_spring_first"	"bos_message_seasons_active.tga"	"bos_season_spring.tga"	false
true	"i_bos_season_summer"	"bos_message_seasons_active.tga"	"bos_season_summer.TGA"	true
true	"i_bos_season_winter"	"bos_message_seasons_active.tga"	"bos_season_winter.TGA"	true
true	"i_christian_nanban_quarter"	"message_trade_active.tga"	"Europeans_Arrive.tga"	true
true	"i_clan_might"	"message_army_active.tga"	"Dilemma_Ashigaru.tga"	true
true	"i_dedicated_builder"	"message_construction_active.tga"	"Dilemma_Construction.tga"	true
true	"i_dedicated_seafarer_able_sailors"	"message_navy_active.tga"	"Dilemma_Ship.tga"	true
true	"i_dedicated_seafarer_master_shipwrights"	"message_navy_active.tga"	"Dilemma_Port.tga"	true
true	"i_dedicated_trader"	"message_trade_active.tga"	"Dilemma_Merchants.tga"	true
false	"i_defection"	"message_army_active.tga"	"Dilemma_Ronin.tga"	false
true	"i_dis_disease"	"message_disaster_active.tga"	"Disaster_Disease.tga"	false
true	"i_dis_drought"	"message_disaster_active.tga"	"Harvest_Poor.tga"	false
true	"i_dis_earthquake"	"message_disaster_active.tga"	"Disaster_Earthquake.tga"	false
true	"i_dis_fire"	"message_disaster_active.tga"	"Disaster_Fire.tga"	false
true	"i_dis_flood"	"message_disaster_active.tga"	"message_generic.tga"	false
true	"i_dis_meagre_harvest"	"message_disaster_active.tga"	"Harvest_Poor.tga"	false
true	"i_dis_severe_winter"	"message_disaster_active.tga"	"Naval_Fleet_Destroyed.tga"	false
false	"i_dis_stormy_seas"	"message_disaster_active.tga"	"Naval_Fleet_Destroyed.tga"	false
true	"i_dis_tsunami"	"message_disaster_active.tga"	"Disasters_Tsunami.tga"	false
true	"i_dis_typhoon"	"message_disaster_active.tga"	"Disasters_Taifun.tga"	false
false	"i_dis_volcano"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_asama"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_aso"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_bandai"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_chokai"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_fuji"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_haku"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_nasu"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_sakurajima"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_unzen"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_yake"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
true	"i_dis_volcano_zao"	"message_disaster_active.tga"	"Disaster_Volcano.tga"	false
