version 1, schema ancillary_to_effects_tables, guid 5ec487eb-ca4b-45f0-b345-bd4e73d112f7
Ancillary_IDRef(string)	Effect_IDRef(string)	Value(float)
"s2_anc_pdlc_monk_follower_miko_tea"	"agent_stealth_detection_mod"	5
"s2_anc_pdlc_monk_follower_ninja"	"escape_chance_action_mod"	5
"s2_anc_pdlc_monk_follower_ninja"	"personal_security"	-5
"s2_anc_pdlc_monk_follower_noble"	"agent_action_cost_mod"	-5
"s2_anc_pdlc_monk_follower_noble"	"tech_agent_action_cost_mod_ikko_monk"	-5
"s2_anc_pdlc_monk_follower_ronin"	"personal_security"	-10
"s2_anc_pdlc_monk_follower_yamahoshi"	"line_of_sight_mod"	25
"s2_anc_pdlc_monk_item_beads"	"agent_attribute_zeal_convert_character"	1
"s2_anc_pdlc_monk_item_bowl"	"gem_tech_agent_monk_action_cost_mod"	-10
"s2_anc_pdlc_monk_item_cup"	"agent_attribute_zeal_convert_character"	1
"s2_anc_pdlc_monk_item_flute"	"gentlemen_happiness_bonus"	1
"s2_anc_pdlc_monk_item_lotus"	"agent_attribute_zeal_convert_character"	1
"s2_anc_pdlc_monk_item_rice"	"agent_attribute_zeal_conversion"	1
"s2_anc_pdlc_monk_item_rice"	"agent_attribute_zeal_inspire_town"	1
"s2_anc_pdlc_monk_origami"	"agent_attribute_zeal_conversion"	1
"s2_anc_pdlc_monk_origami"	"agent_attribute_zeal_convert_character"	1
"s2_anc_pdlc_monk_pet_cat"	"agent_attribute_zeal_convert_character"	1
"s2_anc_pdlc_monk_pet_cricket"	"agent_attribute_zeal_convert_character"	1
"s2_anc_pdlc_monk_relic_buddha_gold"	"gem_tech_agent_monk_action_cost_mod"	-10
"s2_anc_pdlc_monk_relic_dragon"	"agent_attribute_zeal_inspire_town"	2
"s2_anc_pdlc_monk_relic_fuji_rock"	"agent_attribute_zeal_inspire_town"	2
"s2_anc_pdlc_monk_relic_heart_sutra"	"agent_attribute_zeal_conversion"	2
"s2_anc_pdlc_monk_relic_nembutsu"	"agent_attribute_zeal_conversion"	2
"s2_anc_pdlc_monk_relic_painting"	"agent_attribute_zeal_conversion"	1
"s2_anc_pdlc_monk_relic_shugendo"	"agent_attribute_zeal_demoralise_army"	1
"s2_anc_pdlc_monk_weapon_bisento"	"personal_security"	-5
"s2_anc_pdlc_monk_weapon_bo"	"personal_security"	-2
"s2_anc_pdlc_monk_weapon_dagger"	"personal_security"	-5
"s2_anc_pdlc_monk_zasu"	"agent_attribute_zeal_conversion"	2
"s2_anc_pdlc_ninja_disguise_monk"	"agent_attribute_subterfuge_assassination"	1
"s2_anc_pdlc_ninja_disguise_monk"	"escape_chance_action_mod"	5
"s2_anc_pdlc_shirabyoshi_ceremonial_drum"	"gem_agent_attribute_dancer_entertain_general"	1
"s2_anc_pdlc_shirabyoshi_ceremonial_drum"	"gem_agent_attribute_dancer_entertain_nobles"	1
"s2_anc_pdlc_shirabyoshi_ceremonial_flute"	"gem_agent_attribute_dancer_entertain_general"	1
"s2_anc_pdlc_shirabyoshi_ceremonial_flute"	"gem_agent_attribute_dancer_entertain_nobles"	1
"s2_anc_pdlc_shirabyoshi_hand_fan"	"gem_agent_attribute_dancer_seduce"	1
"s2_anc_pdlc_shirabyoshi_kimono"	"escape_chance_action_mod"	5
"s2_anc_pdlc_shirabyoshi_tachi"	"personal_security"	-5
"s2anc_ainu_servant"	"escape_chance_action_mod"	1
"s2anc_ainu_servant"	"line_of_sight_mod"	25
"s2anc_armoured_war_dog"	"general_bodyguard_attack_bonus"	1
"s2anc_army_drummer"	"general_rally_mod"	10
"s2anc_army_hero_ashigaru"	"general_ashigaru_bonus"	1
"s2anc_army_hero_horse"	"general_cavalry_bonus"	1
"s2anc_army_hero_samurai"	"general_attribute_command_land_defence"	1
"s2anc_artefact_armour_helmet"	"general_bodyguard_armour_bonus"	1
"s2anc_artefact_armour_spanish"	"general_bodyguard_armour_bonus"	1
"s2anc_artefact_banner_christian"	"general_inspire_mod"	10
"s2anc_artefact_banner_christian"	"mod_unit_morale_local"	1
"s2anc_artefact_banner_warlord"	"mod_unit_melee_local"	2
"s2anc_artefact_buddhist_beads"	"agent_attribute_zeal_convert_character"	1
"s2anc_artefact_cards"	"personal_security"	-5
"s2anc_artefact_chess"	"agent_attribute_cunning_oversee_army"	1
"s2anc_artefact_christian_gun_1"	"agent_attribute_zeal_convert_character"	1
"s2anc_artefact_christian_holy_water"	"agent_attribute_zeal_conversion"	1
"s2anc_artefact_christian_psalter"	"agent_attribute_zeal_convert_character"	1
"s2anc_artefact_christian_reliquary"	"agent_attribute_zeal_conversion"	2
"s2anc_artefact_christian_sword_1"	"personal_security"	-10
"s2anc_artefact_geisha_fan"	"agent_attribute_subterfuge_assassination"	1
"s2anc_artefact_geisha_poison"	"agent_attribute_subterfuge_assassination"	1
"s2anc_artefact_go"	"general_attribute_command_land_attack"	1
"s2anc_artefact_gun_dutch"	"general_attribute_command_land_attack"	1
"s2anc_artefact_legend_armour"	"general_attribute_command_land_siege_attack"	1
"s2anc_artefact_legend_armour"	"general_attribute_command_land_siege_defence"	1
"s2anc_artefact_legend_bokken_2"	"general_swords_bonus"	1
"s2anc_artefact_legend_bokken_3"	"general_swords_bonus"	1
"s2anc_artefact_legend_bokken"	"general_swords_bonus"	1
"s2anc_artefact_legend_cuirass"	"general_bodyguard_armour_bonus"	1
"s2anc_artefact_legend_greaves"	"general_bodyguard_armour_bonus"	1
"s2anc_artefact_legend_helmet"	"general_bodyguard_armour_bonus"	1
"s2anc_artefact_legend_katana"	"general_bodyguard_attack_bonus"	1
"s2anc_artefact_legend_kote"	"general_bodyguard_armour_bonus"	1
"s2anc_artefact_legend_mask"	"mod_unit_morale_enemy"	-1
"s2anc_artefact_legend_naginata"	"mod_unit_melee_attack_naginata_samurai"	2
"s2anc_artefact_legend_ninjato_1"	"agent_attribute_subterfuge_assassination"	1
"s2anc_artefact_legend_ninjato_2"	"agent_attribute_subterfuge_assassination"	1
"s2anc_artefact_legend_short_sword"	"agent_attribute_cunning_apprehension"	1
"s2anc_artefact_mirror_moon"	"agent_attribute_zeal_inspire_army"	1
"s2anc_artefact_mirror_moon"	"gentlemen_happiness_bonus"	-1
"s2anc_artefact_myth_sword_amateratsu"	"general_inspire_mod"	10
"s2anc_artefact_myth_sword_amateratsu"	"mod_unit_morale_enemy"	-1
"s2anc_artefact_myth_sword_moon"	"mod_unit_morale_local"	-1
"s2anc_artefact_myth_sword_spanish"	"general_bodyguard_attack_bonus"	1
"s2anc_artefact_ninja_blowpipe"	"agent_ninja_stealth_mod"	5
"s2anc_artefact_ninja_bombs"	"agent_attribute_subterfuge_assassination"	1
"s2anc_artefact_ninja_bombs"	"agent_ninja_stealth_mod"	5
"s2anc_artefact_ninja_disguise_1"	"agent_ninja_stealth_mod"	10
"s2anc_artefact_ninja_disguise_2"	"agent_ninja_stealth_mod"	10
"s2anc_artefact_ninja_disguise_3"	"agent_ninja_stealth_mod"	10
"s2anc_artefact_ninja_disguise_4"	"agent_ninja_stealth_mod"	10
"s2anc_artefact_ninja_disguise_5"	"agent_ninja_stealth_mod"	10
"s2anc_artefact_ninja_disguise_6"	"agent_ninja_stealth_mod"	10
"s2anc_artefact_ninja_shuriken"	"agent_attribute_subterfuge_assassination"	1
"s2anc_artefact_ninja_tanto"	"agent_attribute_subterfuge_assassination"	1
"s2anc_artefact_ninja_tiger_claws"	"agent_ninja_stealth_mod"	10
"s2anc_chamberlain"	"mod_unit_upkeep_all_local"	-5
"s2anc_chess_champion"	"general_attribute_command_land_attack"	1
"s2anc_chess_champion"	"general_attribute_command_land_defence"	1
"s2anc_crime_gambler"	"diplomacy_bonus_faction_leader"	10
"s2anc_crime_ronin_kabukimono"	"agent_attribute_cunning_oversee_army"	1
"s2anc_crime_ronin_kabukimono"	"agent_attribute_cunning_oversee_town"	1
"s2anc_crime_yakuza_boss"	"gentlemen_happiness_bonus"	-1
"s2anc_crime_yakuza_boss"	"repression_character"	2
"s2anc_crime_yakuza_disgraced"	"repression_character"	2
"s2anc_crime_yakuza_thug"	"agent_attribute_cunning_oversee_town"	1
"s2anc_espionage_assassin_chef_1"	"agent_action_critical_success_mod"	3
"s2anc_espionage_assassin_chef_2"	"agent_action_critical_success_mod"	5
"s2anc_espionage_chonin"	"agent_attribute_subterfuge_spying"	1
"s2anc_espionage_samurai_rude_2"	"personal_security"	-10
"s2anc_espionage_samurai_rude"	"movement_points_character"	7
"s2anc_espionage_samurai_show_off"	"agent_attribute_subterfuge_assassination"	1
"s2anc_friend_boyhood"	"personal_security"	-10
"s2anc_friend_drinker"	"mod_unit_morale_local"	-1
"s2anc_friend_drinker"	"personal_security"	-5
"s2anc_friend_mentor_figure"	"general_aura_mod"	15
"s2anc_geisha_dancer"	"agent_attribute_subterfuge_assassination"	1
"s2anc_geisha_half_pay"	"escape_chance_action_mod"	1
"s2anc_geisha_hot_springs"	"agent_action_success_mod"	1
"s2anc_geisha_waitress"	"agent_attribute_subterfuge_assassination"	1
"s2anc_general_galloper"	"general_cavalry_bonus"	1
"s2anc_general_surgeon"	"mod_unit_replenishment_all_local"	5
"s2anc_general_taiko_drummer"	"general_rally_mod"	20
"s2anc_government_merchant_2"	"gentlemen_happiness_bonus"	2
"s2anc_government_merchant"	"gentlemen_happiness_bonus"	1
"s2anc_government_rabblerouser"	"gentlemen_happiness_bonus"	1
"s2anc_hero_boy"	"general_bodyguard_morale_bonus"	1
"s2anc_household_astrologer"	"personal_security"	-5
"s2anc_household_biwa_hoshi_1"	"mod_unit_morale_local"	1
"s2anc_household_biwa_hoshi_2"	"mod_unit_morale_local"	1
"s2anc_household_chef_noodle"	"personal_security"	-5
"s2anc_household_chinese_courtier"	"diplomacy_bonus_faction_leader"	10
"s2anc_household_chinese_false"	"diplomacy_bonus_faction_leader"	5
"s2anc_household_doctor"	"character_death_chance_turn_end"	-5
"s2anc_household_groom"	"general_bodyguard_attack_bonus"	1
"s2anc_household_guard"	"general_attribute_command_land_ambush"	1
"s2anc_household_guard"	"personal_security"	-10
"s2anc_household_jesuit"	"agent_attribute_zeal_conversion"	1
"s2anc_household_koto_hoshi_1"	"mod_unit_morale_local"	1
"s2anc_household_koto_hoshi_2"	"mod_unit_morale_local"	1
"s2anc_household_mystic"	"agent_attribute_zeal_convert_character"	1
"s2anc_household_treasurer"	"trade_income_mod"	1
"s2anc_legend_army_architect"	"general_attribute_command_land_siege_attack"	2
"s2anc_legend_army_armourer"	"general_bodyguard_armour_bonus"	1
"s2anc_legend_army_bowyer"	"tech_unit_archer_acc_mod"	5
"s2anc_legend_army_castle_mason"	"general_attribute_command_land_siege_defence"	2
"s2anc_legend_army_gunmaker"	"tech_unit_musket_acc_mod"	5
"s2anc_legend_army_iaijutsu"	"general_swords_bonus"	1
"s2anc_legend_army_jujutsu"	"general_attribute_command_land_ambush"	1
"s2anc_legend_army_kenjutsu"	"general_swords_bonus"	1
"s2anc_legend_army_kobudo"	"mod_unit_recruitment_cost_battlefield_ninja"	-1
"s2anc_legend_army_kyudo"	"mod_unit_accuracy_bow_samurai_infantry"	5
"s2anc_legend_army_naginata"	"mod_unit_melee_attack_naginata_samurai"	2
"s2anc_legend_army_netsuke"	"mod_unit_upkeep_all_local"	-5
"s2anc_legend_army_smith"	"general_bodyguard_attack_bonus"	1
"s2anc_legend_army_sojutsu"	"general_spear_bonus"	1
"s2anc_legend_army_sojutsu"	"mod_unit_morale_yari_ashigaru"	1
"s2anc_legend_army_yabusame"	"general_bow_bonus"	5
"s2anc_legend_arts_bunraku"	"general_honour_bonus"	1
"s2anc_legend_arts_calligrapher"	"general_honour_bonus"	1
"s2anc_legend_arts_go"	"general_honour_bonus"	2
"s2anc_legend_arts_haiku"	"general_honour_bonus"	2
"s2anc_legend_arts_kabuki"	"agent_attribute_subterfuge_assassination"	1
"s2anc_legend_arts_kabuki"	"escape_chance_action_mod"	1
"s2anc_legend_arts_tea_ceremony"	"general_honour_bonus"	1
"s2anc_legend_espionage_ninja"	"general_attribute_command_land_siege_attack"	1
"s2anc_legend_espionage_ninja"	"personal_security"	-10
"s2anc_legend_espionage_spy"	"personal_security"	-15
"s2anc_madman_christian"	"mod_unit_morale_local"	1
"s2anc_madman_kappa"	"mod_unit_morale_local"	1
"s2anc_madman_kodama"	"mod_unit_morale_local"	1
"s2anc_madman_moon_rabbit"	"mod_unit_morale_local"	1
"s2anc_madman_tengu"	"mod_unit_melee_attack_swords"	1
"s2anc_master_army_architect"	"general_attribute_command_land_siege_attack"	1
"s2anc_master_army_armourer"	"general_bodyguard_armour_bonus"	1
"s2anc_master_army_bowyer"	"tech_unit_archer_acc_mod"	5
"s2anc_master_army_castle_mason"	"general_attribute_command_land_siege_defence"	1
"s2anc_master_army_gunmaker"	"tech_unit_musket_acc_mod"	5
"s2anc_master_army_iaijutsu"	"general_swords_bonus"	1
"s2anc_master_army_jujutsu"	"general_attribute_command_land_ambush"	1
"s2anc_master_army_kenjutsu"	"general_swords_bonus"	1
"s2anc_master_army_kobudo"	"mod_unit_recruitment_cost_battlefield_ninja"	-1
"s2anc_master_army_kyudo"	"mod_unit_accuracy_bow_samurai_infantry"	5
"s2anc_master_army_naginata"	"mod_unit_melee_attack_naginata_samurai"	1
"s2anc_master_army_netsuke"	"movement_points_all_local"	7
"s2anc_master_army_smith"	"general_bodyguard_attack_bonus"	1
"s2anc_master_army_sojutsu"	"general_spear_bonus"	1
"s2anc_master_army_yabusame"	"general_bow_bonus"	5
"s2anc_master_arts_bunraku"	"general_loyalty_bonus"	1
"s2anc_master_arts_calligrapher"	"general_loyalty_bonus"	1
"s2anc_master_arts_ceramics"	"general_honour_bonus"	1
"s2anc_master_arts_go_1"	"general_attribute_command_land_attack"	1
"s2anc_master_arts_go_1"	"general_honour_bonus"	1
"s2anc_master_arts_go_2"	"general_attribute_command_land_defence"	1
"s2anc_master_arts_go_2"	"general_honour_bonus"	1
"s2anc_master_arts_haiku"	"general_honour_bonus"	1
"s2anc_master_arts_kabuki"	"agent_attribute_subterfuge_assassination"	1
"s2anc_master_arts_tea_ceremony"	"mod_character_loyalty"	1
"s2anc_master_espionage_ninja"	"agent_attribute_subterfuge_sabotage_building"	1
"s2anc_mistress_bodyguard"	"personal_security"	-5
"s2anc_mistress_christian"	"mod_unit_morale_local"	1
"s2anc_mistress_dangerous"	"general_attribute_command_land_attack"	1
"s2anc_mistress_dangerous"	"general_loyalty_bonus"	-1
"s2anc_mistress_fox"	"general_attribute_command_land_defence"	1
"s2anc_mistress_fox"	"mod_unit_morale_local"	-1
"s2anc_mistress_gorgeous"	"general_attribute_command_land_defence"	1
"s2anc_mistress_gorgeous"	"mod_unit_morale_local"	-1
"s2anc_mistress_peasant"	"general_attribute_command_land_defence"	1
"s2anc_mistress_peasant"	"mod_unit_morale_local"	-1
"s2anc_mistress_political"	"personal_security"	-5
"s2anc_mistress_shrew"	"general_loyalty_bonus"	-1
"s2anc_mistress_shrew"	"movement_points_all_local"	10
"s2anc_mistress_tart"	"mod_unit_morale_local"	1
"s2anc_mistress_tart"	"mod_unit_upkeep_all_local"	5
"s2anc_musician_flute_lady"	"general_bodyguard_morale_bonus"	1
"s2anc_navy_gaijin_1"	"general_attribute_command_sea_attack"	1
"s2anc_navy_gaijin_2"	"general_attribute_command_sea_attack"	2
"s2anc_navy_pearl_fisherman"	"mod_unit_morale_navy"	1
"s2anc_navy_pearl_fisherman"	"mod_unit_upkeep_ships"	-5
"s2anc_navy_pilot"	"general_attribute_command_sea_attack"	1
"s2anc_navy_pilot"	"movement_points_sea"	7
"s2anc_navy_pirate_chinese"	"mod_boarders_melee_attack"	1
"s2anc_navy_pirate_nihon"	"mod_boarders_melee_attack"	1
"s2anc_navy_pirate_okinawa"	"mod_boarders_melee_attack"	1
"s2anc_navy_shipwreck_dutch"	"general_attribute_command_sea_defence"	1
"s2anc_pet_carp_1"	"diplomacy_bonus_faction_leader"	10
"s2anc_pet_carp_2"	"repression_character"	2
"s2anc_pet_hunting_dog_gempei"	"gem_agent_attribute_cunning_request_allegiance"	1
"s2anc_pet_hunting_dog"	"agent_attribute_cunning_apprehension"	1
"s2anc_pet_monkey_2"	"gentlemen_happiness_bonus"	1
"s2anc_pet_monkey"	"gentlemen_happiness_bonus"	1
"s2anc_religion_buddhist_monk"	"agent_attribute_zeal_conversion"	1
"s2anc_religion_buddhist_nun"	"agent_attribute_zeal_conversion"	2
"s2anc_religion_christian_agent_2"	"agent_attribute_zeal_conversion"	1
"s2anc_religion_christian_agent_2"	"repression_character"	2
"s2anc_religion_christian_agent"	"agent_attribute_zeal_conversion"	2
"s2anc_religion_christian_agent"	"repression_character"	3
"s2anc_religion_christian_confessor"	"gentlemen_happiness_bonus"	1
"s2anc_religion_christian_convert_1"	"agent_attribute_zeal_conversion"	1
"s2anc_religion_christian_convert_1"	"movement_points_character"	-7
"s2anc_religion_christian_convert_2"	"agent_attribute_zeal_conversion"	1
"s2anc_religion_christian_convert_3"	"personal_security"	-10
"s2anc_religion_christian_convert_4"	"gentlemen_happiness_bonus"	1
"s2anc_religion_christian_convert_4"	"movement_points_character"	-7
"s2anc_religion_christian_firebrand"	"agent_attribute_zeal_conversion"	1
"s2anc_religion_christian_notary"	"agent_attribute_zeal_conversion"	1
"s2anc_religion_christian_notary"	"movement_points_character"	-7
"s2anc_samurai_2_swords"	"general_bodyguard_attack_bonus"	1
"s2anc_samurai_7_1"	"attrition_mod"	-1
"s2anc_samurai_7_1"	"general_attribute_command_land_defence"	1
"s2anc_samurai_7_2"	"general_bodyguard_morale_bonus"	1
"s2anc_samurai_7_3"	"movement_points_all_local"	7
"s2anc_samurai_7_4"	"general_swords_bonus"	1
"s2anc_samurai_7_5"	"attrition_mod"	-1
"s2anc_samurai_7_5"	"general_loyalty_bonus"	1
"s2anc_samurai_7_6"	"general_swords_bonus"	1
"s2anc_samurai_7_7"	"mod_unit_morale_local"	1
"s2anc_samurai_killer"	"personal_security"	-10
"s2anc_silly_time_tunnel_1"	"research_points_bonus_all"	2
"s2anc_silly_time_tunnel_2"	"research_points_bonus_all"	2
"s2anc_sp_bosh_animal_dog"	"bos_agent_action_success_mod"	5
"s2anc_sp_bosh_animal_horse"	"bos_general_mod_bodyguard_charge_bonus"	1
"s2anc_sp_bosh_binoculars_military"	"bos_line_of_sight_mod"	25
"s2anc_sp_bosh_binoculars_opera"	"bos_line_of_sight_mod"	25
"s2anc_sp_bosh_book_20k"	"bos_general_mod_ship_morale"	2
"s2anc_sp_bosh_book_almanac"	"bos_gentlemen_happiness_bonus"	1
"s2anc_sp_bosh_book_almanac"	"bos_minister_tax_local"	2
"s2anc_sp_bosh_book_artillery_handbook"	"bos_ancillary_accuracy_mod_artillery"	10
"s2anc_sp_bosh_book_dickens"	"bos_event_diplomacy"	10
"s2anc_sp_bosh_book_king_james"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_book_on_war"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_book_pulp"	"bos_event_diplomacy"	10
"s2anc_sp_bosh_book_rights_of_man"	"bos_minister_repression_local"	1
"s2anc_sp_bosh_book_uncle_tom"	"bos_event_diplomacy"	10
"s2anc_sp_bosh_burakumin"	"bos_agent_repression_local"	1
"s2anc_sp_bosh_clock_marine"	"bos_ancillary_movement_point_mod_ships"	7
"s2anc_sp_bosh_clock_myriad"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_clock_watch"	"bos_movement_points_all_local"	7
"s2anc_sp_bosh_doctor_euro"	"bos_ancillary_replenishment_mod"	10
"s2anc_sp_bosh_doctor_jp"	"bos_ancillary_replenishment_mod"	10
"s2anc_sp_bosh_doctor_surgeon_euro"	"bos_ancillary_replenishment_mod"	2
"s2anc_sp_bosh_doctor_surgeon_jp"	"bos_ancillary_replenishment_mod"	5
"s2anc_sp_bosh_ed_the_cat"	"bos_agent_attribute_ishin_shinsen_conversion"	1
"s2anc_sp_bosh_ed_the_cat"	"bos_agent_repression_local"	1
"s2anc_sp_bosh_foreign_botanist"	"bos_tech_clan_income_farm_mod"	2
"s2anc_sp_bosh_foreign_journo_2"	"bos_event_diplomacy"	20
"s2anc_sp_bosh_foreign_journo_3"	"bos_event_diplomacy"	20
"s2anc_sp_bosh_foreign_journo_4"	"bos_event_diplomacy"	20
"s2anc_sp_bosh_foreign_journo"	"bos_event_diplomacy"	20
"s2anc_sp_bosh_foreign_servant_uk"	"bos_personal_security"	-5
"s2anc_sp_bosh_foreign_tourist_2"	"bos_movement_points_character"	-7
"s2anc_sp_bosh_foreign_tourist_2"	"bos_personal_security"	-5
"s2anc_sp_bosh_foreign_tourist"	"bos_movement_points_character"	-7
"s2anc_sp_bosh_foreign_tourist"	"bos_personal_security"	-2
"s2anc_sp_bosh_game_cards"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_game_shogi"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_geisha_danna"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_geisha_danna"	"bos_escape_chance_mod"	5
"s2anc_sp_bosh_geisha_hangyoku"	"bos_agent_attribute_geisha_enchant_enemy"	1
"s2anc_sp_bosh_geisha_maiko"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_geisha_o_shoku"	"bos_agent_attribute_geisha_enchant_enemy"	1
"s2anc_sp_bosh_geisha_o_shoku"	"bos_agent_attribute_geisha_entertain_nobles"	1
"s2anc_sp_bosh_geisha_onsen"	"bos_agent_action_success_mod"	5
"s2anc_sp_bosh_geisha_shamisen"	"bos_agent_attribute_geisha_entertain_nobles"	1
"s2anc_sp_bosh_gun_adams"	"bos_agent_mod_kill_aggressor_chance"	5
"s2anc_sp_bosh_gun_adams"	"bos_personal_security"	-5
"s2anc_sp_bosh_gun_colt_navy"	"bos_agent_mod_kill_aggressor_chance"	5
"s2anc_sp_bosh_gun_colt_navy"	"bos_personal_security"	-5
"s2anc_sp_bosh_gun_deringer"	"bos_agent_mod_kill_aggressor_chance"	5
"s2anc_sp_bosh_gun_deringer"	"bos_personal_security"	-10
"s2anc_sp_bosh_gun_dreyse"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_gun_elephant"	"bos_ancillary_accuracy_mod_all"	-5
"s2anc_sp_bosh_gun_elephant"	"bos_ancillary_melee_defence_mod_all"	5
"s2anc_sp_bosh_gun_gewehr_muzzleloader"	"bos_ancillary_reload_mod_rifles"	5
"s2anc_sp_bosh_gun_lancaster"	"bos_ancillary_accuracy_mod_all"	5
"s2anc_sp_bosh_gun_martini_henry"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_gun_matchlock"	"bos_general_mod_all_upkeep"	-5
"s2anc_sp_bosh_gun_mauser_71"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_gun_minie"	"bos_general_mod_army_accuracy"	5
"s2anc_sp_bosh_gun_model_1866"	"bos_ancillary_reload_mod_rifles"	5
"s2anc_sp_bosh_gun_musketoon"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_gun_sandw_2"	"bos_ancillary_reload_mod_rifles"	5
"s2anc_sp_bosh_gun_snider"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_gun_spencer"	"bos_ancillary_reload_mod_rifles"	5
"s2anc_sp_bosh_gun_springfield"	"bos_ancillary_reload_mod_rifles"	5
"s2anc_sp_bosh_gun_volcanic"	"bos_agent_mod_kill_aggressor_chance"	5
"s2anc_sp_bosh_gun_volcanic"	"bos_personal_security"	-5
"s2anc_sp_bosh_iem_cigarillo"	"bos_agent_attribute_veteran_supervise_recruitment"	1
"s2anc_sp_bosh_item_absinthe"	"bos_agent_attribute_geisha_enchant_enemy"	1
"s2anc_sp_bosh_item_balloon"	"bos_line_of_sight_mod"	25
"s2anc_sp_bosh_item_bike_early"	"bos_escape_chance_mod"	5
"s2anc_sp_bosh_item_binocs_artillery"	"bos_line_of_sight_mod"	25
"s2anc_sp_bosh_item_camera"	"bos_agent_single_combat_survival_chance"	5
"s2anc_sp_bosh_item_champagne"	"bos_agent_attribute_geisha_entertain_nobles"	1
"s2anc_sp_bosh_item_chloroform_killer"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_item_condom"	"bos_agent_attribute_geisha_enchant_enemy"	1
"s2anc_sp_bosh_item_condom"	"bos_agent_attribute_geisha_entertain_nobles"	1
"s2anc_sp_bosh_item_fan_killer"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_item_fintry"	"bos_escape_chance_mod"	15
"s2anc_sp_bosh_item_flag_semaphore"	"bos_general_mod_aura"	5
"s2anc_sp_bosh_item_flag_wig_wag"	"bos_general_mod_aura"	5
"s2anc_sp_bosh_item_food_bovril"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_item_game_bat"	"bos_agent_attribute_ishin_shinsen_conversion"	1
