version 2, schema battles_tables
Map_Name(string)	Map_Type(string)	Is_Naval(boolean)	specification(string)	Thumbnail(optstring)	Unknown1(boolean)	team_size_1(int)	team_size_2(int)	release(boolean)	multiplayer(boolean)	Unknown6(boolean)	unknown12(optstring)	unknown13(int)
"NHB_Borodino"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Borodino/Borodino_Battle.xml"	"BattleTerrain/Presets/HB_Borodino/screenshot_small.tga"	false	1	1	true	false	true	"NHB_06_Borodino.bik"	1812
"NHB_Dresden"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Dresden/Dresden_Battle.xml"	"BattleTerrain/Presets/HB_Dresden/screenshot_small.tga"	false	1	1	true	false	true	"NHB_07_Dresden.bik"	1813
"NHB_Friedland"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Friedland/Friedland_Battle.xml"	"BattleTerrain/Presets/HB_Friedland/screenshot_small.tga"	false	1	1	false	false	false	"NHB_SE_02_Friedland.bik"	1807
"NHB_Ligny"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Ligny/Ligny_Battle.xml"	"BattleTerrain/Presets/HB_Ligny/screenshot_small.tga"	false	1	1	true	false	true	"NHB_08_Ligny.bik"	1815
"NHB_Lodi"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Lodi/Lodi_Battle.xml"	"BattleTerrain/Presets/HB_Lodi/screenshot_small.tga"	false	1	1	true	false	true	"NHB_SE_01_Lodi.bik"	1796
"NHB_Nile"	"napoleon_historic"	true	"Napoleon_Historical_Battles/Nile/Nile_Battle.xml"	"BattleTerrain/Presets/HB_Nile/screenshot_small.tga"	false	1	1	true	false	true	"NHB_03_Nile.bik"	1798
"NHB_Pyramids"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Pyramids/Pyramids_Battle.xml"	"BattleTerrain/Presets/HB_Pyramids/screenshot_small.tga"	false	1	1	true	false	true	"NHB_02_Pyramids.bik"	1798
"NHB_Trafalgar"	"napoleon_historic"	true	"Napoleon_Historical_Battles/Trafalgar/Trafalgar_Battle.xml"	"BattleTerrain/Presets/HB_Trafalgar/screenshot_small.tga"	false	1	1	true	false	true	"NHB_05_Trafalgar.bik"	1805
"NHB_Waterloo"	"napoleon_historic"	false	"Napoleon_Historical_Battles/Waterloo/Waterloo_Battle.xml"	"BattleTerrain/Presets/HB_Waterloo/screenshot_small.tga"	false	1	1	true	false	true	"NHB_09_Waterloo.bik"	1815
"NHMPB_Arcole_1v2"	"historic"	false	"MP_Historical_Battles/Arcole_1v2/Arcole_Battle.xml"	"BattleTerrain/Presets/HB_Arcole/screenshot_small.tga"	false	1	2	true	true	false	nil	1796
"NHMPB_Austerlitz_3v2"	"historic"	false	"MP_Historical_Battles/Austerlitz_3v2/Austerlitz_Battle.xml"	"BattleTerrain/Presets/HB_Austerlitz/screenshot_small.tga"	false	3	2	true	true	false	nil	1805
"NHMPB_Austerlitz_3v3"	"historic"	false	"MP_Historical_Battles/Austerlitz_3v3/Austerlitz_Battle.xml"	"BattleTerrain/Presets/HB_Austerlitz/screenshot_small.tga"	false	3	3	false	true	false	nil	1805
"NHMPB_Austerlitz_4v3"	"historic"	false	"MP_Historical_Battles/Austerlitz_4v3/Austerlitz_Battle.xml"	"BattleTerrain/Presets/HB_Austerlitz/screenshot_small.tga"	false	4	3	true	true	false	nil	1805
"NHMPB_Austerlitz_4v4"	"historic"	false	"MP_Historical_Battles/Austerlitz_4v4/Austerlitz_Battle.xml"	"BattleTerrain/Presets/HB_Austerlitz/screenshot_small.tga"	false	4	4	false	true	false	nil	1805
"NHMPB_Borodino_3v3"	"historic"	false	"MP_Historical_Battles/Borodino_3v3/Borodino_Battle.xml"	"BattleTerrain/Presets/HB_Borodino/screenshot_small.tga"	false	3	3	true	true	false	nil	1812
"NHMPB_Dresden_3v3"	"historic"	false	"MP_Historical_Battles/Dresden_3v3/Dresden_Battle.xml"	"BattleTerrain/Presets/HB_Dresden/screenshot_small.tga"	false	3	3	true	true	false	nil	1813
"NHMPB_Friedland_2v2"	"historic"	false	"MP_Historical_Battles/Friedland_2v2/Friedland_Battle.xml"	"BattleTerrain/Presets/HB_Friedland/screenshot_small.tga"	false	2	2	false	false	false	nil	1807
"NHMPB_Ligny_3v3"	"historic"	false	"MP_Historical_Battles/Ligny_3v3/Ligny_Battle.xml"	"BattleTerrain/Presets/HB_Ligny/screenshot_small.tga"	false	3	3	true	true	false	nil	1815
"NHMPB_Lodi_2v2"	"historic"	false	"MP_Historical_Battles/Lodi_2v2/Lodi_Battle.xml"	"BattleTerrain/Presets/HB_Lodi/screenshot_small.tga"	false	2	2	true	true	false	nil	1796
"NHMPB_Nile_1v1"	"historic"	true	"MP_Historical_Battles/Nile_1v1/Nile_Battle.xml"	"BattleTerrain/Presets/HB_Nile/screenshot_small.tga"	false	1	1	true	true	false	nil	1798
"NHMPB_Pyramids_1v1"	"historic"	false	"MP_Historical_Battles/Pyramids_1v1/Pyramids_Battle.xml"	"BattleTerrain/Presets/HB_Pyramids/screenshot_small.tga"	false	1	1	true	true	false	nil	1798
"NHMPB_Pyramids_2v2"	"historic"	false	"MP_Historical_Battles/Pyramids_2v2/Pyramids_Battle.xml"	"BattleTerrain/Presets/HB_Pyramids/screenshot_small.tga"	false	2	2	true	true	false	nil	1798
"NHMPB_Trafalgar_2v2"	"historic"	true	"MP_Historical_Battles/Trafalgar_2v2/Trafalgar_Battle.xml"	"BattleTerrain/Presets/HB_Trafalgar/screenshot_small.tga"	false	2	2	true	true	false	nil	1805
"NHMPB_Waterloo_1v2"	"historic"	false	"MP_Historical_Battles/Waterloo_1v2/Waterloo_Battle.xml"	"BattleTerrain/Presets/HB_Waterloo/screenshot_small.tga"	false	1	2	true	true	false	nil	1815
"NHMPB_Waterloo_2v2"	"historic"	false	"MP_Historical_Battles/Waterloo_2v2/Waterloo_Battle.xml"	"BattleTerrain/Presets/HB_Waterloo/screenshot_small.tga"	false	2	2	true	true	false	nil	1815
"NHMPB_Waterloo_3v3"	"historic"	false	"MP_Historical_Battles/Waterloo_3v3/Waterloo_Battle.xml"	"BattleTerrain/Presets/HB_Waterloo/screenshot_small.tga"	false	3	3	true	true	false	nil	1815
"NHMPB_Waterloo_4v4"	"historic"	false	"MP_Historical_Battles/Waterloo_4v4/Waterloo_Battle.xml"	"BattleTerrain/Presets/HB_Waterloo/screenshot_small.tga"	false	4	4	true	true	false	nil	1815
"NMPB_Arcole"	"classic"	false	"BattleTerrain/Presets/HB_Arcole/"	nil	false	4	4	true	true	false	nil	0
"NMPB_Austerlitz"	"classic"	false	"BattleTerrain/Presets/HB_Austerlitz/"	nil	false	4	4	true	true	false	nil	0
"NMPB_Borodino"	"classic"	false	"BattleTerrain/Presets/HB_Borodino/"	nil	false	3	3	true	true	false	nil	0
"NMPB_Dresden"	"classic"	false	"BattleTerrain/Presets/HB_Dresden/"	nil	false	4	4	true	true	false	nil	0
"NMPB_Friedland"	"classic"	false	"BattleTerrain/Presets/HB_Friedland/"	nil	false	2	2	false	false	false	nil	0
"NMPB_Ligny"	"classic"	false	"BattleTerrain/Presets/HB_Ligny/"	nil	false	4	4	true	true	false	nil	0
"NMPB_Lodi"	"classic"	false	"BattleTerrain/Presets/HB_Lodi/"	nil	false	2	2	true	true	false	nil	0
"NMPB_Nile"	"naval"	true	"BattleTerrain/Presets/HB_Nile/"	nil	false	4	4	true	true	true	nil	0
"NMPB_Pyramids"	"classic"	false	"BattleTerrain/Presets/HB_Pyramids/"	nil	false	2	2	true	true	false	nil	0
"NMPB_Trafalgar"	"naval"	true	"BattleTerrain/Presets/HB_Trafalgar/"	nil	false	4	4	true	true	true	nil	0
"NMPB_Waterloo"	"classic"	false	"BattleTerrain/Presets/HB_Waterloo/"	nil	false	4	4	true	true	false	nil	0
"ottoman_artillery_fort"	"siege"	false	"BattleTerrain/Presets/ottoman_artillery_fort/"	nil	false	4	4	true	true	true	nil	0
"ottoman_great_fortress"	"siege"	false	"BattleTerrain/Presets/ottoman_great_fortress/"	nil	false	4	4	true	true	true	nil	0
"rti_fort_1"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_1/"	nil	false	3	3	true	true	true	nil	0
"rti_fort_2"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_2/"	nil	false	4	4	true	true	true	nil	0
"rti_fort_3"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_3/"	nil	false	4	4	true	true	true	nil	0
"rti_fort_4"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_4/"	nil	false	3	3	false	true	true	nil	0
"rti_fort_5"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_5/"	nil	false	3	3	false	true	true	nil	0
"rti_fort_6"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_6/"	nil	false	2	2	false	true	true	nil	0
"rti_fort_7"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_7/"	nil	false	1	1	false	true	true	nil	0
"rti_fort_8"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_8/"	nil	false	2	2	false	true	true	nil	0
"rti_fort_9"	"siege"	false	"BattleTerrain/Presets/RTI_Fort_9/"	nil	false	4	4	true	true	true	nil	0
"star_fort"	"siege"	false	"BattleTerrain/Presets/star_fort/"	nil	false	4	4	false	true	true	nil	0
"TUT_Land"	"Tutorial"	false	"TutorialBattles/Battle_Tutorial.xml"	nil	false	1	1	true	false	true	nil	1793
"TUT_Naval"	"Tutorial"	true	"TutorialBattles/NavalTutorial.xml"	nil	false	1	1	true	false	true	nil	1801
"western_artillery_fort"	"siege"	false	"BattleTerrain/Presets/western_artillery_fort/"	nil	false	2	2	true	true	true	nil	0
"wooden_fort"	"siege"	false	"BattleTerrain/Presets/wooden_fort/"	nil	false	1	1	false	true	true	nil	0
"NHB_Waterloo_Well"	"napoleon_historic"	false	"Wellington_Historical_Battles/Waterloo/Waterloo_Battle.xml"	"BattleTerrain/Presets/hb_waterloo_wellington/screenshot_small.tga"	false	1	1	false	false	true	"WEL_Waterloo.bik"	1815
"wellington_map_a"	"classic"	false	"BattleTerrain/presets/welly_map_a/"	nil	false	4	4	true	true	true	nil	0
"wellington_map_b"	"classic"	false	"BattleTerrain/presets/welly_map_b/"	nil	false	3	3	true	true	true	nil	0
"wellington_map_c"	"classic"	false	"BattleTerrain/presets/welly_map_c/"	nil	false	4	4	true	true	true	nil	0
