version 1, schema trait_info_tables
Trait_IDRef(string)	Game_Entity(string)
"C_Minister_Entertainer"	"agent"
"C_Minister_Fiscal_Genius"	"agent"
"C_Minister_Industrialist"	"agent"
"C_Minister_Miser"	"agent"
"C_Minister_Navy_Good"	"agent"
"C_Minister_Physiocrat"	"agent"
"C_Minister_Radical"	"agent"
"C_Minister_Reactionary"	"agent"
"C_Minister_Trader"	"agent"
"C_Minister_Unjust"	"agent"
"C_Minister_Upright"	"agent"
"C_Napoleon_Career_Artillery_Cadet"	"agent"
"C_Napoleon_Career_Corsican"	"agent"
"C_Napoleon_Career_Empereur"	"agent"
"C_Napoleon_Career_Harsh_Ruler"	"agent"
"C_Napoleon_Career_Leader"	"agent"
"C_Napoleon_Career_Legend"	"agent"
"C_Napoleon_Career_Navigator"	"agent"
"C_Napoleon_Career_Tactician"	"agent"
"C_Napoleon_Career_Traveller"	"agent"
"C_Napoleon_Emperor_Of_The_French"	"agent"
"C_Napoleon_King_Of_Italy"	"agent"
"C_Napoleon_Protector_Of_The_Rhine"	"agent"
"C_NTW_General_Anti_Looter"	"agent"
"C_NTW_General_Grand_Armee"	"agent"
"C_NTW_General_Looter_Good"	"agent"
"C_NTW_Gent_Agitator"	"agent"
"C_Personal_Hale"	"agent"
"C_Personal_High_Personal_Security"	"agent"
"C_Personal_Piety"	"agent"
"C_Personal_Sickly"	"agent"
"C_Rake_Assassin_Good"	"agent"
"C_Rake_Born_Bounder"	"agent"
"C_Rake_Counter_Spy"	"agent"
"C_Rake_Im_A_Laydee"	"agent"
"C_Rake_Naughty_Club"	"agent"
"C_Rake_Sabot_Good"	"agent"
"C_Rake_Spy_Good"	"agent"
"C_Sausage_Vice"	"agent"
"Spain_C_Agent_Provocateur_Pure_Blood"	"agent"
"Spain_C_Agent_Provocateur_Radical"	"agent"
"Spain_C_Agent_Guerrillero_Bandit"	"agent"
"Spain_C_Agent_Priest_Patriot"	"agent"
"Spain_C_Agent_Guerrillero_Former_Soldier"	"agent"
"Spain_C_Agent_Priest_Politics"	"agent"
"Spain_C_Agent_Provocateur_Dirty_Fighter"	"agent"
"Spain_C_Agent_Guerrillero_Torturer"	"agent"
"Spain_C_Agent_Guerrillero_Dead_Family"	"agent"
"Spain_C_General_Guerrilla_Leader"	"agent"
