version 1, schema trait_attribute_effects_tables
Trait_Level_IDRef(string)	Agent_Attribute_IDRef(string)	Magnitude(int)
"C_Rake_Spy_Good_1"	"subterfuge"	1
"C_Rake_Spy_Good_2"	"subterfuge"	2
"C_Rake_Spy_Good_3"	"subterfuge"	3
"C_Rake_Spy_Good_4"	"subterfuge"	4
"C_Rake_Spy_Good_5"	"subterfuge"	5
"Spain_C_Agent_Guerrillero_Bandit_1"	"subterfuge"	1
"Spain_C_Agent_Guerrillero_Bandit_2"	"subterfuge"	2
"Spain_C_Agent_Guerrillero_Bandit_3"	"subterfuge"	3
"Spain_C_Agent_Guerrillero_Former_Soldier_1"	"subterfuge"	1
"Spain_C_Agent_Guerrillero_Former_Soldier_2"	"subterfuge"	1
"Spain_C_Agent_Provocateur_Dirty_Fighter_1"	"duelling_swords"	1
"Spain_C_Agent_Provocateur_Dirty_Fighter_2"	"duelling_swords"	2
"Spain_C_Agent_Provocateur_Dirty_Fighter_3"	"duelling_swords"	3
