version 1, schema gun_types_tables
Gun_ID(string)	Battle_x0020_Entity(string)	GunID(string)	Animation_table(string)	unknown3(string)	Model_Gun_x0020_Destroyed(string)	Animation_Gun_x0020_Destruction(string)	Animation_Gun(string)
"fort_32_pounder"	"artillery_fixed"	"Naval_Cannon_32lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Building_Cannon"
"howitzer_5_In"	"artillery_medium"	"Howitzer_5"	"engine_cannon"	"generic_gun"	"howitzer_5_destroyed_model"	"howitzer_5_destruction"	"Howitzer"
"howitzer_5_In_Britain"	"artillery_medium"	"Howitzer_5_Britain"	"engine_cannon"	"generic_gun"	"howitzer_5_destroyed_model_Britain"	"howitzer_5_Britain_destruction"	"Howitzer"
"howitzer_6_In"	"artillery_medium"	"howitzer_6"	"engine_cannon"	"generic_gun"	"howitzer_6_destroyed_model"	"howitzer_6_destruction"	"Howitzer"
"howitzer_6_In_France"	"artillery_medium"	"howitzer_6_France"	"engine_cannon"	"generic_gun"	"howitzer_6_destroyed_model_France"	"howitzer_6_France_destruction"	"Howitzer"
"howitzer_7_pounder"	"artillery_medium"	"howitzer_7"	"engine_cannon"	"generic_gun"	"howitzer_7_destroyed_model"	"howitzer_7_destruction"	"Howitzer"
"howitzer_7_pounder_Austria"	"artillery_medium"	"howitzer_7_Austria"	"engine_cannon"	"generic_gun"	"howitzer_7_destroyed_model_Austria"	"howitzer_7_Austria_destruction"	"Howitzer"
"howitzer_7_pounder_Prussia"	"artillery_medium"	"howitzer_7_Prussia"	"engine_cannon"	"generic_gun"	"howitzer_7_destroyed_model_Prussia"	"howitzer_7_Prussia_destruction"	"Howitzer"
"howitzer_experimental"	"artillery_medium"	"Howitzer_5"	"engine_cannon"	"generic_gun"	"howitzer_5_destroyed_model"	"howitzer_5_destruction"	"Howitzer"
"howitzer_experimental_Austria"	"artillery_medium"	"howitzer_7_Austria"	"engine_cannon"	"generic_gun"	"howitzer_7_destroyed_model_Austria"	"howitzer_7_Austria_destruction"	"Howitzer"
"howitzer_experimental_Britain"	"artillery_medium"	"Howitzer_5_Britain"	"engine_cannon"	"generic_gun"	"howitzer_5_destroyed_model_Britain"	"howitzer_5_Britain_destruction"	"Howitzer"
"howitzer_experimental_French"	"artillery_medium"	"howitzer_6_France"	"engine_cannon"	"generic_gun"	"howitzer_6_destroyed_model_France"	"howitzer_6_France_destruction"	"Howitzer"
"howitzer_experimental_Prussia"	"artillery_medium"	"howitzer_7_Prussia"	"engine_cannon"	"generic_gun"	"howitzer_7_destroyed_model_Prussia"	"howitzer_7_Prussia_destruction"	"Howitzer"
"howitzer_experimental_Russia"	"artillery_medium"	"howitzer_7_Russia"	"engine_cannon"	"generic_gun"	"howitzer_7_destroyed_model_Russia"	"howitzer_7_Russia_destruction"	"Howitzer"
"naval_12_pounder"	"naval_cannon"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"naval_12_pounder_lr"	"naval_cannon"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"naval_18_pounder"	"naval_cannon"	"Naval_Cannon_18lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_18lb_destroyed"	"Naval_Cannon_18lb_destruction"	"Naval_Deck_Cannon"
"naval_18_pounder_lr"	"naval_cannon"	"Naval_Cannon_18lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_18lb_destroyed"	"Naval_Cannon_18lb_destruction"	"Naval_Deck_Cannon"
"naval_24_pounder"	"naval_cannon"	"Naval_Cannon_24lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_24lb_destroyed"	"Naval_Cannon_24lb_destruction"	"Naval_Deck_Cannon"
"naval_32_pounder"	"naval_cannon"	"Naval_Cannon_32lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_32lb_destroyed"	"Naval_Cannon_32lb_destruction"	"Naval_Deck_Cannon"
"naval_42_pounder"	"naval_cannon"	"Naval_Cannon_32lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_32lb_destroyed"	"Naval_Cannon_32lb_destruction"	"Naval_Deck_Cannon"
"naval_6_pounder"	"naval_cannon"	"Naval_Cannon_6lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_6lb_destroyed"	"Naval_Cannon_6lb_destruction"	"Naval_Deck_Cannon"
"naval_6_pounder_lr"	"naval_cannon"	"Naval_Cannon_6lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_6lb_destroyed"	"Naval_Cannon_6lb_destruction"	"Naval_Deck_Cannon"
"naval_9_pounder"	"naval_cannon"	"Naval_Cannon_9lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_9lb_destroyed"	"Naval_Cannon_9lb_destruction"	"Naval_Deck_Cannon"
"naval_9_pounder_lr"	"naval_cannon"	"Naval_Cannon_9lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_9lb_destroyed"	"Naval_Cannon_9lb_destruction"	"Naval_Deck_Cannon"
"naval_carronade_32_pounder"	"naval_cannon"	"naval_carronade"	"engine_naval_cannon"	"generic_gun"	"naval_carronade_destroyed"	"naval_carronade_destruction"	"Naval_Deck_Cannon"
"naval_carronade_64_pounder"	"naval_cannon"	"naval_carronade"	"engine_naval_cannon"	"generic_gun"	"naval_carronade_destroyed"	"naval_carronade_destruction"	"Naval_Deck_Cannon"
"naval_mortar"	"naval_fixed"	"Mortar"	"engine_mortar"	"generic_gun"	"mortar_destroyed"	"mortar_destruction"	"Mortar"
"naval_rocket_launcher"	"naval_fixed"	"rocket"	"engine_rocket"	"generic_gun"	"rocket_destructed_model"	"rocket_destruction"	"Rocket"
"ott_cannon_18_pounder"	"artillery_light"	"Ott_Field_Cannon_18lb"	"engine_cannon"	"generic_gun"	"ottoman_field_cannon_destroyed_model_18lb"	"ott_field_cannon_18lb_destruction"	"Land_Cannon"
"ott_cannon_9_pounder"	"artillery_light"	"Ott_Field_Cannon_9lb"	"engine_cannon"	"generic_gun"	"ottoman_field_cannon_destroyed_model_9lb"	"ott_field_cannon_9lb_destruction"	"Land_Cannon"
"ott_howitzer"	"artillery_medium"	"Ott_howitzer"	"engine_cannon"	"generic_gun"	"ottoman_howitzer_destroyed_model"	"ott_howitzer_destruction"	"Howitzer"
"ott_mortar"	"artillery_fixed"	"Ott_mortar"	"engine_mortar"	"generic_gun"	"ottoman_mortar_destroyed"	"ott_mortar_destruction"	"Mortar"
"rockets_fixed"	"artillery_fixed"	"rocket"	"engine_rocket"	"generic_gun"	"rocket_destructed_model"	"rocket_destruction"	"Rocket"
"rockets_fixed_Austria"	"artillery_fixed"	"rocket_Austria"	"engine_rocket"	"generic_gun"	"rocket_destructed_model_Austria"	"rocket_Austria_destruction"	"Rocket"
"rockets_fixed_Britain"	"artillery_fixed"	"rocket_Britain"	"engine_rocket"	"generic_gun"	"rocket_destructed_model_Britain"	"rocket_Britain_destruction"	"Rocket"
"rockets_fixed_France"	"artillery_fixed"	"rocket_France"	"engine_rocket"	"generic_gun"	"rocket_destructed_model_France"	"rocket_France_destruction"	"Rocket"
"rockets_fixed_Prussia"	"artillery_fixed"	"rocket_Prussia"	"engine_rocket"	"generic_gun"	"rocket_destructed_model_Prussia"	"rocket_Prussia_destruction"	"Rocket"
"rockets_fixed_Russia"	"artillery_fixed"	"rocket_Russia"	"engine_rocket"	"generic_gun"	"rocket_destructed_model_Russia"	"rocket_Russia_destruction"	"Rocket"
"unicorn_10_pounder"	"artillery_medium"	"unicorn_10"	"engine_cannon"	"generic_gun"	"unicorn_10_destroyed_model"	"unicorn_10_destruction"	"Howitzer"
"unicorn_10_pounder_Russia"	"artillery_medium"	"unicorn_10_Russia"	"engine_cannon"	"generic_gun"	"unicorn_10_destroyed_model_Russia"	"unicorn_10_Russia_destruction"	"Howitzer"
"unicorn_20_pounder"	"artillery_medium"	"unicorn_20"	"engine_cannon"	"generic_gun"	"unicorn_20_destroyed_model"	"unicorn_20_destruction"	"Howitzer"
"unicorn_20_pounder_Russia"	"artillery_medium"	"unicorn_20_Russia"	"engine_cannon"	"generic_gun"	"unicorn_20_destroyed_model_Russia"	"unicorn_20_Russia_destruction"	"Howitzer"
