version 1, schema historical_characters_tables
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)
"eur_adrien_legendre"	false	"m"	"gentleman"	"france"	1772	1833	"math4"
"eur_afanasiy_krasovsky"	false	"m"	"General"	"russia"	1801	1843	"n"
"eur_aleksey_bakhmetyev"	false	"m"	"General"	"russia"	1794	1841	"n"
"eur_alexander_abercromby"	false	"m"	"General"	"britain"	1804	1853	"n"
"eur_alexander_campbell"	false	"m"	"General"	"britain"	1779	1824	"n"
"eur_alexander_mercer"	false	"m"	"General"	"britain"	1803	1868	"artillery"
"eur_alexander_prozorovsky"	false	"m"	"General"	"russia"	1752	1809	"n"
"eur_alexander_zass"	false	"m"	"General"	"russia"	1805	1843	"n"
"eur_anders_sparrman"	false	"m"	"gentleman"	"sweden"	1768	1820	"naturalist"
"eur_andreas_hofer"	false	"m"	"General"	"austria"	1787	1810	"militia leader, national hero"
"eur_andrei_pavlovich_zass"	false	"m"	"General"	"russia"	1773	1816	"n"
"eur_andrei_zass"	false	"m"	"General"	"russia"	1796	1830	"cavalry"
"eur_andrew_meikle"	false	"m"	"gentleman"	"britain"	1739	1811	"agriculture tech 3 (threshing machine)"
"eur_andrey_timofeyevich_bolotov"	false	"m"	"gentleman"	"russia"	1758	1833	"agriculturist5"
"eur_antoine_lasalle"	false	"m"	"General"	"france"	1795	1809	"n"
"eur_anton_estocq"	false	"m"	"General"	"prussia"	1758	1815	"n"
"eur_anton_wilhelm_von_lestocq"	true	"m"	"General"	"prussia"	1795	1851	"n"
"eur_apollon_zhemchuzhnikov"	false	"m"	"General"	"russia"	1785	1840	"n"
"eur_armand_philippon"	false	"m"	"General"	"france"	1794	1852	"n"
"eur_ataman_platov"	false	"m"	"General"	"russia"	1771	1818	"n"
"eur_august_gneisenau"	false	"m"	"General"	"prussia"	1780	1831	"n"
"eur_auguste_marmont"	false	"m"	"General"	"france"	1794	1852	"n"
"eur_bertrand_barere"	false	"m"	"rake"	"france"	1775	1841	"n"
"eur_bon_moncey"	false	"m"	"General"	"france"	1774	1842	"n"
"eur_brent_spencer"	false	"m"	"General"	"britain"	1780	1828	"n"
"eur_bruno_de_heceta"	false	"m"	"admiral"	"spain"	1764	1807	"n"
"eur_carl_baggovut"	false	"m"	"General"	"russia"	1781	1812	"n"
"eur_carl_friedrich_heinrich"	false	"m"	"General"	"prussia"	1787	1841	"n"
"eur_carl_gauss"	false	"m"	"gentleman"	"prussia"	1797	1855	"mathematician5, all-round science genius"
"eur_carl_mecklenburg"	false	"m"	"General"	"prussia"	1805	1837	"n"
"eur_carl_von_clausewitz"	false	"m"	"General"	"prussia"	1800	1831	"n"
"eur_caspar_wessel"	false	"m"	"gentleman"	"denmark"	1765	1818	"math3"
"eur_charles_arbuthnot"	false	"m"	"minister"	"britain"	1784	1850	"n"
"eur_charles_belson"	false	"m"	"General"	"britain"	1794	1830	"n"
"eur_charles_colville"	false	"m"	"General"	"britain"	1790	1843	"n"
"eur_charles_coulomb"	false	"m"	"gentleman"	"france"	1758	1806	"physicist4 (electricity & magnetism)"
"eur_charles_deon"	true	"m"	"rake"	"france"	1748	1810	"French spy, diplomat, raging tranny"
"eur_charles_fox"	false	"m"	"minister"	"britain"	1769	1806	"British Minister"
"eur_charles_grey"	false	"m"	"minister"	"britain"	1784	1845	"n"
"eur_charles_middleton"	false	"m"	"minister"	"britain"	1784	1845	"n"
"eur_charles_smith"	false	"m"	"rake"	"britain"	1796	1859	"n"
"eur_christian_gunther_von_bernstorff"	true	"m"	"minister"	"denmark"	1789	1835	"diplomat5"
"eur_christian_hendrik_persoon"	false	"m"	"gentleman"	"netherlands"	1781	1836	"mycologist"
"eur_christian_massenbach"	false	"m"	"General"	"prussia"	1778	1827	"n"
"eur_claude_berthollet"	false	"m"	"gentleman"	"france"	1768	1822	"chemist1"
"eur_claude_perrin"	false	"m"	"General"	"france"	1784	1841	"n"
"eur_comte_de_rochambeau"	true	"m"	"General"	"france"	1745	1807	"French General"
"eur_cosmao_kerjulien"	false	"m"	"admiral"	"france"	1781	1825	"French Captain"
"eur_cuthbert_collingwood"	true	"m"	"admiral"	"britain"	1768	1810	"British Admiral"
"eur_david_ricardo"	false	"m"	"gentleman"	"britain"	1792	1823	"economist4"
"eur_dimitri_pezvyi"	false	"m"	"General"	"russia"	1782	1823	"n"
"eur_dionisio_galiano"	false	"m"	"gentleman"	"spain"	1780	1805	"n"
"eur_dmitry_senyavin"	false	"m"	"admiral"	"russia"	1783	1831	"admiral5"
"eur_dominique_vandamme"	false	"m"	"General"	"france"	1790	1830	"n"
"eur_dumanoir_le_pelley"	false	"m"	"admiral"	"france"	1790	1829	"French Captain"
"eur_edmund_cartwright"	false	"m"	"gentleman"	"britain"	1763	1823	"ind5, power loom"
"eur_edouard_mortier"	false	"m"	"General"	"france"	1788	1835	"n"
"eur_edward_augustus"	false	"m"	"General"	"britain"	1787	1820	"n"
"eur_edward_paget"	false	"m"	"General"	"britain"	1795	1849	"n"
"eur_edward_pakenham"	false	"m"	"General"	"britain"	1798	1815	"n"
"eur_edward_stopford"	false	"m"	"General"	"britain"	1786	1837	"n"
"eur_egori_emmanuel"	false	"m"	"General"	"russia"	1795	1837	"cavalry"
"eur_emmanual_grouchy"	false	"m"	"General"	"france"	1786	1847	"n"
"eur_ernest_augustus"	false	"m"	"General"	"britain"	1791	1851	"n"
"eur_ernst_pfuel"	false	"m"	"General"	"prussia"	1799	1866	"n"
"eur_etienne_lucas"	false	"m"	"admiral"	"france"	1784	1819	"French Captain"
"eur_eugene_beauharnais"	false	"m"	"General"	"france"	1795	1809	"n"
"eur_eugene_vilatte"	false	"m"	"General"	"france"	1790	1834	"n"
"eur_fabien_sacken"	false	"m"	"General"	"russia"	1772	1837	"n"
"eur_fedor_sanders"	false	"m"	"General"	"russia"	1775	1836	"n"
"eur_felix_de_azara"	false	"m"	"gentleman"	"spain"	1766	1821	"military engineer & general"
"eur_ferdinand_waldstein"	false	"m"	"General"	"britain"	1782	1823	"n"
"eur_francisco_de_miranda"	false	"m"	"gentleman"	"spain"	1770	1816	"n"
"eur_francisco_javier_castanos"	true	"m"	"General"	"spain"	1778	1852	"general4"
"eur_francois_chris_kellerman"	false	"m"	"minister"	"france"	1757	1820	"n"
"eur_francois_de_reynaud"	false	"m"	"rake"	"france"	1775	1838	"n"
"eur_francois_kellerman"	false	"m"	"General"	"france"	1790	835	"n"
"eur_francois_truguet"	false	"m"	"admiral"	"france"	1772	1839	"French Admiral"
"eur_francous_lefebvre"	false	"m"	"General"	"france"	1775	1820	"n"
"eur_franz_xaver_von_zach"	true	"m"	"gentleman"	"austria"	1774	1832	"astronomer"
"eur_fray_lasierra"	false	"m"	"gentleman"	"spain"	1765	1813	"historian"
"eur_frederick_adam"	false	"m"	"General"	"britain"	1804	1853	"n"
"eur_frederick_york"	false	"m"	"General"	"britain"	1784	1827	"n"
"eur_freiherr_von_schrotter"	true	"m"	"minister"	"prussia"	1763	1815	"Prime Minister"
"eur_friedrich_bulow"	false	"m"	"General"	"prussia"	1775	1816	"n"
"eur_friedrich_ludwig"	false	"m"	"General"	"prussia"	1762	1819	"n"
"eur_friedrich_wilhelm"	false	"m"	"General"	"prussia"	1791	1815	"n"
"eur_friedrich_xaver"	false	"m"	"General"	"austria"	1777	1844	"n"
"eur_furst_von_hardenberg"	true	"m"	"minister"	"prussia"	1770	1822	"Prussian Minister"
"eur_fyodor_fyodorovich_ushakov"	false	"m"	"admiral"	"russia"	1764	1817	"Russian Admiral"
"eur_galbraith_cole"	false	"m"	"General"	"britain"	1782	1842	"n"
"eur_gaspard_monge"	false	"m"	"gentleman"	"france"	1766	1818	""
"eur_georg_sverdrup"	false	"m"	"gentleman"	"denmark"	1790	1850	"philologist"
"eur_george_augustus"	false	"m"	"General"	"britain"	1803	1815	"n"
"eur_george_beresford"	false	"m"	"General"	"britain"	1801	1839	"cavalry"
"eur_george_dreiberg"	false	"m"	"General"	"britain"	1767	1832	"n"
"eur_george_murray"	false	"m"	"General"	"britain"	1792	1846	"n"
"eur_george_stephenson"	false	"m"	"gentleman"	"britain"	1801	1848	"steam loco inventor"
"eur_george_walker"	false	"m"	"General"	"britain"	1784	1842	"n"
"eur_geraud_duroc"	false	"m"	"General"	"france"	1792	1813	"n"
"eur_gerhard_von_scharnhorst"	true	"m"	"General"	"prussia"	1775	1813	"land5, army reformer"
"eur_graf_von_colloredo"	true	"m"	"minister"	"austria"	1752	1812	"bishop, religious, patron of mozart"
"eur_graf_von_wittenberg"	true	"m"	"General"	"prussia"	1780	1824	"Prussian General"
"eur_grigory_lisanevich"	false	"m"	"General"	"russia"	1776	1832	"n"
"eur_grimur_thorkelin"	false	"m"	"gentleman"	"denmark"	1772	1829	"nordic sagas"
"eur_guillaume_brune"	false	"m"	"General"	"france"	1783	1815	"n"
"eur_gustaf_adolf_reuterholm"	false	"m"	"minister"	"sweden"	1776	1813	"monarchist"
"eur_guyton_morveau"	false	"m"	"gentleman"	"france"	1757	1816	"chemist3, chemical nomenclature"
"eur_heinrich_bellegarde"	false	"m"	"General"	"austria"	1776	1845	"n"
"eur_heinrich_friderich"	true	"m"	"minister"	"prussia"	1777	1831	"Prussian Minister"
"eur_henri_delaborde"	false	"m"	"General"	"france"	1784	1833	"n"
"eur_henri_saint_simon"	false	"m"	"gentleman"	"france"	1780	1825	"n"
"eur_henry_bate"	false	"m"	"rake"	"britain"	1765	1824	"British Rake"
"eur_henry_clinton"	false	"m"	"General"	"britain"	1791	1829	"m"
"eur_henry_hayes"	true	"m"	"rake"	"britain"	1782	1832	"Irish Rake"
"eur_henry_paget"	true	"m"	"General"	"britain"	1788	1854	"British General"
"eur_henry_phipps"	false	"m"	"minister"	"britain"	1775	1831	"n"
"eur_henry_temple"	false	"m"	"minister"	"britain"	1804	1865	"n"
"eur_herzog_von_brunswick_luneberg"	true	"m"	"General"	"prussia"	1755	1806	"general5, absolutist"
"eur_hugo_kollataj"	false	"m"	"gentleman"	"poland_lithuania"	1770	1812	"constitution"
"eur_humphry_davy"	false	"m"	"gentleman"	"britain"	1798	1829	"mining lamp (ind3)"
"eur_hyde_parker"	false	"m"	"admiral"	"britain"	1759	1807	"n"
"eur_ilia_duka"	false	"m"	"General"	"russia"	1787	1830	"n"
"eur_ivan_dorokhov"	false	"m"	"General"	"russia"	1782	1815	"n"
"eur_ivan_paskevich"	false	"m"	"General"	"russia"	1802	1856	"n"
"eur_ivan_sabaneev"	false	"m"	"General"	"russia"	1792	1829	"n"
"eur_jacob_aall"	false	"m"	"minister"	"denmark"	1793	1844	"n"
"eur_jacob_kulnev"	false	"m"	"General"	"russia"	1783	1812	"n"
"eur_jacques_lauriston"	false	"m"	"General"	"france"	1768	1828	"n"
"eur_jacques_macdonald"	false	"m"	"General"	"france"	1785	1840	"n"
"eur_james_hamilton"	false	"m"	"General"	"britain"	1797	1815	"n"
"eur_james_leith"	false	"m"	"General"	"britain"	1783	1816	"n"
"eur_james_pulteney"	false	"m"	"minister"	"britain"	1775	1811	"n"
"eur_james_robertson"	false	"m"	"rake"	"britain"	1778	1820	"n"
"eur_james_watt"	false	"m"	"gentleman"	"britain"	1756	1819	"ind5, steam engine, electricity"
"eur_jan_henryk_dabrowski"	false	"m"	"General"	"poland_lithuania"	1775	1818	"n"
"eur_jan_sniadecki"	false	"m"	"gentleman"	"poland_lithuania"	1776	1830	"phil2"
"eur_jan_van_kingsbergen"	false	"m"	"admiral"	"netherlands"	1755	1819	"Dutch Admiral"
"eur_jean_bessieres"	false	"m"	"General"	"france"	1788	1813	"n"
"eur_jean_cervoni"	false	"m"	"General"	"france"	1785	1809	"n"
"eur_jean_drouet"	false	"m"	"General"	"france"	1785	1844	"n"
"eur_jean_jourdan"	false	"m"	"General"	"france"	1788	8128	"n"
"eur_jean_junot"	false	"m"	"General"	"france"	1791	1813	"n"
"eur_jean_lannes"	false	"m"	"General"	"france"	1789	1809	"n"
"eur_jean_marchand"	false	"m"	"General"	"france"	1785	1852	"n"
"eur_jean_massena"	false	"m"	"General"	"france"	1778	1817	"Europe variant"
"eur_jean_moreau"	false	"m"	"General"	"france"	1783	1813	"n"
"eur_jean_rapp"	false	"m"	"General"	"france"	1791	1821	"n"
"eur_jean_reynier"	false	"m"	"General"	"france"	1791	1814	"n"
"eur_jean_rocques"	false	"m"	"rake"	"france"	1781	1841	"n"
"eur_jean_say"	false	"m"	"gentleman"	"france"	1787	1832	"econ4, free trade"
"eur_jean_serurier"	false	"m"	"minister"	"france"	1762	1819	"n"
"eur_jean_soult"	false	"m"	"General"	"france"	1789	1851	"n"
"eur_jedrzej_sniadecki"	false	"m"	"gentleman"	"poland_lithuania"	1788	1838	"phil2"
"eur_jeremy_bentham"	false	"m"	"gentleman"	"britain"	1768	1832	"phil4, utilitarianism"
"eur_joaquin_blake"	false	"m"	"General"	"spain"	1779	1827	"n"
"eur_johann_elert_bode"	false	"m"	"gentleman"	"prussia"	1767	1826	"astronomer"
"eur_johann_goethe"	true	"m"	"gentleman"	"prussia"	1769	1832	"phil5, genius, humanist"
"eur_johann_gottlieb_fichte"	false	"m"	"gentleman"	"prussia"	1782	1814	"phil3"
"eur_johann_hiller"	false	"m"	"General"	"austria"	1768	1819	"n"
"eur_johann_klenau"	false	"m"	"General"	"austria"	1778	1819	"n"
"eur_johann_ludwig"	false	"m"	"General"	"prussia"	1779	1830	"n"
"eur_johann_riesch"	false	"m"	"General"	"austria"	1770	1821	"n"
"eur_johann_thielmann"	false	"m"	"General"	"prussia"	1785	1824	"n"
"eur_johann_von_radetz"	true	"m"	"General"	"austria"	1786	1858	"land4"
"eur_johannes_joseph"	false	"m"	"General"	"austria"	1780	1836	"n"
"eur_john_bellingham"	false	"m"	"rake"	"britain"	1789	1812	"British Rake"
"eur_john_blenkinsop"	false	"m"	"gentleman"	"britain"	1803	1831	"ind5"
"eur_john_gaspard_le_marchant"	false	"m"	"General"	"britain"	1786	1812	"British General"
"eur_john_hope"	false	"m"	"General"	"britain"	1785	1836	"n"
"eur_john_jervis"	true	"m"	"admiral"	"britain"	1755	1823	"British Admiral"
"eur_john_jones"	false	"m"	"General"	"britain"	1803	1843	"n"
"eur_john_macadam"	true	"m"	"gentleman"	"britain"	1776	1836	"ind4, roads"
"eur_john_oswald"	false	"m"	"General"	"britain"	1791	1840	"n"
"eur_john_pitt"	false	"m"	"General"	"britain"	1776	1835	"n"
"eur_john_saunders"	false	"m"	"General"	"britain"	1772	1846	"n"
"eur_john_sherbrooke"	false	"m"	"General"	"britain"	1784	1830	"n"
"eur_john_stuart"	false	"m"	"General"	"britain"	1779	1815	"n"
"eur_john_thomas_duckworth"	true	"m"	"admiral"	"britain"	1767	1817	"British Admiral"
"eur_jonas_carlsson_dryander"	false	"m"	"gentleman"	"sweden"	1768	1810	"botanist"
"eur_jonas_lindstromer"	false	"m"	"gentleman"	"sweden"	1775	1808	"naval tech 5"
"eur_jose_celestino"	false	"m"	"gentleman"	"spain"	1752	1808	"math4 (quite famous, on spanish peseta notes)"
"eur_jose_clavijo"	false	"m"	"gentleman"	"spain"	1751	1813	"historian"
"eur_jose_conde"	false	"m"	"gentleman"	"spain"	1786	1820	"orientalist"
"eur_jose_de_arredondo"	false	"m"	"General"	"spain"	1788	1837	"n"
"eur_jose_de_iturrigaray"	false	"m"	"General"	"spain"	1762	1815	"vicious, valorous"
"eur_joseph_fouce"	false	"m"	"minister"	"france"	1779	1820	"n"
"eur_joseph_guillotin"	false	"m"	"gentleman"	"france"	1758	1814	"guillotine"
"eur_joseph_jacquard"	false	"m"	"gentleman"	"france"	1772	1834	"ind4, punch card loom"
"eur_joseph_lagrange"	false	"m"	"gentleman"	"france"	1756	1813	"math4"
"eur_joseph_niepce"	false	"m"	"gentleman"	"france"	1785	1833	"photography"
"eur_joseph_vukassovich"	false	"m"	"General"	"austria"	1775	1809	"n"
"eur_josepth_manton"	false	"m"	"gentleman"	"britain"	1780	1835	"army tech 5"
"eur_jozef_antoni_poniatowski"	false	"m"	"General"	"france"	1783	1813	"gen4, defender against bad odds"
"eur_jozef_kajetan_ossolinski"	false	"m"	"minister"	"poland_lithuania"	1778	1834	"n"
"eur_jozef_sowinski"	false	"m"	"General"	"poland_lithuania"	1797	1831	"n"
"eur_juan_masdeu"	false	"m"	"gentleman"	"spain"	1764	1817	"jesuit historian"
"eur_julian_ursyn_niemcewicz"	false	"m"	"gentleman"	"poland_lithuania"	1778	1841	"scholar, patriot"
"eur_karl_bistrom"	false	"m"	"General"	"russia"	1790	1838	"n"
"eur_karl_grolman"	false	"m"	"General"	"prussia"	1797	1843	"n"
"eur_karl_lowenstern"	false	"m"	"General"	"russia"	1790	1840	"n"
"eur_karl_philipp"	false	"m"	"General"	"austria"	1791	1820	"n"
"eur_karl_sivers"	false	"m"	"General"	"russia"	1792	1856	"artillery"
"eur_karol_kniaziewicz"	false	"m"	"General"	"poland_lithuania"	1782	1842	"n"
"eur_karoly_hadaly"	false	"m"	"gentleman"	"austria"	1763	1834	"math1"
"eur_koca_mehmed_pasha"	false	"m"	"admiral"	"egy_ottomans"	1789	1855	"n"
"eur_laurent_cyr"	false	"m"	"General"	"france"	1784	1830	"n"
"eur_leonard_macnally"	false	"m"	"rake"	"britain"	1772	1820	"n"
"eur_lorenzo_hervas_y_panduro"	false	"m"	"gentleman"	"spain"	1755	1809	"philologist"
"eur_louis_almeras"	false	"m"	"General"	"france"	1788	1828	"n"
"eur_louis_hilliers"	false	"m"	"General"	"france"	1784	1813	"n"
"eur_ludwig_wallmoden"	false	"m"	"General"	"prussia"	1789	1862	"n"
"eur_luois_suchet"	false	"m"	"General"	"france"	1783	1806	"n"
"eur_manuel_de_godoy"	true	"m"	"minister"	"spain"	1787	1851	"n"
"eur_matthew_boulton"	false	"m"	"gentleman"	"britain"	1748	1809	"ind3"
"eur_matthew_darby"	false	"m"	"General"	"britain"	1792	1823	"n"
"eur_mauel_german"	false	"m"	"gentleman"	"spain"	1758	1806	"phil2, enlightened"
"eur_mikhail_tolly"	false	"m"	"General"	"russia"	1781	1818	"n"
"eur_mikhail_vorontsov"	false	"m"	"General"	"russia"	1802	1856	"n"
"eur_nicholas_appert"	false	"m"	"gentleman"	"france"	1769	1841	"canning, food preservation"
"eur_nicholas_vansittart"	false	"m"	"minister"	"britain"	1786	1850	"n"
"eur_nicolas_leblanc"	false	"m"	"gentleman"	"france"	1762	1806	"ind3, soda"
"eur_nicolas_oudinot"	false	"m"	"General"	"france"	1787	1847	"n"
"eur_nikolay_novikov"	false	"m"	"gentleman"	"russia"	1764	1818	"n"
"eur_paul_davidovich"	false	"m"	"General"	"austria"	1757	1814	"n"
"eur_paul_pahlen"	false	"m"	"General"	"russia"	1795	1834	"n"
"eur_pavel_chichagov"	false	"m"	"admiral"	"russia"	1787	1849	"n"
"eur_pedro_caro"	false	"m"	"General"	"spain"	1781	1811	"n"
"eur_percy_blakeney"	true	"m"	"rake"	"britain"	1789	1820	"British Rake"
"eur_peter_bagration"	false	"m"	"General"	"russia"	1785	1812	"n"
"eur_peter_kotlyarovsky"	false	"m"	"General"	"russia"	1802	1852	"n"
"eur_peter_pallas"	false	"m"	"gentleman"	"prussia"	1761	1811	"naturalist"
"eur_peter_tolstoy"	false	"m"	"General"	"russia"	1789	1844	"n"
"eur_peter_wittgenstein"	false	"m"	"General"	"russia"	1789	1843	"n"
"eur_peter_zheltukhin"	false	"m"	"General"	"russia"	1797	1829	"n"
"eur_pierre_augereau"	false	"m"	"General"	"france"	1777	1816	"n"
"eur_pierre_laplace"	false	"m"	"gentleman"	"france"	1769	1827	"math3"
"eur_reshid_mehmed_pasha"	false	"m"	"General"	"egy_ottomans"	1800	1839	"n"
"eur_richard_kirwan"	false	"m"	"gentleman"	"britain"	1753	1812	"scientist"
"eur_richard_trevithick"	false	"m"	"gentleman"	"britain"	1791	1833	"ind4, steam loco"
"eur_robert_calder"	true	"m"	"captain"	"britain"	1765	1818	"British Captain"
"eur_robert_craufurd"	false	"m"	"General"	"britain"	1764	1812	"n"
"eur_robert_darwin"	false	"m"	"gentleman"	"britain"	1786	1848	"doctor"
"eur_robert_dundas"	false	"m"	"minister"	"britain"	1791	1851	"n"
"eur_robert_ross"	false	"m"	"General"	"britain"	1786	1814	"n"
"eur_robert_wallace"	false	"m"	"gentleman"	"britain"	1793	1853	"ind1, postage reform"
"eur_rowland_hill"	false	"m"	"General"	"britain"	1792	1842	"n"
"eur_rudolphus_bodecker"	false	"m"	"General"	"britain"	1779	1831	"n"
"eur_samuel_crompton"	false	"m"	"gentleman"	"britain"	1773	1827	"ind3"
"eur_selim_iii"	false	"m"	"minister"	"egy_ottomans"	1781	1808	"n"
"eur_sergei_kamensky"	false	"m"	"General"	"russia"	1791	1834	"n"
"eur_sergei_zheltukhin"	false	"m"	"General"	"russia"	1796	1833	"n"
"eur_stanislaw_staszic"	false	"m"	"gentleman"	"poland_lithuania"	1775	1826	"phil3"
"eur_stapleton_cotton"	false	"m"	"General"	"britain"	1793	1865	"n"
"eur_tadeusz_czacki"	false	"m"	"gentleman"	"poland_lithuania"	1785	1813	"n"
"eur_tadeusz_kosciuszko"	false	"m"	"General"	"poland_lithuania"	1766	1817	"land3, leader of uprising, national hero"
"eur_thomas_clarkson"	false	"m"	"gentleman"	"britain"	1780	1846	"abolitionist"
"eur_thomas_cochrane"	true	"m"	"admiral"	"britain"	1795	1860	"British Admiral"
"eur_thomas_graham"	false	"m"	"General"	"britain"	1768	1850	"n"
"eur_thomas_grenville"	false	"m"	"minister"	"britain"	1775	1846	"n"
"eur_thomas_hardy"	true	"m"	"admiral"	"britain"	1789	1839	"British Captain"
"eur_thomas_malthus"	false	"m"	"gentleman"	"britain"	1786	1834	"econ5"
"eur_thomas_picton"	false	"m"	"General"	"britain"	1778	1815	"n"
"eur_tomas_de_suria"	false	"m"	"gentleman"	"spain"	1781	1844	"n"
"eur_tomasz_wawrzecki"	false	"m"	"General"	"poland_lithuania"	1773	1816	"n"
"eur_vasili_dolgoruky"	false	"m"	"General"	"russia"	1796	1810	"n"
"eur_vincenz_bianchi"	false	"m"	"General"	"austria"	1788	1855	"n"
"eur_vladimir_dolgoruky"	false	"m"	"General"	"russia"	1793	1817	"n"
"eur_vladimir_lowenstern"	false	"m"	"General"	"russia"	1797	1858	"n"
"eur_william_anson"	false	"m"	"General"	"britain"	1792	1847	"n"
"eur_william_beresford"	false	"m"	"General"	"britain"	1788	1856	"n"
"eur_william_dornberg"	false	"m"	"General"	"britain"	1788	1850	"n"
"eur_william_dundas"	false	"m"	"minister"	"britain"	1782	1845	"n"
"eur_william_hope"	false	"m"	"minister"	"britain"	1786	1831	"n"
"eur_william_horrocks"	false	"m"	"gentleman"	"britain"	1796	1825	"n"
"eur_william_murdoch"	false	"m"	"gentleman"	"britain"	1774	1839	"ind5"
"eur_william_pitt_younger"	false	"m"	"minister"	"britain"	1779	1806	"Prime Minister"
"eur_william_rose"	false	"m"	"gentleman"	"britain"	1795	1843	"n"
"eur_william_sidney_smith"	true	"m"	"admiral"	"britain"	1784	1840	"British Admiral"
"eur_william_strutt"	false	"m"	"gentleman"	"britain"	1776	1830	"ind3"
"eur_william_wickham"	false	"m"	"rake"	"britain"	1781	1840	"n"
"eur_william_wilberforce"	false	"m"	"gentleman"	"britain"	1779	1833	"n"
"eur_yermolay_hamper"	false	"m"	"General"	"russia"	1770	1814	"n"
"eur_zakhar_olsufiev"	false	"m"	"General"	"russia"	1792	1835	"n"
"ita_auguste_marmont"	false	"m"	"General"	"ita_french_republic"	1794	1813	"n"
"ita_barthelemy_joubert"	false	"m"	"General"	"ita_french_republic"	1789	1799	"n"
"ita_charles_lasalle"	false	"m"	"General"	"ita_french_republic"	1795	1809	"n"
"ita_claude_perrin"	false	"m"	"General"	"ita_french_republic"	1784	1841	"n"
"ita_donatien_francois"	true	"m"	"gentleman"	"france"	1760	1800	"extreme liberalist, nihilist"
"ita_francois_kellermann"	false	"m"	"General"	"ita_french_republic"	1790	1835	"n"
"ita_franz_auffenberg"	false	"m"	"General"	"ita_austrian_alliance"	1764	1809	"m"
"ita_friedrich_xaver"	false	"m"	"General"	"ita_austrian_alliance"	1777	1844	"n"
"ita_gaspard_monge"	false	"m"	"gentleman"	"france"	1766	1818	""
"ita_georges_lesage"	false	"m"	"gentleman"	"france"	1744	1803	"electricity, telegraph"
"ita_geraud_duroc"	false	"m"	"General"	"ita_french_republic"	1792	1813	"m"
"ita_giacomo_casanova"	false	"m"	"rake"	"ita_venice"	1745	1798	"womanizer, charm, guile"
"ita_giuseppe_acerbi"	false	"m"	"gentleman"	"ita_venice"	1793	1846	"lapland"
"ita_guillaume_brune"	false	"m"	"General"	"ita_french_republic"	1783	1815	"n"
"ita_jean_bessieres"	false	"m"	"General"	"ita_french_republic"	1788	1813	"n"
"ita_jean_cervoni"	false	"m"	"General"	"ita_french_republic"	1785	1809	"n"
"ita_jean_lannes"	false	"m"	"General"	"ita_french_republic"	1789	1815	"n"
"ita_joachim_murat"	false	"m"	"General"	"ita_french_republic"	1787	1815	"n"
