version 2, schema avatar_ancillaries_descriptions_tables, guid de0ef68a-d3bb-447f-bf6e-6ca1039f1e03
unknown1(string)	unknown2(int)
"mp_bosh_anc_overweight_infantry_officer"	1
"mp_bosh_anc_pedantic_gun_captain"	1
"mp_bosh_anc_poor_bloodstock"	1
"mp_bosh_anc_practice_grounds"	1
"mp_bosh_anc_raw_frigate_crew"	1
"mp_bosh_anc_raw_frigate_crew"	2
"mp_bosh_anc_rifled_barrels"	1
"mp_bosh_anc_scratch_ironclad_crew"	1
"mp_bosh_anc_scratch_ironclad_crew"	2
"mp_bosh_anc_scroll_of_inspirational_verse"	1
"mp_bosh_anc_shinobi_informer"	1
"mp_bosh_anc_skilled_gun_captain"	1
"mp_bosh_anc_skilled_weaponsmith"	1
"mp_bosh_anc_skittish_mounts"	1
"mp_bosh_anc_snider_breech_loading_rifle"	1
"mp_bosh_anc_spoiled_rations"	1
"mp_bosh_anc_sticky_fingered_storemaster"	1
"mp_bosh_anc_uma_i_horse_doctor"	1
"mp_bosh_anc_uma_jirushi_nobori_standard_bearer"	1
"mp_bosh_anc_unbalanced_spears"	1
"mp_bosh_anc_unpracticed_gun_crews"	1
"mp_bosh_anc_unwaxed_cartridges"	1
"mp_bosh_anc_veteran_corvette_crew"	1
"mp_bosh_anc_veteran_corvette_crew"	2
"mp_bosh_anc_von_clausewitzs_on_war"	1
"mp_bosh_anc_well_schooled_mounts"	1
"mp_bosh_anc_yamabushi_guide"	1
"mp_bosh_anc_yamabushi_guide"	2
"mp_bosh_anc_yari_master"	1
"mp_bosh_anc_yumi_officer"	1
"mp_bosh_anc_zen_like_silence"	1
"mp_bosh_anc_zori_tori_sandal_bearer"	1
"mp_bosh_clan_imperial"	1
"mp_bosh_clan_shogunate"	1
"mp_clan_anc_bow"	1
"mp_clan_anc_horse"	1
"mp_clan_anc_spear"	1
"mp_clan_anc_sword"	1
"mp_legendary_dragonfly_cutting_spear"	1
"mp_legendary_flawless_mount_okage"	1
"mp_legendary_hachiman_crest"	1
"mp_legendary_heavenly_banner"	1
"mp_legendary_hideous_menpo_mask"	1
"mp_legendary_hideous_menpo_mask"	2
"mp_legendary_kawari_kabuto_helm"	1
"mp_legendary_legendary_kabuto_of_ykok"	1
"mp_legendary_masterwork_do_maru_armour"	1
"mp_legendary_masterwork_kote_armguards"	1
"mp_legendary_tenkagoken_sword"	1
