version 1, schema campaign_character_anims_junctions_tables, guid cceac9a2-0e97-4527-9d64-f6930b217fcc
unknown1(string)	Character(string)	unknown2(string)	Anim_filepath(string)	unknown3(string)	unknown4(optstring)	unknown5(optstring)	unknown6(float)
"2135700699"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\BATTLE\\SHO_GEN_DIED_FROM_BATTLE_ATTACK.anim"	"action"	"died_from_battle_attack"	nil	1
"2135700706"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\BATTLE\\SHO_GEN_DIED_FROM_BATTLE_DEFEND.anim"	"action"	"died_from_battle_defend"	nil	1
"2135700707"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\BATTLE\\SHO_GEN_BATTLE_VICTORY.anim"	"action"	"battle_victory"	nil	1
"2135700708"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\BATTLE\\SHO_GEN_ATTACK_BATTLE.anim"	"action"	"garrison_attack"	nil	1
"2135700718"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\SHO_GEN_LEVEL_UP.anim"	"action"	"level_up"	nil	1
"2135700727"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\SABOTAGE\\SHO_GEN_SABOTAGE_ATTEMPT_FAILED_COUNTERATTACK.anim"	"matched_action"	"died_from_agent_sabotage_counterattack"	nil	1
"2135700737"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\SABOTAGE\\SHO_GEN_SABOTAGE_ATTEMPT_FAILED.anim"	"matched_action"	"agent_sabotage_fail"	nil	1
"2135700740"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\SABOTAGE\\SHO_GEN_SABOTAGE_ATTEMPT_SUCCESS.anim"	"matched_action"	"agent_sabotage_success"	nil	1
"2135700747"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\DEMORALISE\\SHO_GEN_DEMORALISE_ATTEMPT_FAILED_COUNTERATTACK.anim"	"matched_action"	"died_from_demoralise_counterattack"	nil	1
"2135700751"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\DEMORALISE\\SHO_GEN_DEMORALISE_ATTEMPT_FAILED.anim"	"matched_action"	"demoralise_failed"	nil	1
"2135700753"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\DEMORALISE\\SHO_GEN_DEMORALISE_ATTEMPT_SUCCESS.anim"	"matched_action"	"demoralise_success"	nil	1
"2135700756"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\BRIBE\\SHO_GEN_REJECT_BRIBE_OFFER_COUNTERATTACK.anim"	"matched_action"	"died_from_bribe_agent_counterattack"	nil	1
"2135700762"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\BRIBE\\SHO_GEN_REJECT_BRIBE_OFFER.anim"	"matched_action"	"bribe_agent_fail"	nil	1
"2135700767"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\BRIBE\\SHO_GEN_ACCEPT_BRIBE_OFFER.anim"	"matched_action"	"bribe_agent_success"	nil	1
"2135700770"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\BRIBE\\SHO_GEN_RECEIVE_BRIBE_OFFER.anim"	"matched_action"	"bribe_attempt"	nil	1
"2135700777"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\BATTLE\\SHO_GEN_KILL_FROM_BATTLE_ATTACK.anim"	"matched_action"	"died_from_battle_defend"	nil	1
"2135700785"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\BATTLE\\SHO_GEN_KILL_FROM_BATTLE_DEFEND.anim"	"matched_action"	"died_from_battle_attack"	nil	1
"2135700788"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\BATTLE\\SHO_GEN_DEFEND_AGAINST_BATTLE.anim"	"matched_action"	"battle_attack"	nil	1
"2135700790"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\ASSASSINATION\\SHO_GEN_ASSASSINATION_ATTEMPT_FAILED_COUNTERATTACK.anim"	"matched_action"	"died_from_assassination_counterattack"	nil	1
"2135700792"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\ASSASSINATION\\SHO_GEN_ASSASSINATION_ATTEMPT_FAILED.anim"	"matched_action"	"assassination_failed"	nil	1
"2135700798"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\MATCHED_ACTION\\ASSASSINATION\\SHO_GEN_DEFEND_AGAINST_ASSASSINATION.anim"	"matched_action"	"assassination_attempt"	nil	1
"2135700853"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\STAND\\SHO_GEI_STAND_IDLE_1.anim"	"idle"	nil	nil	1
"2135700857"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\STAND\\SHO_GEI_STAND_IDLE_2.anim"	"idle"	nil	nil	1
"2135700858"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\STAND\\SHO_GEI_STAND_IDLE_3.anim"	"idle"	nil	nil	1
"2135700864"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\STAND\\SHO_GEI_STAND_IDLE_4.anim"	"idle"	nil	nil	1
"2135700866"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\STAND\\SHO_GEI_STAND_IDLE_5.anim"	"idle"	nil	nil	1
"2135700873"	"geisha"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\OUT_OF_AP\\SHO_GEI_OUT_OF_AP_IDLE_1.anim"	"idle"	nil	nil	1
"2135700879"	"geisha"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\OUT_OF_AP\\SHO_GEI_OUT_OF_AP_IDLE_2.anim"	"idle"	nil	nil	1
"2135700881"	"geisha"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\OUT_OF_AP\\SHO_GEI_OUT_OF_AP_IDLE_3.anim"	"idle"	nil	nil	1
"2135700887"	"geisha"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\OUT_OF_AP\\SHO_GEI_OUT_OF_AP_IDLE_4.anim"	"idle"	nil	nil	1
"2135700890"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\STAND\\SHO_GEI_STAND_SELECTED.anim"	"to_selected"	nil	nil	1
"2135700898"	"geisha"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\IDLE\\OUT_OF_AP\\SHO_GEI_OUT_OF_AP_SELECTED.anim"	"to_selected"	nil	nil	1
"2135700901"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\TRANSITION\\SHO_GEI_STAND_TO_OUT_OF_AP.anim"	"status_transition"	nil	"normal_out_of_ap"	1
"2135700908"	"geisha"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\TRANSITION\\SHO_GEI_OUT_OF_AP_TO_STAND.anim"	"status_transition"	nil	"normal"	1
"2135700914"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\SHO_GEI_GENERIC_DEATH.anim"	"action"	"generic_death"	nil	1
"2135700924"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\SHO_GEI_LEVEL_UP.anim"	"action"	"level_up"	nil	1
"2135700930"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\ASSASSINATION\\SHO_GEI_ASSASSINATION_ATTEMPT.anim"	"action"	"assassination_attempt"	nil	1
"2135700940"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\ASSASSINATION\\SHO_GEI_ASSASSINATION_FAIL.anim"	"action"	"assassination_failed"	nil	1
"2135700946"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\ASSASSINATION\\SHO_GEI_DIED_FROM_ASSASSINATION.anim"	"action"	"died_from_assassination"	nil	1
"2135700954"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\ASSASSINATION\\SHO_GEI_DIED_FROM_ASSASSINATION_COUNTERATTACK.anim"	"action"	"died_from_assassination_counterattack"	nil	1
"2135700961"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\CONVERSION\\SHO_GEI_CONVERTED_BY_BUDDHIST.anim"	"action"	"converted_by_buddhist"	nil	1
"2135700967"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\CONVERSION\\SHO_GEI_CONVERTED_BY_CHRISTIAN.anim"	"action"	"converted_by_christian"	nil	1
"2135700968"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\ACTION\\HUNT_DOWN\\SHO_GEI_DIED_FROM_HUNT_DOWN.anim"	"action"	"died_from_hunt_down"	nil	1
"2135700976"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\ASSASSINATION\\SHO_GEI_DEFEND_AGAINST_ASSASSINATION.anim"	"matched_action"	"assassination_attempt"	nil	1
"2135700985"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\ASSASSINATION\\SHO_GEI_ASSASSINATION_SUCCESS_KILL.anim"	"matched_action"	"died_from_assassination"	nil	1
"2135700993"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\ASSASSINATION\\SHO_GEI_ASSASSINATION_ATTEMPT_FAILED.anim"	"matched_action"	"assassination_failed"	nil	1
"2135700994"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\ASSASSINATION\\SHO_GEI_ASSASSINATION_ATTEMPT_FAILED_COUNTERATTACK.anim"	"matched_action"	"died_from_assassination_counterattack"	nil	1
"2135701002"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\CONVERSION\\SHO_GEI_RECEIVE_CONVERSION_OFFER.anim"	"matched_action"	"conversion_attempt"	nil	1
"2135701005"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\CONVERSION\\SHO_GEI_REJECT_CONVERSION_OFFER.anim"	"matched_action"	"conversion_fail"	nil	1
"2135701015"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\CONVERSION\\SHO_GEI_REJECT_CONVERSION_OFFER_COUNTERATTACK.anim"	"matched_action"	"died_from_conversion_counterattack"	nil	1
"2135701017"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\HUNT_DOWN\\SHO_GEI_DEFEND_AGAINST_HUNT_DOWN.anim"	"matched_action"	"hunt_down_attempt"	nil	1
"2135701019"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\HUNT_DOWN\\SHO_GEI_HUNT_DOWN_ATTEMPT_FAILED.anim"	"matched_action"	"hunt_down_fail"	nil	1
"2135701022"	"geisha"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GEISHA\\MATCHED_ACTION\\HUNT_DOWN\\SHO_GEI_HUNT_DOWN_ATTEMPT_FAILED_COUNTERATTACK.anim"	"matched_action"	"died_from_hunt_down_counterattack"	nil	1
"2135701032"	"metsuke"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\STAND\\SHO_MET_STAND_IDLE_1.anim"	"idle"	nil	nil	1
"2135701036"	"metsuke"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\STAND\\SHO_MET_STAND_IDLE_2.anim"	"idle"	nil	nil	1
"2135701041"	"metsuke"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\STAND\\SHO_MET_STAND_IDLE_3.anim"	"idle"	nil	nil	1
"2135701050"	"metsuke"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\STAND\\SHO_MET_STAND_IDLE_4.anim"	"idle"	nil	nil	1
"2135701053"	"metsuke"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\STAND\\SHO_MET_STAND_IDLE_5.anim"	"idle"	nil	nil	1
"2135701054"	"metsuke"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\OUT_OF_AP\\SHO_MET_OUT_OF_AP_IDLE_1.anim"	"idle"	nil	nil	1
"2135701064"	"metsuke"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\OUT_OF_AP\\SHO_MET_OUT_OF_AP_IDLE_2.anim"	"idle"	nil	nil	1
"2135701074"	"metsuke"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\OUT_OF_AP\\SHO_MET_OUT_OF_AP_IDLE_3.anim"	"idle"	nil	nil	1
"2135701082"	"metsuke"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\OUT_OF_AP\\SHO_MET_OUT_OF_AP_IDLE_4.anim"	"idle"	nil	nil	1
"2135701083"	"metsuke"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\STAND\\SHO_MET_STAND_SELECTED.anim"	"to_selected"	nil	nil	1
"2135701087"	"metsuke"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\IDLE\\OUT_OF_AP\\SHO_MET_OUT_OF_AP_SELECTED.anim"	"to_selected"	nil	nil	1
"2135701088"	"metsuke"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\METSUKE\\TRANSITION\\SHO_MET_STAND_TO_OUT_OF_AP.anim"	"status_transition"	nil	"normal_out_of_ap"	1
