version 1, schema character_skill_nodes_tables, guid 5e34afab-f4a2-4d32-9775-73df52c66371
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(optstring)	unknown5(int)	unknown6(string)	unknown7(int)
false	"bos_general_4_honour"	"bos_general_skills"	nil	1	"bos_general_node_4_honour"	3
false	"bos_general_4_offense"	"bos_general_skills"	nil	28	"bos_general_node_4_offense"	3
false	"bos_general_4_precision"	"bos_general_skills"	nil	36	"bos_general_node_4_precision"	3
false	"bos_general_4_presence"	"bos_general_skills"	nil	9	"bos_general_node_4_presence"	3
false	"bos_general_4_provision"	"bos_general_skills"	nil	14	"bos_general_node_4_provision"	3
false	"bos_general_5_legendary_commander"	"bos_general_skills"	nil	25	"bos_general_node_5_legendary_commander"	4
false	"bos_general_5_paragon"	"bos_general_skills"	nil	11	"bos_general_node_5_paragon"	4
false	"bos_general_5_scourge"	"bos_general_skills"	nil	39	"bos_general_node_5_scourge"	4
false	"bos_ishinshishi_3_militant"	"bos_ishinshishi_skills"	nil	13	"bos_ishinshishi_node_1_instigator"	0
false	"bos_ishinshishi_1_mediator"	"bos_ishinshishi_skills"	nil	37	"bos_ishinshishi_node_1_mediator"	0
false	"bos_ishinshishi_2_connections"	"bos_ishinshishi_skills"	nil	44	"bos_ishinshishi_node_2_corruption"	1
false	"bos_ishinshishi_2_tenacity"	"bos_ishinshishi_skills"	nil	6	"bos_ishinshishi_node_2_zeal"	1
false	"bos_ishinshishi_3_activist"	"bos_ishinshishi_skills"	nil	30	"bos_ishinshishi_node_3_activist"	2
false	"bos_ishinshishi_3_killer"	"bos_ishinshishi_skills"	nil	6	"bos_ishinshishi_node_3_killer"	2
false	"bos_ishinshishi_1_instigator"	"bos_ishinshishi_skills"	nil	20	"bos_ishinshishi_node_3_militant"	2
false	"bos_ishinshishi_3_persuader"	"bos_ishinshishi_skills"	nil	44	"bos_ishinshishi_node_3_persuader"	2
false	"bos_ishinshishi_4_cold_bloodedness"	"bos_ishinshishi_skills"	nil	2	"bos_ishinshishi_node_4_cold_bloodedness"	3
false	"bos_ishinshishi_4_solidarity"	"bos_ishinshishi_skills"	nil	48	"bos_ishinshishi_node_4_deception"	3
false	"bos_ishinshishi_2_zeal"	"bos_ishinshishi_skills"	nil	34	"bos_ishinshishi_node_4_single_mindedness"	3
false	"bos_ishinshishi_4_single_mindedness"	"bos_ishinshishi_skills"	nil	16	"bos_ishinshishi_node_4_solidarity"	3
false	"bos_ishinshishi_5_arch_imperialist"	"bos_ishinshishi_skills"	nil	37	"bos_ishinshishi_node_5_arch_imperialist"	4
false	"bos_ishinshishi_5_inexorable_force"	"bos_ishinshishi_skills"	nil	13	"bos_ishinshishi_node_5_inexorable_force"	4
false	"bos_ishinshishi_5_revolutionary"	"bos_ishinshishi_skills"	nil	25	"bos_ishinshishi_node_5_revolutionary"	4
false	"bos_shinobi_1_criminal_agent"	"bos_shinobi_skills"	nil	37	"bos_shinobi_node_1_criminal_agent"	0
false	"bos_shinobi_1_military_spy"	"bos_shinobi_skills"	nil	13	"bos_shinobi_node_1_military_spy"	0
false	"bos_shinobi_3_thief"	"bos_shinobi_skills"	nil	44	"bos_shinobi_node_2_awareness"	1
false	"bos_shinobi_2_discretion"	"bos_shinobi_skills"	nil	6	"bos_shinobi_node_2_finesse"	1
false	"bos_shinobi_3_assassin"	"bos_shinobi_skills"	nil	30	"bos_shinobi_node_3_assassin"	2
false	"bos_shinobi_2_awareness"	"bos_shinobi_skills"	nil	6	"bos_shinobi_node_3_covert_agent"	2
false	"bos_shinobi_3_covert_agent"	"bos_shinobi_skills"	nil	20	"bos_shinobi_node_3_saboteur"	2
false	"bos_shinobi_3_saboteur"	"bos_shinobi_skills"	nil	44	"bos_shinobi_node_3_thief"	2
false	"bos_shinobi_4_powder_making"	"bos_shinobi_skills"	nil	48	"bos_shinobi_node_4_altruism"	3
false	"bos_shinobi_2_conditioning"	"bos_shinobi_skills"	nil	2	"bos_shinobi_node_4_evasion"	3
false	"bos_shinobi_4_poison_making"	"bos_shinobi_skills"	nil	34	"bos_shinobi_node_4_poison_making"	3
false	"bos_shinobi_4_evasion"	"bos_shinobi_skills"	nil	16	"bos_shinobi_node_4_powder_making"	3
false	"bos_shinobi_5_infiltrator"	"bos_shinobi_skills"	nil	13	"bos_shinobi_node_5_infiltrator"	4
false	"bos_shinobi_5_master_ninpo"	"bos_shinobi_skills"	nil	25	"bos_shinobi_node_5_master_ninpo"	4
false	"bos_shinobi_5_notorious_outlaw"	"bos_shinobi_skills"	nil	37	"bos_shinobi_node_5_notorious_outlaw"	4
false	"bos_shinsengumi_3_intimidator"	"bos_shinsengumi_skills"	nil	13	"bos_shinsengumi_node_1_enforcer"	0
false	"bos_shinsengumi_3_vindicator"	"bos_shinsengumi_skills"	nil	37	"bos_shinsengumi_node_1_investigator"	0
false	"bos_shinsengumi_4_ardour"	"bos_shinsengumi_skills"	nil	44	"bos_shinsengumi_node_2_counter_espionage"	1
false	"bos_shinsengumi_4_extortion"	"bos_shinsengumi_skills"	nil	6	"bos_shinsengumi_node_2_professionalism"	1
false	"bos_shinsengumi_3_taskmaster"	"bos_shinsengumi_skills"	nil	6	"bos_shinsengumi_node_3_intimidator"	2
false	"bos_shinsengumi_3_provocateur"	"bos_shinsengumi_skills"	nil	44	"bos_shinsengumi_node_3_provocateur"	2
false	"bos_shinsengumi_1_enforcer"	"bos_shinsengumi_skills"	nil	20	"bos_shinsengumi_node_3_taskmaster"	2
false	"bos_shinsengumi_1_investigator"	"bos_shinsengumi_skills"	nil	30	"bos_shinsengumi_node_3_vindicator"	2
false	"bos_shinsengumi_4_antagonism"	"bos_shinsengumi_skills"	nil	48	"bos_shinsengumi_node_4_antagonism"	3
false	"bos_shinsengumi_2_counter_espionage"	"bos_shinsengumi_skills"	nil	34	"bos_shinsengumi_node_4_ardour"	3
false	"bos_shinsengumi_2_bushido"	"bos_shinsengumi_skills"	nil	16	"bos_shinsengumi_node_4_discipline"	3
false	"bos_shinsengumi_4_discipline"	"bos_shinsengumi_skills"	nil	2	"bos_shinsengumi_node_4_extortion"	3
false	"bos_shinsengumi_5_oppressor"	"bos_shinsengumi_skills"	nil	13	"bos_shinsengumi_node_5_oppressor"	4
false	"bos_shinsengumi_5_secret_agent"	"bos_shinsengumi_skills"	nil	37	"bos_shinsengumi_node_5_secret_agent"	4
false	"bos_shinsengumi_5_shoguns_hand"	"bos_shinsengumi_skills"	nil	25	"bos_shinsengumi_node_5_shoguns_hand"	4
false	"bos_veteran_1_officer"	"bos_veteran_skills"	nil	37	"bos_veteran_node_1_officer"	0
false	"bos_veteran_1_soldier"	"bos_veteran_skills"	nil	13	"bos_veteran_node_1_soldier"	0
false	"bos_veteran_2_training"	"bos_veteran_skills"	nil	44	"bos_veteran_node_2_intelligence"	1
false	"bos_veteran_4_bravado"	"bos_veteran_skills"	nil	6	"bos_veteran_node_2_training"	1
false	"bos_veteran_2_logistics"	"bos_veteran_skills"	nil	44	"bos_veteran_node_3_drillmaster"	2
false	"bos_veteran_3_drillmaster"	"bos_veteran_skills"	nil	30	"bos_veteran_node_3_duelist"	2
false	"bos_veteran_3_ordnance_expert"	"bos_veteran_skills"	nil	6	"bos_veteran_node_3_ordnance_expert"	2
false	"bos_veteran_3_sharpshooter"	"bos_veteran_skills"	nil	20	"bos_veteran_node_3_sharpshooter"	2
false	"bos_veteran_4_relentlessness"	"bos_veteran_skills"	nil	34	"bos_veteran_node_4_bravado"	3
false	"bos_veteran_4_gunnery"	"bos_veteran_skills"	nil	2	"bos_veteran_node_4_gunnery"	3
false	"bos_veteran_4_marksmanship"	"bos_veteran_skills"	nil	16	"bos_veteran_node_4_marksmanship"	3
false	"bos_veteran_2_reconnaissance"	"bos_veteran_skills"	nil	48	"bos_veteran_node_4_relentlessness"	3
false	"bos_veteran_5_guerrilla"	"bos_veteran_skills"	nil	13	"bos_veteran_node_5_guerrilla"	4
false	"bos_veteran_5_military_advisor"	"bos_veteran_skills"	nil	37	"bos_veteran_node_5_military_advisor"	4
false	"bos_veteran_5_seasoned_fighter"	"bos_veteran_skills"	nil	25	"bos_veteran_node_5_seasoned_fighter"	4
false	"geisha_agent"	"geisha_skills"	nil	34	"geisha_node_agent"	4
false	"geisha_courtesan"	"geisha_skills"	nil	18	"geisha_node_courtesan"	2
false	"geisha_culted_lady"	"geisha_skills"	nil	18	"geisha_node_culted_lady"	4
false	"geisha_entertainer"	"geisha_skills"	nil	26	"geisha_node_entertainer"	2
false	"geisha_flattery"	"geisha_skills"	nil	34	"geisha_node_flattery"	2
false	"geisha_fox_lady"	"geisha_skills"	nil	18	"geisha_node_fox_lady"	3
false	"geisha_poisoner"	"geisha_skills"	nil	26	"geisha_node_poisoner"	4
false	"geisha_politics"	"geisha_skills"	nil	34	"geisha_node_politics"	3
false	"geisha_seduction"	"geisha_skills"	nil	26	"geisha_node_seduction"	3
false	"gem_dancer_agent"	"gem_dancer_skills"	nil	38	"gem_dancer_node_agent"	4
false	"gem_dancer_charmer"	"gem_dancer_skills"	nil	18	"gem_dancer_node_charmer"	0
false	"gem_dancer_connected"	"gem_dancer_skills"	nil	42	"gem_dancer_node_connected"	2
false	"gem_dancer_courtier"	"gem_dancer_skills"	nil	38	"gem_dancer_node_courtier"	1
false	"gem_dancer_cultured"	"gem_dancer_skills"	nil	34	"gem_dancer_node_cultured"	3
false	"gem_dancer_entertainer"	"gem_dancer_skills"	nil	32	"gem_dancer_node_entertainer"	0
false	"gem_dancer_fox"	"gem_dancer_skills"	nil	12	"gem_dancer_node_fox"	1
false	"gem_dancer_golddigger"	"gem_dancer_skills"	nil	26	"gem_dancer_node_golddigger"	3
false	"gem_dancer_seduction"	"gem_dancer_skills"	nil	22	"gem_dancer_node_seduction"	2
false	"gem_dancer_temptress"	"gem_dancer_skills"	nil	16	"gem_dancer_node_temptress"	4
false	"gem_general_deceiver"	"gem_general_skills"	nil	29	"gem_general_node_deceiver"	2
false	"gem_general_diehard_fighter"	"gem_general_skills"	nil	42	"gem_general_node_diehard_fighter"	1
false	"gem_general_dreaded"	"gem_general_skills"	nil	30	"gem_general_node_dreaded"	4
false	"gem_general_glorious_strategist"	"gem_general_skills"	nil	21	"gem_general_node_glorious_strategist"	4
false	"gem_general_guardian"	"gem_general_skills"	nil	21	"gem_general_node_guardian"	2
false	"gem_general_inspiring_leader"	"gem_general_skills"	nil	12	"gem_general_node_inspiring_leader"	4
false	"gem_general_leader"	"gem_general_skills"	nil	16	"gem_general_node_leader"	0
false	"gem_general_legendary_warrior"	"gem_general_skills"	nil	42	"gem_general_node_legendary_warrior"	4
false	"gem_general_master_bowman"	"gem_general_skills"	nil	42	"gem_general_node_master_bowman"	3
false	"gem_general_master_horseman"	"gem_general_skills"	nil	46	"gem_general_node_master_horseman"	2
false	"gem_general_master_swordsman"	"gem_general_skills"	nil	38	"gem_general_node_master_swordsman"	2
false	"gem_general_paragon"	"gem_general_skills"	nil	12	"gem_general_node_paragon"	2
false	"gem_general_partisan"	"gem_general_skills"	nil	8	"gem_general_node_partisan"	1
false	"gem_general_pirate"	"gem_general_skills"	nil	33	"gem_general_node_pirate"	3
false	"gem_general_poet"	"gem_general_skills"	nil	4	"gem_general_node_poet"	3
false	"gem_general_strategist"	"gem_general_skills"	nil	25	"gem_general_node_strategist"	1
false	"gem_general_vanguard"	"gem_general_skills"	nil	25	"gem_general_node_vanguard"	3
false	"gem_general_warrior"	"gem_general_skills"	nil	34	"gem_general_node_warrior"	0
false	"gem_inspector_bribery"	"gem_inspector_skills"	nil	42	"gem_inspector_node_bribery"	2
false	"gem_inspector_counterspy"	"gem_inspector_skills"	nil	16	"gem_inspector_node_counterspy"	2
false	"gem_inspector_diplomat"	"gem_inspector_skills"	nil	38	"gem_inspector_node_diplomat"	4
false	"gem_inspector_eyes_ears"	"gem_inspector_skills"	nil	25	"gem_inspector_node_eyes_ears"	4
false	"gem_inspector_iajutsu"	"gem_inspector_skills"	nil	8	"gem_inspector_node_iajutsu"	3
false	"gem_inspector_magistrate"	"gem_inspector_skills"	nil	34	"gem_inspector_node_magistrate"	1
false	"gem_inspector_mercantile_contacts"	"gem_inspector_skills"	nil	30	"gem_inspector_node_mercantile_contacts"	3
false	"gem_inspector_propagandist"	"gem_inspector_skills"	nil	42	"gem_inspector_node_propagandist"	0
false	"gem_inspector_secret_police"	"gem_inspector_skills"	nil	16	"gem_inspector_node_secret_police"	0
false	"gem_inspector_strength_of_will"	"gem_inspector_skills"	nil	12	"gem_inspector_node_strength_of_will"	4
false	"gem_inspector_thieftaker"	"gem_inspector_skills"	nil	8	"gem_inspector_node_thieftaker"	1
false	"gem_monk_agitator"	"gem_monk_skills"	nil	38	"gem_monk_node_agitator"	4
false	"gem_monk_enlightened"	"gem_monk_skills"	nil	16	"gem_monk_node_enlightened"	4
false	"gem_monk_inspiring"	"gem_monk_skills"	nil	34	"gem_monk_node_inspiring"	0
false	"gem_monk_meditation"	"gem_monk_skills"	nil	12	"gem_monk_node_meditation"	2
false	"gem_monk_militant"	"gem_monk_skills"	nil	42	"gem_monk_node_militant"	1
false	"gem_monk_pacifist"	"gem_monk_skills"	nil	30	"gem_monk_node_pacifist"	2
false	"gem_monk_persuader"	"gem_monk_skills"	nil	38	"gem_monk_node_persuader"	3
false	"gem_monk_pilgrim"	"gem_monk_skills"	nil	16	"gem_monk_node_pilgrim"	0
false	"gem_monk_scripture"	"gem_monk_skills"	nil	8	"gem_monk_node_scripture"	3
false	"gem_monk_worldly"	"gem_monk_skills"	nil	20	"gem_monk_node_worldly"	1
false	"gem_spy_assassin"	"gem_spy_skills"	nil	34	"gem_spy_node_assassin"	1
false	"gem_spy_criminal_contacts"	"gem_spy_skills"	nil	39	"gem_spy_node_criminal_contacts"	0
false	"gem_spy_escape_artist"	"gem_spy_skills"	nil	16	"gem_spy_node_escape_artist"	3
false	"gem_spy_exotic_weapons"	"gem_spy_skills"	nil	34	"gem_spy_node_exotic_weapons"	2
false	"gem_spy_explosives"	"gem_spy_skills"	nil	21	"gem_spy_node_explosives"	2
false	"gem_spy_infiltrator"	"gem_spy_skills"	nil	12	"gem_spy_node_infiltrator"	1
false	"gem_spy_invisible"	"gem_spy_skills"	nil	12	"gem_spy_node_invisible"	4
false	"gem_spy_master_disguise"	"gem_spy_skills"	nil	8	"gem_spy_node_master_disguise"	2
false	"gem_spy_military_spy"	"gem_spy_skills"	nil	18	"gem_spy_node_military_spy"	0
false	"gem_spy_ninjutsu_master"	"gem_spy_skills"	nil	25	"gem_spy_node_ninjutsu_master"	4
false	"gem_spy_noble_bandit"	"gem_spy_skills"	nil	44	"gem_spy_node_noble_bandit"	2
false	"gem_spy_notorious_killer"	"gem_spy_skills"	nil	39	"gem_spy_node_notorious_killer"	4
false	"gem_spy_poisoner"	"gem_spy_skills"	nil	34	"gem_spy_node_poisoner"	3
false	"gem_spy_saboteur"	"gem_spy_skills"	nil	25	"gem_spy_node_saboteur"	1
false	"general_admiral"	"general_skills"	nil	33	"general_node_admiral"	1
false	"general_admiral"	"ikko_general_skills"	"ikko_ikki"	33	"general_node_admiral_ikko"	1
false	"general_ambush"	"general_skills"	nil	39	"general_node_ambush"	1
false	"general_ambush"	"ikko_general_skills"	"ikko_ikki"	39	"general_node_ambush_ikko"	1
false	"general_ashigaru_general"	"general_skills"	nil	31	"general_node_ashigaru_general"	3
false	"general_ashigaru_general"	"ikko_general_skills"	"ikko_ikki"	31	"general_node_ashigaru_general_ikko"	3
false	"general_cavalry_commander"	"general_skills"	nil	18	"general_node_cavalry_commander"	1
false	"general_cavalry_commander"	"ikko_general_skills"	"ikko_ikki"	18	"general_node_cavalry_commander_ikko"	1
false	"general_diehard_fighter"	"general_skills"	nil	45	"general_node_diehard_fighter"	1
false	"general_diehard_fighter"	"ikko_general_skills"	"ikko_ikki"	45	"general_node_diehard_fighter_ikko"	1
false	"general_field_attacker"	"general_skills"	nil	15	"general_node_field_attacker"	2
false	"general_field_attacker"	"ikko_general_skills"	"ikko_ikki"	15	"general_node_field_attacker_ikko"	2
false	"general_field_defender"	"general_skills"	nil	21	"general_node_field_defender"	2
false	"general_field_defender"	"ikko_general_skills"	"ikko_ikki"	21	"general_node_field_defender_ikko"	2
false	"general_honourable"	"general_skills"	nil	9	"general_node_honourable"	2
false	"general_honourable"	"ikko_general_skills"	"ikko_ikki"	3	"general_node_honourable_ikko"	3
false	"general_infantry_leader"	"general_skills"	nil	27	"general_node_infantry_leader"	2
false	"general_infantry_leader"	"ikko_general_skills"	"ikko_ikki"	27	"general_node_infantry_leader_ikko"	2
false	"general_inspirational"	"general_skills"	nil	3	"general_node_inspirational"	3
false	"general_inspirational"	"ikko_general_skills"	"ikko_ikki"	6	"general_node_inspirational_ikko"	1
false	"general_intimidating"	"general_skills"	nil	12	"general_node_intimidating"	4
false	"general_intimidating"	"ikko_general_skills"	"ikko_ikki"	10	"general_node_intimidating_ikko"	3
false	"general_legendary_warrior"	"general_skills"	nil	45	"general_node_legendary_warrior"	4
false	"general_legendary_warrior"	"ikko_general_skills"	"ikko_ikki"	45	"general_node_legendary_warrior_ikko"	4
false	"general_living_treasure"	"general_skills"	nil	3	"general_node_living_treasure"	4
false	"general_living_treasure"	"ikko_general_skills"	"ikko_ikki"	3	"general_node_living_treasure_ikko"	4
false	"general_master_horseman"	"general_skills"	nil	48	"general_node_master_bowman"	3
false	"general_master_horseman"	"ikko_general_skills"	"ikko_ikki"	48	"general_node_master_bowman_ikko"	3
false	"general_master_swordsman"	"general_skills"	nil	42	"general_node_master_swordsman"	2
false	"general_master_swordsman"	"ikko_general_skills"	"ikko_ikki"	42	"general_node_master_swordsman_ikko"	2
false	"general_pirate"	"general_skills"	nil	39	"general_node_pirate"	3
false	"general_pirate"	"ikko_general_skills"	"ikko_ikki"	39	"general_node_pirate_ikko"	3
false	"general_poet"	"general_skills"	nil	6	"general_node_poet"	1
false	"general_poet"	"ikko_general_skills"	"ikko_ikki"	3	"general_node_poet_ikko"	2
false	"general_religious"	"general_skills"	nil	3	"general_node_religious"	2
false	"general_religious"	"ikko_general_skills"	"ikko_ikki"	6	"general_node_religious_ikko"	0
false	"general_siege_attacker"	"general_skills"	nil	31	"general_node_siege_attacker"	4
false	"general_siege_attacker"	"ikko_general_skills"	"ikko_ikki"	31	"general_node_siege_attacker_ikko"	4
false	"general_siege_defender"	"general_skills"	nil	25	"general_node_siege_defender"	3
false	"general_siege_defender"	"ikko_general_skills"	"ikko_ikki"	25	"general_node_siege_defender_ikko"	3
false	"general_strategist"	"general_skills"	nil	27	"general_node_strategist"	0
false	"general_strategist"	"ikko_general_skills"	"ikko_ikki"	27	"general_node_strategist_ikko"	0
false	"general_warrior"	"general_skills"	nil	45	"general_node_warrior"	0
false	"general_warrior"	"ikko_general_skills"	"ikko_ikki"	45	"general_node_warrior_ikko"	0
false	"monk_agitator"	"ikko_monk_skills"	"ikko_ikki"	31	"ikko_monk_node_agitator"	1
false	"monk_enlightened"	"ikko_monk_skills"	"ikko_ikki"	11	"ikko_monk_node_enlightened"	4
false	"monk_inspiring"	"ikko_monk_skills"	"ikko_ikki"	26	"ikko_monk_node_inspiring"	0
false	"monk_meditation"	"ikko_monk_skills"	"ikko_ikki"	11	"ikko_monk_node_meditation"	3
false	"monk_militant"	"ikko_monk_skills"	"ikko_ikki"	36	"ikko_monk_node_militant"	0
false	"monk_pacifist"	"ikko_monk_skills"	"ikko_ikki"	17	"ikko_monk_node_pacifist"	2
false	"ikko_monk_persuader"	"ikko_monk_skills"	"ikko_ikki"	36	"ikko_monk_node_persuader"	2
false	"monk_pilgrim"	"ikko_monk_skills"	"ikko_ikki"	11	"ikko_monk_node_pilgrim"	0
false	"monk_religious_advisor"	"ikko_monk_skills"	"ikko_ikki"	21	"ikko_monk_node_religious_advisor"	1
false	"monk_scripture"	"ikko_monk_skills"	"ikko_ikki"	17	"ikko_monk_node_scripture"	4
false	"monk_spiritual"	"ikko_monk_skills"	"ikko_ikki"	11	"ikko_monk_node_spiritual"	2
false	"ikko_monk_worldly"	"ikko_monk_skills"	"ikko_ikki"	41	"ikko_monk_node_worldly"	1
false	"metsuke_bribery"	"metsuke_skills"	nil	14	"metsuke_node_bribery"	1
false	"metsuke_censor"	"metsuke_skills"	nil	39	"metsuke_node_censor"	2
false	"metsuke_counter-espionage"	"metsuke_skills"	nil	24	"metsuke_node_counter-espionage"	0
false	"metsuke_eyes_and_ears"	"metsuke_skills"	nil	28	"metsuke_node_eyes_and_ears"	4
false	"metsuke_iaijutsu"	"metsuke_skills"	nil	33	"metsuke_node_iaijutsu"	2
false	"metsuke_investigator"	"metsuke_skills"	nil	24	"metsuke_node_investigator"	1
false	"metsuke_legendary_thieftaker"	"metsuke_skills"	nil	20	"metsuke_node_legendary_thieftaker"	4
false	"metsuke_magistrate"	"metsuke_skills"	nil	39	"metsuke_node_magistrate"	0
false	"metsuke_mercantile_contacts"	"metsuke_skills"	nil	14	"metsuke_node_mercantile_contacts"	4
false	"metsuke_secret_policeman"	"metsuke_skills"	nil	39	"metsuke_node_secret_policeman"	1
false	"metsuke_strength_of_will"	"metsuke_skills"	nil	39	"metsuke_node_strength_of_will"	3
false	"metsuke_traveller"	"metsuke_skills"	nil	33	"metsuke_node_traveller"	3
false	"metsuke_yakuza_contacts"	"metsuke_skills"	nil	24	"metsuke_node_yakuza_contacts"	2
false	"missionary_agitator"	"missionary_skills"	nil	40	"missionary_node_agitator"	1
false	"missionary_confessor"	"missionary_skills"	nil	11	"missionary_node_confessor"	3
false	"missionary_doctor_of_the_church"	"missionary_skills"	nil	15	"missionary_node_doctor_of_the_church"	4
false	"missionary_father_of_the_church"	"missionary_skills"	nil	33	"missionary_node_father_of_the_church"	4
false	"missionary_hellfire_and_brimstone"	"missionary_skills"	nil	40	"missionary_node_hellfire_and_brimstone"	3
false	"missionary_heterodoxy"	"missionary_skills"	nil	19	"missionary_node_heterodoxy"	2
false	"missionary_inspiring"	"missionary_skills"	nil	26	"missionary_node_inspiring"	1
false	"missionary_pilgrim"	"missionary_skills"	nil	26	"missionary_node_pilgrim"	2
false	"missionary_preacher"	"missionary_skills"	nil	33	"missionary_node_preacher"	0
false	"missionary_proselytizer"	"missionary_skills"	nil	33	"missionary_node_proselytizer"	1
false	"missionary_purist"	"missionary_skills"	nil	33	"missionary_node_purist"	2
false	"missionary_spiritual_advisor"	"missionary_skills"	nil	11	"missionary_node_spiritual_advisor"	0
false	"missionary_worldly"	"missionary_skills"	nil	40	"missionary_node_worldly"	0
false	"monk_agitator"	"monk_skills"	nil	31	"monk_node_agitator"	2
false	"monk_enlightened"	"monk_skills"	nil	11	"monk_node_enlightened"	4
false	"monk_inspiring"	"monk_skills"	nil	26	"monk_node_inspiring"	0
false	"monk_meditation"	"monk_skills"	nil	11	"monk_node_meditation"	2
false	"monk_militant"	"monk_skills"	nil	36	"monk_node_militant"	0
false	"monk_pacifist"	"monk_skills"	nil	16	"monk_node_pacifist"	2
false	"monk_persuader"	"monk_skills"	nil	21	"monk_node_persuader"	4
false	"monk_pilgrim"	"monk_skills"	nil	11	"monk_node_pilgrim"	0
false	"monk_religious_advisor"	"monk_skills"	nil	21	"monk_node_religious_advisor"	1
false	"monk_scripture"	"monk_skills"	nil	11	"monk_node_scripture"	3
false	"monk_spiritual"	"monk_skills"	nil	11	"monk_node_spiritual"	1
false	"monk_worldly"	"monk_skills"	nil	41	"monk_node_worldly"	1
false	"ninja_assassin"	"ninja_skills"	nil	42	"ninja_node_assassin"	0
false	"ninja_criminal_contacts"	"ninja_skills"	nil	12	"ninja_node_criminal_contacts"	2
false	"ninja_defender_of_the_people"	"ninja_skills"	nil	12	"ninja_node_defender_of_the_people"	4
false	"ninja_disguise"	"ninja_skills"	nil	20	"ninja_node_disguise"	2
false	"ninja_escape_artist"	"ninja_skills"	nil	26	"ninja_node_escape_artist"	3
false	"ninja_exotic_weapons"	"ninja_skills"	nil	42	"ninja_node_exotic_weapons"	1
false	"ninja_gunpowder_chemist"	"ninja_skills"	nil	31	"ninja_node_gunpowder_chemist"	2
false	"ninja_infiltrator"	"ninja_skills"	nil	20	"ninja_node_infiltrator"	1
false	"ninja_invisible"	"ninja_skills"	nil	20	"ninja_node_invisible"	4
false	"ninja_military_spy"	"ninja_skills"	nil	12	"ninja_node_military_spy"	1
false	"ninja_misdirection"	"ninja_skills"	nil	26	"ninja_node_misdirection"	1
false	"ninja_ninjutsu"	"ninja_skills"	nil	36	"ninja_node_ninjutsu"	4
false	"ninja_noble_bandit"	"ninja_skills"	nil	12	"ninja_node_noble_bandit"	3
false	"ninja_notorious_killer"	"ninja_skills"	nil	42	"ninja_node_notorious_killer"	4
