version 1, schema projectiles_tables
Projectile_ID(string)	Type(string)	Shot_x0020_Type(string)	Missile_x0020_Type(string)	Model(optstring)	Projectile_Explosion_IDRef(optstring)	Trail(optstring)	Spin(string)	Number_of_Pellets(int)	In_x0020_Flight_x0020_Transition(optstring)	Trajectory_x0020_Sight(string)	Range(int)	Minimum_x0020_Range(int)	Max_x0020_Elevation(int)	Velocity(float)	Marksmanship_x0020_Bonus(float)	Maximum_deviance_x0020_from_0_to_360(float)	Damage(float)	Damage_x0020_Range_effectiveness(optstring)	Incendiary(optstring)	Blast_x0020_Effect(optstring)	Can_x0020_Bounce(boolean)	High_x0020_Air_x0020_Resistance(boolean)	Collision_x0020_Radius(float)	Base_Reload__x0020_Time_x0020__x0023_Added_to_animation(int)	Base_x0020_Misfire_x0020_Chance(int)	Weather_x0020_Effect(optstring)	Sail_x0020_Damage_x0020_Modifier(float)	Below_x0020_Waterline_x0020_Damage_x0020_Modifier(float)	Launch_x0020_Audio(string)	Hit_x0020_Audio(string)	Launch_x0020_Particle_x0020_Effect(optstring)	Projectile_x0020_Trail_x0020_Particle_x0020_Effect(optstring)	Impact(optstring)
"cannon_24_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	60	"n"	"low"	150	0	30	75	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	35	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"cannon_24_pounder_early_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	800	0	30	115	7	3	38	"high"	"low"	"impact"	true	false	0.13	35	0	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"cannon_24_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	900	0	30	125	15	0	42	"high"	"low"	"impact"	true	false	0.15	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"cannon_24_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_24lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	125	0	2	6	"low"	nil	"impact_light"	false	false	0.1	40	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"musket_ball"
"cannon_3_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	30	"n"	"low"	150	0	30	75	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	35	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"
"cannon_3_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	650	0	30	125	15	0	9	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"medium"	"LandGunFire_small"	nil	"default_ball"
"cannon_3_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_3lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	125	25	3	6	"low"	nil	"impact_light"	false	false	0.1	40	0	nil	0.2	0	"gun"	"medium"	"LandGunFire_small"	nil	"musket_ball"
"cannon_32_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_32lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	125	0	1	6	"low"	nil	"impact_light"	false	false	0.1	40	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"musket_ball"
"cannon_6_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	40	"n"	"low"	150	0	30	75	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	35	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"
"cannon_6_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	700	0	30	125	18	1	15	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"medium"	"LandGunFire_small"	nil	"default_ball"
"cannon_6_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_6lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	125	15	0	6	"low"	nil	"impact"	false	false	0.1	40	0	nil	0.2	0	"gun"	"medium"	"LandGunFire_small"	nil	"musket_ball"
"cannon_9_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	45	"n"	"low"	150	0	30	75	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	35	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"
"cannon_9_pounder_early_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	750	0	30	120	13	2	21	"high"	"low"	"impact"	true	false	0.1	33	0	nil	0.1	0	"gun"	"large"	"LandGunFire_small"	nil	"default_ball"
"cannon_9_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	750	0	30	125	15	1	21	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_small"	nil	"default_ball"
"carcass_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha"	"none"	10	"n"	"low"	50	0	90	4	0	35	1.25	"low"	"high"	nil	false	true	0.1	0	0	"medium"	2	0	"boom"	"small"	nil	"carcass_fragment_trail"	"default_ball"
"chakkar"	"missile"	"chakkar_ring"	"chakram"	nil	nil	"none"	"none"	1	nil	"low"	50	0	30	24	0	0	0.99	nil	nil	nil	false	false	0.1	10	0	nil	0.1	0	"flight"	"small"	nil	nil	"musket_ball"
"ember_drifting"	"missile"	"grape"	"shrapnel"	"projectile_fragment01"	nil	"none"	"none"	1	"n"	"low"	50	0	90	23	0	0	0.1	nil	"high"	nil	false	false	0	0	0	nil	1	0	"flight"	"none"	nil	nil	"musket_ball"
"ember_propelled"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"none"	"none"	1	"n"	"low"	100	0	90	32	0	0	1	nil	"high"	nil	false	false	0.1	0	0	nil	1	0	"flight"	"small"	nil	nil	"musket_ball"
"episodic_24_pounder"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	"n"	"low"	500	0	30	125	0	0	84	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"fort_12_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	150	50	30	75	-7	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"fort_12_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	800	50	30	125	-7	4	27	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire"	nil	"default_ball"
"fort_12_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_12lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	50	30	125	-7	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire"	nil	"musket_ball"
"fort_18_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	150	50	30	75	-7	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"fort_18_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	850	50	30	125	-7	4	36	"high"	"low"	"impact"	true	false	0.1	5	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire"	nil	"default_ball"
"fort_18_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_18lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	50	30	125	-7	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire"	nil	"musket_ball"
"fort_24_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	150	50	30	75	-7	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"fort_24_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	900	50	30	125	-7	4	40	"high"	"low"	"impact"	true	false	0.1	5	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"fort_24_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_24lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	50	30	125	-7	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"musket_ball"
"fort_32_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	150	50	30	75	-7	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"fort_32_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	950	50	30	125	-7	4	48	"high"	"low"	"impact"	true	false	0.1	5	0	nil	0.1	1.5	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"fort_32_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_32lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	50	30	125	-7	10	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"musket_ball"
"fort_carronade_64_pounder_canister"	"fort_battery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	150	50	30	75	-7	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"fort_carronade_64_pounder_shot"	"fort_battery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"low"	600	50	30	125	-7	4	70	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"fort_carronade_64_pounder_shrapnel"	"fort_battery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_64lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	50	30	125	-7	10	8	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"musket_ball"
"fougasse_basic"	"special"	"fougasse"	"shrapnel"	"projectile_fragment01"	nil	"alpha"	"none"	14	nil	"low"	50	0	90	25	0	10	50	"effective_range_based"	"high"	"explode"	false	false	0.1	0	0	nil	0.1	0	"boom"	"large"	"fougasse_default"	nil	"musket_ball"
"fougasse_improved"	"special"	"fougasse"	"grenade"	"projectile_grenade"	"grenade"	"alpha"	"none"	14	"n"	"low"	50	0	60	25	0	10	70	nil	"high"	"explode"	true	false	0.05	0	0	nil	0.1	0	"boom"	"large"	"fougasse_default"	nil	"musket_ball"
"grappling_hook"	"missile"	"grappling_hook"	"grapple"	"grapple"	nil	"none"	"none"	1	nil	"low"	35	0	90	35	0	0	0	nil	nil	nil	false	false	0.1	12	0	"medium"	0.1	0	"grapple"	"small"	nil	nil	"musket_ball"
"grenade"	"missile"	"grenade"	"grenade"	"projectile_grenade"	"grenade"	"none"	"grenade_spin"	1	"shrapnel"	"fixed"	35	2	44	35	0	0	0	nil	"medium"	"impact"	true	false	0.01	75	10	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"
"grenade_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha_shrapnel"	"grenade_spin"	1	nil	"low"	10	0	30	25	0	15	0.99	nil	nil	nil	true	true	0.008	0	0	nil	0.1	0	"boom"	"small"	nil	nil	"musket_ball"
"grenade_improved"	"missile"	"improved_grenade"	"grenade"	"projectile_grenade"	"grenade_improved"	"none"	"grenade_spin"	1	"shrapnel"	"fixed"	35	2	44	35	0	12	0	nil	"medium"	"impact"	true	false	0.01	50	5	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"
"grenade_launched"	"missile"	"bullet"	"grenade"	"projectile_grenade"	"grenade"	"alpha"	"grenade_spin"	1	"shrapnel"	"low"	70	2	90	45	0	10	0	nil	"medium"	"impact"	true	false	0.01	40	10	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"
"grenade_launched_improved"	"missile"	"bullet"	"grenade"	"projectile_grenade"	"grenade_improved"	"alpha"	"grenade_spin"	1	"shrapnel"	"fixed"	70	2	90	45	0	7	0	nil	"medium"	"impact"	true	false	0.01	30	10	"low"	0.1	0	"flight"	"small"	nil	nil	"musket_ball"
"howitzer_12_pounder_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"fixed"	150	50	20	75	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	35	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"howitzer_12_pounder_carcass"	"artillery"	"carcass"	"cannon_ball"	"projectile_cannonbal"	"carcass_12lb"	"alpha"	"none"	1	nil	"fixed"	500	200	20	50	0	4	18	"low"	"high"	"carcass"	true	false	0.8	50	0	nil	10	0	"gun"	"large"	"LandGunFire_howitzer"	"carcass_trail"	"default_ball"
"howitzer_12_pounder_quicklime"	"artillery"	"quicklime"	"cannon_ball"	"projectile_cannonbal"	"quicklime_12lb"	"alpha"	"none"	1	"n"	"fixed"	500	200	20	40	0	4	18	nil	nil	nil	false	false	0.1	60	0	nil	0.1	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_12_pounder_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	500	200	20	81	0	10	18	"high"	"medium"	"explode"	false	false	0.1	35	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_12_pounder_shell_percussive"	"artillery"	"percussive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_percussive_12lb"	"alpha"	"none"	1	"n"	"fixed"	500	200	20	81	0	4	27	"low"	"medium"	"explode"	false	false	0.11	45	0	nil	0.1	0	"boom"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_12_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"fixed"	600	100	20	81	0	2	27	"high"	"low"	"impact"	true	false	1	30	0	nil	2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_12_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	500	200	20	81	0	10	6	"low"	nil	"impact_light"	false	false	0.1	35	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"musket_ball"
"howitzer_24_pounder_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	60	nil	"fixed"	150	50	20	75	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	35	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"howitzer_24_pounder_carcass"	"artillery"	"carcass"	"cannon_ball"	"projectile_cannonbal"	"carcass_24lb"	"alpha"	"shell_spin"	1	nil	"fixed"	500	200	20	50	0	3	18	"low"	"high"	"carcass"	true	false	0.8	50	0	nil	10	0	"gun"	"large"	"LandGunFire_canister"	"carcass_trail"	"default_ball"
"howitzer_24_pounder_quicklime"	"artillery"	"quicklime"	"cannon_ball"	"projectile_cannonbal"	"quicklime_24lb"	"alpha"	"none"	1	"n"	"fixed"	500	200	20	40	0	3	24	nil	nil	nil	false	false	0.1	60	0	nil	0.1	0	"gun"	"large"	"LandGunFire_canister"	nil	"default_ball"
"howitzer_24_pounder_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_24lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	500	200	20	81	-50	10	18	"high"	"high"	"explode"	true	false	0.1	35	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_24_pounder_shell_percussive"	"artillery"	"percussive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_percussive_24lb"	"alpha"	"none"	1	"n"	"fixed"	500	200	20	81	-50	3	27	"low"	"high"	"explode"	false	false	0.11	45	0	nil	0.1	0	"boom"	"large"	"LandGunFire_canister"	nil	"default_ball"
"howitzer_24_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"fixed"	600	100	20	81	0	1	40	"high"	"low"	"impact"	true	false	1.5	30	0	nil	2.5	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_24_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_24lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	500	200	20	81	0	10	6	"low"	nil	"impact_light"	false	false	0.1	35	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"musket_ball"
"howitzer_32_pounder_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	70	nil	"fixed"	150	50	20	75	0	8	0.99	"effective_range_based"	nil	nil	false	false	0.1	35	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"howitzer_32_pounder_carcass"	"artillery"	"carcass"	"cannon_ball"	"projectile_cannonbal"	"carcass_32lb"	"alpha"	"shell_spin"	1	nil	"fixed"	500	200	20	50	0	2	18	"low"	"high"	"carcass"	true	false	0.8	50	0	nil	10	0	"gun"	"large"	"LandGunFire_howitzer"	"carcass_trail"	"default_ball"
"howitzer_32_pounder_quicklime"	"artillery"	"quicklime"	"cannon_ball"	"projectile_cannonbal"	"quicklime_32lb"	"alpha"	"none"	1	"n"	"fixed"	500	200	20	40	0	2	30	nil	nil	nil	false	false	0.1	60	0	nil	0.1	0	"gun"	"large"	"LandGunFire_canister"	nil	"default_ball"
"howitzer_32_pounder_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_32lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	500	200	20	81	-50	10	18	"high"	"medium"	"explode"	true	false	0.1	35	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_32_pounder_shell_percussive"	"artillery"	"percussive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_percussive_32lb"	"alpha"	"shell_spin"	1	"n"	"fixed"	500	200	20	81	-50	2	27	"low"	"medium"	"explode"	false	false	0.11	45	0	nil	0.1	0	"boom"	"large"	"LandGunFire_canister"	nil	"default_ball"
"howitzer_32_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"fixed"	600	100	20	81	25	0	48	"high"	"low"	"impact"	true	false	2	30	0	nil	3	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"
"howitzer_32_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_32lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	500	200	20	81	0	10	6	"low"	nil	"impact_light"	false	false	0.1	35	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"musket_ball"
"javelin"	"missile"	"javelin"	"javelin"	nil	nil	"none"	"none"	1	nil	"low"	35	0	44	20	0	0	0.99	nil	nil	nil	false	false	0.1	12	0	nil	0.1	0	"flight"	"small"	nil	nil	"musket_ball"
"mortar_4_carcass"	"artillery"	"carcass"	"cannon_ball"	"projectile_cannonbal"	"carcass_4_mortar"	"alpha"	"shell_spin"	1	"n"	"fixed"	400	120	45	70	-2	4	18	nil	"high"	nil	false	false	0.8	45	0	nil	10	0	"gun"	"large"	"LandGunFire_canister"	"carcass_trail"	"default_ball"
"mortar_4_quicklime"	"artillery"	"quicklime"	"cannon_ball"	"projectile_cannonbal"	"quicklime_4_mortar"	"alpha"	"none"	1	"n"	"fixed"	400	120	45	86	-2	4	18	nil	nil	nil	false	false	0.1	55	0	nil	0.1	0	"gun"	"large"	"LandGunFire_mortar"	"quicklime_trail"	"default_ball"
"mortar_4_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_shell"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	400	120	45	86	-2	4	18	"high"	"high"	"explode"	true	false	0.1	50	0	nil	0.2	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"
"mortar_4_shell_percussive"	"artillery"	"percussive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_percussive_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	400	120	45	86	-2	4	18	"high"	"high"	"explode"	false	false	0.1	60	0	nil	0.2	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"
"mortar_4_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	"mortar_4_ball"	"alpha"	"none"	1	nil	"fixed"	500	120	45	86	-6	4	42	"high"	"low"	"impact"	false	false	1.5	20	0	nil	3	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"
"mortar_4_shrapnel"	"artillery"	"shrapnel"	"cannon_ball"	"projectile_cannonbal"	"shrapnel_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	400	120	45	86	0	10	66	"high"	"high"	"explode"	false	false	0.1	50	0	nil	0.2	0	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"
"mortar_8_carcass"	"artillery"	"carcass"	"cannon_ball"	"projectile_cannonbal"	"carcass_8_mortar"	"alpha"	"shell_spin"	1	"n"	"fixed"	400	120	45	70	0	10	24	nil	"high"	nil	false	false	0.8	50	0	nil	10	0	"gun"	"large"	"LandGunFire_canister"	"carcass_trail"	"default_ball"
