version 2, schema technologies_tables
Tech_ID(string)	Building_IDRef(string)	Tech_Tree_Position(int)	Research_Points(int)	Icon_x0020_Name(string)	Land_prestige(int)	Naval_prestige(int)	Economic_prestige(int)	Enlightenment_prestige(int)	Early_Availability(boolean)	Late_Availability(boolean)	Researched_Message_Picture(string)	unknown3(int)
"industry_metal_machine_tools"	"ironmasters_works"	1	217	"industry_metal_machine_tools"	0	0	20	0	false	false	"steam.tga"	0
"industry_metal_measuring_tools"	"iron_workshops"	5	145	"industry_metal_measuring_tools"	0	0	0	0	false	false	"steam.tga"	0
"industry_metal_puddling_furnace"	"ironmasters_works"	2	176	"industry_metal_puddling_furnace"	0	0	10	0	false	false	"steam.tga"	0
"industry_metal_steam_engine"	"ironmasters_works"	4	553	"industry_metal_steam_engine"	0	0	50	0	false	false	"steam.tga"	1
"industry_textile_cotton_gin"	"water-powered_cloth_mill"	2	627	"military_army_airguns"	0	0	0	0	false	false	"placeholder.tga"	0
"industry_textile_flying_shuttle"	"weavers_cottages"	5	96	"industry_textile_flying_shuttle"	0	0	10	0	false	false	"steam.tga"	0
"industry_textile_mass_production"	"steam-powered_cloth_mill"	0	617	"industry_textile_mass_production"	0	0	30	0	false	false	"steam.tga"	0
"industry_textile_power_loom"	"water-powered_cloth_mill"	4	426	"industry_textile_power_loom"	0	0	10	0	false	false	"steam.tga"	1
"industry_textile_punch-card_loom"	"water-powered_cloth_mill"	1	238	"industry_textile_punch-card_loom"	0	0	10	0	false	false	"steam.tga"	0
"industry_textile_spinning_frame"	"weavers_cottages"	2	627	"military_army_airguns"	0	0	0	0	false	false	"placeholder.tga"	0
"industry_textile_spinning_jenny"	"weavers_cottages"	0	46	"industry_textile_spinning_jenny"	0	0	10	0	false	false	"steam.tga"	1
"industry_textile_spinning_mule"	"weavers_cottages"	4	116	"industry_textile_spinning_mule"	0	0	10	0	false	false	"steam.tga"	1
"military_army_advanced_skirmishing"	"army_board"	5	627	"military_army_airguns"	0	0	0	0	false	false	"drill-eu.tga"	0
"military_army_airguns"	"army_staff_college"	3	259	"military_army_airguns"	0	0	0	0	false	false	"drill-eu.tga"	0
"military_army_cadenced_marching"	"drill_school"	5	136	"military_army_cadenced_marching"	10	0	0	0	false	false	"drill-eu.tga"	0
"military_army_carbines"	"army_encampment"	2	37	"military_army_carbines"	0	0	0	0	false	false	"drill-eu.tga"	0
"military_army_diamond_formation"	"military_academy"	2	136	"military_army_diamond_formation"	0	0	0	0	false	true	"drill-eu.tga"	0
"military_army_european_doctrine"	"drill_school"	3	350	"military_army_european_doctrine"	25	0	0	0	false	true	"drill-eu.tga"	1
"military_army_fire_and_advance"	"military_academy"	7	242	"military_army_fire_and_advance"	0	0	0	0	false	true	"drill-eu.tga"	0
"military_army_fire_by_rank"	"drill_school"	7	176	"military_army_fire_by_rank"	0	0	0	0	false	true	"drill-eu.tga"	1
"military_army_light_infantry_doctrine"	"army_board"	0	342	"military_army_light_infantry_doctrine"	0	0	0	0	false	true	"drill-eu.tga"	1
"military_army_machined_rifling"	"army_staff_college"	0	478	"military_army_machined_rifling"	10	0	0	0	false	false	"drill-eu.tga"	1
"military_army_military_syllabus"	"army_barracks"	4	68	"military_army_military_syllabus"	10	0	0	0	false	false	"drill-eu.tga"	1
"military_army_new_model_bayonet_drill"	"military_academy"	0	197	"military_army_new_model_bayonet_drill"	10	0	0	0	false	true	"drill-eu.tga"	1
"military_army_percussion_cap"	"army_staff_college"	7	617	"military_army_percussion_cap"	10	0	0	0	false	true	"drill-eu.tga"	0
"military_army_platoon_firing"	"army_board"	4	384	"military_army_platoon_firing"	0	0	0	0	false	true	"drill-eu.tga"	1
"military_army_plug_bayonet"	"army_encampment"	0	37	"military_army_plug_bayonet"	0	0	0	0	true	false	"drill-eu.tga"	0
"military_army_reoganised_procurement"	"military_academy"	4	259	"military_army_reoganised_procurement"	0	0	0	0	false	false	"drill-eu.tga"	1
"military_army_ring_bayonet"	"army_barracks"	0	56	"military_army_ring_bayonet"	0	0	0	0	false	false	"drill-eu.tga"	1
"military_army_screw_breach"	"army_staff_college"	4	617	"military_army_screw_breach"	10	0	0	0	false	false	"drill-eu.tga"	0
"military_army_shortened_carbines"	"army_board"	2	281	"military_army_shortened_carbines"	0	0	0	0	false	true	"drill-eu.tga"	0
"military_army_socket_bayonet"	"drill_school"	4	176	"military_army_socket_bayonet"	10	0	0	0	false	true	"drill-eu.tga"	1
"military_army_square_formation"	"army_barracks"	1	37	"military_army_square_formation"	10	0	0	0	true	true	"drill-eu.tga"	1
"military_army_wedge_formation"	"drill_school"	2	96	"military_army_wedge_formation"	0	0	0	0	true	true	"drill-eu.tga"	0
"military_navy_carronades"	"naval_board"	5	259	"military_navy_carronades"	0	5	0	0	false	false	"fleet1.tga"	0
"military_navy_copper_bottoms"	"naval_board"	6	136	"military_navy_copper_bottoms"	0	0	0	0	false	false	"fleet1.tga"	0
"military_navy_flintlock_cannon"	"admiralty"	5	60	"military_navy_flintlock_cannon"	0	5	0	0	false	true	"fleet1.tga"	0
"military_navy_improved_coppering"	"naval_college"	2	259	"military_navy_improved_coppering"	0	0	0	0	false	true	"fleet1.tga"	0
"military_navy_improved_grape_shot"	"naval_board"	1	76	"military_navy_improved_grape_shot"	0	0	0	0	false	true	"fleet1.tga"	0
"military_navy_lime_juice_and_sauerkraut"	"naval_board"	7	156	"military_navy_lime_juice_and_sauerkraut"	0	10	0	0	false	false	"fleet1.tga"	0
"military_navy_longitude_watch"	"naval_board"	3	97	"military_navy_longitude_watch"	0	10	0	0	false	false	"fleet1.tga"	0
"military_navy_mortar_ship_design"	"admiralty"	0	371	"military_army_airguns"	0	0	0	0	false	false	"placeholder.tga"	0
"military_navy_naval_architecture_advances"	"naval_board"	0	236	"military_navy_naval_architecture_advances"	0	10	0	0	false	false	"fleet1.tga"	1
"military_navy_naval_shore_facilities"	"admiralty"	4	110	"military_navy_naval_shore_facilities"	0	0	0	0	false	false	"fleet1.tga"	1
"military_navy_pocket_chronometer"	"naval_college"	4	371	"military_army_airguns"	0	10	0	0	false	false	"placeholder.tga"	0
"military_navy_preserved_foods"	"naval_college"	7	447	"military_navy_preserved_foods"	0	10	0	0	false	false	"fleet1.tga"	0
"military_navy_reformed_naval_administration"	"naval_board"	4	320	"military_navy_reformed_naval_administration"	0	10	0	0	false	false	"fleet1.tga"	1
"military_navy_rifled_cannons"	"naval_college"	1	511	"military_navy_rifled_cannons"	0	5	0	0	false	true	"fleet1.tga"	0
"military_navy_seasoning"	"admiralty"	6	60	"military_navy_seasoning"	0	5	0	0	false	false	"fleet1.tga"	0
"military_navy_sextant"	"admiralty"	7	52	"military_navy_sextant"	0	10	0	0	false	false	"fleet1.tga"	0
"military_navy_sheet_lead_cartridges"	"naval_college"	5	617	"military_navy_sheet_lead_cartridges"	0	5	0	0	false	true	"fleet1.tga"	0
"military_navy_top_gallants"	"naval_college"	6	617	"military_navy_top_gallants"	0	20	0	0	false	true	"fleet1.tga"	0
"military_ordnance_canister_shot"	"cannon_foundry"	4	41	"military_ordnance_canister_shot"	0	0	0	0	true	true	"arsenal-2.tga"	1
"military_ordnance_carcass_shot"	"great_arsenal"	5	197	"military_ordnance_carcass_shot"	0	0	0	0	true	true	"arsenal-2.tga"	0
"military_ordnance_explosive_rockets"	"gunnery_school"	2	300	"military_ordnance_explosive_rockets"	0	0	0	0	false	true	"arsenal-2.tga"	0
"military_ordnance_explosive_shells"	"ordnance_factory"	4	140	"military_ordnance_explosive_shells"	0	0	0	0	true	true	"arsenal-2.tga"	1
"military_ordnance_improved_grenades"	"cannon_foundry"	5	61	"military_ordnance_improved_grenades"	0	0	0	0	false	true	"arsenal-2.tga"	0
"military_ordnance_percussion_shells"	"engineer_school"	5	617	"military_ordnance_percussion_shells"	0	0	0	0	false	true	"arsenal-2.tga"	0
"military_ordnance_quicklime_shells"	"ordnance_board"	0	405	"military_ordnance_quicklime_shells"	0	0	0	0	false	true	"arsenal-2.tga"	0
"military_ordnance_shrapnel_shot"	"engineer_school"	1	511	"military_ordnance_shrapnel_shot"	0	0	0	0	false	true	"arsenal-2.tga"	0
"industry_agriculture_natives_culture_call_of_the_wild"	"tribal_playable_burial_ground"	4	40	"call_of_the_wild"	0	0	0	0	false	false	"nat_burial_small.tga"	0
"industry_agriculture_natives_culture_dreamwalking"	"tribal_playable_shamanic_gateway"	5	100	"dreamwalking"	0	0	0	0	false	false	"nat_burial_small.tga"	0
"industry_agriculture_natives_culture_riding_the_winds"	"tribal_playable_holy_ground"	4	60	"riding_the_winds"	0	0	0	0	false	false	"nat_burial_small.tga"	0
"industry_agriculture_natives_culture_spirit_medicine"	"tribal_playable_spiritual_circle"	4	80	"spirit_medicine"	0	0	0	0	false	false	"nat_burial_small.tga"	0
"industry_agriculture_natives_culture_spirit_of_the_forest"	"tribal_playable_ancestral_ground"	4	45	"spirit_of_the_forest"	0	0	0	0	false	false	"nat_burial_small.tga"	0
"industry_metal_natives_military_ambush_tactics"	"tribal_playable_warrior_lodge"	3	40	"ambush_tactics"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_metal_natives_military_cannon_casting"	"tribal_playable_practice_fields"	4	110	"cannon_casting"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_metal_natives_military_gun_dealing"	"tribal_playable_horse_breeder"	4	50	"gun_dealing"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_metal_natives_military_improved_ironworking"	"tribal_playable_practice_fields"	2	50	"improved_iron_working"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_metal_natives_military_ironworking"	"tribal_playable_hunting_grounds"	4	20	"ironworking"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_metal_natives_military_powder_making"	"tribal_playable_warrior_lodge"	4	90	"powder_manufacture"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_metal_natives_military_sharp_shooting"	"tribal_playable_horse_breeder"	5	60	"sharpshooting"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_metal_natives_military_winter_clothes"	"tribal_playable_drill_grounds"	4	20	"winter_clothes"	0	0	0	0	false	false	"nat_technology.tga"	0
"industry_textile_natives_government_hunting_techniques"	"tribal_playable_council_of_elders"	4	30	"hunting_techniques"	0	0	0	0	false	false	"nat_message.tga"	0
"industry_textile_natives_government_improved_farming"	"tribal_playable_chiefs_lodge"	4	45	"improved_farming"	0	0	0	0	false	false	"nat_message.tga"	0
"industry_textile_natives_government_improved_fishing"	"tribal_playable_council_of_elders"	1	33	"improved_fishing"	0	0	0	0	false	false	"nat_message.tga"	0
"industry_textile_natives_government_money_economy"	"tribal_playable_confederation_of_tribes"	4	80	"money_economy"	0	0	0	0	false	false	"nat_message.tga"	0
"industry_textile_natives_government_written_language"	"tribal_playable_high_chiefs_lodge"	4	75	"written_language"	0	0	0	0	false	false	"nat_message.tga"	0
