version 1, schema campaign_map_slots_tables
Campaign_Map_Slot_ID(string)	Region(string)	Slot(string)	Unknown1(blob:5)
"india_highlands:rajpootana:west"	"rajpootana"	"india_highlands"	"\x00\x00\x00\x00\x00"
"iron:algiers:zaccar"	"algiers"	"iron"	"\x00\x00\x00\x00\x00"
"iron:alsace:metz"	"alsace"	"iron"	"\x00\x00\x00\x00\x00"
"iron:anatolia:denizli"	"anatolia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:armenia:oltu"	"armenia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:austria:central"	"austria"	"iron"	"\x00\x00\x00\x00\x00"
"iron:bavaria:east"	"bavaria"	"iron"	"\x00\x00\x00\x00\x00"
"iron:berar:east"	"berar"	"iron"	"\x00\x00\x00\x00\x00"
"iron:bohemia:ostrau"	"bohemia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:bosnia:sarajevo"	"bosnia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:bulgaria:southwest"	"bulgaria"	"iron"	"\x00\x00\x00\x00\x00"
"iron:cherokee_territory:northeast"	"cherokee_territory"	"iron"	"\x00\x00\x00\x00\x00"
"iron:crimea:rog"	"crimea"	"iron"	"\x00\x00\x00\x00\x00"
"iron:england:near_birmingham"	"england"	"iron"	"\x00\x00\x00\x00\x00"
"iron:finland:central"	"finland"	"iron"	"\x00\x00\x00\x00\x00"
"iron:france:massifcentral"	"france"	"iron"	"\x00\x00\x00\x00\x00"
"iron:karelia:north"	"karelia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:maine:north"	"maine"	"iron"	"\x00\x00\x00\x00\x00"
"iron:moldavia:carpatians"	"moldavia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:morocco:imini"	"morocco"	"iron"	"\x00\x00\x00\x00\x00"
"iron:muscovy:bryansk"	"muscovy"	"iron"	"\x00\x00\x00\x00\x00"
"iron:natives_indiana_territory:green_bay"	"natives_indiana_territory"	"iron"	"\x00\x00\x00\x00\x00"
"iron:new_france:south"	"new_france"	"iron"	"\x00\x00\x00\x00\x00"
"iron:new_york:north"	"new_york"	"iron"	"\x00\x00\x00\x00\x00"
"iron:norway:mo_i_randa"	"norway"	"iron"	"\x00\x00\x00\x00\x00"
"iron:norway:north"	"norway"	"iron"	"\x00\x00\x00\x00\x00"
"iron:orissa:north"	"orissa"	"iron"	"\x00\x00\x00\x00\x00"
"iron:pennsylvania:west"	"pennsylvania"	"iron"	"\x00\x00\x00\x00\x00"
"iron:persia:bafq"	"persia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:punjab:west"	"punjab"	"iron"	"\x00\x00\x00\x00\x00"
"iron:rajpootana:south"	"rajpootana"	"iron"	"\x00\x00\x00\x00\x00"
"iron:rhineland:eisenach"	"rhineland"	"iron"	"\x00\x00\x00\x00\x00"
"iron:saxony:south"	"saxony"	"iron"	"\x00\x00\x00\x00\x00"
"iron:spain:cantabria"	"spain"	"iron"	"\x00\x00\x00\x00\x00"
"iron:sweden:fagersta"	"sweden"	"iron"	"\x00\x00\x00\x00\x00"
"iron:syria:cyprus"	"syria"	"iron"	"\x00\x00\x00\x00\x00"
"iron:tatariya:donezk"	"tatariya"	"iron"	"\x00\x00\x00\x00\x00"
"iron:transylvania:south"	"transylvania"	"iron"	"\x00\x00\x00\x00\x00"
"iron:tunis:djerissa"	"tunis"	"iron"	"\x00\x00\x00\x00\x00"
"iron:ukraine:belgorod"	"ukraine"	"iron"	"\x00\x00\x00\x00\x00"
"rice:ahmadnagar:coastnorth"	"ahmadnagar"	"rice"	"\x00\x00\x00\x00\x00"
"rice:bengal:centralnorth"	"bengal"	"rice"	"\x00\x00\x00\x00\x00"
"rice:bengal:northwest"	"bengal"	"rice"	"\x00\x00\x00\x00\x00"
"rice:berar:raipur"	"berar"	"rice"	"\x00\x00\x00\x00\x00"
"rice:bijapur:coastnorth"	"bijapur"	"rice"	"\x00\x00\x00\x00\x00"
"rice:carnatica:coastnorth"	"carnatica"	"rice"	"\x00\x00\x00\x00\x00"
"rice:ceylon:northwest"	"ceylon"	"rice"	"\x00\x00\x00\x00\x00"
"rice:hindustan:agra"	"hindustan"	"rice"	"\x00\x00\x00\x00\x00"
"rice:hindustan:east"	"hindustan"	"rice"	"\x00\x00\x00\x00\x00"
"rice:hyderabad:centralnorth"	"hyderabad"	"rice"	"\x00\x00\x00\x00\x00"
"rice:mysore:coastsouth"	"mysore"	"rice"	"\x00\x00\x00\x00\x00"
"rice:orissa:coastsouth"	"orissa"	"rice"	"\x00\x00\x00\x00\x00"
"rice:orissa:east"	"orissa"	"rice"	"\x00\x00\x00\x00\x00"
"rice:punjab:central2"	"punjab"	"rice"	"\x00\x00\x00\x00\x00"
"rice:sindh:south"	"sindh"	"rice"	"\x00\x00\x00\x00\x00"
"sheep:afghanistan:north"	"afghanistan"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:afghanistan:southeast"	"afghanistan"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:algiers:tizi-ouzou"	"algiers"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:anatolia:central_north"	"anatolia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:armenia:agri"	"armenia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:austria:tyrol"	"austria"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:azerbaijan:senjan"	"azerbaijan"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:baluchistan:south"	"baluchistan"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:bashkira:orenburg"	"bashkira"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:belarus:west"	"belarus"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:bohemia:brunn"	"bohemia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:bulgaria:central"	"bulgaria"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:chechenya-dagestan:inland"	"chechenya-dagestan"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:croatia:zagreb"	"croatia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:denmark:north"	"denmark"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:don_voisko:krasnodar"	"don_voisko"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:england:cornwall"	"england"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:flanders:east"	"flanders"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:france:bretagne"	"france"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:georgia:mingrelia"	"georgia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:greece:west"	"greece"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:hungary:balaton"	"hungary"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:iceland:skogar"	"iceland"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:ireland:dublin"	"ireland"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:kashmir:east"	"kashmir"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:kashmir:jammu"	"kashmir"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:morea:southeast"	"morea"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:morocco:meknes"	"morocco"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:muscovy:velikiye_luki"	"muscovy"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:naples:foggia"	"naples"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:netherlands:south"	"netherlands"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:new_england:north"	"new_england"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:norway:south"	"norway"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:pennsylvania:scranton"	"pennsylvania"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:persia:yazd"	"persia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:poland:lodz"	"poland"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:portugal:alto_alentejo"	"portugal"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:rumelia:kavala"	"rumelia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:scotland:highlands_east"	"scotland"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:serbia:central"	"serbia"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:tatariya:rasskasovo"	"tatariya"	"sheep"	"\x00\x00\x00\x00\x00"
"sheep:west_pommerania:berlin"	"west_pommerania"	"sheep"	"\x00\x00\x00\x00\x00"
"silver:acadia:central"	"acadia"	"silver"	"\x00\x00\x00\x00\x00"
"silver:guatemala:central"	"guatemala"	"silver"	"\x00\x00\x00\x00\x00"
"silver:natives_chihuahua:south"	"natives_chihuahua"	"silver"	"\x00\x00\x00\x00\x00"
"silver:new_grenada:medellin"	"new_grenada"	"silver"	"\x00\x00\x00\x00\x00"
"silver:new_spain:central_east"	"new_spain"	"silver"	"\x00\x00\x00\x00\x00"
"silver:new_spain:northwest"	"new_spain"	"silver"	"\x00\x00\x00\x00\x00"
"silver:sardinia:iglesias"	"sardinia"	"silver"	"\x00\x00\x00\x00\x00"
"silver:serbia:south"	"serbia"	"silver"	"\x00\x00\x00\x00\x00"
"silver:sweden:kristineberg"	"sweden"	"silver"	"\x00\x00\x00\x00\x00"
"southern_usa:carolinas:coast"	"carolinas"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:cherokee_territory:south"	"cherokee_territory"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:florida:north"	"florida"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:georgia_usa:central"	"georgia_usa"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:kaintuck_territory:central"	"kaintuck_territory"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:lower_louisiana:riversouth"	"lower_louisiana"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:natives_apache_territory:big_bend"	"natives_apache_territory"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:natives_chickasaw_territory:south"	"natives_chickasaw_territory"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:natives_u_louisiana:ohio"	"natives_u_louisiana"	"corn"	"\x00\x00\x00\x00\x00"
"southern_usa:natives_wichita_territory:main"	"natives_wichita_territory"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:new_mexico:south"	"new_mexico"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:new_spain:rio_grande"	"new_spain"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:tejas:west"	"tejas"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:upper_louisiana:ohio"	"upper_louisiana"	"corn"	"\x00\x00\x00\x00\x00"
"southern_usa:virginia:central"	"virginia"	"southern_usa"	"\x00\x00\x00\x00\x00"
"southern_usa:virginia:north"	"virginia"	"corn"	"\x00\x00\x00\x00\x00"
"timber:arkhangelsk:south_central"	"arkhangelsk"	"timber"	"\x00\x00\x00\x00\x00"
"timber:arkhangelsk:west"	"arkhangelsk"	"timber"	"\x00\x00\x00\x00\x00"
"timber:courland:central"	"courland"	"timber"	"\x00\x00\x00\x00\x00"
"timber:dutch_guyana:east"	"dutch_guyana"	"timber"	"\x00\x00\x00\x00\x00"
"timber:finland:oulu"	"finland"	"timber"	"\x00\x00\x00\x00\x00"
"timber:galicia:carpatians"	"galicia"	"timber"	"\x00\x00\x00\x00\x00"
"timber:ingria:st_petersburg"	"ingria"	"timber"	"\x00\x00\x00\x00\x00"
"timber:karelia:east"	"karelia"	"timber"	"\x00\x00\x00\x00\x00"
"timber:muscovy:borovichi"	"muscovy"	"timber"	"\x00\x00\x00\x00\x00"
"timber:new_france:east"	"new_france"	"timber"	"\x00\x00\x00\x00\x00"
"timber:newfoundland:north"	"newfoundland"	"timber"	"\x00\x00\x00\x00\x00"
"timber:norway:oslo"	"norway"	"timber"	"\x00\x00\x00\x00\x00"
"timber:norway:trondheim"	"norway"	"timber"	"\x00\x00\x00\x00\x00"
"timber:sweden:karlstad"	"sweden"	"timber"	"\x00\x00\x00\x00\x00"
"timber:sweden:sundsvall"	"sweden"	"timber"	"\x00\x00\x00\x00\x00"
"tropical_humid:bengal:southeast"	"bengal"	"tropical_humid"	"\x00\x00\x00\x00\x00"
"tropical_humid:carnatica:south"	"carnatica"	"tropical_humid"	"\x00\x00\x00\x00\x00"
"tropical_humid:dutch_guyana:coast"	"dutch_guyana"	"tropical_humid"	"\x00\x00\x00\x00\x00"
"tropical_humid:french_guyana:north"	"french_guyana"	"tropical_humid"	"\x00\x00\x00\x00\x00"
"tropical_humid:hindustan:central"	"hindustan"	"tropical_humid"	"\x00\x00\x00\x00\x00"
"wheat:anatolia:adana"	"anatolia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:astrakhan:volga"	"astrakhan"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:austria:north"	"austria"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:azerbaijan:salyan"	"azerbaijan"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:bashkira:togliatti"	"bashkira"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:belarus:centraleast"	"belarus"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:bosnia:northwest"	"bosnia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:bulgaria:sofia"	"bulgaria"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:courland:east"	"courland"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:crimea:bratslav"	"crimea"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:crimea:volga_mouth"	"crimea"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:denmark:south"	"denmark"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:don_voisko:kanev"	"don_voisko"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egypt:delta"	"egypt"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:england:east_anglia"	"england"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:england:hull"	"england"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:estonia_and_livonia:south"	"estonia_and_livonia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:france:loire"	"france"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:galicia:east"	"galicia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:gujarat:south"	"gujarat"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:hindustan:west"	"hindustan"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:hungary:central"	"hungary"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:hyderabad:central"	"hyderabad"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:ingria:central"	"ingria"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:lithuania:daugpils"	"lithuania"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:lithuania:kaunas"	"lithuania"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:malwa:north"	"malwa"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:mesopotamia:baghdad"	"mesopotamia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:moldavia:southeast"	"moldavia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:morocco:guercif"	"morocco"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:muscovy:saransk"	"muscovy"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:muscovy:tula"	"muscovy"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:naples:ragusa"	"naples"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:netherlands:north"	"netherlands"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:newfoundland:coastsouth"	"newfoundland"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:persia:south"	"persia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:poland:cracow"	"poland"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:prussia:southwest"	"prussia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:punjab:south"	"punjab"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:rajpootana:north"	"rajpootana"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:rhineland:north"	"rhineland"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:rumelia:north"	"rumelia"	"wheat"	"\x00\x00\x00\x00\x00"
