version 1, schema effect_bonus_value_basic_junction_tables, guid 9a755d6b-966e-44f7-ac25-77f7ae89b7a0
Effect_IDRef(string)	Bonus(string)
"bos_agent_mod_all_upkeep"	"upkeep_cost_mod_land_all"
"bos_agent_mod_detection_range"	"passive_detection"
"bos_agent_mod_enchantability"	"mod_chance_of_being_seduced"
"bos_agent_mod_happiness_global"	"gentleman_happiness_bonus"
"bos_agent_mod_naval_support_cooldown"	"artillery_support_cooldown_mod"
"bos_agent_mod_repression_global"	"repression_ministers"
"bos_agent_mod_sabotage_building_damage"	"subterfuge_sabotage_building_modifier"
"bos_agent_repression_local"	"repression_ministers"
"bos_agent_shinobi_stealth_mod"	"stealth_mod"
"bos_agent_single_combat_survival_chance"	"security_versus_assassination"
"bos_agent_veteran_mod_ammunition"	"ammo_mod"
"bos_ancillary_accuracy_mod_all"	"unit_stat_bonus_accuracy_mod"
"bos_ancillary_attrition_mod"	"attrition_increase"
"bos_ancillary_construction_cost_mod_all"	"building_cost_mod"
"bos_ancillary_melee_defence_mod_all"	"melee_defence_mod"
"bos_ancillary_movement_point_mod_ships"	"mod_ship_movement_campaign"
"bos_ancillary_reinforcement_range_mod"	"reinforcement_distance"
"bos_ancillary_replenishment_mod"	"replenishment_percentage_bonus"
"bos_ancillary_research_mod_both"	"research_points_enlightenment"
"bos_ancillary_research_mod_both"	"research_points_military"
"bos_building_construction_time_mod_all"	"mod_build_time"
"bos_building_cost_mod_local"	"building_cost_mod"
"bos_clan_trait_choshu_loot_mod"	"looting_increase"
"bos_clan_trait_jozai_harassment"	"subterfuge_sabotage_army_casualties_modifier"
"bos_clan_trait_jozai_replenishment"	"unrestricted_replenishment_bonus"
"bos_clan_trait_obama_repression"	"repression_gov_type"
"bos_clan_trait_obama_tax_mod"	"tax_bonus_building"
"bos_clan_trait_satsuma_admin"	"admin_cost_percentage_reduction"
"bos_clan_trait_sendai_allegiance_tolerance_mod"	"happiness_religious_unrest_added"
"bos_clan_trait_sendai_battle_time_mod"	"siege_time_reduction_for_attacker"
"bos_clan_trait_sendai_diplomacy_mod"	"diplomacy_bonus_faction_leader"
"bos_clan_trait_sendai_resistance_to_occupation_mod"	"resistance_unhappiness_limit_added"
"bos_clan_trait_tosa_diplomacy"	"diplomacy_bonus_faction_leader"
"bos_clan_trait_tosa_naval_bombardments"	"campaign_map_bombardment_radius_increase"
"bos_clan_trait_tosa_resistance_to_occupation_mod"	"resistance_unhappiness_limit_added"
"bos_clan_trait_tsu_conversion_mod"	"state_religion_conversion_bonus"
"bos_coastal_defence_damage_to_disable"	"coastal_defence_port_min_health"
"bos_coastal_defence_quality_and_availability"	"coastal_defence_quality"
"bos_coastal_defence_zone_range"	"coastal_defence_zone_range"
"bos_enable_night_battles_naval"	"can_fight_night_battles_naval"
"bos_enable_night_battles"	"can_fight_night_battles"
"bos_escape_chance_action_mod"	"escape_chance_mod"
"bos_escape_chance_mod"	"escape_chance_mod_for_character_acted_on"
"bos_event_diplomacy"	"diplomacy_bonus_faction_leader"
"bos_event_gdp_mod_all_global"	"gdp_mod_all"
"bos_event_gdp_mod_all_local"	"gdp_mod_all"
"bos_event_gdp_mod_population_global"	"gdp_mod_all"
"bos_event_gdp_mod_population_local"	"gdp_mod_all"
"bos_event_growth_all_global"	"tw_growth_events"
"bos_event_growth_all_local"	"tw_growth_events"
"bos_event_happiness_global"	"happiness_events_factional"
"bos_event_happiness_local"	"happiness_events_regional"
"bos_event_happiness_samurai_global"	"boshin_global_modernisation_happiness"
"bos_event_morale_mod_army"	"morale_land"
"bos_event_morale_mod_navy"	"morale_naval"
"bos_event_recruitment_cost_mod_ships"	"recruitment_mod_cost_naval_all"
"bos_event_research_mod_both"	"research_points_enlightenment"
"bos_event_research_mod_both"	"research_points_military"
"bos_event_research_mod_civil"	"research_points_enlightenment"
"bos_event_research_mod_military"	"research_points_military"
"bos_event_unhappiness_local"	"happiness_events_regional"
"bos_gdp_commerce"	"gdp_industry"
"bos_gdp_farm"	"gdp_farm"
"bos_gdp_industry"	"gdp_industry"
"bos_gdp_mine"	"gdp_mine"
"bos_gdp_port"	"gdp_port_trade"
"bos_general_army_charge_bonus"	"charge_bonus_for_land_units"
"bos_general_attribute_command_all"	"character_situation_land_ambush"
"bos_general_attribute_command_all"	"character_situation_land_amphibious_attack"
"bos_general_attribute_command_all"	"character_situation_land_attack"
"bos_general_attribute_command_all"	"character_situation_land_defence"
"bos_general_attribute_command_all"	"character_situation_land_siege_attack"
"bos_general_attribute_command_all"	"character_situation_land_siege_defence"
"bos_general_attribute_command_all"	"character_situation_sea_attack"
"bos_general_attribute_command_all"	"character_situation_sea_defence"
"bos_general_attribute_command_attack_all"	"character_situation_land_amphibious_attack"
"bos_general_attribute_command_attack_all"	"character_situation_land_attack"
"bos_general_attribute_command_attack_all"	"character_situation_land_siege_attack"
"bos_general_attribute_command_attack_all"	"character_situation_sea_attack"
"bos_general_attribute_command_defend_all"	"character_situation_land_defence"
"bos_general_attribute_command_defend_all"	"character_situation_land_siege_defence"
"bos_general_attribute_command_defend_all"	"character_situation_sea_defence"
"bos_general_attribute_command_land_ambush"	"character_situation_land_ambush"
"bos_general_honourable"	"honour"
"bos_general_honourable"	"loyalty"
"bos_general_mod_all_upkeep"	"upkeep_cost_mod_land_all"
"bos_general_mod_all_upkeep"	"upkeep_cost_mod_naval_all"
"bos_general_mod_ammunition"	"ammo_mod"
"bos_general_mod_bodyguard_size"	"general_bodyguard_size_mod"
"bos_general_mod_bombardment_range"	"campaign_map_bombardment_radius_increase"
"bos_general_mod_flagship_health"	"ship_hit_point_mod"
"bos_general_mod_land_unit_morale"	"morale_land"
"bos_general_mod_navy_armour"	"ship_hit_point_mod"
"bos_general_mod_navy_broadsides"	"ship_broadside_strength_mod"
"bos_general_mod_ship_morale"	"morale_naval"
"bos_general_rally_mod"	"rally_power"
"bos_general_resistance_bonus"	"region_resistance_modifier"
"bos_gentlemen_happiness_bonus"	"gentleman_happiness_bonus"
"bos_happiness_character_modernisation"	"gentleman_happiness_bonus"
"bos_happy_culture_local"	"happiness_building"
"bos_ishinshishi_mod_conversion_global"	"state_religion_conversion_bonus_minister"
"bos_ishinshishi_unhappiness_local"	"enemy_gentleman_happiness_bonus"
"bos_land_recruitment_points"	"recruitment_points"
"bos_line_of_sight_mod"	"line_of_sight_extension"
"bos_looting_mod"	"looting_increase"
"bos_minister_construction_cost_global"	"building_cost_mod"
"bos_minister_conversion_global"	"state_religion_conversion_bonus_minister"
"bos_minister_growth_global"	"tw_growth_government"
"bos_minister_morale_local"	"morale_land"
"bos_minister_morale_local"	"morale_naval"
"bos_minister_recruitment_cost_global"	"recruitment_mod_cost_land_all"
"bos_minister_recruitment_cost_global"	"recruitment_mod_cost_naval_all"
"bos_minister_replenishment_global"	"replenishment_percentage_bonus"
"bos_minister_repression_local"	"repression_ministers"
"bos_minister_tax_local"	"tax_bonus_minister"
"bos_minister_upkeep_global"	"upkeep_cost_mod_land_all"
"bos_minister_upkeep_global"	"upkeep_cost_mod_naval_all"
"bos_mod_charge_all_local"	"unit_stat_bonus_charge_bonus_mod"
"bos_mod_recruitment_cost_land_all_local"	"recruitment_mod_cost_land_all"
"bos_mod_recruitment_cost_land_all_local"	"recruitment_mod_cost_naval_all"
"bos_mod_unit_accuracy_all_local"	"unit_stat_bonus_accuracy_mod"
"bos_mod_unit_morale_all_local"	"unit_stat_bonus_morale_mod"
"bos_mod_unit_replenishment_all_local"	"replenishment_percentage_bonus"
"bos_mod_unit_replenishment_local"	"replenishment_percentage_bonus"
"bos_modernisation_happiness_mod"	"boshin_local_modernisation_happiness"
"bos_modernisation"	"boshin_modernisation"
"bos_movement_points_all_local"	"mod_land_movement_campaign"
"bos_movement_points_all_local"	"mod_ship_movement_campaign"
"bos_movement_points_character"	"mod_land_movement_campaign"
"bos_movement_points_character"	"mod_ship_movement_campaign"
"bos_movement_points_character"	"ninja_action_point_bonus"
"bos_naval_recruitment_points"	"naval_recruitment_points"
"bos_naval_support_cooldown_mod"	"artillery_support_cooldown_mod"
"bos_naval_support_enable_projectile_1"	"artillery_support_enable_projectile_1"
"bos_naval_support_enable_projectile_2"	"artillery_support_enable_projectile_2"
"bos_naval_support_enable_projectile_3"	"artillery_support_enable_projectile_3"
"bos_naval_support_hits_mod"	"artillery_support_shells_mod"
"bos_naval_support_impact_mod"	"artillery_support_damage_mod"
"bos_naval_support_impact_window"	"artillery_support_arrival_window_mod"
"bos_naval_support_radius_mod"	"artillery_support_radius_mod"
"bos_naval_support_time_to_hit_mod"	"artillery_support_impact_time_mod"
"bos_naval_support_uses_mod"	"artillery_support_uses_mod"
"bos_personal_security"	"security_versus_assassination"
"bos_railways"	"railway_building"
"bos_recruitment_cost_mod_category_naval_copper"	"recruitment_mod_cost_naval_all"
"bos_recruitment_time_mod_category_naval_copper"	"recruit_time_mod_naval"
"bos_religion_conversion_no_non_state"	"no_conversion_non_state"
"bos_repression_building_local"	"repression_gov_building"
"bos_resistance_to_bombardment"	"boshin_resistance_to_bombardment"
"bos_shinobi_mod_sabotage_army_casualties"	"subterfuge_sabotage_army_casualties_modifier"
"bos_shinsengumi_mod_conversion_global"	"state_religion_conversion_bonus_minister"
"bos_tax_bonus_building"	"tax_bonus_building"
"bos_tech_admin_cost_mod"	"admin_cost_percentage_reduction"
"bos_tech_building_cost_mod"	"building_cost_mod"
"bos_tech_clan_daimyo_honour_mod"	"honour"
"bos_tech_clan_income_tax_mod"	"tax_bonus_technology"
"bos_tech_clan_income_trade_mod"	"trade_income_mod"
"bos_tech_conversion_state_religion"	"state_religion_conversion_bonus"
"bos_tech_general_loyalty_bonus"	"loyalty"
"bos_tech_modernisation_positive"	"boshin_modernisation"
"bos_tech_regional_happiness_mod"	"happiness_active_lower_gov_type"
"bos_tech_regional_repression_mod"	"repression_gov_type"
"bos_tech_regional_town_wealth_mod"	"tw_growth_technologies"
"bos_tech_unit_land_charge_bonus_mod"	"charge_bonus_for_land_units"
"bos_tech_unit_land_cost_mod"	"recruitment_mod_cost_land_all"
"bos_tech_unit_land_cost_mod"	"recruitment_mod_cost_naval_all"
"bos_tech_unit_land_def_mod"	"melee_defence_mod"
"bos_tech_unit_land_morale_mod"	"morale_land"
"bos_tech_unit_land_movement_mod"	"mod_land_movement_campaign"
"bos_tech_unit_naval_movement_mod"	"mod_ship_movement_campaign"
"bos_tech_unit_replenish_mod"	"replenishment_percentage_bonus"
"bos_tech_unit_ship_battle_speed_mod"	"mod_ship_movement_battle"
"bos_tech_unit_upkeep_mod"	"upkeep_cost_mod_land_all"
"bos_tech_unit_upkeep_mod"	"upkeep_cost_mod_naval_all"
"bos_trade_income_mod"	"trade_income_mod"
"bos_trade_routes_mod_max_sea"	"trade_route_cap_sea"
"bos_tw_growth_commerce"	"tw_growth_industry"
"bos_tw_growth_industry"	"tw_growth_industry"
"bos_unit_naval_battle_movement_mod"	"mod_ship_movement_battle"
"bos_unit_ship_cost_mod_local"	"recruitment_mod_cost_naval_all"
"bos_veteran_mod_harass_army_casualties"	"subterfuge_sabotage_army_casualties_modifier"
"bos_veteran_mod_marksmanship_all"	"unit_stat_bonus_accuracy_mod"
"bos_veteran_mod_melee_all"	"melee_attack_mod"
"bos_western_port_hidden"	"trade_foreign_powers"
"building_construction_time_mod_all_global"	"mod_build_time"
"building_construction_time_mod_all"	"mod_build_time"
"building_cost_mod_all_global"	"building_cost_mod"
"building_cost_mod_all"	"building_cost_mod"
"building_cost_mod_local"	"building_cost_mod"
"campaign_map_stealth"	"campaign_map_stealth"
"clan_trait_date_charge_bonus"	"charge_bonus_for_land_units"
"clan_trait_otomo_improved_conversion"	"state_religion_conversion_bonus"
"clan_trait_shimazu_increased_loyalty"	"loyalty"
"clan_trait_tokugawa_diplomacy_bonus"	"diplomacy_bonus_faction_leader"
"clan_trait_tokugawa_superior_metsuke"	"trade_income_mod"
"conversion_state_religion_local"	"state_religion_conversion_bonus"
"conversion_state_religion"	"state_religion_conversion_bonus"
"diplomacy_bonus_enlightenment"	"diplomacy_bonus_enlightenment"
"diplomacy_bonus_faction_leader"	"diplomacy_bonus_faction_leader"
"diplomatic_bonus_mod"	"diplomatic_negotiation"
"diplomatic_bonus"	"diplomatic_negotiation"
"enable_night_battles_naval"	"can_fight_night_battles_naval"
"enable_night_battles"	"can_fight_night_battles"
"escape_chance_action_mod"	"escape_chance_mod"
"escape_chance_mod"	"escape_chance_mod_for_character_acted_on"
"export_capacity_port"	"resource_export_vol"
"food_consumption_event_disaster"	"food_consumption"
"food_consumption"	"food_consumption"
"food_provision"	"food_production"
"gdp_farm"	"gdp_farm"
"gdp_industry"	"gdp_industry"
"gdp_mine"	"gdp_mine"
"gdp_mod_all_local"	"gdp_mod_all"
"gdp_mod_all"	"gdp_mod_all"
"gdp_mod_buildings_global"	"gdp_mod_all"
"gdp_mod_buildings_local"	"gdp_mod_all"
"gdp_mod_population_global"	"gdp_mod_all"
"gdp_mod_population_local"	"gdp_mod_all"
"gdp_port"	"gdp_port_trade"
"gem_agent_attribute_cunning_conversion"	"character_situation_conversion"
"gem_agent_attribute_cunning_payoff"	"character_situation_cunning_hunt_down"
"gem_agent_attribute_cunning_request_allegiance"	"character_situation_gempei_requesting_alliance"
"gem_agent_attribute_dancer_entertain_general"	"character_situation_gempei_entertaining_generals"
"gem_agent_attribute_dancer_entertain_nobles"	"character_situation_gempei_entertaining_nobles"
"gem_agent_attribute_dancer_seduce"	"character_situation_gempei_seducing"
"gem_agent_attribute_dancer_stalling"	"character_situation_subterfuge_sabotage_army"
"gem_agent_attribute_subterfuge_subvert_army"	"character_situation_subterfuge_sabotage_army"
"gem_agent_attribute_zeal_indoctrinate"	"character_situation_zeal_convert_character"
"gem_agent_dancer_happiness_bonus"	"gentleman_happiness_bonus"
"gem_agent_spy_stealth_mod"	"stealth_mod"
"gem_agent_stealth_detection_mod"	"passive_detection"
"gem_clan_trait_fujiwara_haraizumi_tax"	"tax_bonus_technology"
"gem_clan_trait_fujiwara_kubota_research"	"research_points_enlightenment"
"gem_clan_trait_minamoto_kamakura_research"	"research_points_military"
"gem_clan_trait_minamoto_kiso_campaign_movement"	"mod_land_movement_campaign"
"gem_clan_trait_minamoto_kiso_negative_research"	"research_points_enlightenment"
"gem_clan_trait_taira_yashima_ship_movement"	"mod_ship_movement_campaign"
"gem_clan_trait_taira_yashima_trade"	"trade_income_mod"
"gem_conversion_clan_female"	"state_religion_conversion_bonus"
"gem_conversion_clan_influence"	"state_religion_conversion_bonus"
"gem_conversion_clan_male"	"state_religion_conversion_bonus"
"gem_conversion_no_non_state"	"no_conversion_non_state"
"gem_general_attribute_command_all_situation"	"character_situation_land_ambush"
"gem_general_attribute_command_all_situation"	"character_situation_land_amphibious_attack"
"gem_general_attribute_command_all_situation"	"character_situation_land_attack"
"gem_general_attribute_command_all_situation"	"character_situation_land_defence"
"gem_general_attribute_command_all_situation"	"character_situation_land_siege_attack"
"gem_general_attribute_command_all_situation"	"character_situation_land_siege_defence"
"gem_general_attribute_command_all_situation"	"character_situation_sea_attack"
"gem_general_attribute_command_all_situation"	"character_situation_sea_defence"
"gem_general_attribute_command_attack_all_situation"	"character_situation_land_attack"
"gem_general_attribute_command_attack_all_situation"	"character_situation_land_siege_attack"
"gem_general_attribute_command_attack_all_situation"	"character_situation_sea_attack"
"gem_general_attribute_command_defend_all_situation"	"character_situation_land_defence"
"gem_general_attribute_command_defend_all_situation"	"character_situation_land_siege_defence"
"gem_general_attribute_command_defend_all_situation"	"character_situation_sea_defence"
"gem_happiness_building"	"happiness_building"
"gem_research_points_bonus_civil"	"research_points_enlightenment"
"gem_research_points_bonus_military"	"research_points_military"
"gem_tech_admin_cost_mod"	"admin_cost_percentage_reduction"
"gem_tech_conversion_state_religion"	"state_religion_conversion_tech_bonus"
"general_attribute_command_land_ambush"	"character_situation_land_ambush"
"general_attribute_command_land_amphibious_attack"	"character_situation_land_amphibious_attack"
"general_attribute_command_land_attack"	"character_situation_land_attack"
"general_attribute_command_land_defence"	"character_situation_land_defence"
"general_attribute_command_land_siege_attack"	"character_situation_land_siege_attack"
"general_attribute_command_land_siege_defence"	"character_situation_land_siege_defence"
"general_attribute_command_sea_attack"	"character_situation_sea_attack"
"general_attribute_command_sea_defence"	"character_situation_sea_defence"
"general_bodyguard_size_mod"	"general_bodyguard_size_mod"
"general_honour_bonus"	"honour"
"general_honourable"	"honour"
"general_honourable"	"loyalty"
"general_inspire_mod"	"inspire_buff"
"general_loyalty_bonus"	"loyalty"
"general_rally_mod"	"rally_power"
"general_resistance_bonus"	"region_resistance_modifier"
"gentlemen_happiness_bonus"	"gentleman_happiness_bonus"
"happy_active_upper_tax_extortionate"	"happiness_active_lower_tax"
"happy_active_upper_tax_high"	"happiness_active_lower_tax"
"happy_active_upper_tax_low"	"happiness_active_lower_tax"
"happy_active_upper_tax_minimal"	"happiness_active_lower_tax"
"happy_active_upper_tax_normal"	"happiness_active_lower_tax"
"happy_active_upper_tax"	"happiness_active_lower_tax"
"happy_culture_all"	"happiness_events_regional"
"happy_events_global"	"happiness_events_factional"
"happy_events_local"	"happiness_events_regional"
"happy_mod_religious_unrest"	"happiness_mod_religious_unrest"
"happy_resistance_mod_general"	"region_resistance_modifier"
"line_of_sight_mod"	"line_of_sight_extension"
"looting_mod"	"looting_increase"
"management_army"	"management_army"
"management_finance"	"management_finance"
"management_justice"	"management_justice"
"management_navy"	"management_navy"
"mod_character_loyalty"	"loyalty"
"mod_ship_movement_battle"	"mod_ship_movement_battle"
"mod_ship_movement_campaign"	"mod_ship_movement_campaign"
"mod_unit_accuracy_all_local"	"unit_stat_bonus_accuracy_mod"
"mod_unit_ap_ships"	"mod_ship_movement_campaign"
"mod_unit_charge_all_local"	"unit_stat_bonus_charge_bonus_mod"
"mod_unit_charge_bonus_all"	"charge_bonus_for_land_units"
"mod_unit_melee_attack_global"	"melee_attack_mod"
"mod_unit_melee_defence_global"	"melee_defence_mod"
"mod_unit_melee_defence"	"melee_defence_mod"
"mod_unit_morale_army"	"morale_land"
"mod_unit_morale_global"	"morale"
"mod_unit_morale_local"	"morale"
"mod_unit_morale_local"	"unit_stat_bonus_morale_mod"
"mod_unit_morale_navy"	"morale_naval"
"mod_unit_morale_regional"	"unit_stat_bonus_morale_mod"
"mod_unit_recruitment_cost_all"	"recruitment_mod_cost_land_all"
"mod_unit_recruitment_cost_all"	"recruitment_mod_cost_naval_all"
"mod_unit_recruitment_cost_land_all_local"	"recruitment_mod_cost_land_all"
"mod_unit_recruitment_cost_land_all"	"recruitment_mod_cost_land_all"
"mod_unit_recruitment_cost_ships_local"	"recruitment_mod_cost_naval_all"
"mod_unit_recruitment_cost_ships"	"recruitment_mod_cost_naval_all"
"mod_unit_replenishment_all_local"	"replenishment_percentage_bonus"
"mod_unit_replenishment_all"	"replenishment_percentage_bonus"
"mod_unit_upkeep_all_local"	"upkeep_cost_mod_land_all"
"mod_unit_upkeep_all_local"	"upkeep_cost_mod_naval_all"
"mod_unit_upkeep_ships"	"upkeep_cost_mod_naval_all"
"mod_unit_xp_ships"	"unit_xp_mod_naval"
"mod_weapon_misfire"	"mod_misfire_land"
"morale_bonus_land"	"morale_land"
"morale_bonus_naval"	"morale_naval"
"morale_bonus"	"morale_land"
"morale_bonus"	"morale_naval"
"movement_points_all_local"	"general_admiral_action_point_bonus"
"movement_points_character"	"ninja_action_point_bonus"
"naval_recruitment_points"	"naval_recruitment_points"
"personal_security"	"security_versus_assassination"
"policing_cost_mod"	"policing_cost_mod"
"prestige_region_mod"	"prestige_region_mod"
"recruitment_cost_mod_land_all_global"	"recruitment_mod_cost_land_all"
"recruitment_cost_mod_land_all"	"recruitment_mod_cost_land_all"
"recruitment_cost_mod_local"	"recruitment_mod_cost_land_all"
"recruitment_cost_mod_local"	"recruitment_mod_cost_naval_all"
"recruitment_cost_mod_naval_all_global"	"recruitment_mod_cost_naval_all"
"recruitment_cost_mod_naval_all"	"recruitment_mod_cost_naval_all"
"recruitment_points_bonus"	"recruitment_points"
"recruitment_points_home_region"	"recruitment_points_home_region"
"recruitment_points"	"recruitment_points"
"region_turns_to_surrender"	"region_turns_to_surrender"
"regional_line_of_sight_mod_global"	"region_line_of_sight_bonus"
"regional_line_of_sight_mod_local"	"region_line_of_sight_bonus"
"reinforcement_range_mod"	"reinforcement_distance"
"religion_conversion_no_non_state"	"no_conversion_non_state"
"replenishment_percentage_bonus_global"	"replenishment_percentage_bonus"
"replenishment_percentage_bonus"	"replenishment_percentage_bonus"
"repression_building_global"	"repression_gov_building"
"repression_building"	"repression_gov_building"
"repression_character"	"repression_ministers"
"repression_events_global"	"repression_events"
"repression_events_local"	"repression_events"
"repression_gov_type"	"repression_gov_type"
"repression_tech_faction"	"repression_gov_type"
"requiem_of_the_dead"	"winter_attrition_immunity"
"research_points_bonus_all"	"research_points"
"research_points_bonus_civil"	"research_points_enlightenment"
"research_points_bonus_military"	"research_points_military"
"research_points_enlightenment"	"research_points_enlightenment"
"research_points_global"	"research_points"
"research_points"	"research_points"
"research_rate_mod"	"research_rate_mod"
"ship_repair_increase"	"ship_repair_increase"
"shogun_land_sold_to_portugal_honour_penalty"	"daimyo_honour_change_at_building_construction"
"shogun_land_sold_to_portugal"	"money_granted_at_building_construction"
"short_campaign_research_rate_mod"	"research_rate_mod_short_campaign"
"siege_attack_time_mod"	"siege_time_reduction_for_attacker"
"siege_defend_time_mod"	"siege_time_mod"
"tax_bonus_building_global"	"tax_bonus_building"
"tax_bonus_building"	"tax_bonus_building"
"tax_bonus_governor"	"tax_bonus_character"
"tax_bonus_minister"	"tax_bonus_minister"
"tax_bonus_technology"	"tax_bonus_technology"
"tech_clan_daimyo_honour_mod"	"honour"
"tech_clan_fame_bonus"	"prestige_enlightenment_generic"
"tech_clan_income_tax_mod"	"tax_bonus_technology"
"tech_clan_income_trade_mod"	"trade_income_mod"
"tech_diplomatic_relations_mod"	"diplomatic_negotiation"
"tech_general_loyalty_bonus"	"loyalty"
"tech_regional_happiness_mod"	"happiness_active_lower_gov_type"
"tech_regional_repression_mod"	"repression_gov_type"
"tech_regional_town_wealth_mod"	"tw_growth_technologies"
"tech_unit_land_charge_bonus_mod"	"charge_bonus_for_land_units"
"tech_unit_land_cost_mod"	"recruitment_mod_cost_land_all"
"tech_unit_land_cost_mod"	"recruitment_mod_cost_naval_all"
"tech_unit_land_def_mod"	"melee_defence_mod"
"tech_unit_land_morale_mod"	"morale_land"
"tech_unit_land_movement_mod"	"mod_land_movement_campaign"
"tech_unit_naval_battle_movement_mod"	"mod_ship_movement_battle"
"tech_unit_naval_cost_mod"	"recruitment_mod_cost_naval_all"
"tech_unit_naval_movement_mod"	"mod_ship_movement_campaign"
"tech_unit_naval_turn_mod"	"mod_ship_movement_battle"
"tech_unit_replenish_mod"	"replenishment_percentage_bonus"
"tech_unit_upkeep_mod"	"upkeep_cost_mod_land_all"
"tech_unit_upkeep_mod"	"upkeep_cost_mod_naval_all"
"trade_income_mod"	"trade_income_mod"
"trade_node_mod"	"trade_node_commodity_mod"
"trade_route_all_mod_growth_rate"	"trade_route_all_mod_growth_rate"
"trade_routes_mod_max_land"	"trade_route_cap_land"
"trade_routes_mod_max_sea"	"trade_route_cap_sea"
"tw_growth_education"	"tw_growth_education"
