version 1, schema battle_personalities_tables
Battle_x0020_Personality_x0020_ID(string)	soldier_model(string)	man_animations_table(string)	equipment_theme(string)	type(string)
"euro_drummer2"	"euro_musician2"	"personality_drummer"	"euro_drummer"	"drummer"
"euro_flutist"	"euro_musician1"	"personality_flutist"	"euro_flutist"	"flutist"
"euro_general"	"euro_general_and_staff_officers"	"personality_officer"	"euro_officer"	"officer"
"euro_geurilla_officer"	"euro_guerillas"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"euro_guerilla_standard_bearer"	"euro_guerillas"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"euro_highland_clansman_drummer"	"euro_highlanders"	"personality_drummer"	"euro_drummer"	"drummer"
"euro_highland_clansman_officer"	"euro_highlanders"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"euro_highland_clansman_standard_bearer"	"euro_highlanders"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"euro_late_rifleman_officer"	"euro_late_riflemen"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"euro_naval_admiral"	"euro_admiral"	"personality_officer"	"euro_naval_captain"	"admiral"
"euro_naval_commodore"	"euro_commodore"	"personality_officer"	"euro_naval_captain"	"naval_officer"
"euro_naval_flutist"	"euro_able_seamen"	"personality_drummer"	"euro_drummer"	"naval_officer"
"euro_naval_officer1"	"euro_colonel"	"personality_officer"	"euro_naval_captain"	"naval_officer"
"euro_officer_mid"	"euro_officer_mid"	"personality_officer"	"euro_officer"	"officer"
"euro_officer1"	"euro_officer1"	"personality_officer"	"euro_officer"	"officer"
"euro_officer2"	"euro_officer2"	"personality_officer"	"euro_officer"	"officer"
"euro_pirate_bosun"	"euro_pirate_office"	"personality_bugler"	"euro_bugler"	"bugler"
"euro_pirate_captain"	"euro_pirate_office"	"personality_naval_captain"	"euro_naval_captain"	"naval_officer"
"euro_pirate_lieutenant"	"euro_pirate_office"	"personality_officer"	"euro_officer"	"naval_officer"
"euro_pirate_officer_land"	"euro_pirate_office"	"personality_officer"	"euro_officer"	"officer"
"euro_standard_bearer"	"euroline"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"indian_armed_citizenry_officer"	"East_armed_citizenry_india"	"personality_officer"	"x_sword_pistol_only"	"officer"
"indian_bugler"	"east_war_elephant_musketry_howdah"	"personality_bugler"	"east_bugler"	"bugler"
"indian_drummer"	"east_war_elephant_musketry_howdah"	"personality_drummer"	"east_drummer"	"drummer"
"indian_naval_officer"	"east_indian_colonel"	"personality_naval_captain"	"euro_naval_captain"	"naval_officer"
"indian_officer"	"east_war_elephant_musketry_howdah"	"personality_officer"	"x_india_sword_pistol"	"officer"
"nan_cherokee_cavalry_officer_carbine_axe"	"cherokee_archer"	"rider_musket_axe"	"x_natam_cavalry_musket_axe"	"officer"
"nan_cherokee_cavalry_officer_lance"	"cherokee_archer"	"rider_axe"	"x_natam_cavalry_lance"	"officer"
"nan_cherokee_officer_axe"	"cherokee_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_cherokee_officer_axe_throwing_axe"	"cherokee_archer"	"man_axe"	"x_natam_throwingaxe_axe"	"officer"
"nan_cherokee_officer_bow_axe"	"cherokee_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_cherokee_officer_musket_axe"	"cherokee_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_cherokee_standard_bearer"	"cherokee_archer"	"personality_standard_bearer"	"x_natam_standard_bearer"	"standard_bearer"
"nan_huron_cavalry_officer_carbine_axe"	"huron_archer"	"rider_musket_axe"	"x_natam_cavalry_axe"	"officer"
"nan_huron_cavalry_officer_lance"	"huron_archer"	"rider_axe"	"x_natam_cavalry_lance"	"officer"
"nan_huron_officer_axe"	"huron_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_huron_officer_axe_throwing_axe"	"huron_archer"	"man_axe"	"x_natam_throwingaxe_axe"	"officer"
"nan_huron_officer_bow_axe"	"huron_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_huron_officer_musket_axe"	"huron_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_huron_standard_bearer"	"huron_archer"	"personality_standard_bearer"	"x_natam_standard_bearer"	"standard_bearer"
"nan_iroquois_cavalry_officer_carbine_axe"	"iroquois_archer"	"rider_musket_axe"	"x_natam_cavalry_musket_axe"	"officer"
"nan_iroquois_cavalry_officer_lance"	"iroquois_archer"	"rider_axe"	"x_natam_cavalry_lance"	"officer"
"nan_iroquois_officer_axe"	"iroquois_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_iroquois_officer_axe_throwing_axe"	"iroquois_archer"	"man_axe"	"x_natam_throwingaxe_axe"	"officer"
"nan_iroquois_officer_bow_axe"	"iroquois_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_iroquois_officer_musket_axe"	"iroquois_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_iroquois_standard_bearer"	"iroquois_archer"	"personality_standard_bearer"	"x_natam_standard_bearer"	"standard_bearer"
"nan_plains_cavalry_officer_carbine_axe"	"plains_archer"	"rider_musket_axe"	"x_natam_cavalry_musket_axe"	"officer"
"nan_plains_cavalry_officer_lance"	"plains_archer"	"rider_axe"	"x_natam_cavalry_lance"	"officer"
"nan_plains_officer_axe"	"plains_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_plains_officer_axe_throwing_axe"	"plains_archer"	"man_axe"	"x_natam_throwingaxe_axe"	"officer"
"nan_plains_officer_bow_axe"	"plains_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_plains_officer_musket_axe"	"plains_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_plains_standard_bearer"	"plains_archer"	"personality_standard_bearer"	"x_natam_standard_bearer"	"standard_bearer"
"nan_pueblo_cavalry_officer_bow"	"pueblo_archer"	"rider_archer_axe"	"x_natam_cavalry_bow_axe"	"officer"
"nan_pueblo_cavalry_officer_carbine_axe"	"pueblo_archer"	"rider_musket_axe"	"x_natam_cavalry_musket_axe"	"officer"
"nan_pueblo_cavalry_officer_lance"	"pueblo_archer"	"rider_axe"	"x_natam_cavalry_lance"	"officer"
"nan_pueblo_officer_axe"	"pueblo_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_pueblo_officer_axe_throwing_axe"	"pueblo_archer"	"man_axe"	"x_natam_throwingaxe_axe"	"officer"
"nan_pueblo_officer_bow_axe"	"pueblo_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_pueblo_officer_musket_axe"	"pueblo_archer"	"man_axe"	"x_natam_axe"	"officer"
"nan_pueblo_standard_bearer"	"pueblo_archer"	"personality_standard_bearer"	"x_natam_standard_bearer"	"standard_bearer"
"native_american_auxiliary_cav_officer_carbine_axe"	"native_american_musketeer"	"rider_musket_axe"	"x_natam_cavalry_musket_axe"	"officer"
"native_american_auxiliary_officer"	"native_american_musketeer"	"man_axe"	"x_natam_axe"	"officer"
"native_american_auxiliary_officer_axe"	"native_american_musketeer"	"man_axe"	"x_natam_axe"	"officer"
"native_american_auxiliary_officer_axe_throwing_axe"	"native_american_musketeer"	"man_axe"	"x_natam_throwingaxe_axe"	"officer"
"native_american_auxiliary_officer_bow_axe"	"native_american_musketeer"	"man_axe"	"x_natam_axe"	"officer"
"native_american_auxiliary_officer_musket_axe"	"native_american_musketeer"	"man_axe"	"x_natam_axe"	"officer"
"native_american_cavalry_officer_axe"	"native_american_chief"	"rider_axe"	"x_natam_cavalry_axe"	"officer"
"native_american_cavalry_officer_carbine_axe"	"native_american_archers"	"rider_musket_axe"	"x_natam_cavalry_musket_axe"	"officer"
"native_american_cavalry_officer_lance"	"native_american_archers"	"rider_axe"	"x_natam_cavalry_lance"	"officer"
"native_american_elite_officer"	"native_american_elite"	"man_axe"	"x_natam_cavalry_axe"	"officer"
"native_american_general"	"native_american_chief"	"rider_axe"	"x_natam_cavalry_axe"	"officer"
"native_american_officer_axe"	"native_american_archers"	"man_axe"	"x_natam_axe"	"officer"
"native_american_officer_axe_throwing_axe"	"native_american_archers"	"man_axe"	"x_natam_throwingaxe_axe"	"officer"
"native_american_officer_bow_axe"	"native_american_archers"	"man_axe"	"x_natam_axe"	"officer"
"native_american_officer_musket_axe"	"native_american_archers"	"man_axe"	"x_natam_axe"	"officer"
"native_american_officer_pitchfork"	"native_american_archers"	"man_axe"	"x_natam_pitchfork"	"officer"
"native_american_standard_bearer"	"native_american_archers"	"personality_standard_bearer"	"x_natam_standard_bearer"	"standard_bearer"
"ottoman_bugler"	"eastern_musician1"	"personality_bugler"	"euro_bugler"	"bugler"
"ottoman_drummer1"	"eastern_musician1"	"personality_drummer"	"euro_drummer"	"drummer"
"ottoman_drummer2"	"eastern_musician1"	"personality_drummer"	"euro_drummer"	"drummer"
"ottoman_flutist1"	"eastern_musician1"	"personality_flutist"	"euro_flutist"	"flutist"
"ottoman_flutist2"	"eastern_musician1"	"personality_flutist"	"euro_flutist"	"flutist"
"ottoman_general"	"ottoman_general"	"personality_officer"	"euro_officer"	"officer"
"ottoman_naval_admiral"	"ottoman_admiral"	"personality_officer"	"euro_naval_captain"	"admiral"
"ottoman_naval_commodore"	"ottoman_commodore"	"personality_officer"	"euro_naval_captain"	"naval_officer"
"ottoman_officer1"	"ottoman_colonel"	"personality_officer"	"euro_officer"	"officer"
"ottoman_officer2"	"ottoman_colonel"	"personality_officer"	"euro_officer"	"officer"
"ottoman_standard_bearer"	"eastern_musician1"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"polish_winged_hussars_bugler"	"euro_polish_winged_hussars"	"personality_bugler"	"euro_bugler"	"bugler"
"polish_winged_hussars_officer"	"euro_polish_winged_hussars"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"pr_custom_pistol_officer"	"episodic_musketman"	"personality_officer"	"x_pr_custom_pistol_only"	"officer"
"pr_custom_sword_officer"	"episodic_musketman"	"personality_officer"	"x_euro_sword"	"officer"
"steppe_cavalry_officer"	"steppe_cavalry"	"rider_archer_sabre"	"x_euro_cavalry_bow_sabre"	"officer"
"steppe_standard_bearer"	"steppe_cavalry"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"streltsy_officer"	"streltsy_cavalry"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"streltsy_standard_bearer"	"streltsy_cavalry"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"test_admiral"	"euro_general_and_staff_officers"	"personality_officer"	"euro_officer"	"officer"
"test_bugler"	"euroline"	"personality_bugler"	"euro_bugler"	"bugler"
"test_camel_officer"	"eastern_officer1"	"personality_camel_officer"	"x_camel_sword_pistol"	"officer"
"test_drummer"	"euroline"	"personality_drummer"	"euro_drummer"	"drummer"
"test_elephant_officer"	"eastern_officer2"	"personality_elephant_officer"	"x_india_sword_pistol"	"officer"
"test_flutist"	"euroline"	"personality_officer"	"euro_flutist"	"flutist"
"test_naval_admiral"	"euroline"	"personality_naval_captain"	"euro_naval_captain"	"admiral"
"test_naval_bosun"	"euroline"	"personality_drummer"	"euro_drummer"	"drummer"
"test_naval_captain"	"euroline"	"personality_naval_captain"	"euro_naval_captain"	"naval_officer"
"test_naval_lieutenant"	"euroline"	"personality_officer"	"euro_naval_captain"	"naval_officer"
"test_officer"	"euro_general_and_staff_officers"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"test_standard_bearer"	"euroline"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"eua_officer_brunswick"	"eua_brunswick_dragoons"	"personality_officer"	"euro_officer"	"officer"
"eua_bugler_brunswick"	"eua_brunswick_dragoons"	"personality_bugler"	"euro_bugler"	"bugler"
"eua_officer_hessian"	"eua_hessian_grenadiers"	"personality_officer"	"euro_officer"	"officer"
"eua_drummer_hessian"	"eua_hessian_grenadiers"	"personality_drummer"	"euro_drummer"	"drummer"
"eua_standard_bearer_hessian"	"eua_hessian_grenadiers"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"eua_officer_kings_royal"	"eua_kings_royal"	"personality_officer"	"euro_officer"	"officer"
"eua_drummer_kings_royal"	"eua_kings_royal"	"personality_drummer"	"euro_drummer"	"drummer"
"eua_standard_bearer_kings_royal"	"eua_kings_royal"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"eua_officer_lees_legion"	"eua_lees_legion"	"personality_officer"	"euro_officer"	"officer"
"eua_bugler_lees_legion"	"eua_lees_legion"	"personality_bugler"	"euro_bugler"	"bugler"
"eua_officer_tarleton_dragoons"	"eua_tarleton_dragoons"	"personality_officer"	"euro_officer"	"officer"
"eua_bugler_tarleton_dragoons"	"eua_tarleton_dragoons"	"personality_bugler"	"euro_bugler"	"bugler"
"eua_officer_morgans_rifles"	"eua_morgans_rifles"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"eua_bugler_morgans_rifles"	"eua_morgans_rifles"	"personality_bugler"	"euro_bugler"	"bugler"
